Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
19,0.154973,63.6995,0,1204.91,0.506671,0.0478668,2.75642,0.0156815,7.72418,
20,0.147629,63.6829,0,1204.91,0.505543,0.0467476,2.77033,0.0250129,7.72285,
21,0.150383,63.6428,0,1204.91,0.506536,0.0476808,2.81284,0.0213472,7.72457,
22,0.154631,63.677,0,1204.91,0.506843,0.0486376,2.77934,0.0160236,7.72381,
23,0.146766,63.6751,0,1204.9,0.506386,0.0461089,2.78335,0.0262252,7.72429,
24,0.148717,63.7055,0,1204.91,0.506773,0.0475942,2.74661,0.0243196,7.72402,
25,0.153831,63.6524,0,1204.91,0.503072,0.0488419,2.80571,0.0169278,7.72399,
26,0.157779,63.6574,0,1204.91,0.507055,0.0496282,2.79626,0.012947,7.72414,
27,0.150901,63.6432,0,1204.91,0.507305,0.046747,2.81253,0.0204765,7.72387,
28,0.155531,63.6369,0,1204.9,0.505374,0.0481682,2.82291,0.0149649,7.72432,
29,0.143289,63.6769,0,1204.91,0.506287,0.0461203,2.77665,0.0315614,7.72323,
30,0.149751,63.65,0,1204.91,0.506622,0.046647,2.80399,0.0221143,7.72348,
31,0.154034,63.6907,0,1204.91,0.502729,0.0480515,2.76941,0.0167073,7.72432,
32,0.148023,63.6794,0,1204.91,0.505102,0.0467819,2.77788,0.0245418,7.72325,
33,0.151942,63.6996,0,1204.91,0.508785,0.0467739,2.75519,0.0192117,7.72363,
34,0.15726,63.6739,0,1204.91,0.506662,0.0488807,2.78103,0.0133895,7.724,
35,0.153187,63.7137,0,1204.91,0.50352,0.0472256,2.74501,0.0176665,7.72364,
36,0.156239,63.6459,0,1204.9,0.506626,0.0514711,2.80918,0.0142642,7.72474,
37,0.156059,63.7065,0,1204.9,0.50349,0.0483386,2.75527,0.0144244,7.72417,
38,0.144599,63.7184,0,1204.91,0.504417,0.0464934,2.73761,0.0295202,7.7229,
39,0.159312,63.6787,0,1204.91,0.505407,0.0475834,2.77464,0.0117601,7.72305,
40,0.157467,63.6586,0,1204.9,0.50762,0.0496326,2.79872,0.0131575,7.72409,
41,0.147987,63.6915,0,1204.91,0.503982,0.0462363,2.77001,0.0242709,7.72408,
42,0.145363,63.6959,0,1204.91,0.504725,0.0463676,2.76153,0.0282564,7.72336,
43,0.153774,63.7077,0,1204.91,0.506358,0.0472429,2.74941,0.0173869,7.72386,
44,0.142208,63.6917,0,1204.91,0.50603,0.0463108,2.76558,0.0329158,7.72424,
45,0.156795,63.6572,0,1204.91,0.50421,0.0490682,2.80306,0.0140539,7.72443,
46,0.152007,63.6938,0,1204.91,0.506174,0.0466885,2.76112,0.0192464,7.72324,
47,0.148219,63.6614,0,1204.91,0.50735,0.0478556,2.79234,0.0242416,7.72298,
48,0.15212,63.6027,0,1204.91,0.507522,0.0465391,2.85568,0.0188534,7.72399,
49,0.151834,63.7251,0,1204.91,0.504821,0.0471709,2.73868,0.0191656,7.72375,
50,0.153879,63.6617,0,1204.91,0.506049,0.0461496,2.79844,0.0168068,7.7232,
51,0.155071,63.6679,0,1204.91,0.505722,0.0494267,2.79203,0.0156958,7.72367,
52,0.145668,63.6371,0,1204.91,0.507181,0.0463483,2.82113,0.0279204,7.72406,
53,0.149926,63.7199,0,1204.91,0.503106,0.0462824,2.74421,0.0216055,7.7241,
54,0.148839,63.6483,0,1204.91,0.50758,0.0472889,2.80826,0.0234745,7.72339,
55,0.147529,63.6824,0,1204.91,0.506465,0.04666,2.77832,0.0248632,7.72428,
56,0.146872,63.7032,0,1204.91,0.507219,0.0464521,2.7568,0.0258955,7.72428,
57,0.147901,63.6941,0,1204.91,0.505305,0.0467729,2.76818,0.0245997,7.7243,
58,0.150366,63.6821,0,1204.9,0.503958,0.0482385,2.78118,0.0216876,7.72493,
59,0.151591,63.688,0,1204.91,0.506221,0.0464231,2.77522,0.0194807,7.72429,
60,0.145795,63.711,0,1204.91,0.506472,0.046537,2.74874,0.0274375,7.72414,
61,0.145709,63.7392,0,1204.91,0.506463,0.0461939,2.71994,0.0279914,7.72356,
62,0.148975,63.6893,0,1204.91,0.506626,0.0461935,2.76752,0.0233758,7.7237,
63,0.148578,63.6794,0,1204.91,0.508557,0.046246,2.78005,0.0239186,7.72406,
64,0.153854,63.6718,0,1204.91,0.506181,0.0483616,2.79072,0.0168458,7.72467,
65,0.158803,63.6825,0,1204.91,0.507754,0.0490878,2.77588,0.0121872,7.72404,
66,0.150135,63.7307,0,1204.91,0.505272,0.0475396,2.73149,0.0217013,7.72405,
67,0.153162,63.6838,0,1204.92,0.505004,0.046361,2.77317,0.0178856,7.72292,
68,0.147713,63.7299,0,1204.91,0.505334,0.0463934,2.73155,0.0250014,7.7238,
69,0.157291,63.7232,0,1204.91,0.506833,0.0507109,2.73261,0.0134471,7.72345,
70,0.152611,63.6784,0,1204.91,0.506998,0.048247,2.78131,0.0185979,7.72374,
71,0.156882,63.697,0,1204.91,0.505085,0.0481604,2.76695,0.013765,7.72395,
72,0.148081,63.6679,0,1204.91,0.504412,0.0463298,2.79412,0.0240612,7.72375,
73,0.151744,63.7392,0,1204.91,0.506043,0.0478649,2.72314,0.0198532,7.72391,
74,0.15815,63.7136,0,1204.91,0.505339,0.0496097,2.74869,0.0126637,7.72412,
75,0.147662,63.681,0,1204.91,0.505619,0.0462456,2.78195,0.0249652,7.72381,
76,0.149911,63.6828,0,1204.91,0.50818,0.0483005,2.77735,0.0219391,7.72317,
77,0.152514,63.6874,0,1204.91,0.506064,0.0462317,2.7771,0.0184331,7.72329,
78,0.147484,63.6647,0,1204.91,0.508082,0.0489576,2.79274,0.0260454,7.72368,
79,0.152285,63.7146,0,1204.91,0.508485,0.047853,2.74623,0.0189716,7.72405,
80,547.124,1262.41,0,2244.88,6.39101,136.069,95.9446,547.382,54.4334,
81,0.151091,63.6714,0,1204.91,0.506367,0.0471502,2.78261,0.0202145,7.72437,
82,1255.14,1219.17,0,1536.14,9.25825,579.979,82.114,1252.21,30.1743,
83,796.282,1601.52,0,3212.33,4.86255,11.6142,5202.99,796.132,79.9457,
84,1217.63,562.587,0,3295.4,0.702526,658.309,148.074,1218.38,81.6354,
85,454.087,598.53,0,2596.85,0.624081,633.368,933.715,446.768,41.3546,
86,0.152504,63.615,0,1204.91,0.50368,0.0475615,2.84152,0.018608,7.72376,
87,332.83,156.566,0,1629.8,10.0834,807.358,766.983,330.772,27.658,
88,267.246,664.968,0,2207.39,13.2627,1374.07,83.1746,247.779,11.4037,
89,535.744,352.632,0,1831.02,0.64986,406.38,289.14,534.896,22.1776,
90,0.154908,63.7047,0,1204.91,0.506459,0.0461961,2.74856,0.0156725,7.72369,
91,0.155525,63.6683,0,1204.91,0.506484,0.0464268,2.78044,0.0150312,7.72315,
92,0.144199,63.7094,0,1204.91,0.506251,0.0463788,2.75624,0.0302015,7.72333,
93,0.145741,63.7186,0,1204.91,0.505677,0.0463073,2.74139,0.0278482,7.72454,
94,0.152094,63.6313,0,1204.91,0.505879,0.0478422,2.81889,0.0192113,7.72388,
95,0.15144,63.6807,0,1204.91,0.505527,0.0462481,2.78198,0.0200951,7.72257,
96,490.537,1278.74,0,2630.13,11.9081,686.8,189.595,482.691,41.0828,
97,1680.36,493.897,0,4141.26,10.3995,1503.2,975.206,1663.26,84.8394,
98,0.153498,63.6347,0,1204.91,0.507153,0.0467616,2.81712,0.0170852,7.72393,
99,1042.15,1482.7,0,3232.98,10.8513,383.604,15036.9,1043.45,80.4328,
