Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
281,147.684,434.442,1281.61,0.33994,19.9292,51.7771,5.9664,68.4005,3.46384,25.7483,6.15117,109.998,0,5.88439,3.11406,52.1045,81.9044,38.7681,352.349,29.1328,332.097,1.63175,57.4973,2.92225,309.89,0,28.1999,1.79168,356.651,251.622,11.756,0.00437809,0.357116,7.73274,1.75426,14.0713,5.57273,41.9985,0,1.29321,1.98907,0.0247481,31.3777,
282,147.684,424.439,1158.01,0.347952,22.0434,48.8556,8.76925,47.6672,3.92416,28.3809,6.43933,98.7405,0,7.96067,3.55913,48.9387,99.16,49.7252,291.286,36.9339,133.643,3.80538,63.0228,3.80048,279.641,0,35.349,3.93638,291.396,304.952,11.756,0.00437809,0.357116,6.18645,3.04745,14.0534,4.9845,41.9985,0,1.29321,2.65025,0.0247481,31.3762,
283,147.684,288.52,751.277,0.511869,16.5679,31.9688,4.59465,36.7853,3.4453,21.746,5.906,69.9417,0,6.53918,3.07284,32.1371,55.8148,29.4932,205.291,23.9504,23.5582,1.64707,45.7417,2.00573,149.648,0,31.127,1.82006,208.564,149.444,11.756,0.00437809,0.357116,15.3201,3.04745,14.0713,5.57273,42.058,0,1.29321,2.65025,0.0247481,31.3777,
284,147.673,538.445,1485.48,0.274259,25.616,117.634,12.0351,34.6258,3.63079,26.066,5.88905,101.672,0,9.62617,3.29111,118.343,80.0159,50.5186,530.405,48.8108,12.8486,1.956,52.2235,2.22456,253.892,0,37.3487,2.10003,532.785,223.295,11.6954,0.00437809,0.357116,11.0331,3.08409,14.0713,1.26437,42.058,0,1.29321,2.68728,0.0247481,31.3777,
285,147.673,345.231,1187.9,0.427752,16.8406,74.8393,2.17617,34.2885,3.23889,16.0811,5.58476,67.9325,0,2.79455,2.85388,75.4402,43.1603,31.6039,467.412,16.2798,2.81254,0.998467,21.0963,0.370266,154.652,0,8.57416,1.11509,472.967,84.8126,11.6954,0.00437809,0.372925,10.5788,3.08409,11.6876,3.97165,42.058,0,1.29321,2.68728,0.0247493,31.3777,
286,147.666,380.748,1235.59,0.387832,17.4138,55.2656,4.62163,34.3838,3.57562,20.1811,6.1746,92.1251,0,4.76597,3.19649,55.6056,83.439,27.3064,380.311,28.5219,5.31054,2.83415,35.8962,3.58839,289.811,0,20.1355,2.91482,382.854,288.83,11.6954,0.00437809,0.371143,7.13839,3.08409,14.0767,5.57273,42.0604,0,1.29321,2.68728,0.0247493,31.3777,
287,147.586,274.026,818.169,0.538585,15.2257,38.969,3.24466,39.2004,3.38106,14.6182,5.77438,58.5818,0,1.91177,3.01188,39.0292,51.0778,27.7643,272.027,18.2233,50.0004,1.43216,6.47449,1.66314,115.681,0,3.74831,1.59206,272.474,152.741,11.6954,0.00437809,0.371143,8.65442,3.08409,14.0767,3.26779,42.0604,0,1.29321,2.68728,0.0247493,31.3777,
288,147.586,414.183,899.388,0.356331,24.2588,20.4172,6.10739,36.4748,3.55889,31.965,6.76652,127.535,0,10.5599,3.17098,20.4439,122.925,46.8431,105.996,20.6142,15.848,1.7666,62.5078,4.46324,331.817,0,34.6152,1.82636,106.207,342.109,11.6751,0.00437809,0.371143,11.4317,1.01238,14.0832,5.57313,42.0604,0,1.29321,0.747223,0.0251914,31.3777,
289,147.586,276.382,962.957,0.533994,14.9928,33.1768,3.50933,46.0599,3.39696,14.5523,5.64895,75.4804,0,2.03717,3.01325,33.527,40.987,26.4521,329.337,26.1931,114.55,2.33194,17.7228,1.42621,241.276,0,6.59874,2.44867,332.714,102.899,11.6751,0.00437809,0.367536,21.7015,3.08713,14.0726,3.40085,42.0604,0,1.29321,2.69018,0.0246205,31.3777,
290,147.586,339.483,774.227,0.434738,21.8441,2.87203,4.74001,34.6742,3.45643,20.563,6.8215,100.409,0,4.68179,3.0991,2.88465,133.438,42.1834,33.2775,23.4498,16.519,1.50285,36.5663,5.29795,290.248,0,16.6465,1.67505,33.1243,429.131,11.6233,0.00437809,0.367536,11.2671,3.08713,14.0795,5.57294,42.0604,0,1.29321,2.69018,0.0246205,31.3777,
291,147.586,382.421,1128.56,0.385926,23.621,60.2776,6.80821,34.6214,3.77806,19.911,6.02261,78.6088,0,4.78088,3.4098,60.3415,80.2402,53.0002,320.873,33.6568,9.34418,3.09667,29.0451,2.69515,171.211,0,17.631,3.18496,321.568,258.775,11.6233,0.00459414,0.367536,6.41948,3.08713,14.0858,1.22469,42.0604,0,1.29321,2.69018,0.0246205,31.3777,
292,147.586,577.723,1602.29,0.255462,24.0904,115.229,17.3548,36.7621,4.13885,25.4638,6.0121,129.73,0,8.38558,3.78627,115.793,90.9771,45.1047,489.461,66.855,30.5215,4.31157,45.0647,2.48871,357.872,0,30.6907,4.43098,483.894,246.352,11.6233,0.00459414,0.358349,0.748646,3.08713,14.0886,1.72055,42.0604,0,1.29321,2.69018,0.0246205,31.3777,
293,147.586,356.604,1091.06,0.413866,22.2706,43.5339,4.97627,34.2196,3.57492,21.9472,6.10148,87.3917,0,5.41883,3.19779,43.5619,80.4095,51.6623,294.818,33.6436,5.7204,2.91475,44.5986,2.84409,238.414,0,23.0557,3.09624,294.17,270.261,11.6233,0.00459414,0.358349,6.71258,3.08713,14.0886,5.57313,42.0604,0,1.29566,2.69018,0.0246205,31.3806,
294,147.586,334.842,1133.29,0.440764,15.5143,60.776,2.23049,34.271,3.37428,16.9873,5.62101,90.4496,0,2.08303,2.99353,61.0444,39.4975,22.7918,375.145,11.9674,3.16239,1.46409,22.2577,0.501504,283.564,0,6.39879,1.57259,375.75,67.0707,11.6233,0.00459414,0.358349,9.82832,3.08713,14.0873,5.57313,42.0604,0,1.29666,2.69018,0.0246205,29.1263,
295,147.51,445.319,1324.68,0.331246,18.498,83.5609,6.95686,35.2207,3.67529,23.7022,5.86485,100.633,0,7.45739,3.315,84.0637,72.3718,33.8027,431.243,38.2763,10.6881,2.69053,51.6546,2.00976,293.794,0,33.1645,2.78759,434.22,199.706,11.5552,0.00459414,0.358349,6.4489,3.06718,12.7058,1.07954,41.9863,0,1.29666,2.67027,0.0246205,31.3813,
296,147.46,327.948,979.447,0.449645,18.8882,32.4487,7.29354,35.8154,3.72886,18.0399,6.02182,96.4391,0,2.92081,3.36153,32.4839,70.5067,40.2406,235.423,42.5746,18.1679,3.54611,28.0936,2.85776,291.402,0,11.089,3.70572,238.944,247.332,11.5552,0.00453711,0.349206,7.41394,3.06718,14.0854,4.11593,41.8478,0,1.29666,2.67027,0.0246205,31.3816,
297,147.46,290.938,1008.05,0.506845,16.5698,52.7498,1.4956,34.2203,3.32608,17.4386,5.7066,50.5953,0,1.78946,2.94614,53.0317,51.0685,33.0134,379.409,9.47237,3.83143,1.41258,25.8399,1.42133,76.223,0,3.88182,1.56081,381.562,154.72,11.5552,0.00453711,0.348766,8.55759,3.05543,14.0886,4.96831,41.7267,0,1.29666,2.65816,0.0246292,31.3816,
298,147.46,299.902,760.184,0.491696,15.7311,30.2184,6.79175,37.1257,3.55917,23.7592,5.90921,81.1824,0,6.15313,3.20133,30.2517,56.0186,21.7064,213.918,29.3143,16.6759,1.93252,52.7744,1.75906,224.837,0,27.879,2.04998,213.944,152.89,11.5552,0.00453223,0.347642,8.59447,3.05543,14.0904,5.57338,41.7799,0,1.29666,2.65816,0.0246292,31.3816,
299,147.46,341.29,926.563,0.432068,22.0453,26.3337,6.1057,33.957,3.59632,22.4814,6.422,77.277,0,8.63982,3.21778,26.3977,104.816,47.3159,202.955,32.7995,5.80468,2.61041,47.1737,4.32981,168.289,0,35.336,2.71422,203.215,360.224,11.5552,0.00451588,0.347642,8.62596,3.0321,14.0908,5.57338,41.6177,0,1.29715,2.63453,0.0246292,31.3816,
300,147.46,207.688,597.937,0.71001,13.4214,20.1754,1.13071,34.4535,3.18032,14.3061,5.70957,45.2746,0,1.49145,2.78171,20.2104,45.5529,17.8759,200.702,8.744,2.6804,0.634906,8.3558,1.4948,43.3999,0,1.84414,0.624199,200.832,144.915,11.5961,0.00451588,0.347642,8.1877,3.0321,14.0908,5.57338,41.7219,0,1.29715,2.63453,0.0246292,31.3816,
