Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.half_track_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.half_track_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.half_track_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
30,26.6909,60.0529,65.0454,0.444457,0.773128,47.1519,0.667408,1.4883,0.952832,6.25707,2.17733,0.584959,0.323531,50.886,0.707088,1.76506,1.21859,11.1527,4.08413,0.392942,0.467411,21.046,0.0113978,0.566294,0.00832216,0.228045,0.573576,0.275555,
31,26.6909,65.0233,128.271,0.410483,0.852711,36.3278,0.542406,1.10607,0.788054,21.5909,3.2253,0.590086,0.606548,39.6037,0.605288,1.40119,1.13755,118.126,6.35767,0.390785,0.465083,19.6784,0.0113978,0.516772,0.00832216,0.228045,0.573576,0.275555,
32,26.6909,56.7293,57.9341,0.470496,0.748878,42.3818,0.627055,1.34864,0.767889,5.62713,4.63116,0.596723,0.393498,43.5678,0.736763,1.505,1.26071,21.3298,7.57592,0.3788,0.454763,19.1908,0.0113978,0.565983,0.00673237,0.0690077,0.573576,0.275555,
33,26.6909,51.2665,55.1586,0.520631,0.726555,36.3873,0.608198,1.12667,0.877926,7.24065,3.72999,0.569306,0.397095,40.1992,0.733744,1.39127,1.39863,18.6549,8.42875,0.311969,0.465083,20.6715,0.00411809,0.556782,0.00673237,0.228045,0.573576,0.275555,
34,25.6481,57.5825,61.3816,0.445416,0.75808,43.17,0.635657,1.34826,0.831868,6.80785,3.4779,0.55285,0.360071,46.9187,0.646015,1.59028,1.3496,14.0195,6.90423,0.332445,0.465083,21.0219,0.018529,0.567996,0.00673237,0.228045,0.573576,0.275555,
35,25.3101,66.3253,75.5963,0.381605,0.859301,48.9621,0.7135,1.48997,0.964524,8.21266,4.4686,0.654718,0.655589,55.1967,0.662383,1.71406,1.58632,19.6564,7.35081,0.43313,0.418273,19.7633,0.018529,0.514672,0.00673237,0.220872,0.573576,0.275555,
36,25.3101,57.7543,61.1681,0.438237,0.74036,42.4119,0.702415,1.34633,0.680734,7.06091,4.21915,0.592514,0.480972,47.8311,0.709488,1.62897,1.18479,18.4056,8.33729,0.357953,0.358865,20.5159,0.018529,0.57128,0.00673237,0.220872,0.573576,0.275555,
37,25.3101,61.1473,67.9925,0.41392,0.765069,45.6302,0.729831,1.42951,0.961505,8.17596,2.85445,0.600772,0.435495,53.5236,0.621713,1.83517,1.68798,14.802,6.2484,0.437565,0.435008,19.1855,0.018529,0.483708,0.00673237,0.220872,0.573576,0.275555,
38,25.3101,49.6244,53.1778,0.510034,0.655802,38.9939,0.774382,1.1988,0.480111,4.95293,2.01843,0.549976,0.251354,45.1718,0.753799,1.56236,0.975467,8.84083,4.11431,0.320672,0.467411,19.4488,0.018529,0.497222,0.00673237,0.220872,0.573576,0.275555,
39,24.8199,57.6703,62.239,0.430376,0.748738,41.0667,0.695357,1.28135,0.891301,8.62108,3.77195,0.593746,0.436524,45.2924,0.599147,1.56823,1.64234,22.7585,8.06991,0.406268,0.467411,19.2632,0.018529,0.497805,0.00832216,0.220872,0.573576,0.275555,
40,24.8199,60.9173,63.2533,0.407436,0.897369,42.1736,0.817316,1.31433,0.845124,9.23602,5.05633,0.577202,0.704237,44.7779,0.773597,1.55139,1.41891,21.2396,9.12646,0.353455,0.419485,16.8894,0.018529,0.518216,0.00832216,0.220872,0.573576,0.275555,
41,24.8199,69.7497,108.444,0.355843,0.877826,40.9248,0.760812,1.26664,0.88139,21.8257,2.58393,0.628485,0.570761,47.3584,0.741767,1.62735,1.62832,95.5314,6.00043,0.436137,0.445396,10.0488,0.018529,0.477289,0.00832216,0.189012,0.573576,0.275555,
42,24.4572,46.5602,55.68,0.525281,0.822249,35.308,0.669616,1.02696,0.550256,5.20214,2.49756,0.483447,0.569838,40.8739,0.568397,1.27602,1.1298,19.8942,4.7286,0.2632,0.484869,19.5211,0.018529,0.506198,0.0145236,0.189012,0.654793,0.275555,
43,24.4572,80.3909,175.736,0.304228,0.72947,39.8207,0.845915,1.24794,0.906948,31.152,5.08533,0.602577,0.362831,40.0683,0.722822,1.38515,1.47957,167.871,9.99255,0.349118,0.411422,19.1764,0.0493698,0.481837,0.0156314,0.189012,0.64478,0.275555,
44,24.4572,64.5324,72.4007,0.378991,0.785631,50.9795,0.837123,1.59977,1.03683,4.22962,4.49774,0.566174,0.545239,55.1974,0.678268,2.01129,1.96138,27.2297,8.09501,0.325597,0.389929,19.8098,0.0493698,0.511364,0.0156314,0.189012,0.61376,0.243236,
45,24.4572,51.425,68.0828,0.47559,0.784391,39.4388,0.645771,1.13009,0.40751,5.75259,2.73371,0.532126,0.64288,52.6914,0.564176,1.53491,0.905413,11.9027,5.25479,0.263865,0.484869,19.1321,0.0298836,0.488887,0.0156314,0.189012,0.666294,0.275555,
46,24.4572,44.0381,48.0072,0.555364,0.717619,33.0563,0.804249,0.988122,0.450389,4.12754,3.29247,0.601464,0.451195,38.0676,0.619887,1.30846,0.865234,9.28627,8.14305,0.41689,0.432221,19.9939,0.0493698,0.510963,0.0156314,0.200769,0.601466,0.275555,
47,24.4002,52.4751,60.5551,0.464986,0.725653,37.9246,0.706448,1.14618,0.73837,6.58273,4.08322,0.567963,0.480956,44.5364,0.632877,1.4953,1.42559,19.3384,9.10729,0.283313,0.319534,19.6683,0.00135456,0.504654,0.0156314,0.200769,0.601466,0.283334,
48,24.4002,61.3965,73.612,0.39742,0.759698,40.3982,0.813758,1.24473,0.737693,13.0715,3.74686,0.624145,0.413743,45.2783,0.680934,1.59934,1.27493,38.9829,8.98174,0.375725,0.432567,20.0628,0.00135456,0.511364,0.0156314,0.200769,0.605856,0.291812,
49,24.4002,52.6466,57.2168,0.463471,0.69766,39.1887,0.823356,1.19248,0.866753,6.06772,3.22891,0.581049,0.370259,42.6963,0.754567,1.48023,1.63351,13.6071,6.29407,0.348514,0.453414,19.5468,0.00135456,0.501297,0.0113796,0.200769,0.605856,0.327927,
50,24.4002,49.2199,58.5642,0.495739,0.698511,35.6989,0.740235,1.04967,0.729341,6.86771,2.8259,0.609542,0.359242,40.4551,0.711293,1.3999,1.28177,17.9417,7.41338,0.354524,0.484292,19.686,0.00135456,0.513933,0.012845,0.200769,0.605856,0.333373,
51,24.4002,57.4818,62.8413,0.424485,0.774415,42.3402,0.915918,1.29708,0.7567,6.96475,3.81775,0.615038,0.505501,44.0455,0.741577,1.51534,1.28164,13.7763,8.3187,0.362602,0.483303,19.4167,0.00135456,0.48701,0.0156314,0.200769,0.605856,0.288912,
52,24.1911,52.5628,58.7543,0.460232,0.798045,36.5244,0.798241,1.07539,0.680423,10.0644,2.05492,0.566957,0.713925,43.7416,0.743178,1.46102,1.23115,25.9152,4.6609,0.317401,0.245224,19.458,0.00135456,0.500275,0.0156314,0.200769,0.605856,0.302181,
53,24.1911,49.861,54.3172,0.48517,0.711794,36.888,0.868398,1.12759,0.447877,4.93028,4.32455,0.562521,0.397599,37.2174,0.752219,1.3019,0.861758,10.2303,8.51898,0.297936,0.429873,20.0176,0.00135456,0.515344,0.0156314,0.200769,0.593747,0.328239,
54,24.1911,56.2915,61.2312,0.429746,0.716337,40.1359,0.771578,1.22944,0.709935,8.17999,3.9581,0.59027,0.413869,44.0589,0.704139,1.53453,1.06726,18.1058,8.34501,0.344538,0.44,19.518,0.038915,0.498389,0.0156314,0.200769,0.605856,0.28873,
55,24.1911,48.3494,51.354,0.500338,0.644264,30.2569,0.693751,0.872075,0.655542,12.7325,1.97034,0.524134,0.263275,27.5579,0.64088,0.930652,1.1387,31.8697,4.26504,0.299038,0.332587,20.0176,0.00834098,0.515344,0.0156314,0.200769,0.0986578,0.225572,
56,24.1911,43.7222,48.2448,0.55329,0.680071,34.7299,0.653439,1.03899,0.432026,2.91502,2.69455,0.578178,0.411082,37.9596,0.520606,1.3144,0.765857,10.8005,5.53354,0.396802,0.328869,19.3523,0.0236727,0.500949,0.0156314,0.200769,0.605856,0.333373,
57,24.1911,54.2256,60.2413,0.446119,0.729311,40.3517,0.773966,1.23176,0.786047,6.65478,3.1008,0.597234,0.539452,44.5245,0.669339,1.55581,1.41636,15.1332,7.14794,0.367824,0.40572,20.0015,0.0431878,0.508005,0.0168658,0.200769,0.594928,0.333373,
58,24.1911,54.9038,59.1813,0.440608,0.750897,42.7197,0.649514,1.32042,0.726589,4.7954,3.28734,0.653925,0.514891,45.6494,0.611553,1.57644,1.30649,7.98755,7.22086,0.405446,0.42064,19.8193,0.0194271,0.506888,0.0168658,0.200769,0.480838,0.333373,
59,24.1911,81.8656,157.765,0.295497,0.794074,45.2418,0.817007,1.37559,0.661277,29.0712,3.32079,0.583858,0.524419,48.9132,0.769712,1.64779,1.18009,146.386,6.47124,0.358712,0.353224,18.7281,0.0059356,0.469165,0.00566879,0.200769,0.112942,0.331178,
60,24.1911,51.2975,57.2008,0.471583,0.748044,38.9859,0.692979,1.17522,0.727744,6.48756,1.90765,0.572411,0.590463,46.3469,0.598761,1.57922,1.39405,25.1149,3.63944,0.355128,0.280706,18.9388,0.0293491,0.47538,0.0168658,0.200769,0.594337,0.311998,
61,24.1911,50.6016,55.3895,0.478069,0.671174,37.8606,0.616076,1.13172,0.632486,5.47485,3.57131,0.643473,0.342066,39.3927,0.666293,1.31467,1.17368,12.252,7.56392,0.423768,0.361077,20.0015,0.0160505,0.508005,0.0168658,0.200769,0.583259,0.335536,
62,24.1911,51.2035,64.9695,0.472449,0.711411,35.6344,0.623815,1.06134,0.6621,8.66287,3.26728,0.580322,0.4323,38.3345,0.627542,1.36308,1.21597,35.1209,8.11695,0.328028,0.242784,19.8551,0.0013407,0.503483,0.0168658,0.200769,0.594928,0.152749,
63,24.1911,52.0021,57.4795,0.465194,0.710918,35.9697,0.641635,1.07823,0.882744,8.8702,3.22251,0.626185,0.474956,36.1243,0.779238,1.26099,1.67602,21.8817,6.63454,0.399932,0.423218,20.0015,0.0103181,0.508005,0.0168658,0.216138,0.548371,0.335536,
