Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
129,28.2933,88.5006,290.105,0.319696,51.4396,0.455125,17.8656,7.06887,4.78673,0.586575,1.0156,0.158107,5.12435,260.756,1.02278,1.59016,17.7615,13.5406,2.35702,5.13777,0.0316577,0.995783,0.00493413,0.243954,9.1038,3.32115,1.38134,0.00065789,3.83079e-05,0.0120183,4.79898,
130,28.2931,92.99,319.616,0.304259,52.3596,0.423232,18.0065,12.0417,3.65529,0.270685,1.03251,0.155042,5.04547,264.614,0.869616,1.25944,49.4415,11.2723,1.33145,5.2095,0.0218401,0.542264,0.00493413,0.243954,9.68452,3.32042,1.38134,0.000656973,3.83079e-05,0.020552,4.94435,
131,28.2926,101.857,317.211,0.277767,53.3607,0.481939,20.9486,14.6529,5.55885,0.65701,1.05017,0.167544,4.97974,267.707,0.959018,20.4334,49.1719,14.6261,2.30447,5.25875,0.0695556,0.615142,0.00493413,0.243954,10.6504,3.31995,1.38134,0.000654556,3.70755e-05,0.0333803,3.89828,
132,28.2892,8113.72,55628,0.00348658,90.9521,0.524261,7983.85,21.8691,8.11233,0.936697,1.78806,0.184987,5.5048,353.87,0.816862,56248.2,57.2845,18.6445,2.54363,7.09302,0.0916387,1.93139,0.00493413,0.244241,8.27656,3.31906,1.38134,0.000654556,3.70755e-05,0.156335,3.04609,
133,28.2874,108.18,326.376,0.261485,73.2619,0.397203,17.8046,5.51965,4.0318,0.55293,1.45068,0.156134,5.00497,298.458,0.78383,7966.04,18.2522,11.6091,2.31171,5.89794,0.0313998,0.67024,0.00493413,0.244276,9.22093,3.31622,1.38134,0.000653714,3.70755e-05,0.110705,4.14032,
134,28.2862,127.009,390.254,0.22271,77.4808,0.543959,23.1493,12.9627,5.56991,0.72608,1.52022,0.17799,4.87821,332.488,1.133,23.5576,40.327,14.2472,2.48019,6.5092,0.0863371,0.43559,0.00531712,0.24432,18.2331,3.31622,1.38054,0.000653714,3.70755e-05,0.156335,2.3451,
135,28.2862,74.6729,263.375,0.378802,33.5409,0.420443,18.2312,12.6795,3.89358,0.195154,0.657316,0.159768,4.8951,233.367,0.978329,4.90629,54.1421,12.4375,1.10378,4.57073,0.0251809,0.67187,0.0056291,0.244026,15.1487,3.31622,1.38054,0.000653714,3.56153e-05,0.156336,0.571827,
136,28.284,53.656,129.263,0.527135,13.6303,0.539568,18.9541,9.81075,4.67804,0.515478,0.272816,0.168678,5.08623,95.539,1.17201,6.37836,27.2615,13.1479,2.00939,1.90959,0.0732998,0.661373,0.0056291,0.244026,12.3324,3.31458,1.38054,0.000652512,4.32113e-05,0.132565,4.9441,
137,28.284,99.3887,317.613,0.284579,27.6778,0.300742,47.3833,12.8626,4.89181,0.584239,0.551215,0.163041,4.97391,143.234,0.334093,207.935,50.6257,13.9799,2.32725,2.88281,0.0594258,0.464652,0.0056769,0.244122,10.7944,3.31458,1.38106,0.000652512,4.08293e-05,0.0283761,3.15062,
138,28.284,80.7639,256.061,0.350206,35.7364,0.353079,22.7119,9.91098,5.87683,0.418718,0.702614,0.178624,4.87475,228.515,0.384826,33.8284,24.8473,15.3513,1.66092,4.48518,0.091172,0.579286,0.0056769,0.244305,12.5393,3.31411,1.38163,0.000652512,4.22295e-05,0.156337,2.06782,
139,28.2836,61.6989,180.748,0.458413,18.0845,0.370509,18.0317,15.5765,3.86964,0.319296,0.360742,0.155763,4.93025,123.056,0.794492,4.75152,60.0604,12.1936,1.59503,2.45547,0.0281467,0.0956288,0.0056769,0.244231,11.6451,3.31298,1.38163,0.000652336,4.09937e-05,0.0595002,4.40927,
140,28.2836,144.212,376.325,0.196125,97.8811,0.36741,17.5745,13.2325,7.15291,0.722671,1.93675,0.167431,5.17683,347.329,0.420852,3.04967,43.5975,17.6688,2.40903,6.85814,0.0459165,1.00171,0.00540335,0.244231,4.78578,3.31298,1.38163,0.000652336,4.62698e-05,0.111527,4.94372,
141,28.2819,95.7174,294.877,0.295473,50.0445,0.490941,17.8876,14.705,5.66263,0.60109,0.987599,0.157384,5.18066,260.119,0.96265,1.44249,52.4532,14.971,2.13265,5.11671,0.0347809,0.874071,0.00540335,0.244231,10.2578,3.3123,1.38186,0.000651632,6.45554e-05,0.0377089,4.94372,
142,28.2804,100.7,304.007,0.280838,34.8968,0.391545,33.3978,19.9451,5.56458,0.484296,0.682787,0.186144,5.15124,234.693,0.521665,81.8754,59.1691,14.2381,1.71563,4.59086,0.113178,1.04202,0.00555015,0.243721,18.2332,3.3123,1.38186,0.000651632,6.57331e-05,0.156339,3.1047,
143,28.2804,50.329,103.595,0.561912,1.10823,0.377768,20.6777,14.1583,8.332,0.51942,0.0222347,0.169284,4.96406,26.607,0.905581,22.3297,53.2015,37.0599,2.17108,0.62818,0.0665683,0.46949,0.00555015,0.0857983,12.3683,3.3123,1.38252,0.00065099,4.06108e-05,0.15634,2.83546,
144,28.2804,127.1,344.646,0.222505,73.0974,0.500196,17.5302,22.2247,6.50761,0.525835,1.45386,0.152687,5.10763,272.913,0.941531,4.09229,79.4022,17.3834,1.82857,5.42245,0.0245471,1.12309,0.00555015,0.244417,3.18729,3.31166,1.38252,0.000630495,3.70909e-05,0.0373824,2.11775,
145,28.2801,72.2644,215.484,0.391342,40.8468,0.328782,17.881,4.05,2.89383,0.237664,0.814757,0.154743,5.05687,202.479,0.448899,1.75984,4.48928,9.68239,1.2025,4.03832,0.00825524,0.840259,0.00587228,0.244417,9.41769,3.31124,1.38252,0.000650873,3.70909e-05,0.116096,4.60984,
146,28.2773,50.2312,109.823,0.562944,4.87807,0.519865,22.1674,14.4919,2.62224,0.337792,0.0976556,0.165207,4.95111,45.5157,1.42064,28.3237,57.0133,7.21328,1.64177,0.879222,0.0546965,0.595808,0.00517809,0.244423,15.0764,3.30962,1.38227,0.000649059,3.03419e-05,0.15634,2.19475,
147,28.2773,103.827,355.965,0.272351,65.9061,0.544201,18.3355,6.9781,4.98072,0.508341,1.28914,0.163348,5.12112,328.105,1.22393,4.03323,16.8763,14.0223,2.0309,6.41482,0.0280206,1.02699,0.00517809,0.244455,12.3485,3.30962,1.38227,0.000649059,3.03419e-05,0.15634,4.09694,
