Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,41.0544,235.476,100.69,0.174346,13.9087,2.47508,46.4,139.792,25.3284,3.47949,0.277986,0.245801,3.56891,15.9464,2.71993,74.4154,118.461,28.1542,2.35746,0.319581,0.29866,4.24383,0.625085,0.222957,12.802,4.76499,2.49857,0.0243786,0.0041774,0.00568854,0.531555,
1,41.0544,306.844,218.102,0.133796,148.682,1.69827,26.6176,93.3594,26.133,3.55507,2.97546,0.177541,3.64602,252.915,1.41349,32.8111,75.9461,12.095,2.52419,5.1466,0.169461,2.35037,0.625085,0.0146965,12.2723,4.76499,2.49857,0.0461635,0.0041774,0.00535266,0.531555,
2,41.0544,279.745,210.809,0.146756,134.511,1.98251,25.901,83.0999,24.6135,2.8343,2.69188,0.167457,3.94379,217.398,1.20451,26.6698,57.702,12.6347,2.44145,4.29043,0.15777,2.03749,0.625085,0.18368,12.5056,4.76499,2.49857,0.0461635,0.0041774,0.00225693,0.531555,
3,41.0544,352.474,305.834,0.116475,204.873,1.83961,34.9958,75.2465,24.5218,3.20038,4.09602,0.216996,3.48314,289.477,1.24731,58.5991,49.7025,13.1379,2.34765,6.07138,0.170949,2.3275,0.625085,0.0401447,7.78663,4.76499,2.49857,0.0461635,0.0041774,0.00556191,0.609346,
4,41.0544,288.665,246.662,0.142222,171.123,1.78419,26.4611,54.0252,24.1965,3.10344,3.42298,0.183199,4.36489,256.304,1.21299,28.3345,41.462,12.8892,2.31351,5.11854,0.153476,2.33077,0.625085,0.18368,8.46979,4.76499,2.49857,0.0461635,0.0041774,0.00286576,0.577652,
5,41.0544,337.71,290.3,0.121567,172.656,2.22443,24.7067,97.3387,29.8185,3.41274,3.45245,0.153656,3.94671,264.69,1.82988,26.6533,106.565,15.9571,2.50489,5.28869,0.144317,2.02114,0.625085,0.0422108,9.85546,4.76499,2.49857,0.0461635,0.0041774,0.00406447,0.703055,
6,41.0544,273.214,217.467,0.150265,153.023,1.65629,24.4458,62.2138,22.0416,2.58978,3.06391,0.146028,4.03335,210.373,1.35506,26.6035,53.4871,12.5367,2.30153,4.20482,0.141518,2.18459,0.625085,0.116246,11.3892,4.76499,2.49857,0.0461635,0.0041774,0.00430804,0.70383,
7,41.0544,258.922,293.696,0.158559,146.755,1.82602,21.8372,51.7793,26.3617,2.6421,2.92371,0.139934,4.65674,269.39,1.29062,19.8702,47.465,12.6814,2.24309,5.31058,0.13169,2.16532,0.625085,0.18368,11.8332,2.01106,2.49857,0.0461635,0.0041774,0.00458013,0.934963,
8,41.0544,202.813,125.598,0.202425,105.147,1.63411,22.4508,39.9563,24.1137,2.84044,2.10591,0.164842,4.40031,130.87,1.14022,17.4527,32.0446,11.3204,2.18427,2.61716,0.12766,1.81221,0.625085,0.033828,12.7463,4.76499,2.49857,0.0461635,0.0041774,0.00458013,0.934963,
9,41.0544,263.613,293.032,0.155737,170.325,1.52165,21.2044,31.9551,27.4467,2.62802,3.39461,0.161847,4.97596,288.125,1.21566,16.0356,26.3312,13.1391,2.25178,5.68425,0.112939,1.90065,0.625085,0.0332814,12.056,4.76499,5.5616,0.0461635,0.0041774,0.00623399,0.934963,
10,41.0544,226.039,190.781,0.181625,133.236,1.67677,22.8248,32.0727,26.2382,2.28575,2.66733,0.181586,4.85622,190.128,1.02784,17.1504,26.6239,13.4791,2.29021,3.80263,0.119838,1.82496,0.625085,0.033828,12.109,1.92432,5.22118,0.0461635,0.0041774,0.00623399,0.934963,
11,41.0544,291.669,337.326,0.140757,197.988,1.50594,19.5889,31.9367,28.8251,2.48573,3.94756,0.165946,5.22568,326.756,0.842856,13.7353,30.4381,13.8698,2.39135,6.475,0.100407,1.86347,0.625085,0.033828,7.16532,1.4679,5.5616,0.0461635,0.0041774,0.00623399,1.1106,
12,41.0544,220.667,244.797,0.186047,115.279,1.65814,19.6155,48.0502,25.3521,3.40499,2.30548,0.165237,4.83635,229.834,0.974333,13.6134,63.1776,11.1531,2.85643,4.58627,0.115294,1.70273,0.625085,0.229021,7.72397,4.04237,5.5616,0.0358313,0.0041774,0.00623399,1.1106,
13,41.0544,227.928,263.819,0.18012,145.432,1.44059,20.6216,30.145,20.3922,2.16079,2.90653,0.179772,4.64924,258.197,0.876273,14.0273,31.4528,10.4438,2.25762,5.14659,0.0989611,1.87714,0.625085,0.178352,0.831345,1.73772,5.46129,0.0358313,0.0041774,0.00623399,1.1106,
14,41.0544,142.761,85.7662,0.287575,57.2397,1.49275,19.9096,33.9362,22.2738,1.8416,1.14615,0.173403,4.74766,115.751,0.816583,6.12503,27.391,10.2351,1.88349,2.4358,0.0875053,2.00375,0.625085,0.180625,12.7463,4.04237,4.4603,0.0353369,0.0041774,0.00623399,1.1106,
15,41.0544,213.155,253.096,0.192604,127.971,1.52413,19.2849,32.8746,21.8164,2.28349,2.5593,0.169485,4.6713,230.691,0.883046,5.93751,39.0909,10.3215,1.91605,4.62873,0.0863568,2.20594,0.625085,0.180625,10.3471,3.97801,6.14249,0.0353369,0.0041774,0.00623399,1.1106,
16,41.0544,172.32,177.918,0.238245,87.9112,1.51949,19.6676,32.1606,22.5524,1.92137,1.75922,0.167267,4.66094,156.201,0.884294,5.95788,39.5231,10.3677,1.94472,2.96799,0.0938504,1.8871,0.625085,0.0443323,12.0062,2.2499,9.04981,0.0353369,0.0041774,0.00623399,0.884079,
17,41.0544,184.813,157.303,0.22214,105.957,1.66312,19.0727,26.9397,21.9524,2.2064,2.12171,0.156143,4.74347,144.896,0.889207,5.66343,27.2032,10.0949,2.22305,2.90252,0.093026,1.8946,0.625085,0.180625,12.7463,4.04237,5.30903,0.0353369,0.0041774,0.00405203,1.1106,
18,41.0544,244.676,370.885,0.167791,161.354,2.04778,18.8884,28.4466,22.9842,2.58767,3.20164,0.153439,5.01221,346.521,1.28422,5.88283,26.0657,10.8673,2.61619,6.81063,0.0945216,2.09287,0.625085,0.0335383,12.7463,4.04237,9.04981,0.0353369,0.0041774,0.00470643,1.1106,
19,41.0544,169.175,138.377,0.242675,89.8171,2.02207,19.0637,29.8238,19.1165,2.2275,1.79872,0.154162,5.15126,142.834,1.16831,5.70755,26.8859,7.92803,2.25472,2.84763,0.0912323,1.96847,0.625085,0.180625,12.7463,4.04237,9.04981,0.0353369,0.0041774,0.00623399,1.1106,
20,41.0544,190.756,202.023,0.21522,100.076,1.89275,21.5782,35.8002,22.7358,2.14578,2.00185,0.199553,4.32592,185.535,0.934533,10.9368,57.0902,11.5051,2.21304,3.70747,0.112678,2.20832,0.625085,0.180625,9.31103,1.87462,9.04981,0.0353369,0.0041774,0.00623399,0.823654,
21,41.0544,108.284,58.4491,0.379135,35.2272,1.61933,20.4432,24.1137,19.8526,1.66505,0.705126,0.183612,4.47459,82.0085,0.973099,5.54967,23.2737,7.01926,1.95657,1.62413,0.0836469,1.8262,0.625085,0.180625,12.9002,3.18102,9.02673,0.0191629,0.0041774,0.00623399,1.02615,
22,41.0544,216.492,294.244,0.189635,132.645,1.87411,19.1841,31.159,22.1256,1.79371,2.64263,0.164435,4.9029,277.451,1.06688,5.85515,30.8827,11.0141,1.99854,5.48067,0.0928046,1.96954,0.625085,0.117378,12.3367,3.18102,9.04981,0.0191629,0.0041774,0.00623399,1.1106,
23,41.0544,156.757,177.736,0.261898,76.8889,2.0437,21.1059,23.5214,25.3658,1.50735,1.53762,0.195767,4.59098,172.183,1.11212,6.61083,21.9401,37.3387,1.93571,3.38523,0.0912862,1.64856,0.625085,0.180625,9.2452,3.18102,5.42638,0.0191629,0.0041774,0.00623399,0.758061,
24,41.0544,130.177,90.7851,0.315375,62.4992,1.73999,19.2036,18.1867,20.0846,1.9535,1.25164,0.156809,5.10079,88.8029,1.12154,5.64705,15.0404,8.72849,2.00817,1.77954,0.0900433,1.63029,0.625085,0.0383558,12.9002,3.47436,5.42638,0.0191629,0.0041774,0.00623399,1.1106,
25,41.0544,145.265,173.451,0.282617,80.9031,1.94519,20.1244,16.5891,17.6231,1.43169,1.61817,0.178928,4.85154,163.534,1.06002,5.84782,14.3883,8.79765,2.08551,3.26614,0.0905112,1.70686,0.625085,0.180625,9.24257,2.40316,4.39348,0.0191629,0.0041774,0.00623399,1.73975,
26,41.0544,139.317,129.897,0.294683,64.5212,2.1721,18.6032,26.7201,19.137,1.6577,1.29155,0.146405,5.06791,107.888,1.28196,5.17926,44.263,8.54439,2.00656,2.16173,0.0821138,1.47095,0.625085,0.180625,12.8429,3.70131,4.39348,0.0191629,0.0041774,0.00320133,2.03158,
27,41.0544,139.335,130.674,0.294646,67.5292,2.19993,19.4145,23.8537,18.4355,1.66754,1.35186,0.165653,4.71666,111.971,1.27203,4.95966,21.3848,9.82678,1.83473,2.24225,0.0705245,1.6649,0.625085,0.180625,11.4687,2.49383,4.17478,0.0191629,0.0041774,0.00623399,1.26994,
28,41.0544,107.786,74.7087,0.38089,46.9589,1.83373,18.5379,14.6319,18.1881,1.45393,0.939605,0.14054,5.1008,73.4186,1.14551,4.79668,12.6029,6.41648,1.71321,1.4722,0.0774493,1.27125,0.625085,0.108827,12.9002,1.05254,4.39348,0.0191629,0.0041774,0.00623399,2.24436,
29,41.0544,123.288,145.237,0.332996,54.9509,2.33203,19.9645,17.8319,19.8636,1.97055,1.09836,0.154539,5.12165,127.948,1.52955,10.5151,19.5884,10.4013,2.69082,2.55613,0.100028,1.19935,0.625085,0.108827,10.2058,2.36562,4.39348,0.0191629,0.0041774,0.00623399,2.46951,
30,41.0544,99.2246,83.16,0.413752,39.3346,1.84437,17.902,16.3503,16.3674,1.20963,0.786241,0.135013,5.29507,79.699,1.35242,3.79431,14.7096,6.50074,1.60404,1.58156,0.0594488,1.2033,0.625085,0.0894321,12.9002,2.36562,3.10649,0.017085,0.0041774,0.00623399,2.46951,
31,41.0544,170.749,375.242,0.240437,100.225,2.12345,18.4951,23.8862,17.2812,1.49564,1.97662,0.154759,5.11141,327.33,1.56015,3.18891,62.0917,11.7061,2.03375,6.41137,0.0598985,1.05615,0.625085,0.082085,12.9002,2.36562,3.10649,0.0461635,0.0041774,0.00623399,2.46951,
32,41.0544,158.168,337.875,0.259563,97.8512,2.16176,18.1308,15.4394,15.7935,1.44446,1.92965,0.144174,5.27249,319.789,1.50941,3.139,17.2139,8.8765,1.95937,6.26622,0.0580243,1.12503,0.625085,0.0172912,12.9002,2.36562,3.10649,0.0461635,0.0041774,0.00623399,2.46951,
33,41.0544,94.3966,61.3802,0.434914,33.9085,2.1478,17.8871,15.8272,16.9994,1.6567,0.677778,0.140073,5.15201,81.7807,1.47601,3.12602,16.5549,10.7766,2.01311,1.61724,0.05701,1.17019,0.625085,0.108827,12.3279,2.33229,3.10649,0.0461635,0.0041774,0.00623399,2.34656,
34,41.0544,176.426,236.258,0.2327,104.299,2.39814,17.5467,24.2313,18.7325,1.78167,2.08454,0.135601,5.21709,209.405,1.38313,3.60482,58.2264,13.5856,1.83703,4.17424,0.0627023,1.06371,0.625085,0.108827,10.4653,1.30707,3.10649,0.0461635,0.0041774,0.00226561,2.20668,
35,35.316,84.2281,46.6047,0.419289,32.5852,2.54802,18.5025,10.4288,13.1165,1.32349,0.651019,0.149709,4.92291,86.7932,1.53989,3.10893,14.2497,8.81547,1.59209,1.73696,0.0520244,0.817913,0.621651,0.108827,12.9002,2.33229,2.47889,0.0349445,0.0041774,0.00623399,2.46951,
36,35.316,176.047,340.833,0.200606,100.32,2.20804,17.5071,30.0616,16.924,1.8313,1.98943,0.141713,5.06343,303.279,1.43333,3.64469,68.7658,13.6492,2.49876,5.98864,0.0600786,1.13711,0.621651,0.108827,7.43531,2.36562,1.07526,0.0349445,0.0041774,0.00623399,2.46592,
37,35.316,140.19,314.307,0.251915,80.2223,2.4027,18.4506,16.3667,14.7058,1.23285,1.58667,0.151769,5.0704,268.977,1.18494,3.41105,50.9103,11.5679,1.95709,5.23452,0.0556328,1.08143,0.621651,0.108827,9.49802,2.36562,3.10649,0.00867302,0.0041774,0.00623399,2.46951,
38,35.316,190.529,446.325,0.185358,121.94,2.4637,18.0371,22.1361,16.6507,1.66963,2.40023,0.145496,5.08594,382.428,1.27406,3.22792,47.9698,11.984,2.21149,7.50108,0.062421,1.25687,0.493321,0.420896,11.4214,1.83669,3.10649,0.00867302,0.0041774,0.00623399,2.46951,
39,35.316,63.5308,50.7455,0.555887,9.7427,2.48951,18.6298,12.4955,13.9288,1.13171,0.19261,0.157756,4.76245,107.938,1.4131,2.78494,40.3394,9.53639,2.0344,2.19301,0.0414519,0.665579,0.493321,0.376225,13.2649,3.1067,1.84859,0.00867302,0.0041774,0.0427044,2.46951,
40,34.7337,98.5928,203.586,0.352294,42.4133,2.30042,18.0491,14.0763,14.5896,1.1858,0.845911,0.15433,4.97799,156.241,1.15341,1.46277,37.4871,11.5721,1.75689,3.16104,0.0288592,1.12923,0.493321,0.433478,10.4126,2.57222,1.84859,0.00867302,0.0041774,0.0550259,2.76335,
41,34.7337,82.3354,199.738,0.421856,20.1004,2.42897,32.7037,8.12932,12.5281,1.06215,0.400192,0.161748,4.82088,76.506,1.26849,101.013,19.7144,8.32787,1.10402,1.53099,0.0584256,0.431362,0.493321,0.282006,17.0708,3.1067,1.84859,0.0116272,0.0041774,0.11957,4.23508,
42,32.6835,60.7774,87.1603,0.537758,9.9171,2.11021,23.7621,9.06808,9.74034,0.859938,0.196156,0.16649,4.95692,46.7665,1.13846,38.8753,25.2916,10.4735,1.02162,0.930403,0.0613478,0.825022,0.493321,0.0776995,11.9799,3.57521,1.68461,0.00260059,0.0041774,0.11957,4.39724,
43,32.1132,110.393,279.7,0.290899,49.1957,2.35904,25.7483,16.8672,9.058,0.917078,0.973979,0.177395,5.09631,226.436,1.45252,52.1963,51.1069,13.3179,1.47169,4.61484,0.0759332,1.11864,0.501483,0.0776995,12.3296,3.57521,1.25633,0.00260059,0.0041774,0.153075,4.28399,
44,31.6964,116.382,354.014,0.272348,67.2249,1.90451,18.3716,13.3121,7.99803,1.03516,1.31845,0.167175,5.05011,309.863,1.21421,7.4478,35.5232,16.1842,2.14911,6.07732,0.0369129,1.15584,0.621651,0.0776995,12.3345,3.51709,1.25633,0.00260059,0.0041774,0.153324,3.01896,
45,31.6964,84.752,213.681,0.37399,39.4071,1.72206,21.4336,9.88123,5.55042,0.897581,0.784131,0.17148,4.90446,181.24,1.40933,21.2902,22.5914,11.0168,1.82708,3.65463,0.0750102,0.723613,0.443033,0.0776995,9.77434,3.51709,1.25633,0.00260059,0.00470921,0.133537,2.47827,
46,30.8082,99.4584,320.986,0.30976,57.7957,1.32818,18.277,10.5082,4.83968,0.578258,1.13619,0.158324,4.8368,277.321,0.928142,3.65039,34.4477,9.85128,1.06173,5.49547,0.0202736,0.390306,0.433959,0.0776995,6.42471,3.51709,1.25633,0.00260059,0.00386982,0.110212,3.09909,
47,30.8082,82.8953,244.7,0.371652,39.5392,1.11405,18.0889,12.6488,4.84075,0.704176,0.78506,0.154561,5.01978,187.556,0.550715,1.49335,57.3887,10.7353,1.90918,3.7363,0.0120576,0.606282,0.433959,0.31343,9.29061,3.51709,1.25633,0.000944722,0.00386982,0.091059,4.58658,
48,30.8082,50.049,105.709,0.615562,14.4181,0.947599,18.1104,5.93517,4.56244,0.63793,0.285717,0.158599,4.99302,92.342,0.487977,1.29103,10.9564,12.0785,1.79905,1.84688,0.0216254,0.349862,0.534383,0.186106,11.3716,3.51709,1.17137,0.000944722,0.00386982,0.102125,4.7013,
49,30.6026,149.782,384.041,0.204314,67.25,1.11693,39.3,25.0889,9.54604,0.819006,1.32688,0.17611,5.15805,281.045,0.700884,107.443,68.6476,31.3649,1.74043,5.53134,0.086588,1.05474,0.534383,0.31343,9.40537,3.47398,1.17137,0.000944722,0.00386982,0.0375549,3.28406,
50,30.6026,78.9034,220.782,0.387849,31.3547,1.08941,18.0813,17.6742,4.35029,0.63945,0.621155,0.154938,4.93793,159.02,0.863638,21.0484,64.7511,11.2813,1.72351,3.16063,0.0312889,0.296218,0.491003,0.31343,11.8981,3.47398,1.17137,0.000944722,0.00386982,0.0313539,4.09584,
51,30.6026,118.188,383.42,0.258931,68.035,1.15737,18.4932,18.0027,5.30391,0.71679,1.32801,0.163688,4.98739,326.581,1.30186,1.18991,64.0296,13.3646,2.00662,6.38646,0.0294029,1.03459,0.491003,0.485977,14.8838,3.47398,1.17137,0.000944722,0.0035938,0.155985,2.38475,
52,30.6026,79.3302,258.454,0.385762,34.7875,0.858629,19.9231,12.1786,5.33036,0.631447,0.679426,0.16958,4.77153,233.916,0.473847,11.8363,45.5942,13.5508,1.73664,4.58819,0.0665477,0.734139,0.414476,0.371428,14.0356,3.47398,1.27024,0.00107825,0.0030318,0.155985,1.63791,
53,30.6026,129.599,389.623,0.236132,87.2424,0.987518,17.9606,9.57349,6.0989,0.738556,1.71453,0.161669,5.12167,351.984,1.03516,2.51356,23.5951,14.6337,1.6992,6.91423,0.0251802,0.912605,0.414476,0.159061,9.25847,3.47398,1.27024,0.00107825,0.0030318,0.122685,4.52231,
54,30.4637,321.005,1022.28,0.094901,81.1,0.923567,200.324,23.4037,7.42964,0.873113,1.59933,0.175271,5.17642,318.839,0.849537,918.566,64.2187,16.5832,1.9363,6.29248,0.0850269,1.31922,0.414476,0.0803604,7.69534,3.40007,1.27024,0.00107825,0.0030318,0.0500106,1.16727,
55,30.1849,55.9793,95.1544,0.539214,10.0076,0.823178,19.9911,12.9393,6.18094,0.701335,0.196273,0.178293,4.96128,91.331,0.417093,128.989,42.4769,15.02,1.80735,1.81346,0.0967938,0.562695,0.323402,0.0857837,11.9569,3.40007,1.27024,0.00107825,0.00245588,0.155649,2.75126,
56,30.1092,59.9212,177.217,0.50248,18.3201,0.948407,19.3103,11.4064,3.91006,0.55079,0.361299,0.16472,4.94921,121.78,0.816914,7.73766,44.3431,10.6908,1.43068,2.43664,0.071651,0.410003,0.323402,0.0857837,10.7734,3.3635,1.27024,0.00107825,0.00245588,0.058358,3.48509,
57,29.8104,125.269,354.726,0.237971,73.8672,1.16133,21.0289,15.483,6.05336,0.884753,1.45797,0.163525,5.16894,299.634,1.36012,21.6898,51.3973,14.6285,2.25829,5.95964,0.0651698,1.09924,0.323402,0.5456,9.47593,3.3635,1.5234,0.0136795,0.00206144,0.0325287,4.80067,
58,29.8104,69.6109,177.754,0.428244,2.21781,1.01155,38.1753,17.1919,4.94354,0.688093,0.040323,0.175388,5.16706,64.9496,0.732927,99.8622,60.5134,12.6551,1.84793,1.42323,0.0798109,1.30522,0.323402,0.523256,12.3408,3.3635,1.36043,0.019602,0.00206144,0.156083,4.67662,
59,29.8104,110.117,316.888,0.270715,60.2911,0.981695,17.9316,18.4131,5.4059,0.824184,1.19532,0.1509,4.92373,242.966,0.840807,20.1295,70.5654,14.5087,2.41325,4.83436,0.0349146,0.283721,0.323402,0.327876,9.47307,3.3635,1.36043,0.0205835,0.00206144,0.0324691,4.53441,
60,29.8104,159.999,432.872,0.186317,107.995,1.14257,19.2039,16.5887,6.89781,0.892479,2.1242,0.168142,4.98581,377.438,1.15993,7.35819,54.8028,15.5764,2.20057,7.42379,0.0739405,0.753576,0.323402,0.557418,9.90084,3.35726,1.36043,0.0205835,0.00206144,0.0312188,2.64319,
61,29.5108,71.4888,213.967,0.412804,25.0984,1.01067,18.1628,16.8925,4.16632,0.531797,0.495876,0.15479,4.9756,172.31,1.11387,1.39472,65.3272,12.2233,1.54294,3.26106,0.0203218,0.34846,0.289167,0.399963,11.2801,3.35385,1.36043,0.0101508,0.00181779,0.0337294,4.78903,
62,29.5108,51.1824,126.982,0.576581,1.16656,0.949365,31.3607,8.60779,3.56328,0.416479,0.0189447,0.17491,4.92437,20.3364,0.581153,83.607,31.0336,8.91868,1.46119,0.476162,0.0904943,0.696399,0.296963,0.519472,18.2783,3.36535,1.36043,0.00184821,0.00181779,0.156347,2.22983,
63,29.5108,92.5971,320.094,0.318701,51.2899,0.998221,18.3074,11.4093,4.08337,0.482143,1.00766,0.157354,4.86171,258.941,0.919815,12.964,40.3404,11.4756,1.7363,5.22911,0.0348545,0.494518,0.296963,0.353144,11.9344,3.2908,1.33671,0.00184821,0.00181779,0.0168028,1.72863,
64,29.5108,133.454,355.758,0.221132,74.5894,1.02973,19.6444,23.1346,7.38249,1.10612,1.47162,0.177255,4.91806,299.36,0.813854,8.72347,64.0748,16.2145,2.66035,5.8704,0.102128,0.43033,0.275055,0.451944,9.73618,3.2908,1.36043,0.00184821,0.00181779,0.0400144,3.10008,
65,29.5108,124.76,349.255,0.23654,80.0834,0.952031,18.9846,10.0297,7.30269,0.693634,1.57641,0.173385,4.96427,316.374,0.531177,5.32056,25.1977,16.9881,2.03596,6.21881,0.0725288,0.780306,0.296963,0.54596,12.5643,3.2908,1.36043,0.00184821,0.00181779,0.156267,1.48734,
66,29.5108,50.6975,103.905,0.582096,9.86568,0.8417,18.3629,11.8044,4.01255,0.447576,0.194799,0.161322,5.0065,86.5682,0.244747,1.20019,44.1919,12.1162,1.77489,1.82734,0.0256521,0.736907,0.260781,0.368847,13.7396,3.2908,1.2505,0.00184821,0.00181779,0.156068,4.80169,
67,29.1281,109.012,373.404,0.2672,66.2367,0.849387,18.2378,11.3064,5.25518,0.549274,1.29455,0.163384,5.11959,326.065,0.422847,1.40862,33.9555,14.5168,1.63098,6.3852,0.0281693,1.33572,0.209438,0.472562,12.2426,3.2908,1.21853,0.00184821,0.00154227,0.156068,2.72069,
68,29.1281,68.9725,188.868,0.422314,21.1857,0.946957,22.5938,13.1529,5.05468,0.598527,0.419083,0.182594,4.83826,149.695,0.732024,20.8853,40.8516,12.4497,1.67525,2.94249,0.114888,0.443607,0.209438,0.472562,10.3442,3.2908,1.21853,0.0011789,0.00144401,0.0444565,3.18041,
69,28.9779,129.918,377.059,0.223048,85.5017,1.03931,20.3618,12.1111,3.47589,0.574086,1.68194,0.164909,5.00702,345.221,1.202,16.1724,29.6514,8.19191,1.75781,6.7852,0.0576721,0.851441,0.160613,0.379685,11.4417,3.2908,1.21853,0.0011789,0.00144401,0.0363842,2.83451,
70,28.9396,49.073,104.336,0.589726,12.5986,0.765233,18.0643,8.66633,3.35252,0.296332,0.249432,0.159683,4.92061,106.089,0.426264,2.56615,32.9536,9.48165,1.07688,2.04699,0.0162435,0.97466,0.16002,0.134911,11.4691,3.2908,1.21853,0.0011789,0.00106723,0.156063,0.802345,
71,28.9396,73.9942,175.027,0.391107,24.4793,0.765576,19.3206,17.0797,6.00267,0.790442,0.486775,0.170514,4.89869,115.606,0.700095,8.75481,60.3353,15.4026,2.5733,2.31176,0.0702129,0.697835,0.16002,0.134911,11.7635,3.29053,1.21853,0.00130568,0.00106723,0.156063,2.24206,
72,28.6915,44.6527,106.343,0.642548,1.18751,0.59033,24.9528,9.84848,2.68778,0.1711,0.0215423,0.164376,5.02876,23.5344,0.457939,46.9788,45.3423,8.21625,1.04404,0.469824,0.0548216,0.796546,0.0965945,0.0432306,18.1901,3.27398,1.21853,0.00130568,0.00106723,0.156021,4.8227,
73,28.6915,168.539,453.762,0.170236,115.194,0.933046,18.0095,19.7324,6.46249,0.816987,2.26616,0.163074,4.96161,411.309,1.53327,7.48722,62.2913,15.9224,2.43457,8.11182,0.0261675,0.145017,0.0965945,0.0279254,4.00585,3.27398,1.21853,0.00106563,0.000800416,0.126511,4.84112,
