Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
677,75.9572,90.2012,40.4005,0.842086,1.84901,0.368329,48.498,0.376154,1.5187,1.71919,0.407805,0.814164,0.740651,31.4743,1.06368,1.37123,8.94306,1.84502,24.2599,0.38337,0.838885,8.55403,0.0467523,0.483784,2.01672,6.14078,0.425881,1.35883,0.135241,0.0124665,22.802,0.0708461,0.536222,0.18568,0.044962,0.678631,0.220155,3.08151,0.255715,1.14039,
678,75.9572,91.9214,43.6644,0.826327,2.54975,0.414292,48.948,0.382761,1.53487,2.16601,0.406728,0.815689,0.834899,31.3402,1.07581,1.45243,11.1483,1.90537,24.6385,0.376462,0.858481,9.45677,0.0459974,0.52528,2.96701,3.91686,0.542092,1.66511,0.135241,0.0124665,44.305,0.117633,1.37017,0.18568,0.0213585,0.689218,0.0958689,8.21085,0.201604,1.05551,
679,75.9572,90.9849,40.7531,0.834833,2.39525,0.374923,48.4226,0.38291,1.51657,1.9376,0.407056,0.808338,0.832869,31.4109,1.07507,1.42076,10.8783,1.78743,22.9983,0.37637,0.802379,8.70565,0.0456745,0.510944,2.97012,3.73325,0.5419,1.58387,0.135241,0.0124665,44.305,0.117633,1.37017,0.18568,0.0213585,0.689218,0.0958689,8.21085,0.201604,1.05551,
680,75.9572,88.5847,33.4568,0.857452,1.30027,0.34974,46.3766,0.384912,1.44739,1.66424,0.408244,0.825812,0.767873,32.6278,1.04789,1.38396,6.50614,1.82086,15.1412,0.419067,0.534278,8.70984,0.0591816,0.603354,2.11644,9.33425,0.402906,1.47612,0.135241,0.0124665,21.1766,0.258006,0.687392,0.18568,0.0116715,0.731198,0.419708,2.38215,0.573297,1.14039,
681,75.9572,88.1453,31.5491,0.861726,1.29258,0.322615,46.3698,0.376079,1.44672,1.59432,0.408292,0.810866,0.754451,32.3732,1.02773,1.36864,6.42198,1.75269,14.9975,0.373367,0.529048,8.41914,0.0592416,0.528221,2.09666,8.51894,0.253294,1.36106,0.135241,0.0124665,21.1766,0.258006,0.687392,0.18568,0.0116715,0.731198,0.419708,2.38215,0.438919,1.14039,
682,75.9572,95.0454,60.4891,0.799167,3.08536,0.360928,48.6711,0.394716,1.53083,2.64004,0.410971,0.800736,1.26888,33.24,1.10546,1.5363,13.7365,1.7147,22.43,0.421619,0.813568,11.2371,0.0841107,0.449999,5.0104,31.2288,0.534133,1.81684,0.135241,0.0124666,13.196,0.0978303,0.200178,0.18568,0.0142735,0.731198,0.0829484,1.2017,0.799901,1.14039,
683,75.9572,93.8266,56.9485,0.809548,2.75928,0.317219,48.3773,0.382064,1.51665,2.33969,0.410113,0.799172,1.11416,33.2098,1.08717,1.51388,12.4659,1.54807,21.7823,0.362873,0.773969,10.1122,0.0827282,0.44937,4.25939,31.2111,0.427652,1.77873,0.135241,0.0124666,13.196,0.0978303,0.200178,0.18568,0.0142735,0.731198,0.0829484,1.2017,0.799901,1.14039,
684,75.9572,89.1318,35.8094,0.852189,1.62205,0.274632,46.6557,0.371541,1.45905,1.9728,0.412192,0.807008,1.06824,32.1098,1.05315,1.32559,8.81749,1.6039,16.2141,0.365575,0.576948,10.177,0.0724743,0.453329,4.01164,9.34963,0.484967,1.29554,0.135241,0.0124666,28.3662,0.106508,1.01667,0.18568,0.055998,0.731198,0.0300329,3.28437,0.0958669,0.357628,
685,75.9572,89.4656,39.2879,0.84901,1.83299,0.218475,47.8213,0.360739,1.49375,1.67741,0.410218,0.77497,0.609096,31.7185,1.08708,1.46112,10.0787,1.19805,22.3214,0.320492,0.779221,7.94729,0.0351143,0.327,1.75531,5.70179,0.537151,1.87673,0.135241,0.0124666,33.8829,0.0428419,1.04592,0.18568,0.0169594,0.696097,0.180631,5.57201,0.793631,0.978686,
686,75.9572,91.8599,47.3481,0.826881,1.67073,0.412557,49.0413,0.39328,1.54271,2.48312,0.410739,0.803487,0.973685,31.6159,1.08137,1.43097,8.16828,2.11508,24.0091,0.480859,0.865874,12.6863,0.0655315,0.493457,4.00636,5.1604,0.500758,1.66808,0.135241,0.0124665,44.305,0.0345912,1.37017,0.18568,0.0333034,0.731198,0.419707,5.77911,0.21903,0.588136,
