Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
79,0.0790857,10.6335,0.40086,0.15752,1207.3,0,14.7955,0.0507495,8.52386,
80,721.598,1960.44,874.869,1.90855,5242.13,0,88.8628,719.915,124.312,
81,396.766,1948.23,459.348,6.41455,2488.6,0,290.937,382.459,40.9461,
82,4.33925,2376.57,5.50548,2.53169,5116.06,0,285.911,4.11487,123.46,
83,1381.96,2386.07,1804.87,11.4356,5871.06,0,55.7091,1343.35,125.787,
84,351.994,2349.38,671.198,9.41024,1604.99,0,176.039,349.918,27.4142,
85,262.88,941.931,793.665,1.42268,1762.42,0,444.146,252.199,26.8972,
86,50.7567,2330.74,1048.41,5.62475,2030.74,0,220.495,44.9576,26.2973,
87,1343.5,3549.04,1389.78,11.0346,4434.49,0,571.232,1330.2,98.649,
88,390.879,1120.62,6.91715,10.3044,4232.04,0,92.5879,391.349,103.154,
89,0.0931458,10.9167,0.413703,0.156878,1207.28,0,14.5107,0.0224716,8.52113,
90,696.236,1942.41,848.702,1.26848,5251.33,0,91.9658,694.929,124.649,
91,424.892,140.65,2.8234,6.10838,4143.48,0,470.473,425.371,101.122,
92,798.542,2138.35,8.41662,2.67798,3235.74,0,543.335,798.305,80.5375,
93,0.121293,76.6075,0.405249,0.159793,1207.29,0,296.815,0.0225197,8.52294,
94,5.02721,11.0167,1.41666,0.159849,1204.46,0,14.4145,5.1269,8.01763,
95,126.916,710.217,71.977,4.33951,1615.01,0,194.131,127.273,17.2388,
96,521.417,10.8382,625.732,0.239345,1536.19,0,14.5915,518.963,9.22472,
97,0.102303,674.415,0.396073,0.159495,1207.26,0,226.305,0.0131455,8.5244,
98,577.995,4.73805,103.465,0.72078,2303.11,0,21.3561,578.743,54.0219,
99,521.584,81.3451,625.943,0.240624,1536.41,0,14.7609,519.121,9.22615,
