Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
48,48.3908,431.205,1995.03,0.112222,1.24248,30.4499,341.099,0.743725,12.3582,0.680812,1.72007,12.2946,0.427644,28.0211,0.559258,1.60793,0.734443,81.0024,1900.52,1.1753,28.9826,0.698709,4.29555,26.2741,0.325577,16.5395,0.631656,1.18694,0.209111,0.129848,8.85219,0.0305215,0.0916775,0.323214,0.137539,0.029002,0.0336994,9.18325,0.0525611,0.994785,
49,48.3908,115.374,201.406,0.419426,1.34653,21.3257,47.355,0.492565,7.05274,0.694379,1.22934,8.22095,0.438973,25.3568,0.492525,1.36846,0.813935,59.2426,118.052,0.785945,17.1521,1.05819,1.22895,27.4541,0.186316,7.54021,0.516453,0.64308,0.209111,0.129848,8.61688,0.0305215,0.0916775,0.323214,0.182949,0.029002,0.140657,9.76224,0.0682045,0.930296,
50,48.3908,146.571,254.868,0.330152,1.18763,19.0793,76.0271,0.735773,9.0584,0.66323,1.5469,10.4899,0.483329,25.5273,0.469772,1.30283,0.646109,42.3187,182.784,1.14979,18.7756,0.733196,2.73698,28.017,0.271027,7.75056,0.553622,0.401294,0.188514,0.129848,8.85219,0.0305215,0.0916775,0.323214,0.138052,0.029002,0.313511,2.69477,0.0682045,0.389935,
51,48.3908,135.862,260.198,0.356177,1.23468,26.6501,59.2554,0.731701,8.02731,0.90025,1.40446,11.1346,0.434317,24.208,0.426268,1.4547,1.00571,69.8464,147.391,1.23816,19.6201,2.40131,2.32192,30.6407,0.186936,5.44635,0.364843,1.03848,0.186355,0.129848,8.85219,0.0305215,0.0916775,0.323214,0.237454,0.0258293,0.150302,4.70045,0.0682045,0.88637,
52,48.3908,104.453,154.928,0.463278,1.3613,16.5651,29.718,0.608859,8.36235,0.603726,1.19993,12.1261,0.383277,31.4989,0.565911,1.45978,0.935377,35.6955,53.1005,0.928816,20.5982,0.552919,1.31452,36.1389,0.0821119,48.4095,0.682606,1.03319,0.190705,0.129848,8.85219,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.135826,3.65091,0.0682045,0.455921,
53,48.3908,313.86,1748.9,0.15418,1.18759,15.8068,257.868,0.405412,4.84384,1.049,1.07505,4.87466,0.402712,24.6154,0.389932,1.34212,0.767727,46.5559,1661.14,0.367504,14.0372,4.19533,1.04628,15.1563,0.0827826,9.43894,0.324296,0.626535,0.058072,0.129848,8.85219,0.0305215,0.0916775,0.239635,0.197091,0.0258293,0.30532,6.34371,0.0682045,1.01526,
54,48.3908,134.848,366.735,0.358856,1.03691,19.5458,71.5056,0.649081,6.58166,0.876858,1.22062,6.69508,0.426238,24.4813,0.357385,1.47109,0.81271,56.827,299.029,0.974205,18.2274,2.1433,2.35738,14.7995,0.160755,4.85831,0.296457,1.08835,0.0381095,0.129848,8.85219,0.0305215,0.0916775,0.304851,0.115103,0.0258293,0.321319,8.66173,0.057754,0.98168,
55,48.3908,100.241,181.667,0.482745,0.919764,12.711,41.6611,0.540543,5.86081,0.556333,1.01163,10.5523,0.412667,24.2838,0.449379,1.28171,0.625367,30.1676,118.406,0.796034,14.3724,0.472307,1.28148,32.772,0.133746,3.92098,0.51474,0.348665,0.0358867,0.129848,8.02038,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.0978639,9.83326,0.0700295,0.419259,
56,45.9528,118.452,289.925,0.387945,1.01803,23.0768,28.1506,0.422716,6.93332,0.518991,1.12714,6.26727,0.425434,48.7577,0.374166,1.37965,0.790652,65.8113,65.6024,0.415339,18.7781,0.248299,1.18858,19.5441,0.0698205,157.784,0.33404,0.458078,0.196054,0.129848,8.02038,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.312933,3.64997,0.112773,1.02883,
57,45.9528,71.6709,90.8046,0.641164,0.890156,8.30741,25.9493,0.45522,3.2314,0.541672,0.975112,4.2747,0.41049,24.9696,0.373925,1.29189,0.521038,12.8078,66.6288,0.475372,4.37731,0.410659,1.31344,11.7092,0.0490261,19.5008,0.345616,0.189857,0.207403,0.129848,8.02038,0.0305215,0.0916775,0.326345,0.237454,0.0258293,0.346527,11.3811,0.104774,0.54598,
