Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
133,35.653,89.0837,194.256,0.400219,0.28062,14.6964,36.648,0.554579,9.20298,0.316267,0.69723,5.0158,0.462976,19.358,0.423977,1.4269,0.952218,52.7563,140.24,1.01635,20.0727,0.423486,1.38007,19.9587,0.151369,3.85034,0.469102,0.744784,0.0161949,0.860128,7.79748,0.244443,3.57856,0.102946,0.321815,0.0157797,0.0119133,1.10213,0.187418,1.20695,
134,35.6497,108.476,215.233,0.328643,0.213382,23.3906,32.9349,0.68891,11.6255,0.392488,0.949894,14.1235,0.428335,21.7746,0.419559,1.53384,0.726861,75.2165,89.8134,1.21436,23.3096,0.684327,1.98078,42.1185,0.102188,15.8932,0.385906,0.906043,0.0161949,0.848569,7.90629,0.244443,3.57809,0.102946,0.321815,0.0157797,0.0954147,8.26034,0.187418,1.21655,
135,35.593,63.1802,133.812,0.563357,0.116596,11.5275,16.6772,0.40135,5.25725,0.280015,0.533742,4.78385,0.4433,21.5805,0.349205,1.22963,0.467036,53.3003,50.5081,0.795381,10.2062,0.429639,1.05601,24.4893,0.0263223,10.3172,0.272694,0.286479,0.0161949,0.823746,7.89943,0.244443,3.57856,0.102946,0.321087,0.0157797,0.327707,14.1968,0.211347,0.744573,
136,35.593,58.7037,130.656,0.606316,0.119643,7.54627,17.5973,0.38512,4.76441,0.304738,0.638613,5.44626,0.442284,19.7678,0.375646,1.31568,0.477896,42.1007,51.8685,0.605611,5.5434,0.471709,1.38501,30.2741,0.061043,2.80391,0.42927,0.357927,0.0162483,0.823746,7.89943,0.246077,3.53833,0.103325,0.321687,0.0157797,0.03713,7.26963,0.206584,1.22498,
137,35.593,80.9172,179.183,0.439869,0.108799,7.12068,34.1417,0.501511,7.73107,0.31548,0.847011,5.87005,0.471406,21.9717,0.429672,1.40813,0.40006,30.1792,106.044,0.997181,19.134,0.546379,2.413,30.0641,0.104324,16.2073,0.555512,0.761147,0.0162205,0.823746,7.90629,0.245723,3.57636,0.103325,0.321687,0.0157797,0.445607,7.59711,0.206584,1.22693,
138,35.3537,57.9467,92.5088,0.610107,0.115631,9.24804,13.4345,0.42902,7.00053,0.29011,0.400045,5.14448,0.433074,19.8106,0.369994,1.27057,0.414421,40.96,25.7067,0.716824,14.5317,0.438371,0.267853,21.762,0.0788902,2.91503,0.311835,0.282747,0.0161927,0.768077,7.92992,0.245551,3.60954,0.103325,0.321648,0.0167088,0.0153773,6.6222,0.202326,0.925112,
139,35.3537,83.9729,200.215,0.421013,0.0636193,7.86401,43.1093,0.437158,5.27985,0.367128,0.924699,3.80475,0.497452,19.8768,0.375818,1.37227,0.198596,34.7871,153.725,0.748425,7.1608,0.841163,2.87055,15.1075,0.267878,2.24792,0.366635,0.739606,0.0161927,0.768077,7.92992,0.245551,3.59969,0.0999337,0.321648,0.0167088,0.444891,9.11842,0.195992,0.861949,
140,35.3537,53.83,93.983,0.656765,0.125839,8.11524,14.6942,0.429623,5.36168,0.21841,0.567159,2.03416,0.434694,20.1879,0.359242,1.30186,0.547161,39.906,44.0548,0.914815,8.19224,0.358866,1.20145,10.0737,0.0935735,0.34453,0.277148,0.324583,0.0161927,0.768077,7.91619,0.245551,3.56769,0.0984741,0.321519,0.0165528,0.014962,19.3525,0.185035,1.21362,
141,35.3537,123.352,226.351,0.286608,0.400826,26.5489,48.6002,0.781858,12.9976,0.40121,1.45445,10.8747,0.43658,18.6841,0.494676,1.67667,1.10562,72.4518,112.954,1.35967,26.7018,0.731252,3.16041,29.188,0.117835,4.6589,0.524453,1.27734,0.0161927,0.768077,7.91619,0.245551,3.59969,0.0984741,0.321519,0.0165528,0.0231478,1.48723,0.210188,1.22525,
142,35.3537,103.26,230.369,0.342377,0.245173,18.7156,45.5519,0.569719,6.5464,0.320083,1.15876,7.70367,0.471839,20.1311,0.417359,1.42797,0.900424,67.5858,130.753,1.17739,12.4034,0.742469,3.36751,29.7976,0.117875,2.15093,0.392841,0.81013,0.0161927,0.75841,7.86662,0.245551,3.56542,0.097742,0.321519,0.0136863,0.445933,14.7854,0.214761,1.22525,
143,35.2011,67.101,182.428,0.524599,0.0547902,9.03396,23.7239,0.363127,6.36876,0.443925,0.792797,4.0053,0.458894,20.0951,0.367491,1.39298,0.174401,49.2298,97.4711,0.600365,13.9481,2.06592,2.91628,19.9449,0.133276,1.30354,0.230836,1.02851,0.0161927,0.73811,7.81745,0.245843,3.59969,0.0915919,0.321519,0.0111397,0.0828671,11.797,0.224257,1.07456,
144,35.1619,117.719,230.576,0.298694,0.275449,19.3605,55.3663,0.721212,10.9016,0.524311,1.32823,7.68576,0.472614,19.1612,0.599772,1.32212,0.774416,60.1099,143.182,1.32227,22.5878,1.22021,2.6427,20.6523,0.168987,4.24075,0.715705,0.56534,0.0163181,0.71394,7.81745,0.245843,3.59969,0.0856008,0.321519,0.0111397,0.0319,1.49791,0.256957,0.543602,
145,35.1619,64.6281,125.638,0.544066,0.136197,8.98888,19.8207,0.511318,6.52769,0.216558,0.983564,4.9655,0.430565,20.2883,0.405446,1.35344,0.681709,40.4985,63.0556,1.10282,15.225,0.435236,2.69982,22.0312,0.0899075,2.87951,0.299915,0.554075,0.0163181,0.71394,7.75742,0.245843,3.62085,0.0856008,0.32231,0.0111397,0.0217033,14.4113,0.256957,1.24327,
146,35.1619,101.376,226.168,0.346846,0.15131,22.199,38.4497,0.671331,10.2863,0.272473,0.775155,5.65382,0.447666,20.4472,0.489039,1.53329,0.514062,73.2824,108.636,1.43455,25.8487,0.621394,1.76917,22.3485,0.0788151,4.20747,0.553821,1.25281,0.0163181,0.71394,7.79357,0.244448,3.60624,0.0856008,0.322703,0.017075,0.23851,9.90037,0.236607,0.922827,
147,35.1619,110.827,247.867,0.317268,0.440707,23.5151,45.582,0.675956,8.79966,4.90815,1.04056,3.9455,0.451919,19.4938,0.552434,1.42164,2.062,76.3403,125.089,1.29218,18.7902,32.8122,2.69406,15.5669,0.12297,2.58133,0.673631,0.952772,0.0163605,0.71394,7.8658,0.246302,3.63585,0.0945979,0.215048,0.01482,0.123959,8.00741,0.259094,0.835393,
148,35.1557,94.1469,176.137,0.373414,0.291884,16.7198,29.98,0.605353,11.6344,0.345798,1.23007,9.17447,0.449631,21.575,0.546253,1.59424,1.03486,54.2491,78.0655,1.01217,27.3735,2.71319,2.71777,27.9789,0.099343,8.75747,0.580439,1.35293,0.0163605,0.71394,7.83215,0.246302,3.64715,0.0945979,0.323047,0.01482,0.0386663,15.0688,0.259094,0.779936,
149,35.1557,79.4232,178.086,0.442638,0.193186,10.0854,35.1512,0.472662,6.12493,0.226133,0.984753,4.11882,0.457063,19.8189,0.428758,1.36144,0.928407,44.5127,115.888,0.977439,12.1763,0.559767,3.84218,18.7221,0.0728569,2.25114,0.382461,0.607774,0.0163345,0.71394,7.85727,0.246407,3.63945,0.0879202,0.322333,0.0150779,0.371796,12.2512,0.259094,1.24591,
150,35.1557,57.9789,111.981,0.606353,0.0774383,5.4865,20.7537,0.415849,4.98255,0.213557,0.510427,3.82576,0.445041,19.6346,0.368972,1.26453,0.284235,32.7561,66.2737,0.835826,6.50567,0.510224,0.931421,18.6048,0.0236174,2.21609,0.236884,0.162653,0.0163345,0.71394,7.83411,0.246578,3.6384,0.0879202,0.322272,0.0150779,0.33524,7.78053,0.239456,1.01977,
151,35.1316,50.2654,105.41,0.698921,0.0780524,1.33727,20.1357,0.32986,5.35212,0.197647,0.560371,0.297093,0.464557,19.9213,0.335608,1.2559,0.40819,5.84721,85.2613,0.566819,11.6953,0.620591,1.59316,3.53025,0.110556,0.9674,0.08718,0.0397336,0.0163667,0.71394,7.85919,0.245522,3.60451,0.0879202,0.321494,0.0150036,0.446779,13.456,0.259094,1.24536,
152,35.1155,80.7306,164.5,0.434971,0.16089,10.8203,23.52,0.455171,9.67016,0.256851,0.783503,8.34545,0.436875,24.2009,0.462998,1.61751,0.538211,45.0663,63.3947,0.73493,22.9862,0.556515,2.02065,31.4753,0.0560629,31.7713,0.53107,1.70907,0.0163667,0.712699,7.83222,0.245983,3.64398,0.0879202,0.321494,0.0150779,0.16272,9.37215,0.262195,0.894643,
153,35.1155,53.4725,101.587,0.656701,0.145083,6.26838,15.5285,0.362556,5.02124,0.200255,0.61924,3.12147,0.452551,20.1558,0.34675,1.25067,0.65716,33.2704,47.7212,0.589197,7.39133,0.465455,1.39952,16.0686,0.0420271,5.15883,0.221945,0.384753,0.0163667,0.703562,7.82734,0.246657,3.65222,0.104818,0.322911,0.0145741,0.360689,7.41788,0.262195,0.70118,
154,35.0698,58.9764,124.626,0.594641,0.0847461,2.30274,24.8528,0.407868,5.26822,0.22033,0.773293,3.30767,0.452774,19.6428,0.414044,1.24919,0.394996,9.36867,94.3885,0.798071,8.85579,0.552852,2.3105,16.2841,0.0641689,1.83292,0.532369,0.0953902,0.0162555,0.703562,7.85786,0.246657,3.66002,0.104818,0.322911,0.0145741,0.238939,9.94967,0.262195,0.776292,
155,35.0531,85.206,183.528,0.411393,0.199332,9.0012,38.1925,0.437395,7.65346,0.302555,0.91947,7.26303,0.446977,19.0529,0.48172,1.25541,0.865429,44.0493,108.74,0.743889,16.5038,0.706596,2.31929,31.4101,0.0659746,3.49159,0.610868,0.133343,0.0163006,0.703562,7.84155,0.246657,3.65114,0.103753,0.321093,0.0145741,0.10965,0.233608,0.254468,0.635719,
156,35.0531,54.5492,105.571,0.642596,0.134616,6.25278,16.8456,0.417047,5.21467,0.185316,0.769824,2.90977,0.447653,19.7845,0.354978,1.23249,0.735482,38.1273,49.0593,0.898267,8.97395,0.421989,2.11021,14.7523,0.0285987,1.4277,0.290479,0.160583,0.0163006,0.703562,7.86561,0.246577,3.63916,0.103753,0.322083,0.0145741,0.280403,11.2602,0.247067,0.151778,
157,35.0531,68.3212,133.627,0.513064,0.109134,7.45927,23.4204,0.503066,7.72506,0.193575,0.583586,6.31789,0.462924,19.7236,0.382789,1.43982,0.371125,30.8595,62.0189,1.03673,19.0509,0.352428,1.19628,25.7563,0.161304,3.38934,0.339631,1.36057,0.016271,0.703562,7.76061,0.246657,3.65114,0.103747,0.322083,0.013863,0.21963,5.12289,0.247067,0.556436,
158,35.0501,101.535,230.685,0.345202,0.1513,16.7999,46.8459,0.542111,9.16457,0.311361,0.759651,5.28063,0.47277,19.3991,0.455815,1.35193,0.483814,60.1009,135.324,1.04176,21.4907,0.739111,1.92066,20.8541,0.0940016,2.15461,0.578037,0.891421,0.0162885,0.702116,7.89977,0.247081,3.65114,0.103747,0.322083,0.0152498,0.446784,7.49708,0.247067,0.353417,
159,35.0361,79.8989,165.376,0.438505,0.0568336,10.9778,31.1818,0.475737,7.90814,0.267961,0.99188,6.93403,0.446483,18.7627,0.418194,1.47749,0.166517,41.034,99.191,0.809111,14.3983,0.557078,2.36411,26.6223,0.057855,4.13123,0.45074,1.26632,0.0162341,0.703713,7.80494,0.246457,3.65114,0.105237,0.322083,0.0150838,0.167476,0.277898,0.234599,0.796144,
160,35.0361,93.3063,186.869,0.375495,0.194688,13.5059,36.9663,0.600107,10.5084,0.363812,0.855751,8.1231,0.461741,19.7768,0.459901,1.48967,0.708564,53.6479,108.923,1.12099,22.7662,0.914123,2.21002,27.3552,0.112111,5.86648,0.556288,1.01064,0.0162885,0.703713,7.81111,0.247457,3.6526,0.105237,0.322939,0.016486,0.292573,0.264455,0.246173,1.18575,
161,35.0227,70.5964,177.764,0.496098,0.23043,5.18214,31.8177,0.44384,6.54312,0.319841,1.05124,2.87984,0.464552,19.8746,0.362314,1.42674,1.24964,23.0528,123.75,0.951949,14.5118,1.1671,3.71427,15.1898,0.17399,0.652371,0.372951,0.897707,0.0162885,0.708265,7.88408,0.247457,3.6526,0.105237,0.323101,0.016495,0.0842644,15.8435,0.246173,1.2406,
162,35.0227,83.8756,194.714,0.417556,0.107245,12.9388,35.5307,0.412523,7.30258,0.229569,0.816126,4.42757,0.459419,19.8103,0.447058,1.39368,0.476819,50.678,112.538,0.767267,15.1996,0.536652,2.28987,19.9572,0.0929472,1.27055,0.618478,0.755581,0.0163006,0.718753,7.91073,0.247894,3.66132,0.105637,0.323101,0.0162805,0.18286,11.5295,0.246173,1.2406,
163,35.0227,98.6092,305.498,0.355167,0.136651,12.0724,45.1791,0.459693,8.93386,0.341455,0.733224,7.64552,0.451401,20.9133,0.355358,1.38723,0.702382,54.7181,173.26,1.02939,31.2772,1.2996,1.70461,37.8018,0.111924,9.59102,0.279075,0.920418,0.0163006,0.717746,7.89812,0.232234,3.30427,0.105637,0.323101,0.016495,0.147421,7.71576,0.258967,0.683411,
164,35.0227,106.945,224.255,0.327484,0.127309,15.7708,50.4299,0.706772,10.1688,0.436176,0.928963,6.86434,0.478042,19.193,0.440696,1.4001,0.382302,59.0137,143.643,1.41994,22.7985,1.05195,2.6137,24.0106,0.16158,3.42192,0.48912,0.962274,0.0162169,0.719225,7.9166,0.247969,3.20783,0.105637,0.323101,0.016495,0.239543,4.6345,0.254821,0.437537,
165,35.0227,72.0173,158.648,0.48631,0.0725786,10.7094,25.7233,0.41774,6.67883,0.267518,0.468814,6.10569,0.444703,19.4688,0.375955,1.28399,0.300099,49.2552,77.6014,0.694423,11.9742,0.650294,0.859319,25.7144,0.0552226,1.79058,0.373315,0.319966,0.0162169,0.720061,7.89359,0.247593,3.66132,0.105637,0.282033,0.016495,0.173777,9.87695,0.260238,0.715913,
166,35.0189,70.6567,175.054,0.495621,0.132642,11.7919,23.5226,0.435134,6.59043,0.193218,0.609928,5.43088,0.448189,19.7494,0.396275,1.35606,0.627579,54.5606,76.6453,0.904184,14.187,0.455096,1.45514,26.5177,0.0311827,0.852818,0.535731,0.6389,0.0162169,0.720424,7.89327,0.247593,3.66229,0.105678,0.324588,0.0198825,0.289127,14.9004,0.254782,1.24339,
167,35.0128,75.4793,161.085,0.463873,0.114856,7.29889,36.3245,0.432773,6.60868,0.242686,0.628303,2.2186,0.46311,19.4141,0.437539,1.2953,0.668771,35.5478,117.8,0.727217,12.6104,0.587381,1.16481,9.88056,0.118287,2.28354,0.584551,0.441052,0.0162169,0.721207,7.89359,0.247593,3.66229,0.105002,0.324172,0.0198825,0.190479,5.19054,0.254782,0.362929,
168,35.0052,127.638,255.4,0.274253,0.108853,23.5374,61.9936,0.655315,8.8372,0.444593,0.923508,7.93501,0.458721,20.851,0.546203,1.34698,0.452035,71.1945,145.964,1.12961,15.408,1.04148,1.85651,21.67,0.10953,13.1732,0.748023,0.439955,0.0162316,0.717873,7.89359,0.247593,3.66229,0.104345,0.324172,0.0198825,0.129914,7.59908,0.266335,1.05442,
169,35.0052,46.2811,78.7677,0.75636,0.0677936,1.42471,16.7414,0.287331,4.66798,0.165418,0.547796,0.635147,0.442704,19.6839,0.31732,1.29957,0.35564,22.4138,73.1924,0.346514,7.96915,0.401488,1.45848,7.01658,0.0427745,1.91152,0.288384,0.345337,0.0162316,0.720414,7.92507,0.249028,3.67457,0.104729,0.327842,0.0202263,0.164949,9.04982,0.26595,1.23992,
170,35.0052,93.7901,180.961,0.373229,0.131103,12.2373,44.4041,0.58258,7.26481,0.252435,0.688553,6.98005,0.458219,19.0716,0.386571,1.33275,0.423425,50.8454,120.297,1.07837,12.4666,0.480935,1.23468,22.884,0.122524,2.7357,0.312845,0.41427,0.0162316,0.720903,7.92507,0.249028,3.66895,0.104422,0.326624,0.0202263,0.20219,8.52811,0.263117,0.525069,
171,34.9931,92.8479,190.504,0.376887,0.252516,19.6158,36.9135,0.592265,7.27832,0.705042,0.845931,4.71022,0.447941,19.5675,0.49897,1.41978,0.915074,64.8143,105.871,1.04644,13.3343,3.33551,1.97697,18.4539,0.112188,3.7308,0.666344,0.711074,0.0162316,0.721009,7.91472,0.248113,3.66895,0.103801,0.111301,0.0188025,0.0081197,4.47763,0.247783,1.24101,
172,34.9931,63.1773,138.393,0.553887,0.0493488,6.5227,26.695,0.373785,5.072,0.202333,0.656517,2.05818,0.460175,19.5037,0.349185,1.23444,0.194631,38.4784,93.1204,0.66147,7.16853,0.512865,1.78198,10.1666,0.0589682,1.96316,0.324741,0.206704,0.0162316,0.721009,7.91472,0.248113,3.66895,0.103801,0.324304,0.0188025,0.447537,7.77728,0.263117,0.460632,
173,34.9931,92.9491,197.229,0.376476,0.129313,14.6938,37.8654,0.498564,8.358,0.252399,1.14175,6.22779,0.446905,21.4741,0.472863,1.38818,0.460178,57.3301,110.376,0.86092,18.349,0.577497,3.19415,24.3013,0.0769,13.6461,0.63953,0.686851,0.0162513,0.721009,7.92572,0.248113,3.67891,0.103801,0.324304,0.0188025,0.0499306,9.38479,0.261197,0.769812,
174,34.9888,69.0878,136.111,0.50644,0.100793,7.67261,29.4337,0.465999,5.85822,0.267697,0.820917,3.26818,0.448458,19.1213,0.390441,1.23952,0.375189,28.9807,87.243,1.04084,10.1984,0.637606,2.78995,13.6874,0.0186043,3.9942,0.443634,0.149744,0.0162651,0.720486,7.92155,0.248113,3.67411,0.103801,0.324304,0.0188025,0.383018,0.703306,0.263117,0.774473,
175,34.9888,76.254,163.404,0.458846,0.226272,6.59977,37.5744,0.503071,5.50381,0.248369,0.52774,3.54917,0.469315,19.4271,0.374622,1.25047,0.963713,35.7488,120.401,1.016,10.3202,0.67637,0.80775,15.0053,0.116862,1.90392,0.271568,0.014916,0.0162273,0.720486,7.91114,0.248069,3.66352,0.103801,0.32408,0.0169297,0.355125,10.0619,0.270566,1.1968,
176,34.9878,51.1772,86.8946,0.683659,0.0872868,5.01696,16.0555,0.415587,4.59886,0.149288,0.589218,2.43084,0.437984,19.7252,0.404258,1.26623,0.425506,29.7453,43.571,0.849074,5.26295,0.235075,1.39687,12.5769,0.0685991,1.40591,0.511873,0.127046,0.0162273,0.717172,7.92999,0.248113,3.67411,0.103801,0.324304,0.0188025,0.0189417,10.356,0.270566,1.14584,
177,34.9712,61.8633,103.899,0.565299,0.156337,4.51431,22.9873,0.531197,7.22876,0.236599,0.543437,3.50029,0.437901,20.0698,0.397044,1.26025,0.505582,14.4358,69.9509,1.00715,12.9592,0.456028,0.967118,11.8438,0.0525403,6.82401,0.383127,0.41752,0.0162651,0.718971,7.89644,0.248113,3.67199,0.102901,0.324304,0.0188025,0.177294,8.00513,0.270566,0.160658,
178,34.9712,86.9847,210.836,0.402039,0.153231,13.4135,38.0621,0.505552,6.88827,0.203522,0.893581,5.06029,0.468572,19.5619,0.386314,1.38786,0.626494,58.6887,119.054,1.05479,13.7385,0.502548,2.60772,20.5276,0.104557,1.65191,0.360443,0.776668,0.0162651,0.718971,7.91739,0.248315,3.67411,0.102901,0.324479,0.0188025,0.447456,9.98644,0.270566,0.475857,
179,34.9712,57.9779,119.104,0.603183,0.0919169,7.3344,16.5171,0.379519,7.7182,0.17793,0.613921,3.26069,0.453823,19.546,0.341789,1.54258,0.420922,42.4259,45.1274,0.66658,20.0717,0.376368,1.43945,15.937,0.0669349,2.8674,0.246669,1.44441,0.0162651,0.718971,7.92095,0.24913,3.67743,0.102901,0.328821,0.0210571,0.295778,0.0800972,0.273275,1.24431,
180,34.9697,104.506,212.676,0.334618,0.343388,17.1474,45.4086,0.682201,10.16,0.385682,1.21228,6.13637,0.469759,20.5781,0.469621,1.51278,1.20789,64.5951,123.494,1.39599,20.3704,0.901707,2.81694,20.3536,0.0790401,9.13836,0.577466,1.02393,0.0162651,0.720718,7.95247,0.249114,3.67241,0.102901,0.328821,0.0208556,0.447464,9.39043,0.273275,1.24431,
181,34.9656,77.2509,174.991,0.452623,0.129559,10.5072,27.5803,0.49818,9.18322,0.940104,0.741557,4.73395,0.456707,20.3728,0.427684,1.67963,0.533899,48.5405,95.3456,1.08808,22.866,4.95625,1.78825,21.0438,0.128242,2.59856,0.577866,1.8017,0.0162651,0.722289,7.95356,0.248983,3.67946,0.102901,0.328821,0.0219228,0.192491,19.7587,0.273275,1.24431,
182,34.9656,61.6972,134.083,0.566728,0.051627,10.5818,19.2751,0.39406,5.52216,0.168204,0.534221,3.46781,0.448919,19.6284,0.34856,1.27634,0.195675,48.4796,56.9387,0.815275,11.0199,0.34891,0.967416,18.0667,0.0711136,1.65309,0.377132,0.423982,0.0164449,0.722252,7.96446,0.24939,3.67679,0.102901,0.332482,0.0221863,0.120744,9.3558,0.273275,1.24431,
183,34.9656,133.815,305.488,0.261298,0.28068,24.673,61.6919,0.593577,8.83477,0.65315,1.13506,9.59512,0.504576,24.0599,0.43007,1.36332,0.84555,79.6929,164.107,1.0374,18.2483,2.22739,2.98982,33.2404,0.195375,31.6097,0.456457,0.681962,0.0164573,0.721678,7.96446,0.24939,3.68026,0.102901,0.331282,0.0217991,0.44715,9.42255,0.274609,0.659215,
184,34.9612,83.9453,194.154,0.416475,0.131003,11.9856,35.4546,0.361844,9.55825,0.22655,0.776001,3.38658,0.473426,19.8017,0.330735,1.45906,0.513649,52.0803,118.272,0.607353,23.8002,0.688533,2.01812,16.443,0.142442,4.44318,0.210347,0.848068,0.0164573,0.722751,7.96297,0.24939,3.6868,0.102901,0.332408,0.0221863,0.447346,12.3674,0.274609,1.24685,
185,34.9609,79.3944,152.23,0.440344,0.301916,15.4211,20.3951,0.508473,9.089,0.232062,0.795206,4.63505,0.440209,25.7354,0.418479,1.42243,1.10394,55.2533,50.3494,0.886579,20.4369,0.459885,1.804,15.8125,0.0428571,40.5497,0.502769,0.854374,0.0165217,0.720941,7.9588,0.24939,3.6868,0.102803,0.332482,0.0218041,0.277702,13.1497,0.274106,0.27559,
186,34.9584,53.4476,98.0399,0.654068,0.143587,5.79568,17.4168,0.380735,5.00983,0.202376,0.476643,2.44164,0.44038,19.5642,0.333954,1.24177,0.777663,35.4577,49.3974,0.686359,7.94247,0.480141,0.851441,13.2234,0.0372367,6.23738,0.259492,0.177284,0.0165217,0.720941,7.9484,0.24939,3.68692,0.102803,0.332482,0.0218041,0.245794,12.1457,0.273927,1.04545,
187,34.9573,96.9183,191.101,0.360689,0.223333,18.0819,38.9406,0.622774,8.04552,0.284101,0.788142,8.73231,0.43729,18.7515,0.490492,1.52032,0.707776,62.7798,89.5889,1.13638,17.4663,0.539585,1.55201,25.6454,0.0918402,3.25619,0.650733,1.2529,0.0163541,0.720941,7.96297,0.249511,3.69472,0.102803,0.250651,0.0229212,0.0728536,6.13154,0.273927,0.968264,
188,34.9514,62.1906,137.825,0.562004,0.180522,9.52705,21.1955,0.384011,6.06945,0.230279,0.679858,2.15855,0.464796,19.4369,0.379821,1.48391,0.838806,48.9185,67.9623,0.691712,11.7503,0.723889,2.11468,10.5723,0.0895869,2.81425,0.48353,1.19664,0.0163541,0.720941,7.96297,0.249511,3.68793,0.102803,0.333826,0.0237164,0.44744,0.352502,0.273927,1.24679,
189,34.9469,99.858,271.332,0.349966,0.108548,10.7399,53.2241,0.469226,6.23984,1.22866,0.57249,4.2529,0.468749,20.8561,0.375024,1.32241,0.391822,50.2186,180.531,0.920712,12.6122,7.1267,0.992596,17.664,0.165331,8.92101,0.377619,0.524814,0.0163541,0.723648,7.96094,0.249476,3.68926,0.102337,0.331614,0.0225799,0.0859067,12.8653,0.272099,0.828458,
190,34.9427,79.662,177.423,0.438637,0.169475,7.8751,39.4115,0.494009,6.25198,0.316518,0.702594,2.86777,0.475059,19.4162,0.370823,1.31109,0.765424,33.6141,125.649,1.12436,10.8982,1.17412,1.86784,12.3966,0.114481,2.11318,0.387358,0.459771,0.0164205,0.722947,7.96094,0.249476,3.69236,0.102337,0.333305,0.0223887,0.44744,11.6847,0.272099,1.00235,
191,34.9392,64.5139,145.404,0.541576,0.0735093,6.20142,28.7912,0.400792,5.08969,0.189077,0.521228,1.74359,0.470747,19.4293,0.323961,1.27931,0.335363,36.8515,108.696,0.763928,7.09767,0.49351,1.02866,8.4861,0.131473,2.29522,0.221391,0.196583,0.0164205,0.724437,7.96094,0.249476,3.69236,0.102337,0.335577,0.0241321,0.44761,3.48399,0.272099,1.24509,
192,34.9392,76.8597,147.304,0.454584,0.294009,8.75772,32.7698,0.535047,5.94419,0.322358,0.710105,6.13027,0.459315,19.2257,0.417812,1.29341,1.31619,31.8799,96.5747,1.02338,8.78571,0.761624,1.73041,22.1442,0.0707854,2.09897,0.517832,0.464864,0.016575,0.724223,7.95553,0.249476,3.69123,0.102337,0.336001,0.0241321,0.319905,10.2214,0.271829,0.388283,
193,34.9392,90.0076,177.844,0.38818,0.1876,14.0947,37.6769,0.650398,9.13194,0.469856,0.534995,5.53163,0.433952,19.4363,0.432591,1.42676,0.614281,58.7669,96.6711,1.26244,20.0289,1.4394,0.894424,16.692,0.0980636,3.03489,0.508678,0.77694,0.0165162,0.725465,7.95553,0.249476,3.69236,0.102277,0.193196,0.0232779,0.0395739,8.99256,0.273104,1.15201,
194,34.9392,63.6439,140.59,0.548979,0.0636884,5.55036,28.9503,0.354196,4.60983,0.242473,0.757595,1.46739,0.453398,19.5787,0.324154,1.29177,0.271978,29.3767,103.62,0.577325,6.32002,0.691467,2.30711,7.13485,0.0466461,1.10328,0.242609,0.249235,0.0165162,0.725003,7.95553,0.249583,3.69236,0.102277,0.334103,0.0232779,0.415721,12.6571,0.270565,1.24527,
195,34.9392,66.2274,126.436,0.527564,0.265211,13.8023,17.0824,0.466451,8.53349,1.2034,0.733234,1.91906,0.440866,19.9464,0.377255,1.45732,1.37891,60.9361,44.827,0.862183,19.6541,7.41444,1.6952,8.75458,0.0595654,3.77144,0.465333,0.911233,0.0165162,0.725003,7.95553,0.249648,3.69785,0.102277,0.334103,0.0232779,0.0353831,10.7275,0.270565,1.24527,
196,34.9363,78.1645,183.26,0.446959,0.127928,11.4564,31.3158,0.468911,6.21277,0.206471,0.979236,5.40988,0.451108,19.9019,0.347146,1.28699,0.50928,43.3123,109.203,0.891492,10.3407,0.934978,2.61415,22.6424,0.111213,3.52042,0.326685,0.274841,0.0165162,0.725003,7.96526,0.249652,3.69537,0.102277,0.334103,0.0232779,0.168848,9.32463,0.270565,1.24527,
197,34.9354,87.1834,222.957,0.400712,0.217515,7.06641,39.0094,0.468463,8.31412,0.265766,0.980596,7.89453,0.488057,20.393,0.386033,1.69945,0.844143,26.2534,147.499,0.873839,21.8522,0.592396,2.50868,30.7868,0.227719,4.31301,0.376404,2.16352,0.0168894,0.725612,7.95435,0.24968,3.69537,0.103021,0.343169,0.0248726,0.0270334,6.96566,0.280713,1.24638,
