Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
290,1230.49,2155.59,2794.27,0.570836,121.323,0,71.4976,1458.41,110.577,3.53975,252.894,119.408,17.9422,345.938,0,188.093,797.212,351.318,1.7938,1538.88,340.658,21.0999,0.126468,0,0.00179024,1207.52,0.185618,0.061747,0.934307,0.0459642,10.0823,
291,1230.49,2285.27,4487.01,0.538443,70.0658,0,42.9183,1398.98,66.267,3.27511,617.895,69.3428,16.533,265.101,0,157.064,736.805,254.256,1.14907,3545.12,263.975,20.8419,0.126468,0,0.00179024,1208.31,0.185618,0.323338,0.934307,0.0459642,10.0823,
292,1230.49,1873.22,1932.33,0.656887,86.0708,0,39.7839,1491.08,105.331,3.76068,46.7486,82.5603,17.8772,297.287,0,126.35,912.615,357.262,2.14547,496.251,290.587,22.9914,0.126468,0,0.00179024,1208,0.185618,1.55435,0.934307,0.0459642,10.0823,
293,1229.47,23778.2,220779,0.0517059,56.4221,0,33.7285,1360.43,53.7402,3.49959,22199.2,55.8405,15.3166,219.32,0,123.539,596.105,264.897,1.64366,219645,216.757,16.5606,0.126468,0,0.00179024,1208,0.185618,0.831486,0.934307,0.0459642,10.0823,
294,1229.47,1817.85,1796.08,0.676333,68.3879,0,42.1969,1431.06,63.6779,3.42149,124.942,67.0512,17.1112,210.859,0,131.759,707.455,242.852,1.68946,9946.76,206.983,20.2446,0.126468,0,0.00179024,1208,0.185618,0.694254,0.988985,0.0459642,10.0823,
295,1229.47,1804.07,1744.03,0.6815,65.2939,0,35.6406,1506.38,61.6019,3.4639,48.1056,64.0387,19.5411,225.805,0,113.488,945.573,265.221,1.71288,179.563,221.976,26.8486,0.126468,0,0.0147381,1208,0.185618,0.931027,0.988985,0.0459642,10.0823,
296,1229.47,1974.08,3125.41,0.622807,82.4426,0,59.9869,1410.54,79.9916,3.48622,239.291,81.6073,16.734,272.949,0,176.245,741.515,275.603,1.5546,1958.79,270.906,20.5666,0.126468,0,0.0147381,1208,0.185618,0.968929,0.988985,0.0459642,10.0823,
297,1229.47,1762.57,1628.39,0.697544,84.0606,0,42.4581,1394.1,81.2293,3.77384,54.6395,86.0324,16.2765,262.834,0,130.61,624.93,310.171,2.23077,207.822,266.688,17.6651,0.126468,0,0.0147381,1208,0.185618,0.179506,0.988985,0.0459642,10.0823,
298,1229.47,1942.98,2273.57,0.632776,65.5926,0,49.1144,1425.63,94.7527,3.51223,223.627,63.6253,17.1309,211.976,0,147.575,713.66,283.738,1.99228,1511,211.384,20.3782,0.126468,0,0.0147381,1208,0.185618,0.54961,0.988985,0.0459642,10.487,
299,1229.47,1614.36,1335.86,0.761584,45.8259,0,37.7331,1394.75,15.0376,3.40698,55.2504,45.5104,16.8494,195.255,0,133.216,724.424,120.755,1.3882,298.85,193.763,21.7868,0.126468,0,0.0147381,1099.54,0.185618,0.654598,0.988985,0.0459642,10.487,
300,1229.47,1979.94,1909.15,0.620964,115.834,0,51.9175,1492.95,111.655,3.86267,70.4129,114.186,19.1246,331.407,0,134.955,774.273,350.945,2.41316,203.76,327.476,22.2668,0.126468,0,0.0147381,1208,0.185618,0.855391,0.988985,0.0459642,10.487,
301,1229.47,2044.46,2372.71,0.601369,121.972,0,43.8856,1485.77,95.4381,3.59114,153.857,120.899,19.0478,348.813,0,132.103,802.049,324.812,1.7072,812.558,345.781,23.1836,0.126468,0,0.0147381,1208,0.185618,1.98503,0.988985,0.0459642,10.487,
302,1229.47,1991.88,3082.94,0.617243,67.9788,0,39.505,1479.68,81.6534,3.65979,235.584,65.8855,17.9344,266.531,0,129.7,1007.45,344.84,1.88955,2141.63,257.351,24.2838,0.126468,0,0.0147381,1208.38,0.148786,1.01781,1.35822,0.0459642,10.487,
303,1228.52,1604.4,1822.61,0.765722,33.8253,0,20.5803,1306.26,44.7511,3.17515,149.821,32.5878,13.4036,139.719,0,88.07,375.887,218.608,1.16369,1215.02,138.052,11.5652,0.126468,0,0.0147381,1208.38,0.148786,0.205681,1.19554,0.0459642,10.487,
304,1228.52,1777.06,1750.74,0.691323,93.128,0,39.9419,1374.51,63.7846,3.43076,93.8026,92.4151,16.0524,308.554,0,129.915,656.721,221.603,1.54788,705.437,306.545,19.062,0.126468,0,0.0874527,1208.38,0.148786,0.85353,1.19554,0.0459642,10.487,
305,1228.52,1640.44,1467.55,0.7489,54.4721,0,32.9914,1366.29,58.9517,3.65167,54.733,54.0042,15.348,227.819,0,119.366,679.488,239.894,1.97818,217.037,226.428,18.8623,0.126468,0,0.0730814,1208.38,0.148786,1.73529,1.19554,0.0257404,10.487,
306,1228.52,1943.49,2361.88,0.632123,87.1374,0,45.8592,1383.25,90.4026,3.30888,231.76,85.786,15.9827,281.416,0,141.721,615.023,295.351,1.45036,1280.12,277.644,17.2537,0.126468,0,0.0730814,1208.38,0.148786,0.886333,1.19554,0.0257404,10.487,
