Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
13,1209.91,2118.38,786.095,0.571149,0,14.4353,153.581,165.676,148.23,5.00316,1089.87,375.259,166.323,0,14.3968,104.936,164.539,134.545,3.59796,438.038,271.524,165.578,0,2.37088,8.41352,1.41574,1.50029,0.0453026,875.271,34.2107,1.65079,
14,1209.91,2236.87,1322.73,0.540895,0,14.984,164.684,185.698,174.644,4.87401,1142.92,362.125,186.94,0,17.0802,145.992,225.705,201.051,3.54888,588.076,322.835,228.302,0,2.37088,8.41352,1.41574,3.66412,0.244945,875.271,33.8202,1.65079,
15,1209.91,2028.87,1001.07,0.596347,0,13.5273,171.025,161.227,135.028,4.36695,1058.26,323.777,161.661,0,13.1627,182.271,194.3,116.171,2.98523,371.445,270.077,195.671,0,2.37088,16.0214,1.41574,3.66412,0.244945,875.271,26.8387,1.65079,
16,1209.91,2155.83,1731.6,0.561228,0,13.2675,172.765,160.058,160.401,4.88145,1157.83,322.519,164.112,0,14.2056,184.958,165.343,262.766,3.38264,911.313,303.679,187.22,0,2.37088,16.0214,1.41574,3.66412,0.244945,875.271,26.8387,1.65079,
17,1209.91,2120.68,1360.89,0.570529,0,15.9461,168.224,155.431,138.935,4.41764,1174.68,306.502,156.546,0,22.249,175.498,190.668,137.866,3.06312,773.689,302.454,193.828,0,2.37088,16.0214,1.41574,3.66412,0.119663,875.271,22.6048,1.65079,
18,1209.91,2259,2075.82,0.535595,0,13.454,259.163,174.2,180.235,4.43631,1159.2,289.961,178.351,0,13.7759,954.073,252.66,325.82,3.26749,797.704,254.022,266.706,0,2.37088,16.0214,1.41574,3.66412,0.148378,875.271,22.6048,1.65079,
19,1209.91,2237.98,2462.24,0.540625,0,15.1226,165.241,160.443,173.627,4.50961,1246.21,308.996,163.831,0,22.4419,185.335,273.405,319.702,3.2473,1399.42,329.088,287.731,0,2.37088,16.0214,1.41574,2.02819,0.148378,875.271,22.6048,1.65079,
20,1209.91,2173.39,1661.39,0.556694,0,14.4445,201.599,186.248,136.13,4.57697,1106.81,336.721,186.857,0,16.0121,464.433,267.46,169.453,3.50456,549.445,363.274,266.154,0,2.37088,16.0214,1.41574,2.02819,0.378024,875.271,22.6048,1.65079,
21,1209.91,4775.47,27144.3,0.25336,0,15.3775,2882.58,146.794,127.656,4.3523,1159.21,291.564,147.946,0,20.9218,26645.8,224.853,198.821,3.49727,772.743,317.238,233.208,0,2.37088,16.0214,1.41574,2.02819,0.378024,875.271,22.6048,1.65079,
22,1209.91,2256.06,2912.63,0.536293,0,14.1608,385.08,171.702,140.249,3.76098,1081.36,287.489,172.263,0,14.7419,2146.2,267.814,214.325,2.62633,476.897,319.991,267.931,0,2.37088,16.0214,0.796753,2.02819,0.378024,875.271,22.6048,1.56084,
23,1209.91,2089.26,1902.41,0.579109,0,15.0762,245.722,144.251,116.408,3.81851,1129.08,290.087,144.826,0,21.5209,779.206,205.71,156.425,2.79192,769.002,354.128,206.584,0,2.37088,9.3963,0.796753,2.02819,0.16204,875.271,22.6048,1.56084,
24,1177.64,1813.95,958.222,0.649212,0,13.441,131.795,137.839,111.65,3.8216,1045.36,231.757,138.296,0,12.7876,114.851,178.198,124.153,2.39108,410.007,245.819,179.506,0,2.37088,9.29849,0.796753,2.02819,0.378024,875.271,22.6048,1.56084,
25,1177.64,1888.74,1246.15,0.623504,0,14.2577,146.66,145.297,128.755,3.78919,1077.94,226.171,145.873,0,16.3981,153.495,208.01,150.494,2.24412,561.531,253.124,208.839,0,2.37088,8.32614,0.796753,2.02819,0.378024,875.271,22.6048,1.56084,
26,1177.64,2025.78,2568.16,0.581326,0,14.5987,340.063,129.968,95.7121,4.0248,1075.37,235.667,130.377,0,18.623,1997.28,190.065,109.197,2.66462,640.297,292.875,192.32,0,2.37088,7.74587,0.796753,2.02819,0.351208,875.525,22.6048,1.56084,
27,1088.8,1994.89,1566.82,0.545795,0,16.9951,136.626,152.667,122.937,4.04548,1170.33,237.845,153.439,0,22.7661,170.158,278.847,185.511,2.97668,801.065,298.433,278.531,0,2.37088,7.74587,0.796753,2.02819,0.402317,875.525,22.6048,1.56084,
28,1088.8,2112.71,4142.62,0.515357,0,12.5853,494.733,124.326,110.047,4.14898,1027.08,214.464,125.324,0,13.1393,3512.08,184.349,180.51,2.48946,478.439,286.424,188.39,0,2.37088,7.74587,0.796753,2.02819,0.20275,872.796,22.6048,1.56084,
29,1088.8,1724.61,1153.59,0.631329,0,13.4798,119.523,109.403,102.112,4.5034,1078.59,186.575,110.43,0,18.6565,393.17,164.042,161.168,2.9103,679.194,153.204,168.593,0,2.46338,7.74587,0.796753,1.71864,0.459317,875.525,22.6048,1.56084,
30,1088.8,1981.43,2484.23,0.549502,0,14.2544,291.372,118.122,113.712,4.40259,1108.13,212.748,118.687,0,19.0387,1523.47,228.314,206.383,2.56896,728.233,262.147,227.709,0,2.46338,7.74587,0.796753,2.02819,0.459317,875.525,22.6048,1.56084,
31,1088.8,2184.41,2559.32,0.49844,0,17.1561,374.834,128.833,95.8509,4.5461,1182.14,251.253,129.794,0,24.0266,1533.53,216.679,124.46,2.80469,808.593,328.767,214.313,0,2.46338,7.74587,0.796753,1.9843,0.459317,875.525,22.6048,1.56084,
32,1088.8,1673.07,1184.4,0.650777,0,11.8325,120.928,97.7904,96.8498,4.25387,1012.68,230.317,98.4247,0,15.2012,236.438,167.38,161.098,2.43348,538.632,354.699,171.463,0,2.46338,7.74587,0.796753,1.20291,0.459317,875.525,22.6048,1.56084,
33,1088.8,2288.73,3245.34,0.475721,0,15.635,466.146,151.224,128.361,4.49164,1148.52,221.328,153.032,0,19.9598,2267.43,328.212,254.462,2.42291,770.546,308.197,327.144,0,2.46338,7.74587,0.796753,1.20291,0.459317,873.943,22.6048,1.56084,
34,1088.8,1961.66,2550.45,0.555038,0,13.2233,376.251,110.596,94.9354,4.49022,1038.94,212.118,111.112,0,15.4351,1884.55,242.024,205.23,2.68883,573.123,264.743,243.031,0,2.46338,7.74587,0.796753,1.20291,0.459317,873.943,20.4455,1.56084,
35,1088.8,3443.96,12762.7,0.316147,0,14.6829,1862.15,109.353,72.7024,4.55282,1069.69,201.225,109.608,0,18.4169,12133.7,182.171,84.0789,2.28646,613.18,262.853,182.151,0,2.46338,7.69851,0.40576,1.20291,0.459317,873.943,22.6048,0.860291,
36,1088.8,1685.83,1421.82,0.645854,0,13.7707,134.213,105.961,79.8116,4.58289,1052.46,188.64,106.391,0,17.0949,288.435,215.557,172.543,2.84297,600.507,250.587,216.577,0,2.46338,7.69851,0.40576,1.20291,0.459317,873.943,24.1933,0.860291,
37,1088.8,1744.65,1730.48,0.62408,0,14.2961,116.934,123.62,102.461,4.16629,1077.98,180.635,124.553,0,20.1629,173.409,269.804,248.258,2.31228,758.442,230.013,273.428,0,2.6479,7.69851,0.40576,1.20291,0.459317,873.943,23.8757,0.860291,
38,1088.8,1918.38,1808.04,0.567561,0,17.4539,166.85,117.797,86.9758,4.67103,1164.45,241.612,118.566,0,23.3362,440.05,226.267,172.926,2.83759,807.913,330.358,229.676,0,2.6479,7.69851,0.40576,1.20291,0.0708023,873.943,24.1933,0.860291,
39,1088.8,1579.11,1089.23,0.689503,0,12.8366,124.788,75.6375,73.4102,4.36179,1018.06,193.975,76.0343,0,16.0804,218.191,116.725,146.238,2.36935,557.933,286.82,118.053,0,2.61498,7.69851,0.40576,0.916239,0.0401893,873.943,24.1933,0.860291,
40,1086.07,1901.1,2393.32,0.571285,0,17.4772,227.491,99.7801,75.0033,4.20964,1187.75,189.248,100.144,0,28.1464,1202.66,190.003,119.614,2.23811,1007.41,265.977,185.403,0,2.61498,7.21746,0.40576,1.20291,0.0401893,873.943,24.1933,0.860291,
41,1002.72,1925.61,2211.79,0.520729,0,18.7279,170.579,97.7131,89.0794,4.28488,1264.71,181.848,98.6692,0,31.5966,599.313,231.277,202.829,2.23213,1162.85,276.013,236.117,0,2.61498,7.21746,0.40576,1.20291,0.233003,873.943,21.5327,0.860291,
42,1002.72,1546.82,1301.76,0.648245,0,12.8909,97.9853,86.3856,67.039,4.39677,1032.3,158.836,86.9931,0,18.4453,152.13,205.141,160.76,2.62263,661.474,229.389,205.978,0,2.61498,7.21746,0.40576,1.20291,0.26023,873.943,21.5327,0.860291,
43,1002.72,1513.86,1304.74,0.66236,0,13.2107,108.853,69.4798,67.9273,4.18694,1046.12,134.236,69.8441,0,19.6679,218.565,126.544,127.848,2.51224,711.396,107.061,129.479,0,2.61498,7.21746,0.193191,1.20291,0.26023,875.42,21.5327,0.468869,
44,1002.72,1629.13,1986.13,0.615493,0,11.4187,207.37,78.1744,54.145,4.12783,1015.16,178.779,79.9594,0,14.4789,1206.56,215.061,159.661,2.4534,616.383,287.659,224.88,0,2.79733,7.21746,0.193191,1.20291,0.0960865,875.42,28.2129,0.468869,
45,1002.72,1918.24,2765.06,0.522728,0,14.5579,298.234,106.115,67.905,4.2911,1110.18,209.783,107.174,0,22.1838,1567.93,264.33,217.225,2.41277,790.76,338.454,263.362,0,2.67023,7.21746,0.193191,1.20291,0.26023,875.42,28.2129,0.468869,
46,1002.72,4600.04,28986.9,0.217981,0,13.7231,2920.46,102.747,100.228,3.96938,1147.03,205.87,106.017,0,20.8181,28167.5,281.517,280.496,2.36947,980.561,327.197,298.306,0,2.67023,7.21746,0.193191,1.20291,0.26023,875.42,28.2129,0.468869,
47,1002.72,2566.49,9544.01,0.390697,0,13.2423,1005.72,85.1353,67.3166,4.49637,1090.85,211.729,88.0084,0,18.2781,9102.12,172.205,156.652,3.53368,672.365,337.075,179.638,0,2.67023,4.93577,0.193191,1.20291,0.26023,875.42,28.2129,0.468869,
48,1002.72,1861.72,3379.23,0.5386,0,12.2718,358.137,91.4619,64.8391,4.02743,1047.2,191.623,92.1562,0,16.6557,2786.37,229.381,180.096,2.4792,616.078,325.216,231.219,0,2.67023,4.93577,0.193191,1.20291,0.223101,875.42,29.1291,0.468869,
49,1002.72,1617.97,1566.73,0.619741,0,12.3568,92.3725,83.7302,76.4282,3.76591,1051.69,213.411,84.2106,0,18.4671,304.679,216.031,183.785,2.38976,659.869,358.396,218.405,0,2.67023,4.93577,0.193191,1.20291,0.223101,875.553,29.1291,0.468869,
50,1002.72,1705.61,2546.23,0.587894,0,14.2707,224.037,66.0013,46.5934,3.71247,1102.48,182.318,66.2033,0,24.271,1606.65,160.373,115.482,2.12167,855.013,309.21,161.965,0,2.67023,4.93577,0.193191,1.20291,0.223101,875.553,32.7449,0.468869,
51,997.308,1623.84,1588.63,0.614166,0,12.1534,89.8619,127.254,69.8533,4.17823,1020.86,171.513,128.167,0,14.6468,143.222,325.245,195.405,2.82589,490.308,248.413,328.31,0,2.67023,4.93577,0.193191,1.20291,0.223101,875.553,32.7449,0.468869,
52,997.308,1792.6,2266.69,0.556349,0,15.0363,216.49,82.8909,50.8387,3.93553,1140.64,199.418,83.3501,0,23.3079,1212.66,203.404,129.301,2.49912,822.513,340.217,209.045,0,2.67023,4.34482,0.193191,1.20291,0.14684,876.286,32.7449,0.468869,
53,984.735,1576.11,1529.94,0.624788,0,12.823,80.0707,87.4842,74.4482,3.96321,1076.3,152.213,88.8124,0,18.7994,198.783,249.016,229.141,2.72063,748.361,199.581,254.324,0,2.67023,1.04773,0.193191,1.20291,0.223101,876.286,32.7449,0.468869,
54,984.735,1549.76,1378.86,0.635411,0,12.4422,75.8149,88.8557,62.76,3.70928,1036.3,178.479,91.3988,0,16.0779,118.601,227.297,179.504,2.44567,548.114,295.076,231.484,0,2.67023,1.04773,0.193191,1.20291,0.050408,876.286,32.7449,0.468869,
55,984.735,1661.77,2133.7,0.592582,0,13.2135,216.846,81.796,48.553,3.71923,1054.95,160.558,82.1348,0,20.5546,1269.89,217.642,122.449,2.1226,715.994,253.968,219.144,0,2.67023,1.04773,0.193191,0.562251,0.0628027,876.286,32.7449,0.468869,
56,984.735,2101.68,3442.52,0.468546,0,16.1523,452.532,97.0172,66.807,4.01188,1165.24,201.079,98.8386,0,24.6529,2327.66,241.774,172.453,2.78115,836.676,347.258,246.575,0,2.67023,1.04773,0.193191,1.20291,0.223101,876.286,32.7449,0.468869,
57,984.735,1992.08,4548.25,0.494324,0,13.3942,581.312,61.4345,54.9716,3.66795,1070.26,147.155,59.8923,0,21.7503,3638.73,181.814,178.249,2.22102,780.418,256.654,173.747,0,2.67023,1.04773,0.193191,1.20291,0.223101,876.286,32.7449,0.468869,
58,984.735,1750.38,2318.18,0.562584,0,13.0649,91.5285,89.0541,84.5525,4.00394,1200.06,170.518,97.6001,0,16.6226,176.875,266.966,266.858,2.81259,1388.58,291.027,293.7,0,2.87129,1.04773,0.193191,1.20291,0.223101,876.286,32.7449,0.468869,
59,984.735,1820.81,1975.75,0.540823,0,15.9532,115.156,134.245,74.9,4.05997,1167.94,171.401,137.154,0,21.4867,250.082,329.429,208.853,3.55043,818.962,245.163,329.134,0,2.87129,1.04773,0.193191,1.20291,0.281035,874.931,32.7449,0.468869,
60,984.735,1817.86,2148.13,0.5417,0,19.2177,181.212,55.9836,39.8269,3.93051,1263.42,198.173,56.0979,0,31.6214,729.268,157.401,110.123,2.97192,1121.99,344.29,157.956,0,2.87129,1.04773,0.193191,1.20291,0.0509524,874.931,32.7449,0.468869,
61,984.735,1542.45,1773.52,0.638423,0,13.5778,85.2381,73.775,64.6711,3.37847,1082.36,144.43,75.0184,0,23.2683,210.045,220.663,192.259,1.94044,876.738,263.554,221.889,0,2.87129,1.04773,0.513944,1.20291,0.281035,874.534,32.7449,0.870425,
62,984.735,1411.72,1326.32,0.697542,0,12.4856,59.6803,50.9027,38.4003,3.41811,1046.17,148.941,51.7198,0,18.5906,121.172,161.261,141.531,2.11568,683.501,313.304,167.856,0,2.87129,1.04773,0.513944,1.20291,0.281035,874.931,15.6072,0.870425,
63,984.735,2038.44,6864.14,0.483082,0,11.7396,665.019,63.9812,43.3188,3.73577,1025.7,160.443,64.5041,0,15.1722,6017.13,221.314,189.387,2.50306,581.971,329.866,223.224,0,2.77989,1.04773,0.513944,0.891232,0.281035,874.931,32.7449,0.870425,
64,984.735,1892.79,2750.32,0.520257,0,13.8534,330.162,104.173,67.7111,3.5076,1081.43,187.466,104.478,0,19.1642,1813.64,272.108,183.516,2.3372,661.983,371.342,270.54,0,2.87129,1.04773,0.513944,0.891232,0.0840879,874.931,32.7449,0.870425,
65,984.735,1649.9,2136.43,0.596844,0,15.3839,195.282,53.368,58.7455,3.66889,1134.9,133.955,54.6042,0,24.0432,1123.95,144.056,168.077,2.77213,866.752,240.253,144.568,0,2.93428,1.04773,0.513944,0.891232,0.0840879,874.931,32.7449,0.870425,
66,984.735,1765.86,3067.41,0.557651,0,14.9853,321.676,58.6525,52.6991,3.89283,1125.53,129.122,59.3092,0,25.7954,2024.81,183.681,195.509,2.61444,942.728,238.436,187.703,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
67,972.901,1706.95,2544.79,0.569963,0,13.2396,219.081,87.9255,58.3657,3.62902,1061.29,174.628,88.7911,0,18.6722,1427.62,259.546,165.412,2.05406,677.986,366.913,261.612,0,2.74733,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
68,972.901,7054.35,51933.6,0.137915,0,13.5217,5453.9,89.5909,98.8947,3.73618,1124.2,177.234,93.2669,0,22.2452,51387.3,276.603,331.476,2.23634,896.1,379.861,287.607,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
69,972.901,1622.8,1709.78,0.599522,0,14.7284,107.207,83.4308,67.1373,3.79796,1135.24,126.122,85.1288,0,20.9921,1558.83,230.049,235.287,2.06702,804.412,221.199,235.019,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
70,972.901,2110.84,3634.86,0.460907,0,18.1386,365.354,104.857,67.2011,4.0779,1240.25,205.473,105.49,0,27.1892,2309.03,325.152,208.222,2.3833,971.168,370.042,327.67,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
71,972.901,1741.17,2585.27,0.558762,0,13.5617,262.694,94.0584,52.7993,3.92238,1049.67,169.559,94.9072,0,18.1948,1474.48,253.017,139.315,2.39462,636.302,352.688,254.658,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
72,972.901,1498.95,1442.22,0.649055,0,13.9043,92.1917,71.5535,38.6273,3.96187,1066.88,140.072,71.764,0,19.7294,243.466,219.394,87.8657,2.11588,697.48,272.445,217.956,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
73,972.901,2394.55,7209.11,0.406298,0,15.8998,758.221,92.3129,79.723,3.98271,1185.19,164.772,94.4456,0,24.034,6454.54,260.587,236.469,2.23135,929.123,321.391,263.298,0,2.93428,1.04773,0.513944,0.323881,0.0840879,874.931,32.7449,0.870425,
74,972.901,1434.08,1482.18,0.678413,0,12.7861,73.9329,62.3968,31.6576,4.19228,1022.2,164.176,62.7396,0,18.7866,253.128,216.619,109.693,2.09415,678.105,365.129,222.048,0,2.93428,1.04773,0.625082,0.323881,0.0840879,874.931,33.4443,0.925831,
75,958.779,1727.43,2081.89,0.555032,0,13.8168,173.332,76.5714,73.5266,4.5163,1102.31,204.98,78.3748,0,18.392,878.638,241.276,230.072,2.58975,688.761,416.038,243.517,0,2.93428,1.04773,0.625082,0.323881,0.0840879,874.931,35.1112,0.925831,
76,958.779,1562.18,1937.81,0.613744,0,15.054,103.813,53.3339,50.3014,4.51958,1135.51,145.091,54.5613,0,24.4683,389.862,226.711,235.979,2.65825,958.954,320.125,234.513,0,2.93428,1.04773,0.625082,0.323881,0.0840879,874.931,35.1112,0.925831,
77,958.779,1477.64,1484.47,0.648857,0,14.8772,92.3068,57.1225,46.1764,4.343,1103.9,101.417,57.4974,0,23.4818,230.324,199.92,135.668,2.92391,828.782,158.779,199.796,0,2.93428,1.04773,0.625082,0.323881,0.0840879,874.931,20.9374,0.925831,
78,958.779,1367.3,1118.79,0.701219,0,12.2299,49.3863,68.5744,38.2139,4.04144,1009.34,116.686,68.831,0,16.0807,105.126,197.263,99.4406,2.07784,565.055,206.931,197.505,0,2.93428,1.02098,0.769746,0.323881,0.0840879,874.931,35.1112,0.925831,
79,958.779,1916.87,3821.41,0.50018,0,13.3274,387.143,93.2242,73.5743,4.20986,1067.68,183.265,94.4488,0,17.6835,3076.7,264.487,231.129,2.34571,660.675,387.358,266.07,0,2.93428,1.04773,0.769746,0.323881,0.0840879,874.931,34.9733,0.925831,
80,958.779,1449.49,1412.71,0.661461,0,13.008,62.9387,63.7368,47.6962,4.00878,1046.63,147.358,64.1086,0,15.8041,248.473,202.514,167.278,1.70587,575.49,350.949,207.936,0,2.93428,1.04773,0.769746,0.323881,0.0840879,874.931,35.1112,0.925831,
81,958.779,2006.32,4851.28,0.477878,0,13.7805,563.111,67.3192,58.8638,4.14438,1088.68,142.357,68.0649,0,18.5396,4282.42,207.37,175.583,2.17184,687.59,298.111,208.916,0,2.93428,1.04773,0.769746,0.323881,0.0840879,874.931,25.2963,0.925831,
82,958.779,1548.77,1829.07,0.619058,0,14.5734,108.72,63.9809,54.098,4.07309,1098.23,140.937,64.1601,0,23.059,480.081,182.323,149.428,2.18951,823.143,323.624,183.426,0,2.93428,1.04773,0.769746,0.323881,0.0840879,874.931,35.1112,0.925831,
83,958.779,1972.34,4456.62,0.486113,0,14.1395,539.215,57.243,52.4752,4.10131,1096.74,150.74,57.6874,0,21.5262,3317.06,216.046,181.692,2.19786,792.274,335.357,217.263,0,3.02061,1.04773,0.0900378,0.208016,0.0840879,874.931,29.8591,0.224147,
84,951.561,1769.37,2805.19,0.537798,0,13.9085,359.159,47.6528,49.8768,4.31628,1094.97,150.998,48.4863,0,20.6125,1991.86,160.496,152.334,2.35167,772.128,318.321,165.044,0,3.02061,2.93417,0.0900378,0.208016,0.0840879,874.931,36.1389,0.224147,
85,951.561,1684.22,2487.22,0.564985,0,13.4655,247.808,65.2739,52.3357,4.23531,1072.75,161.392,66.9603,0,19.1319,1581.41,203.04,227,2.11012,717.49,342.417,211.798,0,4.97567,2.93417,0.0900378,0.208016,0.0840879,874.931,36.1389,0.224147,
86,951.561,1635.22,1794.67,0.581917,0,14.7926,87.36,94.7097,52.0643,4.27285,1093.47,193.504,95.0421,0,20.5273,259.388,280.508,170.816,2.02971,716.109,403.254,275.98,0,4.97567,2.41843,0.0900378,0.208016,0.0840879,874.931,36.1389,0.224147,
87,951.561,1524.1,1582.42,0.624342,0,14.7983,92.5319,50.4145,51.1525,4.23309,1112.81,147.394,50.7742,0,21.2714,265.915,139.799,139.279,2.03298,787.026,308.896,140.343,0,4.97567,2.41843,0.0900378,0.208016,0.273204,874.931,37.0105,0.224147,
88,951.561,1668.34,1718.3,0.570363,0,15.2784,75.4475,91.408,73.5572,4.33625,1143.26,171.997,93.0614,0,19.4474,190.247,253.773,233.818,2.55209,735.593,334.958,258.427,0,4.97567,2.41843,0.0900378,0.208016,0.273204,875.001,37.0105,0.224147,
89,951.561,4246.82,26670.7,0.224064,0,12.3765,2878.11,70.2973,40.2006,4.20468,1001.19,170.001,70.4423,0,14.5276,26095.3,231.916,133.215,1.72437,481.881,412.325,234.518,0,4.97567,2.41843,0.0900378,0.208016,0.273204,875.001,37.0105,0.224147,
