Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
30,0.189821,0.00347333,5.30655,0.0126215,1204.5,0,2.01429,0.211572,8.03997,
31,0.206864,0.0697793,5.22614,0.0090315,1204.47,0,2.01643,0.2399,8.04561,
32,0.181278,0.0409739,5.28721,0.00496265,1204.52,0,2.03043,0.18254,8.03808,
33,0.159523,0.0497727,5.3476,0.0218798,1204.53,0,2.0242,0.111946,8.04069,
34,0.154892,0.044975,5.30142,0.0391449,1204.53,0,2.03099,0.146964,8.03679,
35,0.16679,0.0203519,5.34063,0.00934079,1204.56,0,2.02167,0.130644,8.04149,
36,0.202782,0.0625276,5.2553,0.00415192,1204.49,0,2.00959,0.224373,8.04176,
37,0.171402,0.0225967,5.42336,0.0129103,1204.53,0,2.0232,0.0656212,8.03767,
38,0.205664,0.0548772,5.18706,0.00383963,1204.56,0,2.02408,0.227196,8.03153,
39,0.196554,0.108322,5.30531,0.00401128,1204.51,0,2.02083,0.114834,8.03498,
40,0.182745,0.00792167,5.27905,0.0198038,1204.52,0,2.01535,0.244786,8.03588,
41,0.210103,0.0802235,5.11072,0.047452,1204.53,0,2.02427,0.263865,8.03418,
42,0.157724,0.0601367,5.3839,0.0104927,1204.54,0,2.02863,0.0804686,8.03918,
43,0.189267,0.00168841,5.41501,0.0212676,1204.55,0,2.02666,0.0499093,8.04569,
44,0.160977,0.00083329,5.40257,0.0184375,1204.49,0,2.03102,0.153873,8.04337,
45,0.200633,0.0377254,5.41768,0.0163408,1204.53,0,2.01173,0.0624981,8.03233,
46,0.250887,0.00793771,5.1511,0.0107119,1204.57,0,2.03111,0.258076,8.03137,
47,0.196263,0.237922,5.21286,0.0267428,1204.52,0,2.02698,0.0555388,8.02925,
48,0.162847,0.0897568,5.36615,0.010543,1204.55,0,2.02275,0.0586739,8.0454,
49,0.169368,0.075334,5.2841,0.0167007,1204.49,0,2.02342,0.209584,8.04453,
50,0.205987,0.0671319,5.47026,0.00845743,1204.49,0,2.00247,0.0368205,8.03946,
51,0.157179,0.0633789,5.3709,0.0039998,1204.52,0,2.00923,0.151749,8.04393,
52,0.137626,0.152595,5.37098,0.00792903,1204.49,0,2.01935,0.0965283,8.04203,
53,0.142681,0.00499788,5.40037,0.0112998,1204.54,0,2.02936,0.152409,8.04359,
54,0.170909,0.125067,5.29841,0.00525196,1204.5,0,2.03809,0.142094,8.04071,
55,0.2016,0.000864221,5.19526,0.0410308,1204.55,0,2.02639,0.271468,8.03897,
56,0.152602,0.00178362,5.39137,0.00926805,1204.54,0,2.01678,0.172204,8.0385,
57,0.148638,0.0930019,5.32412,0.00790976,1204.55,0,2.01552,0.145119,8.03798,
58,0.158165,0.0441086,5.2739,0.0218816,1204.54,0,2.02869,0.220158,8.04096,
59,0.17839,0.0601899,5.21512,0.027038,1204.56,0,2.0235,0.227967,8.03248,
60,0.191459,0.023762,5.32578,0.00392026,1204.52,0,2.00848,0.210454,8.0412,
61,0.173079,0.0549771,5.28531,0.0199488,1204.53,0,2.02239,0.210988,8.03576,
62,0.160173,0.0125576,5.45725,0.00383759,1204.55,0,2.02378,0.0891894,8.03094,
63,0.145216,0.03107,5.36606,0.0215527,1204.57,0,2.01579,0.147433,8.03791,
64,0.165554,0.0739887,5.29517,0.0127976,1204.55,0,2.02587,0.174343,8.03698,
65,0.164746,0.0326226,5.43017,0.00623427,1204.57,0,2.02764,0.0630539,8.04382,
66,0.231888,0.0619873,5.23317,0.00922006,1204.5,0,2.02169,0.238079,8.04101,
67,0.182236,0.057343,5.38258,0.00378089,1204.55,0,2.01909,0.105488,8.04106,
68,0.178627,0.0430882,5.30687,0.0310517,1204.53,0,2.02148,0.182517,8.0426,
69,0.152472,0.0641802,5.31259,0.0602313,1204.52,0,2.02472,0.170118,8.039,
70,0.157926,0.0118121,5.37257,0.00931345,1204.56,0,2.02579,0.165632,8.0417,
71,0.132369,0.0343479,5.45409,0.0180999,1204.51,0,2.01511,0.134101,8.04405,
72,0.199785,0.0183101,5.28301,0.0229363,1204.5,0,2.02755,0.250949,8.03784,
73,0.175357,0.0554115,5.29186,0.0101862,1204.57,0,2.02861,0.173062,8.03655,
74,0.178122,0.0917712,5.27855,0.00385299,1204.55,0,2.02185,0.185616,8.03664,
75,0.186592,0.218801,5.25626,0.0270839,1204.5,0,2.01716,0.10697,8.03857,
76,0.158837,0.0854903,5.3662,0.0198283,1204.49,0,2.03894,0.149241,8.04145,
77,0.197652,0.0264666,5.46182,0.032255,1204.51,0,2.02692,0.044266,8.04574,
78,0.166844,0.0148784,5.3563,0.0663264,1204.58,0,2.0235,0.10589,8.03874,
79,0.169663,0.0742138,5.31119,0.00570825,1204.49,0,2.01994,0.240986,8.03919,
80,0.197133,0.0041619,5.21816,0.0233167,1204.51,0,2.02103,0.220463,8.03786,
81,792.88,225.544,8.70876,8.74511,3215.43,0,112.123,792.789,80.0095,
82,792.974,210.178,15.0889,5.30784,3197.86,0,293.461,792.757,79.5854,
83,1093.76,672.794,1381.07,8.3244,5464.91,0,103.388,1082.14,125.022,
84,795.241,593.143,11.8451,3.27427,3206.17,0,929.748,795.03,79.8036,
85,790.865,654.173,15.1511,7.68033,3210.12,0,186.212,790.618,79.8926,
86,1175.5,556.884,394.724,1.75376,1441.69,0,149.237,1176.98,30.0859,
87,1384.75,300.244,707.638,3.30311,1652.64,0,807.118,1383.86,31.6608,
88,233.583,602.236,1401.69,9.91235,2668.46,0,573.185,240.546,25.7404,
89,357.266,153.225,220.698,2.26126,1767.71,0,759.946,357.299,39.8181,
90,540.366,202.363,648.462,0.225265,5203.99,0,166.962,540.335,123.968,
91,0.226227,0.154148,5.40913,0.0315456,1204.5,0,2.03566,0.069965,8.03385,
92,0.177377,0.0603296,5.22582,0.0131373,1204.52,0,2.02485,0.243304,8.03965,
93,973.687,738.072,226.535,2.91022,3232.54,0,7359.78,973.489,80.3287,
94,658.633,641.324,1140.61,12.6953,2706.36,0,262.767,637.607,20.5161,
95,846.981,683.257,998.948,3.85146,2863.16,0,79.8996,799.786,41.8787,
96,0.229313,0.080368,5.14911,0.00376711,1204.49,0,2.02173,0.290854,8.0342,
97,0.179956,0.0523101,5.20326,0.00909708,1204.49,0,2.02782,0.225914,8.03599,
98,0.160333,0.101535,5.31673,0.0184058,1204.52,0,2.02086,0.199555,8.0343,
99,0.308508,0.256611,5.05753,0.00536447,1204.54,0,2.03978,0.393683,8.03955,
