Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
148,37.1675,52.3835,106.437,0.709527,0.192449,0.251967,15.3362,0.0285236,1.6029,0.443339,1.82461,19.7733,0.0874068,5.05193,4.63919,1.62071,1.53097,0.281453,0.566708,20.7856,0.148387,10.009,0.0363249,12.7151,0.813866,0.325917,31.123,31.3591,0.207197,0.174103,0.151119,0.177989,12.5328,0.0171093,0.166837,0.192225,0.00611661,19.6444,0.0318355,0.600964,0.183163,1.46864,1.50457,
149,37.1663,68.5724,153.85,0.542001,0.319082,0.30909,36.2535,0.19239,1.9979,0.476007,3.74802,19.4269,0.0867536,1.38601,0.966174,1.90353,1.50705,0.814974,0.826077,118.41,0.862394,9.00705,0.138745,18.4674,1.33084,0.272779,5.88255,5.51335,1.51803,0.176612,0.150811,0.177989,12.5328,0.0171093,0.166837,0.448279,0.00668908,10.8667,0.0293785,0.600964,0.183477,1.60129,0.651659,
150,37.1658,83.6277,191.974,0.44442,0.28632,0.654104,23.334,0.249941,3.29517,0.443815,2.95127,21.5808,0.189072,13.776,13.3529,1.99712,1.51717,0.532159,2.32658,47.7291,0.919839,12.9675,0.0722858,11.7421,15.5918,0.653947,57.0907,56.7295,1.73577,0.188807,0.150811,0.177989,12.532,0.0163273,0.166057,0.131847,0.00701367,8.76701,0.0318355,0.600964,0.183477,1.6156,0.845843,
151,37.1658,65.3205,140.624,0.568976,0.251357,0.399311,21.6944,0.153531,2.94625,0.447058,3.31455,19.4402,0.0594764,6.76133,6.31976,1.87954,1.65378,0.498119,1.06677,47.472,0.681468,13.5733,0.0551704,16.5371,2.52423,0.184252,39.1732,38.7114,1.22772,0.764904,0.150259,0.180129,12.532,0.016004,0.166057,0.138237,0.00701367,9.99683,0.0317202,0.600475,0.183038,1.6156,1.50411,
152,37.1583,66.3895,149.317,0.559701,0.252145,0.325143,19.8292,0.120584,2.65148,0.435183,1.68914,19.076,0.121196,9.50157,9.03546,1.79797,1.55443,0.502336,0.816992,39.9524,0.509083,12.1685,0.0671873,8.47479,2.95641,0.421694,45.4849,45.2206,0.869558,0.348471,0.150259,0.180018,12.5267,0.0163403,0.165642,0.076176,0.00701367,2.40507,0.0329881,0.600475,0.183355,1.61638,1.50391,
153,37.1583,99.6787,322.167,0.372781,0.815475,0.308627,33.9732,0.187656,5.95994,0.444689,7.5342,20.7292,0.153845,13.4356,12.8419,1.72772,1.56654,4.18621,0.727378,113.397,0.836297,31.6783,0.0474587,39.3484,10.3117,0.567042,62.938,62.6637,0.485258,0.595031,0.150259,0.175026,12.5252,0.015659,0.165642,0.1388,0.00675523,2.52203,0.0309256,0.601317,0.183355,1.6001,0.427853,
154,37.1583,139.238,280.444,0.266868,0.39661,1.03065,49.7215,0.528426,9.76648,0.463622,9.2287,23.508,0.243798,20.351,19.8458,2.24691,1.90667,0.823174,2.52589,121.33,1.42881,27.7841,0.103856,28.4859,33.1008,0.66395,61.3748,60.6725,1.87914,1.18991,0.150045,0.180129,12.5275,0.0165499,0.165578,0.166885,0.00675523,4.58336,0.0308711,0.601317,0.183372,1.59314,1.50426,
155,37.1579,72.298,176.16,0.513955,0.222406,0.546293,26.854,0.175742,2.69579,0.451757,2.93557,19.4642,0.056343,7.97305,7.5525,1.89388,1.47644,0.386504,1.88317,72.8312,0.807123,14.4436,0.016928,14.97,4.30628,0.178839,44.6995,44.4258,1.34233,0.240398,0.150045,0.180713,12.5275,0.0167349,0.165578,0.448294,0.00669615,9.10806,0.0308711,0.601317,0.183378,1.59528,0.608659,
156,37.1557,61.9322,173.391,0.599941,0.246644,0.345646,20.8572,0.12499,2.73034,0.454832,1.22103,19.355,0.0614166,6.81601,6.31478,1.81613,1.58816,0.667944,1.12104,58.8251,0.753519,17.9086,0.0435674,8.76428,2.20491,0.165457,43.4649,42.9206,1.28642,0.578799,0.149457,0.180713,12.5182,0.0169909,0.165578,0.44838,0.00675523,3.94142,0.0309256,0.601942,0.183378,1.6001,1.50443,
157,37.1547,64.0065,152.815,0.580483,0.236669,0.472694,20.8068,0.101139,3.00485,0.460115,2.42538,19.343,0.114487,7.12309,6.57835,1.7771,1.5628,0.437395,1.74878,53.0144,0.412698,17.9477,0.0592036,12.5089,1.99834,0.405375,37.1324,36.7697,0.712631,0.329293,0.149128,0.181119,12.5182,0.0169909,0.167214,0.448393,0.00714585,5.51873,0.0316184,0.601965,0.183228,1.60229,1.50373,
158,37.1469,83.2489,195.758,0.446215,0.237072,0.442437,23.0129,0.275215,5.8574,0.443634,4.44679,20.3823,0.0837128,12.477,11.9858,1.89743,1.70724,0.369959,1.50307,58.3646,1.02334,23.9306,0.0491635,18.6088,7.98545,0.22403,51.1807,50.9267,1.22276,1.10756,0.149099,0.182653,12.5095,0.0169909,0.167665,0.135792,0.00807698,8.32467,0.0313993,0.601965,0.183232,1.60475,0.330863,
159,37.1469,84.6215,234.074,0.438977,0.213952,0.734894,27.4688,0.219727,3.02361,0.455666,6.72539,19.4728,0.144677,11.6493,11.252,1.71308,1.54753,0.365532,2.70502,73.4431,0.98931,17.4275,0.0496513,33.8095,1.60215,0.633864,54.1493,54.2193,0.442918,0.414082,0.149099,0.181642,12.5095,0.0170546,0.168715,0.448484,0.00807698,10.2257,0.0318998,0.601965,0.183232,1.6087,0.88448,
160,37.1469,70.3046,166.195,0.528371,0.218627,0.543533,29.9003,0.0876342,3.16408,0.458482,2.66781,19.308,0.224522,5.42488,4.95281,1.81956,1.5344,0.362667,1.75777,90.1575,0.407779,15.1273,0.0554145,13.6615,1.81695,1.00334,24.4124,24.4482,1.00372,0.234083,0.149099,0.182653,12.5095,0.0170546,0.167965,0.448509,0.00826636,9.096,0.0314542,0.601965,0.183232,1.6141,1.23448,
161,37.1469,92.3736,188.136,0.402138,0.256822,0.714186,52.6873,0.303233,3.44994,0.490559,4.73145,19.3684,0.170542,3.57596,3.17916,1.88669,1.55938,0.438405,2.14945,138.509,1.13119,14.4602,0.205255,18.9527,2.41203,0.512314,14.1061,14.0982,0.997294,0.485923,0.149128,0.18073,12.5095,0.0169573,0.167965,0.394463,0.00837801,8.33886,0.0314542,0.601965,0.183424,1.6141,0.216296,
162,37.1447,79.9839,176.117,0.464402,0.48989,0.506394,32.0805,0.218224,2.35519,0.467423,2.78616,19.8317,0.0959243,9.0442,8.63348,1.96947,1.50532,1.89242,1.87807,88.6382,0.817067,9.36659,0.101771,11.2598,3.31314,0.313025,39.9695,40.6127,1.50464,0.349629,0.149222,0.179292,12.4946,0.0165187,0.167391,0.448584,0.00848156,10.8306,0.0284297,0.602075,0.183469,1.63152,0.339202,
163,37.1447,227.256,832.645,0.163449,0.441166,0.701776,80.7551,0.410864,9.77302,0.46316,6.44609,71.7422,0.206558,26.5867,26.0337,2.06762,1.62803,1.09013,1.87499,273.22,1.40327,50.581,0.113185,22.3472,370.16,0.657652,80.1039,83.5545,1.61552,0.426788,0.148716,0.179401,12.4946,0.0167929,0.166293,0.177437,0.0085871,5.88607,0.0284297,0.60193,0.183514,0.900679,1.50496,
164,37.1447,67.2165,147.686,0.552613,0.172972,0.472588,35.9836,0.20263,0.682427,0.465689,3.48837,19.5088,0.180391,1.58855,1.15842,1.83523,1.47687,0.111337,1.61122,124.232,0.942934,6.84471,0.107251,18.4037,51.7238,0.733634,18.3208,25.366,0.958354,0.214103,0.148716,0.178849,12.4946,0.0169573,0.166293,0.448642,0.00868032,11.7802,0.0284297,0.60193,0.183726,1.63226,0.72948,
