Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
71,229.152,559.093,595.882,0.409864,4.54398,51.6794,80.8354,97.0541,26.601,140.015,19.0328,139.332,1.80013,67.0891,39.8361,36.0347,34.6311,301.733,16.5641,297.851,2.20631,24.6458,2.84887,31.0972,6.80289,1.1493,11.6441,0.590684,
72,229.152,707.286,830.073,0.323988,4.50971,68.5721,74.8594,90.6179,54.9934,196.934,20.5341,196.266,1.80275,82.355,40.0931,37.2184,87.0293,362.126,16.0827,366.902,1.89416,24.6458,2.84887,31.0972,6.80289,1.1493,10.8045,0.590684,
73,229.152,675.273,791.002,0.339348,4.80108,77.7256,74.1349,90.3969,50.2817,176.876,25.8561,175.2,2.28365,109.356,40.2785,38.123,74.3185,353.255,33.7829,346.567,2.1593,24.6458,2.84887,31.0972,6.80289,1.52479,10.8769,0.590684,
74,229.152,682.569,747.933,0.33572,4.82202,69.3793,77.276,92.9942,37.0814,188.429,26.2839,186.303,1.81137,90.7437,36.0855,33.1879,43.3815,325.742,51.0411,327.694,2.34912,24.6458,2.84887,31.0972,2.89577,1.52479,10.9156,0.590684,
75,229.152,699.539,745.069,0.327576,4.7092,68.155,72.5058,87.9946,36.4466,200.693,29.1594,199.875,1.85647,87.97,37.29,34.4323,54.8788,324.508,50.6833,323.423,2.34912,24.3007,2.84887,31.0972,6.80289,1.52479,10.9852,0.590684,
76,229.152,870.204,1096.87,0.263332,4.74767,63.6389,71.9133,87.1384,47.3119,248.847,99.1298,247.477,1.81295,80.6315,36.0549,32.7752,76.0596,365.518,534.642,362.584,2.34912,24.6458,2.84887,31.0972,3.94626,1.52479,10.7443,0.590684,
77,229.152,592.394,555.894,0.386824,4.55412,58.7911,76.7843,92.2863,49.2135,138.967,33.827,137.971,2.08432,67.9047,36.1726,33.8525,88.2852,258.61,91.7198,251.639,2.19304,24.6458,2.84887,31.0972,6.80289,1.11617,10.7758,0.590684,
78,229.152,690.595,782.132,0.331819,4.67879,57.1584,76.0628,90.7508,41.9319,201.13,18.4864,200.395,1.83356,59.8481,34.7375,31.8693,77.8984,340.413,19.4574,353.306,2.34912,24.6458,2.84887,31.0972,1.8293,1.11617,10.9287,0.590684,
79,229.152,670.158,728.649,0.341938,5.09586,74.7494,63.0787,80.2003,38.4089,185.51,38.3364,184.778,2.02134,83.5451,43.6553,38.9431,61.7987,339.064,88.6517,339.428,2.34912,22.9367,2.84887,31.0972,4.85364,1.11617,10.804,0.590684,
80,229.152,560.959,531.568,0.408501,4.41855,53.2654,75.3293,90.6508,41.1362,136.693,23.068,136.398,1.70276,44.2759,39.6094,35.5958,66.0827,255.474,39.7148,260.07,2.06099,24.6458,2.84887,31.0972,6.80289,1.11617,11.8621,0.590684,
