Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
74,35.4017,80.928,206.569,0.437447,35.4163,0.838448,19.0665,13.4012,7.70821,0.575093,0.0491917,0.37964,0.246634,3.24671,80.1996,0.633721,125.382,49.8893,11.2728,2.03025,0.0153802,2.50385,0.109227,1.79805,10.795,0.0726595,0.118269,1.72774,4.68558,0.000240465,0.00478475,0.000830887,0.222203,2.67791,
75,35.3198,71.1413,172.811,0.496473,24.1821,0.809341,30.3588,4.30005,7.16063,0.424343,0.0483851,0.604835,0.235856,3.01695,11.4315,0.400937,147.414,16.6149,10.2745,1.75445,0.0108101,2.9438,0.067806,1.16389,11.4722,0.147533,0.118269,1.74934,4.58045,0.000240465,0.0238309,0.000830887,0.222203,2.67791,
76,35.3198,128.873,367.548,0.274067,23.4659,0.943986,78.5423,9.69647,10.3532,0.848308,0.051954,1.54558,0.24563,3.17932,3.51863,0.934424,332.173,26.246,16.4129,2.43498,0.0181286,6.52838,0.124197,1.45186,12.3398,0.0673686,0.0594483,1.75081,4.57277,0.000240465,0.04728,0.000757359,0.177792,2.67887,
77,35.0839,64.9963,165.541,0.539783,26.6446,0.798449,21.0369,5.54752,6.90589,0.42706,0.0479159,0.418365,0.239556,2.93006,16.9426,0.39111,154.259,19.4293,10.5906,1.73361,0.0106945,3.07986,0.0846207,0.650908,8.90737,0.20069,0.0594483,1.75081,4.50444,0.000240465,0.00762466,0.000610068,0.222186,2.7096,
78,35.0839,81.3256,207.259,0.431401,24.8506,0.927593,33.1013,10.0232,7.98381,0.529254,0.0492608,0.658928,0.247487,2.95428,6.45389,0.709639,166.065,43.1525,12.8462,1.93759,0.0130038,3.31202,0.103667,0.65823,9.48546,0.20069,0.0594483,1.70915,4.38837,0.00403854,0.0150498,0.000610068,0.222048,2.7096,
79,35.0839,63.4945,143.109,0.55255,36.1715,0.994917,1.48415,14.5391,6.63976,0.423236,0.0481283,0.028544,0.242113,2.92309,83.2432,0.951477,28.1366,63.8962,9.62348,1.69944,0.0126861,0.642441,0.0959322,0.752495,15.0026,0.20069,0.0594483,1.70915,4.38837,0.00403854,0.00392892,0.000610068,0.222164,2.72394,
80,35.0839,123.115,291.612,0.284969,32.7835,0.997869,53.8942,20.2718,9.69253,0.885681,0.0484531,1.07335,0.252541,3.21492,48.8861,0.653734,221.059,61.7448,15.2395,2.56109,0.0145483,4.40582,0.110812,1.499,9.68473,0.528523,0.0594483,1.61815,4.37795,0.00403854,0.00474286,0.000610068,0.15138,2.4563,
81,34.9922,106.926,306.814,0.327258,23.9014,1.16763,58.3361,11.2359,7.2849,0.590556,0.0503596,1.15225,0.237391,2.96918,9.22676,1.29263,268.706,46.0044,11.6518,2.09801,0.0136816,5.29843,0.0778955,0.834873,9.71222,0.595229,0.0594483,1.70915,4.3631,0.00403854,0.0473915,0.000610068,0.183168,2.76312,
82,34.9922,71.7568,198.473,0.48765,26.6779,0.88892,24.4828,9.17629,6.60699,0.303633,0.0477192,0.486559,0.234639,2.85135,17.0957,0.339589,147.494,39.463,10.2378,1.36319,0.00919752,2.93742,0.0596843,0.39741,10.1881,0.545662,0.0977724,1.7234,4.3631,0.00403854,0.00938474,0.000610068,0.222164,2.52585,
83,34.9732,144.522,374.405,0.241992,36.5458,1.06538,74.334,17.5466,9.27772,0.776723,0.0508646,1.46825,0.255382,3.20127,91.1208,0.819331,300.627,60.2963,16.2203,2.32512,0.0181302,5.99427,0.12384,1.35521,9.56255,0.547325,0.0977724,1.73995,4.3631,0.00403854,0.00404655,0.000610068,0.187924,2.76412,
