Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1565.5,5428.55,1530.85,0.288383,6.8447,367.677,2949.64,1183.65,0,309.133,250.709,301.236,59.6654,4.09587,328.143,1053.12,1211.84,2.69589e-05,264.637,162.877,353.319,67.9072,0.311224,20.1864,1240.09,75.6938,0,16.6578,60.1894,16.617,3.82824,
1,1565.5,4243.93,1022.07,0.368881,7.0642,377.672,2353.28,563.809,0,310.113,275.747,309.102,47.1407,2.63818,217.809,943.541,664.647,0,216.139,160.962,215.519,26.4079,0.311224,36.9963,1232.58,39.8378,0,16.078,73.3697,13.0681,3.14883,
2,1565.5,3627.44,776.812,0.431573,5.9664,317.756,2065.01,407.848,0,232.585,325.204,232.184,40.8776,2.41872,142.007,596.121,365.072,0,156.604,194.477,162.217,19.3058,0.311224,22.7823,1232.58,39.8378,0,16.078,93.0156,13.0681,3.14883,
3,1565.5,3212.55,754.736,0.487308,6.17014,280.324,1800.33,370.645,0,193.302,337.397,192.892,31.4888,1.81637,138.587,626.836,287.229,0,153.243,158.076,150.286,22.034,2.52157,7.13658,1232.58,39.8378,0,3.68687,88.0937,3.4649,3.14883,
4,1565.5,3036.13,1199.43,0.515624,6.04856,223.632,1687.02,425.333,0,167.722,332.44,167.214,26.7253,2.1101,164.712,717.537,415.149,0,220.273,187.213,219.111,22.3528,1.21918,2.86665,1198.47,39.8378,0,2.7426,46.0862,2.50873,3.14883,
5,1565.5,3079.94,1698.4,0.50829,6.54332,204.114,1580.12,600.413,0,165.661,337.413,165.227,20.4472,2.12316,175.321,882.696,649.199,0,139.561,212.391,139.029,25.9552,1.10747,13.597,1198.47,39.8378,0,6.64491,65.8421,5.20423,3.14883,
6,1565.5,2807.87,1382.1,0.557542,5.99674,200.313,1515.3,459.633,0,155.7,298.484,155.073,17.3669,1.84874,179.391,716.791,587.349,0,109.466,186.31,109.479,21.9317,1.4862,16.4683,1198.47,39.8378,0,6.64491,65.8421,5.20423,3.14883,
7,1565.5,3092.91,1899.21,0.506158,5.54081,252.59,1568.45,563.853,0,212.893,261.089,210.524,17.9754,2.42013,333.835,717.926,677.343,0,256.324,145.847,269.172,20.3563,0.684976,12.3375,1173.92,39.8378,0,6.64491,15.9057,2.96182,3.82824,
8,1565.5,3010.68,2471.07,0.519983,5.83261,197.064,1648.44,511.616,0,180.534,269.329,176.591,21.2791,2.18523,362.357,931.157,774.193,0,326.564,161.392,319.218,24.0323,1.87312,5.43447,1191.16,39.8378,0,3.10476,61.3156,2.38585,3.82824,
9,1471.32,3003.31,2155.29,0.489898,6.04264,156.935,1635.51,512.569,0,204.147,269.598,198.048,20.456,2.33851,227.553,922.917,721.045,0,313.389,172.41,304.222,25.4548,0.617813,3.16673,1177.61,39.8378,0,3.04967,39.9055,2.4454,3.42891,
10,1471.32,2673.53,1824.83,0.550326,5.84428,143.029,1454.49,450.482,0,194.79,214.604,193.925,16.3707,2.07455,197.045,563.109,747.452,0,283.511,118.681,279.803,15.4664,1.489,3.16673,1186.12,57.5623,0,3.04967,40.2672,2.4454,3.42891,
11,1471.32,3071.69,2619.93,0.478992,5.80231,199.873,1677.7,561.663,0,196.274,214.052,194.608,21.7237,2.66973,336.723,1021.87,860.25,0,325.23,123.423,320.871,27.502,0.0286196,3.16673,1186.12,47.9734,0,3.04967,41.2296,2.4454,3.42891,
12,1471.32,2885.83,2143.42,0.509842,5.23871,159.509,1494.14,600.498,0,198.96,211.371,198.561,17.5553,2.25386,264.018,714.671,942.858,0,322.769,124.802,322.744,20.7883,0.852388,3.16673,1184.85,57.5623,0,3.04967,56.6229,2.4454,3.42891,
13,1471.32,2969.8,2469.23,0.495426,5.75074,128.202,1756.43,539.519,0,164.276,187.992,163.472,24.1625,2.46085,265.978,1194.58,774.121,0,268.46,156.965,266.913,34.0141,0.29663,3.16673,1184.85,64.5349,0,1.79681,47.1243,1.68637,3.42891,
14,1471.32,2136.61,1334.51,0.688621,5.56097,80.9597,1248.14,284.795,0,174.98,156.494,174.967,10.7154,2.06509,142.271,298.971,605.274,0,323.801,69.8915,323.561,14.7466,0.545938,2.12383,1184.85,64.5349,0,3.04967,47.1243,2.4454,3.42891,
15,1471.32,3020.1,2822.86,0.487174,5.95566,135.881,1826.49,501.804,0,177.289,170.751,175.946,25.9862,2.42151,326.995,1263.4,791.441,0,351.044,151.123,347.219,38.8927,0.509672,2.12383,1184.85,64.5349,0,3.04967,14.4509,2.4454,3.42891,
16,1471.32,2129.21,1668.29,0.691015,5.62397,47.0105,1425.23,277.528,0,93.8392,171.895,93.7478,14.3335,2.0231,117.195,851.196,556.878,0,209.495,156.102,207.862,25.8117,2.34989,2.12383,1189.44,64.5349,0,3.04967,46.6411,2.4454,3.42891,
17,1449.63,3144.66,2856.22,0.46098,6.4983,197.794,1762.53,602.043,0,206.33,149.478,199.201,20.7937,2.83398,386.972,1014.39,799.446,0,376.367,132.309,380.113,29.0606,1.82191,2.12383,1189.44,47.8562,0,1.37842,21.3637,0.99223,3.60771,
18,1449.63,2418.2,1775.18,0.599466,5.90951,86.0238,1424.17,525.631,0,106.593,151.438,105.824,12.6086,2.57648,173.684,745.994,869.413,0,251.795,124.659,251.059,22.1307,1.1901,2.12383,1190.58,72.5666,0,1.37842,35.2026,0.99223,3.60771,
19,1449.63,2994.01,2308.39,0.484177,5.16551,128.661,1585.18,654.085,0,204.593,194.5,203.554,18.2691,2.24858,242.952,785.898,881.89,0,333.668,220.343,329.244,25.5781,0.440675,2.12383,1190.58,72.5666,0,1.37842,14.1546,0.99223,3.60771,
20,1449.63,2496.44,2229.92,0.580679,5.49068,127.313,1521.29,424.239,0,130.168,144.638,128.609,14.6925,1.89869,310.215,885.718,790.727,0,272.481,116.941,270.233,25.1686,1.66245,2.12383,1188.73,68.826,0,1.37842,46.4593,0.99223,3.60771,
21,1403.31,2537.69,2914.62,0.552987,5.78354,131.311,1525.25,451.79,0,129.657,153.426,126.295,14.1781,2.32759,381.003,971.656,956.142,0,310.347,150.716,301.939,25.2423,2.23141,1.63435,1187.31,62.7665,0,1.37842,46.2881,0.99223,3.57661,
22,1403.31,2552.64,2387.06,0.549748,5.26491,134.551,1544.32,451.107,0,128.728,146.217,127.305,15.1509,2.18859,292.057,864.242,773.988,0,262.576,168.786,261.275,25.4872,0.798338,1.63435,1188.42,62.7665,0,1.37842,21.374,0.99223,3.57038,
23,1403.31,2382.07,2224.28,0.589115,4.93664,90.9803,1463.93,432.984,0,114.905,146.435,114.142,13.7588,1.62489,234.323,726.219,780.964,0,261.935,150.834,259.397,22.053,0.567973,1.51518,1188.42,62.7665,0,0.937435,46.4593,0.265328,3.56744,
24,1402.98,2377.84,2345.52,0.590021,5.19583,92.5893,1544.38,395.41,0,102.348,120.851,101.074,15.9924,2.50893,232.64,939.651,792.746,0,234.051,106.51,232.573,28.1404,0.322607,1.51518,1188.42,61.9439,0,1.37842,14.3209,0.652989,3.57661,
25,1402.98,2741.32,2534.05,0.51179,5.12266,89.7006,1657.89,490.352,0,160.32,158.359,159.49,20.0833,2.07433,246.093,1037.3,800.595,0,316.271,215.858,316.608,31.961,0.770409,0.236193,1188.42,72.0324,0,1.24128,13.8434,0.474385,3.57661,
26,1402.98,2835.83,2677.83,0.494732,5.00318,140.275,1626.19,586.254,0,150.814,167.038,143.931,16.32,2.05483,275.402,894.458,955.436,0,313.629,219.368,293.363,24.5916,0.840094,0.236193,1188.42,75.7232,0,1.24128,19.8242,0.474385,3.57661,
27,1400.66,2413.95,2437.01,0.580233,4.57798,140.274,1518.74,390.486,0,122.39,105.482,119.075,12.9299,1.87345,360.118,857.527,822.372,0,333.113,94.738,324.914,22.3576,0.933164,0.236193,1188.42,75.7232,0,1.24128,21.3795,0.474385,3.57661,
28,1400.66,2544.9,2249.93,0.550378,4.69743,55.1806,1479.72,568.743,0,148.606,125.325,147.78,14.8435,2.30885,154.616,762.823,946.203,0,322.632,123.879,326.361,24.5019,0.621785,1.57228,1188.42,72.7624,0,1.24128,48.853,0.406007,3.57661,
29,1400.66,3193.6,2885.01,0.438582,4.69835,191.423,1648.74,743.868,0,204.286,179.696,202.355,18.539,2.30462,393.985,899.248,1071,0,399.992,225.184,413.509,26.9571,0.556893,1.18055,1190.04,71.7054,0,1.24128,17.4808,0.474385,3.57661,
30,1394.25,2667.91,2604.31,0.522598,4.77915,136.163,1632.1,539.276,0,110.686,121.877,107.231,15.7946,2.17177,358.127,953.3,988.822,0,259.983,114.829,249.255,28.1899,0.957062,1.57228,1190.04,79.2232,0,1.19851,48.853,0.474385,3.57661,
31,1394.25,2439.06,2413.88,0.571633,4.95506,140.825,1471.74,398.838,0,156.545,100.408,153.8,11.9427,2.31947,343.607,700.568,734.861,0,369.181,123.856,368.178,18.9278,0.559004,1.57228,1165.15,84.4586,0,1.19851,40.5032,0.474385,3.57661,
32,1383.48,2445.03,2474.94,0.565836,4.3647,106.217,1503.84,385.653,0,153.47,126.887,150.879,13.7154,1.98483,343.285,967.397,643.47,0,379.655,162.191,372.786,25.5851,0.00448922,1.57228,1107.25,84.4586,0,1.19851,49.1702,0.474385,3.63338,
33,1383.48,2888.32,2862.68,0.478992,4.81213,138.919,1630.17,663.81,0,148.431,140.09,144.984,17.1102,2.31483,364.008,1021,1041.94,0,317.2,180.906,311.897,29.631,0.520162,1.57228,1190.04,84.4586,0,1.13862,30.9224,0.585057,3.63338,
34,1383.48,2352.55,2429.29,0.588079,4.628,107.363,1501.08,363.985,0,107.82,149.547,104.616,13.511,1.94923,276.528,851.947,752.915,0,296.623,215.316,286.409,25.4363,1.04888,1.57228,1191.96,84.4586,0,1.19851,44.9758,0.571142,3.79714,
35,1383.48,2594.22,2654.84,0.533294,4.18095,98.9267,1550.54,507.665,0,151.768,116.346,149.054,15.7472,1.48736,285.335,892.913,916.012,0,320.387,148.305,325.3,26.2476,0.227439,1.57593,1181.87,80.3077,0,1.19851,28.053,0.571142,3.83173,
36,1378.79,2449.67,2272.82,0.562848,4.33373,83.0217,1418.11,460.103,0,158.811,155.891,157.35,12.0559,2.00189,233.615,764.955,838.544,0,361.912,225,361.418,21.617,0.464812,1.3824,1098.28,32.3301,0,1.19851,46.5654,0.540686,3.8931,
37,1378.79,2959.37,2798.5,0.465908,4.35921,98.3276,1647.48,607.867,0,218.514,144.824,217.734,20.2637,2.00132,235.119,1042.79,1012.11,0,405.253,216.928,423.181,32.6719,0.635766,1.05606,1191.96,66.3948,0,1.19851,35.8761,0.540686,3.89875,
38,1378.79,2739.61,2764.96,0.50328,4.35482,150.027,1608.11,490.548,0,176.433,117.758,175.111,17.2668,2.04391,381.017,960.413,886.212,0,417.52,159.352,405.939,28.5696,0.939428,1.05606,1177.73,99.3196,0,1.19851,15.6261,0.540686,3.89875,
39,1378.79,2426.07,2500.12,0.568324,4.53819,111.024,1527.18,414.87,0,112.902,130.391,110.942,14.2147,2.21139,329.42,893.582,741.362,0,349.136,202.824,348.011,27.2381,0.394914,1.05606,1193.93,101.369,0,1.6153,45.2043,0.540686,3.93173,
40,1378.79,2576.96,2401.24,0.535046,3.92106,85.5831,1441.18,532.239,0,176.598,148.777,175.676,12.9813,1.28256,226.521,689.821,848.888,0,390.244,224.83,392.696,21.4504,0.411695,1.05606,1193.93,101.369,0,1.6153,34.1546,0.514294,3.93173,
41,1378.79,2847.9,2543.83,0.484143,3.71351,139.922,1556.45,531.39,0,239.324,125.185,235.722,16.193,1.55858,290.389,705.887,860.581,0,399.61,172.918,414.683,22.9729,0.520564,1.05606,1193.93,69.2971,0,1.65491,17.7531,0.514294,3.93173,
42,1378.79,2476.56,2235.44,0.556736,3.60429,70.7316,1546.96,426.329,0,153.08,107.419,152.036,16.3987,1.41718,213.803,725.185,716.285,0,348.437,143.591,331.798,24.7956,0.323811,0.823333,1193.93,101.369,0,1.65491,16.6469,0.514294,3.93173,
43,1378.79,2125.9,1881.56,0.648567,4.26186,67.4969,1384.28,364.73,0,100.558,95.108,99.2397,10.2332,2.36963,227.387,545.466,708.324,0,282.334,144.947,273.92,18.8868,0.787878,0.823333,1193.93,100.662,0,1.75966,27.6293,0.514294,4.33467,
44,1378.79,2851.04,2581.42,0.48361,4.26586,112.58,1797.07,578.418,0,91.1008,157.039,88.8874,21.6839,1.90293,302.076,1292.17,821.852,0,243.873,214.974,239.757,37.8147,1.42269,0.823333,1193.51,41.7596,0,1.75966,16.665,0.514294,3.86728,
45,1378.79,2640.01,2716.81,0.522268,3.95598,161.281,1569.71,480.229,0,147.474,117.621,144.738,15.001,1.87366,372.206,924.38,884.828,0,359.235,165.515,371.528,25.2506,1.35706,0.823333,1195.03,49.8132,0,1.75966,20.361,0.514294,3.93969,
46,1374.57,2126.72,1981.68,0.646333,4.42887,111.252,1395.57,368.465,0,64.1274,108.965,64.4653,9.44372,2.38607,336.079,597.939,749.498,0,201.661,163.923,192.933,17.0082,2.37998,0.823333,1194.01,99.905,0,1.51012,37.3668,0.514294,4.36893,
47,1372.42,2420.35,2428.4,0.567032,4.18377,111.653,1552.97,416.633,0,110.968,103.19,105.937,14.8145,1.8425,312.047,894.843,756.737,0,295.28,139.543,272.428,24.9204,0.601522,0.845748,1194.01,100.662,0,1.51012,24.9998,0.514294,4.37652,
48,1372.42,2552.94,2546.12,0.537583,4.70486,152.026,1485.22,512.976,0,145.994,104.246,135.669,12.1094,2.76834,372.105,792.788,868.088,0,388.631,141.141,379.739,21.4598,1.15379,0.845748,1194.01,100.662,0,1.51012,36.4998,0.514294,4.37652,
49,1372.42,2454.59,2390.47,0.559122,4.12622,99.1118,1533.74,412.525,0,148.876,101.737,140.927,13.5448,2.20327,321.046,805.142,776.027,0,371.933,140.698,359.938,23.1265,0.0270603,0.845748,1193.54,100.662,0,0.762387,36.4998,0.391228,4.37652,
50,1372.42,2765.93,2775.01,0.496187,4.29172,172.548,1607.57,491.506,0,172.553,135.224,167.041,15.1989,2.26534,428.358,926.853,837.698,0,401.984,194.704,398.968,24.2868,0.0600082,0.845748,1192.23,104.057,0,1.30647,30.0257,0.554627,3.56243,
51,1372.42,2769,2887.27,0.495636,4.364,166.097,1649.2,485.274,0,165.047,118.476,164.521,16.027,2.39133,446.982,1072.43,790.843,0,420.282,202.004,408.186,26.9929,0.443814,0.845748,1193.26,104.057,0,1.4004,36.4998,0.554627,4.41731,
