Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
80,1365.28,2668.82,2446.64,0.511564,4.04314,119.397,1554.47,569.818,0,145.756,116.775,143.214,15.3519,1.95118,298.617,727.238,949.215,0,315.686,172.021,313.213,22.0043,0.388589,0.904345,1194.09,107.181,0,1.17456,21.3417,0.33321,4.73488,
81,1364.67,2279.75,2136.73,0.598606,3.74919,71.7293,1427.53,413.006,0,130.622,90.7868,129.336,12.9912,1.26684,221.864,732.65,788.547,0,315.663,168.072,312.704,22.1255,0.30937,0.904345,1194.34,107.181,0,1.17456,18.9391,0.33321,4.73488,
82,1364.67,2437.82,2437.36,0.559791,4.50783,83.5974,1591.53,465.484,0,90.1859,100.1,86.2162,16.1957,2.00288,258.234,1031.55,823.656,0,256.405,166.088,240.934,29.3777,2.01082,0.904345,1194.34,107.07,0,1.07823,38.0239,0.33321,4.40174,
83,1364.67,2536.92,2759.34,0.537923,4.53068,125.174,1603.69,440.71,0,135.155,79.1864,132.97,15.5102,2.28567,372.04,1008.51,752.76,0,353.461,114.457,358.361,24.4687,1.07721,0.853698,1193.29,107.07,0,1.17456,19.3303,0.33321,2.02293,
84,1364.67,2806.2,3049.02,0.486305,4.08145,135.553,1700.17,518.716,0,164.889,103.412,160.492,18.8912,2.05762,381.384,1168.85,885.033,0,388.823,183.088,378.511,30.7548,0.465056,0.904345,1193.29,106.536,0,1.17456,14.595,0.33321,4.78815,
85,1364.46,2141.8,2183.45,0.637063,4.06332,79.7524,1405.09,377.201,0,97.9603,70.0227,96.6899,11.0262,1.60563,278.185,659.554,787.833,0,322.94,130.278,320.458,19.7602,0.403514,0.904345,1193.29,106.536,0,1.19696,35.3259,0.390507,4.78815,
86,1363.67,2584.69,2436.39,0.527595,4.58272,103.412,1608,480.553,0,136.556,98.5662,135.394,17.6289,2.0908,259.672,1038.6,741.509,0,340.821,155.124,338.917,31.1691,0.107562,0.775719,1193.29,106.536,0,1.2184,23.7758,0.391072,4.78815,
87,1363.67,2595.57,2450.51,0.525384,4.10874,124.366,1566.38,557.443,0,112.517,97.9113,116.464,16.3818,1.84737,339.128,931.603,928.31,0,262.987,138.3,272.333,27.5914,0.240762,0.921759,1194.34,107.407,0,1.2184,16.1763,0.391072,4.78815,
88,1362.93,2659.78,2695.73,0.51242,4.00397,114.824,1623.07,533.349,0,125.068,119.582,122.398,17.4921,1.6527,315.556,1013.94,916.544,0,318.397,202.886,316.105,29.6418,0.328361,0.921759,1194.34,107.407,0,1.2184,15.8394,0.391072,4.78815,
89,1362.93,3020.92,3150.74,0.451163,4.37847,176.156,1635.86,689.338,0,179.492,147.818,171.904,15.9731,2.12758,370.751,1084.58,1015.86,0,339.263,252.991,335.146,28.0152,1.26979,0.806826,1194.34,106.374,0,1.12518,17.8893,0.358092,4.78815,
90,1357.59,2283.19,1850.76,0.594601,4.17629,81.3367,1460.35,427.54,0,105.089,88.3623,103.269,13.0653,2.06034,236.393,732.482,731.828,0,242.94,163.608,237.812,20.7355,0.887138,0.806826,1194.11,89.8774,0,1.12518,18.504,0.358092,3.6533,
91,1357.59,2593.24,2759.21,0.52351,4.55538,108.527,1596.94,497.314,0,135.134,104.795,129.383,16.5944,2.19031,312.61,1028.41,896.945,0,321.864,186.232,309.043,29.1994,1.08513,0.806826,1194.12,106.374,0,1.12518,19.0514,0.3381,4.89188,
92,1357.59,2355.72,2261.38,0.576293,3.84562,105.457,1418.96,497.357,0,107.244,105.392,105.167,12.2959,1.50744,263.388,605.002,878.074,0,303.153,174.149,298.088,19.7128,0.760251,0.806826,1194.12,105.116,0,1.12518,19.0514,0.3381,4.90721,
93,1356.64,2752.17,2594.56,0.492933,4.21426,100.431,1540.9,620.83,0,176.683,117.743,174.726,16.6379,1.52665,242.509,774.404,969.103,0,400.846,189.94,398.741,25.8246,0.805573,0.913126,1194.12,107.963,0,1.17039,19.0514,0.3381,4.90721,
94,1356.64,2976.17,2653.7,0.455832,4.257,133.725,1705.29,542.806,0,232.668,105.528,230.612,21.2892,2.29899,292.816,909.657,748.543,0,418.699,158.878,412.792,28.6714,0.189158,0.913126,1194.12,109.596,0,1.12721,19.0514,0.3381,4.90721,
95,1356.64,2372.16,2155.88,0.5719,3.914,63.5479,1564.61,436.378,0,100.769,85.7945,100.039,17.1065,0.979684,202.58,939.998,824.272,0,251.919,172.132,263.982,28.3482,0.628639,0.913126,1190.26,92.5298,0,1.12721,19.0514,0.3381,4.94836,
96,1356.64,3173.09,3082.66,0.427544,4.54596,164.419,1740.33,731.488,0,199.743,114.345,197.146,21.0742,2.58791,329.532,1051.86,1078.1,0,367.43,202.715,358.157,32.0268,0.632595,0.913126,1194.12,109.596,0,1.12721,15.9439,0.3381,4.94836,
97,1356.64,2522.25,2516.66,0.537867,4.50387,77.3028,1486.88,527.79,0,149.715,112.052,148.805,15.2081,2.62354,258.671,692.379,962.063,0,365.106,200.516,364.326,22.9215,0.69975,0.913126,1194.12,109.596,0,1.12721,15.9439,0.3381,4.94836,
98,1356.64,2893.02,2845.87,0.468935,3.9404,119.442,1696.17,588.473,0,154.773,158.031,152.539,19.643,1.79407,319.151,1072.67,914.53,0,315.317,253.05,314.685,31.1814,0.663376,0.913126,1194.12,105.916,0,1.0866,15.9439,0.3381,4.94836,
99,1355.7,2482.77,2400.6,0.546045,3.85381,123.953,1491.6,430.324,0,167.707,85.7518,165.239,14.3394,1.09998,276.774,839.455,727.666,0,374.004,163.032,372.394,22.9605,0.878825,0.913126,1193.91,105.863,0,1.0866,15.9439,0.335896,4.94964,
100,1353.82,2418.77,3040.14,0.559716,4.05703,103.34,1547.71,416.889,0,116.352,107.529,111.078,11.8203,1.64947,326.955,1200.77,858.13,0,368.443,236.961,348.104,21.2159,0.830815,0.970154,1193.75,106.655,0,1.0866,14.4041,0.335896,4.94964,
101,1353.82,2720.32,2978.32,0.49767,4.54235,178.159,1595.09,569.285,0,138.531,84.6,134.139,15.9829,2.53562,426.825,1065.43,908.789,0,359.952,171.398,358.55,29.1065,0.44957,0.965369,1193.82,109.02,0,1.0866,14.4041,0.335896,4.96169,
102,1353.82,2932.08,2922.86,0.461729,4.11477,131.389,1727.64,513.762,0,209.748,117.413,206.766,21.2449,2.27502,378.84,1140.11,816.932,0,362.427,194.265,368.665,30.9318,0.772098,0.896359,1117.65,110.368,0,1.08861,14.4041,0.340434,4.96169,
103,1353.82,2557.13,2712.36,0.52943,4.37457,125.118,1573.34,432.294,0,160.718,85.2192,159.542,16.5315,2.23714,346.639,897.557,716.482,0,397.239,181.203,404.008,26.3037,0.449931,0.896359,1193.82,113.815,0,1.1113,13.2434,0.340434,4.97347,
