Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
105,14.4505,28.5556,98.318,0.506049,17.258,3.55849,0.149824,0.150802,0.215463,1.0388,0.479359,0.0258991,5.12811,0.550908,39.6956,15.8498,0.340456,0.0588872,0.387276,8.06407,0.0329612,0.0866511,35.5756,0.142493,11.5967,1.28306,0.0859299,0.131884,0.144703,0.0134041,0.249176,0.0108401,0.00546487,0.5108,
106,14.4374,88.9632,209.694,0.162285,49.4473,7.45099,0.525738,0.426045,0.874789,8.01105,0.47387,0.168677,20.9182,0.666517,114.021,18.8299,1.34727,0.830874,2.59703,24.4983,0.0547085,0.555304,64.8973,0.44361,11.5967,1.28306,0.0861525,0.131918,0.117666,0.0134041,0.176813,0.0108401,0.00546487,0.503497,
107,14.4331,73.1092,203.57,0.197418,45.5534,5.84489,0.471974,0.352549,0.896429,3.5228,0.490549,0.151787,15.2083,0.616484,128.061,17.7671,1.28508,0.705771,3.08722,12.0203,0.100873,0.572153,57.3748,0.345992,11.5967,1.28129,0.0859095,0.131918,0.144703,0.0134041,0.0879144,0.0107966,0.00546487,0.5108,
108,14.424,65.1795,179.14,0.221297,43.3755,5.34335,0.431431,0.393927,0.455365,5.1132,0.487373,0.115415,8.80023,0.66369,123.969,17.0171,1.21778,0.879959,1.17123,20.0681,0.118432,0.478194,36.6165,0.476694,11.6123,1.2817,0.0861525,0.131708,0.144703,0.0134041,0.00934475,0.0107966,0.00546487,0.5108,
109,14.424,69.6163,190.828,0.207193,34.6852,6.47622,0.439024,0.337454,0.670738,9.57523,0.470891,0.103332,16.189,0.669197,82.0646,20.4932,1.25597,0.655941,2.22921,43.7618,0.0748148,0.357284,60.515,0.513252,11.6155,1.27781,0.0860464,0.128096,0.144703,0.0145746,0.0636972,0.0107771,0.00546487,0.526228,
110,14.424,41.4124,138.285,0.348302,22.9756,4.28908,0.244726,0.233161,0.422596,2.354,0.477253,0.0995758,9.73073,0.585681,59.3094,16.4678,0.789858,0.472727,1.32197,13.4169,0.0403326,0.494926,49.8282,0.275391,11.6235,1.28079,0.0861126,0.129242,0.145986,0.0139134,0.204782,0.0107966,0.0193117,0.523702,
111,14.424,59.7011,186.413,0.241604,31.8173,5.49307,0.415322,0.296485,0.628999,5.95601,0.495223,0.123095,13.8472,0.628318,102.647,18.0473,1.30811,0.660535,2.05467,26.7229,0.0930936,0.457817,57.7337,0.382596,11.6273,1.28034,0.0861525,0.129301,0.145986,0.0139134,0.209829,0.0107473,0.0253492,0.526547,
112,14.424,100.067,248.975,0.144143,65.8059,7.12042,0.55909,0.46055,1.45949,8.63135,0.498753,0.219437,14.6272,0.68496,163.837,18.9804,1.35482,1.09822,3.76275,26.5824,0.183245,0.678468,51.5412,0.499225,11.6303,1.28306,0.0861525,0.125976,0.145986,0.0139134,0.064362,0.0107473,0.0253492,0.526547,
113,14.424,38.9741,107.764,0.370092,18.7356,4.35982,0.307882,0.233815,0.660942,4.53365,0.476751,0.132799,8.95884,0.574068,58.3256,12.9465,0.909001,0.430419,2.54556,19.1377,0.104582,0.485442,41.7398,0.213771,11.6303,1.28306,0.0861525,0.126295,0.145986,0.0139134,0.0308963,0.0107473,0.0253492,0.526547,
114,14.424,59.982,183.197,0.240472,38.3714,6.70988,0.358501,0.27948,0.899115,5.32076,0.502701,0.178778,6.71448,0.646959,130.116,20.6387,0.93192,0.543717,3.44717,19.1884,0.157514,0.7128,29.8532,0.449588,11.6303,1.28139,0.0855021,0.127823,0.143707,0.0148089,0.0531276,0.010676,0.0253492,0.528051,
115,14.4223,29.302,103.999,0.492194,20.3942,1.65508,0.177467,0.208446,0.165624,1.82004,0.488802,0.040003,3.78585,0.566518,61.6928,4.27371,0.637552,0.46684,0.0575393,13.0977,0.0359685,0.238474,26.2914,0.234925,11.6303,1.28127,0.0855021,0.12858,0.143707,0.0147737,0.483386,0.0107121,0.0253492,0.525087,
116,14.4143,59.361,180.442,0.242824,35.0698,4.65235,0.378646,0.30243,0.406506,5.00992,0.491746,0.168604,12.2545,0.626495,95.6826,14.3118,1.18033,0.659007,1.38421,20.7577,0.111329,0.69998,58.1144,0.400645,11.6303,1.28047,0.0855021,0.12858,0.143707,0.0148089,0.00536895,0.0107332,0.0253492,0.528051,
117,14.4133,42.81,139.223,0.33668,25.5693,3.63346,0.190585,0.194907,0.378921,4.27008,0.491256,0.0403363,7.44817,0.592944,74.5292,12.3911,0.52753,0.348355,1.14158,23.1818,0.0856373,0.19371,39.7914,0.287193,11.6335,1.28095,0.0855021,0.127879,0.143707,0.0148089,0.272771,0.0107332,0.0253492,0.528051,
118,14.4133,66.0698,175.418,0.218152,34.8705,6.9815,0.399886,0.307106,0.756858,4.96147,0.497994,0.16673,16.4143,0.713436,82.0828,21.3541,1.13361,0.615675,2.39662,19.782,0.13714,0.691128,60.8862,0.663105,11.6335,1.2815,0.0855021,0.127879,0.143707,0.0150745,0.285578,0.0107334,0.0303016,0.528051,
119,14.4051,51.5658,152.125,0.279353,27.973,5.50889,0.32177,0.278603,0.613734,3.51737,0.479155,0.206585,12.0884,0.578316,73.1247,17.7616,0.987083,0.579751,2.28902,14.72,0.0693892,0.821397,53.8177,0.239054,11.6385,1.28374,0.0859901,0.125612,0.154501,0.0150745,0.0409209,0.0107334,0.0303016,0.528051,
120,14.4003,35.0883,104.565,0.410402,20.2027,3.70182,0.214393,0.219675,0.338268,2.53086,0.469599,0.0916625,6.77669,0.542618,47.3028,14.8191,0.638248,0.424067,1.05143,12.6463,0.0721557,0.493171,35.8983,0.136059,11.6385,1.28448,0.0859738,0.125612,0.154787,0.0150745,0.10125,0.0107458,0.0302238,0.132698,
121,14.4003,39.8782,125.095,0.361107,17.9722,5.67748,0.262389,0.207948,0.449773,4.79809,0.478713,0.19107,9.26973,0.570805,32.3277,21.9122,0.851795,0.381804,1.59546,24.0441,0.0656036,1.02916,46.4613,0.194881,11.6385,1.28147,0.0859738,0.125612,0.153963,0.0153592,0.0507405,0.0107458,0.0302238,0.529562,
122,14.4003,58.221,191.047,0.247339,38.4343,5.39517,0.325113,0.370221,0.768628,4.56837,0.494633,0.107861,7.15722,0.599478,113.703,17.7818,0.970946,1.04538,2.43113,25.6034,0.0887155,0.548587,38.2176,0.270376,11.632,1.28276,0.0859402,0.125612,0.153963,0.0153592,0.367237,0.0107467,0.0302238,0.529562,
123,14.396,59.3029,226.64,0.242754,34.6929,5.18903,0.276922,0.864823,0.860993,2.5152,0.497259,0.239362,13.5801,0.586364,121.984,20.7475,0.967797,4.97835,3.79054,14.9815,0.158449,1.5072,65.925,0.26498,11.6369,1.28311,0.0858457,0.125612,0.15439,0.015656,0.079598,0.0107467,0.0255779,0.529562,
124,14.3953,89.5769,355.635,0.160703,30.1593,5.59699,0.38147,30.4817,0.94859,7.22803,0.496902,0.275906,13.3596,0.648398,73.2943,18.7649,1.12036,213.93,3.63929,26.9984,0.0905268,0.925144,57.4855,0.409017,11.6369,1.28363,0.085761,0.125612,0.155822,0.0156136,0.352912,0.0107467,0.0255779,0.529857,
125,14.3953,41.8272,111.52,0.344161,16.8951,5.0368,0.243198,0.252063,0.313045,4.30765,0.476599,0.0635672,13.6192,0.620018,32.0457,17.086,0.632119,0.472805,0.638107,19.0066,0.0416234,0.289212,53.9247,0.353916,11.6307,1.28252,0.0857279,0.125612,0.155269,0.0155353,0.265711,0.0107467,0.019561,0.529857,
126,14.3908,67.4365,219.685,0.213398,44.5963,5.07823,0.228997,0.322517,0.49503,5.00356,0.515909,0.0641594,10.5317,0.600123,133.006,18.4608,0.563977,0.844461,1.44987,20.0571,0.168728,0.221697,50.0615,0.273507,11.6307,1.28313,0.0856795,0.125612,0.155269,0.0155353,0.484092,0.0107401,0.019561,0.529857,
127,14.3908,44.6825,120.278,0.322068,22.5738,5.03938,0.257413,0.274765,0.422547,5.17588,0.481006,0.0773944,9.78604,0.594224,53.2327,17.8996,0.699916,0.562296,1.17527,20.4188,0.0400844,0.278353,45.6308,0.240953,11.6307,1.28284,0.0856795,0.11941,0.155269,0.0155353,0.383758,0.0107595,0.019561,0.531384,
128,14.3855,26.0509,81.5441,0.552206,15.1236,2.51295,0.205804,0.175256,0.399312,1.11302,0.475874,0.031282,5.46625,0.547595,25.474,8.97321,0.835785,0.300562,1.69264,7.76638,0.0611185,0.147025,37.9757,0.106109,11.6275,1.28124,0.0856795,0.127526,0.154649,0.0155353,0.0495583,0.0107399,0.019561,0.531384,
129,14.3787,1239.06,8173.84,0.0116046,1200.5,10.8736,0.414036,0.255395,1.00282,5.90901,0.502408,0.198019,18.757,0.639836,8024.75,46.7889,1.18965,0.497299,3.43228,23.1018,0.100565,0.750035,70.0986,0.459227,11.6225,1.28238,0.0856795,0.127526,0.154199,0.0155353,0.245654,0.0107399,0.0149321,0.531384,
130,14.3787,108.341,280.703,0.132717,59.2197,10.7467,0.543734,0.288577,1.36105,13.3863,0.524838,0.318547,21.2377,0.713962,161.023,26.6364,1.3104,0.483014,3.792,39.3123,0.178166,0.994711,66.3354,0.52191,11.6225,1.28238,0.0856795,0.127526,0.154199,0.0155987,0.428876,0.0107399,0.0149321,0.52999,
131,14.3787,72.4495,209.154,0.198466,37.1552,5.79605,0.381036,0.615586,0.661408,7.70203,0.492684,0.112287,18.8594,0.673709,94.3708,16.2671,1.02354,2.33229,2.14912,32.7137,0.0984786,0.415092,70.3433,0.502542,11.6292,1.28218,0.08566,0.125878,0.154199,0.014987,0.265992,0.0107399,0.0149321,0.527869,
132,14.3783,65.8249,181.003,0.218432,42.3012,4.05614,0.377319,0.284929,0.975373,5.24896,0.478605,0.219392,11.225,0.658022,112.791,10.2228,1.0674,0.567432,3.28957,18.5035,0.070557,0.944011,46.6003,0.455145,11.6292,1.28218,0.08566,0.122063,0.154199,0.0154711,0.0161959,0.0107211,0.0149321,0.527869,
133,14.3762,48.8449,181.785,0.294324,29.4334,3.49392,0.266139,0.268386,0.847188,2.42716,0.481738,0.135359,10.9202,0.571428,100.68,10.8629,0.925935,0.709956,4.25157,12.2699,0.0355337,0.77891,54.8966,0.26877,11.6275,1.28475,0.0856795,0.122041,0.154028,0.0159555,0.247806,0.0107459,0.0181886,0.527869,
134,14.3762,88.1866,270.242,0.163021,44.6114,10.1149,0.4191,0.336484,0.437061,10.8883,0.504539,0.293068,19.907,0.674722,131.18,33.635,1.18935,1.18715,1.16674,44.6453,0.0827884,1.02762,75.5448,0.492998,11.627,1.28475,0.0856795,0.118335,0.154028,0.0159555,0.484228,0.0107459,0.0181886,0.527869,
135,14.3762,34.2293,138.91,0.419998,22.0861,3.60866,0.138718,0.145756,0.436651,4.67244,0.489275,0.0251733,2.06358,0.562924,73.3817,16.2465,0.460412,0.166871,1.95314,32.7917,0.0346189,0.282997,20.6385,0.240554,11.6304,1.28477,0.08571,0.118335,0.154199,0.0159555,0.484285,0.0107459,0.0181886,0.527869,
136,14.3728,123.952,280.712,0.115954,75.1991,10.2593,0.731395,0.482568,1.34865,10.9413,0.518136,0.28999,23.5054,0.676121,176.027,26.883,1.73045,0.950171,3.5278,30.1542,0.181316,0.948136,67.3371,0.437035,11.6298,1.28327,0.08571,0.118335,0.154199,0.0159555,0.11553,0.0107626,0.0181886,0.527869,
137,14.3675,61.8316,169.355,0.232365,30.0381,7.31751,0.419133,0.254597,0.760545,6.58753,0.476013,0.21234,15.1646,0.601216,76.7096,22.7703,1.17424,0.504901,2.21687,24.2254,0.107623,0.771527,56.1873,0.265358,11.6275,1.28477,0.0857145,0.115051,0.154199,0.0159555,0.039519,0.0107626,0.0181886,0.527869,
138,14.3675,70.1403,232.588,0.204839,45.7149,4.51305,0.328511,0.515852,1.16631,6.92377,0.489814,0.155445,9.71708,0.615553,151.808,14.0239,0.912072,2.06955,4.326,28.036,0.0811156,0.537699,45.2645,0.362153,11.6275,1.28495,0.0857145,0.115051,0.154199,0.0160833,0.251801,0.0107626,0.020715,0.37682,
139,14.3608,23.0669,45.6693,0.622569,14.5611,3.07596,0.240912,0.199299,0.258867,2.17525,0.481171,0.0252919,1.44254,0.606548,31.4139,9.12458,0.801314,0.493336,1.14331,11.5565,0.0280061,0.149174,10.5121,0.36215,8.99735,1.28468,0.0857066,0.110225,0.153674,0.0164022,0.294743,0.0107581,0.020715,0.527852,
140,14.3608,33.0336,105.07,0.434732,22.9069,2.82751,0.217536,0.172429,0.493476,2.22873,0.485772,0.087427,3.0361,0.577692,75.8469,7.79115,0.649013,0.275186,1.65119,11.1151,0.0250079,0.418888,15.4235,0.233194,11.6275,1.28229,0.0857066,0.110225,0.153674,0.0164324,0.385006,0.0107378,0.020715,0.529052,
141,14.3608,109.831,287.093,0.130753,61.0176,7.87643,0.425004,0.648879,1.19864,11.1679,0.488614,0.423797,25.9128,0.671903,159.474,22.5434,1.06405,1.94534,2.88528,33.7188,0.104378,1.30409,84.3688,0.436062,11.6275,1.28339,0.0856337,0.110225,0.154268,0.0159923,0.133251,0.0107378,0.020715,0.529033,
142,14.3608,44.5867,122.669,0.322086,20.0557,5.02747,0.336337,0.252439,0.568718,4.60001,0.462711,0.0585911,12.6305,0.594221,56.2096,16.7551,1.00262,0.626807,1.94122,19.193,0.094179,0.436111,52.6733,0.345757,11.6275,1.28339,0.0856337,0.110225,0.154105,0.0159923,0.0307573,0.0107378,0.020715,0.240682,
143,14.3608,43.3106,158.57,0.331576,28.4601,2.30308,0.127977,0.215622,0.819544,4.50413,0.489152,0.134375,5.69,0.566544,95.1541,6.16736,0.361936,0.569215,3.56126,23.493,0.0496465,0.743059,32.9251,0.18005,11.6275,1.28339,0.0591171,0.110225,0.1537,0.0164324,0.41182,0.0107378,0.0243673,0.52897,
144,14.3599,39.9583,125.788,0.359371,24.4093,2.62878,0.269294,0.178389,0.418847,3.45639,0.478066,0.0357106,7.479,0.604514,64.6648,7.31906,0.952264,0.352954,1.60233,17.5479,0.0527997,0.156466,39.4164,0.359686,11.6304,1.28339,0.0856337,0.109463,0.152144,0.0159102,0.117901,0.0107378,0.0219116,0.526435,
145,14.3599,55.4104,147.845,0.259154,28.545,6.38337,0.345659,0.254186,0.562621,5.54546,0.468593,0.283841,12.3396,0.68206,67.5921,20.3203,0.918714,0.514034,1.6686,19.946,0.0591581,1.24107,52.8921,0.522941,11.6319,1.28339,0.0856337,0.109463,0.153776,0.0163101,0.173339,0.0107581,0.0219116,0.528057,
