Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,28.9762,437.868,169.328,0.0661756,354.887,22.7289,1.7295,1.44897,7.06765,26.0278,0.433758,1.37055,21.1616,1.01208,138.975,24.6942,2.11355,1.1069,6.60534,19.4489,0.458658,1.69603,30.0585,1.19045,23.5943,0.0916775,0.0305215,0.225395,0.338069,2.15464,0.103907,0.0380117,0.129848,0.172049,
1,28.9762,325.367,83.381,0.0890569,240.293,19.4903,1.45767,1.24773,4.04569,27.5321,0.329752,1.39506,28.5766,0.999,82.5623,19.0274,0.998528,0.613967,4.16104,23.6205,0.137901,1.03877,32.2468,0.620967,23.5943,0.0916775,0.0305215,0.122703,0.338069,2.15464,0.0431227,0.0504907,0.129848,0.151142,
2,28.9762,312.075,97.7674,0.0928501,207.355,16.3929,1.41775,1.15234,4.39326,27.9977,0.293973,1.43898,50.4586,1.17398,77.5484,12.9975,0.928498,0.504257,2.77078,17.831,0.139635,1.07617,54.6551,0.678859,23.5943,0.0916775,0.0305215,0.122703,0.235987,2.15464,0.0431227,0.0504907,0.129848,0.0999485,
3,28.9762,270.653,57.5715,0.10706,184.279,13.7943,1.31932,1.08775,4.45764,29.1181,0.246194,1.22008,33.9054,1.2258,59.1161,11.4279,0.91549,0.476239,2.64966,17.2533,0.126467,1.00405,34.9321,0.747271,23.5943,0.0916775,0.0305215,0.122703,0.235987,1.52741,0.0431227,0.0504907,0.129848,0.151142,
4,28.9762,259.697,61.3827,0.111577,175.516,10.4254,1.56349,1.23613,4.65325,26.8577,0.252417,1.44445,36.6769,1.07076,48.4832,7.58836,1.03006,0.537067,2.82567,18.4509,0.106243,1.12921,31.8054,0.634615,23.5943,0.0916775,0.0305215,0.122703,0.164222,1.52741,0.0431227,0.0504907,0.129848,0.151142,
5,28.9762,241.702,56.092,0.119884,155.457,15.294,1.68722,1.14382,5.21622,23.8829,0.233701,1.66318,36.1208,1.00341,56.574,13.6893,1.01636,0.426249,2.88403,16.5855,0.101362,1.19866,31.3898,0.637007,10.6461,0.0916775,0.0305215,0.464372,0.627068,1.52741,0.0100903,0.24184,0.129848,0.0581774,
6,28.9762,229.876,58.7378,0.126051,135.574,17.9179,1.93069,0.954573,5.7084,24.8184,0.195345,2.07995,39.6575,1.03904,53.9311,16.0368,1.12406,0.407833,2.93377,18.9247,0.10455,1.70844,34.0517,0.676383,10.6461,0.0916775,0.0305215,0.352521,0.0677158,1.16966,0.0100903,0.0516325,0.129848,0.0581774,
7,28.9762,203.771,42.2379,0.142199,117.216,21.4301,2.13407,1.03129,6.2121,21.5391,0.170048,2.04339,30.8229,1.17265,49.9998,18.0663,1.06074,0.446933,3.00083,14.3024,0.0954542,1.76846,27.0918,0.640236,10.6461,0.0916775,0.0305215,0.288989,0.0677158,1.09694,0.0100903,0.0516325,0.129848,0.0581774,
8,28.9762,184.947,34.277,0.156673,104.904,21.0645,1.94009,0.969295,5.61347,18.3003,0.176263,2.11356,28.7755,1.09028,47.9795,19.6131,1.05123,0.375166,3.37374,15.192,0.10444,1.70821,24.813,0.641447,10.6461,0.0916775,0.0305215,0.323197,0.0677158,0.332567,0.0100903,0.049879,0.129848,0.072682,
9,28.9762,178.081,39.6098,0.162713,98.1897,21.1139,1.70486,0.906082,5.96566,14.279,0.162771,2.2196,32.3145,1.22496,47.2072,19.2813,0.914742,0.362692,3.42147,11.7755,0.117851,1.95063,31.4829,0.581986,16.8648,0.0916775,0.0305215,0.149068,0.0677158,0.332567,0.0140183,0.049879,0.129848,0.188898,
10,28.9762,174.628,44.0893,0.165931,89.5031,19.2801,1.70277,0.981701,5.33488,14.6689,0.16024,2.42875,39.3449,1.22235,46.531,17.177,0.98007,0.344187,3.42572,11.7837,0.117995,2.03382,39.9529,0.669576,10.3382,0.0916775,0.0305215,0.149068,0.0294143,0.332567,0.0140183,0.049879,0.129848,0.0342828,
11,28.9762,179.49,83.0373,0.161436,92.197,17.7359,1.92446,0.961904,4.61548,14.6196,0.196098,2.37546,43.669,1.1952,56.1372,15.0172,1.07223,0.430089,3.20257,11.8044,0.154818,2.07889,48.1733,0.667341,13.0481,0.0916775,0.0305215,0.149068,0.0148744,0.332567,0.0115993,0.0125398,0.129848,0.0647916,
12,28.9762,144.622,45.3809,0.200358,69.15,19.1976,1.81198,1.16171,4.00141,14.4936,0.206322,1.81327,31.7748,1.01118,41.9269,17.5356,1.21089,2.1995,3.08867,10.6913,0.156324,1.87738,30.8971,0.721388,13.0481,0.0916775,0.0305215,0.149068,0.137778,0.332567,0.00485099,0.049879,0.129848,0.0450707,
13,28.9762,132.232,45.6747,0.219131,55.2605,18.2066,2.00273,0.819123,3.87162,15.8579,0.273609,1.6631,33.1299,1.14688,37.637,12.9185,1.20719,0.480794,2.98766,9.2631,0.172396,1.81783,27.5233,0.716408,11.4516,0.0916775,0.0305215,0.149068,0.137778,0.62216,0.0115993,0.0837591,0.129848,0.0450707,
14,28.9762,109.846,34.4622,0.263788,38.4416,17.1338,2.36448,0.747642,3.35752,16.2042,0.338392,1.29965,28.6745,1.28466,29.864,13.5513,1.27589,0.340108,2.52633,9.10142,0.150155,1.48388,25.0587,0.652898,10.1649,0.0916775,0.0305215,0.149068,0.137778,0.62216,0.0204237,0.0219555,0.129848,0.0450707,
15,28.9762,98.8149,76.627,0.293237,36.6674,14.0984,1.97364,0.748203,2.84543,16.8534,0.393758,1.37312,22.6152,1.24629,32.4658,13.4333,1.18976,0.379926,2.56032,12.788,0.119452,1.44217,38.9345,0.652699,10.1649,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.105633,0.0397761,0.129848,0.111731,
16,28.9762,97.1442,98.4227,0.29828,44.2445,12.1886,1.96998,0.678603,2.23617,16.379,0.390744,1.08032,16.8587,1.11759,69.4855,11.7822,1.14498,0.308478,1.85044,20.5563,0.103877,1.17561,17.1727,0.669416,10.1649,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.181081,0.00257287,0.129848,0.0594378,
17,28.9762,119.196,159.376,0.243097,53.8903,12.6908,1.9832,0.838827,2.13869,13.8446,0.396019,1.21893,31.1106,1.08388,76.7042,16.1945,1.16412,0.542604,1.66703,16.1077,0.121142,1.28251,65.5354,0.596068,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.527435,0.108657,0.0330909,0.129848,0.0594378,
18,28.9762,112.42,190.694,0.257748,50.672,9.61881,1.89417,0.915799,2.61889,18.1113,0.398718,1.1205,25.8614,1.20875,78.9908,14.1184,1.13755,0.66645,1.92174,48.4211,0.121615,1.10687,54.7951,0.592769,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.190734,0.206732,0.0397761,0.129848,0.0594378,
19,28.9762,93.0945,163.662,0.311255,50.987,7.68607,1.7764,1.16871,2.35528,12.2367,0.454626,0.9906,14.3638,1.07535,144.726,10.301,1.1517,3.19062,2.5754,13.5545,0.283704,1.00144,13.5027,0.621818,12.5091,0.0916775,0.0305215,0.211316,0.110598,0.516348,0.243707,0.0609219,0.129848,0.0594378,
20,25.1666,57.3144,13.6272,0.439098,24.0682,4.81566,1.6457,0.763989,2.14746,8.6675,0.457015,0.935584,12.6017,1.21155,10.8144,5.46977,1.06311,0.434425,1.49875,8.85389,0.082041,0.796585,10.1854,0.710105,11.6223,0.0916775,0.0305215,0.274099,0.0911797,0.527435,0.322238,0.0180539,0.129848,0.0594378,
21,23.277,48.9926,13.124,0.475111,19.0608,3.81585,1.19922,0.784744,2.37364,8.4664,0.473589,0.832357,10.6341,1.35189,8.71824,2.40927,1.03997,0.210823,1.4148,6.28108,0.0708533,0.82962,8.26124,0.712522,9.69111,0.0916775,0.0305215,0.414271,0.0911797,0.268819,0.280851,0.0129226,0.129848,0.0594378,
22,23.277,69.7964,131.511,0.333498,32.2821,5.33877,1.03675,0.859142,2.21725,12.5406,0.500031,0.763276,13.0281,1.2304,88.7471,8.14154,0.924005,0.640142,1.62755,17.9498,0.129865,0.618352,21.6657,0.722078,9.69111,0.0916775,0.0305215,0.414271,0.0911797,0.268819,0.334229,0.0129226,0.129848,0.0272939,
23,23.277,48.9107,62.6508,0.475907,17.7858,4.49407,0.959468,0.742778,1.98759,7.63666,0.489342,0.637482,12.9787,1.19884,15.0024,8.79782,0.97694,0.241031,1.3622,8.75195,0.0558699,0.61924,39.5209,0.767499,11.7059,0.0838787,0.0305215,0.341444,0.182404,0.268819,0.382207,0.0129226,0.129848,0.0272939,
24,23.277,81.1262,189.199,0.286923,45.6848,6.4231,1.1472,0.751234,2.25863,8.44176,0.503749,0.67997,14.1839,1.05179,131.886,14.3076,1.11492,0.330814,2.27888,16.7452,0.179567,0.775808,45.0412,0.73699,11.7059,0.0838787,0.0305215,0.315338,0.180746,0.268819,0.128936,0.0180539,0.129848,0.0272939,
25,23.277,60.2407,130.213,0.386399,30.0785,5.51806,1.02432,0.778847,1.95248,7.91898,0.488712,0.583251,10.8581,1.03937,85.9953,10.6529,0.903233,0.351525,1.15532,16.9165,0.107196,0.671133,38.8619,0.723387,11.4529,0.0838787,0.0305215,0.288793,0.190665,0.268819,0.155731,0.0137047,0.129848,0.0227104,
26,23.1257,42.5608,62.35,0.543356,17.827,6.25605,1.01599,0.775362,1.61917,6.00726,0.477241,0.423446,7.31453,0.84481,21.9148,17.2495,0.819647,0.347616,0.989015,11.8527,0.0586237,0.363496,21.3329,0.59801,11.4529,0.0916775,0.0305215,0.170628,0.190665,0.149933,0.195166,0.0180539,0.129848,0.0227104,
27,23.1257,49.661,119.678,0.46567,21.1731,6.04615,0.749311,0.822833,1.58483,5.91345,0.477277,0.462992,11.6553,0.775869,48.563,21.1035,0.556656,0.289043,0.754291,7.52341,0.0367915,0.294605,47.8351,0.558126,11.1661,0.0916775,0.0305215,0.288793,0.220851,0.149933,0.34918,0.0180539,0.129848,0.0227104,
28,21.8193,62.3072,146.811,0.350189,30.2831,5.31983,0.994452,0.916965,1.84606,7.92777,0.480264,0.505078,13.2808,0.752921,73.5173,10.946,0.867819,0.431895,1.62152,21.5467,0.0748827,0.369928,45.8104,0.603282,11.4529,0.0916775,0.0305215,0.288793,0.220851,0.149933,0.142205,0.0180539,0.129848,0.0193461,
29,20.3439,81.4331,186.773,0.249823,38.9104,8.06098,1.02928,0.994589,1.87706,13.082,0.504275,0.518674,15.6674,0.788575,100.688,18.1546,0.917396,0.520723,2.48575,35.0243,0.136604,0.387537,41.9393,0.775594,11.4529,0.66586,0.0882937,0.422003,0.237059,0.149933,0.197127,0.0180539,0.579352,0.0193461,
30,20.3439,48.8377,92.944,0.416562,18.2924,7.10623,0.944623,0.973985,1.26872,6.93628,0.465026,0.612214,11.5676,0.670521,23.635,19.656,0.97441,0.408997,0.806269,25.4812,0.0738724,0.66152,39.3154,0.599636,11.4529,0.631909,0.088116,0.245863,0.158303,0.149933,0.0710982,0.0180539,0.307496,0.0193461,
31,20.3439,37.2776,84.4881,0.545741,16.6081,3.92598,0.887291,0.978054,1.28394,3.28045,0.471649,0.597509,8.52506,0.719625,24.8685,12.8756,0.832224,0.313261,0.869267,6.21935,0.0638135,0.637663,41.0765,0.513444,11.4529,0.439825,0.0882937,0.245863,0.158303,0.149933,0.0418735,0.0129298,0.307496,0.0193461,
32,20.3439,56.5298,136.67,0.359879,26.1576,5.69321,0.82419,1.07448,1.51809,4.84023,0.464849,0.443868,14.9494,0.563836,62.9274,16.2417,0.957202,0.478978,2.1353,10.8373,0.0758222,0.473834,48.6803,0.610951,11.4054,1.03612,0.0808285,0.243943,0.158303,0.0891055,0.123272,0.0129298,0.307496,0.0178459,
33,19.0669,61.6151,154.493,0.309453,31.0345,3.50987,0.935874,1.03695,1.55603,6.10731,0.478616,0.4863,15.76,0.70953,76.7513,5.51417,1.17736,0.502316,1.63581,18.0891,0.0630622,0.52354,51.6838,0.753747,11.4588,0.617748,0.0668601,0.329005,0.158303,0.0891055,0.124632,0.0185607,0.493466,0.0185403,
34,18.9266,45.4882,115.626,0.416077,24.0931,3.48405,0.600829,1.00796,1.21512,4.44505,0.473186,0.517199,9.15134,0.500431,59.0042,5.73493,0.647994,0.470486,1.43016,14.3334,0.0217432,0.413513,36.3538,0.538079,11.5825,0.842792,0.0694069,0.329005,0.127416,0.0891055,0.378194,0.0185803,0.213684,0.0172646,
35,18.9266,35.3558,83.45,0.535319,18.0821,3.41677,0.605194,0.940985,0.932931,2.55265,0.478677,0.458666,7.33989,0.547976,36.7166,6.13589,0.638933,0.44445,0.787668,7.6525,0.0209931,0.343634,32.6164,0.466002,11.5825,0.787951,0.062508,0.172,0.116903,0.0891055,0.428084,0.0136175,0.213684,0.0172646,
36,18.7937,74.6164,216.209,0.251871,43.1565,7.0436,0.723155,1.44832,0.938388,5.66393,0.495009,0.551621,14.06,0.535852,136.679,18.9249,0.767707,2.45458,1.26042,19.6235,0.128082,0.504147,47.9652,0.409984,11.6391,1.14391,0.0694069,0.172,0.116903,0.124375,0.146233,0.0185803,0.213684,0.0172646,
37,18.7937,55.6238,137.658,0.337872,37.5171,3.82411,0.67978,0.985664,0.926102,6.5076,0.489654,0.524022,3.68931,0.480484,106.312,7.16628,0.807326,0.651814,1.13774,19.1023,0.0946139,0.669103,12.6708,0.568818,11.6528,1.12844,0.0910967,0.166876,0.116903,0.0670591,0.281167,0.0185803,0.213684,0.0198714,
38,18.7937,49.8195,133.895,0.377236,27.051,3.28546,0.541302,0.934024,1.22234,4.81423,0.476871,0.413648,10.5675,0.513135,71.8072,7.19807,0.706628,0.57799,2.54837,14.6961,0.0257344,0.398564,40.9443,0.425379,11.6528,0.884902,0.0868416,0.146396,0.116903,0.124375,0.355966,0.0185803,0.213684,0.0238711,
39,18.7937,103.457,246.359,0.181658,65.0091,7.73152,0.839329,1.13964,1.67144,8.85072,0.526583,0.430476,16.7176,0.540178,158.294,17.8258,1.36522,0.780133,2.93879,24.1247,0.233158,0.389032,61.2641,0.55709,11.6528,0.95284,0.0561179,0.101151,0.116903,0.0945196,0.0261473,0.0185803,0.213684,0.0238711,
40,18.5499,37.9863,80.7357,0.488332,17.6595,4.24825,0.615317,0.988539,0.848325,4.51279,0.484393,0.473148,7.68199,0.474073,43.2097,13.2493,0.947846,0.414044,1.41125,15.6398,0.107224,0.602406,29.7694,0.513476,11.361,0.467609,0.0651989,0.101151,0.116903,0.0945196,0.210552,0.021441,0.213684,0.0285169,
41,17.9844,92.189,207.784,0.195082,44.0755,9.22237,0.94034,1.0369,1.60352,11.208,0.479791,0.648307,22.4292,0.545181,116.258,23.8292,1.26754,0.534723,3.38323,30.3752,0.173269,0.59304,69.9904,0.561057,4.33341,0.778577,0.090201,0.101151,0.116903,0.0684506,0.0438666,0.0222179,0.213684,0.0285169,
42,17.8978,64.4309,151.772,0.277783,30.3674,4.97317,0.70116,1.13136,0.960518,8.1723,0.461009,0.611096,16.5715,0.481457,65.2362,13.3702,0.92035,0.548778,2.12668,23.8105,0.0782867,0.609899,53.8457,0.39687,11.9197,1.02023,0.0846605,0.101151,0.116903,0.0945196,0.0583245,0.0257057,0.213684,0.0285169,
43,17.8978,44.3442,107.627,0.40361,23.0023,4.57473,0.759426,1.02669,0.755466,3.78037,0.468047,0.484963,9.09359,0.398666,50.8413,12.0729,0.804381,0.461316,0.824894,12.5861,0.0630756,0.374686,38.6698,0.436844,11.9197,0.70603,0.0846605,0.101151,0.0942979,0.0235573,0.0362046,0.0274489,0.213684,0.0285169,
44,17.6033,78.8784,230.103,0.22317,47.3236,6.75294,0.693092,1.06538,1.31199,8.02677,0.494938,0.611303,12.098,0.500464,147.474,20.5469,0.691499,0.550038,3.13261,25.5328,0.156798,0.823054,38.747,0.489151,11.9197,0.9414,0.0846605,0.101151,0.116903,0.0235573,0.15316,0.00396291,0.213684,0.0285169,
45,17.6033,44.9544,124.81,0.391582,25.6073,2.97169,0.73048,0.997262,0.733796,2.70391,0.488646,0.718869,9.57508,0.427375,86.0637,6.8034,1.00944,0.34703,1.49086,12.7682,0.112376,0.658558,44.8209,0.370163,11.9842,0.9414,0.0846605,0.101151,0.116903,0.0235573,0.294931,0.0274489,0.213684,0.02971,
46,17.6033,36.1911,82.8927,0.486399,17.4922,4.75467,0.746388,1.02619,0.656408,4.51652,0.471024,0.445167,5.64864,0.433879,26.2694,18.4025,1.01571,0.321234,1.44955,20.2894,0.0475852,0.438484,21.1652,0.286213,12.031,0.890846,0.0846605,0.18448,0.118345,0.0235573,0.173946,0.0161873,0.213684,0.0209821,
47,17.6033,60.1028,163.556,0.292887,30.5386,5.62241,0.662835,1.01527,0.794622,5.51936,0.486395,0.501332,14.3725,0.589444,80.6539,18.3382,0.899609,0.420092,1.5903,21.0046,0.0431218,0.458865,56.2159,0.666359,11.9989,0.59224,0.0846605,0.18448,0.083199,0.0235573,0.459404,0.0274489,0.213684,0.02971,
48,17.6033,71.5295,196.863,0.246099,31.9845,8.32112,0.868107,0.945612,0.954807,12.8603,0.503108,0.594104,13.9891,0.508789,110.525,25.1377,1.09638,0.332692,1.93521,41.5955,0.1741,0.661014,49.1983,0.508864,11.9989,0.382163,0.0846605,0.18448,0.110048,0.0235573,0.355433,0.0274489,0.213684,0.02971,
49,17.6033,34.6964,74.0946,0.507354,18.4644,2.78442,0.674916,0.93334,0.689854,2.2834,0.465066,0.434761,7.51339,0.452836,31.6019,8.36273,0.828636,0.341353,1.25161,8.58804,0.0739019,0.542557,31.6616,0.279156,11.9989,0.518793,0.0820561,0.18448,0.110048,0.0235573,0.04889,0.0156569,0.213684,0.0154298,
50,17.2892,24.7119,42.9984,0.699633,14.2246,2.27647,0.567433,0.867799,0.51271,1.69086,0.470027,0.409734,3.21964,0.472573,12.5536,6.08445,0.431086,0.330854,0.850315,7.86987,0.0603695,0.329466,15.7749,0.325419,11.9989,0.660939,0.0946099,0.18448,0.110048,0.0233501,0.05147,0.0274489,0.157137,0.0371822,
51,17.2892,81.5633,212.515,0.211973,42.5607,5.94791,0.726293,0.903391,0.792131,5.26584,0.487567,0.551893,23.7831,0.544536,105.894,17.4148,0.829342,0.587671,1.84123,20.2425,0.106575,0.504574,74.459,0.522569,11.9989,0.660939,0.048478,0.18448,0.110048,0.0233501,0.0602247,0.0387352,0.156416,0.0371822,
52,17.273,59.3679,201.586,0.290948,33.5823,4.87946,0.629556,0.908816,0.723095,2.97953,0.501129,0.646314,14.0608,0.45692,105.117,20.377,0.9078,0.548228,1.97874,12.6509,0.11167,0.740559,64.0352,0.255272,11.9903,0.660939,0.0841628,0.18448,0.0865263,0.0233501,0.461629,0.0387352,0.157137,0.0371822,
53,17.0445,51.2673,161.651,0.332463,30.0242,3.18334,0.549319,0.849781,0.605457,5.89504,0.490812,0.585942,8.53794,0.545481,89.9576,9.70336,0.785983,0.520755,1.58075,26.7274,0.0723874,0.495177,44.0694,0.363343,11.9989,0.660939,0.0775136,0.499771,0.0566698,0.0233501,0.465228,0.0387352,0.157137,0.0382207,
54,16.719,46.038,137.267,0.363157,26.9537,2.68387,0.53894,0.857282,0.342882,3.12806,0.479649,0.483633,10.0044,0.565625,70.9638,7.93677,0.706766,0.465206,0.398945,14.2009,0.0599222,0.357261,45.1815,0.319375,11.7449,0.9414,0.0841628,0.464977,0.107446,0.0233501,0.153453,0.029185,0.153002,0.0331313,
55,16.4977,82.937,207.974,0.198918,47.4338,8.17892,0.666712,0.813325,0.928029,8.37301,0.503534,0.487825,14.8979,0.653961,126.006,22.0143,1.05919,0.453232,2.39256,25.7195,0.192729,0.464358,54.5851,0.384178,11.7449,0.9414,0.0841628,0.219732,0.107446,0.0233501,0.138634,0.0147691,0.0568137,0.29466,
56,16.4977,34.8659,118.51,0.473176,25.1496,2.41024,0.446509,0.784569,0.220637,3.03547,0.496168,0.342211,1.39987,0.58065,87.1733,8.92037,0.6148,0.592861,0.706367,19.1203,0.119877,0.298045,11.9502,0.26061,11.7449,0.727444,0.0841628,0.336873,0.107446,0.0295935,0.455316,0.0147691,0.0568137,0.365341,
57,16.4977,42.188,120.102,0.391052,27.2964,2.58951,0.389346,0.751358,0.473088,2.15306,0.481149,0.458789,6.99777,0.597544,75.1925,6.0365,0.471365,0.473767,1.64422,9.29324,0.0338581,0.612438,34.1011,0.239349,11.7449,0.996546,0.0841628,0.408612,0.110217,0.0147145,0.305039,0.0130302,0.0568137,0.366739,
58,16.4977,80.1629,223.665,0.205802,46.5345,6.19989,0.505909,1.04022,0.605648,5.64786,0.502664,0.575368,17.925,0.625841,135.012,17.8139,0.814243,1.89773,1.86293,20.5841,0.198926,0.890013,59.4172,0.264225,11.7449,1.15147,0.0841628,0.408612,0.0874076,0.0206138,0.208444,0.0147691,0.0568137,0.366739,
59,16.4977,86.0502,219.899,0.191722,54.3016,7.80342,0.626454,0.702954,0.986702,6.97099,0.49706,0.521735,12.946,0.693266,138.667,22.8376,1.09831,0.463927,2.77684,22.1382,0.145109,0.785597,48.7705,0.490632,11.7449,0.917526,0.0841628,0.408612,0.110217,0.0156075,0.169697,0.0147691,0.0568137,0.366739,
60,15.8638,44.3655,132.63,0.357571,30.9491,2.3758,0.415602,0.662302,0.528584,1.87968,0.483248,0.279953,6.17654,0.614695,94.4253,8.07904,0.803308,0.358945,1.69094,8.81989,0.0262883,0.323155,36.8507,0.292274,11.9349,0.66338,0.0741267,0.393821,0.126836,0.0156075,0.428352,0.0206004,0.0568137,0.366739,
61,15.8638,43.0138,127.299,0.368807,23.217,3.03726,0.4398,0.650171,0.296296,3.27875,0.477537,0.391656,10.6433,0.582103,53.682,9.10278,0.942745,0.356854,0.613486,15.8727,0.0493763,0.657753,49.4532,0.307081,11.9349,1.15147,0.0847722,0.373151,0.106449,0.0156075,0.144405,0.0206004,0.0568137,0.41764,
62,15.8169,26.532,68.1299,0.596146,15.7824,1.72068,0.336981,0.583801,0.352694,1.00579,0.476452,0.444002,5.27119,0.558008,23.2663,3.04772,0.352079,0.2969,1.11667,5.71078,0.0525372,1.13908,34.1286,0.0832048,12.1093,1.18426,0.0870494,0.35871,0.0905421,0.0114091,0.109594,0.0365544,0.0568137,0.436844,
63,15.8169,48.0816,119.501,0.32896,19.679,7.32166,0.564092,0.660662,0.648123,6.01934,0.461692,0.437084,11.648,0.641943,41.5992,22.7638,0.921237,0.505174,1.80489,20.4195,0.0786928,0.802243,49.171,0.404143,6.67313,1.18426,0.0870494,0.336037,0.112473,0.0348008,0.0736504,0.0228732,0.0920225,0.428513,
64,15.8169,57.0658,181.89,0.27717,31.3492,5.21997,0.566351,1.02059,0.662793,5.35901,0.487616,0.244436,11.5342,0.621596,84.5595,17.0832,1.1562,2.78138,2.452,21.0126,0.0786185,0.383233,54.6993,0.420414,12.0321,1.18426,0.0870494,0.35871,0.120472,0.0348008,0.246867,0.0228732,0.068691,0.428513,
65,15.7778,64.389,175.726,0.245039,33.0442,4.86081,0.552427,0.651086,1.00532,5.66035,0.485774,0.312596,17.2263,0.590143,82.5546,13.2503,1.13374,0.536838,3.38818,19.3736,0.0552825,0.73038,64.302,0.198637,12.0321,1.21882,0.0841956,0.341,0.126836,0.0196823,0.309164,0.0220918,0.068691,0.428513,
66,15.7092,53.5824,156.732,0.293178,27.1187,5.99702,0.449789,0.589528,0.594229,6.09297,0.473413,0.274451,11.3784,0.613833,70.6618,18.6804,1.04279,0.445338,1.74301,23.4732,0.0672119,0.599417,48.7537,0.299238,12.0321,1.24996,0.0841956,0.331469,0.126836,0.0210536,0.0721996,0.0124527,0.068691,0.434302,
67,15.5803,47.2349,156.111,0.329846,22.1468,5.73142,0.343456,0.520332,0.272717,4.93145,0.476539,0.142563,12.0783,0.591373,48.4855,24.423,0.844702,0.304468,0.567975,25.4453,0.045425,0.162547,58.6899,0.23183,12.0503,1.24996,0.0841956,0.331469,0.126836,0.0197799,0.163724,0.0124527,0.068691,0.448022,
68,15.5024,45.125,133.478,0.343545,23.5091,2.88015,0.420926,0.578634,0.458398,6.19466,0.481088,0.181569,9.77648,0.643915,56.4557,6.56041,0.984866,0.528553,1.50108,24.9096,0.0604133,0.325896,45.4155,0.436072,11.8651,1.25716,0.0841956,0.311687,0.126836,0.0210536,0.147368,0.00936628,0.0268515,0.432541,
69,15.5024,53.5325,152.172,0.28959,33.117,3.76653,0.42867,0.52333,0.524559,5.99421,0.48587,0.199325,7.91305,0.579971,87.9324,9.83469,0.934782,0.32161,1.72991,26.7224,0.0234219,0.544571,37.8299,0.165439,11.8762,1.23392,0.0861553,0.326599,0.126836,0.0208169,0.384041,0.0220918,0.0268515,0.448022,
70,15.5024,99.3654,229.387,0.156015,58.5033,7.04493,0.617338,0.655343,0.768459,7.48561,0.488301,0.262023,22.8313,0.708749,134.998,16.9624,1.30874,0.658322,2.15748,22.3246,0.0715098,0.52015,70.5267,0.524199,11.8762,1.24043,0.0849062,0.326599,0.126836,0.0208169,0.148568,0.0207953,0.0721111,0.4629,
71,15.2781,143.482,318.57,0.106481,82.193,11.473,0.713139,0.819097,2.03962,16.6661,0.518612,0.303608,28.0363,0.720002,175.212,26.5785,1.26759,1.13552,4.86204,46.6272,0.174129,0.637914,74.031,0.509544,11.8762,1.22913,0.0861033,0.326599,0.126836,0.0208169,0.177663,0.019682,0.0721111,0.4629,
72,15.2781,34.1459,107.917,0.447436,19.5739,4.35199,0.308793,0.468837,0.575102,4.48925,0.482033,0.129966,3.11658,0.649413,72.8513,18.6823,0.818505,0.420035,2.47867,24.794,0.068278,0.244757,29.0163,0.539453,11.8762,1.25666,0.0861553,0.326599,0.126836,0.010716,0.166392,0.019682,0.0721111,0.451109,
73,15.2781,87.3252,216.187,0.174956,50.3528,7.3917,0.507423,0.571007,0.619781,11.253,0.4938,0.277876,15.1154,0.742462,135.831,18.7697,0.994944,0.652688,1.47584,44.6551,0.12608,0.701795,51.0456,0.651731,11.7971,1.25195,0.0849035,0.330369,0.13083,0.010716,0.0939741,0.0125052,0.0519745,0.451109,
74,15.2781,56.2852,176.814,0.271441,34.4998,4.63877,0.379814,0.452477,0.776146,5.31017,0.507923,0.194896,8.91288,0.612368,104.694,13.7046,0.758738,0.154544,2.53794,25.0852,0.124126,0.615583,45.4028,0.346143,11.8295,1.24437,0.0868636,0.344699,0.132973,0.010716,0.476991,0.0188204,0.020223,0.451109,
75,15.1107,47.5495,165.851,0.317789,30.8309,4.58958,0.398823,0.470592,0.572185,4.95174,0.497202,0.135479,4.49468,0.608331,112.545,15.5925,0.825131,0.256793,1.68161,24.342,0.172194,0.210463,21.0691,0.298829,11.8295,1.24437,0.0868636,0.367043,0.132973,0.010716,0.0555996,0.0115257,0.020223,0.451109,
