Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
10,1583.06,2539.83,1454.9,0.623296,153.89,0,519.019,7.82064,122.415,29.6804,1421.6,131.688,153.709,199.871,0,679.728,2.9794,117.3,22.7876,700.512,73.6237,198.893,1.52016,0,57.7164,1.17533,8.20108,3.76608,1170.05,40.5493,1.18952,
11,1583.06,2429.44,1511.88,0.651616,149.647,0,459.068,7.32952,163.795,25.9888,1327.97,147.454,148.197,189.926,0,693.824,2.60895,246.446,13.3073,365.256,113.137,189.445,5.73881,0,57.7164,2.24756,7.30638,3.82824,1170.05,12.2901,1.82041,
12,1574.68,2858.29,2115.76,0.550916,183.428,0,574.133,7.19248,139.392,34.142,1587.35,150.043,182.615,328.157,0,848.112,2.84074,179.726,28.3568,870.784,91.0283,326.398,1.06554,0,57.7164,0.304245,5.25869,3.82824,1170.05,41.1135,0.322385,
13,1574.68,3100.46,2487.95,0.507886,283.33,0,576.144,7.63247,226.81,28.8064,1547.09,149.734,280.905,436.931,0,821.045,2.99597,351.279,16.7911,800.858,117.184,431.396,5.73881,0,57.7164,1.1063,6.53943,3.82824,1038.18,26.2359,1.82041,
14,1574.68,2726.04,2424.1,0.577642,193.536,0,472.366,7.01398,200.664,29.6662,1497.22,134.137,191.442,359.238,0,737.16,2.75691,330.712,19.2472,834.93,94.9018,339.24,6.0372,0,63.7515,2.19495,11.0413,3.82824,1174.48,10.1938,1.82041,
15,1472.91,2794.39,2495.37,0.527094,192.038,0,539.619,6.89197,213.592,27.9035,1489.72,137.472,187.154,348.887,0,880.198,2.37574,348.835,16.5755,799.713,65.553,338.543,4.95292,0,58.5742,1.29988,11.0413,3.82824,1003.95,12.265,1.82041,
16,1472.91,2825.91,2488.39,0.521215,141.253,0,609.039,6.66639,142.511,34.7053,1602.75,149.082,139.9,281.714,0,1069.82,2.46633,232.319,26.7347,905.496,80.073,280.004,4.95292,0,58.5742,2.89944,7.65433,10.8174,1174.48,23.2746,1.82041,
17,1472.91,2573.1,2282.64,0.572424,126.957,0,443.752,7.16324,158.901,32.2808,1504.07,175.693,124.282,260.847,0,791.477,3.0793,338.975,21.698,869.342,130.308,254.124,1.67496,0,58.5742,1.35717,7.65433,11.4181,1129.41,55.7793,0.61736,
18,1472.91,2411.76,2019.3,0.610718,145.698,0,406.84,7.20508,114.34,29.3643,1408.94,158.77,140.608,248.255,0,742.74,3.15038,198.948,12.8591,754.734,106.374,230.524,1.67496,0,46.967,1.08945,7.65433,3.85593,1044.94,63.3193,0.61736,
19,1472.91,2425.61,2034.27,0.607232,183.094,0,374.458,7.6726,113.11,31.8031,1368.66,164.673,182.143,367.62,0,703.093,2.97355,175.094,14.5707,498.854,108.042,367.658,1.67496,0,53.0254,1.81433,7.65433,19.5676,1067.45,63.3193,0.61736,
20,1472.91,2601.04,2335.33,0.566276,145.896,0,446.194,7.39587,179.785,28.982,1468.03,184.555,140.204,309.799,0,844.837,3.11333,350.17,15.3254,793.189,108.676,304.714,1.67496,0,47.1859,0.45269,7.65433,4.65966,1051.2,82.8028,0.61736,
21,1472.91,2797.48,2545.97,0.526512,165.121,0,545.218,8.03236,120.45,39.6154,1611.24,143.853,163.946,331.143,0,892.18,3.06082,271.039,30.0509,959.26,99.1508,333.289,1.67496,0,53.0254,0.978391,6.49776,18.1282,1055.25,11.0834,0.61736,
22,1472.91,3074.89,2794.54,0.47901,210.647,0,648.613,7.79539,158.681,39.2826,1632.53,169.376,207.971,430.304,0,1067.03,3.31065,323.451,26.4899,903.22,107.082,428.418,1.67496,0,55.2256,0.244635,5.99233,15.5524,1094.95,25.8497,0.61736,
23,1472.91,2964.89,2749.96,0.496783,172.506,0,630.475,7.81191,136.83,38.4409,1623.7,184.225,170.898,367.744,0,1077.19,2.76621,278.428,27.1184,960.131,135.8,366.374,1.67496,0,54.0571,0.829267,3.09641,19.4171,1178.85,60.5783,0.61736,
24,1472.91,2782.81,2263.59,0.529287,131.049,0,525.951,7.85579,179.333,35.948,1627.94,146.735,128.006,284.862,0,861.156,2.91,324.041,26.9982,993.316,85.3409,281.567,1.54251,0,54.0571,0.720775,5.17982,18.2189,1027.95,10.5678,1.21568,
25,1472.91,2910.46,2626.76,0.506073,203.255,0,634.684,7.69068,167.917,31.9508,1499.42,167.946,197.597,396.698,0,1061.84,2.72709,351.873,14.3797,761.101,132.946,383.6,2.86109,0,56.5325,0.637876,6.22855,12.8039,1070.81,11.4702,1.42611,
26,1472.91,2449.2,2214.45,0.601382,139.999,0,420.409,7.38465,122.421,30.9772,1430.1,160.004,137.904,299.107,0,894.547,3.05472,278.073,13.7022,641.005,126.602,296.833,2.86109,0,54.4444,1.25928,4.82858,10.3819,1183.22,27.6522,1.42611,
27,1471.86,3107.88,2735.42,0.473591,206.56,0,547.367,7.22666,187.321,40.1174,1749.8,167.064,202.423,359.951,0,906.847,3.27992,357.109,29.9045,999.145,106.469,355.713,2.86109,0,55.0625,0.458004,5.10479,12.314,1010.34,15.914,1.42611,
28,1471.86,2713.43,2346.87,0.542436,158.158,0,435.207,6.92225,140.581,35.5818,1622.83,158.21,155.945,342.771,0,852.108,3.02634,266.144,22.7371,971.416,132.536,329.131,2.86109,0,51.4953,0.473109,6.18439,22.9323,1133.99,11.129,1.42611,
29,1463.62,3102.03,2887.25,0.471827,261.546,0,567.284,7.06686,167.91,39.2316,1640.42,160.267,258.305,490.446,0,973.985,2.72568,377.581,24.9479,958.247,104.176,447.364,2.86109,0,51.4953,0.997457,8.27517,25.015,1183.22,76.8098,1.42611,
30,1463.62,2758.25,1937.85,0.530634,193.183,0,591.395,6.94433,147.842,32.0691,1442.7,152.45,191.668,325.228,0,987.344,2.55584,213.748,20.7601,624.761,108.821,324.757,2.86109,0,54.9044,1.53198,5.71484,5.12484,1183.22,12.6542,1.42611,
31,1460.3,2333.21,2290.5,0.625873,127.338,0,347.891,6.22003,93.5743,34.0614,1475.53,125.254,123.34,356.635,0,768.403,2.67568,233.339,20.0059,840.722,46.9892,344.933,0.719486,0,56.5325,1.74624,5.2425,20.773,1032.73,45.6399,0.261942,
32,1460.3,2538.6,2493.09,0.575236,131.644,0,386.313,6.57377,143.789,34.9854,1582.93,126.561,125.809,292.835,0,759.946,2.92239,330.925,22.6102,912.353,44.9354,281.157,2.86109,0,52.372,0.543475,4.29991,4.47271,1185.1,20.9889,1.42611,
33,1452.64,2602.78,2457.79,0.55811,176.571,0,438.585,5.95952,158.748,34.277,1486.88,127.475,174.284,383.003,0,813.483,2.98758,348.216,20.8259,876.119,47.8799,365.198,2.26886,0,59.5545,0.57527,4.50463,18.4702,1064.56,46.263,0.664944,
34,1452.64,2590.17,2446.33,0.560826,188.28,0,421.858,5.91167,104.622,35.8624,1503.35,145.688,184.599,386.908,0,850.812,2.79829,286.904,18.7483,766.272,108.029,378.905,2.26886,0,57.4775,0.148434,4.71522,20.7603,1185.1,44.006,0.664944,
35,1452.64,2276.71,1895.32,0.638043,115.06,0,407.162,6.18085,117.62,30.5502,1347.64,140.14,112.359,317.824,0,883.485,2.94885,284.093,14.506,513.337,92.2486,307.941,2.0159,0,59.5635,0.503329,3.40282,17.0322,982.995,25.6241,0.664944,
36,1452.64,2981.59,2737.41,0.487203,200.749,0,576.822,5.60571,141.41,40.1252,1677.68,139.904,199.286,430.066,0,978.976,2.75839,321.704,27.2529,940.258,84.3221,428.91,1.80262,0,59.5635,0.0952517,2.41388,21.263,1021.95,37.6335,0.664944,
37,1452.64,2274.46,1680.11,0.638673,113.524,0,280.895,5.72258,112.161,32.0373,1483.63,135.233,111.261,291.306,0,560.162,2.8251,263.257,20.008,795.661,78.4062,272.49,2.0159,0,60.1824,1.08728,9.44676,10.3264,1192.5,62.8718,0.664944,
38,1452.64,2612.64,2660.75,0.556003,146.972,0,442.466,5.83879,110.187,38.4284,1587.87,136.707,144.179,355.304,0,844.75,3.15244,318.704,25.0308,952.777,101.085,348.811,2.0159,0,60.1824,0.836922,11.2999,27.4943,1193.43,6.73984,0.664944,
39,1446.33,2299.17,1860.18,0.629066,78.4343,0,443,4.45482,100.195,29.9032,1428.42,137.572,77.1989,211.077,0,913.719,2.4257,176.598,15.727,671.612,70.8359,210.498,2.0159,0,61.7024,0.504224,3.46072,8.8495,1100.33,98.7927,0.664944,
40,1446.33,2676.25,2456.09,0.540432,203.342,0,510.874,4.61788,139.315,34.2459,1441.7,140.827,201.33,425.968,0,947.654,2.19016,263.651,20.0467,647.142,78.3542,423.099,2.0159,0,61.7024,1.01171,6.3099,8.81305,1064.51,59.8806,0.664944,
41,1446.33,3282.58,3443.58,0.440609,215.241,0,545.372,5.39162,239.477,40.5867,1873.64,155.486,207.381,497.143,0,887.141,3.13081,492.322,28.4091,1162.98,104.537,478.187,1.21664,0,61.7024,1.09653,4.17967,18.9238,1191.42,93.8363,0.527473,
42,1445.09,2490.13,2011.23,0.58033,143.366,0,423.911,4.52391,154.794,35.1257,1448.24,134.85,145.316,337.81,0,740.206,2.08741,329.401,20.6205,737.041,86.4746,334.086,1.21664,0,61.1143,0.961952,5.90281,18.8464,1193.43,42.1863,0.527473,
43,1445.09,2636.18,2433.83,0.548176,173.825,0,450.405,4.46768,158.127,32.3264,1499.27,151.477,166.281,390.44,0,747.607,2.13623,311.592,14.2888,805.396,119.147,374.026,1.21664,0,62.4448,0.60315,6.69723,10.8217,1193.19,36.5864,0.527473,
44,1445.09,2544.05,2206.05,0.568029,113.932,0,470.186,4.69118,148.16,33.8823,1532.92,128.815,111.461,305.261,0,837.653,2.26886,343.311,17.5889,711.641,88.7297,310.623,1.21664,0,62.4448,1.23519,7.2879,16.5748,1193.43,19.8525,0.527473,
45,1444.69,2335.43,1966.75,0.618599,103.662,0,299.185,4.43753,124.48,35.5884,1531.64,135.742,100.693,262.563,0,587.666,2.14523,249.191,22.1189,841.096,72.6404,261.085,1.21664,0,63.4736,1.16117,7.2879,18.8378,1192.83,10.988,0.527473,
46,1441.41,2402.19,2354.73,0.60004,140.692,0,307.437,4.84986,136.241,35.7089,1515.57,123.585,138.103,375.194,0,586.786,2.54374,354.359,23.7751,959.684,75.7652,368.307,1.21664,0,63.4736,1.19219,6.11326,18.8041,1062.96,11.1014,0.527473,
47,1441.41,2441.46,2267.94,0.590388,104.516,0,428.335,4.59166,122.096,35.0265,1525.99,117.978,102.925,264.592,0,825.978,2.6131,331.701,21.8087,869.158,58.9112,263.206,1.21664,0,63.4736,0.287559,7.54672,17.3306,975.312,10.8822,0.527473,
48,1441.41,2462.79,2118.58,0.585275,170.173,0,423.352,4.66582,131.366,32.6412,1403.22,129.349,168.021,376.414,0,744.232,2.22169,328.823,16.4823,615.621,69.4652,374.349,1.21664,0,63.4736,1.26233,4.8693,18.0188,1029.65,51.3469,0.527473,
49,1441.41,2427.67,2553.71,0.593742,102.541,0,388.357,4.37195,195.228,31.2927,1480.83,127.243,97.8101,293.153,0,795.911,2.07366,529.187,16.0198,894.165,79.4152,287.619,1.21664,0,63.4736,0.675971,8.44404,2.27108,1192.6,16.3535,0.527473,
50,1438.62,2653.8,2442.84,0.542099,136.448,0,510.793,4.30667,120.529,36.2822,1583.94,126.631,134.876,295.024,0,946.643,1.83646,295.881,23.4119,852.298,77.1666,293.915,1.21664,0,64.9809,0.705294,7.80387,13.9276,1005.27,45.1797,0.527473,
51,1438.62,2563.42,2277.75,0.561212,106.049,0,491.16,4.41387,117.938,33.743,1573.02,137.754,99.3459,263.471,0,933.608,2.03419,271.868,19.1717,856.438,111.412,254.462,1.21664,0,65.7326,0.362721,7.43015,3.03365,1192.6,9.06849,0.527473,
52,1438.62,2775.17,2803.58,0.518392,228.096,0,380.558,4.71558,187.508,34.8506,1559.73,156.835,222.872,478.675,0,717.852,2.22812,386.079,21.4399,854.894,140.959,494.455,1.21664,0,65.6945,1.72505,8.45082,13.0183,1194.48,51.9686,0.527473,
53,1436.98,2578.27,2493.32,0.557345,112.597,0,515.122,4.3086,130.581,36.0635,1538.77,130.142,110.68,314.848,0,1019.83,2.05936,296.088,22.8196,834.853,95.9335,313.423,1.6618,0,65.7616,1.04457,4.40326,16.0009,1194.66,39.0395,0.485409,
54,1436.98,2703.46,2614.1,0.531534,171.623,0,429.707,4.21845,142.948,39.0119,1591.51,154.131,170.312,409.665,0,759.193,2.13048,309.757,26.6232,939.637,129.505,409.144,1.6618,0,65.7616,1.05929,5.06105,22.4013,1137.15,11.8216,0.485409,
55,1436.98,2684.95,2770.17,0.535199,146.013,0,388.767,4.71291,153.389,40.6478,1680.08,129.32,142.027,381.252,0,808.886,3.01596,408.722,28.6342,1128.2,94.6887,372.914,1.6618,0,65.7616,1.03341,8.39016,19.3232,1192.86,14.1033,0.485409,
56,1436.98,2524.96,2015.48,0.569111,108.036,0,513.234,3.92768,115.849,34.2516,1517.44,126.537,105.679,253.277,0,873.561,2.8094,256.212,20.6032,737.829,87.7556,247.268,1.6618,0,61.0277,0.0756184,4.33798,6.68937,1195.18,12.2288,0.485409,
57,1436.98,3286.67,3035.28,0.437215,246.772,0,649.292,4.54885,206.754,40.771,1765.08,133.41,240.038,425.516,0,1030.73,3.25122,400.293,23.9772,985.719,88.3156,415.932,1.6618,0,60.6513,0.697236,5.50495,17.0428,1195.18,28.3796,0.485409,
58,1436.98,2559.08,2463.15,0.561523,105.624,0,462.405,4.41462,95.0635,38.0472,1601.67,149.56,102.29,296.803,0,934.457,2.20195,266.517,25.7419,969.93,128.736,257.124,1.6618,0,65.7425,0.352657,4.69755,20.3272,966.741,30.935,0.485409,
59,1434.21,2651.25,2405.92,0.540954,153.494,0,473.788,4.51036,178.063,33.2973,1541.54,119.863,146.695,315.74,0,870.752,2.55034,409.709,18.5539,818.588,65.1126,320.469,1.53592,0,66.6347,0.49021,6.41,12.864,1195.38,26.8502,0.463754,
60,1434.21,2697.87,2505.21,0.531607,176.07,0,373.62,4.35914,179.832,36.7982,1629.12,124.975,173.101,375.952,0,659.13,1.84557,332.263,23.9493,966.24,75.7495,377.637,1.53592,0,66.1792,0.603213,10.6141,10.8271,1099.6,19.4997,0.463754,
61,1434.21,2817.38,2785.97,0.509058,208.082,0,456.209,4.96948,200.843,36.7901,1567.15,137.836,205.494,459.395,0,826.695,2.12112,415.492,24.7079,925.095,95.7422,449.486,1.53592,0,66.1792,1.56381,11.3023,9.10757,1155.1,57.0691,0.463754,
62,1434.21,3452.11,3166.63,0.415458,213.311,0,769.359,5.03049,262.313,39.4518,1776.59,178.852,207.203,397.449,0,1150.57,3.07151,466.817,26.9334,1036.73,160.256,395.209,1.53592,0,66.6347,0.0336477,6.9432,12.5349,1078.05,10.4577,0.463754,
63,1434.21,2924.91,3071.16,0.490343,187.307,0,564.071,4.75295,164.553,37.2676,1656.98,132.062,177.913,465.594,0,1059.63,2.29972,404.937,23.4784,1052.53,98.0221,456.066,1.53592,0,66.7379,0.495709,3.13241,27.2073,1195.38,28.6672,0.463754,
64,1433.39,3082.8,2782.35,0.464966,236.927,0,688.763,4.85143,163.999,36.0141,1583.96,134.052,234.23,468.412,0,1088.56,3.09305,334.968,19.9954,820.787,93.2242,465.653,1.53592,0,66.8254,0.108094,11.8105,20.1796,1102.11,38.3739,0.463754,
65,1433.39,2779.36,2755.49,0.515728,159.898,0,550.708,4.11779,137.151,39.2114,1594.98,135.236,158.063,385.093,0,948.375,2.06951,316.251,26.5036,922.07,102.314,382.976,1.6618,0,56.1003,0.620481,12.934,9.85744,1195.38,52.3272,0.485409,
66,1433.39,2705.93,2518.96,0.529723,165.926,0,496.885,4.49696,140.105,34.7887,1577.36,125.13,161.234,374.374,0,928.569,2.56706,308.328,20.8138,817.611,86.9215,365.567,1.6618,0,67.3799,0.771325,2.44791,6.38863,1197.11,12.5948,0.485409,
67,1433.39,2667.99,2419.64,0.537256,116.387,0,539.406,4.33023,98.7731,39.7651,1628.02,126.255,115.056,316.464,0,990.008,2.03521,239.694,26.547,955.828,112.81,325.518,1.6618,0,67.3799,0.877292,10.8793,17.9815,1166.72,15.0274,0.485409,
68,1430.52,2757.9,2334.72,0.518697,115.594,0,569.54,4.19637,127.209,38.0162,1647.12,143.655,112.573,275.554,0,935.756,2.19482,274.335,26.6321,999.74,112.304,271.686,1.77422,0,67.4111,0.0474859,8.50568,14.6717,1097.1,11.1205,0.581999,
69,1430.52,2624.19,2343.43,0.545127,153.425,0,503.076,3.69472,115.16,36.2838,1498.67,162.57,151.309,353.362,0,940.252,2.15361,257.223,19.3315,693.258,147.122,353.838,1.89347,0,67.5347,0.306086,7.35606,18.7083,1198.29,39.1889,0.581999,
70,1430.52,2580.67,2707.83,0.554321,134.194,0,480.195,3.69877,148.8,33.7852,1499.11,150.284,130.599,383.277,0,936.747,2.06961,357.492,19.8486,848.261,131.479,377.678,1.89347,0,67.6768,0.234752,10.2527,13.7059,1138.77,23.992,0.581999,
71,1430.52,2390.45,2263.29,0.598429,129.043,0,482.683,3.65009,99.5667,32.5981,1387.53,128.135,127.251,314.019,0,987.346,2.00758,290.233,17.6758,653.445,96.7918,313.444,1.89347,0,67.113,0.668676,3.04353,13.1797,1053.78,51.2468,0.581999,
72,1428.93,2706.65,2653.32,0.527933,201.095,0,490.557,3.58018,146.265,35.6774,1481.65,148.846,198.977,439.122,0,910.541,1.66743,310.046,18.8491,699.097,127.398,419.287,1.70614,0,68.1719,0.268652,6.51569,19.8605,1198.7,27.1306,0.507455,
73,1428.49,2432.37,1972.93,0.587282,145.118,0,388.707,3.22456,105.211,33.6558,1472,140.822,143.637,320.784,0,684.39,1.62502,221.401,19.3307,755.256,107.041,313.108,1.66539,0,68.0728,0.323957,4.20936,10.3401,1025.46,9.89986,0.507455,
74,1428.49,2944.64,2409.55,0.485114,127.287,0,597.495,3.56605,90.5806,44.5753,1797.59,157.341,126.204,260.708,0,891.167,2.39883,199.869,32.8117,1091.44,150.831,258.86,1.70614,0,68.1719,0.27298,4.48254,21.2493,1182.85,14.2331,0.507455,
75,1428.49,2986.32,2989.45,0.478343,133.234,0,587.378,3.82949,212.505,38.326,1728.36,158.562,124.13,298.641,0,1039.98,2.44891,429.888,28.6189,1157.69,138.277,288.843,1.5058,0,50.8351,1.4801,11.1267,3.66872,1198.4,11.541,0.507455,
76,1428.49,2941.07,2742.82,0.485703,177.757,0,543.519,3.56043,184.954,40.2145,1685,134.288,171.782,378.602,0,883.355,2.44575,421.729,29.093,1126.77,118.21,372.972,1.19106,0,68.0092,0.673305,6.59152,17.7097,995.968,11.5024,0.414176,
77,1428.49,2099.25,1854.27,0.680474,58.689,0,262.105,2.83197,67.824,33.9905,1477.65,138.675,57.4857,214.393,0,661.979,0.816967,195.008,19.1131,837.818,112.449,209.062,1.34592,0,68.6921,0.997763,5.90386,28.2857,1198.28,96.1965,0.414176,
78,1428.49,2167.62,2119.08,0.659011,86.0489,0,358.101,3.05167,67.0835,32.7329,1388.72,147.303,84.578,267.253,0,854.181,1.36769,159.099,18.2068,709.076,133.309,265.994,1.34592,0,67.4,1.26542,3.94598,13.2928,1020.69,94.9348,0.414176,
79,1428.49,2874.32,3124.54,0.496982,193.381,0,548.206,4.14583,166.802,37.4408,1580.8,154.356,189.191,466.988,0,1027.07,2.89636,406.81,24.9384,1007.44,137.197,457.385,1.3228,0,68.7216,0.78892,9.43122,19.0582,1022.51,38.5724,0.483175,
80,1427.33,2649.57,2652.77,0.538701,158.496,0,529.145,3.13864,127.172,35.3365,1518.26,121.036,156.988,358.987,0,1037.2,1.54323,280.416,19.7985,814.465,108.721,356.842,1.3228,0,68.7216,0.344916,6.35758,10.7342,1198.28,7.55157,0.483175,
81,1427.33,3000.3,3003.56,0.475728,204.755,0,609.937,4.112,200.792,34.4551,1590.76,154.544,200.944,427.264,0,971.631,3.01553,438.312,18.7648,985.092,127.47,410.809,1.3228,0,68.887,1.23326,7.19623,9.50427,1127.4,18.1971,0.483175,
82,1427.33,2948.97,2678.7,0.48401,134.256,0,608.835,3.84555,130.163,41.0224,1745.38,152.928,132.534,310.105,0,1041.73,2.27514,281.681,30.0166,1127.11,133.463,300.75,1.3228,0,68.887,0.972816,10.8695,18.9825,968.021,14.2578,0.483175,
83,1427.33,2975.17,3026.22,0.479748,209.732,0,557.951,4.16703,228.795,34.9578,1594.9,139.653,205.012,491.17,0,1000.46,2.80401,468.294,21.8193,970.791,117.28,462.381,1.3228,0,68.887,1.56959,10.3366,12.6082,1005.08,9.44958,0.483175,
84,1427.33,2542.46,2485.77,0.561397,145.747,0,498.306,3.65864,121.154,34.9178,1479.23,116.499,142.943,335.443,0,997.743,2.47982,326.033,19.1436,729.954,75.5509,319.353,1.37463,0,68.8155,0.840238,9.62025,18.2062,1045.86,45.0327,0.507455,
85,1427.33,2778.13,2471.58,0.513774,127.854,0,482.118,4.08685,114.846,40.3831,1742.27,141.301,125.264,321.549,0,787.545,2.78667,314.32,28.5505,1096.13,102.569,315.166,1.37463,0,68.887,1.28509,5.08389,12.6859,1100.4,34.2118,0.507455,
86,1425.92,2709.83,2617.42,0.526204,177.016,0,472.706,3.58978,165.15,33.94,1562.91,123.308,171.207,402.461,0,852.81,2.40018,356.199,19.519,891.451,88.4259,397.976,1.37463,0,68.887,0.354321,5.07101,6.92774,1021.1,6.46596,0.507455,
87,1425.92,2700.27,2663.08,0.528068,120.277,0,456.136,3.34559,138.879,38.4404,1713.55,112.169,117.472,342.867,0,861.939,1.85238,358.968,24.7714,1100.9,72.9039,330.61,1.46596,0,68.9315,0.462968,3.77388,19.3951,1198.28,11.2783,0.507455,
88,1425.92,2588.02,2252.35,0.550971,120.639,0,460.106,3.98972,82.1237,39.4545,1619.97,142.749,118.985,271.83,0,798.192,2.78224,235.562,25.524,914.335,111.113,269.902,1.65153,0,69.3833,0.86222,6.97166,18.2469,1198.28,11.4629,0.507455,
89,1425.7,2310.95,2120.5,0.616935,77.2331,0,353.483,3.25539,113.537,36.0607,1525.37,126.637,75.3758,217.924,0,729.744,1.44592,273.562,24.8964,917.078,92.6861,214.479,1.65153,0,69.3833,0.837031,8.22352,13.807,1199.1,47.1941,0.507455,
90,1424.88,3045.06,2538.57,0.467932,216.137,0,728.121,3.44396,158.699,36.5659,1543.96,144.237,213.901,399.575,0,1019.43,2.15819,313.949,20.4581,713.262,140.017,397.923,1.70614,0,69.7236,0.472945,5.57587,3.6091,1064.85,14.2331,0.507455,
