Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.half_track_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.half_track_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.half_track_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
10,82.2125,104.183,69.8887,0.789115,0.93097,48.6292,1.98945,1.55162,2.03574,43.5726,4.16516,1.30839,0.638415,21.5915,1.58671,0.788773,1.54108,71.9835,8.0898,0.921555,0.0706798,26.3587,0.087948,0.622248,0.147302,11.6423,0.0187933,0.31967,
11,82.2125,115.34,48.2302,0.712786,1.0997,71.0855,2.26464,2.34673,2.32862,29.2615,5.51845,1.43455,0.940113,53.858,1.43965,1.76619,1.77671,20.3105,9.99029,1.10841,0.0516884,27.7325,0.087948,0.733615,0.147302,7.97567,0.0187933,0.355872,
12,82.2125,112.203,48.2319,0.73271,1.00012,69.1262,2.17718,2.26643,2.22079,30.0406,3.95546,1.41657,0.961033,51.0048,1.66878,1.79405,1.63317,14.1299,7.35909,1.04079,0.0516884,28.0438,0.117781,0.758091,0.147302,8.05166,0.0187933,0.339989,
13,82.2125,106.914,40.3286,0.768956,1,58.9502,2.09005,1.90248,2.1994,34.8457,4.5463,1.38028,1.02528,43.6059,1.60393,1.46841,1.6043,18.2949,8.55367,1.05029,0.0516884,27.4978,0.117781,0.667654,0.147302,8.18063,0.0187933,0.337241,
14,82.2125,149.619,285.514,0.54948,0.924546,51.9085,2.22178,1.67639,1.99331,84.4428,5.15518,1.29641,0.995641,29.7091,1.51697,1.09193,1.47458,293.487,8.8417,0.999177,0.0516884,25.3653,0.117781,0.59672,0.147302,9.38332,0.0187933,0.235302,
15,82.2125,143.932,202.845,0.571191,0.794194,59.1876,2.21477,1.93491,2.0642,70.2591,6.19307,1.28398,0.750786,38.2286,1.54265,1.43332,1.57054,206.64,10.2652,1.0277,0.0516884,25.3069,0.117781,0.597439,0.147302,7.86892,0.0187933,0.337241,
16,82.2125,100.737,43.6357,0.81611,0.738884,53.5676,1.8631,1.72611,1.54115,36.0857,4.20866,1.00584,0.827395,30.4563,1.31951,1.17064,0.998433,49.298,9.08265,0.825119,0.0516884,26.9593,0.117781,0.633128,0.147302,8.27493,0.0187933,0.337241,
17,82.2125,108.864,61.7063,0.755184,0.700994,56.7562,1.79015,1.81568,1.584,42.4206,2.79833,0.998247,0.851753,39.5044,1.24884,1.39681,1.17471,55.3736,7.31769,0.881072,0.0395929,25.3199,0.117781,0.595626,0.147302,8.11598,0.0152259,0.326129,
18,82.2125,147.76,309.176,0.556392,0.669642,50.9708,1.99577,1.605,1.88421,87.6378,1.92583,1.07084,0.665369,33.8519,1.4298,1.18743,1.51874,314.837,5.2738,1.13829,0.0602155,25.9542,0.117781,0.613273,0.147302,8.10386,0.0152259,0.326129,
19,81.7652,133.115,169.81,0.614245,0.595578,56.6666,1.88053,1.82318,1.78881,66.4373,2.93987,0.982984,0.634619,37.4409,1.63471,1.37597,1.42805,172.381,7.80499,1.00151,0.0602155,26.1069,0.0384637,0.620012,0.147302,8.1811,0.0125849,0.326129,
20,81.7652,265.461,1185.49,0.308012,0.785612,53.5736,1.69673,1.73102,1.67703,200.777,4.15352,1.06623,0.74739,29.2554,1.23462,1.07013,1.02569,1184.56,9.04596,1.02819,0.0602155,25.4554,0.0384637,0.614987,0.147302,5.14962,0.0125849,0.326129,
21,81.7652,118.695,77.0652,0.688869,0.736766,69.103,1.85882,2.26512,1.93266,38.1933,3.58516,1.02007,0.934932,46.3916,1.34755,1.74243,1.26789,174.465,8.2735,0.987153,0.0549774,26.3242,0.0384637,0.622108,0.323279,8.61661,0.0125849,0.335041,
22,81.7652,124.969,111.238,0.654283,0.854375,57.6985,1.90047,1.86793,2.08163,56.0731,3.43461,1.05865,1.07997,41.0014,1.40619,1.50334,1.51219,113.208,8.89918,0.960977,0.0602155,25.2982,0.0384637,0.594978,0.344583,7.90759,0.0125849,0.335041,
23,81.7652,106.917,56.7146,0.764753,0.600398,56.1511,1.5292,1.81529,2.04168,40.0534,3.77122,0.954762,0.665086,37.1211,1.37762,1.33287,1.33468,52.2667,9.56421,0.991325,0.00501321,26.2869,0.0384637,0.626139,0.517407,7.70925,0.0125849,0.341242,
24,81.7652,113.326,62.0213,0.721507,0.879251,65.2548,1.6392,2.13266,2.18278,36.2108,3.95218,1.07385,1.01788,44.9062,1.15458,1.56263,1.37934,50.5094,8.96484,1.0676,0.0338404,25.2829,0.0384637,0.595583,0.688961,7.99118,0.0125849,0.34415,
25,81.7652,98.1746,37.3398,0.832855,0.76258,56.7051,1.29487,1.82512,2.16436,31.9915,2.59562,0.835485,1.00213,38.5551,1.18594,1.37653,1.34955,9.94531,7.62512,0.969165,0.0338404,29.8482,0.0384637,0.872772,0.688961,8.1792,0.0125849,0.340614,
26,81.7652,103.115,42.6815,0.792955,0.779788,56.381,1.54696,1.80837,2.27051,37.2813,2.1409,0.905783,0.879478,40.1926,1.33677,1.4264,1.46518,27.6362,5.86926,0.900867,0.0602155,26.6867,0.027307,0.716413,0.358767,7.79807,0.0125849,0.336596,
27,81.7652,120.475,134.757,0.678691,0.606149,55.402,1.68982,1.77756,2.41902,53.4966,4.17925,0.904404,0.610718,34.7316,1.70321,1.25327,1.60676,133.216,9.07403,0.94193,0.0706798,27.0363,0.027307,0.669756,0.380065,8.07261,0.0125849,0.336596,
28,81.7652,99.4761,34.5122,0.821958,0.754371,55.1604,1.50303,1.78123,2.3788,33.1486,3.84208,0.907575,0.849029,32.8572,1.6206,1.19914,1.5161,26.0009,8.94002,0.935236,0.0706798,27.9482,0.027307,0.716906,0.461106,3.86491,0.00394574,0.336596,
29,81.7652,107.821,44.0041,0.75834,0.934903,60.899,1.5639,1.9818,1.98009,35.8614,3.48788,1.11229,1.09815,40.0178,1.68887,1.47375,1.02997,27.2765,8.23561,1.2102,0.0706798,26.2172,0.027307,0.705345,0.453733,8.05731,0.00394574,0.336596,
30,81.7652,122.053,96.2089,0.669918,0.551192,51.0318,1.29244,1.62258,1.87644,61.7164,3.01439,0.947368,0.626749,31.9196,1.73874,1.1532,0.946672,98.6264,8.67122,1.13491,0.0706798,25.2631,0.027307,0.595485,0.275358,8.11486,0.00394574,0.334583,
31,81.7652,107.007,45.5583,0.764114,0.687013,63.4762,1.4927,2.06941,2.05722,32.0261,4.30346,0.894428,0.848472,42.6225,1.75724,1.51097,1.33126,37.4948,9.01869,0.889562,0.0706798,27.5635,0.027307,0.669594,0.338426,4.48279,0.00394574,0.334583,
32,81.7652,109.559,44.9652,0.74631,0.668929,67.041,1.3716,2.20058,1.77882,30.1071,5.47045,0.920742,0.750731,43.8107,1.57731,1.56851,0.932027,16.3793,10.0474,0.97402,0.0706798,28.3747,0.027307,0.747711,0.344083,1.89775,0.00394574,0.314913,
33,81.7652,104.796,58.3431,0.780231,0.661248,58.08,1.08569,1.86356,1.69674,38.1176,2.52521,0.76615,0.818868,39.3286,1.24671,1.42102,0.774465,49.2276,7.29259,0.894998,0.166233,25.4087,0.0346409,0.723387,0.533314,8.14698,0.00394574,0.314913,
34,81.4237,104.276,43.081,0.780844,0.648211,56.2353,1.34039,1.82669,1.61428,37.3999,4.31261,0.899075,0.716066,35.7349,1.74439,1.29589,0.794797,31.573,10.3126,1.02351,0.166233,26.4094,0.0346409,0.630884,0.384409,7.67311,0.00337405,0.314913,
35,81.3349,246.411,1081.17,0.330078,0.6241,50.413,0.932724,1.62257,1.98938,186.293,3.70325,0.833156,0.657394,20.9386,1.50413,0.827529,1.40682,1094.81,9.5933,1.07037,0.193914,25.2689,0.0257573,0.608241,0.533314,8.0428,0.00337405,0.311058,
36,81.3349,116.036,79.5128,0.700947,0.565159,57.0092,1.16146,1.81828,1.89202,49.9744,2.74121,0.874038,0.718303,37.7708,1.63211,1.35547,1.49438,155.238,6.94378,0.937862,0.0567775,25.3301,0.0154798,0.599811,0.47244,8.15194,0.00337405,0.311058,
37,81.3349,108.983,61.0927,0.74631,0.687548,56.1192,1.17736,1.80643,2.04077,43.431,2.74105,0.979522,0.754264,38.5021,1.55963,1.38642,1.60875,55.9737,7.17607,1.057,0.16993,26.7011,0.0154798,0.626426,0.533314,3.81923,0.00337405,0.311058,
38,81.3349,175.376,347.043,0.463774,0.636816,50.173,1.11997,1.59045,1.68199,117.137,2.14812,0.88885,0.632958,31.6758,1.75628,1.13925,1.37639,350.323,7.96573,1.13475,0.193914,25.217,0.0154798,0.616431,0.229155,10.9345,0.00394574,0.299459,
39,81.1929,236.45,760.872,0.343383,0.617214,60.6083,1.07848,1.96534,1.89098,165.514,3.93719,0.838786,0.681381,41.3063,1.56742,1.42164,1.94309,767.88,9.24411,1.02919,0.0411204,25.2586,0.0154798,0.612186,0.0297285,4.04446,0.00436046,0.269853,
40,81.1929,119.466,66.1849,0.679629,0.769118,66.6837,1.50614,2.17987,1.60749,41.6343,3.9721,1.11374,0.898476,49.2435,1.95814,1.71849,1.58169,134.714,8.92846,1.1997,0.20028,25.2931,0.0154798,0.640461,0.0297285,7.88219,0.00933988,0.293372,
41,81.1929,130.387,179.381,0.622707,0.776175,62.4127,1.16705,2.01578,1.34836,59.0361,2.77886,0.852063,0.964494,43.8196,1.75889,1.52564,1.28765,181.4,7.17903,0.98654,0.145843,25.1613,0.0154798,0.60374,0.0262864,0.687913,0.00933988,0.291404,
42,81.1929,98.3353,35.3387,0.825674,0.564976,57.1693,1.09563,1.86851,1.35854,30.9081,4.56406,0.806097,0.569645,33.8541,1.74898,1.24272,1.65728,29.8859,10.2128,0.95258,0.243611,31.6931,0.0154798,0.93688,0.0262864,6.3678,0.00933988,0.291404,
43,81.1929,120.241,171.155,0.675254,0.705887,52.7409,0.993958,1.68555,1.43535,59.1909,2.70708,0.780937,0.780423,31.3,1.59419,1.12543,1.9082,170.492,8.10592,1.04499,0.302585,25.4068,0.0154798,0.620028,0.0209494,7.62355,0.0139689,0.291404,
44,81.1929,99.8901,39.5222,0.812823,0.776194,52.4281,1.1599,1.6937,1.40511,37.7878,3.77113,0.868056,0.851907,26.7417,1.78558,0.999291,1.79773,38.9878,8.88046,1.03204,0.292589,26.1176,0.0154798,0.614011,0.0209494,8.30132,0.0139689,0.291404,
45,81.1929,117.964,94.3699,0.688284,0.647407,65.1352,1.16815,2.11543,1.16427,43.3733,3.43233,0.928281,0.818153,45.2088,1.70437,1.6459,1.59938,89.0501,7.63073,1.01465,0.120072,26.4124,0.0154798,0.623863,0.0209494,8.18664,0.0075092,0.291404,
46,81.0937,106.265,44.7375,0.763126,0.711355,64.1965,1.02144,2.10422,1.26364,32.4301,3.65355,0.884333,0.817687,45.0688,1.48189,1.60878,1.53807,20.1365,9.01701,1.02935,0.121249,28.5642,0.0154798,0.752477,0.0209494,8.0688,0.0075092,0.291404,
47,81.0937,107.115,55.9879,0.75707,0.643961,63.1265,0.980427,2.0423,1.12133,34.9017,3.41302,0.885893,0.773705,42.8219,1.72055,1.52126,1.7065,41.0633,7.91357,1.09311,0.255359,26.4791,0.00906114,0.621535,0.0209494,7.89049,0.0075092,0.291382,
48,81.0937,109.571,50.7744,0.740105,0.794334,55.0158,1.44138,1.81637,1.38338,41.676,6.35999,1.08328,0.971498,30.0116,1.7843,1.1512,1.79969,47.2661,11.9364,1.256,0.201107,25.4337,0.00906114,0.597612,0.0209494,8.54321,0.0075092,0.291404,
49,81.0937,120.236,102.478,0.674455,0.600513,58.2898,1.35752,1.90751,1.21012,49.9512,5.83984,1.07944,0.550178,37.1767,1.95606,1.36376,1.86144,101.675,12.0065,1.22003,0.127178,25.5065,0.00906114,0.551852,0.0209494,7.98416,0.0075092,0.290664,
50,81.0937,99.9172,41.1906,0.811609,0.611405,59.4251,0.898441,1.89987,0.94996,33.905,1.45552,0.771989,0.652263,42.6906,1.49399,1.49727,1.51628,21.2324,6.90308,0.968434,0.255359,27.6181,0.00906114,0.718964,0.0209494,8.19623,0.0075092,0.291404,
51,81.0937,107.789,44.564,0.752336,0.466634,68.5322,1.25504,2.2618,0.679748,27.3291,6.39115,0.873555,0.407823,39.8985,1.92387,1.42137,1.19155,12.7045,10.0063,1.06779,0.114625,44.0048,0.00906114,1.35733,0.0209494,3.77452,0.0075092,0.288684,
52,81.0937,104.709,48.3902,0.774466,0.737858,62.9437,0.933831,2.04742,0.770974,32.8616,3.66661,0.747188,0.949313,41.9943,1.68807,1.53996,1.28327,29.0719,8.21502,0.986775,0.227393,26.3704,0.00472362,0.568362,0.0209494,3.42998,0.00652136,0.291327,
53,81.0618,213.914,733.655,0.378945,0.643421,51.6194,1.17508,1.66828,1.0092,152.02,4.84577,0.932872,0.686487,26.4425,1.88905,0.919149,1.85828,746.08,10.839,1.14221,0.172478,26.8574,0.00472362,0.638188,0.0206857,1.41655,0.00652136,0.291635,
54,81.0618,128.085,209.654,0.632873,0.682065,51.3472,0.652472,1.62414,0.369959,71.0577,1.58559,0.766204,0.717559,27.3542,1.43706,0.987792,0.978645,226.433,5.81814,1.11691,0.305443,25.4667,0.00472362,0.611046,0.0206857,9.73484,0.00652136,0.289314,
55,81.0618,101.605,42.2293,0.797809,0.557962,60.0695,0.912344,1.94822,0.783015,32.9526,3.64002,0.741835,0.729876,38.8188,1.58162,1.44841,1.70181,42.2508,9.01338,0.958397,0.178856,25.721,0.00472362,0.613555,0.0206857,7.82525,0.00652136,0.289732,
56,81.0618,105.623,44.0402,0.767466,0.758623,61.9016,1.1442,2.01222,1.28986,33.3785,4.10988,1.0278,0.902049,39.8516,1.5627,1.43767,2.22511,22.3121,7.95012,1.35623,0.11499,26.2573,0.00472362,0.698659,0.0187878,8.58404,0.00652136,0.160545,
57,81.0618,103.234,40.4807,0.785223,0.717152,62.0321,1.05659,2.04481,1.23351,30.178,5.03331,0.938603,0.795483,39.3205,1.67635,1.41388,2.20965,14.0372,10.3747,1.06822,0.0393846,29.6681,0.00472362,0.817507,0.0206857,1.49584,0.00632793,0.291635,
58,81.0235,162.895,475.765,0.497397,0.754817,54.563,0.833475,1.77229,0.892438,99.6539,3.69674,0.728337,0.827628,31.4535,1.6056,1.13981,2.01223,483.649,9.48978,0.895662,0.279104,25.2969,0.00472362,0.612438,0.0206857,8.58718,0.00632793,0.291635,
59,81.0235,114.981,75.5966,0.704667,0.835528,58.2418,1.34026,1.88724,0.7837,47.9292,2.85863,1.10483,1.0577,39.4662,2.10364,1.39898,1.4125,89.1916,8.08142,1.19242,0.279104,25.3,0.00472362,0.595671,0.0206857,5.98053,0.00632793,0.290718,
60,81.0235,139.457,269.59,0.580993,0.497571,60.5942,0.974284,1.95327,0.818808,70.5455,3.2979,0.775349,0.63493,41.1662,1.87772,1.43861,1.73649,271.235,8.36692,1.04238,0.0381431,26.2689,0.00472362,0.65548,0.0206857,6.04881,0.00632793,0.290025,
61,81.0235,105.455,50.3038,0.768322,0.694085,60.5166,0.973774,1.95707,0.672675,36.6825,3.08316,0.875293,0.780726,41.3952,1.70415,1.46504,1.34137,48.9628,8.55281,1.05169,0.280867,25.4846,0.00540291,0.597733,0.0206857,8.48253,0.00677239,0.290025,
62,81.0235,146.338,206.256,0.553673,0.569202,57.2127,1.05909,1.85357,0.927986,80.7543,3.05821,0.902973,0.653667,39.1701,1.7583,1.41527,1.93056,213.586,8.95879,1.11348,0.260488,25.4203,0.00540291,0.597501,0.0206857,9.62857,0.00707873,0.288638,
63,81.0235,105.089,73.2317,0.770996,0.699711,55.6068,0.817502,1.77878,0.70311,43.0348,1.59897,0.849734,0.896501,37.6811,1.5936,1.33095,1.58078,77.5775,5.91258,1.10465,0.317622,25.3081,0.00540291,0.59956,0.0206857,9.56796,0.00707873,0.290025,
64,81.0235,102.7,47.0676,0.788931,0.582259,57.2087,0.871107,1.84835,0.643401,37.128,3.64977,0.768682,0.715867,35.0127,1.65331,1.24961,1.53961,35.6838,9.41297,1.03312,0.18602,25.8874,0.0076614,0.675516,0.0204346,8.15076,0.00707873,0.291613,
65,81.0235,112.331,50.7059,0.721292,0.635498,71.9036,1.2767,2.38713,1.15788,28.6244,5.22939,1.11649,0.545235,52.3924,1.82553,1.72427,1.935,15.4492,10.6675,1.11224,0.136177,31.3259,0.0076614,0.914151,0.0204346,8.20109,0.00707873,0.292117,
66,81.0235,107.326,48.8014,0.754928,0.706877,62.1979,1.29717,2.02055,0.927454,35.0905,4.21874,0.866878,0.78696,43.5745,1.91691,1.51854,1.59174,33.5743,9.20659,1.02587,0.106698,25.4362,0.0076614,0.59793,0.0204346,6.40417,0.00707873,0.211835,
67,81.0235,144.26,223.191,0.561649,0.655084,58.2875,1.15298,1.88702,0.753763,77.0159,3.59309,0.914617,0.778525,36.2012,1.93506,1.31962,1.54334,230.121,8.67551,1.19662,0.0514489,25.2891,0.00527964,0.606643,0.0204346,8.15942,0.00707873,0.292117,
68,81.0204,98.3726,32.7006,0.823608,0.813296,55.5381,1.03595,1.82707,0.810503,32.2668,5.14553,0.935236,0.996739,27.4715,1.78677,1.06469,1.62889,46.5466,10.6605,1.18043,0.231156,28.4107,0.00527964,0.757184,0.0204346,8.88342,0.00707873,0.292921,
69,81.0075,135.422,265.213,0.598187,0.528467,53.0277,0.748192,1.69917,0.627983,75.3114,2.81998,0.658897,0.506453,29.8084,1.66131,1.10869,1.52956,264.585,8.59596,0.94797,0.334596,26.7538,0.00316319,0.627596,0.0206857,7.07348,0.0070773,0.292921,
70,80.9911,133.686,147.637,0.60583,0.790262,62.0948,1.07411,2.01345,0.649729,63.3261,2.69259,1.04525,1.06492,41.1766,1.87753,1.44819,1.29996,149.734,7.00851,1.39252,0.158502,25.4041,0.00316319,0.597793,0.020258,8.04113,0.0070773,0.292921,
71,80.9911,93.2051,33.4928,0.868956,0.705547,52.8083,0.59126,1.66724,0.600997,35.0535,1.09643,0.681736,0.978939,31.9455,1.44539,1.11403,1.48244,31.582,4.23281,1.00138,0.307479,27.536,0.00316319,0.637563,0.020258,8.58128,0.00702468,0.293146,
72,80.9911,104.929,54.3642,0.77187,0.643784,56.392,1.12949,1.83769,1.31814,38.0813,4.67154,0.854588,0.69238,32.7698,1.75998,1.18797,2.37189,48.0854,10.1653,0.973108,0.299487,25.3608,0.00331818,0.595829,0.020258,5.55451,0.00702468,0.293423,
73,80.9911,111.162,70.6225,0.728587,0.455339,59.3903,0.889684,1.89665,0.646666,44.2967,2.86591,0.720598,0.461602,39.2331,1.74443,1.4002,1.53303,66.6196,6.42275,0.930494,0.0249277,25.3514,0.00331818,0.595711,0.020258,7.83736,0.00702468,0.293423,
74,80.9911,174.712,331.254,0.46357,0.702466,54.9287,0.922081,1.76041,0.925568,111.707,2.86496,0.90066,0.916223,33.6645,1.70091,1.19736,1.83719,341.721,8.18901,1.14025,0.236778,25.1891,0.00331818,0.604081,0.020258,5.64738,0.00658262,0.293423,
75,80.9855,192.054,594.267,0.42168,0.61059,61.3161,1.08326,1.97347,0.796838,122.263,3.17255,0.838256,0.750265,40.8103,1.88362,1.42001,1.73634,597.424,7.58594,0.967522,0.0444117,25.3575,0.00331818,0.596373,0.0201692,4.80837,0.00658262,0.296826,
76,80.9855,115.694,118.263,0.699994,0.677321,56.0658,0.67478,1.80361,0.863412,52.3559,2.42817,0.825516,0.871505,34.8044,1.50628,1.2451,1.78955,136.018,7.41207,1.0858,0.034455,26.9335,0.00331818,0.637949,0.020258,9.84263,0.00658262,0.296826,
77,80.9855,105.756,48.5448,0.765777,0.557223,63.1647,0.970135,2.06111,0.622736,33.2465,4.37826,0.755266,0.638316,42.0267,1.77406,1.51295,1.39021,37.45,9.2015,0.88653,0.111781,25.4018,0.00331818,0.59704,0.0199881,2.73377,0.00658262,0.296826,
78,80.9855,101.696,44.8301,0.796347,0.706773,52.7705,1.15486,1.67512,0.727482,41.2822,2.49791,0.881309,0.802078,31.6316,1.97862,1.17456,1.77248,38.517,7.14517,1.09806,0.325012,25.4951,0.00331818,0.60982,0.0200636,4.28816,0.00701991,0.299699,
79,80.9855,111.903,58.1605,0.723711,0.725052,63.3093,1.2698,2.0602,1.10125,38.1214,4.37059,0.945443,0.827429,43.2251,1.99302,1.57824,2.01643,45.6797,10.1467,1.13547,0.123138,25.2781,0.00331818,0.595421,0.0200636,7.96479,0.00701991,0.299699,
80,80.9855,107.569,80.6675,0.752872,0.623362,57.4007,0.960811,1.84105,0.575132,42.7385,2.64381,0.785332,0.70708,38.8192,1.88552,1.37534,1.27764,75.9261,8.24864,1.01526,0.119945,25.2839,0.00331818,0.599118,0.0200636,5.7379,0.00701991,0.294987,
81,80.9855,115.064,81.1834,0.703832,0.703894,62.8669,1.20503,2.03343,1.1115,43.2469,3.0101,0.885819,0.773139,44.7456,1.81094,1.60066,1.97894,74.5096,7.42744,0.962554,0.173959,25.4777,0.00331818,0.630088,0.0200636,4.97921,0.00701991,0.29599,
82,80.9788,207,750.183,0.391201,0.714298,60.2788,0.940961,1.94477,1.11947,139.013,2.17461,0.814778,0.886866,42.0001,1.78854,1.47063,2.23058,759.028,7.13538,0.979443,0.0934985,26.6395,0.00331818,0.64022,0.0200636,9.83367,0.00701991,0.299699,
83,80.9788,113.943,67.409,0.710696,0.561929,67.3976,1.09879,2.21156,1.17234,35.8017,4.84694,0.852134,0.751827,43.6472,1.74826,1.60983,1.98851,97.4917,10.1713,0.918027,0.0509834,26.608,0.00331818,0.625548,0.0200636,7.813,0.00701991,0.299699,
84,80.9788,182.695,339.891,0.443246,0.520786,59.3589,0.939441,1.93312,1.15638,113.342,4.60658,0.838015,0.496172,38.4713,1.68077,1.38353,2.30776,353.661,10.7715,0.966683,0.104217,25.1525,0.00331818,0.605931,0.0200636,7.1626,0.00701991,0.299699,
85,80.9788,185.168,629.038,0.437327,0.587801,56.0317,0.679646,1.79411,0.690867,121.067,3.58108,0.735829,0.699333,31.4399,1.44,1.13069,1.52627,632.299,8.34003,1.01944,0.29259,26.4497,0.00187199,0.638182,0.0196216,6.50018,0.00701991,0.160212,
86,80.9748,131.129,217.472,0.617522,0.663567,60.3024,0.804007,1.94447,0.738425,62.8024,3.08583,0.787521,0.738516,39.6093,1.45608,1.40948,1.50289,224.829,8.13697,0.938489,0.127435,26.7008,0.00343883,0.637775,0.0200304,8.19095,0.00701991,0.303774,
87,80.9748,119.513,89.3207,0.677543,0.609258,54.5161,0.863864,1.73609,0.83295,57.7322,2.40685,0.815226,0.700758,34.8401,1.55898,1.25048,1.60657,89.9076,6.59071,1.00029,0.0685424,25.409,0.00343883,0.596655,0.0200636,6.65622,0.00701991,0.303992,
88,80.9739,153.958,256.717,0.525948,0.481729,50.2382,0.697531,1.58757,0.653072,97.4651,2.1401,0.694775,0.369967,27.2505,1.5506,0.988084,1.43667,263.239,7.27095,0.922908,0.335617,25.2453,0.00343883,0.618375,0.0200636,8.19035,0.00723157,0.304509,
89,80.9739,102.421,40.5669,0.790598,0.715082,61.726,1.05763,2.03536,0.839567,30.0183,5.10847,0.920757,0.809978,37.4078,1.79989,1.42756,1.59316,67.8319,10.6667,1.1102,0.290282,27.3933,0.00343883,0.723549,0.0200636,8.10847,0.00723157,0.304509,
