Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
166,39.5517,121.717,403.591,0.324948,24.6524,0.161335,3.31186,0.0968094,0.614278,0.413169,4.37039,25.842,0.177899,58.5536,1.89553,0.248971,1.3787,77.8092,0.739545,19.1638,0.338883,2.69665,0.05722,24.9956,2.95267,0.119756,290.389,9.4452,0.179026,0.647593,10.359,0.00607026,0.0224753,0.0254106,0.0896325,0.182642,0.00414318,8.61603,0.0798534,0.0350879,0.000492443,0.211106,1.2702,
167,39.5517,132.262,454.334,0.299041,25.7743,0.0926317,1.6249,0.100681,0.382192,0.423755,2.07504,25.7929,0.220537,71.7676,2.37987,0.269066,1.35828,78.6085,0.40895,7.82681,0.366665,1.93378,0.0983538,10.6905,3.39082,0.302109,349.141,11.6495,0.250225,0.491547,10.1846,0.00607026,0.0233139,0.0254106,0.0897244,0.264642,0.00414318,5.42252,0.129168,0.0350879,0.000492443,0.211548,1.27125,
168,39.5517,58.4142,130.592,0.67709,12.6717,0.0775373,0.844729,0.0728682,0.106303,0.406535,2.88162,25.9254,0.1596,13.2133,0.435197,0.236323,1.38309,18.1799,0.381009,5.50163,0.263854,0.276058,0.048383,19.8165,3.52946,0.0614554,106.159,3.54357,0.133103,0.747087,10.1506,0.00607026,0.0275691,0.0245437,0.0897431,0.0899764,0.00540852,1.27407,0.130458,0.0350879,0.000492443,0.211127,1.27201,
169,39.5517,99.8205,295.541,0.396228,26.7415,0.160597,2.69035,0.179849,0.243563,0.427923,3.63523,25.7026,0.256251,36.8904,1.22778,0.293551,1.37086,78.0893,0.661239,12.9002,0.702019,0.787763,0.0766261,18.8975,3.47952,0.635472,180.36,6.11745,0.464451,0.651319,10.284,0.00607026,0.0239864,0.0247027,0.0897431,0.411247,0.00796444,7.63519,0.139226,0.0350879,0.000492443,0.210658,1.2719,
170,39.5352,109.028,337.351,0.362615,20.6738,0.248936,1.7859,0.13846,0.453109,0.399387,3.14572,25.7807,0.31041,52.6419,1.72776,0.334487,1.3875,49.0456,0.965339,6.91446,0.42262,1.43982,0.0629341,13.1204,3.00693,1.01341,260.187,8.66356,0.466629,0.64116,10.1348,0.00607026,0.0275691,0.0247027,0.0897431,0.117209,0.00776864,10.2364,0.139226,0.0323147,0.000375408,0.210658,1.26118,
171,39.5352,154.912,532.426,0.255211,29.313,0.248104,4.94938,0.311693,0.744775,0.419835,7.58584,26.7294,0.29719,79.9099,2.66508,0.271071,1.46647,87.5789,0.997095,21.0618,1.49147,3.09549,0.0864743,29.9367,4.31817,0.655709,383.419,12.7971,0.23897,0.889992,10.1348,0.00604124,0.023268,0.0247027,0.0897632,0.295088,0.00761265,10.1333,0.124138,0.0323147,0.000375408,0.210658,1.2655,
172,39.5352,97.5611,308.553,0.405235,30.1251,0.158251,1.40819,0.160452,0.301465,0.422476,2.54055,25.8243,0.180312,33.7311,1.10878,0.305754,1.29439,95.2232,0.700485,7.97959,0.647867,1.04818,0.050431,13.7981,2.85849,0.190839,218.396,7.23751,0.431465,0.254077,10.1348,0.00604124,0.0220857,0.0247027,0.0897632,0.410528,0.00698043,12.1804,0.0417686,0.0323147,0.000375408,0.210658,0.929452,
173,39.5352,73.0634,232.883,0.541109,15.9081,0.0637107,0.574046,0.0847502,0.114286,0.409217,1.22002,26.0298,0.269875,25.9954,0.862306,0.254461,1.27737,35.841,0.294274,3.68427,0.363386,0.191004,0.0274088,8.4802,2.37599,0.777974,180.219,5.98505,0.257806,0.0199414,10.1348,0.00604124,0.0228084,0.0247027,0.0894845,0.241222,0.00870804,9.51661,0.124649,0.0323147,0.000375408,0.210658,1.26852,
174,39.5352,137,367.533,0.288579,41.6425,0.397095,4.74867,0.163757,0.928951,0.416095,4.79361,26.8244,0.353548,53.2607,1.75243,0.361128,1.35665,119.792,1.29301,20.241,0.476942,3.75263,0.0627966,19.419,8.0398,0.911047,233.493,7.81248,0.507476,0.822009,10.1348,0.00599978,0.0258302,0.0254106,0.0897632,0.203124,0.00870804,12.5097,0.117983,0.0323147,0.000375408,0.210658,0.484107,
175,39.5352,130.469,331.935,0.303023,32.6548,0.371883,5.52061,0.143967,0.401228,0.40513,5.92833,25.3615,0.531107,55.4544,1.84115,0.329209,1.52595,91.3986,1.20532,20.7805,0.431826,1.32983,0.0926839,21.958,3.82434,1.45214,228.617,7.6094,0.402137,1.19796,10.1348,0.00604492,0.0231682,0.0254106,0.0897632,0.0690209,0.00870804,9.80177,0.124649,0.0323147,0.000375408,0.210658,0.698124,
