Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.p_rod_length_l,
31,7.72062,0.0515426,7.40892,0.00528471,874.568,0.786774,0.0771299,46.8959,0,
32,7.72069,0.0455564,7.41383,0.0054703,874.569,0.800337,0.0777966,46.8819,0,
33,7.72059,0.0474959,7.41758,0.00655997,874.568,0.789922,0.0772972,46.8868,0,
34,7.72206,0.0733341,7.40312,0.00700891,874.566,0.786253,0.0746627,46.8827,0,
35,7.7209,0.0436747,7.42521,0.00634907,874.569,0.787898,0.0784388,46.8835,0,
36,7.72064,0.045195,7.41272,0.00597296,874.57,0.775886,0.0782083,46.907,0,
37,7.7206,0.0353332,7.42584,0.00512606,874.568,0.785763,0.081943,46.8931,0,
38,7.7203,0.0475559,7.41212,0.00603226,874.569,0.786777,0.0778477,46.8957,0,
39,7.72047,0.0500756,7.41177,0.00507656,874.569,0.78472,0.0766606,46.8981,0,
40,7.72085,0.0328625,7.42688,0.00542403,874.569,0.79537,0.0831669,46.8821,0,
41,7.72046,0.047095,7.41012,0.00639844,874.569,0.796736,0.0785948,46.8881,0,
42,7.72041,0.0474028,7.41369,0.00604261,874.57,0.794964,0.0772752,46.8872,0,
43,7.72065,0.0374721,7.42581,0.00715355,874.569,0.800044,0.0809603,46.8765,0,
44,7.72093,0.036314,7.42197,0.00459725,874.568,0.793998,0.0814384,46.8907,0,
45,7.72097,0.0454413,7.41486,0.00798941,874.568,0.797961,0.0779172,46.8854,0,
46,7.72114,0.06845,7.39998,0.00613711,874.568,0.789251,0.0738234,46.8918,0,
47,7.71991,0.0491189,7.41094,0.00450176,874.57,0.804501,0.0774859,46.8832,0,
48,7.72064,0.0447536,7.41684,0.00478545,874.568,0.800286,0.0781668,46.8864,0,
49,7.72133,0.0572031,7.41385,0.00491154,874.568,0.790285,0.0751294,46.8889,0,
50,7.72204,0.0571571,7.41912,0.00539241,874.567,0.787641,0.0749926,46.8871,0,
51,7.72188,0.0823776,7.39481,0.00577828,874.566,0.790845,0.0752435,46.8835,0,
52,7.72059,0.0529666,7.40766,0.00634308,874.568,0.778908,0.0767034,46.9089,0,
53,7.72151,0.0583181,7.41808,0.00566553,874.568,0.776147,0.0747255,46.8986,0,
54,7.72061,0.0442904,7.41608,0.00549894,874.569,0.798118,0.0782206,46.8891,0,
55,7.72051,0.0450005,7.41601,0.00570553,874.569,0.784305,0.0781276,46.9032,0,
56,7.72081,0.0618506,7.39602,0.0160959,874.568,0.78809,0.0742081,46.8965,0,
57,7.72187,0.0604995,7.41848,0.00482842,874.568,0.777761,0.0751453,46.896,0,
58,7.72112,0.047636,7.42182,0.0066232,874.568,0.78993,0.0773482,46.8895,0,
59,7.72078,0.0358815,7.42126,0.00610631,874.567,0.792348,0.0816395,46.8982,0,
60,7.72059,0.0400721,7.42077,0.00728611,874.569,0.797166,0.0798623,46.8882,0,
61,7.72109,0.0498912,7.41884,0.00596432,874.568,0.77684,0.0772767,46.9055,0,
62,7.72247,0.0760373,7.41048,0.0058828,874.567,0.788439,0.0740421,46.8787,0,
63,7.72023,0.0505509,7.41243,0.00450203,874.569,0.805059,0.0765345,46.8852,0,
64,7.72034,0.0456384,7.40864,0.0066382,874.568,0.789663,0.0777355,46.9076,0,
65,7.72224,0.0611641,7.42109,0.00651689,874.567,0.780547,0.0743067,46.8918,0,
66,7.7206,0.0491155,7.41081,0.00758857,874.569,0.802222,0.0766956,46.8879,0,
67,7.72164,0.0592048,7.41131,0.00713236,874.568,0.790349,0.0758303,46.8913,0,
68,7.7203,0.0524657,7.40653,0.00707165,874.569,0.786136,0.0782149,46.9057,0,
69,7.72077,0.0428794,7.4198,0.00537646,874.568,0.800682,0.0788983,46.8891,0,
70,7.72108,0.0596959,7.40969,0.00450331,874.569,0.813295,0.0744593,46.8745,0,
71,7.72165,0.0505019,7.42807,0.00667873,874.567,0.794451,0.0771632,46.8799,0,
72,7.72162,0.0617231,7.41654,0.00759644,874.568,0.779826,0.07424,46.8969,0,
73,7.72001,0.0704556,7.38996,0.00577762,874.569,0.787069,0.075341,46.9095,0,
74,7.72145,0.0537375,7.41845,0.00778193,874.568,0.786068,0.0763809,46.8956,0,
75,7.72157,0.0503803,7.42331,0.00556391,874.568,0.786458,0.0767522,46.8956,0,
76,7.72161,0.0721997,7.40702,0.00589608,874.568,0.787325,0.0738754,46.8921,0,
77,7.72211,0.0870109,7.39579,0.0053546,874.567,0.798487,0.0765831,46.8762,0,
78,7.72246,0.064679,7.41836,0.00454924,874.566,0.790155,0.0739353,46.8883,0,
79,7.72168,0.070348,7.40845,0.00493596,874.567,0.797257,0.0737754,46.885,0,
80,80.9584,1055.87,289.86,8.105,3198.05,761.794,1055.71,453.616,0,
81,80.2406,793.823,9.43538,7.43147,3170.28,414886,793.589,1595.59,0,
82,123.893,1.13459,3.87276,4.01594,5083.37,1062,1.39047,1719.48,0,
83,7.12654,852.533,288.778,0.934308,889.052,448.924,852.804,454.193,0,
84,15.094,228.364,147.983,0.722992,917.195,31.5643,228.511,662.859,0,
85,7.72049,0.0367035,7.42352,0.00633813,874.568,0.800665,0.0812574,46.8804,0,
86,124.548,637.363,652.319,1.48053,5144.12,241.718,637.387,1801.31,0,
87,25.2627,1106.19,322.142,13.3445,1093.61,966.923,1112.05,454.444,0,
88,76.7477,1292.98,1142.32,11.3128,3815.64,155.353,1349.01,946.21,0,
89,124.847,987.105,1037.82,5.76646,5390.56,16067.6,1001.21,1601.92,0,
90,7.72053,0.0591718,7.40075,0.00568537,874.57,0.796293,0.0745139,46.8768,0,
91,7.72055,0.0619334,7.40144,0.00545979,874.569,0.805408,0.0741723,46.8734,0,
92,7.72037,0.0621732,7.39823,0.00745466,874.569,0.787147,0.076112,46.8834,0,
93,7.72051,0.0649663,7.39544,0.00674882,874.57,0.789546,0.0739454,46.8881,0,
94,7.72075,0.0535301,7.40586,0.00514882,874.569,0.783566,0.0755678,46.8896,0,
95,7.72046,0.0589441,7.40221,0.00660676,874.569,0.781789,0.0745553,46.8815,0,
96,7.72055,0.0538909,7.40815,0.00570305,874.569,0.792059,0.0756272,46.8877,0,
97,7.72035,0.0392109,7.42321,0.00556484,874.571,0.786802,0.0802356,46.8827,0,
98,7.72071,0.0599103,7.39991,0.00596371,874.57,0.788725,0.0744213,46.8849,0,
99,7.72045,0.0504622,7.41028,0.00622614,874.569,0.791281,0.0774913,46.8774,0,
