Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
10,1143.64,3296.04,786.161,0.346973,53.634,0,234.77,262.81,20.8891,1726.33,263.243,468.028,266.333,23.6745,0,175.244,183.036,7.8693,600.998,183.258,324.489,198.232,1.7418,0,14.1301,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
11,1143.64,3230.67,826.339,0.353994,51.373,0,231.958,258.348,21.7911,1672.05,258.95,464.438,271.765,22.86,0,168.423,199.852,7.7638,567.095,201.286,324.364,224.243,1.7418,0,14.1301,3.11717,5.54406,658.854,4.2675,13.4617,2.01636,
12,1143.64,3173.19,853.95,0.360406,48.338,0,226.854,257.741,21.9617,1598.7,258.433,485.066,276.096,22.3891,0,170.773,226.34,7.64324,543.938,226.864,345.045,234.672,1.7418,0,14.1301,3.11717,5.54406,650.223,4.2675,25.1046,2.01636,
13,1143.64,3057.46,1004.02,0.374048,47.6757,0,216.591,234.624,22.7155,1577.68,235.247,469.836,253.098,22.4389,0,169.097,193.974,7.49084,609.77,196.455,328.649,251.486,1.7418,0,6.60452,3.11717,5.54406,650.223,4.2675,25.1046,2.01636,
14,1143.64,2886.89,839.097,0.396148,45.3233,0,229.431,213.385,22.8898,1487.3,213.942,446.625,227.991,20.7496,0,460.868,169.276,7.40795,511.338,169.566,329.501,185.344,1.7418,0,6.60452,10.0268,5.54406,650.223,10.609,25.1046,2.01636,
15,1143.64,2856.54,1020.18,0.400358,44.292,0,214.416,217.384,23.4715,1466.02,218.08,447.367,225.506,22.1317,0,423.128,197.77,7.21804,546.026,198.143,341.544,205.94,1.7418,0,6.60452,6.33226,5.54406,650.223,6.78429,25.1046,2.01636,
16,1143.64,2718.05,1026.61,0.420756,40.2216,0,174.892,211.251,23.8416,1390.73,212.067,436.386,228.67,20.7201,0,133.734,215.132,7.04961,554.25,217.603,320.09,258.226,1.42421,0,6.60452,9.11101,5.54406,650.223,10.609,25.1046,2.01636,
17,1143.64,2706.59,1032.06,0.422539,40.8991,0,200.594,206.043,23.9351,1377.03,206.623,439.373,212.092,21.7817,0,351.403,182.521,6.99787,523.76,183.256,354.918,175.554,1.42421,0,6.17673,1.00506,5.54406,650.223,1.55838,25.1046,0.953052,
18,1143.64,2472.83,624.121,0.462481,36.8259,0,170.812,178.629,24.4575,1270.77,179.188,409.244,202.906,20.3333,0,128.428,137.289,6.7525,469.294,137.341,329.324,157.038,1.42421,0,2.00372,3.8607,5.54406,650.085,3.9664,25.1046,2.01636,
19,1143.64,2421.82,631.177,0.472222,35.4681,0,178.719,181.737,24.0932,1235.48,182.239,385.692,198.392,19.4825,0,162.098,151.462,6.95768,443.449,150.821,310.429,159.242,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.1046,2.01636,
20,1143.64,2340.76,698.871,0.488574,33.5928,0,158.792,173.668,24.7058,1198.22,174.321,383.634,193.825,17.7396,0,125.748,161.449,6.64011,406.231,161.943,313.063,177.625,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.1046,2.01636,
21,1143.64,2392.96,1305.07,0.477918,31.7146,0,203.995,181.6,24.8163,1159.69,182.303,407.966,200.87,17.8508,0,681.874,200.809,6.72266,395.83,201.155,342.897,186.855,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.1046,3.27442,
22,1143.64,2303.75,1494.3,0.496424,31.1909,0,223.205,162.874,25.3208,1136.49,163.618,376.838,184.216,19.6637,0,992.171,164.776,6.50712,470.689,165.819,305.109,170.807,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.1046,3.27442,
23,1143.64,2125.67,537.106,0.538014,29.8659,0,150.515,151.964,25.3997,1094.3,152.518,353.048,168.055,18.111,0,140.475,145.318,6.44571,409.829,146.42,275.631,121.38,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.1046,2.2138,
24,1133.32,2222.14,1299.43,0.510014,29.4797,0,159.622,182.382,25.0737,1103.34,183.146,346.364,192.731,18.5425,0,158.187,258.39,6.78447,514.534,254.087,268.906,250.917,1.22989,0,2.00372,0.698248,5.54406,650.085,1.40876,23.8931,1.50774,
25,1133.32,2074.43,714.05,0.546328,28.9176,0,150.678,156.084,25.371,1060.81,156.621,336.151,159.801,17.5022,0,129.04,190.363,6.65354,398.866,193.114,245.261,137.359,1.22989,0,2.00372,0.390492,5.54406,650.085,0.944483,28.9981,1.50774,
26,1133.32,1966.8,552.817,0.576225,27.1875,0,137.439,139.581,25.7431,1018.56,140.171,321.889,156.231,14.0381,0,107.126,149.642,6.41051,303.597,149.872,250.38,155.902,1.22989,0,2.00372,0.698248,5.54406,650.085,1.40876,25.5012,1.50774,
27,1133.32,1935.81,547.877,0.58545,26.568,0,145.339,141.751,25.5941,999.718,142.346,302.579,151.918,13.2199,0,139.28,134.321,6.87403,276.078,133.92,214.11,144.438,1.42421,0,2.00372,0.698248,5.54406,650.085,1.40876,25.5012,1.50774,
28,1133.32,1895.11,624.649,0.598025,25.6079,0,147.654,138.955,25.8359,983.519,139.476,298.405,135.652,14.5538,0,139.661,145.581,6.61808,300.84,145.815,227.718,125.643,1.42421,0,2.00372,0.698248,5.60077,650.085,1.40876,25.5012,1.50774,
29,1074.94,1946.38,992.916,0.552275,25.1815,0,146.395,150.121,25.5121,988.18,150.902,313.626,146.469,15.7381,0,160.618,210.192,7.00609,362.537,209.661,272.448,192.348,1.42421,0,2.00372,0.698248,5.60064,650.085,1.40876,25.5012,1.50774,
30,874.798,2058.23,1898.31,0.425025,24.3986,0,208.903,157.001,25.1046,1005.42,157.849,311.295,168.252,17.958,0,945.242,242.554,7.47727,649.987,245.256,278.815,323.639,1.42421,0,2.00372,0.698248,5.40852,650.085,1.40876,25.5012,1.50774,
31,874.798,1956.33,2642.12,0.447163,21.9547,0,285.842,138.667,25.5097,924.485,139.677,283.431,136.763,13.8222,0,2224.08,168.45,7.07245,421.894,174.856,234.129,207.254,1.42421,0,2.00372,0.698248,5.60064,650.085,1.40876,25.0541,1.50774,
32,874.798,1724.54,653.415,0.507264,20.9178,0,129.87,122.011,25.7348,895.904,122.495,282.299,125.308,16.1057,0,173.5,110.087,6.94945,370.411,111.721,230.559,120.471,1.42421,0,4.96553,0.698248,5.60064,650.085,1.40876,25.0541,1.50774,
33,874.798,1777.96,1039.81,0.492023,21.325,0,132.812,135.21,24.9226,918.779,135.752,275.67,133.49,15.0119,0,102.749,186.052,7.69531,478.199,185.525,227.816,229.815,3.03074,0,3.08348,0.698248,5.60064,650.085,1.40876,25.0541,1.50774,
34,874.798,1747.89,1501.21,0.500487,19.9974,0,128.735,134.32,24.9518,910.434,134.965,262.045,132.447,14.2154,0,114.904,208.768,7.53997,845.029,210.922,204.99,280.13,2.76325,0,3.08348,1.03871,5.60064,650.085,2.17271,25.0541,1.50774,
35,874.798,1625.38,664.876,0.538211,19.0302,0,129.538,119.4,25.0258,847.771,119.904,248.643,116.069,12.2053,0,97.7436,159.113,7.72118,277.575,159.705,182.343,148.453,2.75569,0,3.08348,1.03871,5.53484,650.085,2.17271,25.0541,1.50774,
36,874.798,1696.63,1335.53,0.515609,18.287,0,136.07,126.845,25.3531,867.515,127.397,268.214,126.948,13.3807,0,121.961,204.44,7.69862,620.503,205.541,245.584,246.017,2.68351,0,3.08348,1.03871,5.06165,650.085,2.17271,25.0541,1.50774,
37,874.798,1763.94,1276.7,0.495934,19.7876,0,140.627,144.293,25.0389,892.982,144.88,265.132,131.2,17.7445,0,135.685,249.262,7.95094,506.635,250.131,229.378,229.063,2.68351,0,3.08348,1.03871,5.53484,653.936,2.17271,25.0541,1.50774,
38,874.798,1547.18,467.394,0.565414,17.2687,0,130.949,102.898,25.712,816.99,103.333,247.312,102.718,13.6219,0,97.9989,100.905,7.63057,298.112,101.952,192.156,90.7408,2.68351,0,3.08348,1.03871,5.53484,653.936,2.17271,19.2857,1.50774,
39,874.798,1683.88,1793.51,0.519512,16.7966,0,231.074,120.945,25.5476,812.2,121.395,239.95,115.974,13.4032,0,1311.03,164.865,7.76467,281.984,161.911,198.25,123.573,2.68351,0,4.96553,1.03871,5.53484,653.936,2.17271,19.2857,1.50774,
40,874.798,1596.51,1006.96,0.547945,16.9579,0,159.598,111.278,25.6429,832.235,111.743,220.214,118.836,14.6466,0,325.281,139.461,7.83565,389.319,139.834,181.259,187.856,2.68351,0,4.96553,1.03871,5.53484,653.936,2.17271,11.051,0.960113,
41,874.798,1636.14,1180.2,0.534671,16.1936,0,138.333,127.779,25.2458,826.022,128.348,240.504,133.716,12.8845,0,129.371,224.953,7.90219,420.792,223.371,233.397,231.555,2.68351,0,4.96553,1.03871,5.53484,619.292,2.17271,19.2857,0.960113,
42,874.798,1585.59,1371.91,0.551719,14.8496,0,215.912,105.179,25.9247,776.229,105.869,224.578,117.045,9.94997,0,885.97,142.441,7.5067,212.769,143.3,200.32,153.093,2.68351,0,4.96553,1.03871,5.53484,653.847,2.17271,19.2857,0.960113,
43,874.798,1567.99,1408.18,0.557909,14.5905,0,191.876,109.391,25.7629,776.465,109.91,226.969,113.029,10.041,0,798.251,191.915,7.56657,218.322,191.542,211.907,157.125,2.68351,0,4.96553,1.03871,5.53484,653.847,2.17271,19.2857,0.960113,
44,874.798,1478.29,718.259,0.591765,14.9383,0,129.188,97.5877,26.1558,784.026,98.176,221.733,106.481,13.5493,0,109.815,121.35,7.34547,324.845,123.272,194.775,123.206,2.68351,0,4.96553,1.03871,5.53484,653.847,2.17271,19.2857,0.960113,
45,874.798,1458.43,715.716,0.59982,14.0292,0,127.368,97.9681,26.1486,769.427,98.5499,212.833,112.11,12.3084,0,93.4614,153.767,7.52038,289.505,153.893,161.1,147.257,2.68351,0,4.96553,1.03871,5.53484,653.847,2.17271,19.2857,0.960113,
46,874.798,1526.18,1172.75,0.573196,14.7715,0,138.683,106.644,26.4349,789.661,107.324,224.924,117.733,13.4614,0,134.038,202.811,7.39222,368.766,203.28,235.268,201.932,2.68351,0,5.26386,1.03871,5.53484,653.847,2.17271,19.2857,0.960113,
47,874.798,1462.74,816.872,0.598052,15.3119,0,133.536,93.6529,26.1111,798.256,94.1364,200.701,101.04,16.3259,0,115.526,122.16,7.89691,416.058,123.253,191.081,126.624,2.36712,0,5.26386,1.03871,5.2763,657.452,2.17271,19.2857,0.960113,
48,874.798,1738.55,4263.73,0.503177,14.1649,0,389.406,103.622,26.6013,787.498,104.418,200.889,111.947,15.6993,0,3665.57,195.52,7.64182,453.135,196.865,217.485,217.57,2.36712,0,5.26386,1.03871,5.50664,656.803,2.17271,19.2857,1.50774,
49,874.798,1567.77,1654.5,0.55799,14.2054,0,129.979,114.222,26.3519,826.54,115.075,211.893,129.499,15.32,0,244.516,252.173,7.96491,689.202,253.627,242.058,307.947,2.36712,0,5.26386,1.14223,5.52252,656.803,2.42859,19.2857,1.50774,
50,805.471,1386.91,911.582,0.580767,12.1816,0,158.897,86.0356,26.5058,735.931,86.4243,192.63,88.3055,7.66954,0,433.487,102.458,8.12688,210.413,105.268,196.858,151.683,2.68351,0,5.26386,1.14223,5.51419,656.803,2.42859,19.2857,1.50774,
51,805.471,1415.77,878.028,0.568927,13.8037,0,134.519,92.608,26.5051,769.812,93.1523,194.31,91.0632,13.5402,0,149.422,134.244,8.35947,338.718,133.618,179.031,157.295,2.68351,0,5.26386,1.14223,5.07201,656.803,2.42859,19.2857,1.50774,
52,805.471,1474.23,1091.41,0.546366,14.2229,0,153.084,98.429,26.2935,783.178,98.9225,207.322,92.7798,15.8942,0,284.098,165.443,8.40938,407.749,164.6,210.066,149.583,2.68351,0,5.26386,1.14223,5.12565,656.803,2.42859,19.2857,1.50774,
53,805.471,1463.97,1393.32,0.550195,13.1723,0,169.227,101.629,26.8458,768.376,102.323,193.18,89.2219,12.8362,0,775.431,195.534,7.89087,344.916,196.697,222.678,178.518,2.6698,0,5.26386,1.14223,5.50284,656.803,2.42859,19.2857,1.50774,
54,805.471,2154.29,9368.1,0.373892,12.7206,0,875.984,93.5596,27.0764,755.655,94.2661,210.832,84.1925,12.9145,0,8867.58,195.786,7.88557,389.314,198.703,261.889,184.726,2.6698,0,6.59955,1.14223,5.50284,656.803,2.42859,19.2857,1.50774,
55,805.471,1647.87,2530.56,0.488795,13.0925,0,290.625,104.261,26.7905,795.847,104.863,205.808,106.586,15.5517,0,1720.97,228.06,7.96617,517.204,229.068,242.075,246.307,2.6698,0,6.59955,1.14223,5.43351,656.803,2.42859,19.2857,1.50774,
56,805.471,1591.68,4749.37,0.506052,11.5654,0,429.579,77.0425,26.7712,724.259,77.4741,168.673,76.3134,10.2799,0,4469.26,110.818,8.06448,244.517,110.734,171.948,99.2673,2.6698,0,6.59955,1.14223,5.50284,655.115,2.42859,19.2857,0.928838,
57,805.471,1329.81,851.792,0.605705,11.7099,0,119.687,85.7956,26.812,737.725,86.2451,185.049,76.7834,11.6294,0,265.535,165.276,8.21105,277.923,164.182,235.583,115.666,2.6698,0,6.59955,0.643527,5.50284,655.115,1.35598,19.2857,0.928838,
58,805.471,2002.72,6854.64,0.402188,12.4608,0,736.805,85.4226,26.7363,779.366,86.4995,176.844,98.5879,15.3106,0,6207.9,162.503,8.37353,464.282,166.049,192.906,241.429,2.6698,0,6.59955,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
59,805.471,1306.03,913.283,0.616735,11.6674,0,123.173,72.282,26.7392,745.96,72.6748,174.222,79.3068,12.9791,0,475.485,120.75,8.41256,348.259,122.39,207.733,163.094,2.6698,0,6.59955,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
60,805.471,1578.52,2591.6,0.510269,12.2882,0,320.784,80.6268,26.7302,769.547,81.071,201.403,86.0717,13.7537,0,2024.28,145.541,8.31943,383.391,145.572,300.98,183.734,2.63694,0,6.59955,1.74376,5.21428,655.115,3.65641,19.2857,0.928838,
61,805.471,1290.14,852.942,0.624327,11.3846,0,114.688,69.556,26.8223,747.031,69.9656,167.04,83.6539,13.6641,0,242.879,100.868,8.29855,358.651,100.618,212.17,148.464,2.63694,0,6.59955,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
62,805.471,1412.11,1330.8,0.570402,12.1277,0,141.522,93.9638,26.8522,778.359,94.5554,172.195,92.5347,13.6291,0,402.268,218.087,8.22129,485.075,218.131,216.415,218.234,2.63694,0,6.59955,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
63,805.471,1783.06,5150.94,0.451734,12.8215,0,454.018,91.2205,26.8618,834.246,91.8724,174.853,97.1695,17.0392,0,3781.38,247.41,8.21494,790.626,249.356,243.613,320.483,2.63694,0,6.59955,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
64,805.471,1216.33,764.575,0.662215,11.1884,0,94.4836,68.6457,26.8642,727.081,69.1038,147.803,71.1599,12.1299,0,311.73,128.361,8.46017,314.85,131.168,171.949,103.406,2.63694,0,3.06591,1.74376,5.50284,655.115,3.65641,19.2857,0.928838,
65,805.471,1425.6,2272.96,0.565006,11.0273,0,106.558,86.7725,26.4281,797.73,82.2382,154.421,160.422,9.76988,0,155.369,212.91,8.7817,853.246,175.716,192.215,963.866,2.63694,0,3.06591,1.66395,5.50284,655.115,3.09768,19.2857,0.928838,
66,805.471,1298.98,1128,0.620078,12.1131,0,120.214,79.6684,25.8464,756.413,80.1782,147.564,76.9874,14.5224,0,331.721,215.347,9.35786,409.005,216.527,148.755,190.517,2.63694,0,3.06591,1.66395,5.03196,655.115,3.09768,19.2857,0.928838,
67,805.471,1238.44,1099.63,0.650394,10.9262,0,100.16,73.4288,26.3326,732.782,74.0607,140.039,80.7068,11.4823,0,128.689,183.731,9.0799,377.249,184.987,152.417,209.413,2.63694,0,3.06591,1.06716,5.50284,655.115,2.25634,19.2857,0.928838,
68,805.471,1453.6,3261.09,0.554121,11.6445,0,288.031,77.6322,26.6522,743.195,78.0869,161.809,66.5515,11.7197,0,2776.61,149.89,8.76149,284.111,149.854,242.538,128.167,2.63694,0,3.06591,1.06716,5.50284,655.115,2.25634,19.2857,0.928838,
69,805.471,1270.45,1060.9,0.634005,11.6119,0,105.58,79.326,26.9121,738.33,79.766,158.701,70.2207,12.6497,0,230.727,206.21,8.57383,356.331,206.407,221.177,168.089,2.63694,0,3.06591,1.06716,5.50284,655.115,2.25634,19.2857,0.928838,
70,805.471,1478.08,2274.38,0.544944,12.5596,0,169.172,91.7551,27.0484,821.275,92.6348,164.571,99.0644,15.8171,0,935.725,271.608,8.23504,860.692,273.167,240.872,336.831,2.63694,0,2.16781,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
71,805.471,1460.71,2445.28,0.551423,11.5272,0,265.869,67.8218,27.0798,773.007,70.7179,158.019,86.6706,13.0419,0,1713.08,156.319,8.50073,656.5,167.92,225.942,272.253,2.63694,0,3.06591,1.06716,5.28457,655.115,2.25634,19.2857,0.928838,
72,805.471,1266.63,1240.37,0.635919,11.567,0,96.2192,76.3551,26.479,747.838,77.012,153.677,77.4776,13.9034,0,193.115,195.219,9.04316,474.186,196.567,207.847,240.15,2.63694,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
73,805.471,1511.05,2565.68,0.533053,11.5204,0,274.823,103.81,26.4972,742.413,104.305,163.634,84.0504,11.1015,0,1762.22,261.241,9.05106,286.409,256.599,228.237,186.819,2.6698,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
74,805.471,1538.81,2746.13,0.523437,12.0558,0,212.355,99.955,26.3427,814.26,101.037,171.636,101.17,13.5789,0,1584.33,298.12,9.04303,989.964,302.044,279.776,360.913,2.6698,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
75,805.471,1236.78,1446.5,0.651267,10.7769,0,90.2159,61.0326,26.3555,768.161,62.3279,146.68,71.2256,10.8567,0,160.776,143.583,9.04684,826.649,157.461,226.526,254.29,2.6698,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
76,805.471,1562.9,3272.19,0.51537,11.7201,0,361.288,78.5149,26.3057,762.34,79.032,169.877,73.8207,14.4426,0,2287.92,208.861,9.10879,448.937,209.952,289.396,214.191,2.6698,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
77,805.471,1475.26,3083.22,0.545984,12.7921,0,262.644,72.0024,26.8414,780.057,72.7578,174.284,73.8855,17.5003,0,2372.3,162.818,8.85333,480.397,165.445,282.938,190.315,2.6698,0,3.06591,1.06716,5.48228,655.115,2.25634,19.2857,0.928838,
78,805.471,1138.33,752.071,0.707587,11.2971,0,76.865,49.5458,26.2359,737.313,49.9401,136.286,50.8524,15.2925,0,158.748,97.0669,9.35567,403.729,99.0217,169.035,105.396,2.6698,0,3.06591,1.06716,5.51461,655.115,2.25634,19.2857,0.928838,
79,805.471,1302.65,1552.3,0.618334,11.9165,0,115.69,78.7046,26.9039,763.232,79.4481,148.931,77.8198,15.3911,0,437.635,219.073,8.76519,460.27,216.754,237.527,219.603,2.6698,0,3.06591,1.06716,5.51461,655.503,2.25634,19.2857,1.92293,
80,805.471,1358.87,2100.06,0.592749,10.7139,0,167.23,75.7928,26.3275,771.802,76.2197,135.611,95.175,10.5003,0,1257.69,216.549,9.16985,597.402,217.403,187.74,312.837,2.6698,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,1.92293,
81,805.471,1255.07,1278.56,0.641776,11.4517,0,78.0865,82.2539,26.5852,755.459,82.816,143.88,74.5332,13.3716,0,133.405,245.098,8.84641,425.386,245.051,200.13,227.017,2.6698,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,1.92293,
82,805.471,1238.39,1419.68,0.650419,10.532,0,154.456,63.2416,26.3724,720.576,63.6633,140.16,59.3866,10.1629,0,901.57,143.405,9.28206,276.966,143.486,232.878,119.203,2.6698,0,3.06591,1.06716,5.08175,655.503,2.25634,19.2857,2.10068,
83,805.471,1258.32,1510.8,0.640115,11.0695,0,147.486,65.0514,26.441,730.089,65.5492,151.429,61.2083,10.8299,0,857.003,153.882,9.04614,266.154,153.963,250.98,119.559,2.6698,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,2.10068,
84,805.471,1356.43,1852.75,0.593816,11.1921,0,144.37,100.972,26.2609,745.469,101.485,138.739,87.9456,11.5087,0,773.593,294.086,9.31495,352.179,290.696,205.238,237.938,2.6698,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,2.10068,
85,805.471,1533.08,2468.25,0.525395,12.9799,0,219.464,87.1064,25.9082,825.802,88.0115,171.467,102.337,19.8386,0,1365.64,238.825,9.41749,818.509,242.524,296.758,316.633,2.6698,0,3.06591,1.06716,5.22528,655.503,2.25634,19.2857,2.10068,
86,805.471,1542.2,3128.49,0.522285,12.9133,0,228.031,94.2541,26.1481,835.367,95.3552,172.2,77.9354,19.5599,0,2109.27,259.605,9.20307,1043.05,266.13,321.24,287.993,2.62186,0,3.06591,1.06716,5.37052,655.503,2.25634,19.2857,2.10068,
87,805.471,1259.54,1481.33,0.639497,11.941,0,88.104,75.9072,26.699,768.848,75.743,134.361,77.9347,18.07,0,201.785,226.011,8.93752,605.098,226.53,195.908,242.968,2.62186,0,3.06591,1.06716,5.23263,655.503,2.25634,19.2857,2.10068,
88,805.471,1421.83,2291.54,0.566505,12.8012,0,74.3991,95.2887,26.649,861.306,96.4383,146.709,108.234,19.9082,0,114.164,312.89,8.89198,1086.45,314.507,219.453,387.507,2.6698,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,2.10068,
89,805.471,1450.58,2695.73,0.555275,11.9886,0,243.128,81.0301,26.3872,773.967,81.9847,142.408,89.6873,16.0735,0,2083.6,230.953,9.05012,508.064,235.068,223.862,268.511,2.69237,0,3.06591,1.06716,5.56367,655.503,2.25634,19.2857,2.10068,
90,805.471,1360.2,2456.2,0.59217,11.5765,0,141.234,72.2997,26.2629,790.264,73.0134,150.96,94.5914,16.624,0,809.755,232.052,9.19745,969.401,235.195,265.813,335.161,2.69237,0,3.06591,1.06716,5.46061,655.503,2.25634,19.2857,2.10068,
91,792.406,1194.35,1233.27,0.663463,11.6214,0,70.0869,59.5857,26.0844,758.88,60.5224,132.004,75.5644,16.5783,0,137.549,153.32,9.4276,504.939,158.974,217.145,219.741,2.69237,0,3.06591,1.06716,5.55269,655.503,2.25634,19.2857,2.10068,
