Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.half_track_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.half_track_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.half_track_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,
34,16.9787,40.4909,43.144,0.419321,3.61761,1.39932,3.10106,0.979855,27.8444,3.54867,2.39566,1.95498,1.25276,1.31784,32.5792,6.67356,2.49678,0.0608392,0.915056,0.168613,10.4203,0.041119,
35,16.9787,29.5244,28.7578,0.575072,3.71739,1.14351,3.02587,0.72345,17.448,3.46624,2.50757,1.46886,0.745401,1.11192,21.2235,7.49391,2.49678,0.10801,0.932551,0.145452,10.4203,0.041119,
36,16.9787,29.6702,32.2821,0.572247,3.04089,1.31934,3.13117,0.559938,18.6607,2.95813,1.33131,1.94875,0.864546,0.952348,23.945,7.57566,2.49678,0.115218,1.05165,0.115046,10.4203,0.0543717,
37,16.9545,30.1403,31.6216,0.562518,3.00422,0.992233,3.14632,0.578047,20.3122,2.10727,1.21902,1.39174,0.921268,1.11147,24.034,5.66029,2.48558,0.0246879,0.93403,0.115046,10.4505,0.0432054,
38,16.9545,36.7955,40.7479,0.460776,3.27241,1.49109,3.17252,0.674041,25.4742,2.71129,1.83822,2.3442,1.12648,1.18494,30.4499,5.82587,2.01832,0.0297735,0.950691,0.115046,10.4386,0.0543717,
39,16.9545,40.141,38.716,0.422373,3.53585,1.33812,3.40344,0.868511,26.5303,4.46477,2.09933,2.02568,1.11801,1.42175,27.5632,8.03175,2.03106,0.0120859,0.987247,0.115046,10.4409,0.0543717,
40,16.9286,28.5122,32.1519,0.59373,3.1205,1.07588,3.16858,0.452946,17.8542,2.84007,1.54256,1.58746,0.797098,1.18808,24.6089,7.20717,2.4754,0.510788,1.44182,0.111385,10.4636,0.0543717,
41,16.9286,32.2287,34.5135,0.525263,3.57112,1.31493,3.12252,0.977283,19.5139,3.72892,2.19412,1.85985,0.903987,1.9018,25.431,7.53828,2.0298,0.13371,0.97824,0.111385,10.4636,0.0516015,
42,16.9286,34.5654,34.9309,0.489755,3.1739,1.73875,3.14707,0.735359,22.2542,3.51616,1.61431,2.13737,0.900161,1.31854,24.3643,7.56043,2.44155,0.48872,0.941377,0.111385,10.4636,0.0516015,
43,16.9205,28.5869,33.4496,0.591899,3.00488,1.0705,3.28531,0.487016,18.8208,1.91841,1.58431,1.85017,0.903486,1.15099,25.6807,6.09014,2.47493,0.0521129,2.96569,0.0964004,10.4279,0.0516015,
44,16.9179,30.6911,34.5076,0.551231,3.16852,1.4821,3.15255,0.487407,19.7546,2.64598,1.5173,2.05989,0.888505,0.844487,25.3085,5.97187,2.46572,0.510788,1.1796,0.0964004,10.4636,0.0386819,
45,16.9014,36.8135,43.3701,0.459108,3.42996,1.51019,3.27567,0.671059,24.0038,3.92284,2.12449,2.25929,1.09468,1.29808,31.7227,8.24481,2.4422,0.0290355,1.0641,0.0964004,10.4636,0.0386819,
46,16.8881,32.4089,35.6176,0.521094,3.49122,1.35119,3.07569,0.753583,21.3122,2.42499,2.32056,2.0364,0.906596,1.54613,26.44,5.76654,2.42005,0.0822701,1.12521,0.0964004,10.4534,0.0697877,
47,16.8881,24.8499,24.9923,0.679604,3.07427,0.812097,3.21778,0.468189,16.4215,0.856065,1.84942,0.99738,0.778533,1.12572,21.6429,2.98631,2.42005,0.0948053,2.96236,0.0964004,10.4636,0.0769934,
48,16.8528,30.704,31.7668,0.548881,2.89142,0.992664,3.31758,0.476069,21.2696,1.75669,1.21317,1.42986,0.982939,1.0507,24.789,4.89106,2.34227,0.139315,0.931508,0.0984185,10.4869,0.0717418,
49,16.8528,31.6006,34.7951,0.533307,2.94522,1.04692,3.33135,0.459072,21.9151,1.90292,1.69066,1.4111,1.08018,0.856823,28.5924,5.14554,2.18829,0.0328831,0.932464,0.0984185,10.4858,0.120179,
50,16.8528,37.7397,41.6304,0.446554,3.73411,1.31593,3.38807,0.542646,26.3714,2.38756,2.63167,2.03797,1.23358,0.923424,32.9401,5.89438,2.40581,0.0160408,1.08566,0.0870415,10.4869,0.094446,
51,16.8528,42.216,47.2068,0.399204,3.34592,1.29282,3.40947,1.02184,29.8079,3.33809,2.29123,2.20012,1.35954,1.85754,36.0996,7.06507,2.12937,0.0504782,0.928736,0.0870415,10.4869,0.120179,
52,16.8409,24.7266,23.562,0.681086,2.76596,0.957545,2.98468,0.244656,15.5492,2.2245,1.33753,1.34133,0.635442,0.902632,20.4936,6.45571,2.4139,0.149673,0.939541,0.07233,10.4869,0.120179,
53,16.8302,36.1516,33.9321,0.465544,3.2598,1.07015,3.14404,0.91376,23.3204,4.44348,1.83155,1.43979,0.963912,1.81035,23.6112,8.03143,2.09783,0.118938,0.943385,0.07233,10.4951,0.121715,
54,16.8302,36.3758,32.1551,0.462675,3.41237,1.4183,2.96279,0.884116,24.3752,3.323,1.65234,1.7602,1.04505,2.25093,26.1859,6.10023,2.4139,0.0256438,0.954392,0.07233,10.3832,0.121715,
55,16.8302,36.5601,43.3763,0.460343,3.13055,1.18725,3.49431,0.83663,24.6395,3.27185,1.7362,2.02094,1.24622,1.74129,32.7625,6.62996,2.4139,0.0187006,2.87226,0.07233,10.5052,0.0228008,
56,16.8083,40.0765,78.1012,0.419406,3.16043,1.20459,3.10555,0.449411,29.3991,2.75741,2.30157,2.25109,0.910403,1.19761,67.9583,7.7896,2.01144,0.105777,0.949909,0.0686303,10.5047,0.121715,
57,16.8083,29.5024,28.9748,0.569726,3.15439,1.37463,3.15976,0.503504,17.311,3.99914,1.77202,1.81105,0.65848,0.934081,19.7184,8.8734,2.39745,0.0943202,1.01622,0.0686303,10.5047,0.140989,
58,16.8083,33.951,39.2206,0.495076,2.9867,1.18132,3.12686,0.5584,23.7101,2.38753,1.74953,1.9683,1.20158,1.2696,31.6661,5.62834,2.09104,0.101349,0.913162,0.0686303,10.5047,0.146989,
59,16.8053,30.6708,32.9448,0.547927,2.99961,1.21619,3.21346,0.464418,19.7606,3.01653,1.76656,1.58904,0.850959,1.06126,25.1355,7.03933,2.05532,0.0466834,1.00276,0.0576485,10.5047,0.146989,
60,16.8053,36.5775,37.7133,0.459445,3.46932,1.28174,3.33343,0.735459,24.58,3.17753,2.36017,1.68512,1.15242,1.63284,29.06,7.25405,2.32945,0.0598892,0.902615,0.0576485,10.5047,0.146989,
61,16.7596,44.2456,49.7485,0.378787,3.48625,1.90204,3.40835,0.902568,30.1952,4.3512,2.33805,2.3142,1.35112,1.8296,36.2936,8.55881,2.22658,0.0930755,0.9498,0.0461502,10.5047,0.138801,
62,16.7596,37.9404,42.6859,0.441736,3.16218,1.60427,3.20084,0.834686,24.8258,4.31263,1.84737,2.19174,1.10463,1.62372,32.5876,8.24444,2.3875,0.138803,1.02265,0.0423961,10.5047,0.146989,
63,16.7596,34.3148,36.718,0.488409,3.51843,0.93903,3.40836,0.704562,22.831,2.91346,2.6059,1.33609,1.15006,1.50446,30.4724,7.85454,2.14025,0.018322,2.28061,0.0463764,10.4986,0.0578649,
64,16.7591,27.6827,33.9495,0.6054,3.10126,1.07323,3.21551,0.286503,17.8471,2.15911,2.25438,1.91042,0.83821,1.00135,24.535,6.87169,2.39631,0.131335,2.97368,0.0450456,10.4986,0.148966,
65,16.7591,33.1559,37.3567,0.505465,3.13613,1.3811,3.27951,0.617024,22.3025,2.43959,1.87563,1.97228,1.10444,1.27475,30.8044,6.2559,2.39631,0.0264716,1.12396,0.0423692,10.4986,0.0557339,
66,16.7542,32.0862,36.15,0.522161,2.91837,1.47835,3.16244,0.505126,21.1753,2.84663,1.48169,2.02731,0.978512,1.27662,26.6598,6.27463,2.39631,0.595886,1.15644,0.0423692,10.4986,0.163852,
67,16.752,32.0505,38.3386,0.522674,3.19156,1.32398,3.16036,0.644163,20.3053,3.42518,1.81116,1.84799,0.888741,1.37622,27.4454,8.02765,2.39631,0.603855,0.936112,0.0423692,10.4986,0.163852,
68,16.752,42.6864,44.8591,0.392442,3.50818,1.4623,3.63295,0.828265,28.5496,4.70512,2.21082,2.39629,1.17172,1.50003,32.28,8.4793,2.01154,0.0343848,2.65645,0.0377934,10.4986,0.0909946,
69,16.7497,44.0082,44.5716,0.380604,3.53206,1.64669,3.48421,1.07376,29.9061,4.36537,2.08883,1.98513,1.4103,1.60118,36.2712,7.29362,2.39631,0.076847,0.951892,0.0377934,10.4986,0.164933,
70,16.7497,41.3141,43.6216,0.405423,3.24145,1.23819,3.25514,0.697507,29.0936,3.78818,2.278,1.78684,1.27174,1.35743,34.4769,6.88791,2.39631,0.0417806,0.974732,0.0377934,10.5047,0.143227,
71,16.7497,37.8257,37.552,0.442812,3.77995,1.51597,3.1255,0.566402,25.5964,3.24148,2.58162,1.90749,1.15814,1.02685,29.9585,5.54715,2.39631,0.10557,0.919314,0.0377934,10.3541,0.164933,
72,16.7497,30.344,34.6283,0.551993,3.15017,1.22844,3.18462,0.362076,20.2365,2.18221,2.20063,1.87292,0.93393,1.01827,27.0243,6.3675,2.39631,0.0487753,0.934503,0.0377934,10.5047,0.157548,
73,16.7425,30.479,34.5466,0.549312,3.04423,1.14382,3.30596,0.581681,19.1983,3.20502,1.77718,1.57439,0.91657,1.30859,25.9702,7.02793,2.39333,0.0592511,2.97406,0.0377934,10.5085,0.139797,
74,16.7303,32.6029,38.4326,0.513153,3.06483,1.43348,3.20196,0.482301,21.4778,2.94251,1.64573,2.12584,0.9731,1.28632,27.2339,7.3363,2.39333,0.144089,0.978724,0.0377934,10.5085,0.139797,
75,16.7303,40.6627,45.22,0.411441,3.28141,1.47934,3.3529,1.05606,27.6732,3.81981,2.07081,1.87768,1.30769,2.5112,34.3273,7.57636,2.01704,0.0221423,0.931477,0.0410924,10.5076,0.0312532,
76,16.7303,35.3349,35.5585,0.473478,3.36912,1.2383,3.23161,0.719929,23.8253,2.95058,2.27608,2.03349,1.1577,1.50368,29.0095,6.57517,2.10966,0.0494708,0.939209,0.0391333,10.5076,0.0972427,
77,16.7303,31.7696,34.1834,0.526613,3.15252,1.39933,2.92656,0.613178,20.8757,2.80223,2.03765,1.91963,0.841049,1.45235,23.8416,6.54393,2.39241,0.610609,0.90806,0.0390258,10.505,0.160816,
78,16.7282,38.5215,38.4664,0.434257,3.51424,1.54586,3.08205,0.469812,26.247,3.66253,2.51491,2.07112,1.08811,1.07393,27.5452,7.10494,2.39625,0.0630844,0.87653,0.0378671,10.505,0.160816,
79,16.7282,33.8624,34.9006,0.494006,3.23655,1.55607,3.27005,0.617017,22.4957,2.68695,1.96277,2.09272,1.07726,1.33749,27.1012,6.56388,2.39625,0.0783656,0.979916,0.0375733,10.505,0.169051,
80,16.7223,32.7551,36.6836,0.510524,3.12053,0.991513,3.31103,0.645621,22.2549,2.4315,1.8853,1.39259,1.13368,1.38845,30.1874,5.86649,2.39168,0.0338352,0.867956,0.0375733,10.505,0.0262525,
81,16.7223,33.3921,37.8131,0.500786,3.13853,1.2521,3.24533,0.582306,22.3726,2.80121,1.87819,1.7714,1.06915,1.285,28.8161,7.25486,2.39168,0.0326657,1.14495,0.0375733,10.505,0.036436,
82,16.7223,34.6563,36.8641,0.482518,3.6735,1.26592,3.36709,0.518037,21.885,3.94679,2.80236,2.18363,0.886995,1.33948,26.0387,8.17307,2.39168,0.0874837,2.58984,0.0328154,10.4741,0.169051,
