Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
22,56.675,98.4086,74.3661,0.575916,22.6768,4.75607,4.37453,1.63938,0.960048,2.09617,0.417785,12.0763,1.21562,16.2346,29.3713,1.05506,1.53494,19.3259,3.21511,7.56428,1.26941,0.354786,1.63293,0.0592928,16.6267,1.05059,41.494,9.70835,0.745783,0.300671,6.3407,0.632023,0.0916775,0.0305215,0.280827,0.204862,0.269009,0.0621465,0.0209844,0.129848,16.2196,0.0400263,0.907102,
23,56.675,98.2881,111.443,0.576621,32.2074,5.46142,2.88979,1.73479,0.960582,2.48718,0.417197,12.5219,1.32969,7.67051,27.9357,1.19657,1.47543,76.3838,5.71148,5.4425,1.1343,0.504436,1.87026,0.0706627,18.2904,1.08381,16.2202,6.35656,0.688871,0.184824,10.5771,0.539042,0.0916775,0.0305215,0.262024,0.14627,0.281671,0.0621465,0.044885,0.129848,13.2501,0.0400263,1.13371,
24,56.675,107.881,140.622,0.525346,35.5102,4.01125,3.99901,1.87512,0.884201,2.0948,0.401856,12.2494,1.17904,17.0185,25.9964,1.16987,1.4916,70.6707,4.56532,7.87121,1.2291,0.432712,1.46126,0.0554029,18.9583,0.862138,49.2355,6.4054,0.778612,0.41901,11.2396,0.539042,0.0916775,0.0305215,0.262024,0.126218,0.138438,0.0621465,0.044885,0.129848,5.86501,0.138254,1.13371,
25,56.675,102.816,117.329,0.551227,30.8408,4.11971,2.99148,1.53757,0.911565,2.75682,0.397208,10.5093,1.33895,16.9248,27.9124,1.16931,1.40626,43.7834,3.22735,6.37731,1.15889,0.400014,3.17528,0.0572788,12.604,1.14149,58.2992,6.39662,0.783734,0.25355,11.7729,0.539042,0.0916775,0.0305215,0.262024,0.196293,0.1112,0.0621465,0.0189919,0.129848,14.0023,0.138254,0.647901,
26,56.675,109.767,156.524,0.516322,41.3578,4.39761,3.99128,1.68335,0.930714,2.14109,0.415367,11.7666,1.27239,13.1027,26.2451,0.999746,1.46318,98.0702,4.6092,9.86055,1.21464,0.42867,2.67884,0.0772766,18.0339,1.05978,43.6388,5.8758,0.751094,0.455157,8.92864,0.539042,0.0916775,0.0305215,0.262024,0.107217,0.313731,0.0255031,0.044885,0.129848,11.8425,0.0848937,0.224976,
27,56.675,103.975,142.109,0.545082,38.3736,2.90639,3.6499,1.60792,0.983613,1.80537,0.403211,9.05266,1.3809,15.7753,25.6236,1.04897,1.36389,73.0638,4.14294,8.12344,1.15932,0.526127,1.61586,0.070988,19.5019,1.10089,47.4201,4.62176,0.780525,0.244628,11.4352,0.423061,0.0916775,0.0305215,0.262024,0.0889526,0.168405,0.0255031,0.145215,0.129848,12.3774,0.0848937,0.420371,
28,56.675,97.5189,139.773,0.58117,30.5241,3.17718,3.38818,1.42268,0.883586,1.79941,0.402658,7.55629,1.74917,16.6154,27.6148,0.896626,1.4888,59.9647,3.97732,10.9317,1.02007,0.344562,1.31573,0.0642123,13.4382,1.54529,59.0618,6.27952,0.614268,0.260026,10.4109,0.539042,0.0916775,0.0305215,0.307193,0.107217,0.0346466,0.0255031,0.0374502,0.129848,12.908,0.0662554,1.18843,
29,56.675,103.621,178.073,0.546944,51.4198,2.30503,2.11178,1.45446,0.971642,1.27778,0.438505,7.15657,1.41938,7.85601,25.0663,0.668082,1.47591,140.591,1.90961,4.72152,0.913146,0.544284,1.08889,0.216282,11.3141,1.51115,24.0489,3.69805,0.529656,0.38378,13.3832,0.539042,0.0916775,0.0305215,0.322111,0.107217,0.34423,0.0255031,0.00507122,0.129848,19.0001,0.0662554,1.18843,
30,56.675,122.161,203.333,0.463939,50.2666,2.84089,3.07764,1.2866,0.846575,2.14037,0.410783,9.23186,1.15911,22.6139,26.1355,0.748178,1.40244,109.441,4.53756,7.63205,1.24371,0.332524,4.04626,0.0831569,20.2295,1.16545,71.5435,7.67659,0.636933,0.261323,12.1418,0.370143,0.0916775,0.0305215,0.322111,0.0877993,0.292246,0.0255031,0.0344581,0.129848,7.07835,0.0662554,1.1436,
31,55.6549,94.7277,147.113,0.587525,37.3021,3.19037,3.3417,1.18895,0.941586,1.41793,0.395831,8.36831,1.09663,10.9876,24.4064,0.681519,1.40871,84.5998,5.05801,11.5179,1.18539,0.71649,2.08308,0.0839643,18.1898,1.07248,46.887,4.53606,0.55631,0.320591,13.9007,0.539042,0.0916775,0.0305215,0.271731,0.0877993,0.0773121,0.0621465,0.0258815,0.129848,5.02307,0.115498,1.1436,
32,55.6549,118.846,196.813,0.468292,58.5204,3.06101,2.52053,1.3177,0.91118,1.90019,0.40417,9.69219,0.912187,13.521,24.1031,0.608178,1.37461,123.363,5.48682,6.05017,1.21493,0.522364,3.63566,0.07949,22.3061,1.17198,44.7478,3.92984,0.494588,0.301637,14.1016,0.539042,0.0916775,0.0305215,0.322111,0.0877993,0.339105,0.0621465,0.0126418,0.10734,6.13204,0.144541,0.558255,
33,54.6825,102.569,151.992,0.533127,49.3065,3.58934,2.33577,1.02314,0.863963,1.40499,0.385078,10.8774,0.898499,6.39034,23.5143,0.62713,1.35294,105.187,6.41701,5.48492,0.87365,0.39215,2.47048,0.0599392,24.0005,1.15227,18.351,4.99269,0.556641,0.279615,14.1016,0.628591,0.0916775,0.0305215,0.322111,0.0877993,0.124263,0.407983,0.0126418,0.129848,1.37829,0.0789997,1.09808,
34,54.6825,96.0265,140.914,0.569452,47.9876,2.70716,2.048,0.967744,0.970144,0.976721,0.401479,7.7833,0.766639,5.99425,23.5673,0.556349,1.2998,107.742,4.2199,5.81393,0.779259,0.697009,1.95565,0.112548,17.2176,0.773434,19.2982,3.3139,0.526876,0.233873,14.1016,0.666141,0.0909538,0.0305215,0.322111,0.0877993,0.258313,0.394119,0.0126418,0.0657667,10.9187,0.144541,0.697093,
35,54.4073,107.944,197.44,0.50403,56.3925,2.80234,1.96141,1.12363,0.938586,1.04073,0.419458,8.57395,0.686924,8.14101,23.94,0.585775,1.33818,131.877,6.53612,8.10787,0.952665,0.629707,2.06544,0.139476,25.8545,0.841807,27.7957,3.77347,0.530918,0.463962,13.8979,0.392513,0.0909538,0.0305215,0.291262,0.0452775,0.354188,0.0286933,0.0564125,0.0657667,8.97605,0.144541,1.09808,
36,54.3231,139.761,237.765,0.388687,64.1816,3.24802,5.45569,1.36749,1.12879,1.46063,0.403398,13.0191,0.60749,22.3045,24.2567,0.746932,1.58036,129.377,6.88715,14.5677,1.18399,1.28704,2.55258,0.127215,30.0243,0.683476,67.4974,4.32994,0.684453,1.12456,11.2657,0.392513,0.0909538,0.0305215,0.322111,0.0979582,0.0747092,0.0286933,0.0564125,0.0657667,7.32984,0.155181,1.11462,
37,52.3836,100.449,154.395,0.521493,44.6171,1.74646,2.94696,1.26959,0.885158,1.30339,0.394476,6.9573,0.61857,13.5989,24.2168,0.579573,1.31502,90.8097,3.82964,8.74057,1.08305,0.50894,2.50736,0.0813498,20.4611,0.771695,48.4751,5.54707,0.447032,0.342277,10.8004,0.392513,0.0909538,0.0305215,0.322111,0.0979582,0.0693529,0.0286933,0.0403342,0.0657667,0.959616,0.155181,1.11462,
38,52.3836,116.49,188.285,0.449684,55.0581,2.90814,2.31808,1.24175,0.963199,1.32429,0.421128,10.8486,0.578261,12.7716,26.1004,0.579999,1.37651,123.607,6.7683,7.02757,0.901183,0.787188,2.76667,0.136835,29.4717,0.638581,38.6945,8.59063,0.364528,0.568328,10.3551,0.392513,0.0909538,0.0305215,0.274755,0.0926658,0.354188,0.0286933,0.0100243,0.0657667,14.3185,0.155181,0.335178,
39,52.3836,104.307,190.625,0.502205,41.982,2.52158,2.95092,1.07729,0.882505,1.19528,0.388886,8.71048,0.548759,17.084,24.9376,0.601079,1.42698,88.7485,6.50057,10.7769,0.894162,0.655487,2.76233,0.0876977,28.3963,0.898219,64.862,5.05841,0.458161,0.713254,11.2657,0.385419,0.0909538,0.012849,0.219339,0.0979582,0.0657533,0.0286933,0.0109027,0.0657667,0.67493,0.155181,1.11462,
40,51.1457,97.0377,159.33,0.52707,31.8801,2.26585,3.73286,1.0774,0.772733,1.13144,0.400449,8.32519,0.419045,12.0922,33.0202,0.648801,1.27153,56.3738,5.73484,11.0462,0.916941,0.401925,1.95575,0.0753447,25.08,0.579319,50.7084,52.8221,0.644848,0.284535,11.2657,0.341384,0.0626406,0.012849,0.251145,0.103402,0.0711943,0.0286933,0.0113102,0.0657667,12.9742,0.155181,0.285268,
41,50.9283,96.9837,170.026,0.525123,48.6851,1.56767,2.66204,1.09766,0.822277,0.848481,0.424785,5.59841,0.299494,7.45581,25.6854,0.5892,1.24747,116.692,3.916,9.39059,0.936044,0.456335,1.91245,0.0883365,18.7733,0.3046,32.4415,7.49256,0.620242,0.108987,11.0929,0.341384,0.0626406,0.012849,0.26836,0.103402,0.363298,0.0307032,0.0113102,0.0657667,9.59296,0.145144,0.790211,
42,50.8036,97.4868,158.111,0.521133,32.4497,2.45167,2.78877,1.1537,0.789575,0.614981,0.405209,8.39691,0.311686,18.385,27.8858,0.582578,1.27123,58.7798,6.38706,7.6143,1.14052,0.351942,0.685854,0.078654,26.82,0.330816,66.5659,6.22248,0.544144,0.100656,11.0929,0.341384,0.0654013,0.012849,0.26836,0.103402,0.038704,0.0307032,0.0113102,0.086995,11.1786,0.174885,1.05258,
43,50.8036,105.008,170.528,0.483806,39.0505,1.97936,5.0692,1.29037,0.928697,1.17932,0.440279,7.92263,0.476038,15.7282,28.9682,0.557416,1.4179,94.0608,5.36727,13.4641,1.18567,0.443919,2.99948,0.0820066,23.247,0.648427,55.4106,5.6424,0.399416,0.579942,10.9023,0.375141,0.0654013,0.012849,0.26836,0.103417,0.251852,0.0521778,0.0106661,0.086995,13.1572,0.183948,0.374078,
44,50.8036,133.217,207.812,0.38136,65.2013,2.1703,5.56485,1.25878,1.10992,1.67166,0.454345,9.88918,0.54523,16.795,26.4596,0.762967,1.33362,136.449,4.77644,12.0764,1.15917,0.900537,3.39662,0.156151,22.0187,0.699085,50.664,7.40601,0.797313,0.410115,11.4415,0.490189,0.0654013,0.012849,0.26836,0.116464,0.073136,0.0521778,0.0111429,0.0594264,1.65287,0.183948,0.433004,
45,50.1695,100.454,163.958,0.499428,46.3151,1.19196,2.75525,0.975649,0.938946,0.772414,0.456174,5.22423,0.522069,10.7756,28.6193,0.603994,1.30325,116.619,1.97123,7.52991,0.937067,0.504039,1.34936,0.0678763,15.9315,0.817934,46.417,5.83336,0.406544,0.20847,10.777,0.490189,0.141972,0.0508728,0.389763,0.143641,0.412623,0.0516386,0.0111429,0.0594264,10.0859,0.169824,0.437712,
46,50.1695,98.0827,186.951,0.511502,38.5253,1.76376,4.00649,0.935133,0.977794,1.15892,0.455157,5.87086,0.386417,12.7398,29.2587,0.574407,1.42992,109.016,4.72415,13.8599,0.814076,0.75868,3.93294,0.0541759,21.5524,0.561479,54.0321,4.8372,0.373951,0.712185,10.8646,0.490189,0.141972,0.00950456,0.389763,0.108937,0.375706,0.069359,0.0103664,0.086995,6.98668,0.15611,1.11343,
47,49.6817,127.581,228.48,0.389414,57.3815,1.73017,4.76073,1.07171,0.951716,1.18697,0.459297,6.91175,0.414596,21.9113,28.7073,0.704123,1.38939,139.436,4.26163,12.3084,1.14741,0.667405,2.23501,0.138759,20.4423,0.598256,68.2277,4.47974,0.580101,0.537137,10.896,0.501252,0.141972,0.00950456,0.368645,0.148404,0.1864,0.069359,0.0111429,0.086995,12.7427,0.15611,1.11014,
48,49.3711,113.81,187.147,0.433802,41.5198,2.08931,4.34954,1.11784,0.916979,1.0248,0.444239,7.65731,0.468374,21.7157,30.4235,0.750471,1.33229,89.9968,5.10949,10.6305,1.20088,0.504864,2.02202,0.0764465,22.4114,0.674639,67.8681,14.5591,0.69867,0.383095,10.9806,0.501252,0.0463564,0.00950456,0.389763,0.0628451,0.118355,0.0450158,0.0103061,0.086995,11.0778,0.15611,0.795994,
49,49.1987,148.544,259.43,0.331206,62.5427,3.25026,6.58719,1.14599,0.966863,1.07342,0.464036,13.2187,0.569221,28.4435,28.2219,0.600128,1.46028,146.166,7.92361,16.3066,1.05809,0.817256,1.93472,0.182936,33.6638,1.0043,74.6109,4.89993,0.4271,0.771419,11.7502,0.545762,0.0463564,0.00950456,0.389763,0.102349,0.052868,0.0160266,0.0103061,0.0465465,14.6943,0.15611,0.907672,
50,48.5937,111.803,222.24,0.434636,49.4889,2.49314,2.50078,0.797915,0.964375,1.2774,0.467178,8.53544,0.398055,14.5068,28.578,0.52213,1.27315,137.723,6.9848,6.52243,0.813951,1.01698,3.6655,0.139738,30.2165,0.670321,51.4866,4.50572,0.293741,0.301278,11.0602,0.515504,0.0351455,0.00950456,0.271664,0.102349,0.391812,0.0160266,0.0103061,0.0465465,5.80146,0.15611,0.834545,
51,48.3562,116.454,196.111,0.415239,42.3386,2.71137,5.86182,1.00479,0.908782,1.02166,0.429117,9.42861,0.413107,23.3463,27.1089,0.571911,1.30879,94.8383,6.58555,15.1879,1.22859,0.697662,2.36843,0.0976781,28.3221,0.730586,64.0871,5.52427,0.453226,0.61849,11.7522,0.512891,0.0351455,0.0181498,0.200733,0.0957719,0.0963459,0.0160266,0.0100629,0.086995,8.06412,0.170538,0.798416,
52,47.8361,117.873,199.171,0.405827,49.3465,2.46411,4.86743,0.853215,0.864415,0.767307,0.438365,9.75098,0.427263,18.2455,27.9365,0.590679,1.32079,109.305,6.02992,12.5732,1.25822,0.722218,2.16604,0.0713778,26.6838,0.826017,61.997,6.66579,0.497414,0.509308,12.2329,0.51334,0.0351455,0.0181498,0.134967,0.102349,0.211941,0.0160266,0.0103061,0.123162,9.99562,0.208694,1.06448,
53,47.8361,96.3069,190.024,0.496704,37.5391,1.48597,2.6433,0.658478,1.37317,0.642484,0.439055,4.93718,0.273465,16.8698,27.7516,0.512087,1.18113,92.7071,4.53582,10.2333,0.952442,4.81733,1.89361,0.0795904,21.1165,0.396064,65.6382,4.68576,0.464181,0.153514,12.2329,0.505611,0.0351455,0.0181498,0.0451311,0.111143,0.0379059,0.0160266,0.026917,0.142094,5.94765,0.259003,0.956106,
54,47.8361,135.147,242.927,0.353955,59.4263,1.90739,4.71451,0.825374,1.34471,0.991662,0.475228,7.52182,0.441429,28.1927,27.4708,0.501985,1.3333,126.439,4.78339,13.1056,1.36483,3.95948,2.86593,0.169032,22.4554,0.822849,81.3798,7.03082,0.323876,0.700285,12.5509,0.51334,0.0351455,0.0181498,0.0451311,0.111143,0.118482,0.00824734,0.026917,0.142094,6.21145,0.252364,1.06448,
55,47.8361,82.8256,134.933,0.577552,30.0498,1.59346,2.9269,0.555788,0.736192,0.834505,0.426257,5.05514,0.222445,11.1594,27.5256,0.455353,1.28482,70.3069,3.87875,10.6043,1.03169,0.710961,2.51241,0.0630941,19.1773,0.264815,50.6812,4.81935,0.254259,0.691448,12.6518,0.51334,0.0351455,0.0103781,0.0451311,0.111143,0.211022,0.00824734,0.026917,0.135596,3.38287,0.252364,0.878392,
