Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
144,54.0827,87.8008,155.497,0.615971,0.185688,4.85435,37.6852,0.899484,0.208805,0.158869,0.343134,2.80078,0.332649,38.7095,0.102872,1.51957,0.904961,29.5067,37.6839,4.53098,0.850112,0.532094,1.42516,11.9769,0.0479762,120.418,0.306912,0.315289,0.0146319,0.000558034,29.9205,0.0256584,0.00337282,0.0267559,0.0856038,0.021423,0.211234,8.07606,0.0288262,1.32038,
145,54.0826,97.6966,162.699,0.553577,0.393339,11.2144,52.3767,3.32378,0.353025,0.20505,0.776956,5.67144,0.333451,21.3039,0.22086,1.52367,1.50754,45.609,92.3878,12.1299,1.19785,0.615378,3.47729,20.1925,0.0688183,17.6124,0.669097,0.266163,0.0146319,0.000558034,29.9205,0.0258484,0.00337282,0.0267559,0.0856038,0.021423,0.162029,1.63365,0.0288558,1.00225,
146,54.0826,73.0134,86.2498,0.740721,0.0978086,8.29424,36.3005,1.60602,0.227249,0.143711,0.494334,2.63071,0.3297,21.3462,0.0945989,1.44835,0.392724,42.8378,28.2669,7.3435,0.989588,0.482835,2.16611,10.3451,0.0896878,3.70634,0.307087,0.149502,0.0151041,0.000558034,29.9205,0.0258876,0.00342066,0.026628,0.0856038,0.0212014,0.0981752,2.85585,0.0288234,0.651671,
147,54.0826,97.9497,158.139,0.552147,0.149154,18.3124,44.4583,3.24298,0.226786,0.171024,0.435104,7.14454,0.322605,21.7896,0.189864,1.50737,0.475259,67.7218,59.3995,11.5745,0.928883,0.59201,1.43622,26.099,0.0541438,2.52679,0.569619,0.410556,0.0151041,0.000586759,29.9359,0.0258147,0.00342066,0.026628,0.0859672,0.0210015,0.0834254,8.90817,0.0288087,0.387157,
148,54.0826,96.3674,140.998,0.561212,0.279902,16.6833,45.2234,2.73864,0.457548,0.22878,0.446699,7.17264,0.318447,21.1313,0.179571,1.50716,0.896833,58.0867,59.0065,8.32651,1.42965,0.654626,1.42718,22.7906,0.0585624,3.77696,0.513539,0.415351,0.0151041,0.000622693,29.4515,0.0258876,0.00342066,0.0267559,0.0859672,0.0208964,0.0389248,2.99273,0.0288087,0.287457,
149,54.0826,147.361,251.461,0.367007,0.290084,33.3107,73.703,4.44053,0.386457,0.24078,1.02096,11.1795,0.353872,20.5677,0.278142,1.58945,0.924854,86.3261,135.038,11.1709,1.07917,0.631019,2.88048,29.7072,0.149862,4.53232,0.691651,0.482535,0.0151041,0.000622693,28.2068,0.0258876,0.00342066,0.0267559,0.0858265,0.0208964,0.0440113,0.965979,0.0287393,0.529802,
150,54.0813,100.377,169.659,0.538784,0.181038,13.4909,53.7794,2.19076,0.354104,0.252921,0.879138,4.56217,0.349057,22.659,0.169102,1.50909,0.586335,55.2449,107.089,10.7855,1.23022,0.820653,2.86218,17.3646,0.119705,4.91815,0.522858,0.307242,0.0150974,0.000622693,29.9333,0.0259977,0.00348291,0.0267559,0.0856892,0.0208964,0.072545,10.2663,0.028712,0.553489,
151,54.081,73.9367,101.289,0.73145,0.073371,7.48321,36.2165,2.0092,0.180505,0.101768,0.481518,3.75245,0.319492,21.6888,0.0903417,1.53961,0.379879,38.1702,38.5814,9.75606,0.906175,0.374341,2.72857,19.0634,0.0536929,2.46164,0.324793,0.405346,0.0151041,0.000622693,29.9333,0.0259977,0.00339207,0.0267559,0.0853741,0.0212755,0.00858593,7.65838,0.0286632,1.47647,
152,54.081,94.6212,161.592,0.571552,0.115946,4.10155,57.9413,2.54159,0.212792,0.295777,0.624948,4.65447,0.386967,22.0901,0.172998,1.48277,0.381757,21.1653,120.257,9.13962,0.775995,1.05311,1.95281,17.1094,0.229417,2.0518,0.579396,0.132344,0.0151438,0.000676796,29.9333,0.0259978,0.00339207,0.0267559,0.0853448,0.0212755,0.326753,13.8873,0.0286632,0.908195,
153,54.0803,123.352,209.567,0.438424,0.294798,28.1037,58.79,3.57523,0.364384,0.271967,0.995732,7.70204,0.336082,21.2037,0.215354,1.49869,0.988664,87.0454,91.4738,10.4902,1.09592,0.788402,3.49978,25.6353,0.0978067,3.18448,0.655435,0.432535,0.0150239,0.000676796,29.9324,0.0259978,0.00344461,0.0267559,0.0853448,0.0212755,0.186007,7.18929,0.0286632,0.190859,
154,54.0802,106.225,178.406,0.509108,0.121165,12.3659,61.8344,2.90382,0.149885,0.308487,0.732405,4.19607,0.348815,21.5572,0.194151,1.51309,0.402524,50.8101,116.113,10.6393,0.59363,1.09934,2.62721,14.8465,0.14101,2.53577,0.572527,0.252297,0.0150016,0.000745038,29.9324,0.0260534,0.00344461,0.0268756,0.0848823,0.0212755,0.03072,7.02183,0.0286229,0.899122,
155,54.0802,81.2868,103.319,0.665301,0.127022,11.3153,38.5394,2.05056,0.325602,0.158856,0.441565,4.71239,0.327445,21.5007,0.18603,1.60198,0.46104,45.4488,48.2421,7.07982,1.11982,0.502764,1.67403,16.9772,0.0736622,2.44222,0.598573,0.442066,0.0149737,0.000818323,13.3454,0.0260555,0.00344461,0.0268655,0.0848823,0.0212755,0.0751305,7.85582,0.0286229,1.47686,
156,54.0802,90.8885,131.724,0.595018,0.125849,13.0235,42.1207,2.75457,0.444623,0.16813,0.754389,7.92844,0.328324,21.3885,0.229499,1.62188,0.433505,48.1597,50.6878,10.4152,1.50717,0.48756,2.37395,28.9836,0.0489298,2.69773,0.706338,0.899992,0.0149737,0.00081541,15.5233,0.0260446,0.00344461,0.0268336,0.0848823,0.0212755,0.075718,8.24369,0.0286229,0.726109,
