Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
101,8.98089,29.2316,50.7656,0.307233,6.14668,3.58303,10.3141,8.22909,0.958687,4.26063,0.896167,27.8452,23.0814,1.61067,0.696845,2.71662,0.230646,0.10793,0.30365,
102,8.98051,30.6123,61.6241,0.293363,6.7662,4.00181,6.81294,12.538,0.493302,6.0423,1.74091,22.3496,36.4125,0.748511,0.377846,3.38093,0.232314,0.109022,0.294627,
103,8.97729,26.7815,42.8864,0.335204,5.01848,3.87849,8.27771,8.97698,0.629886,2.45078,1.79784,23.2214,26.1652,0.995411,0.303438,2.86767,0.23175,0.110779,0.304228,
104,8.97282,28.4721,48.7095,0.315144,6.94666,3.79534,10.229,6.98555,0.515581,6.00189,1.27961,26.16,18.1382,0.822595,0.103042,2.57815,0.23175,0.110005,0.304228,
105,8.97136,47.7581,76.6861,0.18785,6.94098,4.32302,16.3353,19.1642,0.994642,5.49343,2.1172,31.061,44.1995,1.53561,0.18293,2.94642,0.228246,0.110005,0.268731,
106,8.97136,36.4874,63.4552,0.245875,6.75028,4.02033,12.8112,12.1048,0.800861,5.68036,1.98878,30.4118,32.0809,1.25358,0.140256,2.41434,0.231246,0.110005,0.303033,
107,8.97136,27.4089,56.4067,0.327316,5.73931,3.96023,8.06949,9.20488,0.434976,4.03381,1.68162,24.9887,30.0743,0.559546,0.549218,3.39382,0.231246,0.107286,0.303871,
108,8.97136,39.4552,72.5426,0.227381,7.07967,3.76518,12.6814,15.3047,0.624255,6.33378,1.59311,31.7479,39.7587,1.04373,0.159112,1.95869,0.231246,0.10736,0.272777,
109,8.96907,34.1276,58.6713,0.26281,5.77075,3.88422,14.6051,9.37158,0.495933,5.48804,1.82182,34.7397,23.4387,0.634655,0.295067,2.51664,0.231246,0.106144,0.303871,
110,8.96907,33.5619,53.1465,0.26724,5.51375,3.7853,12.3343,11.302,0.62648,3.70879,1.49759,28.6258,27.4,1.19765,0.0849354,2.66355,0.231921,0.106144,0.263719,
111,8.96907,50.3388,77.7185,0.178174,7.48265,4.38074,19.8531,17.6882,0.93405,6.18128,2.14219,34.3262,41.7436,1.32862,0.131278,2.93654,0.231921,0.106144,0.301071,
112,8.96907,49.3065,75.1188,0.181904,5.91553,4.48002,18.5496,19.5855,0.775867,5.7806,2.58141,36.7079,38.2613,1.28992,0.170437,2.24334,0.231921,0.106144,0.301071,
113,8.96907,29.2532,57.2462,0.306601,6.00833,4.03925,7.10701,11.5528,0.545881,4.28389,1.96018,24.065,36.6771,0.772886,0.157835,2.31821,0.231821,0.104324,0.299674,
114,8.96574,27.8617,44.0125,0.321794,5.15247,3.91466,9.53406,8.6599,0.600628,2.69754,1.5716,26.704,27.3964,0.986974,0.105209,2.81035,0.230773,0.106144,0.299674,
115,8.96487,33.1774,52.6863,0.27021,5.47759,3.95199,15.3348,7.72266,0.690349,3.64714,1.60999,32.1356,24.7361,0.890761,0.0571629,2.511,0.230773,0.106057,0.299674,
116,8.96487,33.9017,59.8531,0.264437,6.00597,3.5644,13.0632,10.7717,0.496388,4.0452,0.960672,32.6527,31.1575,0.577433,0.202546,2.74742,0.230773,0.106144,0.299674,
117,8.9631,28.768,55.9083,0.311565,5.85813,3.81159,10.346,8.22363,0.528569,4.10126,1.45695,30.6469,28.2962,0.650225,0.108121,2.30676,0.230638,0.106144,0.299674,
118,8.9631,31.7385,53.745,0.282404,6.81316,4.07768,8.17122,11.8745,0.801962,5.77329,1.80649,20.1746,30.8278,1.27815,0.23086,2.97873,0.230638,0.106144,0.299674,
119,8.96214,22.2517,42.8983,0.402762,5.47001,3.60713,5.86667,6.81079,0.497069,2.74617,1.01997,18.4721,24.2508,0.964888,0.325671,3.34135,0.230268,0.108262,0.299707,
120,8.96214,29.1138,59.1864,0.307831,5.74075,3.84019,8.93887,9.98527,0.60875,4.5735,1.4766,27.3623,29.5868,0.913463,0.367644,3.4035,0.230268,0.101718,0.298651,
121,8.96214,29.114,50.6384,0.307829,5.51149,3.78361,11.3673,7.95091,0.500765,3.75484,1.13124,31.4658,27.1898,0.595305,0.0497775,2.71617,0.228321,0.100434,0.298651,
122,8.9621,48.9637,71.7809,0.183036,7.42075,4.36978,16.8452,19.6677,0.660266,6.33493,2.29392,31.7366,38.9397,1.03516,0.381761,2.1105,0.228942,0.100434,0.238322,
