Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
44,1359.97,2384.78,2339.13,0.570269,99.8868,0,370.661,9.31712,73.6633,16.0794,1590.54,126.983,97.6527,249.459,0,715.092,3.48297,210.292,27.0244,1046.62,187.493,248.1,1.95333,0,52.4052,1.06106,3.07647,3.77486,1204.7,35.1908,1.05979,
45,1359.97,2471.73,2266.35,0.550209,135.51,0,325.045,8.88338,133.462,16.0379,1618.77,103.966,130.057,332.717,0,610.895,3.0113,298.965,27.7519,1079.25,98.4868,328.397,1.21051,0,52.4052,1.33671,3.07647,4.19707,1204.7,26.1542,0.460265,
46,1359.97,2540.75,2282.27,0.535263,163.228,0,359.097,7.9333,121.297,16.6255,1621.25,94.3734,156.939,338.48,0,618.033,3.55267,290.099,25.0276,973.49,65.3448,325.704,1.95333,0,52.4052,0.277583,3.07647,4.19707,1204.7,38.5443,1.05979,
47,1359.97,3166.12,2937.16,0.429538,256.481,0,553.827,7.94825,213.255,19.981,1738.42,127.343,248.866,471.953,0,842.062,3.14421,388.311,28.0636,1091.42,124.602,465.37,1.95333,0,52.4052,0.57347,2.75422,4.19707,1204.7,30.5908,1.05979,
48,1359.97,2198.88,2010.95,0.618482,145.318,0,264.973,8.23478,62.8193,13.3602,1456.14,104.578,143.457,366.838,0,572.913,2.35664,194.203,20.4369,740.262,89.3768,354.995,1.95333,0,48.6061,1.27798,2.75422,4.81413,1204.5,47.9368,1.05979,
49,1359.97,2040.36,2110.62,0.666533,57.5742,0,246.469,7.32457,67.7458,14.2051,1509.53,81.7826,55.7299,187.88,0,559.385,2.74969,207.555,26.7277,1040.14,44.4058,189.784,2.99881,0,53.7083,0.76533,2.39098,4.81413,1204.5,47.9368,0.881685,
50,1359.97,2647.85,2781.91,0.513613,164.736,0,400.426,7.80564,123.146,18.9968,1670.58,100.015,162.141,412.138,0,704.471,2.56332,331.227,29.6149,1124.85,87.5503,419.832,0.879872,0,54.7349,0.153638,1.57772,4.81413,1204.42,46.6437,0.320187,
51,1359.59,2743.07,2952.2,0.495645,197.027,0,432.494,7.65186,136.582,17.4464,1676.58,84.2746,191.014,425.12,0,812.398,2.64188,391.513,28.7592,1310.97,62.1053,413.799,0.417034,0,36.1487,0.681985,1.57772,4.92857,1204.42,15.8986,0.320187,
52,1359.31,2819.75,2833.86,0.482067,193.889,0,418.203,8.0563,127.71,19.7545,1750.68,112.596,188.853,418.259,0,724.027,2.35924,324.006,30.4557,1189.15,108.843,407.532,0.417034,0,52.092,1.34956,1.57772,4.92857,1204.42,15.8986,0.320187,
53,1356.43,2299.1,2117.54,0.589981,102.328,0,339.755,7.79091,124.163,13.3649,1519.84,96.9626,94.8909,297.648,0,641.98,2.51887,302.953,23.1107,913.929,114.726,277.915,0.405326,0,53.2888,0.240945,1.07706,4.92857,1204.42,15.8986,0.320187,
54,1356.43,2960.49,3325.96,0.458176,173.154,0,445.488,7.84583,244.601,19.13,1805.87,98.8343,165.568,406.52,0,807.964,2.28419,542.249,30.6906,1354.67,109.908,395.043,0.405326,0,57.7459,2.16173,1.07706,4.92857,1204.68,15.8986,0.52929,
55,1355.27,2528.9,2320.87,0.535912,86.9761,0,363.225,7.74385,164.191,17.8709,1714.91,83.0249,90.956,222.507,0,605.779,2.56723,465.894,28.7345,1184.19,88.9699,229.005,0.405326,0,59.3516,0.329284,1.07706,5.06791,1204.69,15.8986,0.52929,
56,1350.06,2255.48,2278.02,0.598568,111.746,0,359.697,7.7984,76.5358,14.5638,1491.35,83.6501,110.137,280.328,0,717.761,2.21511,262.602,22.4845,901.028,71.7652,279.574,0.405326,0,53.4059,0.851972,0.245303,5.06791,1204.39,35.0616,0.52929,
57,1350.06,2785.44,2711.74,0.484684,186.935,0,447.84,8.47365,125.173,19.6611,1725.34,87.2188,184.796,395.172,0,738.716,2.35027,315.773,28.7502,1156.67,88.1014,392.904,0.405326,0,52.8489,1.34133,0.901537,5.06791,1204.74,35.0616,0.52929,
