Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.half_track_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.half_track_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.half_track_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.toe_angle_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,
24,51.9658,80.3687,112.341,0.646592,0.935014,35.4299,1.03771,0.528446,2.71892,0.939817,37.7945,0.157562,0.82693,0.359161,23.5613,1.56966,0.698626,8.13021,1.61775,105.99,0.249644,0.923336,0.241163,27.5002,0.0437783,0.0430698,0.0104383,0.0276279,2.13278,0.033932,0.282979,
25,51.9658,73.1856,34.1634,0.710055,1.05175,38.8893,1.40451,0.715839,7.47421,1.20377,21.1299,0.214713,1.10171,0.45401,25.8267,1.75252,0.997623,14.6494,1.83749,20.6802,0.293309,1.11526,0.338736,16.2932,0.0437783,0.0430698,0.013083,0.0320561,0.509856,0.033932,0.282979,
26,51.9658,75.7507,63.2818,0.686011,0.958132,34.6612,1.18282,0.508269,5.75252,0.966733,30.7634,0.161817,0.795886,0.328572,19.6922,1.61893,0.68931,12.4611,1.49167,53.5805,0.230028,0.755268,0.247763,21.6683,0.0437783,0.0485399,0.013083,0.0320561,7.42251,0.033932,0.282979,
27,51.9658,113.859,273.945,0.456405,1.04203,42.1436,1.371,0.636213,4.07931,0.985127,62.4035,0.241874,0.956261,0.501319,29.1183,1.77946,0.913946,10.3692,1.56442,269.459,0.355696,1.12514,0.227841,23.1011,0.0097229,0.0485399,0.013083,0.0318579,3.55725,0.033932,0.20363,
28,51.9658,84.8884,109.383,0.612166,0.865799,32.7624,1.18557,0.576555,5.1214,0.907504,42.5018,0.145794,0.821644,0.313624,17.4684,1.59975,0.775517,12.198,1.37154,103.066,0.202131,0.83217,0.233487,12.3349,0.0097229,0.0485399,0.013083,0.0320561,0.140182,0.033932,0.282979,
29,51.9658,103.384,169.795,0.50265,0.866835,35.5172,1.3187,0.644263,3.84898,1.16161,58.9102,0.170159,0.945698,0.367397,20.4889,1.62087,0.794232,10.1454,1.73848,161.495,0.23945,0.999341,0.231957,12.0448,0.0097229,0.0485399,0.0106627,0.0313643,8.72324,0.033932,0.282979,
30,51.9658,99.7882,167.391,0.520761,0.953138,38.1111,1.44471,0.60576,5.6857,1.09412,50.6104,0.204759,1.07842,0.439709,27.2576,1.71749,0.788996,12.7956,1.74882,159.15,0.30216,1.20125,0.229413,20.8329,0.0097229,0.0485399,0.0113291,0.0313643,7.16879,0.0162088,0.282979,
31,51.9658,67.03,30.769,0.775262,0.982525,36.5922,1.25486,0.714975,3.62222,0.792552,22.0202,0.166596,0.883907,0.400134,24.2183,1.73142,0.992628,9.39448,1.34862,29.9223,0.266691,1.03732,0.354316,15.1145,0.0097229,0.0367117,0.0113291,0.0237906,1.93561,0.033932,0.282979,
32,51.9658,73.7783,37.2406,0.704351,1.07977,43.1629,1.26002,0.702832,4.80089,1.19684,20.235,0.241508,1.09848,0.50692,33.9321,1.61062,1.07142,10.6101,1.81128,6.97877,0.366172,1.22296,0.446995,16.177,0.0097229,0.0485399,0.00964893,0.0237906,7.33205,0.0359097,0.282979,
33,51.9658,81.1004,69.4634,0.640759,1.02831,42.7959,0.975015,0.469195,3.82288,0.861016,30.0214,0.231908,0.894824,0.493189,32.9698,1.30553,0.698046,9.98373,1.43669,57.7493,0.352724,0.951207,0.237627,22.0119,0.0097229,0.0343779,0.0113291,0.0237906,4.94125,0.0274202,0.282979,
34,51.8815,85.1944,85.8357,0.608978,1.05171,42.4608,1.50631,0.59861,5.50177,1.18204,31.5364,0.240889,1.11586,0.495635,31.926,1.78316,0.785729,11.3006,1.90621,74.1274,0.342595,1.22101,0.229174,17.9151,0.00245608,0.0485399,0.0113291,0.0237906,8.09571,0.0421373,0.282979,
35,51.8815,70.3429,31.2944,0.737552,0.995824,36.0758,1.36146,0.594909,7.60764,1.07461,21.3379,0.187138,1.10754,0.371201,24.307,1.80902,0.827136,14.4898,1.75672,16.468,0.268,1.23264,0.332202,13.8207,0.00245608,0.0485399,0.0113291,0.0149092,3.36261,0.0421373,0.282979,
36,51.7494,110.769,275.119,0.467182,1.03832,41.2075,1.30032,0.558481,4.92568,0.931757,59.6132,0.227522,0.966404,0.45776,27.2685,1.76668,0.915145,10.9895,1.49375,269.637,0.318711,1.13815,0.240064,15.1062,0.00245608,0.0320486,0.0113291,0.0219443,8.14253,0.0389588,0.264161,
37,51.7494,74.1856,37.1439,0.697567,1.07899,42.9804,1.15426,0.479104,5.21655,1.11089,21.0128,0.241386,0.911214,0.469035,30.4004,1.52871,0.732827,10.4874,1.91271,40.4736,0.335744,1.06264,0.288854,17.0703,0.00245608,0.0320486,0.00888214,0.0219443,7.93481,0.0389588,0.295991,
38,51.6884,78.296,79.8534,0.660166,0.972082,36.9746,0.998584,0.669672,2.8019,0.878845,33.9115,0.171423,0.917464,0.427831,24.9562,1.51324,1.0657,7.9589,1.54554,70.0178,0.276105,1.08888,0.226037,22.2069,0.00245608,0.0320486,0.00888214,0.0219443,8.38556,0.0389588,0.295991,
39,51.6884,87.2033,89.2678,0.592734,0.97235,39.7875,1.49526,0.478292,4.4954,0.658499,38.12,0.209698,0.986299,0.460484,29.3018,2.04326,0.671029,11.3949,1.22794,78.7059,0.317172,1.02598,0.235512,22.5068,0.00245608,0.0443919,0.00888214,0.0219443,7.87908,0.0389588,0.295991,
40,51.6587,72.0973,49.4294,0.716514,0.989737,37.9054,1.0489,0.535956,3.49314,0.90631,26.1563,0.180614,0.881004,0.424324,28.033,1.60275,0.888209,9.93598,1.79698,36.9037,0.301813,1.0656,0.246856,12.1948,0.00245608,0.0443919,0.00671978,0.0219443,8.59351,0.0389588,0.294709,
41,51.6587,95.9592,96.1267,0.53834,0.976345,42.4434,1.19813,0.410809,3.28247,1.08766,45.3995,0.22782,0.933195,0.477033,28.4708,1.5624,0.616889,8.65722,1.90532,85.6222,0.324686,1.03081,0.243594,12.8832,0.00245608,0.0338978,0.00671978,0.0219443,8.05917,0.0389588,0.294709,
42,51.6587,74.011,47.6842,0.697987,0.966038,35.2583,1.20483,0.491529,6.56067,1.14288,27.2915,0.171193,0.924088,0.372353,23.7191,1.63167,0.656099,13.6813,1.90664,38.2154,0.249535,0.961411,0.246783,22.2925,0.00245608,0.0338978,0.00671978,0.0219443,8.02364,0.0389588,0.294709,
43,51.6587,70.3912,62.6402,0.733881,0.897444,32.7666,0.734527,0.249603,2.29886,0.440847,32.2786,0.121168,0.603506,0.303427,19.6936,1.42858,0.33432,9.6223,1.17203,52.3803,0.218629,0.757282,0.244345,24.2415,0.00245608,0.0338978,0.00671978,0.0230493,9.44084,0.0389588,0.294709,
44,51.6587,76.2867,38.9907,0.677166,1.07252,42.6996,1.39902,0.767054,5.96774,1.53454,21.5502,0.246192,1.04976,0.526386,31.2918,1.93938,1.16816,13.4103,2.53957,16.1735,0.371082,1.2133,0.41121,15.1027,0.018303,0.0397846,0.00671978,0.0230493,3.91166,0.0389588,0.294709,
45,51.428,76.8091,52.2742,0.669556,0.990645,39.9774,1.17138,0.499145,4.54951,0.934017,27.6118,0.209785,0.865333,0.459671,30.239,1.77472,0.83137,11.7195,1.77859,33.5996,0.324813,1.11443,0.226897,13.8145,0.018303,0.0443919,0.00671978,0.0230493,8.19386,0.0389588,0.294709,
46,51.428,87.4926,125.258,0.587798,0.982541,36.7118,1.31744,0.688911,5.96369,1.13749,39.4685,0.187425,1.03482,0.424149,25.4743,1.888,0.997176,12.6581,1.99416,116.315,0.280237,1.30859,0.238752,15.2568,0.018303,0.0443919,0.00671978,0.0230493,9.0966,0.0389588,0.258232,
47,51.416,81.1942,66.6902,0.633247,0.987016,41.8612,1.14232,0.572787,1.57893,1.01609,32.9953,0.212413,0.82813,0.472206,29.9854,1.74619,0.96463,6.52062,1.94841,52.1528,0.328511,0.990753,0.243448,27.4436,0.00836377,0.0443919,0.00671978,0.0230493,8.18281,0.0389588,0.289827,
48,51.416,1473.02,9336.39,0.0349052,0.915343,38.5172,1.12728,0.500037,3.17295,1.15063,1426.44,0.3161,0.875498,0.40454,25.244,1.70313,0.687343,9.30024,2.03441,9433.65,0.881522,0.968728,0.239997,22.8715,0.00836377,0.0443919,0.00671978,0.0230493,8.22663,0.0389588,0.294033,
49,51.416,99.6465,150.004,0.515984,0.983493,40.5695,1.41658,0.621846,4.60766,0.827484,49.4677,0.219772,0.932534,0.478172,25.6027,2.01121,0.878184,10.3198,1.46751,1369.86,0.308781,1.12376,0.224587,23.8201,0.00652374,0.0443919,0.0126941,0.0230493,8.79823,0.0389588,0.294033,
50,51.416,147.556,533.626,0.348451,0.918865,37.7994,0.952251,0.509031,5.11747,1.30583,100.029,0.212332,0.711289,0.382154,21.1627,1.55251,0.689626,10.444,2.23229,531.045,0.316702,0.871476,0.227755,17.278,0.00836377,0.0339211,0.0126941,0.0230493,3.37061,0.0389588,0.292062,
51,51.416,101.325,182.054,0.507434,1.0027,39.5921,1.23226,0.583618,6.5208,1.03422,50.08,0.218702,1.06112,0.438918,27.9135,1.82408,0.882259,13.2951,1.70666,188.585,0.308464,1.13487,0.241323,17.8143,0.00836377,0.0443919,0.0126941,0.0230493,2.39797,0.0389588,0.292152,
52,51.416,110.25,175.179,0.46636,0.92278,37.967,0.90563,0.462487,3.28458,0.674596,64.877,0.184289,0.971149,0.428214,24.5736,1.49036,0.810596,9.44083,1.11878,164.309,0.282237,1.25013,0.238205,16.9353,0.00269321,0.0443919,0.00533607,0.0230493,6.04629,0.0389588,0.29387,
53,51.416,73.695,38.4762,0.697686,1.02291,40.632,1.06705,0.731924,3.63734,1.11338,24.4359,0.209762,0.844701,0.487583,26.5398,1.62418,1.08761,9.07675,1.99663,43.3049,0.301771,1.03047,0.327923,24.7401,0.00269321,0.0747946,0.00533607,0.0260491,7.93406,0.0479069,0.294033,
54,51.416,65.2921,27.639,0.787477,0.938023,34.1483,1.04345,0.631397,3.71377,0.970568,22.8107,0.146492,0.889412,0.36239,21.8682,1.67023,0.813681,10.2462,1.83345,8.90756,0.245101,0.960216,0.372146,13.4471,0.00269321,0.076554,0.00533607,0.0260491,10.1221,0.0305496,0.294033,
55,51.2983,68.273,32.8043,0.75137,1.02363,38.0393,0.893867,0.61341,4.51398,0.678723,21.4604,0.18571,0.863923,0.444374,26.4252,1.51927,1.0483,10.3244,1.27788,8.65735,0.291345,1.0839,0.405749,18.2428,0.00269321,0.076554,0.00533607,0.0250102,7.82185,0.0479069,0.293156,
56,51.2983,15460,107689,0.00331813,1.00501,37.3025,1.27344,0.579823,7.26938,0.87646,15410.3,0.258732,1.16949,0.435129,25.954,1.86573,0.753835,13.9445,1.67471,106603,0.544191,1.38353,0.239561,16.7378,0.00836377,0.076554,0.00533607,0.025765,6.00022,0.0489475,0.294033,
57,51.272,66.922,32.0402,0.766145,0.920082,34.6097,0.969245,0.44121,3.93292,0.958676,24.1007,0.151338,0.838026,0.373269,23.9601,1.60455,0.543077,11.1112,1.76715,15231.3,0.283901,1.131,0.357374,10.7904,0.00836377,0.076554,0.00533607,0.025765,3.82902,0.0365827,0.294621,
58,51.272,69.8825,35.5014,0.733688,1.02605,39.5506,1.04932,0.556132,3.23903,0.860656,22.5933,0.199516,0.807904,0.455287,28.1435,1.69948,0.961839,9.14617,1.66485,13.1199,0.3103,1.04374,0.338383,21.8881,0.00836377,0.076554,0.00533607,0.0230771,8.22461,0.0485863,0.294621,
59,51.2538,83.9985,81.8272,0.610175,0.961425,38.0441,1.27707,0.596165,5.98487,1.16313,34.9193,0.203601,0.848858,0.423412,27.4402,1.78362,0.902651,12.4911,1.88812,72.2651,0.288329,0.904513,0.236976,12.7,0.00836377,0.0886338,0.00533607,0.0230771,7.93219,0.0489475,0.24186,
60,51.2538,94.1853,179.095,0.544181,0.951819,35.2487,1.49989,0.751203,7.05109,1.14753,46.3696,0.179309,0.986228,0.385486,22.6436,2.02895,1.05953,13.7076,1.99442,172.901,0.259282,1.0581,0.237239,12.2468,0.0159392,0.128527,0.00545399,0.0230771,5.22091,0.0243605,0.292997,
61,51.1107,75.9641,47.5237,0.672827,0.941031,38.2572,1.31501,0.583327,3.79703,1.02816,29.0129,0.192416,0.83697,0.424757,24.3374,2.13326,0.774945,10.8081,1.80732,37.2734,0.267896,0.923418,0.248575,21.3343,0.0159392,0.128527,0.00545399,0.0230771,6.54117,0.0489475,0.271283,
62,51.1107,75.5882,56.1422,0.676173,1.01848,40.2049,0.872628,0.441681,3.95135,0.773416,27.3901,0.210591,0.725042,0.486372,32.5632,1.65554,0.694193,11.4471,1.57544,41.2639,0.342533,0.851994,0.243823,19.2818,0.00297543,0.128527,0.00545399,0.0230771,8.36608,0.0479482,0.292997,
63,51.1107,75.8874,51.4735,0.673508,0.988992,40.1148,1.2001,0.544614,3.27152,0.617827,27.9797,0.205495,0.964393,0.47135,29.3167,1.95934,0.713728,8.81834,1.12378,33.7764,0.316371,1.14764,0.226663,20.2423,0.00297543,0.0542808,0.00545399,0.0296615,3.53589,0.0479482,0.292997,
64,51.1107,827.93,5332.32,0.0617331,0.935453,35.6729,0.591572,0.453584,1.48376,0.440037,787.357,0.310987,0.685447,0.373322,23.3004,1.56999,0.67515,6.69206,0.971994,5380.9,1.20617,0.912181,0.228334,27.5344,0.00297543,0.11265,0.00545399,0.0296615,8.09224,0.0491101,0.292997,
65,51.1107,94.0183,160.004,0.543625,0.937115,37.0362,0.872275,0.464265,2.15832,0.739703,50.8958,0.16926,0.745408,0.41571,26.2391,1.70418,0.687257,7.46361,1.66101,751.734,0.315007,0.933708,0.244046,21.7735,0.00349827,0.128527,0.0038131,0.0296615,8.96788,0.0503867,0.294064,
66,51.1094,75.1685,48.9255,0.679931,0.944294,36.0225,1.0514,0.743199,6.13325,1.33035,27.6688,0.184826,1.08982,0.40168,26.4786,1.63528,0.959239,13.1055,2.25489,41.7538,0.276022,1.17112,0.261,11.4905,0.00375517,0.128527,0.0038131,0.0296615,8.23233,0.0503867,0.294064,
67,51.1094,82.9733,65.1943,0.615973,0.984802,41.6237,1.00964,0.564633,3.4756,0.844375,33.3314,0.224341,0.914843,0.493235,30.5506,1.70735,0.835894,10.4558,1.49097,51.1815,0.322723,1.11583,0.244091,13.3159,0.00375517,0.0934067,0.00345799,0.0296615,7.83326,0.0503867,0.293818,
68,51.0906,66.9995,38.9086,0.762552,0.960074,37.3821,0.722021,0.397376,2.2286,0.6978,23.6739,0.172282,0.765263,0.432489,30.8279,1.62867,0.523998,8.74669,1.6055,19.7504,0.316875,1.03915,0.232974,15.8821,0.00330204,0.0934067,0.00345799,0.0296615,10.9212,0.0503867,0.293818,
69,51.0906,75.7839,38.459,0.674162,1.04895,42.6659,1.34789,0.799562,5.1593,1.17636,22.2903,0.244099,1.05149,0.498217,31.8843,1.96956,1.13475,11.7784,1.91448,13.121,0.347126,1.12696,0.342151,11.9762,0.00330204,0.0934067,0.00345799,0.0309545,0.356095,0.0503867,0.294567,
70,51.0889,88.5088,122.608,0.577219,0.890202,36.991,1.032,0.649371,3.69306,0.886818,43.1941,0.179374,0.992905,0.399484,20.2856,1.76007,0.881079,9.32953,1.44558,116.846,0.241388,1.15165,0.232492,25.4532,0.00330204,0.0930513,0.00516238,0.0309545,6.47676,0.0401565,0.291687,
71,51.0889,150.367,389.967,0.339763,0.866218,36.8634,0.968,0.535299,2.75362,0.86618,106.46,0.189834,0.863785,0.347156,18.5502,1.79198,0.655219,8.07558,1.63805,386.858,0.266789,1.03134,0.238109,27.5444,0.00241043,0.119353,0.00453829,0.0309545,7.89056,0.0279846,0.293953,
72,51.0889,75.1434,67.1105,0.679886,0.934203,35.4763,0.935357,0.48547,4.68145,0.756226,30.8637,0.165973,0.8447,0.366619,20.8939,1.69583,0.659653,11.4169,1.60641,94.6771,0.237918,1.1239,0.237372,20.546,0.00241043,0.110607,0.0028558,0.0309545,3.68905,0.0505807,0.29386,
73,51.0883,93.0864,216.95,0.548827,0.945009,34.4165,0.645997,0.449423,2.90838,0.684304,52.1631,0.146258,0.727335,0.341275,19.6988,1.52891,0.800374,8.87199,1.66313,210.142,0.232388,1.09382,0.24081,21.2691,0.00241043,0.110607,0.0028558,0.0309545,2.07254,0.0501371,0.29386,
74,51.072,78.8044,61.9895,0.648085,0.956766,38.1782,0.99549,0.672018,4.50806,0.944793,31.3994,0.190533,0.959192,0.427564,24.8038,1.60347,0.949273,10.1536,1.52414,54.0586,0.279413,1.05581,0.248134,18.0867,0.00241043,0.110607,0.0028558,0.0381646,8.37228,0.0512248,0.276872,
75,51.072,91.2636,141.731,0.559609,0.941846,36.2375,1.21901,0.450823,6.34038,0.777226,44.1998,0.18503,0.912032,0.34058,21.2811,2.02186,0.516548,12.7599,1.48544,133.818,0.249237,1.05512,0.23884,16.9363,0.00241043,0.142375,0.0028558,0.0381646,5.90517,0.0528164,0.293825,
76,51.072,69.0488,34.5834,0.73965,0.997733,38.3675,0.822158,0.621619,3.60296,0.796407,22.8808,0.186823,0.772869,0.422157,26.337,1.57633,1.0236,9.9785,1.43597,24.055,0.289718,0.950942,0.332623,23.3761,0.00241043,0.0715009,0.0028558,0.0381646,8.3277,0.0313239,0.293825,
77,51.069,66.4471,28.668,0.768566,0.932783,34.8129,1.03698,0.579972,5.22128,0.86018,21.9817,0.158158,0.863232,0.305602,19.9972,1.78892,0.800438,10.3246,1.64816,10.7672,0.225153,0.974178,0.321983,21.7066,0.00241043,0.0408331,0.0028558,0.0381646,4.65473,0.0529707,0.291135,
78,51.069,390.961,2314.79,0.130624,0.981004,34.5932,0.582397,0.532666,2.74368,0.35691,350.301,0.236513,0.633252,0.375757,20.1307,1.59554,0.956743,8.7194,1.06928,2332.33,0.752377,0.859229,0.229531,25.5101,0.00241043,0.127389,0.00358713,0.0381646,8.0081,0.0521319,0.293825,
79,51.059,483.309,2699.64,0.105645,1.04018,43.562,1.10428,0.528717,4.72643,0.866098,430.205,0.371814,0.903914,0.514837,34.1742,1.79447,0.749015,11.0146,1.63025,2687.73,0.920821,1.01956,0.231381,12.7125,0.00339072,0.135297,0.00358713,0.0430607,5.86124,0.0532551,0.290354,
