Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
518,195.427,368.71,871.564,0.530029,16.4147,26.6401,4.68052,60.5334,22.1502,4.49227,0,81.378,4.13309,3.92271,27.1625,117.203,69.5348,153.136,25.8213,300.555,35.2136,2.05615,0,209.982,1.38937,19.5736,152.959,168.945,3.55646,0.370557,0.436724,12.8326,16.5007,3.45823,0,41.2475,3.88931,0.960321,0.882956,88.2441,
519,195.427,311.867,795.024,0.626635,7.88446,28.7507,4.68644,31.7285,24.3193,4.4637,0,69.2808,4.073,3.59122,29.3575,103.732,32.9948,263.404,31.559,29.9245,44.7685,1.56437,0,154.308,1.22112,16.7639,264.316,100.915,3.55553,0.370557,0.436721,0.882732,16.5006,4.21274,0,45.404,3.88931,0.96032,0.882956,88.2441,
520,195.427,431.814,878.785,0.452573,18.5456,39.4925,9.6969,39.5669,32.2052,4.72797,0,118.571,4.35964,9.05411,40.0382,115.556,66.9796,230.725,38.1286,54.2621,65.475,2.32005,0,273.7,1.77253,35.4792,230.981,126.025,3.55553,0.370557,0.436713,5.37974,12.4308,2.34806,0,42.1809,3.88927,0.960312,0.882956,75.2368,
521,195.427,398.123,825.88,0.49087,19.0657,27.5893,11.0192,79.8616,26.6583,4.76998,0,76.9233,4.50002,7.35646,28.1231,112.257,58.7291,193.439,44.1108,399.276,53.9346,2.45659,0,173.047,2.41931,32.0876,194.876,103.67,3.55553,0.370557,0.436705,3.38128,14.5176,2.15075,0,28.3764,3.88918,0.960305,0.882956,71.7093,
522,195.427,598.365,1485.4,0.326602,23.2485,117.522,5.52902,30.1109,35.7778,5.33663,0,67.3583,4.2378,6.12979,118.51,184.605,69.5071,520.127,24.4247,50.1012,69.2905,4.35107,0,124.193,1.70514,24.0984,505.736,344.51,3.55553,0.370557,0.436705,1.39634,16.5006,4.21274,0,30.8498,3.07359,0.960304,0.882956,88.2442,
523,195.427,448.246,1240.59,0.435981,11.2692,79.3452,4.86434,30.0982,25.7407,4.76803,0,64.0621,4.06352,3.64012,79.9798,140.415,48.9194,388.867,28.3276,4.22386,49.8698,2.8246,0,146.069,1.01576,18.0869,389.201,257.166,3.55553,0.370557,0.436705,8.66718,16.5006,4.21274,0,32.0684,3.8891,0.960304,0.882956,88.2442,
524,195.427,364.798,851.248,0.535712,16.4826,35.3142,4.15871,41.765,23.2961,4.59668,0,72.538,4.03738,6.52765,35.8135,120.269,60.2331,232.906,30.6864,104.003,46.6982,2.17852,0,192.696,1.01971,40.343,236.333,173.898,3.55553,0.370563,0.4367,8.18447,16.5011,1.0478,0,25.5389,3.11383,0.960304,0.882981,88.2441,
525,195.427,482.506,1373.69,0.405025,13.6805,96.5737,3.81929,30.963,28.8064,4.55994,0,73.1148,4.08599,5.61343,97.6405,123.649,50.5501,497.118,19.393,12.8766,60.8362,2.30034,0,138.423,1.0297,23.9873,491.441,182.455,3.55553,0.370563,0.436698,7.14889,15.6641,0.959342,0,41.6079,3.8891,0.960304,0.882975,88.2441,
526,195.427,412.117,890.307,0.474203,12.041,56.9246,10.3956,39.6495,26.6674,4.80369,0,68.0372,4.42679,6.64584,57.4569,125.068,32.0134,297.804,46.246,66.8953,46.5362,2.45618,0,115.557,2.74645,24.6849,300.158,187.938,3.55703,0.370563,0.436696,7.79941,12.9613,3.63359,0,27.7662,2.21836,0.960296,0.882975,32.1076,
527,195.427,357.662,747.176,0.5464,12.4023,36.1728,5.07201,33.0792,26.6633,4.88042,0,58.698,4.22837,5.37847,36.6948,134.393,42.7633,239.122,23.1921,17.3259,48.6026,3.34128,0,138.411,1.62098,20.8763,240.625,242.639,3.55713,0.370563,0.436696,8.29425,16.5011,1.28514,0,25.541,3.88904,0.960296,0.882975,88.2441,
528,195.427,361.783,1046.2,0.540176,11.966,53.1628,2.82916,32.6496,18.4522,4.50671,0,65.8093,4.17416,1.54507,53.9621,112.726,52.9467,376.13,14.0665,20.5921,16.4819,2.00693,0,124.839,1.65804,5.31969,377.309,159.35,3.55713,0.370558,0.436696,7.95633,16.5013,4.21275,0,45.4063,3.88904,0.960296,0.882957,88.2441,
529,195.427,413.735,1097.44,0.472348,11.4495,58.6145,3.37724,31.0103,24.5104,4.70625,0,80.2141,3.99289,6.35579,59.3538,130.15,47.5869,317.31,18.8611,7.12745,44.8692,2.54,0,181.279,0.76435,32.817,318.65,213.545,3.55714,0.370555,0.436692,9.29732,16.5013,4.21275,0,45.4063,3.55605,0.960296,0.882937,88.2441,
530,195.427,401.174,1083.27,0.487137,8.67655,52.4424,6.80015,39.4052,18.6195,4.85984,0,73.6948,4.45549,2.87872,53.2349,136.106,29.1688,369.595,38.2647,69.3551,15.8497,3.32819,0,140.757,3.50786,10.6794,372.031,251.187,3.55656,0.370555,0.436692,6.74504,15.0668,4.21275,0,45.4063,3.88904,0.960296,0.882937,88.2439,
531,195.427,342.638,940.631,0.570358,9.34162,53.1011,3.6995,30.8769,24.0895,4.31022,0,50.3062,4.1049,6.80096,54.0461,101.961,34.7077,367.094,19.0502,9.22269,50.8887,0.823289,0,43.114,1.34563,38.9082,370.175,104.087,3.5533,0.370547,0.436692,9.52238,16.5013,4.21275,0,29.9664,3.88903,0.960296,0.882915,56.3595,
532,195.427,452.068,971.691,0.432294,16.2953,40.1314,7.903,70.1121,32.0492,4.9453,0,93.665,4.3424,10.5876,40.6794,131.358,55.5011,224.039,32.5951,382.914,64.0977,2.99011,0,186.773,1.8078,37.332,224.29,218.938,3.5533,0.370525,0.436688,8.64511,16.5013,4.21275,0,40.1962,3.88903,0.960296,0.88287,35.6121,
533,195.427,428.341,1232.68,0.456241,11.2419,83.5915,4.37616,31.9352,23.2323,4.36155,0,75.4843,3.97251,3.23997,84.6856,102.22,42.271,487.573,27.1272,40.0403,37.8038,1.21826,0,179.502,0.648306,15.6945,491.497,78.907,3.5533,0.370525,0.436688,17.158,16.5013,3.39491,0,33.1237,3.18401,0.960292,0.88287,88.2439,
534,195.427,396.221,1144.07,0.493226,10.3748,73.6379,5.78151,30.369,19.1857,4.54319,0,50.1174,4.19887,1.96467,74.4704,121.578,45.7431,429.573,35.8973,3.5204,20.9385,2.22123,0,49.5231,2.48098,6.95904,431.23,202.493,3.5533,0.370525,0.436682,6.33687,16.5013,4.21275,0,31.4309,3.88903,0.960289,0.88287,88.2439,
535,195.426,376.273,952.877,0.519375,17.2565,39.3364,7.99764,30.4805,27.4379,4.69463,0,69.609,4.09979,7.23267,39.9901,128.137,69.4683,311.251,39.9853,4.05926,56.7453,2.83493,0,145.066,1.13587,32.4689,315.857,212.199,3.55532,0.370525,0.436682,0.679906,16.5013,4.21275,0,32.9574,3.88903,0.960289,0.88287,88.2436,
536,195.426,453.894,1179.97,0.430555,12.4945,82.3054,5.30177,36.1289,24.3715,4.66812,0,66.566,4.26021,3.24695,82.9612,131.589,49.6395,404.977,22.065,60.5635,43.0367,2.53681,0,123.997,1.69634,18.5691,398.655,219.415,3.55541,0.370525,0.436682,1.79499,16.5012,0.687861,0,31.4624,3.88903,0.960289,0.88287,88.2435,
537,195.426,667.703,1624.11,0.292685,29.1174,128.195,7.45031,30.0531,28.972,5.59322,0,93.8064,4.44716,6.85692,129.076,204.135,91.3986,527.492,26.5979,11.3583,48.3884,5.07907,0,202.243,2.13075,24.7517,520.172,419.567,3.55541,0.370525,0.436682,3.40631,16.5012,3.30313,0,31.8966,3.29614,0.960289,0.88287,88.2435,
538,195.426,547.236,1418.57,0.357116,14.4933,93.0389,6.53299,34.5189,27.3151,5.13111,0,101.46,4.18649,4.95874,93.8554,161.745,52.1901,466.633,31.3198,34.3576,51.9785,4.05444,0,230.779,1.68592,20.5736,468.589,321.092,3.55541,0.370525,0.436682,7.9445,16.5012,4.07863,0,45.4063,3.10599,0.960289,0.88287,88.2435,
539,195.426,310.908,655.629,0.628566,9.00062,21.5027,3.49638,33.7203,23.4508,4.85799,0,52.1305,4.13172,4.85075,22.1017,131.665,29.2268,204.157,18.2601,28.958,39.7898,3.46264,0,68.224,1.47135,23.6,202.91,248.782,3.55415,0.370525,0.436682,11.1731,16.5012,4.21275,0,28.3869,2.90023,0.960289,0.88287,88.2435,
540,195.426,367.239,783.227,0.53215,13.3443,25.3551,6.95948,32.9453,27.2745,4.82172,0,88.3669,4.25982,8.81977,25.8563,129.236,47.7465,174.857,33.7893,14.7231,51.3931,3.02406,0,195.17,2.76723,38.3618,174.656,226.158,3.55415,0.370525,0.436682,10.0209,16.5013,3.07807,0,40.338,1.28165,0.960289,0.88287,88.2436,
541,195.426,462.233,1323.09,0.422787,15.1734,85.0794,4.35237,30.6034,22.3798,4.62408,0,83.6552,4.26099,3.2217,85.9135,122.969,62.5638,436.708,22.5411,4.61048,33.3042,2.28959,0,194.54,2.69473,16.602,432.264,207.264,3.55415,0.370525,0.436682,8.01657,16.5013,4.21275,0,41.0021,2.02871,0.960289,0.88287,32.6009,
542,195.426,404.214,976.929,0.483472,15.3736,45.9802,8.30435,32.8594,23.3684,4.73966,0,93.8566,4.3115,6.6753,46.5416,122.204,54.5066,267.047,37.8991,13.3123,36.3082,2.22947,0,224.449,2.58393,25.5896,271.213,180.387,3.55289,0.370535,0.436673,8.97355,13.5312,4.21275,0,28.222,3.27068,0.960285,0.882898,88.2436,
543,195.426,294.982,506.526,0.662503,8.98417,12.392,2.60069,31.948,22.2467,4.62836,0,78.6074,3.98941,4.73373,12.8974,111.954,30.2791,78.0863,14.3826,7.70111,36.1453,2.18909,0,178.701,0.948299,20.5842,79.1095,141.09,3.55289,0.370534,0.436673,13.3742,16.5014,4.21275,0,45.4063,3.02144,0.960285,0.882898,88.2436,
544,195.426,291.03,523.073,0.671499,10.2569,4.59041,5.57898,32.7556,23.4331,4.75369,0,75.4679,4.05307,5.99832,5.09077,119.051,39.7494,23.6023,35.2982,14.1495,39.9011,2.95258,0,177.634,0.984513,26.4148,24.4444,194.396,3.55289,0.370534,0.436654,13.1776,16.5014,4.21275,0,40.1063,3.889,0.960283,0.882898,88.2436,
545,195.426,425.427,1134.09,0.459364,7.45369,72.3529,5.27867,33.1954,25.777,4.69545,0,76.5237,4.28043,3.96622,73.1239,118.78,20.218,406.656,22.4133,20.2261,46.7287,2.21842,0,139.616,1.76948,15.4682,399.249,166.086,3.55289,0.370534,0.436654,8.66823,16.5014,4.21275,0,42.6558,3.30415,0.960274,0.882898,88.2436,
546,195.426,400.713,1162.23,0.487697,12.767,66.1209,2.05832,33.2219,21.1648,4.41922,0,81.1365,4.05632,3.1968,67.1857,105.385,46.636,451.244,11.5362,21.9403,30.6031,1.38859,0,209.086,1.25175,13.193,455.085,88.4056,3.55289,0.370534,0.436654,13.2519,14.7019,4.08945,0,32.6581,3.3901,0.960274,0.882885,88.2436,
547,195.426,512.517,1187.86,0.381307,23.9242,78.3383,9.29868,35.9177,24.0481,5.22315,0,78.3946,4.28105,7.8644,78.9776,166.249,82.3842,368.948,42.9606,42.3357,27.8196,4.10245,0,177.061,2.85701,27.766,369.633,314.657,3.55283,0.37053,0.436654,8.81768,16.5013,4.21275,0,28.3742,0.10187,0.960274,0.882885,88.2436,
548,195.426,418.228,971.237,0.467272,18.504,45.6566,6.98144,35.021,26.5536,5.21211,0,69.7813,4.45469,6.21925,46.1768,153.667,69.0396,289.644,30.9555,28.4963,46.8672,4.21433,0,154.504,2.79563,25.3762,289.746,308.749,3.55283,0.37053,0.436626,7.91174,16.5012,4.21275,0,31.3727,3.00899,0.960264,0.882885,88.2436,
549,195.426,368.221,1083.36,0.53073,10.4683,55.5076,1.5509,30.7821,23.209,4.36733,0,71.9738,4.00714,4.60717,56.3204,105.427,46.4225,380.35,8.85799,5.34938,46.2235,1.68371,0,164.137,0.866125,28.0427,382.055,146.9,3.55283,0.37053,0.436626,8.26759,16.5012,4.02837,0,45.4088,3.889,0.960264,0.882885,35.9662,
550,195.426,530.646,1339.5,0.368279,18.948,87.0905,6.47636,30.0589,20.8796,5.11359,0,98.2261,4.26105,4.39646,87.8621,167.334,67.2695,433.974,30.0988,5.58205,23.1865,4.12032,0,221.576,1.74893,18.7947,435.927,330.181,3.55283,0.37053,0.436622,8.24889,13.1052,4.21275,0,45.4088,3.05427,0.960264,0.882885,88.2436,
551,195.426,372.795,968.911,0.524218,13.0404,43.9443,5.81163,31.4257,25.0594,4.81004,0,66.5114,4.08753,4.57773,44.463,129.064,54.8093,292.076,36.9438,8.50774,50.3686,3.05619,0,127.193,1.24372,22.4096,296.269,226.987,3.55268,0.370534,0.436622,7.02618,16.5012,4.21275,0,31.0539,3.31708,0.960264,0.882885,88.2436,
552,195.426,394.941,870.69,0.494824,13.4226,26.7872,3.4327,62.6085,22.1721,4.9812,0,92.2694,4.30236,2.92125,27.3407,134.703,44.9168,240.273,13.1114,238.074,27.8328,3.44506,0,207.223,1.99586,11.1596,240.889,234.547,3.55231,0.370526,0.436614,3.55027,16.5013,4.21275,0,45.4092,2.86592,0.960264,0.882877,88.2439,
553,195.426,274.489,475.52,0.711963,14.8031,2.26023,1.46935,31.2584,19.2544,4.83245,0,59.0383,3.98043,3.15345,2.75663,131.682,64.095,27.9345,7.7552,7.2738,22.6671,3.63511,0,141.661,0.957507,14.2207,26.7745,268.055,3.55231,0.370526,0.436606,11.4767,16.5013,4.21275,0,31.3797,3.54857,0.960258,0.882877,88.2439,
554,195.426,459.109,1289.12,0.425664,14.6005,89.0438,5.86633,31.1154,23.9543,4.47537,0,77.7784,4.10595,4.90288,90.2045,113.061,50.3529,506.848,30.2062,5.39872,43.1516,1.81304,0,195.63,1.16902,22.6762,511.019,120.75,3.55231,0.370526,0.436605,5.01585,16.501,3.44411,0,23.4457,3.88899,0.960258,0.882877,88.2439,
555,195.426,497.239,1310.51,0.393022,15.8774,86.2989,7.30515,30.2482,30.3045,4.69231,0,96.7257,4.65118,5.29727,87.0837,128.755,54.6019,413.798,32.9736,5.2337,59.61,2.78219,0,242.838,3.78957,22.5069,415.822,214.643,3.54997,0.370526,0.436605,0.677889,16.501,2.5521,0,31.1155,3.88899,0.960258,0.882877,37.7435,
556,195.426,357.726,773.853,0.546301,19.8836,23.7955,5.23183,35.2928,28.434,4.74386,0,78.7516,4.19302,6.0037,24.3751,127.021,74.0919,190.472,31.1122,38.1344,63.5094,3.00402,0,196.47,2.49551,28.1352,191.133,224.839,3.54997,0.370526,0.436605,11.5051,10.877,2.63105,0,31.3189,1.02012,0.960258,0.882877,88.2439,
557,195.426,485.895,1396.87,0.402198,13.6739,85.7189,2.555,48.6047,23.6838,4.63546,0,88.6801,4.04534,4.75577,86.8513,122.691,49.7514,494.443,15.487,172.688,36.2007,2.26701,0,219.736,1.14957,22.3821,491.47,179.403,3.54997,0.370526,0.436605,8.40216,16.501,2.66521,0,32.4758,3.12388,0.960258,0.882877,88.244,
558,195.426,388.728,1117.26,0.502731,10.0558,66.1185,4.78515,31.1746,22.0709,4.26322,0,77.9192,4.32434,4.19952,66.9751,96.8421,35.8753,410.41,28.2284,18.897,32.568,0.893126,0,199.43,2.76411,16.7628,415.101,56.3469,3.54997,0.370526,0.436594,2.71667,16.5011,1.3776,0,28.219,3.88899,0.96025,0.882866,52.4008,
559,195.426,1469.38,9479.04,0.132999,10.3687,104.77,5.8245,963.572,26.8603,4.81161,0,104.126,4.20732,2.96903,105.851,136.02,28.9405,527.072,22.589,9293.42,53.035,2.6765,0,241.934,1.55487,8.65057,524.296,202.627,3.54997,0.370524,0.436573,8.91053,12.7523,4.21274,0,29.877,3.88899,0.96024,0.882862,88.244,
560,195.426,373.396,1034,0.523374,13.3401,46.6738,8.89257,34.5817,22.3832,4.67263,0,66.1712,4.49414,3.44161,47.1799,121.565,59.2244,298.667,44.1357,925.166,38.7301,2.56796,0,140.825,3.44471,16.8726,304.668,210.134,3.54997,0.370524,0.436573,6.24649,16.5011,4.21274,0,29.0125,3.88899,0.96024,0.882862,43.6327,
561,195.426,435.641,1170.51,0.448594,13.7,73.7077,4.7329,31.9074,24.5329,4.66085,0,73.0521,4.13835,5.52087,74.5424,125.146,48.3779,418.463,23.4078,13.9522,42.4258,2.14517,0,168.578,1.40808,23.5861,418.134,191.802,3.54997,0.370524,0.436573,7.75297,16.5011,4.21274,0,30.05,3.88899,0.96024,0.882862,88.244,
562,195.426,437.106,1020.66,0.44709,19.3157,65.5332,5.23373,40.5811,22.8638,4.81355,0,79.0999,4.30561,5.27062,66.3639,123.725,63.0589,374.084,24.9888,55.2884,33.5887,2.44174,0,179.473,2.02328,20.6991,377.531,152.912,3.55141,0.37052,0.419989,11.8536,16.5011,4.21274,0,30.9705,3.01432,0.960226,0.882851,88.2439,
563,195.426,359.524,883.418,0.543568,10.9925,32.125,8.13696,31.9957,25.5232,4.5423,0,89.1707,4.14585,6.3986,32.7524,113.741,41.9313,219.246,39.1663,14.046,48.0665,2.02304,0,220.898,1.28803,29.7603,222.334,135.578,3.55119,0.37052,0.43655,15.2737,16.5011,4.17907,0,45.4107,3.88899,0.960226,0.882851,88.2439,
564,195.426,474.811,1375.05,0.411586,14.4436,93.8745,6.07919,30.3198,21.1394,4.55875,0,72.2376,4.14243,5.33453,94.9626,127.719,58.2719,477.102,31.8514,3.57063,35.0201,2.28578,0,166.289,1.25621,29.4854,481.671,214.747,3.55119,0.37052,0.43655,7.85508,16.0823,0.89421,0,22.1247,3.889,0.960226,0.882851,88.2439,
565,195.426,536.896,1473.16,0.363992,17.7068,100.996,5.23963,38.333,26.7605,4.95038,0,85.89,4.1893,5.23074,102.103,145.497,59.3718,508.543,23.8878,79.9976,55.901,3.55309,0,212.757,1.34227,30.1337,510.904,255.328,3.55119,0.37052,0.43655,9.10397,16.5013,4.21275,0,30.8532,3.889,0.960226,0.882851,88.2439,
566,195.426,299.239,884.829,0.653076,9.4997,33.7757,0.657413,31.4612,20.3483,4.36585,0,59.1264,3.89263,1.9424,34.5988,99.5706,45.1441,330.732,5.02509,9.21574,28.6479,1.45508,0,138.956,0.281419,10.0499,333.858,92.6702,3.55119,0.37052,0.43655,20.0651,16.5013,4.21275,0,31.3366,3.24383,0.960226,0.882851,88.2439,
567,195.426,344.986,807.008,0.566475,11.7929,30.5729,3.13823,36.5631,27.428,4.52637,0,85.2415,4.15565,6.19454,31.1354,104.237,39.334,268.936,13.0433,44.9069,55.1351,1.46083,0,203.849,1.44042,25.4539,269.895,79.8922,3.55037,0.37052,0.43655,5.42617,16.5013,4.21275,0,45.4116,3.889,0.960226,0.882851,88.2439,
568,195.426,344.501,1052.34,0.567271,7.22481,53.1535,3.21311,30.5143,18.2483,4.42056,0,58.2673,4.07447,2.02556,53.9159,109.443,33.9787,379.055,19.8551,6.7837,16.9223,1.78839,0,96.6272,1.32775,8.50668,381.244,161.635,3.55037,0.37052,0.43655,7.35296,16.5013,4.21275,0,45.4116,3.889,0.960226,0.882851,88.2441,
569,195.426,356.656,1054.73,0.547939,8.18963,54.8768,2.18089,32.7374,23.9151,4.51078,0,54.1183,3.9804,3.56539,55.6567,112.925,28.88,388.551,13.205,21.8523,44.2988,2.30989,0,58.499,0.754639,16.1511,390.802,172.33,3.55037,0.370526,0.436556,7.40849,16.5016,2.20709,0,45.4116,3.05063,0.960226,0.882858,88.2441,
570,195.426,434.292,1112.2,0.449986,11.3513,63.6081,4.98247,32.3726,27.8602,4.4863,0,99.8591,4.08497,7.73396,64.5262,113.427,35.4555,381.335,25.0004,11.8112,51.9892,1.44447,0,248.458,1.13883,31.2852,384.423,121.484,3.55037,0.370526,0.436556,14.1853,16.5016,1.23232,0,33.0687,3.03124,0.960226,0.882858,88.2441,
571,195.426,313.624,713.796,0.623121,10.5765,32.7916,3.73062,31.0226,19.7485,4.49349,0,58.2966,4.1027,2.96784,33.3088,112.585,46.0352,230.86,20.3532,5.08543,28.3436,2.09669,0,104.671,1.21653,14.4988,232.48,154.698,3.55037,0.370526,0.436556,8.67338,16.2255,2.47351,0,38.5393,3.889,0.960226,0.882858,88.2441,
572,195.426,337.874,587.757,0.578398,17.4009,22.2751,6.05783,33.581,27.8885,4.52533,0,77.2036,4.17934,8.65324,22.7363,113.373,59.9558,108.457,29.1223,23.2382,57.5476,2.34194,0,171.417,1.49591,33.6552,109.865,169.755,3.55028,0.370526,0.436556,13.2255,16.5014,1.03372,0,31.2463,3.06095,0.960226,0.882858,88.2441,
573,195.426,425.673,1276.11,0.459098,11.7595,77.4375,5.76778,30.5724,25.1877,4.26369,0,83.3167,4.23022,5.24783,78.4654,99.4241,42.0102,462.371,28.7059,4.31311,50.3061,0.8038,0,196.118,2.22155,23.3833,465.963,82.4594,3.55028,0.370526,0.436556,5.4565,16.5014,1.06995,0,45.4131,3.88899,0.960226,0.882858,88.2441,
574,195.426,479.338,1303.62,0.407699,16.1503,82.1002,3.77998,30.4673,26.5237,4.7299,0,86.7276,4.09324,6.40417,83.0481,135.314,63.0345,418.472,17.3443,5.16386,47.6676,2.71768,0,236.236,1.36209,31.9902,421.447,223.228,3.55028,0.370533,0.436632,6.4353,16.5016,2.24203,0,31.4189,0.535368,0.960268,0.882889,88.2441,
575,195.426,558.809,1273.6,0.349718,21.5858,75.6871,9.69507,35.4026,33.1806,5.32091,0,129.399,4.693,10.2169,76.2401,157.389,59.5156,350.559,38.572,29.7719,61.3545,3.70659,0,292.427,3.27119,32.1812,350.758,263.824,3.55026,0.370533,0.436632,6.79491,16.5016,3.39291,0,31.1596,0.304463,0.960268,0.882889,88.2444,
576,195.426,668.819,1641.55,0.292195,25.4517,137.565,9.42941,34.0122,28.3141,5.11434,0,115.498,4.57929,5.33628,138.574,164.944,77.3127,579.857,40.3946,47.7182,48.325,3.94498,0,257.196,2.89268,20.8657,580.69,317.62,3.55026,0.370533,0.436632,1.18283,16.5016,4.14283,0,32.5624,3.01761,0.960268,0.882889,19.2244,
577,195.426,384.83,1077.35,0.507823,8.04122,58.1298,3.07722,30.2969,17.1636,4.65798,0,69.5218,4.00125,2.29142,58.6909,128.958,34.6658,338.204,24.0017,5.2909,12.9785,2.59019,0,137.071,0.976627,9.58274,338.36,235.903,3.55005,0.370533,0.436632,8.77061,14.0527,4.21275,0,45.4146,3.88899,0.96027,0.882889,88.2444,
578,195.426,296.981,587.155,0.658041,9.56901,19.422,1.67947,32.1402,27.649,4.50598,0,66.4716,3.93908,6.40557,19.9707,105.228,31.4042,165.383,6.31255,8.17811,54.9291,1.64387,0,123.345,0.312305,27.0978,165.869,96.7235,3.55005,0.370533,0.436622,14.3674,16.5016,4.21275,0,28.2014,3.88899,0.960269,0.882888,88.2444,
579,195.425,374.627,1041.29,0.521654,10.7567,52.1753,5.58685,30.3148,21.0027,4.63523,0,64.1672,4.22067,1.61144,52.6839,127.472,47.3987,298.767,35.8361,4.09431,31.7482,2.5576,0,145.989,2.59067,6.09093,293.958,227.033,3.54993,0.370528,0.436611,8.96316,16.5016,4.21275,0,41.9685,3.88899,0.960264,0.882879,88.2444,
580,195.425,327.99,693.66,0.595828,13.5223,31.1917,6.39854,32.767,24.0475,4.61426,0,61.082,4.24858,4.9789,31.7177,113.421,50.2114,215.237,34.4307,15.8393,42.3069,2.23149,0,101.809,2.36109,22.4968,216.835,150.271,3.54993,0.370528,0.436611,8.26454,16.502,2.47153,0,31.4332,3.88899,0.960264,0.882879,88.2444,
581,195.425,418.935,1143.33,0.466481,7.46398,51.007,6.32628,30.6172,30.7614,4.71498,0,89.3364,4.16112,8.1443,51.5184,134.884,24.4391,296.559,31.6392,4.26104,70.9256,3.03488,0,220.885,1.38642,44.5309,297.649,257.846,3.54974,0.370526,0.436611,8.57588,16.502,1.3964,0,45.4158,3.88899,0.960264,0.882876,88.2444,
582,195.425,435.209,1184.32,0.449038,13.9605,62.1745,6.29398,31.761,23.5912,4.62344,0,97.4875,4.36606,5.56414,62.9635,122.423,50.0324,380.976,30.4105,10.9761,41.4878,2.45504,0,234.63,2.52798,24.9953,381.815,175.226,3.54964,0.370526,0.436611,7.38182,11.8158,0.8292,0,45.4158,3.889,0.960264,0.882876,88.2444,
583,195.425,447.568,1071.75,0.436639,16.0025,59.2827,3.9458,39.0036,28.006,4.99295,0,82.2057,4.16061,7.15596,59.8501,142.962,54.3311,302.87,16.943,59.0793,54.1427,3.3073,0,180.087,1.38144,29.5837,303.608,252.467,3.54964,0.370526,0.436611,7.33314,16.502,4.21276,0,42.7388,3.19672,0.960264,0.882876,88.2444,
584,195.425,411.113,1117.15,0.475357,10.8253,58.8888,4.5292,30.3725,26.6955,4.72892,0,72.1886,4.10713,7.8719,59.6563,131.249,46.3582,324.524,25.3089,8.90182,54.5755,2.83867,0,166.655,1.17078,38.8693,325.707,221.479,3.54964,0.370526,0.436613,7.35939,16.502,4.21276,0,31.3783,3.889,0.960265,0.882876,88.2444,
585,195.425,373.896,990.921,0.522674,17.5677,42.2357,4.01963,40.921,26.3055,4.59327,0,72.2191,4.01653,5.07647,43.1053,113.835,67.3426,331.749,24.51,79.817,50.4318,2.45468,0,166.296,1.05162,26.87,335.956,121.657,3.54936,0.370526,0.436622,20.2493,16.502,0.123072,0,30.6963,2.97128,0.960265,0.882876,88.2441,
586,195.425,431.407,1098.85,0.452996,6.2251,69.5478,7.07373,31.6965,28.0624,4.65954,0,79.7371,4.21026,6.63939,70.2402,123.315,17.2596,394.353,33.4635,12.9091,56.7397,2.20336,0,152.19,1.46237,25.8791,392.62,186.872,3.54935,0.370526,0.436622,8.85305,16.502,4.21276,0,42.6545,3.889,0.960269,0.882876,88.2441,
587,195.425,413.016,1053.8,0.473167,16.6354,53.9853,8.25634,31.5423,28.5112,4.91916,0,63.7343,4.49724,8.18022,54.7592,137.995,59.0518,335.838,36.2165,8.00086,54.1404,3.50796,0,147.155,2.96663,33.0277,338.993,271.101,3.54935,0.370526,0.436622,9.23375,16.502,4.21276,0,28.2297,3.889,0.960269,0.882876,67.282,
588,195.425,323.646,804.231,0.603824,14.3317,33.9639,2.5657,32.7066,20.288,4.63109,0,53.0156,4.0623,2.7132,34.6985,120.67,52.2488,319.59,13.0723,17.5892,24.6299,2.80149,0,81.6636,1.22279,11.6706,321.924,205.726,3.54924,0.370534,0.436629,9.63572,15.2704,1.89059,0,28.4331,3.0789,0.96027,0.882893,88.2441,
