Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
273,195.562,321.31,614.22,0.60864,19.1012,11.1385,6.6428,43.4914,16.9909,4.76632,0,75.2719,4.39265,2.90165,11.6588,124.954,73.168,92.5976,36.707,90.3898,5.70667,3.43494,0,168.822,2.87319,12.7132,92.4581,229.442,3.41479,0.384997,0.436899,10.764,14.7696,0.33381,0,31.37,3.89057,0.960117,0.916222,88.2845,
274,195.561,340.525,806.492,0.574292,17.5741,21.9655,4.98799,39.6107,22.3783,4.74449,0,80.6141,4.16237,4.51028,22.536,117.441,67.6116,195.444,24.9096,64.011,29.9971,2.3819,0,183.977,1.59649,17.0132,195.935,145.763,3.41479,0.385198,0.436899,10.1145,16.2452,4.20642,0,40.5046,1.61034,0.960117,0.917063,88.2845,
275,195.561,427.389,1057.47,0.457571,13.8995,47.7482,9.11624,31.5721,31.1014,5.13128,0,77.9666,4.41891,6.97228,48.4355,151.027,50.4785,282.407,45.4875,12.1105,63.1473,3.85671,0,200.113,2.96401,31.2664,283.409,268.798,3.41479,0.385198,0.436899,6.31502,16.2452,4.20676,0,28.4971,2.32695,0.960458,0.917063,88.2925,
276,195.561,474.598,1327.29,0.412056,14.9805,73.6559,8.08714,42.1942,25.491,4.69439,0,93.123,4.3674,5.48056,74.4551,128.069,58.6489,416.935,38.7025,115.814,53.8351,2.63227,0,218.282,2.64936,29.961,416.939,221.541,3.44761,0.385184,0.436836,8.54086,16.2452,4.20676,0,45.2762,3.89112,0.960458,0.917063,49.2669,
277,195.551,375.78,979.856,0.520386,10.2773,57.1843,2.76965,49.7654,22.1764,4.34072,0,62.8732,3.94973,3.00047,58.0714,101.372,40.2581,394.188,13.5976,187.207,36.1103,1.27027,0,147.7,0.797465,16.491,396.811,76.1619,3.45474,0.384001,0.436836,4.2257,16.2452,0.464999,0,28.4079,0.462215,0.619007,0.914858,88.2916,
278,195.551,366.93,877.224,0.532938,8.91986,33.3038,5.09014,30.6999,20.385,4.79396,0,86.829,4.23599,3.92447,33.8408,134.907,29.7664,194.764,34.9559,19.5201,26.7061,3.72491,0,236.584,2.4058,18.5752,196.017,282.713,3.45474,0.384001,0.436813,10.1069,16.2452,4.20705,0,31.1338,3.50094,0.960458,0.914858,88.2916,
279,195.539,291.572,490.397,0.670638,11.3754,14.4834,4.88657,34.4252,20.7318,4.418,0,76.4888,4.02566,4.6785,15.0235,101.035,41.3079,112.288,28.7274,24.7791,35.3443,1.56172,0,168.896,0.827561,28.7593,113.984,75.4796,3.45474,0.38319,0.436723,16.4554,13.1367,3.02185,0,45.2712,3.89063,0.96074,0.91319,44.0257,
280,195.539,452.862,1178.31,0.431785,16.6691,54.894,8.59927,34.2081,30.1386,5.15882,0,78.1052,4.3367,5.96729,55.4865,159.299,62.6804,314.888,41.3224,34.8056,64.0583,4.14625,0,172.65,1.96064,26.2868,315.498,318.801,3.45474,0.38319,0.436723,10.3218,16.3005,4.20801,0,32.1499,3.11252,0.96074,0.91319,88.2821,
281,195.539,501.471,1247,0.389932,19.8697,82.3969,8.27583,30.76,24.2778,4.97079,0,77.6551,4.81469,6.22396,83.1952,159.031,65.5152,409.3,34.8449,10.0011,46.1625,3.65329,0,172.587,3.94854,26.3982,411.569,301.242,3.45474,0.38319,0.436723,8.01487,12.1628,4.20801,0,28.3374,3.89063,0.96039,0.91319,88.2821,
282,195.539,454.768,1083.1,0.429975,19.3106,60.917,4.99242,39.1849,24.2271,5.02213,0,87.0955,4.09153,7.24198,61.7752,140.91,62.5619,372.217,23.406,62.8389,34.9692,3.18138,0,188.027,1.339,26.2889,376.788,232.168,3.47093,0.38319,0.436723,9.76302,16.3282,4.20869,0,31.0783,3.08787,0.96039,0.91319,88.2821,
