Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
147,21.4659,105.675,254.246,0.203131,0.41576,6.47273,0.96361,0.481738,38.0684,0.314124,6.15309,0.058195,20.8923,20.5875,8.59361,1.16992,1.50451,0.0707607,20.1009,2.50605,0.766797,83.3632,1.04382,20.4527,0.152492,64.2654,64.36,14.9696,1.60072,0.760868,0.0417803,0.00444448,0.192456,0.255631,12.5707,0.00157656,0.0637271,0.00831692,0.00250386,0.00165603,3.60202,0.655734,0.68004,
148,21.4647,40.6926,134.499,0.527485,0.418226,3.38533,0.395833,0.308942,19.9485,0.0864624,2.61315,0.0704231,2.53937,2.52236,6.07781,0.85401,1.47223,0.0564979,23.8204,1.38099,0.372594,52.9684,0.600904,18.1443,0.394863,22.8027,25.0667,3.0874,1.37533,0.741657,0.0243954,0.00429963,0.192259,0.255631,12.5707,0.00157656,0.0639418,0.0083295,0.000617224,0.000838689,5.77243,0.655734,1.36544,
149,21.4647,42.5613,110.99,0.504325,0.423194,2.39794,0.35006,0.330468,16.8195,0.214357,1.34021,0.112381,6.04894,6.02801,6.20623,0.846185,1.44383,0.0396041,11.874,0.803782,0.353083,28.9602,1.03871,6.54233,0.487987,31.0628,31.4343,1.91317,0.899991,0.565495,0.16734,0.00429963,0.19279,0.254632,12.571,0.00157656,0.0636762,0.0083295,0.000617224,0.000838689,5.76673,0.656604,1.21029,
150,21.451,42.4832,147.053,0.504929,0.418612,2.96613,0.356204,0.312484,16.8146,0.0650281,1.07015,0.0212279,6.25335,6.25565,5.87192,0.7337,1.34418,0.0532613,20.7003,1.10487,0.371231,29.2695,0.455763,7.01245,0.103059,43.6887,43.751,0.495726,0.511832,0.184663,0.0433964,0.00429963,0.190232,0.253573,12.5482,0.00157656,0.0614084,0.00838348,0.000617224,0.000838689,5.7697,0.654249,0.25348,
151,21.451,65.6143,180.15,0.326925,0.410105,5.77967,0.594047,0.345287,22.4318,0.198986,4.57954,0.0650276,10.4235,10.1244,8.01923,1.04842,1.59429,0.0691747,25.7925,2.52492,0.354091,57.1067,0.774467,18.5607,0.241816,45.2797,44.0574,10.1824,1.56934,1.09507,0.0390674,0.00429963,0.190232,0.253573,12.5482,0.00161437,0.0614084,0.00838348,0.000617224,0.000838689,5.7697,0.654249,1.36544,
152,21.4449,31.3422,69.1216,0.684217,0.418655,1.98971,0.21252,0.297669,14.7179,0.113823,1.11494,0.0158394,2.17161,2.16992,6.01486,0.75414,1.35057,0.0540335,14.3378,0.235415,0.270371,15.9884,0.774931,8.01695,0.0497731,16.8218,17.0513,2.41333,0.722606,0.265847,0.0449242,0.0038401,0.185439,0.253573,12.5482,0.00161437,0.0598883,0.00838348,0.000617224,0.000838689,5.768,0.652209,0.574005,
153,21.4449,70.3682,222.985,0.304752,0.430042,6.15839,0.521964,1.56686,25.4055,0.279617,3.40111,0.153053,11.9544,11.71,6.4819,0.841315,1.46415,0.0517066,27.5384,1.54236,8.53958,54.6614,1.08651,18.4406,0.609833,57.1871,57.2274,2.99615,0.755333,0.540401,0.28279,0.0038401,0.185035,0.254332,12.5443,0.00157339,0.058341,0.0120392,0.000617224,0.00044115,5.77884,0.649063,1.15548,
154,21.4281,33.2183,82.3207,0.645068,0.426658,1.14926,0.227515,0.303432,16.8846,0.0931614,0.607823,0.049775,2.69868,2.69472,5.96806,0.698716,1.41591,0.00382494,9.37384,0.363487,1.28762,31.1383,0.64108,4.68632,0.271645,19.8359,20.8054,1.17823,0.320287,0.349253,0.425947,0.0038401,0.185439,0.254332,12.5448,0.00161437,0.0598883,0.0120392,0.00183255,0.00044115,5.77145,0.652209,1.36585,
155,21.427,92.7654,282.967,0.23098,0.457666,4.19925,0.940982,0.350249,45.6247,0.155513,4.09465,0.11751,14.0906,13.9834,6.23725,1.0091,1.50455,0.183021,17.943,4.24175,0.466339,134.047,0.738314,18.4207,0.637039,57.2239,58.5697,2.62308,1.53942,0.627851,0.279757,0.0038401,0.185439,0.254332,12.5448,0.00155997,0.0598883,0.0119423,0.00262748,0.0009611,5.76331,0.650546,1.36578,
156,21.427,62.5764,166.515,0.342413,0.431895,4.26237,0.44994,0.41735,31.3892,0.189698,3.65776,0.182511,6.62401,6.61809,6.03601,0.813153,1.50444,0.107035,17.2311,1.33126,0.657903,90.2012,0.753269,15.0703,0.728856,33.4062,33.3904,1.15313,0.671871,0.573154,0.221603,0.00408105,0.186047,0.254332,12.551,0.00155997,0.0598883,0.0119423,0.00262748,0.0009611,5.76331,0.650546,1.36578,
