Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
123,16.0208,99.605,395.643,0.160844,72.9219,4.26526,5.04053,0.351845,0.286842,1.00002,0.571482,5.55017,0.144784,7.21488,0.68466,1.57265,311.467,6.38721,20.8584,1.20957,1.02194,3.97833,0.384425,21.3701,0.511412,36.1962,0.3441,2.09491,10.949,2.47533,0.12936,0.00576985,0.0657405,0.133462,0.314629,0.0140846,0.0219793,0.000798021,0.60301,1.04852,
124,16.0208,58.5124,208.567,0.273801,33.5933,3.92625,1.7298,0.138202,0.308995,0.699993,0.507961,6.19489,0.186214,9.43129,0.661234,1.13429,120.64,7.19058,8.28842,0.697231,1.42766,2.89222,0.110381,31.3275,0.9626,49.0149,0.278104,0.470565,10.9463,2.47533,0.12936,0.00576985,0.0658462,0.133462,0.492017,0.0141462,0.0219793,0.000503927,0.60301,1.09956,
125,16.0185,45.4544,206.003,0.352409,24.6303,2.64173,6.12113,0.0627326,0.365711,0.317865,0.500653,1.395,0.0652933,7.42535,0.604498,1.32416,95.8682,1.65181,41.8391,0.397633,2.08441,1.30484,0.0576328,9.6251,0.29039,52.181,0.0561454,1.57301,10.9463,2.47258,0.129645,0.00578128,0.0657399,0.133462,0.491912,0.0141462,0.0219793,0.000503927,0.598339,1.09937,
126,16.0175,29.2964,92.9119,0.546739,21.2971,2.96231,0.36765,0.0722042,0.0837743,0.311484,0.497202,1.52687,0.0567649,0.333037,0.645873,1.14214,72.406,3.33961,5.86755,0.458386,0.125834,1.23004,0.0327307,10.549,0.230083,6.34406,0.291775,0.337568,10.9495,2.47016,0.129573,0.00578128,0.0657027,0.133481,0.492161,0.0141462,0.0219793,0.000514239,0.602916,1.10003,
127,16.0163,57.4937,167.534,0.278574,31.8131,3.16008,2.17357,0.213542,0.178466,0.410405,0.511881,4.66776,0.0831793,12.4864,0.690823,1.10457,89.0489,3.21774,9.73208,0.849654,0.460244,1.2009,0.194635,19.0328,0.351169,51.0842,0.378764,0.146683,10.9495,2.47533,0.129573,0.00578128,0.065153,0.133776,0.00880242,0.0141558,0.0219793,0.000514239,0.603407,0.454352,
128,16.016,82.7151,238.308,0.193629,49.4176,3.20864,6.34596,0.36108,0.240021,0.756489,0.509562,5.34599,0.19891,14.2575,0.751966,1.32139,143.366,4.13288,23.0548,1.23588,0.605965,2.52589,0.11442,21.4185,0.966383,55.5955,0.578289,1.36629,10.9475,2.48115,0.129602,0.00577413,0.0657027,0.133776,0.381486,0.0140653,0.0219793,0.000514239,0.603087,0.730273,
129,16.0152,46.3993,110.571,0.345159,21.4748,3.43071,6.02425,0.27735,0.236345,0.542784,0.469938,6.45532,0.0917918,5.50988,0.705832,1.18033,44.2704,4.80898,21.1794,1.02381,0.578787,1.61645,0.0937857,23.6532,0.337953,23.6895,0.483791,0.464133,10.9475,1.32995,0.129602,0.00577413,0.065653,0.133593,0.0738116,0.0140653,0.0222803,0.000514239,0.0571494,0.640968,
130,16.0145,56.0366,139.753,0.285786,25.8347,3.05594,5.25502,0.314321,0.243471,0.607726,0.483236,4.74893,0.22955,13.1497,0.738678,1.37532,59.4761,3.31799,21.4548,1.04149,0.606263,1.87645,0.059693,17.0293,1.02121,52.3704,0.486335,1.05612,10.9475,2.34808,0.129602,0.00577413,0.0656341,0.117731,0.176302,0.0140267,0.0222803,0.000514239,0.603327,1.10001,
131,16.0145,71.0839,187.525,0.22529,40.4685,3.542,5.48119,0.279717,0.26696,0.687904,0.48917,5.09677,0.155515,12.5286,0.739087,1.3484,104.238,4.30576,20.6291,1.07122,0.777922,2.11577,0.0918312,18.3695,0.551221,48.4793,0.519514,1.26531,10.9475,2.48047,0.129602,0.00578812,0.065295,0.133593,0.0152689,0.0140955,0.0222254,0.000641865,0.603327,0.652298,
132,16.0144,37.6551,90.7993,0.425291,20.8967,3.11235,2.29625,0.274008,0.200544,0.275459,0.476335,3.3417,0.0960469,4.85726,0.723806,1.10466,40.3491,3.2028,9.92373,1.08483,0.533396,0.884431,0.0709592,14.4647,0.459354,29.023,0.477808,0.315582,10.9474,2.48063,0.129677,0.00578297,0.0651992,0.133593,0.105573,0.0143222,0.0222254,0.000880467,0.603327,0.40097,
