Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,28.9762,435.78,161.917,0.0664926,1.60778,19.7738,347.732,2.05328,29.8306,1.37162,6.58602,25.3024,0.430533,1.09156,1.96297,28.5745,200.821,2.36743,40.4367,0.963924,6.14048,21.8986,0.452778,1.27581,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.29331,0.24052,0.796776,0.104837,0.188898,
1,28.9762,374.954,123.144,0.0772792,1.49903,54.3175,249.42,1.83923,24.6443,1.3146,3.769,36.7539,0.326128,1.06999,1.18058,71.6814,90.9096,1.24599,23.9741,0.597616,3.26962,28.9029,0.177124,0.632883,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.275005,0.24052,0.796776,0.0154866,0.188898,
2,28.9762,373.526,155.763,0.0775747,1.69172,69.6159,229.126,2.11898,22.1355,1.28382,3.20285,42.9365,0.319925,1.09488,1.42455,88.9768,80.9959,1.41811,21.1247,0.549824,2.30657,28.6316,0.144259,0.623598,0.127932,0.129848,23.5943,0.0305215,0.0916775,0.364121,0.0281185,0.796776,0.0154866,0.0436475,
3,28.9762,337.055,123.614,0.0859687,1.45297,72.2112,188.701,2.05867,20.4818,1.14702,3.17964,46.4379,0.246424,1.13801,1.22611,83.3746,77.297,1.303,18.9461,0.502895,2.46105,28.0013,0.165358,0.673714,0.00686755,0.129848,23.5943,0.0305215,0.0916775,0.364121,0.0281185,2.15464,0.0154866,0.124641,
4,28.9762,268.595,67.4628,0.107881,1.39821,44.9992,154.622,2.23184,18.5346,0.992546,3.11578,41.2629,0.212615,1.22468,1.24622,47.583,59.9052,1.13687,18.3765,0.396029,2.65354,25.0556,0.128872,0.657759,0.00686755,0.129848,9.52222,0.0305215,0.0916775,0.251194,0.0281185,2.15464,0.00880291,0.061554,
5,28.9762,248.409,142.778,0.116647,1.86119,51.6156,133.822,2.22447,20.1491,1.06368,3.2788,33.0164,0.242708,1.13533,1.77897,51.9666,86.6125,1.12232,22.9212,0.554083,2.81785,26.3665,0.201461,0.740066,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.251194,0.0281185,0.893354,0.00880291,0.061554,
6,28.9762,236.147,151.389,0.122704,1.70441,49.3811,122.571,2.03077,18.0724,1.42727,3.89305,35.7013,0.239929,1.12581,1.63611,36.7471,139.835,1.20922,17.4142,2.24885,3.25119,24.2131,0.313508,0.752094,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.456472,0.0281185,0.851712,0.00410408,0.061554,
7,28.9762,188.83,69.5299,0.153451,1.54486,48.3101,76.8841,2.02373,24.9674,0.986622,2.66309,30.2476,0.239992,0.962516,1.32271,36.5714,64.1433,1.25725,25.7076,0.494128,2.2714,23.6493,0.197798,0.744894,0.00686755,0.129848,9.39513,0.0305215,0.0916775,0.300333,0.226884,0.851712,0.00410408,0.061554,
8,28.9762,151.587,50.9066,0.191152,1.30087,37.025,52.26,2.04177,26.7225,0.974743,2.27986,27.9081,0.297261,0.777024,1.35867,30.0507,35.4913,1.11787,22.0959,0.338633,2.23896,25.0237,0.177215,0.716535,0.00620587,0.129848,9.39513,0.0305215,0.0916775,0.3964,0.101949,0.893354,0.00880291,0.061554,
9,28.9762,133.349,35.1131,0.217296,1.13968,27.7242,43.0235,1.76435,29.1098,0.945198,1.64176,27.0712,0.304191,0.625189,0.999952,26.0497,27.7755,1.07418,24.6973,0.306918,1.61427,19.2209,0.152211,0.517877,0.00620587,0.129848,8.20788,0.0305215,0.0916775,0.384503,0.124271,0.997892,0.00880291,0.061554,
10,28.9762,120.46,42.3662,0.240546,1.09261,27.7561,34.9046,1.82427,21.5538,0.941372,1.44097,29.9491,0.329066,0.667933,1.06535,25.5705,22.4128,1.09227,22.228,0.319117,1.04819,24.6698,0.12223,0.448512,0.0147207,0.129848,8.20788,0.0305215,0.0916775,0.391083,0.124271,1.23396,0.0576784,0.061554,
11,28.9762,115.732,52.0669,0.250374,0.949563,27.9314,34.9089,1.43434,15.9164,0.851589,1.61829,31.0364,0.369719,0.714979,0.917547,26.5249,22.6958,1.06733,17.7797,0.355889,1.16213,31.3709,0.159501,0.435379,0.0147207,0.129848,6.22138,0.0305215,0.0916775,0.231498,0.125879,1.23396,0.0138461,0.0962466,
12,28.9762,113.83,126.561,0.254557,0.716027,22.0053,46.1557,1.37506,13.1429,1.10974,1.40994,26.9534,0.36569,0.596012,0.70582,20.7634,94.4766,1.01693,13.3686,0.7011,1.41105,24.6703,0.196468,0.423706,0.0147207,0.129848,7.96038,0.0305215,0.0916775,0.231498,0.0398373,1.23396,0.0757566,0.104821,
13,28.9762,94.9156,35.221,0.305284,0.642522,17.9893,36.2427,1.19016,12.7483,0.9564,1.28268,22.9552,0.353244,0.554993,0.538834,15.9153,23.2176,0.985402,15.7137,0.370308,1.14849,16.7129,0.133796,0.321061,0.0147207,0.129848,7.96038,0.0305215,0.0916775,0.360569,0.0398373,1.23396,0.0877405,0.104821,
14,28.9762,100.283,88.8653,0.288943,0.632769,22.7685,43.0043,1.15475,9.65338,0.965483,1.36838,19.7732,0.369889,0.592798,0.808224,34.3594,45.7115,0.984373,8.35608,0.349453,1.1824,17.2553,0.15243,0.428585,0.0147207,0.129848,7.96038,0.0305215,0.0916775,0.360569,0.0398373,1.23396,0.0674444,0.0777581,
15,28.9762,84.8119,32.0879,0.341652,0.54881,15.4168,34.9563,0.951753,9.91874,0.898062,1.45262,19.7931,0.405411,0.470346,0.546614,15.0999,19.2869,0.924349,9.69902,0.315892,1.13691,14.6678,0.147658,0.285152,0.0105923,0.129848,8.121,0.0305215,0.0916775,0.360569,0.0398373,1.23396,0.182175,0.104821,
16,28.9762,76.6159,25.2334,0.3782,0.505448,15.6483,33.4809,0.764533,9.00953,0.902005,1.55205,13.879,0.414357,0.459881,0.504601,15.3552,17.6608,0.780406,7.64197,0.339512,1.08445,12.318,0.135533,0.263166,0.0105923,0.129848,8.121,0.0305215,0.0916775,0.329136,0.0398373,0.988176,0.143808,0.0617192,
17,28.9762,88.8049,116.851,0.32629,0.599692,17.5417,41.6869,0.975527,10.76,0.927102,1.67255,13.7015,0.39935,0.540597,0.620759,39.2151,54.5227,1.00859,13.055,0.374995,1.2228,17.1327,0.145405,0.499049,0.00949178,0.129848,12.5974,0.0305215,0.0916775,0.355418,0.0398373,0.198322,0.103867,0.0410265,
18,28.9762,78.5473,91.1091,0.368901,0.584857,14.7623,39.3175,0.966077,8.03255,0.912588,1.61665,11.4205,0.36397,0.570312,0.531087,14.4437,62.6204,0.878195,8.44197,0.264859,1.88018,13.9915,0.106032,0.495891,0.0105923,0.129848,11.8264,0.0305215,0.0916775,0.355418,0.0398373,0.198322,0.169111,0.0410265,
19,28.9762,78.2361,103.017,0.370368,0.526088,18.2888,37.0926,0.795648,8.86548,0.962505,1.7698,8.99988,0.428903,0.506391,0.540106,34.9349,49.6671,0.768756,9.11357,0.341767,1.53419,14.204,0.144388,0.336188,0.0105923,0.129848,11.3228,0.0305215,0.0916775,0.391083,0.0398373,0.198322,0.231113,0.0353721,
20,28.9762,78.3331,91.2217,0.36991,0.482001,13.5472,39.8429,0.898789,6.3573,0.961065,1.39475,13.9801,0.3983,0.470735,0.389376,12.1308,67.0664,0.787357,5.97546,0.401116,1.13271,16.242,0.126327,0.336839,0.0105923,0.129848,9.25009,0.0305215,0.0916775,0.397554,0.0398373,0.198322,0.126043,0.0353721,
21,28.9762,73.9388,74.497,0.391894,0.408267,20.4711,27.1048,1.15572,8.26538,0.934117,1.50425,13.1942,0.42581,0.475117,0.391083,34.6897,22.949,1.31944,8.1063,0.298112,1.23264,19.2306,0.121408,0.481665,0.0105923,0.129848,11.9573,0.0305215,0.0916775,0.46528,0.0398373,0.198322,0.0312116,0.0353721,
22,28.9762,59.0158,24.2129,0.490989,0.450189,13.5183,26.8686,0.763032,6.76167,0.980831,1.45809,7.3765,0.445629,0.393012,0.368811,15.0963,18.5602,0.747766,4.71767,0.193751,0.980136,7.5829,0.118008,0.254176,0.0105923,0.129848,11.9573,0.0305215,0.0916775,0.474024,0.0743976,0.198322,0.207283,0.0353721,
23,26.9581,97.7659,185.449,0.275742,0.492066,23.7709,49.4572,0.952858,9.74215,0.887421,1.91401,9.5616,0.457863,0.529735,0.633199,63.688,100.257,0.930154,17.845,0.235203,1.8415,15.658,0.151123,0.536193,0.010466,0.129848,11.9573,0.0305215,0.0916775,0.338588,0.157241,0.198322,0.140894,0.0353721,
24,26.9581,55.4228,43.431,0.486409,0.418419,13.5566,21.6244,0.793858,6.74728,0.906843,1.67531,8.82709,0.40761,0.465408,0.439213,21.8654,17.789,0.864643,7.07997,0.242389,1.59879,13.2693,0.0957536,0.325278,0.0105923,0.129848,11.9573,0.0305215,0.0916775,0.474024,0.0274638,0.242014,0.190255,0.0403497,
25,23.4253,68.1792,150.383,0.343584,0.463258,16.3276,32.6139,0.965924,6.78387,1.05283,1.90169,7.19008,0.45516,0.424944,0.579775,45.3961,84.4589,1.05181,11.9966,1.1278,1.9913,9.42429,0.118085,0.401635,0.0105923,0.129848,11.431,0.0305215,0.0916775,0.474024,0.0785502,0.242014,0.232466,0.0403497,
26,23.4253,67.1704,111.088,0.348744,0.394116,19.6407,28.4136,0.964461,6.68961,0.957097,1.94595,7.17783,0.451605,0.535404,0.313092,51.8012,39.347,1.24208,10.7441,0.371103,1.30114,16.8889,0.0723458,0.361,0.0105923,0.129848,11.431,0.0305215,0.0916775,0.474024,0.226679,0.0963539,0.314259,0.0701481,
27,23.4253,68.4636,129.876,0.342157,0.510111,13.9145,38.4568,0.932076,6.84541,0.953417,1.55035,4.43532,0.435178,0.43046,0.673818,33.7689,80.8036,1.04965,16.3802,0.319755,1.00497,11.9396,0.0876743,0.347336,0.0179299,0.129848,11.6151,0.0305215,0.0916775,0.511366,0.101486,0.185667,0.246086,0.0393298,
28,20.0068,75.8968,163.498,0.263605,0.339156,16.9381,41.5673,0.674278,6.14576,0.933838,1.38637,7.08945,0.418304,0.404322,0.311681,43.9138,97.4613,0.915867,15.0777,0.492183,1.02457,14.1675,0.120998,0.322808,0.0179299,0.129848,11.6151,0.0305215,0.0916775,0.414665,0.0895478,0.185667,0.235632,0.0393298,
29,20.0068,63.4462,129.253,0.315335,0.497974,15.8148,31.6092,0.815683,5.52733,0.957434,1.51546,5.84619,0.439466,0.422692,0.927785,40.867,59.11,0.937522,11.4815,0.349477,1.39052,21.5453,0.147118,0.45673,0.0176197,0.129848,11.6151,0.0305215,0.0916775,0.511366,0.12688,0.0854023,0.196254,0.0393298,
30,20.0068,73.1627,129.566,0.273456,0.384405,14.9723,40.3075,0.892279,5.032,1.05419,1.68033,7.9767,0.435426,0.42767,0.361195,31.2697,88.6679,1.10325,7.30271,0.537689,2.1675,14.8406,0.134033,0.407953,0.0179299,0.129848,9.98537,0.0305215,0.0916775,0.511366,0.0590427,0.242014,0.203835,0.0393298,
31,20.0068,64.6711,132.427,0.309362,0.339968,14.5906,33.0871,0.536185,5.2686,0.95023,1.50747,7.65251,0.424801,0.31367,0.436021,36.8818,65.5586,0.860028,8.66864,0.340401,2.72402,27.0922,0.0914874,0.302822,0.0179299,0.129848,11.6151,0.0241768,0.0916775,0.511366,0.0496357,0.242014,0.223016,0.0393298,
32,20.0068,60.2285,111.612,0.332182,0.427561,19.6986,25.2088,0.624675,4.81312,0.966505,1.42516,6.24136,0.403696,0.419046,0.53253,51.8716,31.2423,0.852914,8.62424,0.221279,1.20912,22.4474,0.103644,0.372847,0.0155939,0.129848,9.85812,0.0305215,0.0916775,0.511366,0.0496357,0.0906598,0.0379968,0.0393298,
33,20.0068,73.816,148.127,0.271036,0.429706,18.1462,37.1947,0.632659,7.38763,0.985183,1.7388,6.48976,0.401985,0.409361,0.573355,45.7807,67.8311,1.08554,17.2753,0.417406,2.71489,18.3279,0.0861376,0.41449,0.0151357,0.129848,11.2781,0.0305215,0.0916775,0.511366,0.0496357,0.181227,0.197274,0.0393298,
34,20.0068,84.0639,228.358,0.237995,0.287254,21.1308,46.8166,0.553436,6.17601,0.993131,1.21366,6.06789,0.417608,0.407481,0.307828,59.3267,142.359,0.882954,17.8668,0.297824,1.41213,16.2563,0.0998651,0.529636,0.0121306,0.129848,10.8257,0.0305215,0.0916775,0.511366,0.0284394,0.00316918,0.129701,0.0393298,
35,20.0068,69.0444,168.196,0.289767,0.580574,18.0749,32.0726,0.507321,7.22636,0.94272,1.54425,7.25177,0.447013,0.396846,1.71556,53.9013,65.1393,0.769323,21.8078,0.369647,2.13895,30.7974,0.170391,0.41834,0.0150526,0.129848,10.8257,0.0305215,0.0916775,0.511366,0.0496357,0.242014,0.0909772,0.0393298,
36,18.659,121.393,270.875,0.153708,0.486852,30.6929,61.448,0.738318,8.58647,1.08446,1.51044,15.9813,0.430386,0.433711,0.68966,77.2252,137.642,1.20066,20.1344,0.707006,2.7552,44.2769,0.140585,0.524167,0.0167801,0.129848,10.8257,0.0305215,0.0916775,0.438401,0.0496357,0.109646,0.135127,0.0393298,
37,18.659,47.238,92.6755,0.395,0.375433,13.0707,23.5127,0.499064,4.14584,0.922957,1.0263,2.93434,0.412899,0.337717,0.458472,47.2267,43.6664,0.788362,7.44552,0.269051,1.17631,11.6308,0.0950701,0.273443,0.0199019,0.129848,10.8257,0.0305215,0.0916775,0.438401,0.0496357,0.0532516,0.0119988,0.0393298,
38,18.659,107.384,393.905,0.17376,0.381876,18.021,75.425,0.542514,4.86844,1.15892,1.15217,4.99063,0.461799,0.381616,0.778617,63.8442,308.583,0.982277,11.3882,1.86696,1.98744,14.7931,0.250894,0.351565,0.0173823,0.129848,10.8257,0.0305215,0.0916775,0.438401,0.0496357,0.0532516,0.311058,0.0410008,
39,18.659,66.4656,192.321,0.280732,0.294403,11.6027,41.9632,0.50041,4.41353,0.898098,1.60711,4.3756,0.424305,0.386265,0.284668,38.5179,135.929,0.700368,10.6736,0.492467,4.41898,13.382,0.104863,0.40451,0.0132028,0.472678,10.8257,0.0700807,0.139386,0.438401,0.0496357,0.0532516,0.307243,0.0369746,
40,18.659,81.4501,177.901,0.229085,0.271106,17.2478,45.4535,0.707833,6.2047,0.965668,1.23904,8.53188,0.410532,0.418051,0.223646,40.9084,109.058,1.24117,16.4617,0.567494,2.46999,26.1831,0.141707,0.451855,0.0199019,0.472678,10.2259,0.0700807,0.139386,0.434946,0.0496357,0.0532516,0.12416,0.0410008,
41,18.659,37.799,61.3712,0.493639,0.3224,10.8901,18.0339,0.403488,3.13465,0.895493,0.676509,2.71744,0.395296,0.329706,0.365844,38.1462,14.8583,0.681212,5.29467,0.256535,0.710435,8.21459,0.0532116,0.251496,0.0193286,0.472678,10.629,0.0700807,0.139386,0.438401,0.0496357,0.0532516,0.275418,0.0410008,
42,18.659,42.6582,88.4897,0.437408,0.3101,5.73877,27.8378,0.370642,2.94605,0.875559,0.86946,2.91889,0.422922,0.368074,0.289804,7.09469,73.7417,0.221184,3.09381,0.446575,1.57479,7.86914,0.0941019,0.337323,0.0199019,0.472678,10.3568,0.0700807,0.139386,0.423378,0.0352472,0.0532516,0.286657,0.0410008,
43,17.8187,39.2011,83.8639,0.454545,0.289833,7.3808,23.0239,0.376903,3.08048,0.889244,0.885942,2.52947,0.413195,0.331294,0.487041,12.9787,56.1917,0.329106,6.59582,0.332314,2.08693,6.70986,0.0572983,0.257528,0.0132421,0.472678,10.234,0.0700807,0.139386,0.435991,0.0352472,0.0532516,0.301007,0.0410008,
44,17.8187,53.3639,143.043,0.333909,0.350659,12.7426,26.3732,0.50151,6.16778,0.84966,0.628427,4.955,0.420884,0.374142,0.523479,39.4307,76.1886,0.842354,20.8115,0.198822,0.719073,19.5237,0.10663,0.458043,0.0132421,0.472678,10.234,0.0700807,0.139386,0.437458,0.0352472,0.0532516,0.305638,0.0410008,
45,17.8187,45.6544,99.6829,0.390295,0.484844,11.2437,21.965,0.463231,4.61884,0.815458,0.707227,4.63268,0.382417,0.340929,0.932426,33.8068,38.4588,0.578102,13.5597,0.177468,1.41152,14.5722,0.0879779,0.309876,0.0132421,0.472678,10.234,0.0407464,0.139386,0.438401,0.0248679,0.0898092,0.0167182,0.0410008,
46,17.2637,47.324,103.245,0.364799,0.31483,10.9628,24.039,0.492846,5.29087,0.872916,0.588254,4.03146,0.401473,0.329566,0.305731,32.176,42.5602,0.908712,14.6572,0.318841,1.10095,12.4981,0.055315,0.491991,0.01226,0.199894,10.234,0.0700807,0.139386,0.438401,0.0158833,0.153117,0.223887,0.0410008,
47,17.2637,53.6809,98.6161,0.321599,0.424797,11.9918,28.3332,0.499556,6.03653,0.952042,1.16959,3.50821,0.403884,0.36133,1.00465,28.4717,49.9301,0.910347,15.7662,0.36994,3.20491,9.02711,0.0751338,0.394525,0.0132421,0.199894,10.234,0.0700807,0.139386,0.438401,0.0264442,0.0253674,0.0501629,0.0405065,
48,17.2637,69.6624,173.875,0.24782,0.437929,16.8855,35.6495,0.491734,6.17854,0.97905,0.87052,7.41465,0.400952,0.354068,0.705808,49.9467,89.7433,0.856267,18.1504,0.604349,1.37924,31.2197,0.116078,0.565237,0.0132421,0.199894,10.234,0.0700807,0.139386,0.438401,0.0264442,0.187633,0.0362437,0.0531971,
49,17.2637,63.776,139.067,0.270693,0.459642,9.75343,32.8539,0.604461,7.35035,0.974178,1.24565,9.75018,0.398272,0.38598,0.850174,23.0752,72.0962,1.05678,20.7202,0.45461,2.80782,32.5344,0.0667528,0.500306,0.0132421,0.199894,10.234,0.0926145,0.0652445,0.438401,0.0264442,0.0620315,0.177498,0.0439645,
50,17.2637,45.3521,99.6073,0.38066,0.388954,9.54199,23.121,0.530339,5.3582,0.898208,0.577878,4.17243,0.412024,0.351112,0.637093,34.2452,41.1269,0.93802,18.1248,0.301388,0.958396,14.7181,0.0893961,0.305826,0.0132421,0.199894,10.234,0.0926145,0.139386,0.438401,0.0237907,0.126779,0.203885,0.0439645,
51,17.2637,37.708,98.076,0.457826,0.337701,6.45142,21.6744,0.398876,3.633,0.870835,0.83136,2.82697,0.405005,0.278491,0.37079,16.5739,56.8793,0.461197,10.2588,0.337191,2.82474,11.3675,0.0361457,0.239723,0.0132421,0.199894,10.0281,0.0926145,0.139386,0.438401,0.0140332,0.0474519,0.333975,0.0439645,
52,17.2637,61.5928,163.313,0.280288,0.357009,7.44202,35.725,0.468652,8.08803,0.97555,0.561862,7.23941,0.429553,0.305685,0.373188,11.9466,101.019,0.742254,25.3169,0.732253,0.698557,26.8452,0.156519,0.335008,0.0132421,0.199894,10.0281,0.0926145,0.401601,0.430032,0.0140332,0.200615,0.28974,0.0439645,
53,17.2637,68.6429,181.192,0.251501,0.363484,16.5602,33.4399,0.524831,9.14191,0.94835,0.873582,5.97692,0.428733,0.384967,0.561081,56.699,84.6853,0.640276,26.7006,0.585993,1.75911,21.1877,0.113816,0.51023,0.0122477,0.199894,9.36026,0.0901038,0.611111,0.361227,0.0140332,0.238137,0.151572,0.0439645,
54,15.9845,39.0478,101.124,0.409357,0.256329,8.83427,20.9043,0.42961,2.68632,0.865702,0.668295,3.70343,0.418989,0.28062,0.221207,30.9269,53.6052,0.59498,3.36473,0.338069,0.920808,18.075,0.0380259,0.25593,0.0130197,0.199894,10.0281,0.0926145,0.151472,0.423898,0.0140332,0.121421,0.345546,0.0439645,
55,15.9845,86.6107,234.119,0.184556,0.353817,24.529,39.6686,0.749494,10.56,0.901863,0.787116,8.35902,0.39629,0.305569,0.494689,72.7377,106.799,1.2451,33.5026,0.409077,1.65835,30.9076,0.0912681,0.390419,0.0132421,0.199894,10.0281,0.105291,0.611111,0.414464,0.0140332,0.0139917,0.0768978,0.0439645,
