Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
84,14.5392,38.4951,107.175,0.377689,0.434941,8.21914,20.3266,0.420344,3.49834,1.08707,0.608633,3.24819,0.427084,0.22475,1.12253,37.3587,62.5585,0.80911,11.0726,0.396784,1.21772,15.4522,0.0663038,0.308184,0.0193367,0.278864,9.17283,0.0893034,1.06247,0.463832,0.0622958,0.0127197,0.391504,0.0388803,
85,14.2165,45.0595,123.448,0.315505,0.322912,13.1993,18.5165,0.435356,4.94013,1.03404,0.416537,5.50226,0.416408,0.276052,0.545316,54.149,41.1149,0.916632,13.0246,0.229105,0.511218,21.5127,0.0290085,0.519226,0.0193367,0.278864,9.17283,0.0893034,1.2798,0.463832,0.02268,0.0346358,0.344125,0.0388803,
86,14.2028,80.7228,225.908,0.175946,0.251117,24.9107,36.7049,0.553663,6.39284,1.23184,0.636977,9.32311,0.439278,0.278342,0.235178,78.438,107.375,1.06177,16.8477,0.972031,1.40047,40.1767,0.128807,0.475521,0.0193367,0.317454,9.17283,0.094976,0.828832,0.463832,0.00995451,0.0346358,0.207172,0.0388803,
87,14.2028,77.9527,232.616,0.182198,0.25865,11.2242,48.2672,0.479894,7.19807,1.10916,0.595319,8.07886,0.456647,0.284655,0.25822,43.0071,168.378,1.02883,19.8299,0.794239,1.05212,26.7704,0.259843,0.498186,0.017213,0.317454,9.17283,0.094976,1.19357,0.206425,0.035024,0.0346358,0.264527,0.0388803,
88,14.2028,76.5762,207.752,0.185473,0.462451,22.7057,34.5548,0.513983,7.93976,1.11944,1.05578,7.53458,0.431052,0.258616,0.935392,73.843,84.8085,1.09401,23.9859,0.46455,3.30511,28.368,0.150144,0.464768,0.0193367,0.34031,9.17283,0.0931439,1.2798,0.463832,0.0471842,0.0346358,0.0652652,0.0388803,
89,14.2028,60.497,162.506,0.234769,0.268555,15.2901,29.1158,0.541204,6.40755,1.16709,0.518613,6.52318,0.412649,0.252298,0.274867,56.4787,71.4477,0.85481,18.6254,0.549311,0.848092,23.0214,0.0919116,0.352093,0.02054,0.34031,9.17283,0.094976,1.148,0.463832,0.0564487,0.0346358,0.013566,0.0388803,
90,14.2028,40.2516,115.921,0.352852,0.375667,5.55348,24.7764,0.360353,3.74012,1.04756,0.684906,3.06458,0.414522,0.234004,0.831535,23.5278,76.4524,0.651664,12.1599,0.301784,2.01062,14.2961,0.021982,0.388857,0.0208546,0.34031,9.17283,0.094976,0.785281,0.463832,0.0386562,0.0346358,0.293155,0.0388803,
91,14.1384,42.1854,154.764,0.335148,0.364685,9.83476,20.2522,0.357272,3.44897,1.59178,0.508163,5.21638,0.420018,0.191213,0.711741,49.144,62.5162,0.751773,9.03519,3.59824,1.09157,29.5989,0.0830583,0.217655,0.0171843,0.34031,9.17283,0.094976,1.09413,0.463832,0.0386562,0.0069918,0.0764738,0.0388803,
92,14.1384,62.6538,179.224,0.225658,0.466797,17.5464,29.7767,0.506055,6.51807,1.12359,0.866985,5.12528,0.418775,0.305207,1.12424,63.2932,76.6584,1.10532,20.238,0.627946,2.38918,16.8798,0.0439927,0.448322,0.0171843,0.34031,9.17283,0.0856971,0.852743,0.312963,0.0386562,0.0069918,0.38322,0.0388803,
93,14.1384,55.2903,155.176,0.255711,0.336224,13.9409,29.289,0.376649,4.67167,1.12775,0.718028,4.19111,0.40566,0.23332,0.467012,52.5457,77.7262,0.738385,12.9161,0.361519,2.46562,15.4838,0.0567631,0.276632,0.010353,0.14109,9.13128,0.094976,1.24966,0.463832,0.0386562,0.0069918,0.113154,0.0379988,
