Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
16,5.3096,16.6669,36.2876,0.318572,0.749734,3.87907,5.62659,4.95653,1.45495,3.15791,1.20955,18.7946,23.009,0.937296,0.0346557,2.60754,0.854293,0.0870436,0.527824,
17,5.3096,18.3558,37.2203,0.289259,1.01642,3.65757,4.73114,7.64382,1.30688,2.90283,1.35991,13.2789,23.328,0.782991,0.0346557,2.60754,0.854293,0.0870436,0.294804,
18,5.3096,18.7615,40.2417,0.283006,1.08312,3.34532,4.39294,8.57377,1.3663,4.09546,1.03116,13.0999,26.9336,0.750085,0.00981751,2.63067,0.854293,0.0870436,0.639923,
19,5.00526,21.3074,45.6657,0.234907,0.927513,3.32404,9.72251,5.83452,1.49881,3.1854,1.05842,28.4666,21.7128,1.0784,0.0346557,2.62897,0.913182,0.0870436,0.564616,
20,4.95924,31.294,67.7334,0.158472,1.66169,3.3348,13.2478,11.7209,1.32881,5.13056,1.49505,34.5434,31.5357,0.913573,0.0346557,2.59593,0.922947,0.0870436,0.501282,
21,4.95924,32.4916,61.5132,0.152631,2.24089,3.61057,10.0303,15.5424,1.06747,5.95205,2.14009,21.7125,37.5859,0.579341,0.0346557,2.20297,0.922947,0.0870436,0.331115,
22,4.77159,23.6841,53.2648,0.201468,2.25596,3.42109,8.59886,8.36352,1.04467,6.29032,1.55113,22.5318,25.9964,0.674483,0.0419633,2.61488,0.922947,0.0870436,0.238586,
23,4.77159,30.9978,61.1166,0.153933,1.52524,3.51546,12.4243,12.5308,1.00209,4.45332,2.1335,28.1401,35.1466,0.52479,0.0419633,2.6011,0.924199,0.0870436,0.238414,
24,4.77159,31.2574,57.2361,0.152655,1.84884,3.29029,13.053,12.0416,1.02373,4.38168,1.50006,30.1137,31.5314,0.875892,0.0419633,2.5682,0.924199,0.113687,0.238269,
25,4.66525,40.268,72.2827,0.115855,2.97568,3.52986,14.9332,17.5593,1.26998,7.40838,2.20589,30.8907,41.5625,1.30388,0.0419633,2.50819,0.919644,0.113687,0.40739,
26,4.61491,18.791,41.8977,0.245592,0.748064,2.94693,9.77833,4.41068,0.906982,3.49587,1.31687,27.7004,19.705,0.842658,0.0419633,2.10842,0.917004,0.113687,0.238507,
27,4.61491,35.8755,57.0497,0.128637,2.01394,3.31877,13.9139,15.6543,0.974656,4.91168,1.6262,29.0483,31.8899,0.995787,0.0986245,2.01354,0.901098,0.233038,0.165102,
28,4.61491,23.4262,52.2003,0.196998,1.66829,3.09266,10.5195,7.42844,0.717326,4.98848,1.65315,25.7762,28.822,0.551712,0.0986245,2.58954,0.901098,0.236415,0.212544,
29,4.5803,34.899,69.801,0.131244,2.98776,3.28792,13.1093,14.6437,0.870317,6.92132,1.98267,27.8646,35.6546,1.00421,0.0986245,2.53504,0.901098,0.236415,0.409906,
30,4.5803,31.5974,58.7537,0.144958,1.23401,3.33958,14.3306,11.8217,0.871501,4.08089,1.93092,31.8691,30.2915,0.895457,0.0986245,2.39264,0.917004,0.236415,0.456668,
31,4.50932,30.5027,63.5328,0.147834,1.62685,3.22099,12.1076,12.7258,0.821498,4.51767,1.97455,30.1362,34.059,1.02726,0.0986245,2.5916,0.917004,0.198684,0.395496,
32,4.50932,32.3809,67.6959,0.139259,1.83755,3.61839,11.1875,14.8544,0.882998,5.46541,2.51733,26.0637,40.0749,1.17231,0.0986245,2.58235,0.901495,0.198684,0.26043,
33,4.48816,32.3505,61.3517,0.138735,2.26057,3.45941,13.5819,12.0453,1.00334,5.66003,2.12097,28.286,30.5394,1.20287,0.133373,2.57659,0.899346,0.198684,0.317544,
34,4.48816,43.1928,69.2998,0.10391,3.56939,3.90643,15.6722,18.8336,1.21115,7.45256,2.71096,28.7661,37.6634,1.50262,0.133373,2.28242,0.899346,0.198684,0.238201,
35,4.48082,28.6693,59.9941,0.156293,2.3987,3.1392,11.125,11.2052,0.80132,5.80633,1.73199,25.899,30.5352,1.12006,0.133373,2.58235,0.899346,0.198684,0.372413,
36,4.48082,38.3817,69.8955,0.116744,2.40043,3.60554,14.4192,16.7437,1.21279,5.52271,2.03143,32.2396,38.6298,1.61995,0.133373,2.58235,0.899346,0.198684,0.417664,
37,4.44374,34.3288,73.1586,0.129446,2.67629,3.32467,12.6009,14.9471,0.77978,7.16715,1.90821,28.1411,38.302,0.988297,0.133373,2.60706,0.899346,0.198684,0.348485,
38,4.41978,31.3162,68.8164,0.141134,2.29942,3.04013,12.1362,13.0567,0.783769,6.1035,1.40605,29.5422,35.3116,1.01287,0.133373,2.60706,0.892208,0.215545,0.349184,
39,4.38588,35.3349,63.7637,0.124123,2.62934,3.41363,9.83395,18.7196,0.738428,5.86237,2.19672,23.267,40.8434,0.864106,0.133373,2.60681,0.899346,0.193121,0.258381,
40,4.34677,25.6517,57.842,0.169454,1.94685,3.21681,9.16524,10.3117,1.01112,5.86078,1.84917,24.8609,32.7975,1.44856,0.138555,2.60427,0.899896,0.193121,0.402901,
41,4.34677,34.7742,61.5796,0.125,2.58778,3.12107,16.5854,11.488,0.991857,6.46949,1.36586,33.3538,26.2259,1.24407,0.138555,2.6014,0.915111,0.193121,0.402138,
42,4.34677,31.7772,54.4835,0.136789,1.99969,2.82224,12.6829,13.5878,0.684525,4.68888,0.845983,28.3215,29.5663,0.639483,0.0543776,2.1096,0.915111,0.193121,0.238274,
43,4.31365,26.376,52.024,0.163544,2.33411,3.47802,10.2011,9.6002,0.762596,6.35532,2.1867,25.0238,31.4049,1.0166,0.105876,2.6014,0.910715,0.193121,0.303234,
44,4.30682,32.0104,67.5832,0.134544,2.07431,3.02005,13.7611,12.343,0.811826,5.99814,1.42567,33.3049,33.5024,1.08633,0.100074,1.55626,0.910715,0.193121,0.299662,
45,4.30682,39.9721,77.4528,0.107746,2.86824,3.36669,14.3882,18.2866,1.0623,6.71407,2.08732,28.6277,42.4079,1.4994,0.1423,2.27911,0.909256,0.193121,0.356051,
46,4.30682,53.0066,87.5763,0.0812505,3.99796,3.67082,21.3376,23.1869,0.813297,8.30412,2.41749,39.6182,42.1752,0.885036,0.1423,2.60096,0.849206,0.193121,0.238272,
47,4.30682,27.0779,53.5072,0.159053,1.78384,3.12036,8.41092,13.0183,0.744472,4.19759,1.60225,22.2867,35.8934,1.08938,0.1423,2.58369,0.713101,0.193121,0.338095,
48,4.30682,36.5442,72.0138,0.117852,3.40403,3.38796,10.8423,17.9997,0.910148,7.59083,1.89981,26.9648,42.8004,1.31182,0.146341,2.59893,0.909256,0.193121,0.291354,
49,4.28448,21.7865,54.7849,0.196657,1.32463,3.04321,7.30456,9.44578,0.668353,4.86406,1.85243,22.2881,30.4857,0.908485,0.146341,2.5977,0.909256,0.193121,0.361258,
50,4.28448,22.0896,47.1502,0.193959,1.44424,3.5273,7.44379,9.02161,0.652652,4.54638,2.44073,18.354,25.7065,0.835029,0.131954,2.59892,0.909256,0.178391,0.361258,
51,4.28448,36.289,74.2567,0.118065,2.55827,3.45532,15.3466,14.025,0.903822,6.63,2.08469,34.9958,34.6944,1.3762,0.143948,2.59652,0.909256,0.177794,0.320482,
52,4.28448,39.4653,72.4248,0.108563,2.24939,3.0826,17.0513,16.1762,0.905864,5.58544,1.41088,34.9505,36.0477,1.44743,0.0804324,2.33738,0.898037,0.178391,0.1024,
53,4.28448,29.3194,59.2285,0.146131,2.5774,3.24773,12.3003,10.5925,0.601444,6.30786,1.51979,28.8976,30.7296,0.648836,0.145171,2.58753,0.898037,0.178391,0.238663,
54,4.27264,24.9407,51.5397,0.171312,2.18461,3.05495,7.09156,11.8689,0.740687,6.81158,1.39886,18.9579,30.4608,0.986679,0.145171,2.58753,0.898037,0.178391,0.358739,
55,4.27264,33.7906,64.3566,0.126445,1.96371,3.28134,15.5969,12.1904,0.758283,5.15527,1.73386,32.8411,31.307,1.13112,0.0564847,2.1767,0.898037,0.169704,0.238522,
56,4.27264,32.6778,73.6388,0.13075,2.65008,3.20382,10.8988,15.2811,0.644057,6.87228,1.81703,30.3661,38.8651,0.924833,0.147013,2.32249,0.898037,0.169704,0.351909,
57,4.27264,32.6243,66.0888,0.130965,1.79047,3.24453,15.8278,10.8705,0.890979,5.5571,1.81284,35.6815,30.19,1.44803,0.129933,2.27739,0.898037,0.169704,0.358739,
58,4.26944,29.6888,56.8796,0.143806,1.55983,3.19242,14.1082,9.93514,0.893211,4.71455,1.72044,31.051,23.7754,1.32033,0.0756392,2.52999,0.898037,0.169704,0.354504,
59,4.25777,30.0746,60.2126,0.141574,1.95401,3.14297,11.5117,12.772,0.693941,4.87366,1.78825,26.4662,33.6181,1.05813,0.104362,2.21758,0.898037,0.170245,0.314904,
60,4.25777,29.0124,49.6756,0.146757,2.48548,3.45453,14.3714,7.92641,0.774615,6.26893,2.18853,30.6065,23.1552,1.14243,0.0611357,2.23485,0.898037,0.170245,0.341043,
61,4.25777,48.7945,72.4031,0.0872592,3.76915,3.50735,16.475,23.9388,1.10421,6.8667,1.98993,29.5063,45.7254,1.6814,0.149002,2.31198,0.871066,0.170245,0.342034,
62,4.25777,29.0236,52.9428,0.146701,1.37429,3.27233,13.9039,9.81377,0.659288,4.06747,1.87753,30.959,27.3319,1.03567,0.0825412,2.50424,0.356218,0.170245,0.340667,
63,4.24736,30.8923,71.8936,0.137489,2.46278,3.50362,11.3985,12.7056,0.821782,8.07333,2.307,30.2572,36.0236,1.43511,0.151209,2.61358,0.898037,0.170245,0.351771,
64,4.24736,34.4578,68.4667,0.123263,2.58545,3.10735,14.3747,13.7344,0.655885,6.63256,1.64047,32.8061,32.9704,0.813122,0.122988,2.5001,0.902248,0.153643,0.350763,
65,4.24736,33.1008,64.2009,0.128316,2.19615,3.22735,15.4078,11.4552,0.81431,5.88848,1.8063,32.5098,29.7212,1.1708,0.153693,2.61434,0.902248,0.152161,0.350763,
66,4.23673,31.5503,71.5333,0.134285,2.4942,3.02363,12.8925,12.5108,0.629109,7.07133,1.39042,32.4086,33.4014,0.761561,0.153693,2.61434,0.902248,0.152161,0.34316,
67,4.2356,38.4119,67.8867,0.110268,2.39625,3.49747,16.2635,15.5642,0.690431,6.17967,2.21505,33.6498,39.5793,0.990061,0.153004,2.55011,0.377597,0.152161,0.34316,
68,4.2356,42.2262,76.4131,0.100307,3.16401,3.62473,17.1506,17.1802,1.10658,7.0173,2.2652,35.9001,39.6325,1.58804,0.0808549,2.6145,0.901671,0.152161,0.34316,
69,4.22871,21.8228,50.841,0.193775,2.18474,3.16912,9.70359,6.00392,0.761423,6.4698,1.55704,28.5683,27.3588,1.17615,0.154374,2.6145,0.901671,0.147363,0.34316,
70,4.22201,20.3433,45.3075,0.207538,0.730183,2.84955,8.75912,7.33581,0.668666,2.84366,0.823451,23.104,23.3577,1.11528,0.0778695,2.6145,0.901671,0.139898,0.318591,
71,4.22201,37.1521,76.1276,0.113641,3.16433,3.45584,15.1677,14.5728,0.791421,8.49147,2.13832,34.1762,34.1846,1.25101,0.154554,2.61945,0.900464,0.141364,0.342579,
72,4.22201,22.3914,55.9846,0.188555,1.71731,3.2552,11.4292,5.39646,0.59328,5.8593,1.90683,31.6206,22.5477,0.856033,0.154554,2.61945,0.900464,0.132528,0.342579,
73,4.22201,36.1518,73.6175,0.116786,2.5106,3.45112,10.6978,18.5802,0.912044,6.56361,2.09636,26.8419,42.6219,1.443,0.158449,2.62746,0.900464,0.130556,0.341459,
74,4.21999,23.6649,50.7296,0.178323,1.47503,3.18485,10.8879,7.45071,0.666434,4.06235,1.65702,27.3423,22.8704,0.955715,0.159848,2.63541,0.900464,0.126668,0.341459,
75,4.21478,32.6561,66.5832,0.129066,2.45892,3.23808,14.98,11.3061,0.673048,6.10804,1.96005,33.3024,29.2772,0.994051,0.159848,2.36047,0.893105,0.128363,0.340856,
76,4.21478,30.6577,73.423,0.137479,2.63851,3.20076,10.5777,13.5337,0.707168,7.14612,1.66906,27.4546,38.9179,1.12113,0.159848,2.63541,0.893105,0.128159,0.340856,
77,4.20611,33.5256,64.6584,0.125459,2.87487,3.47724,14.3975,12.2238,0.552265,6.91378,2.03451,31.623,31.1366,0.680031,0.0718092,2.35955,0.892874,0.128159,0.238323,
78,4.20611,27.1273,59.6114,0.155051,1.74423,3.14688,11.1533,10.5391,0.543774,5.31222,1.62471,29.7968,30.2265,0.55651,0.125849,2.64381,0.892874,0.128159,0.338488,
79,4.20611,23.66,55.5296,0.177773,2.19231,3.00397,11.759,6.15093,0.553797,6.77006,1.42217,31.2251,20.8326,0.839298,0.130099,2.20319,0.893105,0.126638,0.238433,
80,4.20583,38.5208,71.7421,0.109183,2.52609,3.53686,18.167,13.4316,0.859207,6.07772,2.10086,35.1515,38.369,1.3371,0.0812783,2.64381,0.893105,0.126638,0.238505,
81,4.20251,24.4574,46.055,0.17183,1.69252,3.23045,8.74881,10.0882,0.697437,4.773,1.54972,24.4103,27.9748,1.10184,0.16013,2.64552,0.901338,0.126638,0.319887,
82,4.20251,40.6685,81.3695,0.103336,2.81423,3.41536,15.7079,17.8962,0.834853,7.11594,1.98746,37.2255,41.4365,1.24677,0.163015,2.14211,0.901338,0.126638,0.336919,
83,4.20201,23.3207,51.1416,0.180184,1.2068,3.15645,10.5294,7.89306,0.535042,4.04468,1.76992,27.9271,26.8653,0.740954,0.16386,2.64958,0.900397,0.126638,0.31098,
84,4.20201,29.747,70.0318,0.141258,2.01844,3.45606,12.1364,11.3866,0.749519,6.35628,2.04088,31.226,35.1469,1.18709,0.125613,2.65181,0.900397,0.124931,0.336913,
85,4.2019,28.4029,51.3049,0.147939,2.25515,3.36925,9.1496,12.8053,0.823519,5.3131,1.80589,20.3199,29.7218,1.38787,0.163665,2.3263,0.901338,0.124841,0.336252,
86,4.19841,40.3655,67.4508,0.10401,2.42411,3.30223,18.7127,14.9621,0.964381,5.4507,1.42265,33.022,30.2882,1.49037,0.140742,2.48102,0.901338,0.124841,0.309642,
87,4.19841,42.1838,70.8821,0.0995266,3.67165,3.5665,15.0461,19.064,0.835567,7.42254,2.02883,30.8281,39.7027,1.23213,0.163665,2.6549,0.901338,0.124841,0.330074,
88,4.19841,27.1164,54.9546,0.154829,1.95266,3.31343,10.3829,10.7513,0.716103,5.37669,1.98161,28.6639,32.7515,1.2047,0.163665,2.64781,0.905952,0.122121,0.326112,
89,4.19841,26.0653,65.1736,0.161073,2.16764,3.08716,10.2523,9.9405,0.617755,6.4364,1.50931,29.0098,32.2636,1.15558,0.130869,2.52374,0.905952,0.122121,0.330011,
90,4.19757,20.9312,52.2542,0.200541,1.37939,2.84971,6.93003,8.94375,0.82832,4.2724,0.689995,20.4195,27.9486,1.51842,0.163755,2.65507,0.908409,0.124382,0.300466,
91,4.19757,37.0734,74.8119,0.113223,2.64657,3.47306,13.1811,17.1385,0.634154,7.33455,2.02382,30.3018,38.7951,1.00209,0.163755,2.65424,0.907903,0.124382,0.330011,
92,4.19681,31.701,60.4101,0.132388,1.50594,3.40892,15.8502,9.84002,1.09588,4.30748,1.94101,33.5505,26.2894,1.72583,0.0919068,2.65524,0.907903,0.12276,0.330011,
93,4.19531,31.7987,68.3955,0.131934,2.29803,2.97204,13.5255,12.2344,0.768691,5.97207,1.1169,33.8069,33.51,1.27657,0.164081,2.65524,0.907903,0.120804,0.330011,
94,4.19531,25.9797,57.4162,0.161484,1.2627,3.17229,13.2449,7.75298,0.546816,4.52357,1.78748,31.9499,23.695,0.775307,0.163908,2.14206,0.90776,0.120804,0.330011,
95,4.1935,20.7494,44.3549,0.202103,2.25689,3.02842,7.69951,7.16029,0.604249,6.08892,1.49781,19.3074,21.4694,1.00459,0.163908,2.31788,0.907726,0.120804,0.329856,
96,4.1935,28.9115,57.9674,0.145046,1.56405,3.15917,11.6597,11.8961,0.632402,4.83337,1.7706,27.631,31.3288,0.948893,0.122628,2.42967,0.907566,0.120804,0.293706,
97,4.19338,20.0321,51.0668,0.209333,1.48945,3.05476,5.22404,9.71221,0.551644,4.9158,1.36758,17.4093,31.4749,0.866458,0.163645,2.65804,0.907566,0.119011,0.329723,
98,4.19153,19.41,49.7993,0.215947,1.29985,2.86041,8.9812,5.63656,0.631939,4.47209,0.84063,26.4962,23.1702,1.1216,0.163645,2.65758,0.907566,0.119011,0.329723,
99,4.19134,37.1342,82.5828,0.11287,2.90426,3.59565,14.493,15.417,0.724244,7.83947,2.63479,36.5808,37.4702,1.20743,0.163645,2.23529,0.907566,0.118387,0.326083,
100,4.19134,35.085,64.151,0.119463,2.59581,3.43102,13.0742,15.2533,0.730658,5.75694,1.88867,27.8332,36.7761,1.12801,0.163832,2.65865,0.907566,0.118387,0.238284,
101,4.19134,47.5168,77.4372,0.0882075,4.37708,3.72343,18.6027,19.9366,0.877073,8.00379,2.28242,31.4905,41.9294,1.04036,0.153908,2.65865,0.907566,0.118044,0.32112,
102,4.19134,28.6504,65.098,0.146292,2.61201,3.2874,7.59075,14.4355,0.724764,7.20614,2.09405,20.4054,40.2708,1.40272,0.163939,2.6614,0.907784,0.118044,0.329676,
103,4.19117,28.3183,51.8397,0.148002,1.06247,2.89461,14.2354,9.31316,0.81262,3.24747,0.941445,29.5898,24.0525,1.31512,0.07386,2.3747,0.907841,0.114543,0.329673,
104,4.19023,36.1502,69.0734,0.115912,3.15864,3.34285,12.4026,16.4797,0.766349,7.60487,1.6384,26.2715,37.3076,1.21931,0.163939,2.6614,0.907841,0.113593,0.329621,
105,4.19023,26.3096,61.8852,0.159266,1.91611,3.23929,7.8086,12.646,0.699657,5.72936,1.97376,20.3672,38.9908,0.950829,0.163939,2.6614,0.907864,0.113593,0.329314,
106,4.18955,28.2937,57.4591,0.148074,1.55822,3.13119,11.6899,11.0026,0.911742,4.36882,1.44853,28.3293,31.9958,2.26825,0.0719783,2.66264,0.907864,0.113593,0.238382,
107,4.18941,45.5308,78.4384,0.0920128,3.2474,3.43043,22.0385,15.8435,0.970955,8.20896,1.7233,39.5683,34.9953,1.37418,0.16047,2.66367,0.907864,0.113593,0.328925,
108,4.18941,47.6524,86.762,0.0879161,5.28746,3.46629,15.9649,21.9843,0.949521,9.80237,2.04934,32.9854,45.6772,1.36634,0.164969,2.26136,0.907864,0.113593,0.328925,
109,4.18941,25.6117,52.3115,0.163574,2.9793,3.3834,8.71194,9.88461,0.652461,7.95284,1.7833,22.1058,27.8587,0.832162,0.164969,2.66385,0.907864,0.113593,0.328925,
110,4.18941,36.0572,69.486,0.116188,2.82149,3.34792,15.0222,14.1204,0.745266,6.39679,1.92184,31.9191,34.0857,1.18677,0.164969,2.6285,0.907761,0.113593,0.239081,
111,4.18941,25.0112,54.1291,0.167501,1.95527,3.23901,11.6366,7.40767,0.772661,5.62847,1.75797,29.7485,22.8394,1.51143,0.151549,2.66448,0.907632,0.114913,0.238305,
112,4.18799,32.1754,69.0015,0.130162,2.87829,2.90768,14.8907,10.7276,0.771123,7.87844,1.13439,35.2545,29.7199,1.56204,0.164969,1.82186,0.907616,0.114924,0.328447,
113,4.18799,28.1156,60.2531,0.148956,2.62008,3.13663,8.08983,13.7406,0.528437,6.87206,1.52326,22.8352,38.6447,0.674029,0.152773,2.09365,0.907616,0.114924,0.294361,
114,4.18756,40.1619,73.9567,0.104267,2.64947,3.44613,13.7828,19.2884,0.995097,5.49505,2.01821,30.3408,40.674,1.54013,0.166715,2.37444,0.907215,0.115017,0.328447,
115,4.18756,34.0541,68.0903,0.122968,2.67524,3.17487,12.4855,15.0859,0.632594,7.41771,1.48657,29.048,36.611,0.865317,0.166822,2.6659,0.907616,0.115017,0.328244,
116,4.1875,27.8903,61.4117,0.150142,3.10441,3.18869,7.25256,13.7936,0.550956,7.10702,1.59376,18.7688,38.9163,0.65486,0.166822,2.51706,0.907616,0.115017,0.303072,
117,4.1875,34.1839,73.0293,0.122499,3.02546,3.16103,14.4405,12.5931,0.963832,7.03732,1.54707,32.8145,35.6905,1.6918,0.16673,2.66603,0.907381,0.115017,0.328244,
118,4.18633,24.5212,49.8877,0.170723,1.95995,3.07134,11.3136,7.77891,0.397357,5.66427,1.56755,26.691,23.6873,0.465555,0.166362,2.48499,0.907381,0.11435,0.238118,
119,4.18633,39.4218,66.862,0.106193,3.1277,3.83904,15.4664,16.1183,0.87033,6.59282,2.40779,30.4192,34.0227,1.53169,0.124847,2.21594,0.907381,0.11435,0.0280694,
120,4.18592,35.0183,60.988,0.119535,2.22667,3.34497,12.8533,15.8947,0.698728,5.56948,2.02057,29.5262,35.811,1.25876,0.111058,2.46214,0.77209,0.112665,0.304535,
121,4.18592,29.9937,58.8566,0.13956,1.56809,3.29367,10.0362,14.3398,0.756033,4.40718,1.64827,24.8907,37.7176,1.17558,0.148135,2.50689,0.907203,0.112665,0.328244,
122,4.18592,18.8919,45.1395,0.221572,0.948344,3.09909,8.08127,6.34044,0.422778,4.25707,1.34113,23.2035,23.8965,0.568971,0.144879,2.66618,0.906981,0.112665,0.277673,
123,4.18571,26.6626,55.7296,0.156988,1.23931,3.2188,12.3127,9.28906,0.602746,3.2325,1.65563,27.3941,26.8293,0.694967,0.166391,2.16887,0.906981,0.112665,0.328407,
124,4.18571,34.6976,70.5782,0.120634,2.32853,3.53426,12.1909,15.9315,0.712412,5.80912,2.15615,28.8796,37.4115,1.06461,0.166391,2.66612,0.906833,0.112665,0.319663,
125,4.18509,15.8959,40.4813,0.263281,1.02906,2.97453,7.69157,3.51809,0.682676,3.8097,1.24881,25.2337,17.5828,1.2031,0.0962424,2.60144,0.906981,0.112665,0.328387,
126,4.18487,22.8959,48.0619,0.182778,1.40364,3.21358,5.97256,11.5596,0.746555,3.35435,1.57764,16.7839,30.3705,1.18825,0.0596181,2.59497,0.394492,0.112095,0.31612,
127,4.18481,29.5324,65.5602,0.141702,3.09001,3.43317,10.7474,11.638,0.62383,7.2007,2.02697,28.9523,30.8559,0.944098,0.165897,2.61929,0.907433,0.112095,0.328235,
128,4.18481,48.4593,77.1429,0.0863573,3.12505,3.42502,20.3216,20.5598,1.02779,6.44317,1.83572,36.5104,43.0269,1.5039,0.115172,2.27811,0.907433,0.112095,0.328235,
129,4.18481,49.0822,71.4271,0.0852613,3.0557,3.49015,22.6371,19.1102,0.789024,6.70222,1.88436,37.454,32.7096,1.12829,0.154224,2.49079,0.835521,0.112095,0.328235,
130,4.18429,46.9768,71.6425,0.0890714,4.56763,3.69532,15.066,22.698,0.949808,9.65288,2.09563,27.7851,43.6501,1.55704,0.153037,2.65439,0.316882,0.112095,0.307993,
131,4.18429,33.1633,63.0048,0.126172,3.33906,3.41723,12.3453,13.2918,0.769925,7.13936,2.00662,28.1992,35.3782,1.20296,0.13872,1.96998,0.907755,0.111972,0.279956,
132,4.18411,25.0192,56.4617,0.167236,1.56518,3.13478,11.7942,7.82008,0.704982,5.66304,1.64134,31.412,27.6322,1.1942,0.166544,2.66688,0.907755,0.111399,0.328235,
133,4.18382,28.2546,59.7537,0.148076,2.01647,3.08275,11.1602,11.2993,0.695984,5.40624,1.41857,26.6138,30.0233,1.14879,0.133362,2.39385,0.907755,0.111054,0.328206,
134,4.18353,21.041,53.3538,0.198828,1.23157,2.97731,8.89055,7.45144,0.490131,4.21002,1.41431,26.3643,26.7595,0.719849,0.166544,2.66731,0.907763,0.111053,0.328128,
