Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
10,54.4847,305.436,119.095,0.178383,134.63,2.13096,12.9533,0.846045,3.97411,0.165644,32.6256,15.0686,1.63076,99.0918,0.672183,1.64739,41.0142,1.24831,14.1833,0.416342,2.03363,0.143552,19.2152,26.8677,1.45024,92.4235,0.504747,0.875388,23.5943,0.0305215,0.0916775,0.226785,0.627068,0.0211795,0.314059,7.86971,0.0232788,0.613422,0.0744909,0.491646,
11,54.4847,290.965,105.652,0.187255,126.837,1.90468,10.1955,1.01448,4.1265,0.138777,25.2256,11.9864,1.6528,105.437,0.745495,1.70052,31.8534,1.18174,8.40899,0.436516,2.38194,0.0883631,17.4469,4.12525,1.26056,97.6315,0.548561,0.864804,23.5943,0.0305215,0.0916775,0.272214,0.383193,0.00946554,0.198797,6.21829,0.169015,0.613422,0.0194087,0.491646,
12,54.4847,284.053,105.666,0.191812,118.528,1.80424,8.99421,0.925172,3.5444,0.152402,28.6943,11.5414,1.70484,105.833,0.699024,1.63107,39.4445,1.14641,6.77617,0.387954,2.03797,0.100192,15.8774,3.00099,1.40543,114.24,0.533382,0.737713,12.9679,0.0305215,0.0916775,0.26389,0.433953,0.0123132,0.314059,3.79901,0.0794019,0.613422,0.0574721,0.491646,
13,54.4847,248.381,53.6952,0.21936,117.993,2.15885,9.30023,0.922805,3.38722,0.1398,28.4682,12.2862,1.7673,69.5557,0.64718,1.75418,35.159,1.07356,7.39598,0.381033,2.06311,0.0915024,15.3325,3.04317,1.52521,66.4222,0.475981,0.8082,13.8749,0.0305215,0.0916775,0.26389,0.264343,0.0129716,0.314059,8.44502,0.169015,0.613422,0.101419,0.0441354,
14,54.4847,298.845,208.529,0.182318,125.378,1.90349,11.4176,1.07592,3.53286,0.153943,26.7839,16.2567,1.4674,108.438,0.662557,1.77452,34.361,1.06946,17.0916,0.486993,2.04295,0.104573,13.1284,31.9319,1.18144,159.616,0.605045,0.901704,23.5943,0.0305215,0.0916775,0.26389,0.119086,0.00898343,0.314059,6.57765,0.238055,0.613422,0.0859431,0.0441354,
15,54.4847,255.779,96.7643,0.213015,122.506,1.75663,8.72516,0.963523,4.12465,0.138845,22.7581,12.1689,2.04062,78.2229,0.670507,1.7028,37.1171,0.98182,6.99342,0.420631,2.39666,0.0888012,12.3073,5.06225,1.79555,86.145,0.479294,0.712096,23.5943,0.0305215,0.0916775,0.272214,0.264343,0.0105271,0.314059,8.44502,0.238055,0.613422,0.0594271,0.0441354,
16,54.4847,236.332,77.8188,0.230543,110.228,1.78227,8.64081,1.0025,3.34655,0.111829,23.5021,12.5036,1.74269,71.0086,0.658299,1.80524,33.0743,0.984796,6.64201,0.356796,2.26891,0.0898247,13.1144,3.13809,1.3648,77.3645,0.467327,0.79228,23.5943,0.0305215,0.0916775,0.39871,0.123402,0.00873767,0.314059,7.1091,0.202407,0.613422,0.0906115,0.0441354,
17,54.4847,237.211,153.949,0.229689,117.942,1.74876,8.58593,0.928821,3.49676,0.112495,23.4685,12.9419,2.22601,63.4667,0.53896,1.75404,78.1224,0.934403,6.72195,0.316481,1.85674,0.190339,21.8372,3.18884,1.5342,73.0766,0.503905,0.800762,23.5943,0.0305215,0.0916775,0.348405,0.123402,0.0055749,0.314059,8.44502,0.202407,0.613422,0.0906115,0.491646,
18,54.4847,204.691,55.7979,0.26618,101.135,1.84905,6.21824,0.942708,3.58546,0.082736,17.1337,13.2348,2.21212,56.141,0.487488,1.66886,24.2535,1.03493,6.01793,0.309045,1.75158,0.0755525,13.2856,2.85457,1.38565,55.8426,0.380619,0.691316,23.5943,0.0305215,0.0916775,0.348405,0.123402,0.00398443,0.314059,8.51417,0.0289816,0.613422,0.0656776,0.491646,
19,54.4847,213.51,79.6649,0.255186,101.402,1.75685,6.77753,0.919669,3.30809,0.0740124,16.8241,13.2649,1.95895,65.2614,0.394926,1.56812,22.15,0.89291,5.06183,0.329677,1.60904,0.0695434,11.2779,2.57755,1.31327,74.0276,0.314321,0.635187,23.5943,0.0305215,0.0916775,0.348405,0.123402,0.00565876,0.314059,9.81497,0.202407,0.613422,0.0583211,0.491646,
20,54.4847,193.212,63.0725,0.281994,91.5158,1.48969,5.8895,0.869679,2.88796,0.0684894,18.4592,14.4178,2.03267,53.5515,0.515907,1.51389,22.1761,0.745358,5.28387,0.332136,1.7313,0.0795876,13.1386,3.0446,1.21101,66.1673,0.406253,0.666571,23.5943,0.0305215,0.0916775,0.31851,0.123402,0.00456005,0.480259,10.418,0.081033,0.49274,0.0631521,0.301476,
21,54.4847,185.019,51.4545,0.294481,89.9909,1.45565,5.74932,0.851119,2.34784,0.0562187,19.4129,14.3944,1.69484,47.028,0.491038,1.54723,16.7994,0.712753,4.99341,0.359158,1.43668,0.0651151,11.42,2.28941,1.05539,49.353,0.378352,0.632588,23.5943,0.0305215,0.0916775,0.153969,0.14429,0.00182668,0.900047,10.418,0.081033,0.49274,0.0688353,0.491646,
22,54.4847,213.435,197.918,0.255276,94.4469,1.42223,5.39026,0.997432,2.03725,0.080351,21.7751,14.916,1.87208,68.314,0.584175,1.59884,53.4896,0.846339,4.4651,0.468851,1.34172,0.141942,15.8025,3.42529,1.11051,144.83,0.430517,0.537689,9.54596,0.0305215,0.0916775,0.267596,0.0847125,0.00456005,0.666325,10.418,0.081033,0.49274,0.0817494,0.838917,
23,54.4847,179.409,139.984,0.30369,89.2922,1.34583,6.5403,0.946626,2.1655,0.0681596,16.0727,15.2975,1.83481,43.5852,0.520445,1.73986,30.3296,0.872672,7.72716,0.344389,1.22758,0.0853528,14.1414,2.8601,1.14719,105.213,0.431003,0.572228,23.5943,0.0305215,0.0916775,0.348405,0.192739,0.00160465,0.390508,10.418,0.0211668,0.49274,0.0349059,0.838917,
24,54.4847,167.602,53.7538,0.325084,80.6159,1.31875,5.01204,0.817338,2.10197,0.0838976,14.323,16.1489,2.21229,42.8426,0.538903,1.58619,20.8841,0.784498,4.44525,0.260685,1.457,0.0985323,11.5941,5.18677,1.33245,57.7271,0.434785,0.529514,11.474,0.0305215,0.0916775,0.348405,0.120276,0.00456005,0.390508,10.0673,0.081033,0.49274,0.0453022,0.636056,
25,54.4847,173.137,66.5644,0.314691,79.5426,1.59944,4.44098,0.823257,1.92099,0.0906842,13.0053,15.8181,2.31078,51.6307,0.539049,1.41567,17.8935,0.846161,4.00936,0.248304,1.23569,0.0862014,10.8178,3.09171,1.49132,69.7634,0.405505,0.555672,23.5943,0.0305215,0.0916775,0.348405,0.231137,0.00456005,0.390508,12.4686,0.081033,0.49274,0.0453022,0.584239,
26,54.4847,176.826,205.594,0.308127,90.5237,1.72121,5.95737,0.84086,2.22399,0.0914514,11.9943,15.5732,2.46412,43.4126,0.511573,1.51146,61.1904,1.10505,14.9417,0.400276,1.50065,0.13855,17.0871,2.9837,1.55025,119.679,0.451315,0.844513,23.5943,0.0305215,0.0916775,0.348405,0.0491818,0.00395845,0.390508,11.8313,0.0474691,0.49274,0.0453022,0.471424,
27,54.4847,156.65,143.883,0.347811,83.6828,1.52536,3.86352,0.842001,2.57195,0.0723681,9.38971,16.041,2.67871,34.2198,0.460425,1.30278,16.0269,1.02187,4.87583,0.280543,1.5227,0.0857797,10.2263,5.54043,1.66261,126.911,0.383403,0.499289,23.5943,0.0305215,0.0916775,0.271204,0.156768,0.00305371,0.390508,11.6456,0.0559037,0.49274,0.0213255,0.263083,
