Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
170,0.519836,35.0614,5.69125,14.8669,2.50013,0.00309467,0.169838,0.036651,0,46.289,1.99877,3.77356,1.23168,31.1637,4.06246,
171,0.52217,35.0605,5.69094,14.8585,2.50075,0.00301312,0.1705,0.03555,0,46.3289,1.99941,3.78365,1.23232,31.1623,4.01985,
172,0.520347,35.0615,5.69131,14.8681,2.49959,0.00350163,0.171326,0.0346233,0,46.3205,1.99822,3.77211,1.23234,31.1639,4.03089,
173,0.521374,35.0616,5.69129,14.8672,2.49956,0.00418568,0.173547,0.032111,0,46.3154,1.99818,3.77338,1.23178,31.1639,4.03481,
174,0.526077,35.0605,5.69093,14.8693,2.50074,0.00111107,0.170549,0.0358429,0,46.2964,1.99938,3.76964,1.2333,31.1622,4.05245,
175,0.521374,35.0607,5.69106,14.8625,2.50075,0.00205573,0.172144,0.0337734,0,46.3004,1.99939,3.7794,1.2321,31.1628,4.04998,
176,0.518428,35.062,5.69143,14.8659,2.50028,0.00199311,0.170551,0.0360277,0,46.2939,1.99892,3.77519,1.23162,31.1645,4.05767,
177,0.519285,35.0626,5.69157,14.8711,2.50047,0.00183348,0.169578,0.0374812,0,46.3362,1.99911,3.76847,1.23247,31.1652,4.01311,
178,0.523947,35.0607,5.69104,14.8684,2.50057,0.000333367,0.16969,0.036239,0,46.3361,1.99921,3.77175,1.23198,31.1627,4.01582,
179,0.519486,35.062,5.69138,14.8693,2.50102,0.000283792,0.173536,0.0334201,0,46.2783,1.99967,3.77079,1.23242,31.1643,4.07277,
180,0.519096,35.0629,5.69166,14.8722,2.50047,0.00087227,0.169856,0.0373418,0,46.3122,1.99911,3.76744,1.23182,31.1656,4.03127,
181,0.522707,35.0611,5.69114,14.8728,2.50072,2.80495e-05,0.172461,0.0320109,0,46.3263,1.99936,3.76599,1.23179,31.1631,4.01921,
182,0.519679,35.0622,5.69147,14.869,2.50071,0.000472325,0.171983,0.0355363,0,46.3294,1.99935,3.77139,1.23135,31.1647,4.01967,
183,2024.97,7.47777,18.8644,155.989,17.9218,117.422,308.365,438.636,0,1700.56,18.5148,29.6729,2026.47,1435.07,52.9881,
184,0.518821,35.0622,5.69148,14.8698,2.50038,0.00086613,0.173934,0.034766,0,46.3189,1.99902,3.77029,1.23065,31.1647,4.02523,
185,36.7246,179.211,13.2883,49.6659,4.30883,26.5533,514.417,1204.29,0,320.981,4.66413,44.2261,36.7687,442.15,356.607,
186,0.522023,35.0607,5.69106,14.8677,2.49967,0.00366295,0.171139,0.0338545,0,46.3321,1.9983,3.77217,1.23214,31.1628,4.01471,
187,0.517996,35.0629,5.69163,14.8683,2.50058,0.00122493,0.172472,0.0378933,0,46.3304,1.99921,3.77281,1.23078,31.1655,4.01951,
188,0.521119,35.062,5.69146,14.8704,2.50072,0.000795646,0.171201,0.0342154,0,46.311,1.99936,3.76945,1.23224,31.1646,4.03439,
189,0.526072,35.0605,5.69093,14.8681,2.50004,0.00310014,0.170002,0.0343306,0,46.3111,1.99868,3.77142,1.23282,31.1622,4.04131,
190,0.521861,35.0618,5.69129,14.8679,2.49927,0.00532745,0.170559,0.0365296,0,46.3241,1.99787,3.77232,1.23155,31.1639,4.02473,
191,0.525536,35.0602,5.69091,14.8688,2.50079,0.00130546,0.169352,0.035979,0,46.3172,1.99943,3.77058,1.2337,31.1621,4.02681,
192,0.520311,35.0621,5.69141,14.8694,2.4991,0.00493373,0.1716,0.0351182,0,46.3162,1.99772,3.77055,1.2319,31.1644,4.03182,
193,0.519003,35.0624,5.69151,14.8697,2.50025,0.00210274,0.172249,0.0337344,0,46.324,1.99888,3.77061,1.23114,31.1649,4.02402,
194,0.518393,35.0624,5.69152,14.8687,2.50094,8.67918e-05,0.171159,0.0351822,0,46.3201,1.99959,3.77181,1.23105,31.165,4.02407,
195,0.518951,35.0625,5.69156,14.8697,2.50111,1.18286e-05,0.171362,0.0339553,0,46.3145,1.99976,3.77058,1.23192,31.1651,4.02878,
196,0.524893,35.0608,5.69108,14.8694,2.50044,0.00123406,0.171569,0.0328457,0,46.3124,1.99909,3.76985,1.23303,31.1628,4.0349,
197,0.523388,35.0609,5.69105,14.8673,2.49969,0.00345909,0.171024,0.0398911,0,46.3211,1.99832,3.7728,1.23201,31.1628,4.02837,
198,0.525072,35.0603,5.69091,14.8674,2.49884,0.00593815,0.170555,0.0347536,0,46.302,1.99746,3.77213,1.23289,31.1621,4.0423,
199,0.519674,35.0623,5.69146,14.8679,2.50091,3.89487e-05,0.171513,0.0387192,0,46.3101,1.99956,3.7726,1.23221,31.1647,4.0346,
