Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
12,62.8409,196.568,382.3,0.31969,22.3622,20.8782,3.73413,104.155,1.93292,35.145,2.05634,3.60715,2.69702,12.5091,27.3777,2.32579,346.563,1.23267,16.6006,6.97384,4.59359,1.3448,2.11759,0.989497,0.0461635,0.846442,0.0227112,9.31052,0.00645022,0.978595,0.897629,
13,62.8409,129.78,257.459,0.484212,20.7091,14.7051,3.76601,48.1326,2.30324,33.9611,0.949096,2.52906,2.72443,7.30086,24.3416,1.78542,231.559,1.41139,4.23385,4.61938,1.34093,0.955376,2.11759,0.989497,0.0461635,0.56982,0.0227112,17.5029,0.00358431,0.980863,1.44801,
14,62.8409,1127.07,7208.4,0.055756,22.4784,18.406,3.7477,14.2511,2.39244,1059.01,0.2838,3.70817,2.79418,8.50818,39.0548,2.14414,22.0313,1.73417,7232.61,0.70075,7.36753,1.36956,2.11759,0.989497,0.0461635,0.492253,0.0227112,21.7414,0.00358431,0.980863,1.0004,
15,62.8409,121.918,163.44,0.515434,22.9333,16.5872,3.42197,33.1643,2.08316,36.813,0.660779,3.45315,2.80156,10.6213,28.6487,1.96003,142.671,1.09378,991.142,2.87012,3.91361,1.15138,2.11759,0.989497,0.0461635,0.56982,0.394704,9.21595,0.00358431,0.980863,0.831689,
16,62.8409,177.589,345.341,0.353857,23.2963,21.522,3.66137,85.0345,2.06452,33.4225,1.68251,3.98114,2.92355,12.8718,36.1212,1.53657,303.948,0.896709,8.60584,5.99461,5.00656,1.30666,2.11759,0.989497,0.0461635,0.56982,0.576235,9.16349,0.00358431,1.43759,1.34071,
17,62.8409,176.522,374.147,0.355995,20.1854,27.4223,3.98062,82.1844,1.83607,32.9546,1.62181,3.53248,2.80425,11.6155,64.3052,2.18206,304.804,0.746122,6.16606,6.00288,3.87047,1.19332,2.11759,1.0919,0.0461635,0.305555,0.205072,9.44101,0.00358431,1.91986,1.34167,
18,62.8409,100.478,115.414,0.625421,20.9236,16.7033,3.11729,17.7081,1.73073,33.6047,0.351846,3.40408,2.93408,11.0472,30.5951,1.56467,84.6826,0.459342,4.44553,2.06455,5.09985,1.70557,6.48549,1.0919,0.0461635,0.331066,0.205072,12.3562,0.00584257,1.91986,1.34167,
19,62.8409,213.267,455.142,0.294658,19.9419,30.6791,3.68626,112.307,2.15049,35.2662,2.19976,4.14054,2.89587,15.2481,66.2644,1.96175,405.738,1.39207,14.9109,7.93633,6.33579,1.2546,2.40433,1.0919,0.0461635,0.846442,0.205072,12.3526,0.00645022,1.91986,1.79332,
20,60.7302,140.386,272.7,0.432593,18.9034,28.575,3.43971,45.0299,2.06554,33.894,0.882438,4.67057,2.92577,16.8485,68.0399,1.75304,235.684,1.28903,8.89642,4.75093,7.53061,1.53034,2.40433,2.91583,0.0461635,0.846442,0.139133,12.2479,0.00645022,1.91986,1.28819,
21,59.6756,145.381,288.072,0.410479,14.2781,22.8449,3.28266,27.0821,2.00879,69.2321,0.538385,3.14786,2.96574,10.4325,54.098,1.727,145.937,1.04814,181.176,2.93627,4.28246,1.62368,4.96176,2.91583,0.0461635,0.846442,0.205072,8.98559,0.00645022,1.82526,1.69687,
22,56.8579,186.576,471.623,0.304743,13.0597,22.2757,3.18132,104.861,1.97352,34.1469,2.05002,2.3845,2.64393,11.3867,55.8533,1.77761,396.255,0.889326,34.8594,7.72301,1.12299,0.928604,4.96176,4.40464,0.0461635,0.668583,0.205072,20.2718,0.00407212,1.77943,1.70434,
23,52.7748,111.265,220.976,0.474316,12.095,15.4331,3.0689,36.482,1.94241,35.4081,0.721982,3.27952,2.83404,11.8132,28.2007,2.24329,208.473,1.1577,10.4406,4.11026,4.90203,1.40825,4.96176,3.656,0.0461635,0.523158,0.12494,7.03952,0.00407212,1.73623,1.88949,
24,52.7748,81.9694,109.497,0.643836,10.9883,12.8596,2.71227,3.44167,1.92133,44.8889,0.0670146,2.52405,2.56627,8.60282,31.8276,1.54279,33.2202,0.882597,66.1015,0.646498,2.05105,1.03439,0.657415,3.656,0.0461635,0.456177,0.12494,33.0854,0.00407212,1.91986,1.80688,
25,50.4869,137.673,246.567,0.366715,12.7874,25.2748,2.98306,47.2063,1.97474,40.3275,0.939734,3.64398,2.53573,12.9139,60.099,2.30361,185.965,1.42217,30.5687,3.86244,4.94143,0.555459,0.657415,3.656,0.0295574,0.456177,0.12494,6.05975,0.00407212,1.91986,1.80688,
26,50.0948,94.3502,170.985,0.530945,9.08933,13.4163,2.20524,18.7821,1.79865,43.2684,0.37324,2.77424,2.64278,8.59792,45.2102,2.0351,114.976,1.03429,62.9394,2.32753,3.76161,1.34634,0.657415,3.656,0.0295574,0.348361,0.12494,10.9878,0.00407212,1.91986,1.97894,
27,50.0948,98.2517,153.16,0.509862,10.1699,23.5011,2.37401,18.3443,1.48907,35.4086,0.364636,4.05797,2.54212,13.0287,72.0841,2.57305,106.209,0.932164,17.4531,2.12289,6.93699,0.636923,0.657415,3.656,0.0295574,0.348361,0.12494,11.1505,0.00503317,2.02631,2.06192,
28,50.0948,99.0085,231.113,0.505965,7.7856,18.9671,1.74709,29.5098,1.24299,34.1854,0.585848,2.49645,2.48817,10.6464,69.2812,1.74319,147.296,0.802157,3.52434,2.95505,2.87874,0.844476,0.657415,3.656,0.0122716,0.348361,0.0779254,11.4717,0.00440496,0.810399,1.99387,
29,49.2488,206.213,464.138,0.238825,9.53376,12.2682,1.79781,140.417,1.40845,32.3368,2.76924,2.94299,2.73855,14.4933,23.8899,2.179,416.368,1.17771,7.02991,8.61195,3.53629,1.47005,0.657415,3.4795,0.0040649,0.280959,0.0663696,4.89356,0.00170347,2.07101,1.96257,
30,46.6377,122.557,297.442,0.380539,6.80916,22.509,1.80053,50.2994,1.01458,33.8088,0.998215,2.60681,2.71042,11.4332,71.4911,1.87876,238.473,0.99384,6.55728,4.57461,2.72998,1.33524,0.657415,3.26312,0.0040649,0.280959,0.0203029,4.26737,0.00170347,2.08405,2.13411,
31,46.6377,77.0388,175.026,0.60538,5.37525,11.9819,1.40822,18.1901,0.718723,33.8753,0.360597,2.60556,2.52311,8.19274,49.0904,1.32949,115.73,0.8825,3.00128,2.36844,3.0193,0.571609,0.657415,3.26312,0.0202177,0.280959,0.0203029,13.043,0.00170347,2.08405,2.13411,
32,46.3099,94.5695,260.179,0.489692,4.88299,13.5575,1.42917,34.3051,0.597577,33.5245,0.671805,2.92438,2.6764,8.85698,44.2556,1.92309,227.431,0.575851,4.10143,4.47162,4.40565,1.31122,0.5809,3.26312,0.0202177,0.230122,0.0203029,13.2671,0.00170347,2.05119,2.18523,
33,45.202,196.029,463.76,0.230588,8.01149,16.3422,1.93405,127.675,0.88863,32.9679,2.50767,2.85015,2.85211,15.3847,45.9541,2.59687,401.112,1.43147,4.51853,8.31775,3.0438,1.56557,0.5399,3.4795,0.118012,0.230122,0.0169918,11.4127,0.00170347,1.50701,2.142,
34,45.202,204.466,611.876,0.221074,7.31159,23.0286,1.212,68.0456,0.659069,97.0854,1.33211,3.05817,2.73304,14.9772,67.4255,1.93086,325.145,1.48882,451.753,6.40201,4.32827,1.43489,0.476685,3.4795,0.0434956,0.230122,0.0164469,14.785,0.00170347,2.08473,2.02514,
35,45.202,138.967,327.949,0.325271,6.82158,10.2544,1.17472,79.7346,0.45672,32.7669,1.57719,3.28089,2.89991,15.5165,33.9006,1.49901,291.273,0.939322,64.5255,5.71401,4.67449,1.71981,0.476685,3.4795,0.033859,0.230122,0.0164469,9.51549,0.00170347,2.08473,2.2492,
36,44.6611,98.6393,213.071,0.452772,7.29189,22.8913,1.49781,22.2402,0.412084,36.9575,0.440056,4.2039,2.70453,16.4785,72.8662,2.72588,148.128,0.936236,23.837,3.00506,6.82222,1.14093,0.476685,3.52767,0.033859,0.217478,0.0164469,10.7319,0.00195947,2.09161,1.84154,
37,44.4816,114.335,274.716,0.389045,6.61829,19.0512,1.20877,34.7454,0.494223,45.0388,0.680048,3.53144,2.96724,15.722,49.8356,2.05439,226.816,1.09376,58.2563,4.47525,5.28542,1.64223,0.472859,3.52767,0.021142,0.136773,0.0164469,12.3041,0.00195947,2.10187,2.29044,
38,44.4816,116.277,290.502,0.382549,6.26656,15.2258,1.28046,52.9374,0.209694,32.4691,1.04588,3.99617,2.84587,16.9616,58.1901,2.64902,256.849,0.462798,13.8034,5.07493,7.04231,1.76496,0.474276,3.52767,0.0137828,0.0411286,0.0163547,9.25686,0.000247827,2.06049,2.27559,
39,44.4029,72.1317,172.238,0.615582,2.84053,7.54115,0.595119,21.2554,0.245936,33.276,0.422711,3.33688,2.61801,9.75283,18.0268,1.19552,145.556,0.638704,4.67857,2.9346,5.95415,1.21617,0.459447,3.52767,0.00506935,0.136773,0.0163547,9.11223,0.00145315,2.06049,2.27559,
40,44.3315,81.5863,254.498,0.54337,2.16464,5.62236,0.620637,33.4272,0.24552,33.9873,0.652602,2.24699,2.6191,7.81996,10.2242,1.33093,228.829,0.92795,1.57789,4.49116,0.95649,1.25448,0.459447,3.52767,0.00506935,0.136773,0.0163547,24.122,0.00145315,2.10187,2.30587,
41,43.7166,91.535,260.519,0.477594,4.39824,9.90165,0.8748,33.7528,0.335757,36.4075,0.661521,2.63662,2.56621,13.0949,24.6677,1.96999,229.036,1.06243,15.6281,4.49811,2.06879,0.654345,0.467954,3.52767,0.00354334,0.0640852,0.0156817,12.4601,0.0011086,2.10187,2.32857,
42,43.7166,81.7609,258.12,0.534688,2.05456,6.27617,0.621621,33.4383,0.167232,33.8376,0.654992,2.2494,2.46106,8.611,15.9406,1.03298,229.882,0.554325,3.61908,4.51193,0.775794,0.218612,0.467954,3.60462,0.00354334,0.0640852,0.0163547,15.8768,0.0011086,2.10187,2.32857,
43,43.7166,123.075,291.361,0.355202,7.05843,11.7325,0.942658,60.5352,0.414163,34.2259,1.19441,4.14496,2.82689,17.2346,27.1736,1.80379,256.547,1.11392,9.87035,5.12239,6.94752,1.32097,0.467954,3.60462,0.00354334,0.0492228,0.0163547,10.4356,0.000685299,2.10292,2.31086,
44,43.7166,151.51,367.769,0.288539,5.03561,23.1423,0.832859,81.5287,0.433758,32.2716,1.62023,3.84948,2.79534,14.8015,90.6074,1.92683,275.465,1.34363,6.7251,5.50038,5.80838,1.47457,0.474276,3.60462,0.00354334,0.0492228,0.0163547,9.51804,0.000685299,2.10292,2.30174,
45,43.5155,136.589,343.272,0.318586,6.82869,11.7264,1.06378,75.0704,0.302768,33.2228,1.48505,4.11373,2.7756,18.0392,28.4704,2.54807,303.635,0.884597,8.58648,5.98907,6.71589,1.50253,0.484984,3.51788,0.00354334,0.0640852,0.01933,9.36156,0.000966774,2.11895,1.41033,
46,43.5155,97.0602,272.104,0.448335,5.60135,15.867,0.89931,34.1364,0.196049,32.6256,0.667327,4.19354,2.87366,16.443,53.4664,2.29925,236.992,0.444632,5.41163,4.59786,7.73303,1.661,0.482783,3.51788,0.00354334,0.0454563,0.01933,12.2866,0.000571893,2.1159,2.31823,
47,43.5155,97.6533,245.616,0.445612,3.37868,18.2877,0.855898,34.7789,0.244797,33.8756,0.690777,2.75828,2.78274,11.0916,64.452,2.4914,169.989,1.06972,4.06445,3.37923,3.38748,1.44173,0.484984,3.51788,0.00354334,0.0211681,0.017387,12.8658,0.000115665,1.78794,2.31722,
48,43.5155,92.5603,221.611,0.470131,4.36969,6.12472,0.719633,41.0004,0.244696,32.7422,0.817064,3.79476,2.7471,14.5525,15.8792,2.0696,198.658,0.868117,5.76906,3.96279,6.53308,1.2168,0.472152,3.51788,0.000942008,0.030476,0.0166735,9.317,0.000571893,2.12757,2.36263,
49,43.4437,151.709,366.154,0.286361,6.34426,17.1578,0.900475,73.9156,0.317246,44.6583,1.45125,3.92579,3.03853,16.4022,44.5242,2.22803,320.225,0.845487,63.5387,6.30671,6.19907,1.80303,0.444096,3.51788,0.00112612,0.030476,0.0166735,12.1955,0.000571893,2.12757,2.3853,
50,43.3121,78.1205,173.641,0.554428,2.74273,9.90984,0.345487,23.472,0.12421,35.9791,0.468216,2.50449,2.57442,10.5243,34.566,0.82745,131.672,0.409346,18.0326,2.3971,1.84287,0.719769,0.433606,3.50804,0.00112612,0.030476,0.017387,14.2146,0.000571893,2.12757,2.3853,
51,43.153,123.826,288.24,0.348496,4.16521,22.7431,0.711038,21.2121,0.316734,68.3272,0.422123,2.97799,2.95078,12.353,68.4604,1.68075,131.518,0.99256,157.342,2.61814,3.2032,1.71402,0.433606,3.50804,0.00112612,0.030476,0.0180511,10.1205,0.000571893,2.11387,2.41021,
52,43.153,95.1443,252.521,0.453553,1.85515,10.7575,0.60263,42.4177,0.134165,33.1768,0.844154,2.87594,2.48031,7.9664,37.5242,1.99988,205.01,0.599333,35.1501,4.13471,3.57504,0.526303,0.432333,3.50454,0.00102072,0.0288862,0.0167088,8.48038,0.000254601,2.12757,2.16728,
53,43.0979,79.4268,250.866,0.542612,1.53468,5.27611,0.339999,33.0593,0.0832859,33.7681,0.64834,2.25561,2.46139,7.11581,11.9625,1.13615,229.247,0.289998,2.67838,4.51129,0.84412,0.0628417,0.432333,3.50454,0.00102072,0.0288862,0.0166004,15.4675,0.000254601,2.1318,2.40772,
54,43.0979,88.3311,272.454,0.487913,2.62889,11.3826,0.473341,33.6488,0.177449,34.3002,0.657518,2.48177,2.58061,10.3729,38.3175,1.25601,232.604,0.639679,2.76082,4.54803,1.83352,0.770438,0.432333,3.50804,0.00102072,0.0288862,0.0161442,25.6108,0.000254601,2.1318,2.41542,
55,43.0594,119.809,304.174,0.359402,3.98486,20.1257,0.609354,55.1695,0.091646,32.7433,1.09774,3.44633,2.54011,13.7344,70.7424,2.15205,218.168,0.178358,5.74477,4.39259,5.2611,0.832486,0.432333,3.50329,0.00102072,0.0288862,0.0161442,9.40966,0.000254601,2.13177,0.840963,
56,42.9196,172.828,447.807,0.248337,4.06875,7.57662,0.559522,119.495,0.260242,32.763,2.34774,2.93978,2.81751,13.7051,21.8291,1.63723,416.264,0.814008,4.83299,7.99769,3.61177,1.28912,0.432333,3.50804,0.00102072,0.0288592,0.0161442,9.42128,0.000254601,2.1318,2.41476,
57,42.9196,87.561,188.036,0.490168,4.12744,14.0003,0.622958,10.6329,0.327936,51.5911,0.212327,3.24646,2.7996,12.7234,40.7833,1.78661,82.5146,1.04834,115.141,2.50469,4.99476,1.45386,0.428149,3.50804,0.00102072,0.0288592,0.0171712,12.2814,0.000254601,2.1318,2.41476,
58,42.9196,154.131,342.631,0.278462,6.44302,22.981,0.782354,82.0444,0.434456,32.4682,1.63409,4.48912,2.85427,16.7445,65.9208,1.99917,284.135,1.06873,20.1747,5.6616,6.44065,1.45175,0.432333,3.52889,0.00102072,0.0288592,0.0171712,8.97932,0.000254601,2.1318,2.14486,
59,42.9196,97.5993,216.501,0.439753,4.58599,16.7981,0.685751,35.4368,0.332282,32.5371,0.706748,3.91909,2.59752,14.767,60.5971,2.04871,165.228,0.960638,5.50397,3.3618,6.49817,0.892434,0.427631,3.58825,0.00102072,0.0288592,0.0171712,9.27186,0.000358032,2.13976,1.83372,
60,42.9196,81.8099,208.486,0.524625,2.27374,12.9499,0.478665,26.8927,0.172033,33.1503,0.533296,2.75775,2.60154,9.57425,55.5001,2.02349,180.577,0.750679,4.71709,3.58873,4.32307,0.85472,0.431095,3.58825,0.00103343,0.0288592,0.0171712,6.22844,0.000358032,2.14088,2.37233,
61,42.9196,103.132,260.981,0.416162,4.11441,10.9665,0.661492,47.642,0.226076,32.5823,0.946757,3.2897,2.70252,14.3215,40.6062,2.33432,230.055,0.946487,6.02336,4.63057,5.47174,1.39462,0.427031,3.61328,0.00349025,0.0288592,0.0171712,4.64759,0.000358032,2.14088,2.41552,
62,42.9196,91.0117,219.793,0.471583,3.95869,14.0428,0.582801,31.9836,0.157331,33.6669,0.637263,3.36211,2.62022,13.9973,55.2158,2.11808,156.854,0.455287,5.67355,3.14525,5.03853,1.15409,0.42619,3.61328,0.00349025,0.0288592,0.0171712,10.3799,0.000358032,2.14168,2.21378,
63,42.9196,100.009,213.4,0.429156,5.24679,13.9813,0.755805,21.8673,0.253703,50.6596,0.435595,3.81536,2.9938,15.5978,40.3806,2.13909,143.831,0.7784,94.0087,2.87272,6.00818,2.02664,0.42619,3.61065,0.00675698,0.0185106,0.0156474,9.42193,0.000216494,2.13955,1.05867,
64,42.9005,127.307,300.915,0.336985,4.69858,22.9564,0.60912,51.2782,0.1916,40.7646,1.02046,3.18267,2.60532,14.4513,69.618,2.19222,207.622,0.536983,55.7116,4.22521,4.14213,1.17719,0.42619,3.58916,0.00675698,0.0185106,0.0171712,10.3428,0.000216494,2.13955,1.82721,
65,42.8632,73.8643,215.618,0.580296,1.70206,6.08086,0.136732,27.1834,0.0674932,33.3862,0.537784,2.36367,2.40612,8.99231,23.6953,0.786725,192.019,0.14819,8.72699,3.77447,1.63269,0.274452,0.42619,3.58916,0.00216046,0.0185106,0.0171712,0.101756,0.000216494,2.14168,0.976427,
66,42.8632,117.735,293.183,0.364065,6.3913,17.229,0.675748,48.0972,0.154684,38.2902,0.949223,3.09381,2.8538,22.7322,51.7217,2.37883,239.571,0.418614,37.8384,4.65978,4.0064,1.65644,0.42619,3.58916,0.00195238,0.0185106,0.0171712,13.053,0.000198388,2.14168,2.40421,
67,42.8609,86.0181,182.496,0.498278,4.31546,12.3556,0.385973,21.529,0.283707,40.6953,0.428979,3.23487,2.78917,13.838,33.0923,1.26308,146.258,0.831222,37.6352,2.93605,4.09304,1.35558,0.42619,3.58916,0.00195238,0.0185106,0.0171712,9.56043,0.000198388,2.14782,2.40421,
68,42.7858,84.9744,172.86,0.503514,3.91281,12.4249,0.728378,22.0721,0.328528,39.0597,0.43977,3.22203,2.78629,12.587,34.1425,2.38216,141.903,1.06305,26.1241,2.83094,4.03617,1.31144,0.42619,3.58916,0.00244721,0.0185106,0.0171712,9.58474,0.000198388,2.14936,2.40421,
69,42.7858,92.1716,266.776,0.464197,2.68898,14.5987,0.456888,33.9541,0.198432,33.8759,0.666068,3.08778,2.64483,10.3343,51.4009,1.72115,229.873,0.608089,7.8113,4.51971,4.50085,0.98678,0.426537,3.57528,0.00155535,0.0185106,0.0171712,13.0855,0.000158363,2.14936,2.40421,
70,42.7858,70.1859,190.986,0.609607,1.62033,8.75243,0.218449,20.4508,0.148922,33.5416,0.406196,2.58732,2.45983,8.21593,36.3317,1.209,142.519,0.684522,3.26387,2.84665,2.92735,0.184696,0.426519,3.58185,0.00155535,0.0288592,0.0171712,10.815,0.000321602,2.15932,2.41684,
71,42.7858,109.76,284.659,0.389813,4.89968,10.2408,0.768547,49.6542,0.111389,37.3205,0.979414,3.05538,2.73003,14.949,26.0375,2.69117,255.27,0.22451,21.3423,5.01899,3.42596,0.894721,0.426204,3.58185,0.00155535,0.0328315,0.0246013,10.2945,0.000213449,2.16561,2.42347,
72,42.7773,93.1149,264.792,0.459404,3.86601,13.2072,0.459794,33.8168,0.268113,35.1228,0.663546,3.05649,2.65418,13.6412,45.216,2.02823,231.494,1.04002,14.4302,4.53008,4.47665,0.886691,0.426204,3.57832,0.00155535,0.0328315,0.0305025,13.3292,0.000213449,2.16565,2.43342,
73,42.7773,120.423,303.184,0.355224,5.55588,11.9528,0.859506,54.1783,0.350294,39.641,1.06742,3.82168,2.99653,15.7223,32.8284,2.58921,268.265,1.11924,43.7734,5.27618,6.02607,1.83686,0.426204,3.5779,0.000703777,0.0122874,0.0323115,9.40778,0.000117657,2.1681,2.44469,
74,42.7637,130.297,351.993,0.3282,4.16826,20.4169,0.62987,63.8491,0.321504,34.0605,1.25884,2.91471,2.67769,13.3736,64.6019,2.10479,277.099,1.14858,8.87061,5.43259,3.276,1.15487,0.426204,3.58111,0.000703777,0.0122874,0.0290539,11.3995,0.000117657,2.1674,1.22428,
75,42.7612,134.097,365.948,0.318882,4.09593,20.5666,0.464988,68.638,0.344875,33.0373,1.35303,2.83548,2.76119,14.4969,80.007,1.75306,286.168,1.3353,4.15051,5.63809,2.95385,1.19134,0.426204,3.58074,0.000416744,0.0122874,0.0349762,11.3831,0.000117657,2.1647,2.43473,
76,42.7612,126.845,313.208,0.337115,5.03685,11.7079,0.912032,66.8354,0.30037,34.8854,1.32205,3.08368,2.7609,15.0207,29.592,2.77075,274.609,0.898527,8.36226,5.41798,3.8245,1.03912,0.426204,3.54246,0.000416744,0.0141324,0.0349762,9.62749,0.000131985,2.16583,2.42828,
77,42.7612,84.934,140.04,0.503464,5.90967,17.0599,0.739569,14.3804,0.367323,39.6487,0.287,3.53727,3.00413,16.517,45.0817,2.20364,76.1122,1.06111,28.8875,1.56825,5.31057,1.74277,0.426204,3.56938,0.000416744,0.0141324,0.036583,12.3019,0.000131985,2.16766,2.44286,
78,42.7583,66.5762,128.563,0.642246,1.49497,11.1188,0.479615,0.75747,0.0763912,47.4298,0.0147855,2.48612,2.71819,6.48003,38.4547,2.25619,10.5225,0.266514,79.4606,0.278087,1.84397,1.32787,0.427329,3.58074,0.000416744,0.00785209,0.036583,33.9605,3.09712e-05,2.16645,2.44324,
79,42.7583,108.316,263.068,0.394756,3.31168,7.51554,0.35189,57.3139,0.284248,32.3895,1.14227,3.23501,2.77178,12.1302,16.6703,1.38959,229.036,0.964979,16.2684,4.73686,5.26047,1.31046,0.427329,3.58074,0.000416744,0.00785209,0.0396762,0.468057,3.09712e-05,2.16844,2.44469,
80,42.7583,64.1853,78.2862,0.66617,4.29562,17.2259,0.552811,1.87405,0.230054,33.014,0.0372152,4.3299,2.62572,13.6442,53.7116,1.872,55.3161,0.633851,5.40922,1.10271,7.83575,0.94322,0.427329,3.58074,0.000416744,0.00785209,0.0358131,12.3339,3.09712e-05,2.1658,1.74169,
