Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
72,0.180315,23.4714,0,1207.56,0.00997045,0.374456,5.52231,0.0578272,8.84053,
73,0.232934,23.6521,0,1207.53,0.0160348,0.313599,5.33913,0.077089,8.84878,
74,0.274214,23.6587,0,1207.41,0.0192192,0.346134,5.32804,0.126541,8.85498,
75,0.271772,23.6508,0,1207.48,0.0200733,0.308933,5.33702,0.0973358,8.85478,
76,0.23415,23.6491,0,1207.53,0.013069,0.317145,5.3345,0.097952,8.83934,
77,0.249663,23.7564,0,1207.4,0.0185821,0.382949,5.234,0.114246,8.85838,
78,0.256502,23.5256,0,1207.52,0.0186878,0.290816,5.45579,0.111644,8.8434,
79,0.167632,23.7969,0,1207.55,0.00429478,0.380421,5.18153,0.102092,8.84075,
80,0.278167,23.6218,0,1207.43,0.0262677,0.325679,5.34757,0.10462,8.8432,
81,801.207,672.711,0,3226.94,9.17955,13.1605,74.4749,800.96,80.3344,
82,794.946,303.507,0,3221.07,5.89709,17.4005,496.209,794.689,80.172,
83,0.206483,22.749,0,1207.44,0.00791162,0.337208,6.30495,0.0743587,8.85763,
84,0.242873,23.7263,0,1207.36,0.0141356,0.300326,5.26839,0.0704381,8.84351,
85,0.269352,23.6222,0,1207.47,0.0237417,0.276406,5.42075,0.120171,8.83915,
86,1410.79,1817.89,0,3621.91,6.11625,968.338,110.623,1385.21,82.142,
87,635.69,1953.51,0,2664.89,10.4859,889.008,908.984,626.218,41.5176,
88,1600.66,1311.32,0,2318.02,10.8994,1189.77,10136.7,1579.67,35.3114,
89,1519.85,1797.58,0,2207.94,10.8623,1207.86,97.1769,1499.93,27.5251,
90,0.251806,23.5771,0,1207.57,0.0288445,0.282815,5.41094,0.0743736,8.844,
91,1015.97,864.071,0,1380.21,2.44678,211.562,166.728,1017.21,29.4868,
92,0.22151,23.8563,0,1207.48,0.00941131,0.329978,5.16019,0.0628445,8.83941,
93,1173.94,284.927,0,1441.67,2.16335,457.706,945.217,1175.38,30.0282,
94,0.223284,23.7162,0,1207.5,0.00111724,0.299785,5.25892,0.108174,8.84608,
95,0.21367,23.7204,0,1207.51,0.0219286,0.328103,5.25648,0.163944,8.85172,
96,0.243098,23.6838,0,1207.46,0.0152321,0.314193,5.29168,0.0754216,8.84419,
97,1.11305,295.317,0,5122.69,0.142568,6.62753,518.517,0.861998,123.612,
98,0.293996,23.4627,0,1207.43,0.00682317,0.243385,5.53472,0.146759,8.84589,
99,0.17537,23.7534,0,1207.38,0.0171543,0.351367,5.23597,0.0852148,8.84933,
