Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,
268,731.517,1068.62,1952.53,0.68454,9.48259,0,138.656,27.2257,27.6882,28.0456,98.6598,4.50003,734.367,16.5192,0,1350.42,127.878,139.821,128.237,241.041,2.10674,448.666,1.12278,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.387,
269,731.517,1069.21,1224.5,0.684167,10.7251,0,55.7157,46.5591,37.2838,47.5137,105.02,5.15608,761.234,16.6863,0,235.152,186.027,150.041,183.583,243.172,4.72545,428.757,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.2844,656.387,
270,731.517,1040.63,1384.66,0.702953,10.396,0,56.7839,50.1427,38.013,52.0978,87.607,4.82296,740.77,20.5207,0,337.489,222.182,185.295,229.419,192.634,3.61085,368.341,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.387,
271,731.517,1345.59,5131.71,0.543639,9.30996,0,406.61,34.1215,32.7692,36.0086,90.8564,4.86227,731.054,11.8296,0,4819.24,141.897,152.641,146.218,194.345,3.52332,333.012,4.44499,0,0.68414,0.635364,0.205378,0.810187,34.4138,2.94596,656.387,
272,731.517,1256.75,2692.86,0.582068,11.5959,0,188.722,54.0174,40.8653,55.9189,116.39,5.6932,783.552,19.3959,0,2008.28,221.104,200.7,226.852,278.063,5.85624,523.266,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.387,
273,731.517,1105.09,2290.77,0.661951,9.0206,0,173.557,42.0989,22.4899,42.8432,95.7069,4.58699,714.788,13.1991,0,1560.96,195.498,113.991,196.875,247.122,2.82791,345.098,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94553,648.779,
274,731.517,1899.17,12045.4,0.385177,10.3779,0,865.684,54.737,34.9356,55.6845,119.642,4.84565,753.263,16.1069,0,11677.4,224.375,155.991,222.778,296.267,3.48735,417.138,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.68016,656.387,
275,731.517,1179.95,1873.8,0.619953,10.9974,0,105.741,55.9322,49.5562,57.08,112.706,5.05358,782.888,19.7311,0,1050.36,228.401,222.079,230.032,273.275,4.21093,539.178,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.387,
276,731.517,1035.89,1182.03,0.706175,9.96599,0,45.9064,45.195,37.4067,46.1273,101.346,4.85979,745.079,14.7002,0,187.743,188.304,176.098,189.942,244.168,3.54396,390.179,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,656.018,
277,731.517,1259.94,3217.35,0.580597,11.225,0,236.147,43.7982,27.7803,45.2198,116.803,5.19148,773.773,18.7488,0,2651.51,178.495,116.984,179.336,283.198,4.9038,481.501,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.66619,656.387,
278,731.517,1221.86,2331.68,0.598689,10.3506,0,147.91,66.6707,42.6536,68.5955,113.723,4.80945,767.151,16.3221,0,1550.02,257.598,184.084,265.502,267.224,3.75397,506.842,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.82599,656.387,
279,731.517,1044.37,1435.9,0.700438,9.19928,0,105.907,32.2424,29.5311,33.1175,105.282,5.23793,723.854,12.0559,0,855.453,133.032,130.126,135.801,262.11,5.25224,322.276,4.44499,0,0.68414,0.635364,0.205378,0.810187,38.5524,2.94596,612.342,
280,731.517,1214.21,4139.2,0.602461,8.80322,0,297.434,24.6808,29.6413,26.1153,92.919,4.99881,729.621,11.5144,0,3696.63,125.209,177.574,132.64,229.346,4.31509,389.867,4.44499,0,0.68414,0.635364,0.205378,0.954359,38.5524,2.94596,656.387,
281,731.517,1107.42,1927,0.660561,9.97621,0,130.466,45.3611,23.6511,46.5238,103.401,4.8007,743.238,15.1962,0,1367.06,178.27,115.657,178.68,257.94,3.40117,410.419,4.54375,0,0.68414,0.635364,0.205378,0.954359,38.5524,2.94596,656.387,
282,731.517,1130.74,2375.44,0.646938,8.80678,0,206.107,26.5811,33.5352,28.1799,102.727,4.64494,720.155,12.4341,0,1779.55,114.543,157.151,116.942,268.79,2.91041,337.394,4.54375,0,0.68414,0.635364,0.205378,0.954359,38.5524,2.70384,656.387,
