Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
97,186.654,390.098,1052.19,0.478479,11.3901,56.4357,22.0382,34.2159,23.3442,5.08001,57.6317,79.3066,0,2.30362,10.3877,87.9643,48.2136,365.479,9.56793,10.252,43.7274,1.55867,368.438,153.151,0,1.8462,31.1361,148.731,1.33703,0.794731,9.46075,9.64067,12.5422,4.57818,1.80903,41.7689,0,0.684534,1.65109,54.4614,
98,186.654,454.328,1176.13,0.410834,18.1096,65.3949,22.959,36.0476,25.7704,5.38343,66.4238,91.028,0,2.3703,10.5565,110.285,64.731,341.463,13.3748,21.0467,50.1124,2.54151,342.196,222.966,0,1.97348,29.7326,224.865,1.33703,0.832783,16.6031,8.93143,12.5422,4.57818,1.82971,31.4883,0,0.359916,1.64107,54.4614,
99,186.654,357.401,1043.42,0.522253,11.6779,43.1214,20.8613,34.1397,19.2527,5.12214,44.099,79.0383,0,2.01031,5.09912,92.9791,49.7376,284.76,6.47271,15.4278,34.3381,2.25387,284.97,199.526,0,0.499512,11.3848,201.05,1.33703,0.832783,17.1331,9.01544,12.5422,4.60186,1.82971,42.8212,0,0.801829,1.57887,54.4614,
100,186.307,353.591,858.582,0.5269,8.03812,37.614,21.6491,34.525,21.3542,5.02943,38.6747,93.239,0,2.43457,7.68469,83.3484,25.9408,242.376,8.98313,14.7612,36.4115,1.83231,243.187,233.552,0,1.92639,23.1264,132.3,1.23048,0.747024,17.1331,12.3661,12.5422,2.14834,1.71008,42.8212,0,0.801829,1.60413,51.858,
101,186.307,382.182,1060.67,0.487483,16.38,56.8236,21.698,34.4725,19.6249,5.22532,58.0295,64.4454,0,2.56036,6.70506,96.2177,62.0148,376.618,10.0401,13.5106,30.2922,2.39466,378.007,110.66,0,2.32865,18.0456,173.757,1.31798,0.747024,15.8198,8.56567,12.5773,4.6246,1.71008,28.5057,0,1.18529,1.63798,54.4614,
102,186.195,276.28,583.923,0.673936,6.38599,23.6651,21.0412,34.0365,19.9322,5.03689,24.6477,51.6533,0,2.24042,6.41421,81.2265,20.0541,200.248,11.8238,9.62629,33.2386,1.75794,200.736,51.3094,0,2.00636,18.7775,136.747,1.33703,0.747024,15.8198,9.65393,12.5773,4.61932,1.50644,40.3271,0,1.10247,1.58195,54.4614,
103,186.195,311.825,710.874,0.597113,7.7731,31.5764,19.706,35.0216,20.2391,5.14596,32.5531,58.6091,0,2.16512,6.04634,92.9894,29.7641,213.613,2.86905,18.9376,33.7927,2.03392,213.926,72.7068,0,1.18091,16.2074,181.71,1.29058,0.747024,9.89211,9.63882,12.5773,4.63049,1.50644,30.805,0,0.2401,1.58195,54.4614,
104,186.195,419.646,1197.86,0.443695,13.5741,69.7744,20.9404,32.3028,18.3086,5.11631,71.0528,80.101,0,2.28157,5.8749,100.32,55.6756,402.114,8.69055,4.86137,29.155,2.6149,404.379,176.108,0,1.63117,16.2719,233.43,1.29058,0.720027,14.9903,7.91125,12.5773,2.68542,1.50644,42.7217,0,0.230431,1.55792,54.4614,
105,185.536,481.507,1281.95,0.385323,10.1209,88.0351,21.4701,33.1571,26.6555,5.36936,89.4893,80.9972,0,2.49864,8.42896,115.285,33.3883,491.022,10.2184,9.29952,56.0569,3.61098,494.308,182.728,0,1.83948,28.7895,268.117,1.29058,0.720027,13.5016,9.4172,12.5773,0.792382,1.50644,33.0437,0,1.47589,1.55172,54.4614,
106,184.352,382.792,1037.36,0.481599,11.5392,56.9115,20.0353,40.0009,25.1019,5.15314,58.1571,64.0569,0,2.21723,7.55901,92.0594,47.291,372.24,7.05886,61.1639,56.471,2.11163,374.596,108.045,0,0.899648,26.0389,171.374,1.29058,0.710141,3.7088,8.79172,12.6433,4.63049,1.50644,28.8363,0,1.161,1.55172,54.4614,
107,183.196,396.097,1126.34,0.462503,14.6828,70.9188,21.7329,35.5201,20.0314,5.10061,72.19,59.2548,0,2.7306,4.22437,89.711,56.3065,408.679,16.1982,21.6435,33.4843,1.97765,411.139,137.97,0,2.42472,7.62843,158.492,1.29058,0.710141,13.9781,7.96695,12.6433,4.63049,1.50644,20.2275,0,1.47589,1.55172,54.4614,
108,183.196,298.122,773.027,0.614502,8.11639,29.0068,21.2242,43.9581,18.6553,4.96641,30.0435,58.9236,0,2.24048,4.06406,76.9228,35.9431,264.47,17.1396,105.391,38.5192,1.34613,265.501,93.2337,0,0.56945,12.1324,102.5,1.29058,0.710141,11.6395,0.718206,12.6383,4.63049,1.50644,40.3794,0,1.47589,1.50955,54.6934,
109,183.196,619.785,1643.5,0.29558,25.4345,133.443,21.5293,44.0206,25.8812,5.46796,134.952,94.4665,0,2.59735,5.70769,126.284,82.4443,571.537,15.1265,107.226,56.146,2.90601,574.705,229.943,0,2.02571,14.5551,260.985,1.27098,0.710141,11.6395,8.28164,12.6433,4.60761,1.50644,28.3195,0,0.905467,1.50955,54.6934,
110,183.196,410.776,1264.55,0.445976,12.2403,58.3458,20.3824,32.3625,21.0822,5.26409,59.375,87.8802,0,2.4761,3.72308,107.645,61.3225,333.688,13.6883,12.3152,46.3168,2.9901,333.715,236.538,0,2.12341,7.58797,268.686,1.27098,0.710141,11.6395,8.91965,12.6433,4.64683,1.50644,42.826,0,0.92521,1.50955,55.8691,
111,180.316,330.602,1015.97,0.545418,8.79829,49.7379,19.0446,32.7911,19.8636,4.818,51.0664,62.7406,0,2.32919,4.16337,75.2487,47.7594,358.56,8.35983,2.32601,44.6549,0.929136,361.504,117.393,0,1.0695,11.696,115.608,1.27098,0.710141,11.6395,11.6753,12.6726,3.72624,1.50644,44.2223,0,1.47589,1.50955,55.8691,
112,180.316,379.343,918.755,0.475339,12.1214,34.5211,20.3427,33.2348,21.7534,5.72233,35.4722,68.9528,0,2.7202,7.05291,137.449,53.8784,218.433,12.4687,11.0353,45.0355,4.52743,217.105,113.921,0,2.59404,26.6437,355.086,1.27098,0.710141,11.6395,10.1823,12.6726,4.64683,1.6889,31.9716,0,0.216336,1.50821,56.5446,
113,180.316,510.136,1184.72,0.353467,18.2144,71.5255,19.1105,38.2225,25.4728,5.8101,72.5482,101.684,0,2.73577,8.71551,146.097,64.6862,321.368,8.15319,45.8533,48.7119,4.0404,321.572,216.777,0,2.72614,31.6359,323.558,1.27098,0.710141,9.05105,7.93478,12.6726,4.64683,1.6889,31.9631,0,0.108429,1.50821,56.589,
114,180.316,378.221,1047.47,0.476749,9.09881,64.1414,18.5402,32.6714,17.5211,5.11937,65.4051,62.2214,0,2.40157,4.20023,96.9,42.5556,389.47,9.90249,7.02243,29.7474,2.57849,391.4,98.336,0,0.825838,10.7549,228.707,1.27098,0.710141,9.85146,8.67202,12.6726,2.9598,1.6889,32.7623,0,0.87647,1.46933,56.589,
115,180.316,395.289,857.717,0.456163,14.6424,48.9495,21.0406,45.719,23.1081,5.31629,49.9743,83.2099,0,3.06558,7.61725,92.6463,53.8383,276.378,19.5097,80.9015,38.3252,2.23816,275.14,177.056,0,3.20344,22.2152,146.182,1.27098,0.710141,9.63005,11.4964,12.6726,4.66039,1.6889,28.2268,0,1.54451,1.32681,23.5108,
116,177.848,483.579,1369.73,0.367774,17.4514,91.9488,18.4638,34.6587,21.9934,5.41011,93.2857,72.9358,0,2.61158,7.20189,117.618,66.2028,455.377,9.85093,21.6685,50.084,2.91557,457.59,166.346,0,2.46654,25.0932,250.84,1.27098,0.710141,9.54447,9.42858,12.7159,4.66887,1.6889,27.0983,0,0.0612179,1.32681,56.7093,
117,177.848,298.244,716.079,0.596317,8.72328,32.7976,16.9866,34.4118,18.0267,4.89171,33.8364,61.4462,0,2.58522,6.07672,78.4614,47.3653,231.387,7.23429,16.9871,30.7361,1.42233,232.189,85.9993,0,1.61503,23.9197,131.32,1.27262,0.62691,9.54447,11.6092,12.7159,0.349782,1.49408,44.194,0,1.83309,1.32681,56.7093,
118,177.848,440.137,1208.61,0.404074,11.169,79.7744,17.938,34.5107,21.6222,5.14015,81.1128,83.9582,0,2.60819,5.18357,97.12,48.9201,428.242,13.8746,16.0983,41.2449,1.99226,431.023,205.258,0,1.79686,18.7439,183.47,1.27262,0.62691,9.54447,7.70287,12.7159,4.66887,1.49408,42.6786,0,0.890356,1.32681,56.7093,
119,177.848,634.423,1581.03,0.28033,33.4749,139.363,21.8819,37.1837,27.8419,5.23072,141.071,109.325,0,3.16595,10.3761,105.509,94.9869,586.73,28.3482,35.7453,53.4518,2.11581,591.333,219.392,0,3.33517,30.5637,183.523,1.27262,0.62691,8.21455,7.44591,12.7159,2.22358,1.49408,31.3077,0,0.731604,1.32681,33.5812,
120,177.848,304.478,520.665,0.584107,14.4469,20.165,16.5705,35.2072,28.9905,4.97503,20.9892,76.9494,0,2.42668,9.93692,73.8209,57.5779,156.511,12.1626,13.111,66.8592,1.23674,158.968,170.936,0,1.30128,32.5826,75.4084,1.25501,0.62691,9.54447,23.7347,12.7159,3.44886,1.49408,28.5268,0,0.180855,1.32681,53.0347,
