Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
156,31.0333,99.0463,333.197,0.313321,1.32418,1.09201,2.77926,0.292773,23.9196,0.146877,66.343,0.993102,1.29956,0.855984,0.256469,0.155227,1.24473,1.44021,5.35814,0.692534,324.247,0.00846531,6.36876,0.670987,1.27923,1.02293,2.54936,0.00948848,16.7368,0.0155736,0.0131169,0.991758,8.09394e-05,0.7807,
157,31.0333,61.5932,158.358,0.503843,1.3461,1.11818,4.09308,0.396624,23.3602,0.275494,28.1731,0.992335,0.562159,1.2759,0.338794,0.352518,5.32448,1.53815,3.03349,1.09338,157.224,0.00389947,3.08676,2.03414,1.1503,0.972061,2.76438,0.00948848,9.46223,0.0157783,0.0131169,0.989592,8.09394e-05,0.7807,
158,31.0333,118.235,350.028,0.262471,1.44471,1.13726,4.23238,0.923664,23.3226,0.596804,82.6517,0.993717,1.62381,1.3085,0.503006,0.379819,6.09112,2.84092,2.76183,2.03813,335.744,0.0119058,6.56824,1.79385,1.27923,1.07147,2.76438,0.00948848,12.3656,0.0158076,0.0131169,0.957983,8.10666e-05,0.7807,
159,31.0332,88.5504,276.689,0.350458,1.37713,1.17119,4.14686,0.628437,23.2314,0.437974,54.1366,0.993976,1.06875,1.35805,0.404816,0.451204,5.82795,2.12472,3.0483,1.45915,269.72,0.00901543,5.31243,1.97328,1.14174,1.07148,2.76437,0.00948848,10.257,0.0158639,0.0131169,0.991758,8.06581e-05,0.780668,
160,31.0332,81.9607,208.772,0.378635,1.37388,1.18203,3.89079,0.358739,30.9519,0.20168,41.0064,0.99512,0.815115,1.18503,0.355653,0.446542,3.88761,1.63005,40.4992,0.810688,198.316,0.0224517,3.95158,1.4709,1.27922,1.07148,2.76437,0.00949513,9.66844,0.0156913,0.013121,0.960433,8.06581e-05,0.780668,
161,31.0331,54.9239,115.337,0.565021,1.36476,1.11216,4.04903,0.509775,25.7307,0.149882,19.5852,0.994996,0.391499,1.03589,0.342857,0.26749,5.31153,2.11277,15.7908,0.748332,105.757,0.0167032,2.08736,1.03913,1.27922,1.00963,2.76437,0.00950172,11.2502,0.0158703,0.013121,0.991759,8.06581e-05,0.780646,
162,31.0331,140.7,382.054,0.220563,1.41215,1.1318,3.61673,0.531941,23.1376,0.221613,106.171,0.992033,2.09568,1.38969,0.445269,0.272343,3.71909,1.7989,4.22137,0.716684,383.506,0.00638774,7.50142,2.14572,1.27923,1.07152,2.76437,0.00950437,9.62018,0.0158703,0.0131715,0.968705,8.07559e-05,0.780646,
163,31.0331,116.529,294.368,0.266312,1.433,1.16535,4.00425,0.96854,41.5364,0.492744,63.3031,0.999348,1.25072,1.37557,0.437791,0.411027,3.6435,2.86932,85.3333,1.49556,280.007,0.0286134,5.44454,1.67821,1.27923,0.67985,2.76437,0.00951419,11.2776,0.0160549,0.0132151,0.962198,8.03173e-05,0.780692,
164,31.0331,65.4127,230.156,0.47442,1.33517,1.08713,3.17196,0.428209,24.3601,0.157731,32.1883,0.994627,0.632059,1.0574,0.288096,0.112413,2.54842,2.14159,17.3715,0.945455,223.767,0.0207065,4.39285,1.39501,1.27924,1.07153,2.76436,0.009513,13.6625,0.0160549,0.0131714,0.990632,7.98956e-05,0.780631,
165,31.0331,124.566,344.195,0.249129,1.40213,1.14549,3.55229,0.5165,53.1287,0.349076,60.9785,0.99447,1.20547,1.29381,0.411113,0.317206,3.11498,1.77446,203.605,1.265,258.551,0.0157005,5.07539,1.82278,1.27924,1.07152,2.76436,0.00951419,11.5061,0.0160396,0.0131677,0.976416,8.03173e-05,0.780631,
