Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
11,30.6492,211.566,170.146,0.144868,0.153728,18.4398,5.36435,0.853955,99.4336,2.34287,16.0419,1.36829,25.5675,25.4346,10.068,4.28439,2.21317,0.154094,36.434,3.36756,0.466884,54.9286,1.56633,8.41501,1.34563,45.2652,45.1254,4.1518,2.78041,0.742292,0.00511618,0.169773,0.315952,0.241398,12.8341,0.0305215,0.0916775,0.0353982,0.129848,0.101361,1.37793e-15,0.232241,0.409445,
12,30.6492,166.078,51.9902,0.184547,0.216344,14.199,4.48822,0.764873,67.4979,2.13137,14.7128,1.08463,21.9747,21.8934,10.4245,4.50812,2.18221,0.158207,10.5181,3.57495,0.316752,37.9893,1.59936,8.40603,1.00496,20.8003,21.0594,9.81307,2.72796,0.748312,0.00681104,0.165097,0.141912,0.137422,12.8341,0.0305215,0.0916775,0.0233979,0.129848,0.101361,1.37793e-15,0.243101,0.851323,
13,30.6492,173,129.016,0.177163,0.276469,12.5197,5.00836,0.741396,58.413,2.51281,18.3311,1.29965,25.8137,25.7351,14.9763,4.96886,2.40348,0.168601,10.0357,3.27556,0.4431,56.5262,1.49729,9.51338,1.19902,37.1502,37.6395,22.7276,2.4762,0.877193,0.00837741,0.165097,0.141912,0.137422,12.6437,0.0305215,0.0916775,0.0176971,0.129848,0.101361,1.37793e-15,0.469302,0.281735,
14,30.6492,136.479,50.9905,0.224571,0.304458,9.24831,4.01217,0.764753,45.4367,2.31273,17.3935,1.18302,19.3281,19.3113,10.041,4.64311,2.50013,0.127567,6.78122,2.65182,0.360702,26.9979,1.51348,9.68186,1.03371,21.4982,21.1174,12.2589,2.45759,0.798561,0.00834537,0.165097,0.141912,0.137422,12.3849,0.0305215,0.0916775,0.0176971,0.129848,0.101361,1.37793e-15,0.158278,0.819626,
15,30.6492,120.718,89.7237,0.253892,0.339309,8.93232,3.39646,0.748403,41.5456,2.13413,15.8736,1.26874,15.3638,15.3626,9.53922,3.95987,2.25376,0.0986456,11.1439,2.1758,0.431681,36.5482,1.5727,15.3422,1.08157,18.9254,18.5103,11.9869,2.32731,0.960639,0.12052,0.165097,0.141912,0.137422,12.3849,0.0305215,0.0916775,0.0233979,0.129848,0.101361,1.37793e-15,0.399764,0.156428,
16,30.6492,114.463,125.144,0.267766,0.379621,8.09978,4.22811,0.659956,39.8581,2.17068,13.6676,1.17792,12.0739,12.0537,13.1224,4.75686,2.21405,0.0827896,11.9559,2.84953,0.406765,77.1331,1.59603,9.53732,0.896254,18.5166,18.4022,25.9641,2.4645,0.784614,0.19567,0.165097,0.113869,0.137422,11.7332,0.0305215,0.0916775,0.0233979,0.129848,0.101361,1.37793e-15,0.399764,0.851323,
17,30.6492,119.682,160.438,0.256088,0.377587,9.37874,3.26891,0.668416,31.8926,2.09066,14.9224,0.922424,21.4252,21.3682,6.8152,4.35403,2.19779,0.0672665,14.5915,2.20798,0.371248,35.357,1.57467,15.179,0.756038,51.7957,52.2799,10.0584,2.46957,0.608823,0.158203,0.165097,0.147258,0.218609,8.11015,0.0305215,0.0916775,0.0233979,0.129848,0.101361,1.37793e-15,0.399764,0.851323,
18,30.6492,76.2899,19.7212,0.401747,0.376752,6.13761,2.66678,0.552459,27.7313,2.00561,11.0723,0.853787,7.33565,7.337,4.74362,3.46017,2.01684,0.0564907,6.05752,1.81858,0.272188,10.8829,1.63054,8.04582,0.706379,14.5608,15.3136,5.15172,2.24906,0.585527,0.254616,0.165097,0.0559046,0.218609,10.8345,0.0305215,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.399764,0.851323,
19,30.6492,89.527,144.26,0.342346,0.375927,7.04848,1.95133,0.556828,33.5461,2.06332,11.1424,0.766779,11.6857,11.6877,4.26061,2.49894,1.94286,0.0545986,11.7957,1.80744,0.345357,50.4644,1.70336,12.7139,0.633711,34.7292,35.2315,5.16197,2.1752,0.543855,0.253562,0.171194,0.110485,0.0948661,10.8345,0.0305215,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.399764,1.03853,
20,30.6492,79.7336,112.836,0.384395,0.394576,5.66439,2.30454,0.562002,31.8514,2.1487,9.08257,0.85767,8.32771,8.3336,5.16386,3.18764,1.85492,0.0621329,12.0768,1.99534,0.278168,63.246,1.57956,7.81985,0.942387,16.347,16.2226,5.74059,2.73195,0.499872,0.297449,0.17612,0.110485,0.161971,10.8846,0.0305215,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.399764,1.01428,
21,30.6492,60.9058,12.2308,0.503224,0.388347,4.42553,1.7795,0.564824,24.2662,1.74754,7.17619,0.806427,6.25649,6.25636,3.18477,2.33814,1.71547,0.0364334,3.20954,1.59657,0.188739,8.45773,1.60582,6.36719,0.524282,5.39282,5.42483,3.90579,2.16879,0.499234,0.302351,0.17612,0.110485,0.161971,11.324,0.00649069,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.413561,1.01428,
22,30.6492,71.709,82.4962,0.427411,0.383906,7.24298,1.97754,0.671639,26.0173,1.78379,6.90976,0.668908,9.21863,9.22065,3.24914,2.72006,1.64464,0.0450858,14.1534,1.47079,0.367384,16.5326,1.56835,8.77929,0.421847,21.8425,22.2976,3.53294,2.04236,0.481076,0.195469,0.0630348,0.110485,0.161971,11.324,0.0305215,0.0916775,0.0174908,0.129848,0.101361,1.37793e-15,0.353055,0.560374,
23,27.9512,130.722,230.675,0.213822,0.417314,12.152,1.95367,0.772979,58.2598,1.96818,9.47859,0.711193,18.0286,17.9446,4.28047,3.04115,1.71326,0.162658,23.9525,1.61915,0.664657,121.809,1.50028,16.3399,0.545688,48.0164,48.2331,5.26962,2.60938,0.865392,0.0185193,0.17612,0.110485,0.161971,11.3932,0.0305215,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.413561,0.275825,
24,27.9512,51.967,8.13776,0.537864,0.380667,4.46631,1.38565,0.546416,24.2672,1.52279,4.23337,0.652713,4.10726,4.10114,2.94258,1.84508,1.51586,0.0460547,8.55274,1.33145,0.318469,31.5527,1.44027,6.57612,0.430622,8.8745,14.0797,3.14063,2.02012,0.413776,0.313107,0.17612,0.0904232,0.161971,11.3932,0.0305215,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.33184,0.544297,
25,27.9512,50.6128,11.9924,0.552255,0.377673,4.23786,1.20334,0.538725,24.6537,1.3638,3.60574,0.56613,4.24303,4.23787,2.60975,1.61079,1.36442,0.0343036,3.69937,0.918185,0.165191,6.56952,1.39621,2.91709,0.402206,3.49343,3.49222,2.29739,1.08553,0.370592,0.295428,0.197278,0.0904232,0.282123,11.3053,0.0304995,0.0916775,0.0178242,0.129848,0.101361,1.37793e-15,0.33184,0.544297,
26,27.9512,68.4306,141.459,0.408461,0.389769,6.37151,1.46757,0.655558,34.1716,1.39239,4.88414,0.574182,6.2365,5.86768,3.23441,1.75377,1.43153,0.067878,18.6437,1.61402,0.510745,73.5517,1.33044,11.4123,0.455771,17.4406,14.9636,4.14636,1.19617,0.859946,0.290248,0.197278,0.110485,0.214327,11.3053,0.0305215,0.0916775,0.0167864,0.0134706,0.00846366,1.37793e-15,0.33184,0.544297,
27,27.9512,43.6464,5.76581,0.640401,0.377584,3.06631,1.06269,0.546214,23.7818,1.17328,2.72421,0.486955,2.74032,2.73516,2.22452,1.40966,1.31766,0.0330205,4.17939,0.680637,0.149497,10.3928,1.33021,2.87856,0.393249,3.89243,4.09926,2.22074,0.862363,0.318919,0.304588,0.197278,0.110485,0.31673,11.3053,0.0201051,0.0916775,0.0178242,0.0134706,0.00846366,1.37793e-15,0.33184,0.544297,
28,27.9512,82.917,173.875,0.337098,0.397881,7.55613,1.38829,0.604571,48.5234,1.07059,4.33174,0.56491,6.43844,6.39429,2.66208,1.5628,1.4219,0.11033,17.9766,1.68816,0.28701,113.361,1.35192,11.11,0.557771,14.4799,15.1781,2.65142,1.31516,0.623018,0.173169,0.0757369,0.128436,0.335477,11.3053,0.0261877,0.0916775,0.0286334,0.0134706,0.00846366,1.37793e-15,0.37806,0.689149,
29,27.9512,93.6067,273.569,0.298602,0.404906,3.44793,1.16989,0.918178,44.239,0.960834,7.01211,0.535582,14.7976,14.7836,2.59911,1.24829,1.48959,0.143309,9.37456,2.32652,2.52475,110.651,1.24356,27.7379,0.815171,61.0348,60.9566,2.78767,1.31989,1.41251,0.332184,0.0756503,0.0866485,0.241522,11.3053,0.0305215,0.0916775,0.0393242,0.0134706,0.00846366,1.37793e-15,0.430714,0.485102,
30,27.1432,58.5028,153.994,0.463964,0.388,3.28023,0.727955,1.05356,26.285,0.899758,3.38296,0.522001,8.41709,8.17118,3.12258,0.998416,1.25405,0.0540767,7.42984,0.660376,3.70736,42.4757,1.13058,11.5984,0.430093,44.8075,43.3387,3.18164,0.982985,0.308536,0.0675271,0.047816,0.11503,0.093955,11.3053,0.0158542,0.0916775,0.0241488,0.108483,0.039158,1.37793e-15,0.390597,0.689149,
31,27.1432,79.3976,224.285,0.341864,0.425129,4.13651,1.07368,0.642335,41.7898,0.677888,3.06465,0.443615,10.736,10.6897,3.29923,0.993923,1.42513,0.135881,14.1574,2.91746,0.887588,110.352,1.18167,9.68184,0.447336,45.4004,45.5059,2.50864,1.33394,0.831382,0.344566,0.047816,0.104613,0.093955,11.3053,0.0158542,0.0916775,0.0233336,0.108483,0.039158,1.37793e-15,0.40687,0.769975,
32,26.9893,49.5069,86.6425,0.545162,0.391951,3.22841,0.67769,0.660438,26.133,0.396088,2.57872,0.470299,4.65057,4.60913,3.40909,0.979028,1.32244,0.0482779,11.2,1.46769,0.350845,33.4856,0.789161,9.23512,0.482127,16.3203,16.2789,2.73492,1.43277,0.332139,0.221597,0.047816,0.104613,0.294482,13.9366,0.0158542,0.0916775,0.0173182,0.108483,0.039158,1.37793e-15,0.40687,0.924986,
33,25.8872,54.3336,150.838,0.47645,0.402502,4.38028,0.503367,0.669853,24.8285,0.351382,2.79736,0.333194,7.22679,7.1983,3.59158,0.794674,1.25582,0.0418512,19.3376,0.322948,0.35361,43.8155,0.780509,9.20823,0.317357,40.0542,40.2614,1.81761,0.711329,0.189942,0.173286,0.047816,0.0852075,0.294482,9.36996,0.0135295,0.0916775,0.0159042,0.108483,0.039158,1.37793e-15,0.429667,0.717331,
34,25.8872,103.374,260.85,0.250424,0.398828,7.31653,0.928753,0.777138,38.3063,0.48317,5.44067,0.516336,21.3108,21.2355,4.07879,0.997951,1.58301,0.0885838,28.5588,1.93789,0.688713,71.4817,1.03991,25.2295,1.14855,73.503,73.2611,2.48466,1.35771,1.45072,0.0338079,0.047816,0.11503,0.330441,13.3195,0.0135295,0.0916775,0.0233336,0.108483,0.039158,1.37793e-15,0.42395,1.19852,
35,25.3311,53.4521,172.307,0.473903,0.414262,1.65192,0.585386,0.668347,26.2624,0.188057,2.59631,0.336918,7.49537,7.40599,3.76222,0.752118,1.33272,0.0723901,9.57667,1.27127,0.605019,55.9479,0.364179,14.5649,0.471374,46.4785,46.6919,1.90308,0.88574,0.387889,0.37587,0.0437127,0.114482,0.376873,13.3195,0.0135295,0.128999,0.0160722,0.108483,0.039158,0.970884,0.42395,1.19852,
36,25.0713,49.7676,92.6237,0.503766,0.400106,7.44822,0.570803,0.6622,25.541,0.351093,2.32923,0.373501,2.66293,2.63706,4.36271,1.05104,1.37767,0.0312566,31.3302,1.15474,0.425497,32.1856,0.928621,7.29754,0.639395,11.4471,11.9302,2.7495,1.88347,0.23906,0.255972,0.0437127,0.114482,0.408939,14.0496,0.0117076,0.0647679,0.0160722,0.108483,0.039158,1.61415,0.420836,1.21461,
37,25.0713,54.6171,148.114,0.459037,0.401087,2.26237,0.638241,0.574421,27.2792,0.320491,1.82738,0.320168,7.47853,7.45007,3.9276,0.761155,1.37638,0.0302079,10.3716,1.89619,0.265094,50.2937,0.749015,6.22708,0.588021,41.2194,41.1281,1.64609,0.921901,0.329085,0.195127,0.047816,0.103858,0.376574,15.5379,0.0135295,0.0647679,0.0155187,0.127486,0.0572667,1.70604,0.420836,1.21461,
38,25.0713,58.6551,154.674,0.427435,0.398201,3.78108,0.737846,0.590878,32.2543,0.299085,1.42253,0.298399,6.38134,6.35436,3.97313,0.83819,1.32583,0.0458026,18.8551,2.19772,0.335914,69.2092,0.693718,4.15715,0.476033,37.1274,37.1972,1.61117,1.22972,0.0915049,0.0789274,0.0335216,0.107207,0.408939,15.5379,0.0129679,0.0442403,0.0155187,0.127486,0.0572667,2.39389,0.420836,0.966113,
39,25.0713,95.4299,276.937,0.262719,0.423102,8.49399,0.940559,5.68614,42.2079,0.423804,2.52579,0.270586,13.8288,13.746,4.58264,0.900226,1.40036,0.0763787,34.7342,2.52004,35.5395,101.017,1.11929,7.62168,0.310936,62.0798,62.0979,2.88945,1.19879,0.336002,0.38148,0.0279302,0.10059,0.408939,14.5923,0.0135295,0.0647679,0.0155187,0.127486,0.0572667,2.71042,0.420836,1.18596,
40,25.0713,78.6328,199.046,0.31884,0.41702,4.5907,0.65074,0.63695,29.5752,0.44168,5.69348,0.367102,14.6295,14.2609,4.92431,0.91493,1.53037,0.118447,14.7451,1.20793,5.01003,47.9516,1.01455,22.2345,0.64312,59.2769,58.1892,3.34744,1.17908,1.10774,0.0685528,0.0279302,0.114482,0.408939,14.9881,0.0109501,0.0647679,0.0155187,0.125619,0.0506599,3.00103,0.420836,1.21461,
