Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
16,1644.16,3126.32,3526.2,0.525909,19.6272,0,138.267,153.577,4.04327,1144.67,139.549,1064.63,461.959,13.1361,0,199.26,185.584,2.94031,439.974,204.378,1397.62,1887.23,2.67001,0,1.70624,2.43798,0.0866705,858.67,3.87178,204.953,17.7204,
17,1595.43,2905.67,2962.67,0.549076,20.1286,0,125.629,136.394,4.41602,1157.9,126.295,978.594,356.311,19.1573,0,198.852,174.023,2.82698,682.99,201.539,1440.72,1055.49,2.67001,0,1.70624,2.43798,0.0866705,858.67,2.21039,204.953,17.7204,
18,1454.41,2749.22,3749.39,0.529026,19.536,0,103.932,116.087,3.90144,1133.73,104.147,820.042,447.847,17.0821,0,127.277,95.3601,2.34626,604.135,129.68,1015.09,2393.93,2.67001,0,1.70624,1.58003,0.0866705,878.472,3.87178,204.953,17.7204,
19,1367.54,2307.75,1410.13,0.592586,18.8595,0,76.5028,97.1346,3.70286,1121.37,76.669,722.154,191.364,19.61,0,69.2741,72.5526,2.14336,713.304,68.9821,853.257,269.159,2.67001,0,1.31679,1.58003,0.0866705,878.472,1.47023,204.953,9.37681,
20,1367.54,2517.36,2164.51,0.543246,20.1671,0,120.833,115.052,3.49944,1140.14,121.158,817.252,179.257,18.5854,0,236.245,120.416,2.39231,668.184,240.299,1143.15,155.647,3.59777,0,0.75235,1.58003,0.0866705,878.472,1.0969,204.953,9.37681,
21,1367.54,2298.82,1698.32,0.594888,17.6184,0,98.784,102.971,3.44794,1065.3,98.9579,745.021,166.72,13.6113,0,167.613,104.558,2.08299,470.874,168.941,989.714,160.534,3.59777,0,0.75235,1.58003,0.103159,875.538,1.0969,204.953,9.37681,
22,1367.54,2992.83,5859.49,0.45694,19.7668,0,125.069,115.296,3.47761,1119.24,125.32,876.324,608.339,16.4918,0,229.098,129.043,2.37007,573.07,228.917,1380.73,4502.6,3.59777,0,0.75235,1.58003,0.103159,879.64,1.0969,176.031,6.97349,
23,1104.53,2155.59,1571.93,0.512402,16.4717,0,83.6029,102.745,3.51926,1017.69,83.8278,722.65,125.088,7.14563,0,126.213,93.3197,2.50429,246.299,129.567,1205.9,315.951,3.59777,0,0.75235,1.58003,0.103159,875.658,1.0969,72.0705,9.37681,
24,1104.53,2581.66,5121.17,0.427838,18.899,0,116.919,113.178,3.51055,1084.93,117.007,636.372,490.843,15.5113,0,251.915,153.351,2.07855,553.242,245.96,1014.63,3711.67,4.46931,0,0.75235,1.58003,0.119728,875.658,1.0969,47.0353,9.37681,
25,1104.53,2563.76,5432.09,0.430826,18.7957,0,112.266,100.39,3.67245,1082.49,113.145,625.794,507.199,15.0775,0,243.813,165.119,2.19253,519.532,248.07,1157.42,4075.53,2.52473,0,0.75235,1.58003,0.119728,875.658,1.0969,47.0353,5.58104,
26,1104.53,2102.85,3056.7,0.525255,18.2072,0,87.1596,98.6329,3.58281,1059.2,87.3417,522.195,226.534,13.8571,0,190.953,142.915,1.92251,508.721,194.062,1047.13,1486.26,2.52473,0,0.75235,1.58003,0.119728,875.658,1.0969,47.0353,5.58104,
27,1104.53,3637.98,16936.9,0.303611,17.3157,0,95.1056,100.746,3.517,1020.29,95.2729,526.476,1779.26,7.29421,0,210.253,132.479,1.92622,243.351,209.493,1020.02,15850.5,2.52473,0,0.75235,1.46933,0.0685897,875.658,1.0969,47.0353,5.58104,
28,1104.53,1949.15,1816.9,0.566675,20.2355,0,99.2695,102.698,3.35237,1111.21,99.3663,420.78,92.2304,16.0733,0,237.386,155.521,2.05352,574.272,237.392,588.014,1285.86,2.52473,0,0.75235,1.46933,0.0685897,876.406,1.0969,47.0353,5.58104,
29,1104.53,2290.95,2992.7,0.482128,20.1864,0,104.729,110.469,3.3994,1129.24,105.77,621.95,195.21,15.4059,0,202.288,168.112,2.03295,613.884,205.928,1368.88,1066.55,2.52473,0,0.75235,1.46933,0.0685897,876.406,1.0969,47.0353,5.58104,
30,1104.53,1612.07,1022.89,0.685163,17.9431,0,54.8303,83.6219,3.18777,1031.45,54.8844,308.738,57.4208,10.2758,0,75.5557,71.1559,2.06395,395.255,83.5857,530.731,157.608,2.52473,0,0.75235,1.46933,0.0685897,876.406,1.0969,47.0353,5.58104,
31,1104.53,4772.28,25957.4,0.231448,21.6236,0,97.9857,96.8064,2.90833,1153.98,98.028,575.726,2725.22,20.6973,0,238.093,96.4925,2.03767,771.358,230.223,1416.62,24545.8,2.52473,0,0.75235,1.46933,0.0685897,876.406,1.0969,24.8796,5.58104,
32,1086.27,2193.74,3826.39,0.49517,20.186,0,79.641,93.9184,3.10628,1114.85,80.7514,526.342,274.94,14.4695,0,167.203,120.299,2.66818,544.018,174.754,1355.14,3205.35,2.52473,0,0.75235,1.46933,0.0685897,880.29,1.0969,24.8796,5.58104,
33,1086.27,2344.73,2860.46,0.463283,21.635,0,121.735,123.296,2.83972,1172.81,123.206,671.274,107.932,18.5577,0,263.487,184.948,2.15357,718.457,254.775,1555.42,468.113,2.52473,0,0.812662,1.46933,0.0685897,880.29,1.65441,24.8796,5.58104,
34,1086.27,2285.97,3876.88,0.475191,20.7495,0,104.995,108.158,2.84003,1130.99,105.515,555.694,257.029,16.5193,0,283.147,149.627,2.21281,617.816,284.248,1463.05,1740.55,2.52473,0,0.312669,1.22119,0.0685897,880.29,0.724997,24.8796,5.58104,
35,1086.27,2234.86,2699.08,0.486059,22.228,0,137.767,121.017,2.8212,1177.47,138.415,542.123,93.0188,18.3713,0,318.187,184.669,2.48469,680.379,313.236,1308.51,263.887,11.6068,0,0.812662,5.07962,0.0685897,892.648,1.65441,24.8796,6.7423,
36,1086.27,2128.36,3024.44,0.51038,21.4037,0,94.592,112.805,2.70993,1161.88,96.381,512.165,126.426,19.1659,0,248.728,201.383,2.00676,771.39,258.902,1426.87,571.875,10.8831,0,0.812662,5.07962,0.0692096,892.648,1.65441,24.8796,6.7423,
37,1086.27,2991.05,11070.6,0.363175,20.6784,0,90.8676,108.21,2.83747,1132.82,92.8799,512.156,1030.6,18.4,0,228.59,149.329,2.76585,708.76,237.586,1450.08,9463.25,10.8831,0,0.812662,5.07962,0.0692096,892.648,1.65441,23.0626,6.7423,
38,1086.27,1997.44,2497.16,0.543834,20.7369,0,93.1516,109.863,2.71103,1136.13,94.1443,484.84,55.8638,18.3314,0,267.404,173.848,2.32986,697.278,269.838,1321.12,680.339,11.6068,0,0.812662,3.66545,0.0154155,892.648,1.65441,23.0626,8.30829,
39,1086.27,3604.47,12920.2,0.301369,22.5423,0,98.2088,96.7819,2.42762,1200.91,98.327,551.238,1534.03,21.9801,0,265.216,128.198,2.05697,818.07,264.996,1549.36,11284.2,11.6068,0,0.812662,4.16985,0.0154155,892.648,1.65441,23.0626,8.30829,
40,1054.33,1838.77,2416.92,0.573388,19.5875,0,54.011,101.967,2.41953,1118.66,55.0269,393.683,93.4146,17.2701,0,147.911,173.856,2.07909,748.794,158.7,1206.13,891.344,11.6068,0,0.52644,5.07962,0.0154155,892.648,1.29499,23.0626,8.30829,
41,1054.33,1880.56,2450.5,0.560647,19.0408,0,86.3425,108.113,2.39474,1093.37,86.6032,428.525,56.1689,14.2555,0,242.9,183.364,2.1675,580.32,243.687,1243.98,158.253,11.6068,0,0.52644,5.07962,0.0319049,892.648,1.29499,23.0626,8.30829,
42,1054.33,1928.03,2766.45,0.546843,21.1012,0,74.1778,87.8563,2.36725,1151.91,74.7168,456.429,59.4723,21.3805,0,198.952,143.174,1.82863,822.926,200.234,1492.35,185.314,11.6068,0,0.52644,4.94528,0.0319049,892.648,1.29499,20.5821,7.92358,
43,1054.33,1704.69,2157.26,0.618489,18.8134,0,67.9229,72.0588,2.32994,1067.63,68.2434,349.787,57.8982,15.6359,0,197.638,114.341,1.90309,572.808,198.497,1183.91,226.799,11.3515,0,0.52644,1.13799,0.0319049,890.555,1.29499,19.196,7.92358,
44,1054.33,1628.84,1824.28,0.647291,17.5689,0,82.6259,90.4901,2.49715,1033.46,82.9271,269.89,49.3769,11.5419,0,236.434,160.46,2.04487,439.227,235.039,795.331,139.067,11.3515,0,0.52644,4.51994,0.0242134,890.555,1.29499,19.196,7.92358,
45,1010.81,2311.84,3990.88,0.43723,20.6189,0,95.9708,139.621,3.005,1198.64,99.0885,541.797,213.104,22.788,0,304.143,414.443,3.14539,1014.77,311.423,1591.77,1337.32,8.56972,0,0.52644,2.60324,0.0319049,890.555,1.29499,19.196,7.92358,
46,1010.81,2226.65,6015.88,0.453959,19.9757,0,56.532,88.6699,2.39427,1136.06,56.9616,383.117,482.942,21.5959,0,150.322,172.046,2.23704,842.428,159.203,1271.67,4402.24,11.0984,0,1.70291,5.07962,0.0319049,890.555,1.63467,19.196,7.92358,
47,1010.81,1903.72,2986.65,0.530965,17.669,0,64.8006,86.4927,2.51715,1059.19,64.9348,414.475,193.642,12.8647,0,173.284,155.751,2.12547,511.434,173.674,1165.51,1428.81,11.0984,0,1.70291,3.54149,0.0492953,890.555,1.63467,19.196,7.92358,
48,1010.81,1714.27,2082.02,0.589644,19.115,0,57.3468,95.065,2.95121,1117.6,51.9086,310.341,59.9391,19.3838,0,151.457,312.756,2.43526,757.857,127.675,920.828,219.446,11.0984,0,0.0362671,2.56369,0.0492953,890.555,0.22451,19.196,7.92358,
49,1010.81,1815.3,2407.72,0.556825,20.1637,0,67.3714,70.7913,2.91161,1134.08,67.4211,397.094,55.4764,20.6091,0,209.91,136.05,2.35357,773.06,210.374,1377.7,126.734,11.0984,0,0.0362671,2.05629,0.0492953,890.555,0.22451,19.196,7.92358,
50,1010.81,2159.65,3044.31,0.468043,20.0975,0,121.397,106.091,2.76333,1144.42,123.316,570.685,70.8747,18.9151,0,327.904,230.33,2.39747,728.836,320.873,1562.97,168.63,10.4725,0,0.0362671,2.33998,0.0192588,889.13,0.22451,17.7428,7.92358,
51,1010.81,2204.4,3661.87,0.458542,20.2011,0,78.6249,101.666,2.64432,1171.31,79.2729,542.667,208.008,20.5461,0,234.764,266.9,2.33489,924.88,243.529,1576.78,1423.26,11.0984,0,0.0362671,1.89357,0.0374108,890.555,0.22451,17.7428,7.92358,
52,1010.81,2435.02,4538.71,0.415113,19.6055,0,134.817,110.074,2.82566,1128.96,135.372,534.56,368.81,15.1453,0,332.031,230.385,2.54538,616.486,319.023,1464.4,2702.57,11.0984,0,0.0362671,5.7789,0.0374108,890.555,0.22451,17.7428,7.92358,
53,1010.81,1803.32,2553.19,0.560526,16.7939,0,74.7184,88.9298,2.74526,1044.73,75.8281,428.21,71.3612,13.2236,0,207.859,197.439,2.21086,561.461,210.184,1423.67,377.846,8.38131,0,0.0362671,5.7789,0.0342306,878.235,0.22451,17.7428,7.92358,
54,1010.81,2159.7,2854.51,0.468031,21.9626,0,72.1238,77.3812,3.12752,1228.4,72.4549,617.737,66.52,23.9808,0,172.449,131.01,2.78795,923.238,173.123,1708.33,156.401,10.8582,0,0.0362671,2.89585,0.0492953,891.217,0.22451,17.7428,7.92358,
55,1010.81,2026.07,3417.39,0.498902,20.6951,0,74.9319,60.0899,2.65902,1164.55,74.9766,397.23,230.933,23.2794,0,205.883,100.975,2.30129,878.936,205.465,1293.9,1758.08,10.8582,0,0.0362671,1.54974,0.0492953,891.217,0.22451,14.5142,7.92358,
56,1010.81,1651.21,2175.59,0.612164,16.7432,0,73.9934,63.0122,2.66658,1021.16,74.6061,343.8,55.2216,12.1017,0,205.095,138.434,2.43205,435.424,208.182,1273.63,220.416,10.8582,0,0.0362671,1.54974,0.0492953,891.217,0.22451,14.5142,7.92358,
57,1010.81,2410.93,3465.23,0.419261,22.4334,0,143.167,137.786,3.29655,1265.48,145.863,603.289,89.6086,24.9981,0,359.139,297.726,2.9289,1047.02,350.606,1561.92,199.754,10.8582,0,0.0362671,1.54974,0.0492953,891.217,0.22451,14.5142,7.92358,
58,1010.81,2439.2,6059.52,0.414401,18.0781,0,103.235,103.365,2.79873,1099.02,103.911,409.95,598.843,15.4443,0,284.932,246.93,2.58103,675.009,293.478,1339.83,3960.75,10.8582,0,0.0362671,1.54974,0.0492953,891.217,0.22451,14.5142,7.92358,
59,1010.81,1773.87,2509.63,0.569833,17.5641,0,80.2365,60.0222,2.83331,1046.21,80.3771,445.617,41.0083,13.9167,0,210.88,123.878,2.30257,496.336,216.068,1577.81,288.235,10.8582,0,0.0362671,1.54974,0.0329431,891.217,0.22451,17.7428,10.3686,
60,1010.81,1994.4,2635.73,0.506822,19.7938,0,93.2242,79.1876,2.75346,1138.86,93.5314,485.375,81.6799,21.1527,0,271.625,159.51,2.36939,769.671,269.939,1394.48,216.223,10.8582,0,0.0362671,1.54974,0.0329431,890.475,0.22451,17.7428,10.3686,
61,1010.81,1916.16,2771.88,0.527518,17.5511,0,73.3847,84.2648,2.6622,1092.24,75.0507,463.266,107.738,14.6897,0,178.465,183.523,2.4774,616.864,186.055,1411.65,406.863,10.8253,0,0.0362671,0.431936,0.0272627,890.475,0.22451,17.7428,11.1989,
62,1010.81,2164.51,4067.79,0.466991,19.6356,0,91.9727,62.646,2.87192,1133.08,92.5602,447.832,313.912,20.6423,0,267.759,162.903,2.30259,756.355,271.072,1337.91,2189.24,10.6006,0,0.0362671,1.99902,0.0272627,889.892,0.22451,17.7428,11.1989,
63,1010.81,3322.98,11315.8,0.304187,20.5118,0,134.636,123.791,3.19827,1219.17,137.05,630.201,1054.43,22.1131,0,353.318,282.54,3.02074,883.083,348.269,1635.46,9687.93,10.6006,0,0.0362671,1.99902,0.0272627,889.892,0.22451,17.7428,11.1989,
64,1010.81,1801.05,2467.08,0.561231,17.8174,0,78.2186,60.1135,2.67814,1074.67,78.2609,424.33,64.9653,17.8986,0,244.399,129.704,2.26379,646.757,253.235,1507.66,646.101,4.52483,0,0.0362671,1.99902,0.0272627,889.892,0.22451,17.7428,12.265,
65,1010.81,2115.12,2986.35,0.477897,20.4633,0,83.0575,101.989,2.85087,1201.57,83.8303,519.786,101.573,24.0759,0,221.695,236.271,2.48353,895.353,221.76,1420.18,243.406,10.6006,0,0.0362671,1.99902,0.0272627,889.892,0.22451,17.7428,13.8723,
66,1001.7,1691.08,2098.41,0.592342,18.4038,0,73.4086,55.2897,2.3676,1103.57,73.5073,302.551,61.9803,18.7394,0,197.92,115.374,2.01548,693.833,200.196,990.467,151.634,10.2406,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,13.2423,
67,990.508,1800.95,2627.27,0.549992,18.1185,0,63.7359,78.3916,2.64854,1107.71,64.0344,394.015,72.2979,21.383,0,186.489,181.488,2.42976,817.57,188.563,1306.96,195.492,10.2406,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,12.2152,
68,990.508,3523.46,15927.1,0.281118,20.3197,0,92.1579,103.584,2.88418,1195.92,93.9966,456.004,1558.59,23.2266,0,266.751,248.742,2.72442,896.735,262.307,1309.53,14730.2,10.2406,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,14.2003,
69,990.508,2315.53,5685.22,0.427767,17.734,0,58.5267,84.0318,2.59289,1101.82,58.8758,415.964,575.991,20.9493,0,176.737,191.385,2.5242,798.882,177.459,1420.84,3884.16,10.2406,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,13.3261,
70,990.508,1781.41,2602.9,0.556023,15.6735,0,54.2245,79.0673,2.32327,1049.92,54.9104,410.733,114.562,14.651,0,141.934,193.255,2.11828,591.111,144.692,1437.58,713.734,7.44693,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,12.9496,
71,988.032,4457.2,19122.5,0.221671,19.6797,0,111.414,75.159,2.54133,1161.06,111.594,540.949,2434.8,23.1546,0,305.146,187.395,2.57261,860.235,291.986,1570.05,17343.9,10.2406,0,0.0362671,1.03802,0.0272627,886.035,0.22451,17.7428,13.3261,
72,988.032,3746.59,15976.7,0.263715,15.6768,0,74.1775,74.593,2.36462,1034.34,74.9895,557.477,1912.97,15.4632,0,231.719,161.218,2.52793,561.753,237.299,1769.24,14534.5,8.77786,0,0.968964,1.03802,0.0272627,886.035,1.28473,17.7428,7.623,
73,983.526,1915.42,2761.26,0.513477,16.2848,0,71.1814,75.6816,2.42721,1073.49,71.4591,502.599,102.303,17.2965,0,242.38,187.413,2.84944,641.04,244.556,1513.63,1551.84,4.28116,0,0.968964,1.03802,0.0272627,886.035,1.28473,17.9169,10.0987,
74,983.526,1728.98,2172.59,0.568849,15.4547,0,64.6199,65.2001,2.32873,1037.31,64.8172,393.73,85.517,14.9537,0,187.791,132.337,2.37546,570.591,189.654,1209.57,240.989,9.89674,0,0.968964,1.03802,0.0272627,883.739,1.08589,17.9169,10.0987,
75,983.526,2298.18,3251.16,0.42796,18.2432,0,109.177,99.9153,2.49154,1151.88,112.394,737.128,66.9497,20.1903,0,294.493,220.35,2.93626,777.042,290.808,1873.99,151.079,9.89674,0,0.968964,1.03802,0.0272627,883.739,1.08589,17.9169,10.0987,
76,983.526,2085.91,3188.03,0.47151,18.7589,0,86.0243,69.325,2.1257,1148.6,86.3049,562.555,112.211,22.8403,0,269.172,150.561,2.72838,836.96,274.164,1723.97,511.652,9.89674,0,0.968964,1.03802,0.0272627,883.739,1.08589,17.9169,7.28201,
77,983.526,2198.57,3264.07,0.447348,19.7211,0,103.385,85.1292,2.23474,1183.81,103.59,637.394,63.3122,25.3194,0,293.811,195.177,2.7976,927.243,297.871,1686.89,163.848,9.71908,0,0.968964,1.03802,0.0272627,883.739,1.08589,17.9169,7.28201,
78,983.526,2009.67,3308.1,0.489398,17.7468,0,85.5263,67.6225,2.19347,1137.32,86.8921,469.377,142.992,22.4344,0,285.815,195.122,2.70094,901.791,296.819,1493.35,520.961,9.71908,0,0.680422,1.03802,0.0329431,883.739,1.08589,14.6282,7.28201,
79,983.526,1834.5,2730.55,0.536128,14.884,0,63.7008,94.6474,2.26509,1036.91,63.1228,482.489,76.4811,13.1103,0,209.818,242.71,2.6552,535.954,212.081,1574.93,257.154,9.71908,0,0.680422,1.03802,0.0329431,883.739,1.08589,14.6282,10.0987,
80,983.526,2030.44,4132.13,0.484391,17.9501,0,47.4735,55.2981,2.05159,1139.42,47.6588,460.202,260.388,24.8558,0,162.465,137.494,2.75408,928.086,165.321,1581.91,2099.32,9.71908,0,0.680422,1.03802,0.0229654,883.739,0.995553,14.6282,10.0987,
81,983.225,2085.15,3353.57,0.471536,22.6202,0,111.618,110.395,1.88681,1179.19,115.864,473.875,69.7012,59.7073,0,313.912,269.058,2.38194,1031.33,311.233,1501.86,222.979,9.71908,0,0.680422,1.92543,0.0229654,883.739,0.918367,14.6282,12.9233,
82,983.225,2423.55,4390.91,0.405696,18.1678,0,99.8051,96.7011,1.98776,1169.95,102.166,658.743,276.025,22.1823,0,331.022,264.61,2.76506,863.266,338.003,1830.67,2102.48,9.71908,0,0.680422,1.9577,0.0229654,883.739,0.918367,14.6282,7.00263,
83,981.161,1887.18,3259.38,0.519909,17.1358,0,69.5537,71.9383,1.82169,1106.74,72.5749,477.741,69.6728,24.1125,0,251.371,222.811,2.53517,898.767,270.752,1695.41,262.168,9.71908,0,0.680422,1.9577,0.0229654,883.739,0.918367,14.6282,8.17713,
84,981.161,2571.08,4790.76,0.381615,16.8976,0,109.372,99.8925,1.85133,1119.31,109.962,721.042,392.747,18.4334,0,295.409,211.676,2.24202,705.39,291.413,1956.08,2206.3,6.82136,0,0.680422,8.99999,0.0229654,883.739,0.918367,14.6282,8.17713,
85,980.818,1948.25,3674.02,0.503436,15.6213,0,70.5992,74.6454,2.0308,1058.75,70.989,393.049,262.564,18.2255,0,234.805,180.477,2.32354,684.675,237.511,1342.86,1751.85,6.86643,0,0.276401,8.19477,0.0197596,883.739,0.267861,14.6282,8.17713,
86,976.822,1952.46,2987.03,0.500303,16.7558,0,63.7537,73.3289,2.03377,1103.06,64.2286,541.112,88.1919,21.2087,0,242.074,191.783,2.31512,799.824,244.356,1671.38,401.566,9.71908,0,0.276401,1.65051,0.0197596,883.739,0.267861,14.6282,13.3261,
87,976.822,2478,6063.21,0.394199,17.3411,0,93.1798,115.242,2.37912,1175.9,97.317,423.362,553.28,23.3377,0,280.065,314.691,2.69051,992.219,294.544,1400.95,4263.85,9.02405,0,0.276401,1.65051,0.0197596,883.739,0.267861,14.6282,13.3261,
88,976.822,1875.96,3198.26,0.520706,15.6773,0,68.9594,91.8122,2.23043,1094.13,66.9287,333.615,202.607,20.2943,0,238.63,330.361,2.49938,899.516,243.472,1179.15,1414.21,7.39751,0,0.276401,1.65051,0.0197596,883.739,0.267861,14.6282,14.0563,
