Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Heave.front.toe_angle_l.avg,Heave.front.half_track_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.half_track_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Heave.front.toe_angle_l.best,Heave.front.half_track_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Steering.front.tie_rod_angle_front_view_l.best,
26,64.5928,105.486,37.8644,0.612336,4.59722,1.73158,54.3251,0.58459,1.72451,5.64687,0.40233,30.5896,1.35697,2.34296,2.18413,9.80232,1.72524,21.8322,0.474802,0.758467,10.8111,0.0912434,13.9596,0.530287,0.539631,1.32268,0.13017,0.0127005,24.4073,0.0507993,0.413464,0.0228311,0.020854,1.85964,0.100521,0.705134,0.816054,
27,64.5928,105.881,38.6902,0.610048,4.75243,1.71797,54.4803,0.583116,1.73064,5.79585,0.40196,30.5357,1.3545,2.33789,2.19108,10.284,1.72226,22.2081,0.473671,0.774371,10.9397,0.0912215,13.9378,0.53045,0.53938,1.33026,0.13017,0.0127005,24.4073,0.0507993,0.413464,0.0228311,0.020854,1.85964,0.100521,0.705134,0.816054,
28,64.5928,102.286,34.2855,0.631493,4.17304,1.60184,53.5678,0.527882,1.69983,4.29073,0.40242,30.327,1.31833,2.29345,2.08343,8.11558,1.83501,20.8353,0.453092,0.731061,6.94644,0.0775047,13.0368,0.504148,0.449085,1.61716,0.264386,0.00428296,23.8807,0.0461784,0.679361,0.0402401,0.0137706,8.6381,0.394575,0.888673,0.940575,
29,64.5928,101.818,33.437,0.634392,4.12915,1.5827,53.435,0.521477,1.69547,4.06528,0.402379,30.3014,1.3189,2.29215,2.07452,8.0887,1.81424,20.6918,0.442074,0.726202,5.57552,0.0774965,13.0345,0.502929,0.447311,1.61231,0.264386,0.00428296,23.8807,0.0461784,0.679361,0.0402401,0.0137706,8.6381,0.394575,0.888673,0.940575,
30,64.5928,102.894,37.4822,0.627761,4.26884,1.63425,54.4205,0.520231,1.73068,4.15305,0.400614,30.0765,1.32406,2.29746,2.06779,8.46471,1.99336,23.7884,0.465092,0.831426,6.28059,0.0802841,13.0842,0.52815,0.464209,1.65608,0.189527,0.00428296,23.8807,0.0461784,0.679361,0.0402401,0.0137706,8.6381,0.394575,0.888673,0.919052,
31,64.5928,102.036,34.767,0.63304,4.11753,1.6106,53.9122,0.512558,1.71238,3.98678,0.401818,30.1294,1.31273,2.29054,2.04923,8.17058,1.95494,22.2821,0.442997,0.783368,5.58189,0.077704,13.054,0.502079,0.454385,1.62166,0.189527,0.00428296,23.8807,0.0461784,0.679361,0.0402401,0.0137706,8.6381,0.394575,0.888673,0.919052,
32,64.5928,100.428,41.7076,0.643172,3.52887,1.38987,53.2676,0.475163,1.69015,4.45725,0.405892,29.7283,1.28343,2.30125,1.90067,8.80637,1.64125,25.1589,0.410503,0.89052,9.59686,0.0672709,7.1955,0.530381,0.458603,1.44071,0.0711105,0.0217113,28.9838,0.0651871,0.776685,0.0656129,0.0321198,7.11757,0.0194799,0.764639,0.940715,
33,64.5928,101.709,43.9265,0.635076,3.80201,1.4252,54.0838,0.479847,1.71896,4.79755,0.40396,29.4908,1.28019,2.28316,1.94338,9.67337,1.75064,26.7734,0.435833,0.942313,10.3316,0.0693812,7.44107,0.531952,0.461399,1.59042,0.0711105,0.00535329,28.9838,0.0651871,0.776685,0.0656129,0.0321198,7.11757,0.0194799,0.764639,0.940715,
34,64.5928,101.682,43.9318,0.635244,3.80202,1.42746,54.0527,0.479067,1.71783,4.79338,0.404073,29.5042,1.27936,2.28022,1.94138,9.70798,1.74871,26.78,0.436107,0.944663,10.3814,0.0693567,7.43726,0.53203,0.458741,1.59704,0.0711105,0.00535329,28.9838,0.0651871,0.776685,0.0656129,0.0321198,7.11757,0.0194799,0.764639,0.940715,
35,64.5928,97.8169,37.6888,0.660344,3.23031,1.31403,50.0756,0.443233,1.57936,4.20404,0.418581,31.1296,1.23902,2.30173,1.88141,9.70896,1.88085,22.8109,0.439608,0.800865,10.1779,0.0538576,6.89097,0.569824,0.455899,1.42004,0.178086,0.0178307,23.64,0.0805623,0.901647,0.0368232,0.0224496,0.244313,0.319836,0.695767,0.94996,
36,64.5928,96.9357,36.4072,0.666347,2.94734,1.24298,49.9787,0.434396,1.57416,3.88858,0.41803,31.1089,1.22092,2.28965,1.83208,9.2027,1.7574,22.4467,0.434694,0.783238,9.17677,0.051259,6.72904,0.539348,0.447815,1.36059,0.178086,0.0178307,23.64,0.0805623,0.901647,0.0368232,0.0224496,0.244313,0.319836,0.695767,0.94996,
37,64.5928,96.9384,36.4068,0.666328,2.94876,1.24036,49.9418,0.434576,1.57277,3.89773,0.418181,31.1426,1.22075,2.2874,1.83346,9.16705,1.7563,22.4591,0.434596,0.783921,9.16983,0.0512942,6.7496,0.539054,0.446479,1.35932,0.178086,0.0178307,23.64,0.0805623,0.901647,0.0368232,0.0224496,0.244313,0.319836,0.695767,0.94996,
38,64.5928,96.3529,35.4646,0.670377,2.80164,1.07568,48.835,0.430431,1.53249,3.51151,0.42497,32.5047,1.20586,2.27801,1.75264,8.69972,1.55398,21.4086,0.498371,0.786203,6.97132,0.0442886,9.44764,0.52384,0.52796,1.3312,0.144966,0.00622977,24.8417,0.0849347,0.640521,0.062842,0.178199,2.66646,0.374089,0.668525,0.72486,
39,64.5928,95.6262,33.3171,0.675472,2.58017,1.04502,48.5529,0.413928,1.52177,3.42431,0.424561,32.4812,1.1864,2.27436,1.72159,7.81154,1.45673,20.8016,0.42016,0.762308,6.81293,0.0432734,9.34524,0.41226,0.523873,1.23472,0.144966,0.00622977,24.8417,0.0849347,0.640521,0.062842,0.178199,2.66646,0.374089,0.668525,0.72486,
40,64.5928,96.6412,35.8051,0.668377,2.77958,1.05391,49.2761,0.420559,1.5469,3.48825,0.423443,32.4315,1.19017,2.26417,1.76663,8.23324,1.47205,22.9591,0.451835,0.831207,7.03294,0.0461564,9.45545,0.425524,0.523838,1.3831,0.144966,0.00622977,24.8417,0.0849347,0.640521,0.062842,0.173217,2.66646,0.374089,0.668525,0.72486,
41,64.5928,95.2441,39.4502,0.678182,2.75297,0.84194,47.5017,0.377183,1.48069,3.78162,0.43048,33.0183,1.18755,2.21493,1.65673,9.04768,1.2655,23.7325,0.343587,0.828451,10.6742,0.0424404,6.7332,0.474479,0.384741,0.969327,0.116428,0.00618536,18.8455,0.088512,0.427803,0.039652,0.048695,5.13866,0.874634,1.04724,0.330781,
