Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
32,45.1424,59.2501,37.3721,0.761896,0.757106,1.1439,0.791928,32.4702,18.1936,0.39533,3.75719,0.148549,0.512687,1.07959,1.35762,0.265849,1.30142,23.1246,7.9887,0.763685,14.4117,0.231689,0.450704,0.405729,0.0974887,0.832565,0.00108233,25.2017,9.19783,0.0160298,0.131358,0.029647,0.28305,0.767116,
33,45.1424,64.8943,54.6021,0.69563,1.12138,1.15883,0.810277,28.9065,19.8124,0.285809,11.1268,0.112297,0.547415,1.01265,2.03274,0.273166,1.53035,12.8262,19.6204,0.410245,36.933,0.136897,0.545042,0.237008,0.0974887,0.59481,0.00108233,21.8861,0.0811173,0.0160298,0.287228,0.0351834,0.28305,0.672558,
34,45.1424,59.7412,39.6279,0.755633,0.79694,1.16152,0.653435,28.7092,16.7885,0.410225,9.57322,0.10585,0.535749,1.00651,1.18342,0.266178,1.21517,10.7504,6.57178,0.77343,31.32,0.123597,0.561818,0.370698,0.0974887,0.832565,0.0222605,24.9304,1.03734,0.0160298,0.287228,0.0370836,0.276205,0.713102,
35,44.8468,61.6494,49.6207,0.72745,0.795951,1.07447,0.684668,28.6087,22.1508,0.504439,6.34577,0.109964,0.504528,0.870018,1.54345,0.213844,1.23949,12.6846,28.6183,0.97195,28.1722,0.14863,0.492613,0.192356,0.0974887,0.811712,0.00273629,25.0643,8.27727,0.0160298,0.287228,0.0255985,0.266722,0.296926,
36,44.8468,69.721,91.3256,0.643233,1.03963,1.10779,0.718871,31.5976,28.2273,0.446314,4.9381,0.139156,0.477497,1.0287,2.03215,0.289112,1.24865,17.9765,79.8909,0.777375,17.8764,0.227183,0.510433,0.457153,0.0974887,0.745802,0.00273629,25.0643,0.781135,0.0116693,0.302516,0.0370836,0.28387,0.406392,
37,44.8468,76.4606,72.6247,0.586536,0.978683,1.14477,0.902672,37.4836,18.3862,0.544958,15.2339,0.184351,0.632812,0.968608,1.82032,0.321377,1.46262,31.3262,18.7599,1.04736,44.7331,0.297212,0.702918,0.307415,0.0974887,0.745802,0.00273629,25.018,0.530721,0.015445,0.341713,0.0354509,0.28387,0.455068,
38,44.6378,65.2449,51.9175,0.684159,0.6337,1.12357,0.678916,29.6821,15.7398,0.695986,15.0915,0.114921,0.550324,0.934138,0.979721,0.292799,1.27404,14.9806,5.01334,1.26925,40.5029,0.168089,0.552557,0.261383,0.0974887,0.760973,0.00273629,24.9885,0.228809,0.015445,0.342548,0.0370836,0.280367,0.30066,
39,44.0854,63.3995,56.6666,0.69536,0.863486,1.06627,0.568031,31.0744,21.5235,0.549632,6.20408,0.115389,0.475847,0.958821,1.68767,0.306078,1.24959,19.4956,28.6943,1.25434,22.7249,0.178177,0.420196,0.481141,0.0974887,0.740076,0.00273629,24.9448,6.82994,0.015445,0.27807,0.0436608,0.286225,0.652055,
40,44.0854,73.6401,69.3331,0.59866,1.21022,1.06016,0.798092,31.4953,22.1909,0.556114,14.4537,0.154146,0.617379,1.10406,2.28305,0.284411,1.45238,17.7364,41.8029,1.08795,40.6754,0.226993,0.644376,0.692024,0.144736,0.740076,0.0175266,10.9893,0.704353,0.015445,0.319123,0.0483952,0.292385,0.570983,
41,44.0854,65.9596,53.8785,0.66837,1.06778,1.02477,0.665356,31.8905,19.9878,0.485255,9.09421,0.13614,0.666314,0.941521,1.80206,0.256884,1.31406,19.0416,24.9527,0.944667,26.1933,0.217373,0.773853,0.348266,0.144736,0.740076,0.0175266,24.9448,7.84697,0.015445,0.319123,0.0448137,0.295239,0.405692,
42,44.0854,71.9459,70.7787,0.612758,1.06558,1.02049,0.935594,33.5625,21.4886,0.40395,11.7105,0.152652,0.618199,0.987824,2.40788,0.214386,1.81458,25.3433,37.8494,0.873763,34.8346,0.268983,0.692464,0.390039,0.142629,0.740076,0.015,24.9448,5.87589,0.0159984,0.319123,0.0483952,0.295239,0.397302,
43,44.0854,65.1192,53.1785,0.676996,1.0323,1.00349,0.565078,31.2119,16.475,0.417195,12.7425,0.134447,0.555446,0.98183,2.14137,0.254168,1.26325,21.013,7.78915,0.849861,36.8815,0.226288,0.635537,0.480306,0.142629,0.740076,0.0158479,16.3235,3.0388,0.0159984,0.319123,0.0498038,0.295239,0.794,
44,44.0854,74.0617,60.1545,0.595253,0.981698,1.08128,0.84168,35.7817,15.1545,0.633288,17.7804,0.184532,0.656741,0.965912,2.33896,0.373203,1.50604,28.2944,3.07089,1.17579,41.857,0.308464,0.720111,0.45456,0.124729,0.7186,0.0158479,24.9352,5.87594,0.0157265,0.396101,0.0470414,0.298584,0.215409,
45,44.0854,55.2762,35.4998,0.797548,0.818705,0.977066,0.420434,28.1436,16.0272,0.326539,7.02434,0.0910122,0.464255,0.983116,1.50716,0.241769,1.20204,15.4136,2.02106,0.710088,29.192,0.160726,0.470496,0.33259,0.142629,0.7186,0.0148681,16.3971,8.64416,0.0147694,0.396101,0.0397433,0.272334,0.834487,
46,43.6917,61.597,47.6395,0.709316,1.02149,0.973809,0.578964,31.969,15.9647,0.584431,8.84537,0.132513,0.549558,0.977165,2.05847,0.321256,1.28089,27.3509,5.28646,1.34248,31.7324,0.253463,0.615507,0.336807,0.142629,0.7186,0.014701,15.0042,1.52211,0.0147694,0.396101,0.0470414,0.299758,0.576995,
47,43.6917,68.6548,61.7202,0.636397,0.980478,0.965017,0.764738,36.3821,15.1204,0.850231,11.8031,0.168647,0.55604,1.06403,2.1099,0.263807,1.54936,34.6951,3.22977,1.89448,32.9286,0.288128,0.593269,0.599663,0.104451,0.666044,0.00298352,24.8726,3.83321,0.0146593,0.396101,0.0470414,0.305551,0.839784,
48,43.6715,62.71,45.9215,0.696404,1.08924,1.02555,0.699699,36.3079,15.9304,0.523694,5.44748,0.174592,0.62118,0.890215,2.47375,0.428458,1.4748,30.9129,4.51273,1.39105,21.524,0.301642,0.744957,0.205934,0.124198,0.666044,0.00298352,24.8726,2.75338,0.0146593,0.399443,0.0513414,0.299969,0.53636,
49,43.6715,66.458,55.8423,0.657129,0.912813,0.93016,0.69628,32.8273,16.6612,0.472499,12.314,0.126384,0.586442,0.930956,1.83243,0.275606,1.45359,23.5596,8.93507,0.986839,33.1427,0.200327,0.696159,0.235823,0.0653689,0.666044,0.00298352,24.8726,5.7839,0.0146593,0.399443,0.0136658,0.299881,0.214462,
50,43.5639,67.436,54.6134,0.646004,0.996499,0.937002,0.678703,33.8673,14.9582,0.506506,13.819,0.171106,0.569133,0.932478,2.81091,0.298293,1.46161,25.4936,3.66653,1.20549,36.4012,0.288937,0.648918,0.42547,0.12728,0.666044,0.00393069,24.8726,1.67902,0.0146593,0.410376,0.0513414,0.299969,0.37219,
51,43.5639,68.2199,74.3672,0.638581,1.19878,0.917803,0.518215,33.0504,24.8806,0.452033,5.54363,0.146232,0.533496,0.978736,3.00475,0.29507,1.18844,25.6228,54.1957,1.00026,23.6523,0.252356,0.599926,0.497527,0.12728,0.689587,0.00393069,24.8726,3.97254,0.0146593,0.410376,0.053197,0.305521,0.307763,
52,43.5639,573.837,3519.4,0.0759169,0.972047,0.941966,0.84021,35.8172,519.023,0.674558,13.4661,0.334126,0.602376,1.16512,2.24718,0.375808,1.60722,27.6128,3545.76,1.5302,35.5,1.21129,0.662526,0.805847,0.148545,0.700141,0.00264485,19.6548,4.20515,0.0146593,0.410376,0.0534496,0.305521,0.571841,
53,43.4591,66.3151,69.4375,0.655343,0.532907,0.857906,0.473345,33.1331,18.0857,0.401742,11.1634,0.140653,0.474474,1.05185,1.46155,0.269638,1.36804,26.3816,496.236,1.20392,39.22,0.323477,0.480905,0.632053,0.148545,0.659187,0.00264485,24.886,7.81617,0.0146593,0.410376,0.0525118,0.306022,0.850239,
54,43.4591,81.1979,119.266,0.535225,1.42057,0.940338,0.622342,35.129,30.7975,0.408462,10.0894,0.164021,0.617521,1.00875,2.9922,0.417226,1.48037,31.4181,98.5805,1.03924,35.3606,0.293826,0.750548,0.590828,0.127598,0.665228,0.00264485,16.6035,1.75932,0.0147253,0.427879,0.0513094,0.306022,0.357831,
55,43.4501,68.7604,55.0754,0.631905,0.824166,0.882654,0.769089,36.9295,17.5962,0.598388,9.42312,0.174633,0.587299,0.975334,1.96953,0.30086,1.53588,31.4379,16.5657,1.21054,30.2116,0.302909,0.630769,0.462518,0.145606,0.665105,0.00264485,24.8772,6.84764,0.0147253,0.438622,0.0519124,0.307211,0.481151,
56,43.2611,64.6909,55.3071,0.668736,0.709438,0.869411,0.608461,35.0003,15.4292,0.459593,9.81781,0.167296,0.553922,1.07542,1.78319,0.323696,1.47815,29.5682,3.57664,1.20637,32.2524,0.295688,0.635647,0.598582,0.152136,0.625269,0.00264485,24.8478,6.95561,0.0153209,0.438622,0.0534496,0.307447,0.799646,
57,43.2206,73.994,84.6143,0.584109,0.854311,0.872204,0.699346,31.4771,24.2006,0.500936,13.7102,0.14581,0.550479,0.983085,1.6303,0.313999,1.48744,19.3216,61.4275,1.17716,36.7203,0.220886,0.623004,0.382314,0.154253,0.625269,0.00290994,24.8478,4.67947,0.0153209,0.446035,0.0546371,0.307447,0.622401,
58,43.2206,61.8229,65.0503,0.699103,0.509581,0.854425,0.443845,31.1219,17.849,0.271424,9.21741,0.107247,0.482629,0.965395,1.20473,0.302883,1.29592,20.0181,17.4965,0.632708,36.816,0.166146,0.574738,0.408292,0.155072,0.625269,0.00290994,24.8478,0.681095,0.0145565,0.442625,0.056084,0.307447,0.491334,
59,43.1422,61.4773,59.4318,0.701758,0.4966,0.843799,0.489162,32.3943,17.5582,0.41254,7.59707,0.131643,0.545473,1.00852,1.02562,0.326148,1.30407,23.9366,12.4241,0.93254,34.1279,0.220352,0.712519,0.426489,0.155072,0.625269,0.00290994,24.7937,7.69325,0.0145565,0.450052,0.056084,0.308581,0.846179,
60,43.1422,70.1378,61.379,0.615106,0.836431,0.887372,0.664241,34.7624,15.1213,0.681646,15.406,0.177735,0.546197,1.05453,1.92693,0.409021,1.44091,28.4517,4.59983,1.41082,42.5778,0.29615,0.607274,0.653064,0.155072,0.605958,0.00403109,15.8169,4.60011,0.0145565,0.444391,0.056084,0.308581,0.497122,
61,43.0862,60.5463,49.1494,0.711623,0.689951,0.86507,0.581757,33.5378,15.7799,0.543505,6.96443,0.148312,0.499915,0.935644,1.91842,0.421166,1.52122,27.7654,4.579,1.43185,25.0602,0.261935,0.542867,0.301056,0.145841,0.608676,0.00370358,24.7937,5.51315,0.0145565,0.0888096,0.0585373,0.306941,0.821771,
62,42.7043,58.6982,42.3294,0.727522,0.479633,0.778995,0.451092,33.0109,15.2667,0.599865,6.44675,0.141814,0.46646,1.05602,1.02193,0.29818,1.22889,25.9577,2.16777,1.44018,22.51,0.267178,0.490402,0.553772,0.145841,0.608676,0.00369488,24.6985,3.39618,0.0145565,0.444391,0.0579861,0.306941,0.863916,
63,42.4931,76.6163,79.2459,0.554622,0.733512,0.793457,0.807556,31.4185,22.3573,0.48485,18.381,0.136181,0.522176,0.98173,1.77558,0.274178,1.72349,22.4222,42.0765,1.0405,49.0906,0.224769,0.532812,0.36181,0.145841,0.608676,0.00332532,7.73126,6.91349,0.0145565,0.444391,0.0581185,0.306941,0.316876,
64,42.4931,63.7446,47.6635,0.666615,0.732748,0.793579,0.808306,30.4121,15.9356,0.510245,12.8556,0.12976,0.602758,0.963876,1.12237,0.324912,1.54392,20.9739,8.13449,0.94609,37.7509,0.213192,0.642319,0.398344,0.135576,0.608676,0.00191658,20.6126,5.96138,0.0145565,0.190788,0.0272804,0.144863,0.406843,
65,42.4931,65.7241,55.0635,0.646537,0.780726,0.819793,0.641447,31.5327,14.9526,0.468371,14.8128,0.140238,0.568929,1.00645,1.83667,0.355434,1.59679,22.3183,3.48105,1.05204,37.5596,0.221909,0.623442,0.508078,0.145841,0.608676,0.00191658,14.0801,4.12701,0.0145565,0.445281,0.0590782,0.306941,0.14619,
66,42.4931,61.5652,51.4621,0.690213,0.396614,0.792802,0.477821,31.1238,16.6144,0.423702,10.1439,0.1335,0.464801,0.993827,0.657609,0.273566,1.34056,22.3616,11.4195,1.04036,33.9319,0.230642,0.455018,0.528504,0.145841,0.631025,0.00191658,20.9773,0.180329,0.00618828,0.459099,0.0592973,0.308976,0.291366,
67,42.4931,82.1448,121.541,0.517294,0.833469,0.840369,0.729402,32.2957,28.6223,0.474024,16.4837,0.160725,0.62891,1.0763,2.03219,0.349078,1.5998,21.9829,101.817,0.871239,39.9009,0.252045,0.684033,0.637857,0.148214,0.631025,0.00239184,22.1556,0.35164,0.0418822,0.481604,0.0606899,0.313789,0.317926,
68,42.4931,68.6961,84.1312,0.618566,0.648903,0.813278,0.550576,30.2863,20.4727,0.563941,13.6286,0.121512,0.556871,1.05344,1.53912,0.351295,1.37247,18.5762,38.5662,1.04637,40.296,0.166911,0.632131,0.486975,0.148214,0.606261,0.00239184,24.6555,1.51121,0.0513217,0.496149,0.0584586,0.313789,0.701773,
69,42.4931,68.3785,52.3266,0.621439,1.43758,0.77471,0.979992,39.1651,15.981,0.579688,7.51634,0.199486,0.655158,1.08949,2.86068,0.195123,1.83037,32.4691,9.81404,1.09366,28.5763,0.314684,0.681404,0.448458,0.148214,0.606261,0.0022937,23.8377,1.24172,0.0513217,0.496149,0.0275715,0.317899,0.378019,
70,42.4931,66.9361,67.855,0.634831,1.01514,0.827581,0.525147,35.5156,17.7702,0.610889,8.9654,0.150689,0.543059,1.01233,2.38538,0.417279,1.49758,36.5145,13.7241,1.32905,36.9654,0.301778,0.594557,0.468641,0.140964,0.606261,0.0022937,18.4721,9.62283,0.0388365,0.502031,0.0592592,0.317899,0.36412,
71,42.4931,64.4093,50.0454,0.659735,1.06019,0.842046,0.592049,29.6799,16.5287,0.500885,13.5251,0.13656,0.610069,0.933835,2.44238,0.397906,1.35668,15.9868,12.0136,0.743026,35.1088,0.175888,0.747418,0.236687,0.116748,0.606261,0.0022937,20.2064,2.78464,0.0513217,0.42968,0.0368072,0.199085,0.180172,
