Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
93,12.6091,66.9196,325.579,0.188421,4.20887,8.88535,1.41731,6.28709,1.08039,0.809043,20.9976,20.8462,2.38768,16.2235,34.8668,1.46306,6.67898,1.04316,2.53386,149.852,148.872,1.45142,0.916306,1.72843,0.827243,5.18676,0.305983,0.191138,0.00819306,0.00269618,1.14116,
94,12.6091,114.231,458.362,0.110383,6.64815,6.3115,1.72604,7.67864,1.00484,3.64138,42.4968,42.33,2.3932,19.3392,19.3346,2.09457,9.01576,0.462645,12.4078,205.63,203.674,0.843546,0.916306,1.73205,0.827243,5.18709,0.226858,0.209252,0.00819306,0.00269618,2.1891,
95,12.5509,270.003,853.224,0.0464844,7.3696,9.33167,1.88329,8.92942,0.893802,2.51458,119.299,117.188,2.59368,19.2503,28.3242,2.6529,12.6411,0.194442,9.59011,400.591,405.627,1.99269,0.916306,1.73205,0.852089,5.18734,0.28743,0.197089,0.00819306,0.00269618,0.839093,
96,12.5509,62.1637,321.219,0.201901,3.94181,6.37938,1.4095,6.45327,0.975441,0.876206,19.9874,19.8344,2.30626,14.8972,27.1486,1.44271,6.48219,0.322235,3.29192,161.756,167.098,0.628154,0.916306,1.73205,0.852089,5.18653,0.330278,0.197932,0.00819306,0.00269618,2.17946,
97,12.5509,56.36,306.084,0.222692,2.21136,1.95298,1.35281,6.24418,0.931377,0.334375,20.5555,20.484,2.29343,8.62892,4.06408,1.7033,7.3059,0.106617,0.606303,143.409,143.074,0.563945,0.916306,1.73205,0.855855,5.18734,0.25179,0.197932,0.00819306,0.00269618,2.19066,
98,12.5335,62.1022,346.371,0.20182,5.3845,5.61414,1.26517,6.04632,0.933385,1.39845,19.6654,19.4946,2.30015,30.7617,27.1152,1.24272,5.91031,0.0837287,7.63903,137.226,136.156,0.600835,0.916306,1.73707,0.862798,5.1849,0.347415,0.194913,0.0185892,0.00601829,2.17925,
99,12.5007,55.1949,298.122,0.226482,1.34811,2.08198,1.2633,6.24839,0.931536,0.458755,20.3401,20.2636,2.2592,4.39667,4.09623,1.46191,7.32202,0.096685,1.32977,141.897,141.576,0.293843,0.917772,1.74169,0.883527,5.18907,0.255007,0.197932,0.0185892,0.00601829,2.19332,
100,12.5007,212.45,791.114,0.0588406,4.51915,4.29541,1.72273,6.63404,0.911326,0.841918,96.4144,94.5824,2.52824,14.3645,10.7339,2.53068,5.70199,0.133693,3.17477,389.176,381.799,1.50275,0.909155,1.74844,0.895224,5.18656,0.285642,0.197932,0.0200057,0.00601829,2.18293,
101,12.4691,88.02,380.042,0.141662,3.92132,5.53422,1.47437,7.27728,0.920246,2.11499,32.3587,32.219,2.19986,14.4647,19.7435,2.09724,10.2918,0.12304,12.2552,174.944,169.806,0.342787,0.854706,1.74844,0.91369,5.18959,0.313772,0.197932,0.0200057,0.00601829,1.49104,
102,12.4523,119.193,444.052,0.104472,6.86077,6.95325,1.49369,8.64095,0.913505,1.50748,45.3624,45.1778,2.28318,19.9246,20.4193,1.73317,14.1481,0.163015,4.55182,197.12,196.804,0.523482,0.854706,1.74414,0.941808,5.19011,0.278891,0.197932,0.0200057,0.00601829,0.787668,
