Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,
213,752.382,1054.98,1259.13,0.713171,13.4394,64.933,3.5713,30.2658,22.2353,3.68147,65.0048,745.496,98.4866,0,2.97619,4.89132,41.0428,328.106,15.9526,28.6923,33.8918,3.90175,328.483,488.54,229.813,0,1.68169,16.2832,4.43161,0.00346105,0.253133,8.66506,14.0248,1.84012,0.0172484,488.801,33.7122,0,2.56342,1.06917,
214,752.382,1089.45,1293.87,0.690606,22.8555,66.2402,5.70365,32.7118,23.1511,3.99245,66.3197,760.291,97.8564,0,3.35388,6.97667,67.3112,312.581,21.4823,44.1036,43.0281,4.05895,312.766,441.857,227.872,0,3.29311,29.0805,4.24812,0.00346105,0.25252,6.36478,12.4471,2.85583,0.0172484,654.072,22.9615,0,2.594,1.06917,
215,752.382,1123.8,1532.5,0.669496,17.9158,98.2459,3.58297,28.1094,26.1747,3.67473,98.4037,743.252,96.132,0,3.01189,5.30182,57.0122,434.428,18.0795,10.6595,53.2694,3.2604,435.24,421.296,194.371,0,2.32488,20.4762,4.43161,0.00346105,0.25252,0.196791,14.0207,2.85404,0.0172484,654.072,44.7232,0,2.594,1.06418,
216,752.382,1043.79,1304.91,0.720818,13.656,45.1423,2.76147,26.7351,18.7449,3.88771,45.1693,794.07,85.1223,0,2.9715,5.5294,44.6097,268.891,12.225,3.52565,31.2229,4.51309,269.184,615.55,188.076,0,1.93466,23.1675,4.35367,0.00346105,0.25252,8.50268,14.0248,2.85577,0.0172484,654.055,44.7394,0,2.59484,1.06917,
217,752.382,1093.26,1237.1,0.688201,20.6937,54.6321,1.7901,29.784,25.5878,3.90641,54.6669,777.253,113.887,0,3.00313,8.05561,61.1501,281.024,6.31015,22.4201,54.9715,4.1902,281.231,545.222,289.058,0,1.25888,30.2113,4.43161,0.00346105,0.25252,8.76472,14.0248,2.85583,0.0172484,654.056,24.7552,0,2.59484,1.06917,
218,752.382,893.886,920.658,0.841698,10.2438,34.0555,2.47276,29.1478,20.3093,3.04702,34.3374,668.313,85.3929,0,3.04214,3.52474,32.4682,323.593,15.5559,14.6068,34.8482,1.52141,326.251,85.3355,213.045,0,2.75863,16.1171,4.41576,0.00346105,0.250755,12.8568,14.0248,1.08509,0.0172484,654.018,44.4976,0,2.59484,1.06917,
219,752.382,1044.67,1279.92,0.720214,18.7483,61.2743,4.98362,28.4794,25.1831,3.55223,61.6124,727.416,104.103,0,3.18221,6.13073,57.7278,365.078,25.2843,9.3138,52.7679,3.42111,368.033,386.677,231.621,0,2.23305,26.0342,4.43161,0.00346105,0.250755,8.13388,14.023,0.0938495,0.0172484,654.08,44.7394,0,2.59484,1.06906,
220,752.382,940.57,937.802,0.799922,14.5657,23.7136,2.49642,27.4056,19.3208,3.51177,23.7065,734.748,85.7235,0,2.97426,2.40364,50.1235,151.853,12.4157,4.64228,35.939,3.72966,151.826,483.479,213.136,0,1.82848,9.41077,4.43161,0.00346105,0.248093,11.2802,14.0248,2.85517,0.0172484,654.001,44.719,0,2.59021,1.06917,
221,752.382,1008.94,1355.53,0.745713,9.73519,74.1969,2.00703,27.7784,19.7401,3.35567,74.541,713.451,78.3713,0,3.02884,2.73887,28.7443,433.378,11.6252,7.78929,34.7152,2.76988,435.741,345.146,175.469,0,2.71488,9.0655,4.36104,0.00346105,0.248093,8.45786,14.0248,2.85583,0.0172484,654.08,44.7394,0,2.59484,1.06917,
222,752.351,1019.37,1154.63,0.738057,16.4772,57.551,3.77898,37.7104,24.146,3.64759,57.9624,708.365,98.2111,0,3.17821,8.33961,47.9898,367.76,15.7885,59.4578,39.1742,2.68781,370.919,246.971,227.382,0,2.16123,28.9759,4.31234,0.00346105,0.248093,9.53577,14.0248,2.85583,0.0172484,654.05,25.5829,0,2.59227,1.06917,
