Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
88,694.031,892.753,843.282,0.777405,1.35333,2.68293,41.7231,4.76963,32.8758,9.79611,9.51937,42.197,642.022,20.6538,85.1603,0,2.00784,2.68704,216.464,19.4359,14.3486,1.19011,33.3814,219.335,273.991,23.0033,222.606,0,0.602026,1.90596,0.0742565,0.255921,1.47976,5.66535,1.2544,0.17319,561.294,7.35353,24.5603,0,
89,691.471,894.682,889.421,0.772868,1.49435,2.56269,58.0892,2.43115,32.7693,9.65254,5.4679,58.754,631.687,20.1029,71.671,0,2.66834,2.03158,287.635,8.72758,8.40557,0.714235,15.3896,290.194,211.83,23.8302,205.648,0,0.597081,1.91674,0.0742565,0.255921,10.4475,7.91889,1.2544,0.17319,591.995,7.35353,25.0856,0,
90,691.471,983.172,1033.46,0.703306,1.56696,3.45473,34.3977,4.94621,39.4458,9.75711,9.06511,34.6321,722.142,21.432,102.332,0,2.52178,4.69451,174.215,16.1492,41.2306,1.12483,26.4523,174.495,531.774,25.6712,239.78,0,0.61737,1.98898,0.147096,0.255921,8.1629,7.79225,1.2544,0.325147,592.344,6.89761,31.4452,0,
91,691.471,895.676,842.444,0.772011,1.55155,2.64062,47.7224,5.08755,32.6434,9.56131,6.81085,48.0631,636.848,18.9596,85.7868,0,2.66423,2.71522,220.978,17.578,10.2642,0.81785,21.4019,219.862,277.444,19.1706,223.929,0,0.649686,1.18282,0.147096,0.24988,4.38274,7.91889,1.2544,0.328366,544.77,7.21938,23.1376,0,
92,691.471,875.645,788.082,0.78967,1.63002,2.82651,29.1636,4.09893,35.6633,9.45044,6.60111,29.4736,651.323,17.2664,88.1479,0,2.70761,3.08902,178.665,16.3147,22.656,0.740014,20.1611,179.714,319.362,16.429,223.127,0,0.690785,2.02839,0.147096,0.255921,10.4909,7.37431,1.2544,0.328366,592.319,7.21938,34.0698,0,
93,691.471,1058.54,1235.26,0.653229,1.72132,3.46631,61.3936,4.41296,33.2202,9.61042,8.13771,61.9069,736.278,24.1452,114.25,0,2.62357,5.12999,274.919,14.1876,17.0716,1.21531,26.4931,276.813,584.921,35.8866,287.552,0,0.661252,2.01613,0.147096,0.255921,8.65136,7.91889,1.24921,0.328366,592.149,7.21938,25.0692,0,
94,690.599,983.497,1062.43,0.702187,1.4706,3.22093,58.6487,5.24848,35.2881,9.49616,9.44814,59.047,702.875,19.2779,79.4763,0,2.26769,3.92707,250.785,19.3409,34.7684,1.28116,31.9842,252.091,435.92,25.9394,193.408,0,0.661252,2.01613,0.119958,0.262851,7.87937,3.49984,1.24921,0.285553,592.033,7.21938,23.5973,0,
95,690.599,983.668,1026.82,0.702066,1.37412,3.41838,35.9384,6.16608,37.9912,10.2155,6.91774,36.2402,715.495,18.7738,111.137,0,1.76527,4.71079,196.809,24.9013,36.5832,4.0625,17.6922,198.741,525.133,21.9906,263.41,0,0.653874,2.00707,0.119958,0.262851,6.69668,7.91889,1.2544,0.285553,591.217,7.21938,34.2505,0,
96,690.599,1015.02,1190.35,0.680378,1.48975,3.15024,76.8891,4.06326,31.0281,9.69647,5.82599,77.3021,708.213,19.4794,77.8863,0,2.15555,4.05034,292.03,17.2082,8.92382,2.41497,16.1164,293.295,479.97,26.1933,190.533,0,0.661252,1.79905,0.119958,0.262851,6.74858,7.91889,1.2544,0.285553,591.409,7.21938,25.4021,0,
97,690.599,893.808,820.16,0.772649,1.7082,2.9781,32.1743,3.44293,39.7444,9.33631,9.20904,32.3648,673.12,20.7446,68.9852,0,3.25518,3.61089,166.463,11.3917,44.7097,1.00465,28.3391,169.407,382.594,28.252,166.867,0,0.618822,0.296504,0.119958,0.262851,7.40111,3.81933,1.2544,0.285553,591.895,7.21938,24.0864,0,
