Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
348,685.327,906.49,872.287,0.756022,1.54443,2.80152,40.7346,4.08263,35.9765,8.30871,8.72226,41.2395,657.164,8.723,97.1933,0,2.6279,2.87441,213.788,20.2627,24.7953,0.805064,33.7588,215.381,304.473,22.0102,205.783,0,0.88515,0.169682,0.199219,0.265646,7.8094,6.98912,1.21171,0.474358,592.698,2.91586,32.9559,0,
349,685.326,922.597,1152.23,0.742823,1.45375,2.80767,18.2251,2.03561,115.62,8.26608,5.37123,18.6748,649.955,9.31752,90.8695,0,2.65892,3.46628,166.903,10.0442,790.841,1.10109,21.0941,167.37,368.773,26.0113,197.764,0,0.88515,2.13353,0.198015,0.265646,11.5086,0.731547,1.21171,0.471465,592.695,2.96691,43.8509,0,
350,685.325,971.247,1020.39,0.705613,1.43258,3.2648,50.6612,2.45696,36.7223,8.32475,8.66501,51.1514,710.467,10.9356,87.166,0,2.41352,4.19062,236.718,10.614,90.4779,0.67492,32.2345,235.551,462.77,29.4928,189.27,0,0.750154,2.13353,0.198015,0.265646,7.98276,6.57775,1.21171,0.471465,592.695,2.96691,23.8792,0,
351,685.324,841.913,778.994,0.814008,1.30227,2.61686,23.0055,1.55397,50.4229,8.29888,4.86108,23.2731,646.038,6.65604,73.8842,0,2.55325,2.46721,133.257,7.35594,186.456,0.776133,23.6853,134.519,280.249,19.9918,168.299,0,0.88515,2.13362,0.199219,0.265646,9.74092,7.99488,1.21171,0.474358,592.693,2.97733,43.8727,0,
352,685.323,855.121,893.729,0.801433,1.33839,2.78086,37.6366,1.96651,32.8336,8.25316,5.37036,38.0549,659.516,9.44796,57.9225,0,2.50078,3.38263,210.806,11.3856,19.9563,1.16525,22.9916,213.838,389.143,30.1876,96.8803,0,0.885358,2.13379,0.199219,0.265646,8.63121,0.455858,1.21171,0.474358,592.695,2.97733,22.6799,0,
353,685.323,799.566,678.85,0.857118,1.08799,2.46508,26.6619,1.8993,32.2502,8.31063,2.5881,27.0695,625.579,7.34798,64.3065,0,1.33778,2.12461,182.881,12.6076,5.68631,0.922616,8.58829,184.001,234.942,25.0189,152.014,0,0.885358,2.13379,0.199219,0.265646,7.27421,7.57693,1.21171,0.474358,592.695,2.97192,23.8726,0,
354,685.323,898.213,922.061,0.762985,1.12937,2.95742,32.0044,3.55884,35.9536,8.41049,4.86197,32.3188,675.154,10.6496,91.2145,0,1.14659,3.47351,171.412,13.2788,29.6223,0.936851,16.3907,171.662,394.02,30.881,219.336,0,0.674607,2.13379,0.197363,0.267942,8.66942,8.17957,1.21171,0.469658,592.692,2.97192,23.8919,0,
355,685.319,811.107,628.788,0.844918,1.31195,2.53217,26.7484,2.39786,33.8442,8.24951,5.1964,27.0667,626.133,6.38428,71.2426,0,1.89888,2.04582,153.393,9.09087,17.0335,0.849198,18.191,153.826,203.5,17.6092,149.217,0,0.642447,0.110576,0.197363,0.247868,2.06661,4.41381,1.20182,0.469658,592.695,2.84838,19.8656,0,
356,685.319,819.336,736.701,0.836433,1.11328,2.58566,18.5659,1.47378,31.7658,8.28293,3.74625,18.8793,645.835,8.74201,78.346,0,1.34805,3.2369,114.435,6.26611,3.54554,0.505702,18.7858,114.758,383.357,27.8754,178.286,0,0.885358,0.566964,0.197363,0.267942,11.8711,8.17957,1.21171,0.469658,592.695,2.97192,43.8651,0,
357,685.319,858.961,748.269,0.797847,1.499,2.62591,24.7379,3.49077,37.5415,8.43481,7.78594,25.0717,630.795,8.21256,108.765,0,2.70806,2.2978,161.559,14.8409,35.4903,1.0654,29.8977,162.138,226.668,22.388,265.673,0,0.884881,1.01156,0.196483,0.267942,9.25208,8.18158,1.21091,0.46768,410.218,2.97192,43.8651,0,
358,685.319,951.08,1094.28,0.72057,1.30564,3.41192,32.061,3.01695,33.7481,8.37997,4.88274,32.339,739.562,10.1335,82.2391,0,2.03719,5.30723,175.272,15.0257,27.0157,0.941342,22.9179,174.946,616.618,30.0114,176.087,0,0.884418,2.13336,0.196483,0.267942,7.0758,8.18242,1.2107,0.46768,592.695,2.97192,23.8797,0,
359,685.319,981.718,1050.76,0.698082,1.66116,3.19241,42.3304,5.24232,44.1481,8.52532,7.94602,42.581,705.783,12.6908,107.617,0,3.09241,4.19371,173.236,20.0334,104.466,1.40921,31.3082,171.849,482.598,31.9796,255.744,0,0.884603,2.13383,0.196483,0.267942,8.70558,2.77219,1.21082,0.46768,561.238,2.9556,23.0087,0,
360,685.319,797.653,607.037,0.85917,1.16481,2.42749,16.4577,2.91249,32.837,8.23284,4.91859,16.7327,623.736,6.04004,82.1926,0,1.97574,2.17341,114.085,13.8348,13.9103,0.373702,24.0546,114.195,248.849,18.6362,208.063,0,0.884603,2.13383,0.196483,0.267942,8.70875,7.66805,1.21082,0.46768,592.714,2.96631,43.8466,0,
361,685.319,888.479,819.825,0.77134,1.24953,2.91493,29.1829,6.39536,47.5485,8.58096,6.3099,29.6236,656.905,8.7617,91.0061,0,1.67285,3.0108,186.535,26.3573,133.532,1.70607,24.7094,187.06,266.585,22.9157,220.019,0,0.884603,2.13399,0.196287,0.267942,10.4458,8.06371,1.21082,0.4674,592.712,2.96631,32.9049,0,
362,685.319,942.866,992.471,0.726847,1.51658,3.20383,32.4068,3.28385,44.4982,8.39616,8.03588,32.7934,708.569,11.4911,88.6718,0,2.64242,4.49394,187.185,15.212,120.333,0.969926,32.4671,188.254,512.172,33.2394,192.331,0,0.639911,2.13399,0.196287,0.268979,9.27963,7.87865,1.21082,0.4674,592.712,2.96631,24.7122,0,
363,685.319,1134.41,1346.43,0.604121,1.64222,4.02628,73.1902,7.16075,33.2737,8.4555,10.2067,73.6484,799.194,14.056,109.554,0,2.46345,5.78301,274.179,24.0665,23.0392,1.28809,30.0519,272.768,662.158,31.9205,257.157,0,0.884603,2.13399,0.196287,0.268979,7.72684,3.59219,1.21082,0.4674,592.712,2.96631,23.8641,0,
364,685.319,826.715,830.952,0.828967,1.01592,2.49048,34.6648,1.23695,31.572,8.20988,2.38545,35.08,633.929,4.60447,71.5257,0,1.16844,2.73064,209.05,9.22807,4.06448,0.277445,10.374,211.822,280.139,13.1329,199.698,0,0.884603,2.13399,0.196287,0.268979,8.63449,8.18183,1.21082,0.4674,592.714,2.96631,34.3345,0,
365,685.319,941.866,1062.42,0.727618,1.18907,3.06015,46.7861,2.03523,31.9423,8.4353,5.61872,47.23,695.843,9.84457,89.8823,0,1.65464,4.14654,228.63,12.171,10.5477,1.09716,24.6899,231.072,465.872,27.6633,213.213,0,0.885326,2.13401,0.196287,0.268979,4.013,8.18183,1.21125,0.4674,592.719,2.97134,24.6947,0,
366,685.319,801.456,699.703,0.855092,1.31799,2.36362,30.2471,1.65606,31.602,8.29337,4.64682,30.6044,621.854,4.63088,64.2398,0,2.44262,2.28743,183.598,8.19875,3.82924,0.756278,24.0466,184.202,259.029,13.3891,120.428,0,0.885229,0.22717,0.196287,0.2687,2.41566,8.18183,1.21125,0.4674,592.719,2.97192,43.8873,0,
367,685.319,846.731,650.004,0.80937,1.46305,2.89681,19.4101,3.29718,41.4422,8.33225,8.48941,19.8184,655.567,9.01635,76.9979,0,2.54989,3.36594,163.703,14.5467,55.0628,0.611052,30.1194,166.061,344.206,22.0191,144.519,0,0.885326,2.13401,0.196287,0.2687,12.8213,8.05669,1.21125,0.4674,592.719,2.98159,24.742,0,
368,685.319,917.294,1013.68,0.747109,1.11485,3.16728,39.4917,2.55105,31.1106,8.34514,4.61305,39.8067,716.74,7.3778,62.9749,0,1.43112,4.55217,191.2,12.3826,11.4166,0.733689,21.1286,190.448,545.167,22.0603,112.594,0,0.885091,2.13401,0.196287,0.2687,8.03146,8.18183,1.21098,0.4674,592.719,2.98159,27.2392,0,
369,685.319,855.453,820.611,0.801118,1.16524,2.81116,21.7792,3.60088,33.0441,8.34578,4.95523,22.0712,660.103,6.25966,91.3171,0,1.69393,3.29326,143.615,18.0844,9.1721,0.792054,21.1543,145.797,364.231,17.3303,218.312,0,0.885091,2.13401,0.196287,0.2687,8.19915,8.1823,1.21098,0.4674,592.719,2.99594,43.8881,0,
370,685.319,848.886,941.036,0.807316,1.00207,2.71771,11.3605,0.924374,91.6539,8.27362,2.59655,11.6346,641.253,6.75421,70.7155,0,0.688405,2.72944,102.295,5.7156,555.112,0.678647,7.57822,102.147,267.583,18.111,167.843,0,0.884172,2.13363,0.196287,0.2687,8.14552,6.35164,1.20994,0.4674,592.719,2.98663,31.7525,0,
371,685.318,849.689,703.935,0.806551,1.29241,2.74496,30.7225,1.5193,34.8623,8.33295,5.5955,31.1312,648.005,7.66141,77.8221,0,1.78741,2.87111,177.83,6.18803,59.7907,0.702997,18.3791,179.165,300.171,19.2042,136.135,0,0.885091,2.13401,0.196287,0.2687,12.3954,7.97967,1.21098,0.4674,560.805,2.98663,43.8881,0,
372,685.314,853.851,771.635,0.802616,1.35731,2.62136,34.4328,2.45583,44.6198,8.329,5.32605,35.0248,626.955,7.90105,84.8283,0,2.20758,2.1482,229.638,11.0644,105.439,0.800317,21.4793,231.864,160.58,22.6405,186.977,0,0.884489,2.13377,0.196287,0.267986,19.8052,7.66571,1.2102,0.4674,592.72,2.98663,43.8906,0,
373,685.314,936.119,1101.54,0.73208,1.04444,2.648,39.7395,4.17595,96.9309,8.4977,2.72477,40.3077,634.127,7.63084,98.2925,0,0.79515,2.08278,234.896,23.1857,614.123,2.06282,7.81766,236.881,172.05,21.2534,231.069,0,0.884489,2.13372,0.196287,0.267986,10.1306,7.66656,0.530812,0.4674,592.72,2.98548,43.8922,0,
374,685.314,816.584,701.818,0.839245,1.21709,2.53029,24.0146,1.85732,38.062,8.21696,3.56587,24.4536,635.453,6.26966,70.9437,0,2.22674,2.78594,171.502,9.19148,84.9705,0.364643,17.8554,174.716,313.616,18.322,139.173,0,0.884489,0.94614,0.196287,0.267986,11.024,7.93654,1.2102,0.4674,592.723,2.97803,43.8957,0,
375,685.314,936.037,1012.05,0.732144,1.3221,2.78835,63.8444,2.35817,33.2028,8.18954,4.7432,64.3832,657.746,11.0425,86.4167,0,2.35709,3.14544,278.101,11.2781,20.2646,0.941015,16.1233,279.624,356.154,30.1377,210.889,0,0.726485,2.13377,0.199891,0.267986,9.89883,0.145839,1.2102,0.475838,536.801,2.97803,22.9692,0,
376,685.312,865.886,850.692,0.791458,1.15414,2.77446,30.5054,3.76974,32.5519,8.19005,5.14011,30.9232,658.384,7.80649,84.6861,0,1.32858,3.28872,194.326,19.7414,7.84833,0.131858,20.0237,194.444,377.678,24.2931,212.682,0,0.885091,2.13401,0.199891,0.26695,9.55713,7.43067,1.21098,0.475838,592.723,2.97094,33.6347,0,
377,685.312,918.615,1026.6,0.746027,1.35811,2.90894,52.4801,3.26682,31.2208,8.25632,5.74801,53.0962,681.515,6.23243,72.5321,0,2.55252,3.79678,261.772,17.6087,4.74894,0.460135,23.0783,263.745,447.629,17.7656,150.136,0,0.885661,2.13408,0.199891,0.26363,6.66015,7.73967,1.21145,0.475838,592.723,2.96736,24.7398,0,
378,685.312,874.258,965.682,0.783878,1.04473,2.84896,28.5121,3.32537,33.7153,8.23604,3.63139,28.813,673.355,6.40003,84.3766,0,0.973712,3.70631,163.215,16.1076,22.1829,0.676762,14.7652,166.272,436.412,21.6146,209.907,0,0.885377,2.13408,0.199891,0.26363,8.70645,5.278,1.21145,0.475838,592.723,2.96736,43.8943,0,
379,685.31,891.091,896.2,0.769068,1.5835,2.98921,29.1386,3.86696,43.1439,8.37211,6.94579,29.4512,686.088,9.11362,70.3985,0,3.02939,4.35578,157.369,14.2872,109.26,0.920809,28.6842,157.616,497.543,25.4044,126.567,0,0.885377,1.14588,0.199977,0.26363,2.624,6.56692,1.21145,0.476228,592.723,2.96736,23.6752,0,
380,685.31,905.706,868.532,0.756659,1.54723,3.1288,29.239,6.08759,40.2238,8.43109,6.75069,29.5342,685.581,10.8325,84.3504,0,2.44751,3.6003,152.926,23.0442,59.2373,1.17946,22.927,153.079,367.957,31.4077,213.266,0,0.885377,2.13417,0.199977,0.26363,8.53752,5.02288,1.21145,0.476228,592.724,2.96736,22.8844,0,
381,685.31,953.92,989.721,0.718415,1.43004,3.14984,43.5275,3.72765,33.637,8.66731,6.82427,43.9199,696.774,11.8916,100.371,0,2.26806,4.04065,209.63,18.3134,16.6741,2.54614,19.7556,210.538,460.232,31.4097,250.646,0,0.885377,2.13417,0.199277,0.26363,6.87889,8.18057,1.21145,0.474547,592.724,2.95814,22.7437,0,
382,685.31,847.772,712.551,0.808366,1.47179,2.61284,33.8641,5.04326,33.536,8.22047,7.2443,34.2922,635.154,9.30242,77.0304,0,2.82371,2.79351,199.538,22.9764,12.0202,0.432312,30.5312,199.919,310.566,26.8969,179.877,0,0.763715,2.13399,0.199277,0.26363,11.0485,6.42371,1.21056,0.474547,516.766,2.95393,25.0251,0,
383,685.31,883.791,939.447,0.775421,1.21617,2.6669,48.8666,2.05316,31.2921,8.44967,3.89252,49.2959,657.408,4.91262,73.7375,0,1.77977,2.98631,231.021,15.7636,4.30588,2.45995,13.2234,230.373,358.954,9.88989,151.02,0,0.88515,2.11572,0.199304,0.26363,6.55575,5.68561,1.21056,0.474623,592.724,2.94076,33.2192,0,
384,685.31,3534.19,26754.4,0.193909,1.13175,2.92862,26.6727,3.84363,2713.65,8.49632,4.99484,27.0508,647.249,9.16091,89.0169,0,1.29884,3.21613,172.093,16.6045,26476,1.96413,20.1806,172.918,237.695,26.0347,215.515,0,0.733438,2.13399,0.199304,0.26363,4.45162,8.18169,1.21056,0.474623,592.723,2.9264,31.6769,0,
385,685.31,972.583,1085.13,0.704629,1.26925,3.16762,50.3228,3.02379,31.6639,8.32058,7.09193,50.7931,710.512,8.3873,98.0306,0,1.96002,4.27758,233.184,11.4213,2655.05,0.728246,25.149,234.409,490.455,23.8243,206.816,0,0.833108,2.13399,0.199304,0.26363,7.92764,6.64394,1.21056,0.474623,592.723,2.93998,43.8989,0,
386,685.31,836.135,773.607,0.819617,1.17361,2.68672,29.3039,2.83552,31.6525,8.44389,3.2494,29.7355,655.689,7.50034,63.8641,0,1.6461,3.71972,191.148,17.7517,3.38041,2.28809,11.3488,195.214,438.581,23.4514,157.128,0,0.88515,2.13399,0.199304,0.26363,8.87632,8.18169,1.21056,0.474623,590.374,2.93998,23.6728,0,
387,685.31,784.039,561.004,0.874077,1.25922,2.62612,8.78438,1.11854,35.6914,8.26061,7.03908,9.06477,640.178,8.04497,61.9715,0,2.37522,2.8665,69.102,6.91385,33.3955,0.753592,34.6194,70.3701,297.387,25.4058,103.745,0,0.616802,2.13399,0.199304,0.26363,11.2161,5.88369,1.21056,0.474623,592.723,2.93998,31.013,0,
388,685.309,880.506,881.494,0.778313,1.1297,3.04574,23.4644,3.09935,45.1406,8.30295,5.63254,23.7486,687.571,8.66965,70.7019,0,1.34271,4.17647,145.243,19.5469,123.592,0.633898,19.5427,145.351,477.963,25.8703,132.651,0,0.859033,2.13399,0.199304,0.26363,6.78185,8.03483,1.21056,0.474623,592.723,2.92585,23.76,0,
389,685.309,846.199,594.869,0.809868,1.52439,2.89755,23.4423,3.11338,39.8657,8.46153,9.12095,23.8551,642.639,10.8033,80.4752,0,2.68313,2.78834,167.79,13.1667,37.8154,1.19836,31.4283,169.212,209.826,27.9407,180.228,0,0.88515,2.13399,0.199304,0.265508,15.3485,6.70973,1.21056,0.474623,537.514,2.93801,22.7226,0,
390,685.309,824.267,737.568,0.831416,1.33169,2.6395,21.1157,1.90962,32.4858,8.25275,4.71867,21.3953,645.449,7.16239,77.8066,0,2.33915,2.88341,138.988,10.3832,9.93317,0.608007,20.7951,139.159,334.096,23.4079,202.271,0,0.885999,2.13426,0.199304,0.265508,8.67536,6.40364,1.21198,0.474623,592.723,2.92115,33.5011,0,
391,685.308,901.433,916.14,0.760243,1.41884,2.73986,38.3101,2.05642,33.5588,8.3578,6.98755,38.8375,649.357,6.99171,112.818,0,2.38333,2.64132,212.84,9.92013,11.9194,0.77888,27.1944,214.545,279.905,17.1999,280.373,0,0.886043,2.13426,0.199304,0.265508,10.2899,8.18169,1.21198,0.474623,592.724,2.92814,43.9097,0,
392,685.308,873.744,899.504,0.784336,1.17682,2.71769,39.1212,2.2726,47.9123,8.29405,4.25535,39.5661,656.942,7.54796,63.9382,0,1.93056,3.01378,210.084,10.1544,162.298,0.993204,21.482,211.342,347.078,23.079,158.206,0,0.674857,2.13426,0.199304,0.265508,8.4799,4.70665,1.21198,0.474623,592.724,2.92814,24.9967,0,
393,685.308,1031.22,1268.59,0.664561,1.46177,3.58444,57.5828,1.20122,32.2633,8.34558,6.06716,57.8837,762.415,9.75938,90.6554,0,2.50064,5.51317,229.863,3.878,22.7941,0.662827,18.7846,230.011,653.149,26.8225,198.769,0,0.810775,2.13426,0.199304,0.265508,8.20253,8.18454,1.21198,0.474623,592.724,2.92814,24.6579,0,
394,685.308,931.199,938.011,0.735941,1.35341,2.9181,38.3109,7.75873,45.7732,8.30896,8.14437,38.7364,666.584,9.09158,104.22,0,2.52876,3.18302,211.134,30.7851,87.0982,1.029,34.8137,212.222,353.448,22.5829,235.607,0,0.638735,2.13426,0.201045,0.265508,7.95675,5.31497,1.21182,0.478776,592.724,2.92814,23.8606,0,
395,685.308,857.462,706.784,0.799229,1.56135,2.81622,27.808,3.46535,38.8085,8.41206,10.4616,28.1601,656.296,11.482,68.1912,0,2.78877,2.83979,147.095,15.433,44.0032,1.23096,46.015,147.633,298.426,33.236,144.953,0,0.886043,0.436327,0.200976,0.265508,8.61412,5.88833,1.21182,0.478586,592.725,2.92814,22.7222,0,
396,685.308,849.555,774.211,0.806666,1.32295,2.79845,24.4861,3.93372,42.3729,8.28227,3.47992,24.7898,652.364,8.68441,77.0412,0,2.19966,2.93902,154.124,18.8138,69.7324,0.929503,14.7097,154.805,310.621,26.5244,174.336,0,0.886118,2.13434,0.200976,0.265869,4.78618,4.35549,1.21182,0.478586,592.725,2.93801,22.7302,0,
397,685.307,936.368,981.115,0.731878,1.29157,3.13224,39.4851,2.40167,32.6956,8.34077,5.2504,39.7888,705.401,8.81245,89.7686,0,2.02872,4.43967,180.704,9.1556,18.3733,0.74078,22.0036,180.063,521.294,26.3761,194.521,0,0.885828,2.1342,0.200825,0.265869,8.53783,7.72544,1.21143,0.478253,547.417,2.93801,23.9327,0,
398,685.307,941.866,1035.81,0.727605,1.37057,3.30632,34.9352,2.81809,31.0286,8.31952,5.59416,35.2507,728.833,9.16716,81.2429,0,2.40395,5.24181,171.888,11.9652,5.06013,0.746398,24.3232,172.108,619.901,26.4249,206.075,0,0.824676,2.1342,0.200825,0.265869,7.20714,7.87798,1.21143,0.478253,532.011,2.93801,23.9208,0,
399,685.306,1047.5,1246.56,0.654229,1.35087,3.61793,52.6472,6.26133,57.5461,8.43101,8.28231,53.1428,762.71,10.9572,82.5554,0,2.1167,5.35957,229.814,25.6871,268.772,1.2304,34.405,233.252,621.891,30.078,153.469,0,0.692596,2.1342,0.200708,0.265869,7.21647,6.26974,1.21143,0.477961,592.726,2.93801,24.7209,0,
400,685.306,795.977,597.399,0.860961,1.16527,2.81189,5.41464,2.35752,32.2428,8.26889,3.80495,5.68158,667.125,6.14763,60.9573,0,1.38613,4.38759,65.5689,12.5124,25.9912,0.726397,16.3827,65.7198,518.889,19.3614,104.578,0,0.885794,2.1342,0.200708,0.264793,11.4003,7.18477,1.21106,0.477961,530.9,2.95824,23.8693,0,
401,685.306,995.738,1044.96,0.688239,1.39661,3.24899,47.2165,2.59166,71.7655,8.29117,6.80759,47.8169,691.556,12.4251,102.622,0,2.10647,4.11402,252.481,9.8798,278.028,0.610234,22.865,254.654,430.478,32.158,215.753,0,0.813335,2.13372,0.200708,0.264793,8.2471,6.96823,1.20934,0.477961,592.726,2.95824,23.7401,0,
402,685.306,935.165,996.116,0.732818,1.33211,3.11471,38.4,4.68081,33.757,8.24173,7.88361,38.742,701.179,8.6383,89.1956,0,1.95673,4.12661,184.879,20.4608,37.7833,0.805231,28.4227,183.65,477.033,26.1509,196.612,0,0.884822,1.68269,0.200708,0.264793,8.68133,2.78373,1.20934,0.477961,592.726,2.95824,33.6444,0,
403,685.304,997.196,1143.73,0.687231,1.53256,3.11335,66.7457,3.03693,31.1787,8.30081,6.76223,67.3223,703.284,11.9858,93.9337,0,2.79417,3.75799,275.761,11.6525,7.06387,0.65454,24.2723,275.732,443.027,33.4889,221.896,0,0.884822,2.13372,0.200708,0.264793,6.69339,5.68381,1.20934,0.477961,592.726,2.95824,23.0715,0,
404,685.304,965.35,1095.48,0.709902,1.36316,3.06595,60.4586,1.55482,32.2072,8.37258,6.59438,60.8431,696.154,9.9241,84.813,0,2.34838,3.81935,244.496,5.68887,14.1679,0.88727,26.2112,244.968,451.414,30.071,187.656,0,0.884292,2.13357,0.200708,0.264793,1.62692,8.18447,1.20845,0.477961,519.859,2.9624,34.845,0,
405,685.304,957.434,1046.22,0.715772,1.22725,3.29834,31.2706,3.68562,33.0591,8.38196,7.37223,31.5686,719.359,9.49375,108.717,0,1.66077,4.87096,159.319,13.5981,16.6568,0.888299,24.7308,159.922,559.969,25.8611,252.83,0,0.74718,1.14349,0.200708,0.264637,7.54334,8.13473,1.20845,0.477961,565.659,2.94785,33.0048,0,
406,685.304,962.822,1064.59,0.711766,1.53435,3.07662,27.8498,2.73585,83.5072,8.33896,8.975,28.2083,684.57,9.53805,104.487,0,2.79471,3.65203,149.675,12.5216,407.011,1.00985,39.4068,150.303,393.714,25.0153,242.53,0,0.883499,2.13323,0.200708,0.264637,8.15034,5.41277,1.20718,0.477961,592.727,2.90021,43.9436,0,
407,685.304,932.752,896.073,0.734712,1.69981,3.07197,37.598,2.47286,45.7638,8.2826,7.33413,38.0093,678.716,12.2707,97.5331,0,3.17549,3.96317,207.183,12.1971,131.221,0.650498,25.9366,208.258,437.254,30.789,224.866,0,0.883499,2.13323,0.200708,0.264637,8.66734,5.43766,1.20718,0.477961,435.861,2.94785,32.3953,0,
408,685.304,942.779,1082.7,0.726897,1.24216,2.76049,60.3767,2.94399,31.6535,8.29111,6.19975,60.9465,661.619,8.3105,98.4359,0,1.79842,2.86255,259.38,13.2486,12.7749,0.580065,24.1143,260.76,340.553,25.1184,251.008,0,0.883499,2.13323,0.200708,0.264372,1.43673,8.18447,1.20718,0.477961,592.728,2.94785,23.9834,0,
409,685.304,967.854,1051.64,0.708065,1.20518,3.19639,42.0663,3.78506,41.4734,8.36357,5.11155,42.3648,703.396,12.1349,104.756,0,1.62445,4.15788,191.235,16.375,79.4483,0.968489,17.0292,191.402,461.056,33.791,237.181,0,0.883499,1.2712,0.200708,0.264226,3.45912,5.28101,1.20718,0.477961,412.377,2.95823,23.8403,0,
410,685.302,775.139,394.841,0.884103,1.36462,2.48626,7.65823,2.75401,35.2425,8.34474,6.56129,7.91827,610.106,8.54108,84.1618,0,2.3048,1.62514,52.646,12.905,15.8881,0.834377,24.5853,62.6087,77.1089,24.5196,212.79,0,0.883499,2.13323,0.200708,0.263885,26.1288,7.77617,1.20718,0.477961,592.728,2.95823,23.683,0,
411,685.302,1059.68,1220.84,0.646704,1.78095,3.96611,38.0304,4.44968,38.4388,8.42183,9.40939,38.3246,794.655,9.65607,112.551,0,2.9832,6.51149,179.741,17.9012,54.9739,1.09542,30.8397,184.845,717.114,22.4221,246.044,0,0.883499,1.84159,0.200913,0.263603,7.86002,5.87544,1.20718,0.478292,592.728,2.95823,32.8675,0,
412,685.302,1015.82,1134.93,0.674628,1.53553,3.33802,61.2484,6.59236,33.1756,8.40842,7.4433,61.8165,722.75,14.5523,94.9621,0,2.67753,4.39054,269.645,28.2551,22.8721,1.32419,24.3287,269.938,509.289,37.5794,236.339,0,0.883499,2.13323,0.200913,0.263603,9.3816,2.27974,1.20718,0.478292,592.728,2.95232,22.9287,0,
413,685.302,946.726,1043.52,0.723865,1.29648,3.10569,47.1728,3.77752,31.0277,8.29538,3.40522,47.5773,706.812,9.83693,84.4192,0,1.94173,4.49685,221.8,14.9824,5.13822,0.801841,11.8402,220.542,535.865,28.5013,214.182,0,0.883499,2.13323,0.200557,0.263603,8.56057,6.54548,1.20718,0.477607,592.728,2.95823,26.1024,0,
414,685.302,856.222,804.26,0.800379,1.37489,2.71164,31.5701,1.74545,33.5941,8.18651,5.90826,31.9997,646.424,8.19284,84.5143,0,2.36538,2.92547,193.988,7.60372,12.1594,0.59157,22.0042,193.939,295.496,22.5237,212.652,0,0.883499,2.13323,0.200557,0.263603,9.21915,2.99191,1.20718,0.477607,592.728,2.95823,31.3376,0,
415,685.302,993.268,1161.67,0.689947,1.28576,3.13502,70.4295,3.41955,37.1248,8.39128,7.11303,71.0753,704.09,7.40299,79.8009,0,1.87662,3.91318,290.337,16.2254,62.3931,0.888663,29.5582,284.691,444.783,17.6991,177.616,0,0.883499,2.13323,0.200557,0.263603,8.36746,8.1847,1.20718,0.477607,592.728,2.95823,32.6348,0,
416,685.302,784.906,530.917,0.8731,1.26317,2.75693,1.98238,1.4164,35.2665,8.35793,5.42291,2.24879,649.27,8.14698,68.7742,0,2.05253,3.56739,68.7479,7.73922,18.1872,0.886565,23.2673,67.4674,387.919,26.5934,124.468,0,0.883499,2.13323,0.200557,0.263603,11.2013,8.1847,1.20718,0.477607,592.728,2.95823,22.6454,0,
417,685.302,864.187,847.493,0.793002,1.10523,2.93292,33.8345,0.493219,34.0394,8.32043,3.42141,34.1214,676.542,8.61419,60.762,0,1.08184,3.71767,169.03,1.3862,20.5391,0.692346,10.5078,169.156,432.545,26.43,96.7712,0,0.588329,2.13323,0.200557,0.263603,8.50098,8.1847,1.20718,0.477607,498.452,2.96711,35.9224,0,
418,685.301,836.526,732.305,0.819222,1.20602,2.74548,29.2185,1.20642,34.0853,8.29311,3.76371,29.5582,657.92,9.03994,59.49,0,1.93635,3.22034,178.774,6.66279,26.7569,1.0419,18.3759,179.269,361.958,27.1142,96.1475,0,0.883499,2.10798,0.200557,0.263194,2.86294,2.8975,1.20718,0.477607,584.929,2.9655,22.7681,0,
