Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
47,49.9521,112.557,185.686,0.443795,33.5002,2.45081,7.86038,0.601856,0.726607,1.15375,0.445209,9.1619,0.852074,24.1932,29.6145,0.417064,1.57908,77.25,6.35256,24.5286,1.09817,0.577766,0.993217,0.0590181,27.6325,0.916101,72.3426,6.75801,0.707062,0.817772,11.3968,0.329022,0.18425,0.0119635,0.212059,0.459931,0.135005,0.0443621,0.0112964,0.0915056,3.61763,0.123138,0.638484,
48,49.9521,130.048,178.051,0.384105,36.9446,2.95541,7.53854,0.604502,0.713533,1.52418,0.430576,11.8541,0.5335,29.0776,35.9688,0.361099,1.54149,62.6133,7.06488,17.59,1.06402,0.494358,1.50077,0.134818,32.1471,0.556737,72.9845,27.2243,0.475293,0.527882,6.03279,0.25089,0.18425,0.0119635,0.251874,0.194445,0.00545054,0.0443621,0.0100457,0.0915056,3.67964,0.114177,0.934854,
49,49.9018,110.019,213.694,0.453573,37.7057,2.79589,6.65552,0.634743,0.65033,1.60008,0.484586,10.6456,0.48104,16.2261,29.9559,0.393318,1.79051,95.9103,7.90427,21.3825,1.09377,0.471115,2.46113,0.188318,35.7253,0.349583,55.5529,9.77547,0.594613,1.73636,10.1937,0.379543,0.18425,0.01226,0.195248,0.547555,0.391384,0.0522262,0.0112964,0.0915056,1.26051,0.133446,0.725558,
50,49.4593,100.723,178.889,0.49104,39.9842,0.985941,4.62112,0.578196,0.694829,1.4018,0.457652,4.97766,0.417047,15.6516,29.175,0.318549,1.4599,99.8948,0.927629,15.7852,1.13331,0.584452,2.24182,0.0632621,14.0425,0.566765,57.6088,4.85364,0.437929,0.415852,11.3968,0.379543,0.050876,0.01226,0.168162,0.547555,0.350719,0.0522262,0.0112964,0.0915056,10.7436,0.151965,0.814355,
51,49.4593,77.7986,151.378,0.635735,30.3227,1.43657,3.16959,0.405661,0.544191,1.27308,0.460896,3.63513,0.34336,4.34498,30.0143,0.294342,1.55376,101.718,4.45666,12.6129,0.713533,0.294572,1.69688,0.174138,16.0965,0.373654,20.2253,2.71484,0.448574,1.22431,11.3968,0.377114,0.050876,0.028009,0.168162,0.287236,0.0368662,0.0522262,0.0112964,0.0915056,13.5313,0.1625,0.60455,
52,49.2627,89.0683,170.723,0.55309,37.3865,0.947215,4.0638,0.482491,0.596727,1.70639,0.452132,4.44179,0.502107,7.51792,29.2096,0.330728,1.4309,131.572,1.14346,12.5984,0.87031,0.430998,3.0669,0.18296,12.6485,1.12114,28.7909,4.41712,0.4512,0.301091,11.5671,0.38128,0.050876,0.00653514,0.216058,0.400112,0.115531,0.0532099,0.0112964,0.0640766,9.75897,0.1625,0.790917,
53,48.9225,110.141,140.805,0.44418,31.6635,3.07944,7.83689,0.701605,0.679886,1.72783,0.402554,10.7196,0.660527,19.6445,30.9299,0.422894,1.67208,47.3863,5.6917,19.0523,1.41271,0.586163,2.33561,0.135892,23.3684,1.17493,55.1489,17.662,0.661293,0.98464,11.2384,0.38128,0.050876,0.00653514,0.216058,0.220057,0.0541918,0.0678947,0.0124895,0.0640766,6.17661,0.073296,0.856712,
54,48.8153,122.565,261.887,0.398281,56.1083,2.49508,4.59142,0.593319,1.30048,1.46938,0.478541,9.65339,0.379964,14.0522,29.6025,0.400804,1.43955,167.516,7.28371,17.1254,1.16796,4.21978,2.01408,0.215822,31.6896,0.560603,49.0452,4.01641,0.534209,0.417458,12.1246,0.38128,0.050876,0.00653514,0.216058,0.422112,0.115141,0.0678947,0.0124895,0.0640766,5.78956,0.165413,0.382447,
55,48.8153,95.3861,153.373,0.511765,33.3775,1.97602,5.59869,0.597022,0.656893,1.56543,0.432438,7.87421,0.463051,12.018,29.0336,0.322437,1.47068,74.0926,5.45899,19.3052,1.24312,0.751031,2.68,0.0988389,23.9853,0.954834,43.1154,6.64503,0.298346,0.559634,12.1246,0.373973,0.050876,0.0133365,0.216058,0.22687,0.0309394,0.0531796,0.0124895,0.0640766,3.30306,0.164445,0.859355,
56,48.7726,78.6909,143.055,0.619799,35.5344,0.68532,2.56174,0.438734,0.540938,1.48969,0.46318,2.6478,0.245857,2.41233,29.8627,0.310203,1.49802,110.27,0.418873,10.0216,1.02057,0.228166,2.90564,0.0901209,11.2503,0.357874,11.6319,3.57108,0.436745,0.497989,12.1246,0.3683,0.050876,0.0387274,0.216058,0.378968,0.439625,0.0483365,0.0124895,0.0640766,9.29725,0.171383,1.31235,
57,48.7726,116.677,196.197,0.418015,47.9809,2.73827,6.86744,0.694984,0.865565,1.16729,0.459314,11.2843,0.38877,13.4272,28.8689,0.41822,1.51535,136.225,7.98362,18.3323,1.36864,1.63189,1.64398,0.20177,34.3128,0.971171,41.747,5.43837,0.544407,0.72921,12.1246,0.3683,0.050876,0.0143718,0.190342,0.378968,0.117913,0.0305805,0.0124895,0.0640766,7.48249,0.173322,0.926084,
58,48.2668,114.891,220.434,0.420111,34.7393,2.72696,6.76344,0.597905,0.673109,1.12254,0.452022,9.7209,0.244119,22.2318,33.5879,0.435825,1.59481,75.4089,7.33458,19.6993,1.07258,0.607708,1.34232,0.104766,30.8492,0.428185,73.9919,27.3056,0.57641,0.817594,12.1246,0.3683,0.0500249,0.0387274,0.216058,0.378968,0.123211,0.0151015,0.0124895,0.112723,8.74875,0.173322,0.512728,
59,48.2668,61.0054,81.5874,0.791189,19.3678,1.00213,2.87292,0.318666,0.521866,1.01308,0.43961,1.56537,0.167097,1.73169,30.1897,0.294751,1.52076,46.0334,2.68607,16.5695,0.456982,0.335076,1.52431,0.0552609,11.435,0.226009,18.3446,4.45984,0.382329,0.777968,12.1246,0.3683,0.0395495,0.00655232,0.216058,0.422889,0.0633779,0.0151015,0.0112821,0.0978616,10.2696,0.16701,1.36313,
