Individual,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.camber_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
14,0.354513,4.07012,0.277657,0.0480568,0.175621,5.70436,1.27713,0.410176,11.9047,0.456494,1.12728,0.549169,0.631621,
15,0.35509,4.09701,0.266462,0.049024,0.175619,5.71041,1.27678,0.410046,11.8813,0.454893,1.12422,0.554391,0.631735,
16,0.354237,4.06924,0.283454,0.0469643,0.175609,5.70216,1.27803,0.410197,11.9048,0.457626,1.127,0.546984,0.630957,
17,0.354187,4.06822,0.283216,0.0471882,0.175701,5.70412,1.27715,0.410179,11.9072,0.455175,1.12697,0.546616,0.631723,
18,0.35505,4.09668,0.266432,0.0465,0.175649,5.70963,1.27656,0.410072,11.8864,0.454763,1.12417,0.554339,0.631462,
19,0.354558,4.06928,0.275817,0.0492691,0.175563,5.70443,1.27739,0.410163,11.9061,0.455995,1.12735,0.550027,0.631841,
20,0.354764,4.09588,0.2709,0.0489553,0.175759,5.7091,1.27706,0.410074,11.882,0.455723,1.12402,0.551884,0.631666,
21,0.354346,4.07077,0.282068,0.0486715,0.175653,5.70141,1.27763,0.410206,11.9035,0.457811,1.1269,0.547488,0.631352,
22,0.354114,4.10444,0.281318,0.048467,0.175605,5.7129,1.27617,0.410065,11.873,0.451678,1.12211,0.546791,0.63136,
23,0.354472,4.07285,0.276584,0.0479606,0.175557,5.7073,1.27742,0.410121,11.901,0.456906,1.12687,0.549509,0.631492,
24,0.35435,4.06472,0.280671,0.0485121,0.175614,5.70185,1.27788,0.410202,11.9098,0.457694,1.12773,0.548257,0.630829,
25,0.355152,4.09773,0.265649,0.0467015,0.175692,5.71132,1.27682,0.410037,11.8823,0.456265,1.12422,0.5547,0.63154,
26,0.353991,4.08128,0.283698,0.0445077,0.175548,5.70956,1.27603,0.410113,11.9013,0.450198,1.125,0.546517,0.630589,
27,0.354187,4.06469,0.278948,0.0515356,0.175606,5.71134,1.27609,0.410086,11.9067,0.451934,1.12755,0.548953,0.630977,
28,0.355308,4.06144,0.26214,0.0419228,0.175688,5.71723,1.27545,0.409992,11.9195,0.451811,1.12948,0.557841,0.630862,
29,0.3551,4.07306,0.265889,0.0495188,0.175554,5.70848,1.27691,0.410086,11.9049,0.455305,1.12753,0.554781,0.631644,
30,0.355162,4.07308,0.264577,0.0496462,0.175572,5.71268,1.27634,0.410024,11.9022,0.453746,1.12762,0.555254,0.631898,
31,0.355144,4.09704,0.265186,0.0463171,0.176024,5.71317,1.27645,0.410018,11.8851,0.454775,1.12425,0.555147,0.631595,
32,0.354493,4.08774,0.275894,0.0471232,0.175576,5.7066,1.27771,0.410109,11.8847,0.457886,1.12493,0.54895,0.631609,
33,0.354127,4.07899,0.283383,0.0474457,0.175596,5.70632,1.2769,0.41015,11.8986,0.455017,1.12543,0.546863,0.631247,
34,6.7312,27.4991,2.32915,72.4494,3.53239,437.252,113.704,0.744801,9.54523,113.47,2.85545,0.0762073,3.26151,
35,0.354909,4.07069,0.2697,0.0492913,0.175599,5.70603,1.27743,0.410136,11.9035,0.456415,1.12773,0.552859,0.631468,
36,0.354594,4.06644,0.27449,0.0493044,0.175705,5.70365,1.27735,0.410185,11.9123,0.454322,1.12774,0.55059,0.631776,
37,0.354935,4.06578,0.269968,0.0493966,0.175572,5.70493,1.27783,0.410145,11.9088,0.457992,1.12846,0.552767,0.631775,
38,0.355102,4.09039,0.265211,0.0478075,0.175691,5.7139,1.27602,0.410017,11.8909,0.452999,1.12508,0.555325,0.631839,
39,0.353886,4.06616,0.294756,0.0456035,0.175501,5.70419,1.2769,0.410214,11.9097,0.453636,1.12662,0.543598,0.631449,
40,0.354535,4.09595,0.277061,0.0493506,0.17559,5.70326,1.27762,0.410166,11.8816,0.456617,1.12375,0.549238,0.631461,
41,0.354966,4.05866,0.269408,0.0495469,0.175566,5.70273,1.27692,0.410171,11.9129,0.456319,1.12948,0.552879,0.631811,
42,0.355066,4.06484,0.266042,0.0479536,0.175656,5.70838,1.27648,0.4101,11.9109,0.454878,1.1287,0.554059,0.631591,
43,0.354377,4.11198,0.27787,0.0451043,0.175732,5.70726,1.2769,0.410107,11.869,0.456021,1.1215,0.548611,0.631388,
44,0.355126,4.06612,0.267559,0.0494612,0.175567,5.70537,1.27779,0.41013,11.9075,0.457529,1.12859,0.554076,0.631922,
45,0.355435,4.08314,0.263512,0.0476531,0.175584,5.70876,1.27712,0.41007,11.8944,0.456212,1.12655,0.556584,0.63171,
46,0.354663,4.09071,0.272957,0.0466539,0.175475,5.70675,1.27729,0.410117,11.8882,0.456525,1.12461,0.550759,0.631645,
47,0.355297,4.0646,0.265211,0.0505004,0.175618,5.7064,1.27732,0.410112,11.9095,0.455789,1.129,0.55569,0.632071,
48,0.355103,4.0782,0.265554,0.0472083,0.175599,5.71113,1.27578,0.410037,11.8938,0.452705,1.1268,0.554819,0.632032,
49,0.354642,4.07312,0.272007,0.0486735,0.175742,5.70622,1.2772,0.410132,11.9014,0.456469,1.12712,0.55151,0.630466,
