Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
39,55.6067,135.114,318.123,0.411554,12.2206,7.16321,0.760082,77.1901,5.87118,10.3794,2.56286,9.00793,9.95871,15.5631,26.4331,1.4793,222.357,20.4884,57.2957,1.10983,15.0502,60.6647,7.37553,1.96663,0.00694194,12.6127,0.461069,0.0785804,1.9069,6.00381,0.0469451,
40,55.6067,117.786,327.334,0.4721,12.5472,3.89734,0.635171,37.976,2.3725,24.8226,2.46145,8.92207,24.1517,16.9714,11.2623,1.15712,42.0576,7.93699,149.694,0.337826,11.4998,149.626,7.41497,1.96663,0.00694194,10.7844,0.425982,0.0785804,2.05745,6.03577,0.0469451,
41,55.6067,183.375,505.006,0.303241,12.0024,6.01404,0.890503,34.3994,3.33456,57.0433,2.69599,10.3735,56.621,15.6971,20.5169,2.33125,7.06949,13.7267,222.85,1.26628,17.687,221.786,7.12628,1.96663,0.0111598,8.0891,0.462444,0.0785804,2.31763,6.03577,0.0469451,
42,55.4257,120.776,293.795,0.458914,11.8411,8.53213,0.752811,38.3558,5.26038,21.7662,2.52569,10.24,21.5016,15.3433,28.9942,1.71103,24.3122,19.452,120.301,0.869674,18.2897,119.397,7.07296,1.96663,0.0111598,9.00306,0.468204,0.0400586,1.88296,6.03577,0.0281268,
43,55.4213,124.48,474.863,0.445224,9.04051,2.81959,0.433528,35.4486,1.16885,33.3243,2.59399,7.04683,32.6034,7.52666,6.8548,0.731917,4.15663,5.3313,229.434,1.28801,6.73557,224.962,7.36045,1.98064,0.0446829,9.32471,0.446702,0.0400586,2.33521,6.0749,0.0281268,
44,55.0935,107.406,186.315,0.512948,12.618,10.4387,0.761114,39.7034,2.1687,13.8198,2.66615,11.6422,13.5877,16.3722,30.7798,2.01189,24.7872,6.21795,59.7175,1.10176,21.9651,60.3349,7.13307,1.98064,0.0201895,12.8088,0.463974,0.0400586,1.64975,6.0749,0.0281268,
45,55.0935,223.614,510.284,0.246378,16.102,12.8246,1.26172,54.7515,11.3949,56.5367,2.80965,11.8689,56.0642,22.5315,34.652,2.82992,128.645,36.9805,194.932,1.26973,16.3447,201.912,7.13307,1.98064,0.0201895,12.5677,0.465032,0.0400586,2.33521,6.08455,0.0281268,
46,55.0935,199.274,702.582,0.276471,9.81218,4.33457,0.60277,35.5469,3.29206,68.6587,2.63108,6.92983,67.4662,12.1717,15.7457,1.80956,19.3565,19.198,334.146,1.17613,6.9408,328.955,7.13307,1.96476,0.00724635,11.6078,0.465032,0.0400586,2.32243,6.07099,0.0281268,
47,55.0935,273.769,686.368,0.201241,13.6912,8.87895,1.34588,32.9658,9.35638,95.4767,2.73585,14.5842,94.7339,18.442,27.7397,3.05731,8.69284,28.3419,308.129,1.55986,27.4508,308.355,7.13307,1.96476,0.00724635,4.51141,0.465032,0.0400586,1.68236,6.03072,0.0281268,
48,54.6991,134.37,315.834,0.407079,10.963,4.28664,0.569547,34.5212,5.08996,32.8687,2.48669,10.8812,32.7028,13.7081,12.6568,1.57083,5.6571,22.5045,145.221,0.479567,20.3492,147.226,6.95522,1.93772,0.00724635,10.3342,0.398084,0.0400586,2.07389,6.1175,0.0281268,
49,54.6991,118.231,302.832,0.462648,11.8335,4.6851,0.656899,38.7494,5.0878,22.6435,2.67305,9.50171,22.3997,16.9601,11.5643,2.08711,17.4906,24.6489,131.868,1.36974,15.1449,131.135,6.95522,1.93772,0.00724635,7.88873,0.398084,0.0400586,2.34623,6.06878,0.0281268,
