Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,
12,146.526,391.151,346.962,0.374604,52.1164,25.6682,2.91991,45.2641,27.5707,99.9041,99.8747,4.33759,33.4949,28.3992,21.6428,2.07014,26.934,19.4716,205.217,194.872,2.1485,24.6411,9.76161,2.10714,0.047757,0.891371,0.423937,1.34722,0.585356,0.729988,2.58077,
13,146.526,518.235,538.747,0.282741,53.3785,29.4864,3.36468,45.5403,24.4986,164.576,164.464,4.35677,28.5691,31.7691,31.5056,2.33546,21.7968,20.7418,268.18,267.669,2.5762,22.5498,10.6642,2.07914,0.047757,18.4007,0.951891,1.34722,0.585356,0.689301,3.17136,
14,146.526,469.277,466.285,0.312238,52.6982,25.094,3.02248,46.1895,30.0068,139.561,139.535,4.2514,28.9193,30.5396,25.2282,2.30118,21.4764,22.2341,228.606,220.771,2.06581,22.2536,7.74582,2.00129,0.047757,22.1163,2.30727,1.34722,0.585356,0.729988,3.17136,
15,145.63,492.612,710.842,0.295629,60.3463,25.3802,3.24642,48.66,30.5824,147.611,146.161,4.83447,25.7902,36.3403,15.8518,2.33845,20.779,22.9274,345.514,339.216,2.66639,22.8287,12.8958,2.00129,0.047757,20.3451,2.30727,1.34722,0.585356,0.628407,3.17136,
16,145.63,358.358,313.995,0.406382,47.3488,19.5991,3.80354,46.4837,33.8952,86.4122,86.4387,4.94011,29.437,29.583,14.7159,2.49091,26.2515,31.4115,160.079,159.002,2.49882,19.7377,9.87919,0.692708,0.047757,22.1785,3.13221,1.34722,0.585356,0.729988,3.17136,
17,145.63,286.883,144.009,0.507631,51.0572,21.1583,3.4872,43.0609,27.5108,54.8499,54.9002,4.71007,26.1479,28.0707,13.884,2.43304,11.4634,22.1866,82.3298,79.1006,2.35907,16.8535,12.8958,2.00129,0.047757,26.0248,0.445789,1.34722,0.585356,0.729988,3.17136,
18,145.63,341.415,340.383,0.426549,48.6064,27.7153,3.28335,43.8731,24.0662,81.5306,81.4578,4.36699,26.5153,29.1795,33.7494,2.73519,12.2279,21.5709,151.356,151.397,2.53561,20.02,12.8958,1.454,0.059543,23.0894,0.779289,1.34722,0.585356,0.729988,3.17136,
19,145.63,393.941,499.272,0.369675,47.2774,24.539,3.25541,45.5191,29.5459,105.824,105.13,5.19756,27.6518,25.0253,15.6787,2.45689,22.9875,28.2457,236.644,237.311,2.74408,19.0312,13.0099,2.00129,0.059543,24.6575,1.31338,1.34722,0.585356,0.62092,3.31901,
20,145.63,303.604,296.534,0.479673,47.786,24.9414,3.47471,43.8881,20.2293,66.7848,66.7265,5.01587,24.757,25.0162,23.9611,2.43168,11.0747,18.7382,137.23,142.166,2.71822,17.8834,13.0099,2.00129,0.150799,24.3609,0.592724,0.222658,0.126235,0.729988,3.28045,
21,145.63,348.446,343.827,0.417942,51.5692,28.542,3.39619,50.912,23.3016,79.2348,79.1923,5.00422,27.2941,35.0122,37.501,2.49784,49.6256,20.652,152.388,153.258,2.818,17.4942,11.4308,2.00129,0.150799,19.2882,1.13028,0.222658,0.126235,0.602285,3.23988,
22,145.63,451.624,547.383,0.322459,50.9709,23.3258,3.87099,95.9223,18.4678,110.809,110.855,5.1853,32.2179,36.9911,23.5581,3.3156,371.151,17.0534,182.358,189.203,2.89656,21.6568,13.0099,2.00129,0.150799,20.0007,1.13028,0.222658,0.126235,0.729988,3.23988,
23,145.63,372.503,331.037,0.390951,54.711,26.8009,4.07796,46.0584,23.6594,91.5592,91.6258,5.68024,28.3297,35.9636,23.8643,2.79061,53.115,24.5879,151.499,149.318,2.75894,17.4449,13.0099,0.909216,0.150799,27.5244,1.13028,0.222658,0.126235,0.729988,3.23988,
24,145.63,296.294,224.541,0.491506,48.4952,25.8464,3.57365,45.6434,19.2998,60.8642,60.88,4.88885,26.8029,32.489,27.1791,2.7983,15.7272,17.7552,108.316,102.641,2.6168,16.2392,13.0099,2.00129,0.12836,26.2774,0.814005,0.222658,0.126235,0.671089,3.23988,
25,145.63,506.6,778.757,0.287466,50.688,23.1984,3.84198,41.6902,19.8673,167.97,166.502,5.10867,27.7335,30.1219,20.2751,3.37369,13.3407,24.257,368.019,378.168,2.87213,14.5076,14.5022,2.00129,0.12836,18.9622,0.963177,0.222658,0.126235,0.619865,3.23988,
26,127.408,393.58,626.663,0.323715,59.3251,20.1262,3.11377,41.0259,21.4138,108.766,108.016,4.85983,26.9335,141.48,24.7778,2.64566,10.6962,25.3586,299.305,290.8,2.25885,11.9089,3.07814,2.00129,0.12836,17.2418,0.961013,1.34722,0.585356,0.729988,3.23988,
27,127.408,293.409,464.277,0.434232,43.0868,14.7331,3.65509,41.1181,15.2807,71.8228,71.1667,5.13536,27.4107,21.6968,11.9258,2.87544,10.059,12.1012,235.26,231.333,2.21826,11.4122,3.07814,1.5611,0.12836,32.8428,0.963177,0.972379,0.585356,0.729988,3.23988,
28,127.408,334.196,452.952,0.381237,40.1668,16.9588,3.34342,40.3229,14.9149,92.6808,92.5935,4.77341,28.4415,27.27,18.473,2.45157,10.1527,10.1651,204.323,209.026,2.24112,13.5447,3.07814,1.5611,0.12836,18.4316,0.356797,0.972379,0.585356,0.729988,3.23988,
29,106.163,265.82,431.951,0.39938,42.8794,16.2768,3.70968,38.4187,14.5836,55.8591,55.6735,5.16678,33.2522,29.5488,22.4665,3.01487,10.1733,12.2753,199.295,198.636,2.1986,12.7976,10.353,1.19447,0.0178242,18.6375,0.577469,0.539373,0.324513,0.581442,4.04108,
30,106.163,258.585,459.742,0.410554,36.1871,14.3279,3.86637,38.0433,12.5833,59.1387,58.5363,5.28474,30.6171,12.1307,10.7698,2.86482,6.85813,8.74827,229.501,225.431,2.05301,8.32905,10.353,1.5611,0.0178242,28.3812,0.577469,0.965295,0.324513,0.729988,4.04108,
31,106.163,304.397,569.392,0.348765,42.8658,21.4475,3.9483,38.7022,17.3881,70.0931,69.4096,5.32818,35.2145,32.3263,33.54,2.54298,14.6452,24.1571,260.279,257.428,2.53552,17.1789,10.353,1.5611,0.0178242,19.9188,0.486101,0.965295,0.324513,0.729988,4.04108,
32,106.163,272.754,483.923,0.389227,35.3527,17.1074,3.41127,36.6891,12.7379,64.1768,63.4287,4.97269,34.8769,21.517,17.8712,2.37082,5.36018,14.8723,236.282,231.185,2.14807,15.7847,9.14807,1.5611,0.0178242,24.7191,0.577469,0.965295,0.324513,0.729988,4.04108,
33,106.163,224.63,475.865,0.472613,32.9272,16.7618,3.16332,35.4247,11.7979,42.3976,41.7141,4.86258,35.581,19.2407,20.3729,2.59665,1.96674,14.9193,228.836,224.234,1.8583,9.63902,9.14807,1.66673,0.0178242,26.4318,0.577469,0.745437,0.324513,0.779223,20.1187,
34,106.163,238.497,485.08,0.445133,38.764,15.6489,3.00912,35.3457,8.91701,48.5985,47.9635,4.93094,35.3195,68.0814,21.9717,2.46337,1.93842,8.63496,231.428,227.203,1.78438,7.94101,9.14807,1.47246,0.0213777,26.7831,0.577469,0.745437,0.324513,1.30526,20.1187,
35,105.695,208.312,464.99,0.50739,27.6469,12.2362,2.49022,38.1699,7.55697,40.5066,39.7535,5.12388,34.828,22.2748,8.28272,2.34948,18.1642,11.2472,229.123,224.371,1.55079,3.6942,9.14807,1.47246,0.0298069,33.9327,0.450127,0.526736,0.270164,1.13878,20.1187,
36,105.695,315.045,908.293,0.335493,25.958,14.728,2.23232,139.099,9.58335,42.1709,41.4351,5.2077,34.6307,23.609,19.3816,2.09141,732.302,19.2661,229.822,225.288,1.81114,2.93141,9.14807,1.38267,0.0943103,33.7268,0.577469,0.375049,0.176605,1.30526,20.1187,
37,105.695,137.427,45.7486,0.769103,22.2245,10.2382,2.24356,35.1066,7.13227,9.1783,9.12811,5.46306,36.7123,19.4711,7.59501,2.16802,70.2688,12.8645,30.8254,33.1683,1.21066,10.8554,5.59241,1.6415,0.0698763,24.7534,0.388177,0.375049,0.176605,2.75862,20.1187,
38,105.695,209.838,488.934,0.503701,21.1598,14.2116,2.5441,43.0493,10.8319,39.425,38.7545,5.02899,34.8325,23.2702,12.8828,2.44369,54.9002,21.1537,226.07,225.374,1.53611,3.51371,7.42457,1.6415,0.0698763,24.8038,0.388177,0.375049,0.176605,1.41098,20.1187,
39,92.3638,349.61,784.379,0.264191,24.739,15.8109,2.35068,34.6769,10.0111,111.184,109.636,5.10075,36.1012,27.4455,24.6377,2.51248,8.83598,21.7476,374.667,369.085,1.61617,6.77702,7.42457,1.48764,0.0698763,19.1964,0.227258,0.375049,0.176605,1.8041,23.0325,
40,92.3638,134.915,60.0321,0.684608,21.3924,11.8712,2.13891,37.224,7.39145,6.11784,6.03549,5.42339,37.3202,26.4339,9.21778,1.93747,16.0866,16.4332,104.106,102.663,1.72661,10.4976,7.21255,1.48764,0.0445447,24.721,0.227258,0.375049,0.176605,1.72043,32.7446,
41,92.3638,239.991,483.126,0.384864,23.5293,18.4585,2.2188,42.6663,10.1751,50.6301,50.1561,4.9445,37.2119,30.4752,26.0349,2.33194,54.1221,21.1718,211.939,208.844,1.97272,13.1658,2.89501,1.48764,0.0698763,24.914,0.227258,0.375049,0.176605,0.467548,11.0899,
42,92.3638,175.546,327.994,0.526152,20.3833,13.4742,2.04746,36.9201,6.00213,27.7535,27.5351,5.2155,36.2145,28.3067,28.4536,1.79273,14.5709,8.27365,139.282,138.257,1.40351,3.83686,2.89501,1.06088,0.0138993,23.1573,0.227258,0.375049,0.176605,2.81751,33.2827,
43,92.3638,272.014,589.538,0.339555,22.5682,15.9821,1.94489,33.91,6.68697,74.4074,73.975,4.87076,37.6687,30.5868,25.5048,1.34057,5.68452,10.3766,270.809,269.478,1.51114,11.1198,2.89501,1.48764,0.0138993,10.5303,0.227258,0.526736,0.245899,1.64364,32.7131,
44,92.3638,160.071,328.84,0.577016,15.4616,8.63634,1.87092,34.8905,4.6032,26.7015,26.583,5.08618,36.2383,19.4672,11.3055,1.55231,2.44161,10.0077,149.078,151.475,1.39371,6.33437,2.89501,1.10512,0.0138993,19.5917,0.227258,0.526736,0.245899,2.81751,33.3719,
45,90.4844,305.827,678.376,0.295867,27.4214,15.2886,2.82737,41.483,17.9137,78.5665,77.5203,5.02155,39.785,37.072,33.4849,2.44679,35.139,39.5784,295.98,294.619,1.64942,16.5617,4.57758,1.05467,0.0138993,20.1662,0.227258,0.415199,0.245899,1.06868,18.3142,
46,90.4844,319.152,718.696,0.283515,22.4419,9.96326,2.65873,34.088,7.61675,101.396,100.279,5.15147,35.557,33.4884,21.9832,1.54315,8.8144,18.2064,332.079,331.007,1.29962,7.36509,2.67778,0.969899,0.0698763,5.78011,0.227258,0.415199,0.245899,2.98323,7.09619,
47,89.7292,198.901,373.659,0.451125,24.3613,13.3507,3.08085,72.6173,5.7709,17.1883,17.1328,5.16509,40.2338,39.7891,29.0095,2.73538,270.414,16.0531,108.428,115.105,1.80336,17.8449,3.39789,1.09503,0.100152,23.4556,0.194456,0.415199,0.245899,2.83979,33.4644,
48,87.1152,170.85,365.243,0.509892,14.9655,5.60005,2.53962,34.645,4.79831,33.2623,33.1339,4.93238,36.9734,28.7804,9.11869,2.32882,38.0718,14.53,157.705,159.583,1.18776,9.7657,3.37014,1.09503,0.100152,19.1513,0.382267,0.303592,0.163371,3.15151,33.894,
49,84.7041,301.581,817.345,0.280866,13.9335,6.61473,2.29192,35.8039,3.73473,101.27,99.0858,4.62288,34.2244,27.0691,10.611,1.69095,3.02883,5.23755,385.43,389.864,0.86315,4.21379,3.37014,1.09503,0.100152,34.9446,0.281838,0.238542,0.0763905,3.15151,18.9162,
50,84.7041,169.265,342.254,0.500423,14.6758,9.9696,2.21669,44.4751,7.07601,24.4861,24.3815,4.81316,37.1708,29.0836,31.7574,1.20504,57.3189,18.874,147.674,156.078,1.05192,8.51319,3.37014,1.07195,0.486992,17.4843,0.281838,0.238542,0.0763905,3.28762,34.3146,
51,84.7041,160.389,487.141,0.528115,8.95661,2.95107,2.20568,35.4894,2.6266,34.7116,33.8787,4.75993,34.8099,16.8044,7.99387,0.930801,7.68446,6.61871,233.377,228.035,1.22606,3.00324,3.02536,1.07195,0.486992,34.9306,0.252632,0.238542,0.0763905,3.55107,21.5759,
52,84.5251,214.013,449.79,0.394953,17.5563,11.5721,2.24557,46.5125,5.39019,43.5603,43.4023,4.63877,39.135,38.0497,33.7508,1.34949,86.9374,16.4782,196.142,196.409,0.987074,14.5518,2.26855,1.07195,0.486992,18.6089,0.244713,0.238542,0.0763905,0.90367,34.5081,
53,81.5245,137.79,320.453,0.591659,10.253,5.30951,2.32409,34.6612,1.76682,21.0646,20.912,4.48473,37.0137,27.1485,20.3325,1.70073,11.9958,4.75584,138.957,140.068,0.36941,11.0971,2.26855,1.07195,0.486992,20.9696,0.220977,0.238542,0.0763905,3.70796,34.4882,
54,81.3718,147.572,373.918,0.551405,9.59805,6.89871,2.06175,34.5057,2.47597,25.93,25.7161,4.5993,35.7861,24.9085,25.0699,1.206,3.64452,8.16866,168.91,168.248,0.888988,9.63809,2.0325,1.08095,0.651431,10.2603,0.220977,0.238542,0.0763905,3.70796,10.5674,
55,81.3718,192.522,522.227,0.422662,11.7882,4.88003,2.00502,37.6922,4.01789,46.6463,45.8226,4.6352,35.0347,31.3389,16.4296,0.872243,12.0453,13.4598,244.998,240.349,1.01765,4.53333,1.72914,1.06591,0.651431,34.9913,0.220977,0.238542,0.0763905,3.62566,22.1916,
56,80.9469,130.402,320.137,0.620751,7.02079,2.22543,1.81489,34.8698,1.29886,21.5087,21.3941,4.50503,35.7638,21.7523,4.42737,0.476378,3.62368,4.92894,145.211,145.457,0.539647,5.64508,2.0325,1.06591,0.651431,18.786,0.221553,0.238542,0.0763905,3.97707,34.5859,
57,80.5277,185.332,483.946,0.434505,9.38743,5.36639,2.06347,38.7977,2.14713,44.4687,43.925,4.55248,34.6238,27.5445,14.8011,1.66862,25.7299,6.26338,228.675,227.821,1.20386,3.68014,1.32631,1.06591,0.349928,15.2019,0.23467,0.238542,0.0763905,3.08826,14.4167,
58,80.0439,156.773,473.915,0.510572,7.52551,2.23102,1.74974,37.4995,2.01591,33.5947,32.8043,4.35108,35.0013,22.6748,4.05732,0.721647,14.5777,6.03526,229.873,225.274,0.523354,2.90559,1.1793,1.06591,0.258548,34.9913,0.23467,0.21826,0.119157,2.53518,23.5341,
59,80.0439,203.754,544.193,0.392846,12.5543,8.42586,2.081,34.7841,3.68117,50.4116,49.5698,4.17155,38.0746,35.2789,30.0426,1.49971,3.10567,11.7962,251.867,249.393,0.564635,14.653,1.0732,1.07217,0.944648,23.0484,0.231848,0.21826,0.0716968,1.05277,23.3323,
60,79.934,148.506,335.074,0.538255,10.6633,6.64436,2.13822,39.1812,3.75565,22.3566,22.2145,4.36129,37.1907,34.0794,24.4642,1.7982,30.6405,16.9031,147.274,146.893,0.420123,10.5089,1.13883,1.05773,0.984215,19.3739,0.231848,0.221173,0.0803328,4.04005,34.7037,
61,79.934,222.127,539.508,0.359857,10.4319,6.02732,2.0482,34.1569,5.06319,61.0185,60.6502,4.40562,38.3253,30.352,27.0338,1.30131,6.25018,17.5634,244.346,242.169,0.801203,13.0259,1.13883,1.05773,0.984215,18.4381,0.231848,0.213937,0.0716977,3.42153,34.7912,
62,79.3734,215.599,660.3,0.368154,5.52199,3.70782,1.99614,34.874,1.62704,65.0708,63.7325,4.40363,34.6647,18.8597,12.4271,1.60583,1.84361,6.62711,316.62,311.251,1.24947,3.78606,1.13883,1.05773,0.858946,24.66,0.231848,0.209741,0.0791492,1.54579,26.0422,
63,78.9263,236.249,601.311,0.334081,12.9811,6.5913,1.97857,35.6255,5.90713,66.975,66.0512,4.33021,35.8092,38.117,25.655,1.15769,5.04049,23.9279,275.538,271.061,0.656464,10.1802,1.08271,1.05773,0.984215,18.7622,0.231848,0.213707,0.0698178,0.997973,4.13862,
64,78.9263,261.126,644.435,0.302254,13.3033,7.31202,1.96655,34.2446,3.07497,79.9645,78.9748,5.03877,37.2461,37.1766,24.8075,1.10067,4.20056,8.36137,296.566,293.199,2.28725,14.8721,1.08271,1.06027,0.984215,17.8105,0.231848,0.218644,0.0698178,4.12673,1.03448,
65,78.9263,287.673,629.735,0.274361,10.9906,6.92612,1.85708,36.9891,6.44084,93.5887,92.6467,4.81198,33.4216,30.2292,14.7534,1.40609,13.0895,21.4147,303.238,300.788,1.52972,8.85223,1.08271,1.06027,0.87438,11.9684,0.23416,0.218644,0.0698178,3.59068,3.8963,
66,78.9263,131.675,198.966,0.599404,12.193,2.96333,2.11447,36.7752,5.28365,14.262,14.1236,4.65089,39.3086,36.6977,7.39793,2.20714,15.712,18.9357,99.9057,97.3948,1.60557,17.2515,1.08271,1.07708,0.984215,23.671,0.23416,0.218644,0.0698178,3.70583,34.8343,
67,78.9263,206.706,576.503,0.381829,9.57004,4.40129,1.77934,34.2804,7.46007,53.2646,52.4538,4.89035,38.6059,31.4707,13.7248,1.37443,4.13431,27.5342,262.248,263.636,1.84409,15.299,1.08271,1.09121,1.0991,18.9822,0.230651,0.218644,0.0781863,4.22322,32.5701,
68,78.8854,121.939,262.414,0.646927,6.15897,2.16991,1.46985,34.741,1.97955,16.9104,16.7399,4.60955,37.1595,23.7481,4.78849,0.820646,2.50379,9.08025,120.076,119.718,1.34135,11.7276,1.08271,1.11364,1.0991,21.0076,0.230651,0.2416,0.0781863,4.29719,34.8641,
69,78.8854,317.409,800.244,0.248529,11.7331,7.26896,2.21775,34.155,2.85906,109.787,108.025,4.68213,36.6819,32.6429,27.1214,2.72613,4.65281,10.3353,372.363,384.188,1.40949,11.074,1.14811,1.11364,1.11234,5.48373,0.249685,0.2416,0.0781863,4.31236,25.7427,
70,78.8854,148.335,296.927,0.531807,9.93194,9.72055,1.83892,42.0284,5.07272,19.7772,19.6163,4.36425,35.9845,34.3557,34.4343,2.26768,49.8687,23.2617,130.262,137.691,0.911183,8.57013,1.14811,1.11364,1.08982,28.5609,0.248292,0.242369,0.0781863,1.0091,31.1688,
71,78.8854,216.619,540.307,0.364167,10.764,6.17293,1.81392,53.9502,3.91727,51.1002,50.3793,4.43384,34.0869,33.2662,18.8108,1.95075,117.446,14.5317,241.165,240.473,0.94758,4.57735,1.14811,1.11364,1.11234,27.6241,0.248003,0.247217,0.0823512,1.1304,11.2786,
72,78.8854,133.991,326.584,0.588739,7.66359,4.04494,1.5485,37.1233,2.88862,20.4114,20.1742,4.28584,35.8502,31.5503,15.752,1.36942,22.0926,14.2368,144.635,143.848,0.363346,5.01997,1.13037,1.11364,1.12765,19.0706,0.247959,0.251615,0.0823512,2.2387,34.8895,
73,78.8854,418.402,940.913,0.18854,21.7624,11.1462,2.212,37.5145,10.2617,147.583,145.039,4.49296,38.391,46.0207,33.3663,2.48474,18.5236,28.8609,450.666,442.817,1.25988,15.5193,1.13037,1.13212,1.12765,19.9086,0.247937,0.250532,0.0776955,0.994476,17.8733,
74,78.8854,121.382,239.692,0.649894,6.66929,2.49855,1.49207,34.7774,3.3978,15.4008,15.2569,4.46279,37.4265,30.051,10.4413,1.22951,3.53812,17.1281,151.887,160.914,0.839169,12.4756,1.13037,1.11994,1.12765,22.768,0.247959,0.250532,0.0776955,4.20437,34.8538,
75,78.8854,209.623,518.984,0.376321,15.31,6.82791,1.65805,40.3791,3.93821,50.9493,50.2514,4.61543,35.6932,42.5214,18.8977,1.14175,28.3958,12.7667,239.419,235.273,1.46364,10.1745,1.13037,1.13212,1.12765,23.8622,0.247956,0.253977,0.0823512,2.13315,2.26191,
76,78.8648,261.452,653.802,0.301642,10.6753,3.02221,2.00171,34.26,3.76011,84.7606,83.8418,4.44252,34.6875,34.1866,7.92823,2.5844,6.11583,16.5587,301.483,303.917,0.58388,7.05896,1.13037,1.13212,1.2214,5.73885,0.247959,0.253977,0.0823512,3.84058,7.76669,
77,78.8317,142.133,269.787,0.554633,9.1237,9.26236,1.75438,34.7227,2.6663,21.1131,20.9274,4.5907,37.9725,31.3927,34.5108,1.95677,2.11711,10.551,110.524,115.379,1.02974,12.7763,1.13037,1.13212,1.2214,24.8763,0.247959,0.253977,0.0823512,4.31752,34.8746,
78,78.6954,133.258,295.439,0.59055,6.69041,6.20372,1.55134,34.8023,4.75191,18.8645,18.6975,4.63258,37.0634,27.3423,26.8443,1.42177,2.1922,22.2078,113.301,113.333,1.43722,10.5879,1.11941,1.19975,1.21337,21.9727,0.247676,0.233931,0.0823512,4.32379,34.884,
79,78.6954,192.11,566.92,0.409638,6.64997,1.81226,1.5468,35.17,0.689626,53.7101,52.7522,4.40532,35.3733,27.0339,4.738,1.65399,3.00784,4.59655,272.335,267.008,0.367233,5.68452,1.11886,1.20027,1.20749,18.6888,0.247676,0.233931,0.0824173,4.31534,21.8193,
80,78.6954,289.437,727.934,0.271891,52.4066,5.05533,1.69584,40.6333,3.50213,73.1865,72.2067,4.48783,36.2632,310.885,16.7686,1.75705,41.9203,12.9927,295.074,293.43,1.35026,7.15524,1.11886,1.20027,1.20956,18.6677,0.247635,0.233931,0.0826804,0.581463,24.075,
81,78.6954,211.249,605.466,0.372525,7.69122,7.69433,1.7729,35.2514,5.34451,56.9642,55.9032,4.47725,36.1495,46.732,28.4388,2.09467,7.19117,24.8245,274.389,267.971,1.07156,8.8858,1.11886,1.20027,1.19638,16.5076,0.247676,0.233931,0.0751881,1.1254,16.9264,
82,78.6954,232.402,544.819,0.338617,10.6118,8.79965,1.56315,41.7004,4.24123,62.2268,61.8272,4.56238,36.8699,36.1021,33.1797,1.30502,52.6633,15.4452,239.651,238.737,1.31402,8.18295,1.11566,1.18521,1.20809,17.5251,0.247676,0.244284,0.0751881,2.37886,32.243,
