Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
10,153.372,516.765,561.6,0.296792,5.48622,38.1502,95.409,142.718,92.494,142.507,2.29024,65.1971,80.1446,234.156,24.4198,247.516,2.12622,0.386599,4.05753,0.980227,3.82824,0.529395,
11,153.372,381.376,519.562,0.402155,5.48566,25.4853,94.5429,78.3013,99.5636,77.9969,1.78206,61.6618,88.8532,238.86,23.3233,232.599,2.66488,0.386599,4.05753,0.980227,3.82824,0.529395,
12,153.372,457.525,574.993,0.335221,5.23602,29.5864,80.3948,124.287,96.1265,121.895,1.88264,60.808,80.8726,268.147,25.8555,257.509,2.73324,0.529593,4.05753,0.980227,3.82824,0.529395,
13,153.372,509.137,659.992,0.301239,5.31458,44.0093,90.2642,135.422,101.123,133.004,1.53609,92.8379,103.302,259.904,20.7074,252.579,2.80987,0.463696,4.05753,0.980227,3.82824,0.529395,
14,153.372,645.161,989.979,0.237727,6.13433,45.3174,77.5585,211.372,96.3535,208.425,1.81357,94.1767,97.7522,419.194,26.3906,428.793,2.80987,0.463696,4.05753,1.46828,3.82824,0.557391,
15,146.359,568.427,829.364,0.25748,5.94502,43.9122,74.1219,174.806,95.8271,173.815,1.85561,97.2019,80.4455,362.358,28.884,354.888,2.80987,0.463696,4.05753,1.46828,3.82824,0.557391,
16,146.359,413.625,708.649,0.353843,5.63642,29.0644,70.4481,104.693,100.284,103.499,1.60977,79.704,98.0874,329.145,26.8576,325.419,2.80987,0.608281,4.05753,1.46828,3.82824,0.557391,
17,146.359,485.541,771.298,0.301434,5.94734,30.3242,90.766,130.43,100.938,127.136,1.924,84.182,122.978,323.619,26.9021,322.978,3.56068,0.379702,4.05753,1.46828,3.82824,0.557391,
18,146.359,382.768,641.353,0.382369,5.70653,29.6699,47.1317,101.297,101.988,96.9749,1.77769,78.1414,46.0875,294.514,25.6545,293.732,3.07445,0.379702,1.74824,1.46828,3.82824,0.557391,
19,146.359,430.47,718.981,0.339997,5.61143,20.3105,70.4884,115.185,104.197,114.678,1.42866,72.3894,101.722,300.986,20.9116,300.463,3.58609,0.379702,1.74824,1.46828,3.82824,0.557391,
20,146.359,426.731,556.149,0.342976,5.44501,36.5217,72.6096,106.383,101.842,103.93,1.33842,93.8554,103.42,235.055,27.0817,233.136,2.18753,0.509747,1.74824,1.46828,3.82824,0.557391,
21,128.108,408.89,697.884,0.313307,5.31172,30.002,40.4224,114.68,102.897,115.576,1.24329,72.1284,42.3012,317.626,27.5699,318.343,2.39039,0.532563,1.74824,1.29367,3.82824,0.470511,
22,128.108,374.244,697.854,0.342312,5.1468,18.5973,52.4732,95.5991,107.253,95.1743,1.28278,67.309,84.2993,302.485,18.6924,301.516,2.21428,0.374167,1.74824,1.29367,3.82824,0.470511,
23,128.108,465.143,706.78,0.275417,5.6552,38.8057,36.0968,143.404,100.286,140.895,1.43857,95.7594,38.8188,320.535,30.4549,312.922,3.60782,0.627837,3.59324,1.29367,3.82824,0.470511,
24,128.108,509.283,699.625,0.251546,5.47291,46.5536,80.0512,144.432,96.4775,136.295,1.56218,95.6869,122.96,293.723,32.6543,293.538,2.91018,0.627837,3.59324,1.29367,3.82824,0.470511,
25,128.108,592.826,945.887,0.216097,5.37542,41.5516,77.6931,185.862,99.6369,182.707,1.38132,91.4292,123.606,401.234,29.6966,398.72,3.36179,0.627837,3.59324,1.29367,3.82824,0.470511,
26,128.108,445.872,668.796,0.287321,5.1973,24.748,38.3867,137.564,103.12,136.856,1.18834,77.5367,47.9553,301.95,24.8758,299.764,3.30514,0.627837,1.19612,1.29367,3.82824,0.470511,
27,128.108,497.753,897.022,0.257373,5.5015,40.0443,47.1369,153.303,100.591,151.176,1.52082,112.328,84.3385,379.087,29.7564,377.936,3.03952,0.425303,3.59324,1.29367,3.82824,0.470511,
28,128.108,612.664,990.948,0.2091,5.46237,46.8799,67.4082,198.838,97.7403,196.335,1.53254,108.983,102.178,426.02,31.6807,426.261,2.27466,0.425303,3.89524,1.29367,3.82824,0.470511,
