Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
112,123.711,403.889,737.22,0.306299,3.95118,25.0898,40.9231,118,106.081,109.845,1.63698,80.3743,107.907,324.685,22.0755,304.075,2.2099,3.47285,1.0377,1.40413,21.1084,0.421244,
113,123.706,477.319,827.866,0.259169,4.48837,33.8273,44.8917,146.369,103.445,144.298,2.04775,83.5821,95.2674,359.372,25.7564,356.635,3.45705,3.11532,1.0377,1.40413,18.9509,0.421244,
114,123.706,580.717,913.379,0.213023,4.61456,47.7046,47.4183,192.113,98.3184,190.548,2.31946,98.2295,103.484,401.859,30.4421,404.325,2.69294,3.03649,1.0377,1.40413,18.5718,0.422286,
115,123.694,475.336,916.008,0.260225,4.38426,41.2369,28.04,149.468,106.823,145.384,2.1183,105.871,62.8322,409.207,23.6298,400.421,2.49329,1.69147,1.0377,1.40413,18.8659,0.422286,
116,123.676,350.447,704.194,0.35291,4.07384,43.6975,30.0163,83.5271,107.199,81.9333,1.47127,110.978,94.4557,280.349,22.6723,293.787,3.34004,3.46362,1.03018,1.40725,18.5492,0.422286,
117,123.676,510.719,857.153,0.242162,4.44621,56.6065,23.3557,164.075,103.557,158.679,1.98308,123.722,57.7291,365.14,25.9096,352.895,3.26588,2.06604,1.04621,1.40725,11.1626,0.422286,
118,123.676,653.299,1066.3,0.18931,4.34128,56.3078,44.8715,223.652,104.391,219.736,1.98212,125.811,95.0825,449.02,22.3763,456.16,3.17548,2.1378,1.04554,1.41339,17.5766,0.422586,
119,123.676,385.252,752.707,0.321027,3.81358,24.8972,45.8446,101.403,109.016,100.278,1.21918,86.6101,111.909,337.412,17.8682,342.811,2.17745,1.18156,1.0379,1.41339,23.9419,0.422586,
120,123.676,420.962,760.342,0.293794,4.17669,46.5638,34.9545,115.348,105.925,113.995,1.73901,122.54,93.4381,309.87,22.6711,304.972,2.09045,2.44376,1.0379,1.42172,18.4701,0.422269,
121,123.662,453.171,799.282,0.272882,4.35938,51.4509,39.988,130.809,100.4,126.163,1.91025,117.174,91.8699,338.281,31.6375,331.341,2.75603,2.19787,1.03484,1.42247,18.117,0.422586,
122,123.662,536.819,978.183,0.230361,4.69591,44.696,61.3681,164.348,101.624,160.087,2.19549,118.229,139.144,408.674,27.3971,403.131,3.6022,2.41219,1.03484,1.42247,18.0799,0.423299,
123,123.662,410.783,795.336,0.30104,3.99816,23.5901,30.6942,124.881,104.144,123.476,1.21759,65.2126,100.146,342.744,26.028,343.591,2.3103,3.45566,1.03484,1.42247,21.8741,0.423337,
124,123.649,335.474,532.861,0.368579,3.7862,12.9055,25.3026,94.1625,106.659,92.6591,0.610773,49.3226,69.3471,243.159,18.7911,235.805,3.23547,1.9923,1.03043,1.42247,27.2155,0.422825,
125,123.649,291.449,523.388,0.424256,3.89159,14.6248,17.81,74.1578,107.847,73.1181,1.12298,40.1597,68.5744,239.717,20.8166,238.029,2.76684,2.76093,1.03043,1.42323,19.0262,0.422778,
126,123.649,428.595,809.098,0.288498,4.12902,31.1521,29.6456,130.125,105.173,128.37,1.612,81.2338,83.583,349.731,24.0427,352.78,2.57462,3.45795,1.03043,1.42378,18.6569,0.422857,
127,123.649,570.773,947.879,0.216634,3.78984,49.7515,46.9978,182.891,107.439,179.905,0.865162,110,115.25,399.87,19.0951,385.763,3.34709,1.33635,1.03043,1.4236,24.7276,0.422857,
128,123.642,533.721,927.476,0.231659,4.45676,44.0639,49.4644,168.716,103.82,163.2,1.90271,108.718,117.187,395.601,23.8454,388.866,3.62,2.20573,1.02634,1.4236,17.614,0.422857,
129,123.642,456.758,753.655,0.270694,4.19772,46.7841,46.8478,130.146,100.978,127.805,1.73972,117.373,124.436,321.546,30.4374,314.153,2.26799,1.62517,1.02634,1.42295,16.0883,0.422857,
130,123.641,668.52,1043.95,0.184947,3.99365,56.2959,43.1946,234.778,101.751,228.507,1.51372,129.693,85.8341,439.897,26.4225,431.939,2.77206,2.36691,1.02634,1.42295,13.4651,0.423828,
131,123.625,538.338,940.186,0.229643,4.65292,50.2742,59.8687,160.338,104.888,158.316,2.13068,118.489,119.401,401.45,23.2121,385.435,3.09153,1.79965,1.01916,1.42295,18.4901,0.424333,
132,123.625,526.285,841.193,0.234902,4.36988,48.5775,47.2167,164.635,98.8119,162.674,1.74614,101.029,97.0682,359.672,30.2995,357.137,2.55189,1.46444,1.01916,1.42295,18.0879,0.424091,
133,123.616,383.69,646.088,0.322177,4.01102,23.81,52.292,100.325,104.489,98.764,1.64538,64.861,129.682,287.191,26.9356,300.458,2.38049,2.47011,1.01882,1.42291,14.2175,0.422942,
134,123.616,421.628,700.751,0.293187,4.51097,52.0816,71.9451,97.4064,100.957,94.7275,2.30562,118.886,155.983,266.153,31.076,264.36,2.17697,3.45677,1.01882,1.42291,17.9201,0.422942,
135,123.616,526.396,822.145,0.234835,3.81888,28.7605,65.0225,163.203,103.665,161.927,1.35935,85.389,142.417,348.873,25.1448,346.452,1.92761,1.19223,1.01882,1.42291,10.0665,0.422942,
136,123.616,350.7,629.483,0.352484,4.10482,24.3681,27.0153,95.3308,106.294,93.5863,1.71176,74.7292,77.4309,289.525,19.0001,275.479,2.21223,2.34181,1.0175,1.42291,43.1782,0.422942,
137,123.616,458.779,792.146,0.269446,4.40338,21.8,53.2519,137.556,105.044,136.724,1.94894,60.6514,111.194,346.156,23.6507,355.236,2.11199,2.33806,1.0175,1.42286,21.2644,0.422942,
138,123.616,410.403,659.665,0.301206,4.07236,36.6003,39.7971,114.931,102.319,112.683,1.50252,88.5232,102.396,284.638,27.8568,284.048,3.03393,0.830967,1.0175,1.4225,15.6822,0.422942,
139,123.615,450.339,758.214,0.274493,4.10696,24.4681,41.8928,139.958,101.163,138.75,1.48313,66.0257,114.455,332.174,28.0344,335.004,2.15602,2.19438,1.0175,1.4225,18.6117,0.423005,
140,123.609,549.737,1098.31,0.224851,4.31425,41.7026,36.1822,181.53,106.247,179.761,1.85139,105.627,100.466,467.208,21.5917,465.471,3.61877,2.76821,1.01393,1.4225,22.4771,0.423005,
141,123.609,396.481,677.742,0.311766,4.2734,33.7512,30.3325,113.73,106.064,108.33,1.74305,101.701,98.662,308.304,21.9455,297.856,2.65144,1.40471,1.01393,1.4225,17.6516,0.423442,
142,123.607,323.702,554.913,0.381855,4.01727,26.002,48.2219,67.3967,111.848,66.2166,1.36652,80.2434,127.091,213.723,13.3397,205.95,3.3301,2.3008,1.01393,1.42213,28.2256,0.423442,
143,123.605,453.247,804.075,0.272711,4.06573,46.0537,38.949,130.732,104.765,128.682,1.54649,99.7131,106.727,322.181,25.2661,323.497,2.61338,3.45391,1.01393,1.42213,17.3385,0.423442,
144,123.604,415.148,669.283,0.297734,4.27001,38.3097,44.451,113.128,104.42,110.57,1.60324,98.3004,103.522,273.26,24.9061,267.072,2.87259,1.72052,1.01393,1.42124,6.59244,0.423442,
145,123.604,395.164,728.071,0.312791,4.27874,25.4075,37.8161,111.323,106.966,109.373,1.72415,76.7219,106.068,314.742,23.1043,311.196,3.19226,0.959214,1.01188,1.4201,11.0144,0.423442,
146,123.599,426.386,805.915,0.289877,4.00664,27.7184,31.6068,128.814,106.753,127.488,1.39285,70.1989,87.9716,345.65,20.825,344.969,2.62509,1.94348,1.01188,1.4201,23.6432,0.42353,
147,123.599,344.766,624.75,0.358502,4.46714,34.8871,34.2606,83.7328,105.564,81.8544,2.13388,88.5419,90.5082,279.371,23.3608,274.911,1.9595,2.38726,1.01188,1.4201,18.1836,0.42353,
148,123.595,366.114,711.647,0.337585,3.76993,24.8636,38.4536,97.6807,104.722,96.6241,0.921349,62.7676,111.614,294.193,25.0687,294.324,2.41787,3.44755,1.01188,1.4194,18.8985,0.422765,
149,123.595,465.726,821.608,0.26538,4.48982,42.4495,58.5272,128.924,104.159,127.176,2.15486,96.4572,130.991,317.797,23.6463,316.238,2.98634,2.39949,1.01188,1.4194,15.4318,0.422765,
150,123.595,478.747,938.266,0.258163,3.87077,36.3968,49.9787,140.892,108.158,139.45,1.36278,104.698,131.098,368.797,18.5121,369.164,2.81896,2.05468,1.01176,1.4194,19.6188,0.422765,
151,123.59,615.791,1004.06,0.200702,4.5501,45.6576,58.6437,207.319,98.9632,200.658,2.12216,108.715,119.02,416.096,31.4599,427.082,3.61874,2.34625,1.0113,1.4194,18.1332,0.422765,
152,123.59,478.328,771.418,0.258379,4.09345,31.9798,31.1289,155.014,103.626,152.486,1.55944,94.5179,75.3403,356.814,25.7155,356.394,2.01206,1.06774,1.0113,1.4194,17.5875,0.424036,
153,123.587,429.081,714.892,0.288026,4.09683,14.7748,50.255,127.073,106.722,126.159,1.48855,47.6537,126.141,326.585,20.7533,328.495,2.41178,2.10105,1.01096,1.41896,21.5015,0.424036,
154,123.587,329.946,508.167,0.374566,3.93985,25.8169,41.441,78.2182,104.064,76.4664,1.45571,71.4444,101.724,224.491,25.6564,221.336,2.01335,1.50092,1.01096,1.41896,17.134,0.423055,
155,123.587,567.959,973.244,0.217598,4.26894,49.8397,45.8822,183.789,103.6,180.58,1.7377,113.546,99.6762,423.492,25.9157,418.944,2.03928,1.99316,1.01096,1.41896,18.8187,0.424412,
156,123.587,451.644,754.565,0.273637,3.98715,20.365,45.0985,139.102,105.036,138.056,1.49899,65.3517,109.399,330.162,20.9628,332.518,2.39512,1.66927,1.01096,0.964984,22.608,0.32811,
157,123.587,415.933,819.84,0.297131,4.22533,30.8798,24.0764,126.24,106.963,123.548,1.86297,89.6938,66.9221,358.873,18.8782,350.965,2.63984,2.04367,1.01096,1.41924,24.0586,0.424412,
158,123.586,845.404,1223.96,0.146186,4.83307,94.4521,61.7466,295.573,101.02,287.779,2.34824,155.257,117.742,542.247,26.9073,466.504,2.54347,3.18115,1.01096,1.41924,18.7513,0.424412,
