Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
1304,716.781,1233.74,2842.62,0.580983,200.356,50.2533,2.75844,0,4.88289,760.606,50.5789,116.464,47.8375,2324.72,209.346,3.86396,0,4.98031,416.914,210.35,276.538,200.874,1.47233,0.0191205,1.82854,0,3.20121,662.972,0.0957705,46.4046,0.0353535,
1305,716.781,1311.31,3127.41,0.546613,191.401,67.3063,3.01349,0,4.01929,824.656,67.663,88.3481,64.9061,1773.23,316.995,5.32134,0,1.49684,816.047,318.695,203.346,347.142,1.47233,0.0191205,1.82854,0,3.54983,662.972,0.0957705,46.4046,0.0353535,
1306,716.781,913.369,1006.28,0.784765,13.8004,22.3211,2.60282,0,4.54856,737.281,22.4846,89.7132,20.6181,192.318,140.859,4.42337,0,4.37603,440.52,146.478,230.552,140.873,1.47233,0.0191205,0.868843,0,3.40335,627.056,0.0931595,46.4032,0.0353535,
1307,716.781,1135.69,2177.11,0.631141,146.857,37.899,2.67387,0,4.28358,771.149,38.19,96.4701,38.1671,1323.4,207.836,4.41287,0,3.15764,568.86,209.748,254.33,233.259,1.47233,0.0191205,1.82919,0,3.15369,662.972,0.0947845,46.4046,0.0353535,
1308,716.781,1066.54,1953.31,0.672059,14.4656,42.8899,2.75924,0,4.42428,810.924,42.9855,98.6464,49.4505,145.324,249.169,4.58224,0,3.83031,925.071,250.618,244.351,346.172,1.47233,0.0191205,1.82919,0,3.07033,662.972,0.0947845,46.3572,0.0353535,
1309,716.781,1089.48,1472.97,0.657914,37.134,60.9412,2.61937,0,4.53503,748.563,61.6342,120.987,53.0622,170.728,247.477,3.76206,0,4.18312,422.152,245.486,313.795,252.535,1.47233,0.0191205,0.70807,0,2.80783,662.972,0.0947845,46.3803,0.0353535,
1310,716.781,1286.28,3377.58,0.55725,252.044,47.948,2.98891,0,4.79279,791.204,48.7335,106.75,31.82,2297.86,221.401,4.96456,0,4.729,572.685,227.347,274.525,203.342,1.47233,0.0191205,1.82919,0,3.77646,662.971,0.0947845,46.4046,0.0353535,
1311,716.781,950.767,1232.6,0.753897,19.1457,37.3727,2.49017,0,4.21305,735.066,37.6215,80.3843,34.4737,211.39,209.964,3.90383,0,2.9947,446.527,211.455,213.16,203.086,1.47233,0.0191205,1.82929,0,3.64735,662.972,0.0947845,46.4046,0.0353535,
1312,716.781,1070.48,1402.07,0.669589,29.3077,43.0247,2.97589,0,4.85692,792.391,43.2873,114.57,40.0647,131.163,197.913,4.86316,0,5.01915,556.832,197.349,283.095,238.887,1.49147,0.0191205,1.82929,0,3.77646,662.972,0.0947845,46.4046,0.0353535,
1313,716.781,1171.88,2114.33,0.61165,52.8981,58.9511,3.20506,0,4.53819,843.407,59.2962,99.6136,49.972,283.768,280.893,5.76505,0,3.99483,1022.71,282.236,228.089,332.286,1.47617,0.0191205,1.82929,0,3.19581,662.972,0.0947845,46.4046,0.0353535,
1314,716.781,1122.63,2583.26,0.638482,141.682,33.534,2.23264,0,4.23821,768.608,35.0543,87.9908,49.2932,1634.98,232.224,2.63561,0,3.0263,808.667,243.022,231.135,326.269,1.48603,0.0191205,1.32024,0,3.65963,662.972,0.0947845,46.4033,0.0353535,
1315,716.781,927.462,1064.03,0.772841,28.3802,27.1071,2.47848,0,4.44788,728.456,28.015,76.3863,32.1905,213.899,162.655,3.72569,0,4.05045,395.658,165.657,161.789,192.605,1.48603,0.0191205,0.716007,0,2.78798,637.518,0.0940946,32.6224,0.0353535,
1316,716.781,1324.69,3441.06,0.541093,284.241,48.4773,2.91242,0,4.67209,783.061,49.3434,120.226,31.7575,2511.3,236.559,4.89187,0,4.48535,622.658,242.603,333.915,226.579,1.48603,0.0191205,1.82905,0,3.60076,662.972,0.0947845,46.4046,0.0353535,
1317,716.781,988.496,1127.24,0.725123,31.3478,40.5052,2.49886,0,4.89822,731.397,40.6863,106.167,30.9959,286.077,190.673,3.44516,0,5.15511,355.585,192.497,266.767,140.706,1.48603,0.0191205,0.642182,0,3.77646,662.971,0.0929816,46.4046,0.0353535,
1318,716.781,1031.43,1650.65,0.694938,52.3216,45.9969,2.68912,0,4.16626,752.838,46.1883,94.9179,32.3135,447.201,247.318,4.33231,0,2.44642,471.339,248.593,243.774,194.941,1.48603,0.0191205,1.82905,0,3.77646,662.971,0.0947845,46.3657,0.0353535,
1319,716.781,1137.96,1729.53,0.629882,102.629,44.7212,2.96991,0,4.95752,779.906,45.1894,115.076,42.5112,921.38,196.399,5.00998,0,5.518,494.89,197.523,284.713,187.433,1.4678,0.0191205,0.0406203,0,3.06412,662.971,0.0893435,46.3881,0.0353535,
1320,716.781,1233.61,3268.68,0.581044,202.358,38.7453,2.69279,0,4.58422,797.742,39.6434,99.133,48.71,2551.78,236.449,4.0776,0,4.13919,789.951,241.841,261.977,337.063,1.48603,0.0191205,1.82905,0,2.8511,662.971,0.0947845,46.4046,0.0353535,
1321,716.781,1059.48,1450.05,0.67654,48.4899,48.0768,2.68212,0,4.7266,768.397,48.3248,97.882,40.901,295.771,232.815,3.90837,0,4.63176,481.33,233.583,252.795,237.434,1.48603,0.0191205,1.82905,0,3.77646,662.971,0.0918538,44.0111,0.0353535,
1322,716.781,1206.09,2492.26,0.594301,144.072,50.9416,3.15473,0,4.60658,802.511,51.325,101.8,47.6789,1524.49,220.772,5.39306,0,4.28968,544.051,222.136,238.281,228.188,1.46424,0.0191205,1.82905,0,2.96885,662.971,0.0957705,46.4046,0.0353535,
1323,716.781,1433.83,4035.53,0.499905,378.391,45.9568,2.8733,0,4.73017,781.772,46.462,128.659,44.9887,3290.3,232.169,4.73681,0,4.87721,518.967,233.727,333.964,240.608,1.46786,0.0191205,0.421153,0,2.77093,662.971,0.0957705,46.4046,0.0353535,
1324,716.781,994.775,1247.28,0.720546,38.9878,33.4584,2.79207,0,4.36301,758.828,33.6171,98.4316,24.2973,398.931,186.908,4.82852,0,3.73208,478.047,188.715,262.203,143.24,1.4652,0.0191205,1.82905,0,3.45179,662.971,0.0957705,46.3965,0.0353535,
1325,716.781,964.163,1317.5,0.743423,28.9171,35.4081,2.27212,0,4.56022,740.572,35.5106,80.3698,36.5537,153.363,193.641,2.52044,0,4.07168,440.913,193.396,204.903,271.025,1.46786,0.0191205,1.82905,0,3.77646,662.971,0.0957705,46.4039,0.0353535,
1326,716.776,1134.63,1925.03,0.631725,100.912,57.4691,2.8257,0,4.53433,761.844,57.6899,111.947,37.4097,1035.33,244.101,4.51952,0,4.10316,445.998,244.075,296.884,184.916,1.46786,0.0191205,1.82905,0,3.1615,662.971,0.0957705,46.4001,0.0353535,
1327,716.776,1002.48,1322.7,0.715,79.5938,34.2031,2.49389,0,4.71186,733.874,34.326,85.4013,27.8791,743.954,164.865,3.25925,0,4.70045,322.973,165.149,184.2,151.474,1.45156,0.0189087,1.82929,0,3.77566,662.971,0.0944113,46.4039,0.0353535,
