Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.motion_ratio_heave_l,Heave.rear.toe_angle_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
39,0.25405,0.0438633,0,1207.77,4.86029,1.62382,0.0663208,0.044738,10.7642,
40,0.161035,0.0322538,0,1207.75,4.90424,1.62099,0.0656229,0.117911,10.7757,
41,0.198352,0.0227937,0,1207.72,4.99774,1.61822,0.0661104,0.0419317,10.7689,
42,0.172854,0.00246883,0,1207.77,4.92616,1.61903,0.0765475,0.0975228,10.775,
43,0.203982,3.37864e-05,0,1207.75,4.98409,1.63223,0.0689648,0.0377066,10.7683,
44,0.247189,0.0364552,0,1207.67,4.98452,1.62592,0.0721387,0.0377991,10.7626,
45,0.239761,0.0288933,0,1207.75,4.92895,1.61487,0.0851726,0.0244645,10.7697,
46,0.218032,0.0236211,0,1207.79,4.90869,1.63876,0.0719034,0.0289945,10.7697,
47,0.170663,0.0172655,0,1207.74,4.95912,1.63055,0.0674112,0.0919871,10.769,
48,0.214498,0.00142079,0,1207.77,4.98152,1.61664,0.0729339,0.0258274,10.768,
49,0.180817,0.0186846,0,1207.76,4.95061,1.62321,0.0752613,0.0633327,10.7806,
50,0.161518,0.0627819,0,1207.76,4.89514,1.63054,0.0648483,0.102792,10.7758,
51,0.251963,0.0380979,0,1207.69,4.9709,1.62195,0.0742246,0.0407878,10.7631,
52,0.215062,0.0558742,0,1207.76,4.94658,1.62779,0.0704328,0.0160817,10.7636,
53,0.249455,0.00706772,0,1207.75,4.93129,1.62719,0.082276,0.0312049,10.7709,
54,0.250509,0.0467639,0,1207.73,4.92052,1.63457,0.0688609,0.0428769,10.7631,
55,0.175895,0.0460145,0,1207.72,4.93285,1.63108,0.0805261,0.0991477,10.7724,
56,0.23816,0.0471294,0,1207.7,4.98276,1.62423,0.0731335,0.0292033,10.7651,
57,0.201923,0.0328142,0,1207.77,4.9552,1.62799,0.06383,0.0356705,10.7674,
58,0.162993,0.0316448,0,1207.77,4.92833,1.61979,0.0631228,0.107561,10.7721,
59,0.156469,0.0226963,0,1207.73,4.90488,1.62581,0.0607263,0.186527,10.7769,
60,0.185549,0.147951,0,1207.73,4.8924,1.6037,0.0690139,0.0671975,10.7692,
61,0.151939,0.0377422,0,1207.67,5.00063,1.62636,0.0661452,0.142491,10.7717,
62,0.173574,0.0214749,0,1207.76,4.9335,1.63643,0.0739748,0.0907213,10.7757,
63,0.153125,0.132169,0,1207.76,4.82937,1.61815,0.0602088,0.137825,10.7771,
64,0.208074,0.00745242,0,1207.73,5.0346,1.62904,0.0705486,0.0269459,10.7664,
65,0.183224,0.00350413,0,1207.75,4.94328,1.64057,0.102768,0.0661407,10.7764,
66,0.185249,0.0206351,0,1207.74,4.98953,1.63883,0.0627985,0.0591474,10.77,
67,0.213867,0.00693301,0,1207.77,4.99524,1.62502,0.0638246,0.0251955,10.7687,
68,0.183156,0.0238834,0,1207.74,4.98988,1.6258,0.0696472,0.0685746,10.7719,
69,0.157885,0.0222182,0,1207.76,4.88542,1.62657,0.0629338,0.183937,10.7775,
70,0.20883,0.0319847,0,1207.76,5.00517,1.62572,0.0654511,0.021947,10.7668,
71,0.197061,0.0293494,0,1207.75,4.9913,1.63826,0.0684587,0.0472046,10.768,
72,0.172788,0.0376316,0,1207.74,5.00599,1.62145,0.0648285,0.0792718,10.7689,
73,0.191671,0.0811141,0,1207.76,4.93599,1.63816,0.0640371,0.0477314,10.7703,
74,0.195688,0.0529562,0,1207.76,4.98248,1.62358,0.0616338,0.0352041,10.7723,
75,0.223273,0.00154819,0,1207.77,4.98322,1.63417,0.0792701,0.0242351,10.7705,
76,0.220172,0.00518062,0,1207.74,5.02616,1.62394,0.0859205,0.0190461,10.7701,
77,0.162496,0.0145544,0,1207.76,4.97636,1.63441,0.0635796,0.109416,10.7755,
78,0.237769,0.00296172,0,1207.77,4.99747,1.62605,0.0705282,0.0237152,10.769,
79,0.225189,0.0350152,0,1207.78,4.97859,1.62751,0.0636064,0.0154648,10.7724,
80,0.193062,0.105477,0,1207.73,4.94203,1.63361,0.0840994,0.0367865,10.7653,
81,0.245876,0.00832029,0,1207.74,4.83155,1.62956,0.0734799,0.0319876,10.7664,
82,0.21287,0.106702,0,1207.71,4.92783,1.61662,0.0648286,0.0141697,10.7679,
83,4.78827,303.794,0,5126.63,0.344525,106.875,2.98025,4.77082,123.706,
84,1596.58,602.974,0,3631.75,9.65254,559.514,1361.51,1592.12,84.6903,
85,0.202438,0.0327735,0,1207.74,4.77948,1.63206,0.0732533,0.0384861,10.7669,
86,258.074,582.789,0,2755.84,4.44607,297.333,1562.83,197.541,26.1273,
87,0.209853,0.0605985,0,1207.73,4.87877,1.62686,0.0797857,0.0186719,10.7664,
88,597.446,578.644,0,3691.62,12.9778,901.218,11.274,597.866,90.7627,
89,789.396,183.051,0,3201.42,10.9942,125.693,19.7316,789.184,79.6582,
90,0.220862,0.041292,0,1207.79,4.98164,1.63521,0.0769776,0.015077,10.7647,
91,0.177491,0.101,0,1207.74,4.97048,1.6489,0.0676056,0.0687616,10.7696,
92,1174.69,263.312,0,1439.43,1.73149,321.282,468.047,1176.13,29.8434,
93,0.21791,0.00247742,0,1207.79,5.07199,1.62745,0.0642682,0.0219728,10.7672,
94,232.609,148.206,0,2006.58,0.846665,930.193,636.656,230.098,24.1955,
95,0.204351,0.00508221,0,1207.77,4.83768,1.6217,0.0761837,0.0294757,10.7695,
96,1216.92,626.77,0,4049.55,11.8237,91.4765,1079.43,1212.92,97.1679,
97,0.224504,0.0274245,0,1207.76,4.83323,1.62405,0.0666027,0.0166164,10.7648,
98,0.162181,0.0893626,0,1207.75,4.92139,1.615,0.0626172,0.117343,10.7741,
99,1312.92,584.09,0,3383.41,2.68402,316.304,827.91,1310.37,81.4372,
