Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
80,743.658,1171.75,1472.78,0.634657,15.6002,0,76.9323,55.463,3.63953,782.086,77.5873,110.863,49.5775,16.7812,0,277.125,162.091,1.81636,455.87,272.385,269.862,219.182,10.483,0,0.23172,1.45374,0.241518,661.918,0.409132,39.4127,1.80069,
81,743.658,1206.98,1849.27,0.616132,15.2477,0,63.5286,41.807,3.68048,768.11,64.2239,126.406,123.976,16.454,0,227.595,116.025,2.24112,452.459,231.038,297.439,870.058,9.61882,0,0.23172,1.45374,0.415778,661.138,0.409132,38.1479,1.80069,
82,743.658,1419.06,2164.81,0.524051,17.5479,0,73.239,57.0149,3.85531,846.591,74.1952,168.138,178.475,20.692,0,281.507,200.8,2.41885,591.929,283.474,389.844,986.528,10.483,0,0.23172,1.45374,0.420216,661.918,0.409132,34.1402,1.80069,
83,743.658,1318.85,2721.33,0.56387,15.3462,0,66.7319,44.8871,3.45819,776.955,67.2744,116.683,227.511,16.2127,0,229.721,126.06,1.50397,453.838,230.246,276.461,1902.93,10.483,0,0.23172,1.45374,0.425047,617.161,0.409132,39.6448,1.80069,
84,738.197,1517.37,3590.71,0.486498,16.8345,0,62.322,50.5196,3.70826,816.32,63.1493,162.541,341.972,20.8674,0,277.58,197.445,2.21758,571.318,278.535,396.055,2993.3,10.2653,0,0.23172,1.45374,0.425047,661.918,0.409132,39.6448,1.80069,
85,737.957,1259.49,1462.8,0.585919,17.5763,0,74.1066,52.1648,3.9012,841.567,75.4027,140.391,54.3776,20.8069,0,227.424,146.136,2.92212,583.961,227.209,299.777,328.484,10.1449,0,0.23172,1.45374,0.425047,660.618,0.409132,37.9525,1.80069,
86,737.957,1459.09,2242.03,0.505764,18.5285,0,74.3859,55.4302,4.07,904.337,77.5307,125.913,198.899,23.2718,0,229.059,243.751,3.41204,780.936,241.354,282.977,1263.13,9.85021,0,0.23172,1.45374,0.425047,659.8,0.568681,39.2937,1.80069,
87,737.957,1332.32,1918.94,0.553891,16.636,0,89.7102,69.7254,3.76346,855.544,94.1208,149.12,53.6962,20.193,0,293.81,277.383,2.72836,737.3,304.341,338.536,201.616,9.72977,0,0.23172,1.45374,0.425047,659.8,0.568681,38.8885,1.80069,
88,737.957,1317.77,2626.35,0.560004,15.787,0,50.049,35.2793,3.3827,794.276,50.6882,135.089,233.22,18.115,0,218.348,129.902,1.61098,504.211,226.089,328.838,1883.4,9.4977,0,0.23172,1.45374,0.425047,658.595,0.568681,39.2937,1.80069,
89,737.957,2243.38,11216.2,0.328949,13.9584,0,76.5725,41.7082,3.56358,736.864,77.2631,136.402,1157.05,9.55981,0,248.029,108.119,2.18101,261.476,244.061,296.413,10804.9,8.73913,0,0.23172,1.23862,0.425047,658.595,0.568681,39.2937,1.80069,
90,737.849,1320.16,2074.73,0.558907,16.4651,0,64.9622,36.9786,3.325,806.504,65.4986,148.346,178.084,19.3826,0,228.388,101.294,1.69754,510.778,230.385,358.636,1521.45,9.50084,0,0.23172,1.2313,0.425047,658.595,0.568681,39.2937,1.80069,
