Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
192,45.7984,76.6469,211.488,0.597524,6.18403,4.61839,0.687874,8.64207,1.36264,27.6796,15.1491,8.54128,3.78196,22.0925,19.1692,1.94886,82.3822,6.20965,41.7351,6.98338,84.6799,0.774602,1.85527,1.39256,0.00117438,0.0230266,0.144427,10.5302,13.7357,0.00900519,0.832525,
193,45.7984,63.2089,148.55,0.724556,4.18929,3.59442,0.530233,5.74047,1.44067,23.846,14.4129,5.663,3.79187,15.2172,17.7637,1.59592,59.6572,10.345,3.82836,6.66713,59.6277,0.776703,1.85527,1.39256,0.00117438,0.0230266,0.144427,15.3883,9.48658,0.00900519,0.485061,
194,45.7984,69.3764,185.885,0.660144,5.07211,4.56331,0.479321,7.50154,1.91104,23.7198,15.0091,7.41675,3.7035,18.5411,23.5834,1.06466,76.53,10.9298,1.32172,9.38972,76.3848,0.386056,1.85527,1.34539,0.00117438,0.0230266,0.144427,13.4494,13.7015,0.00900519,0.815115,
195,45.7984,79.307,281.409,0.577483,4.62147,2.82076,0.503445,13.8851,0.986154,23.729,15.2295,13.6009,3.93071,15.2398,8.22518,1.24607,135.273,3.2011,1.53332,11.1159,132.907,1.06119,1.85527,1.39256,0.00117438,0.0230266,0.105056,12.2359,4.42951,0.00900519,3.50245,
196,45.7984,95.0808,338.395,0.481679,4.18856,3.63193,0.616795,20.0349,0.88478,27.6309,14.5991,19.6892,3.80473,13.1193,14.6119,1.93646,157.068,2.81318,33.2933,4.74134,154.497,0.607453,1.85527,1.39256,0.00117438,0.0230266,0.144427,10.5565,13.7357,0.00900519,2.07153,
197,45.7984,76.1609,231.355,0.601337,5.34769,3.73968,0.403912,11.7325,0.957918,23.6886,14.8865,11.6344,3.76976,20.513,15.2272,0.753222,98.05,3.16749,4.22631,8.11824,98.2254,0.287403,1.85527,1.39256,0.00117438,0.0230266,0.144427,10.3527,13.7357,0.00900519,1.2144,
198,45.7984,107.97,383.44,0.424177,7.39603,3.70751,0.82056,25.6901,1.40014,23.8489,16.0226,25.3678,3.71653,25.6059,13.8241,2.62138,174.16,7.58497,4.67063,11.5416,172.555,0.428665,1.85527,1.39256,0.00117438,0.0230266,0.144427,9.35363,13.7351,0.00900519,0.81897,
199,45.7984,107.998,407.097,0.424068,7.06148,4.82008,0.601237,24.8364,1.90927,24.6887,15.9009,24.3075,3.87223,23.3299,20.1814,1.6358,189.588,8.90463,13.1367,12.3919,185.68,1.17315,1.85527,1.39256,0.00117438,0.0230266,0.144427,12.2906,13.7033,0.00900519,0.680068,
200,45.7984,94.1432,345.581,0.486476,5.06174,2.90237,0.482937,20.7873,1.18104,24.3854,15.0462,20.4402,3.85597,17.711,10.5016,1.08236,159.361,5.4346,8.05864,8.83277,156.695,0.623629,1.81338,1.39256,0.00117438,0.0230266,0.144427,9.69665,13.7357,0.00900519,3.43703,
201,45.7984,76.8891,224.772,0.595642,5.32699,2.83433,0.505096,11.5217,2.82792,23.7283,14.8343,11.4325,3.87797,20.5673,9.44453,1.54412,90.4881,18.4246,1.64227,7.66309,90.6664,0.695702,1.85527,1.38192,0.00117438,0.0230266,0.144427,9.47365,13.7357,0.00900519,3.56771,
202,45.7984,103.983,395.888,0.440441,4.60291,2.17509,0.41993,26.4802,1.62504,24.1209,14.59,26.0744,3.8946,15.2239,4.87362,0.742577,186.7,9.28881,5.40885,5.85113,184.114,0.953723,1.66279,1.37422,0.000726407,0.0230266,0.144427,9.77312,6.75464,0.00900519,1.09471,
203,45.7984,82.8983,248.327,0.552465,6.65209,3.06301,0.597475,13.4777,1.891,23.4856,16.5101,13.3775,3.84381,23.6107,12.8021,1.67252,108.37,8.35974,2.33405,14.4501,108.857,0.745228,1.66279,1.39256,0.000726407,0.0225703,0.144427,9.3,13.7357,0.00900519,1.01808,
204,45.7984,71.8184,216.343,0.637697,4.39172,3.45788,0.528088,9.39697,1.1114,25.1851,14.6326,9.27254,3.84207,15.4329,16.5284,1.83973,85.3897,7.84117,12.4091,5.32639,85.0456,0.582307,1.66279,1.39256,0.000726407,0.0225703,0.144427,12.7626,13.7357,0.00900519,1.22495,
205,45.7984,92.7624,293.498,0.493717,6.34448,5.24744,0.537311,18.1223,1.73104,24.2196,14.6603,17.9814,3.91843,22.9031,22.9105,1.60892,120.118,8.94616,6.25973,5.02836,120.378,0.85898,1.66279,1.39256,0.000726407,0.0225703,0.144427,11.1852,7.19937,0.00900519,1.36363,
206,45.7984,76.2487,288.421,0.600645,5.07182,2.57675,0.412981,11.6397,0.999103,25.4861,14.7983,11.3118,3.95218,19.2666,8.36609,1.03798,134.881,4.08793,20.1045,8.18227,131.943,1.0896,1.66279,1.39256,0.000726407,0.0225703,0.144427,12.2334,13.7317,0.00900519,3.51572,
207,45.7984,66.9859,205.244,0.683702,4.2532,3.22863,0.410612,7.12808,1.73803,25.0053,14.4116,7.01057,3.79987,16.4849,15.1359,1.37992,81.2172,11.7087,14.5038,4.2978,80.8877,0.412434,1.66279,1.39256,0.000726407,0.0225703,0.144427,11.8909,13.7558,0.00900519,0.513406,
208,45.7984,104.374,366.418,0.43879,6.72227,3.91045,0.630199,23.2895,1.19645,26.8332,14.909,22.9884,3.89483,23.4854,14.2944,2.06848,166.311,5.49046,37.3622,7.18476,165.349,0.781872,1.66279,1.39256,0.000726407,0.0225703,0.144427,1.19682,6.94955,0.00900519,1.97141,
209,45.7984,96.2795,341.912,0.475682,6.80797,4.2191,0.565169,19.9204,1.9727,24.5779,14.763,19.5913,3.8618,24.4066,16.6138,1.77383,154.718,10.8956,8.67866,7.49906,151.978,0.774427,1.66279,1.39256,0.000726407,0.0225703,0.164078,13.3891,13.7815,0.00900519,0.377226,
210,45.7984,73.2769,198.113,0.625004,4.89546,2.27428,0.469667,10.4695,0.817565,24.3771,15.6504,10.3927,3.93029,16.4291,5.0928,1.39642,86.6451,3.17753,9.18549,11.1683,87.0538,0.957878,1.66279,1.39256,0.000726407,0.0225703,0.164078,9.85632,13.8044,0.00900519,3.51572,
211,45.7984,93.9135,284.398,0.487666,6.6097,3.09972,0.520939,19.7104,1.53166,24.1893,14.787,19.6063,3.85847,24.3131,10.6032,1.44041,122.619,7.31847,6.3269,6.56775,122.483,0.778968,1.66279,1.39256,0.000726407,0.0225703,0.164078,9.45376,7.80289,0.00900519,1.9688,
212,45.6803,87.7169,270.736,0.52077,6.26501,4.14428,0.571665,12.3201,1.55121,31.7381,15.0357,12.2214,3.86938,24.0058,18.036,1.96517,99.6121,8.96195,96.7737,8.27371,99.6111,0.854214,1.66279,1.39256,0.000726407,0.0225703,0.164078,9.98518,13.8044,0.00900519,1.33145,
213,45.6803,96.8138,459.208,0.471837,4.00454,2.79445,0.417712,9.44764,1.43096,51.2603,14.3265,9.33993,3.79172,15.3254,13.7094,1.48254,86.3199,9.24821,335.572,3.86349,86.0983,0.145086,1.66279,1.39252,0.000726407,0.0225703,0.162995,11.7079,13.7482,0.00900519,2.85074,
214,45.6803,146.536,904.828,0.311734,6.35149,3.93644,0.492713,11.8854,1.03651,91.6032,15.6397,11.6253,3.96529,22.6112,15.2742,1.49556,132.553,4.02347,827.056,10.6141,130.196,1.02128,1.66279,1.39256,0.000726407,0.0225703,0.162995,12.3111,13.8044,0.00900519,3.51572,
215,45.6803,89.1006,329.674,0.512683,5.74605,3.53845,0.455605,17.8381,1.00894,23.595,15.5535,17.5615,3.80346,21.1656,14.3525,1.37886,151.237,4.2532,67.8074,11.2095,149.275,0.509267,1.66279,1.39256,0.0073523,0.0225703,0.162995,9.69102,13.7552,0.00900519,0.881306,
216,45.6803,107.679,369.545,0.424226,6.22722,4.39057,0.500433,26.4422,1.20694,23.527,15.2125,26.2784,3.89405,23.8711,20.29,1.96859,158.077,7.79229,2.18189,7.84328,157.707,0.739324,1.66279,1.39256,0.0073523,0.0225703,0.162995,8.6442,13.8044,0.00900519,2.59577,
217,45.6803,107.859,435.059,0.423519,4.80697,2.24553,0.301272,29.1153,0.735498,23.7289,14.4799,28.5911,3.85435,17.9389,5.9413,0.699338,205.752,3.10234,1.34253,5.40014,202.267,0.56579,1.66279,1.39256,0.00308868,0.0225703,0.162995,8.96975,13.7338,0.00900519,3.42946,
218,45.6803,140.51,534.685,0.325104,6.00681,3.88945,0.564849,43.567,1.4381,23.605,14.7838,42.7688,3.88616,20.5374,15.3064,1.92755,249.552,7.8976,1.98436,6.59625,246.802,0.81481,1.66279,1.39256,0.0102742,0.0225703,0.162995,4.26593,13.7877,0.00900519,0.801867,
219,45.6803,103.546,416.569,0.441159,4.67938,2.70756,0.34215,26.6889,1.2633,23.8574,14.0652,26.1324,3.80981,17.0948,9.45645,0.933222,196.565,9.20447,0.465837,1.20783,193.065,0.427172,1.66279,1.39256,0.0102742,0.0225703,0.161408,19.1603,13.7877,0.00900519,0.510841,
220,45.6366,79.0653,279.572,0.577201,11.3833,3.99866,0.403942,7.72267,1.19303,27.8284,14.991,7.63919,3.90518,89.4417,21.5618,1.40174,82.3927,6.12798,50.2889,8.20585,84.2122,1.00344,1.66279,1.38651,0.00829634,0.0225703,0.162995,9.48397,13.7877,0.00900519,0.966387,
221,45.6366,71.2588,231.941,0.640434,5.22899,2.20157,0.499123,9.33588,1.27199,24.4301,15.2754,9.18165,3.83416,19.2463,4.93117,1.91079,108.4,7.34782,7.97159,9.19639,107.408,0.679435,1.66279,1.39593,0.00829634,0.0225703,0.162995,1.92502,13.7877,0.00900519,0.75496,
222,45.6366,110.641,444.416,0.412473,4.87929,3.49275,0.479479,29.1912,1.48676,23.6433,14.9966,28.6677,3.80417,16.2495,15.1623,1.81815,206.207,9.48329,1.76626,8.47599,203.488,0.497166,1.66279,1.38845,0.00829634,0.0225703,0.162995,9.38972,13.7877,0.00900519,1.51215,
223,45.6366,84.6997,258.355,0.538804,6.35191,4.98099,0.341138,14.0016,1.37826,25.2389,14.5899,13.9051,3.91195,24.7512,22.1291,1.03558,104.892,7.56324,16.4133,4.82687,104.497,0.985244,1.66279,1.39593,0.00642014,0.0225703,0.162995,10.0258,13.7877,0.00900519,1.22405,
224,45.6366,62.0685,190.823,0.735262,3.11952,1.66486,0.2469,7.59437,0.470402,23.74,13.8603,7.49939,3.87269,10.8585,3.71997,0.639125,89.2234,2.22938,2.26059,1.15309,88.9408,0.760115,1.66279,1.39593,0.00829634,0.0225703,0.162995,3.09452,2.96083,0.00900519,3.56771,
225,45.6366,82.8374,241.862,0.550917,6.99294,3.47323,0.45847,13.6809,0.996773,23.5136,16.1892,13.6234,3.90875,25.9616,13.0455,1.60614,101.006,4.03722,2.04567,13.5964,101.103,0.907591,1.66279,1.39593,0.00829634,0.0225703,0.162995,9.12586,13.7877,0.00900519,2.91258,
226,45.6366,75.1463,204.88,0.607303,5.19376,3.66927,0.428821,10.6972,1.70279,23.8307,15.1133,10.6238,3.88676,19.6591,15.8736,1.46061,88.2548,10.2169,2.083,8.38052,88.1018,1.00153,1.66279,1.39593,0.00829634,0.0225703,0.162995,9.22738,13.7877,0.00900519,0.339713,
227,45.6366,75.7193,301.535,0.602707,4.16314,3.86662,0.29378,11.9505,1.40141,24.4314,14.0518,11.6458,3.91486,16.7259,21.5124,0.971663,136.521,9.50313,6.94965,1.54608,133.565,0.886835,1.66279,1.39593,0.00829634,0.0225703,0.162995,21.9244,13.7877,0.00900519,3.56771,
228,45.6366,103.259,407.329,0.44196,6.39278,2.4445,0.331518,25.4184,1.38769,23.6944,14.6069,25.0785,3.90475,31.9156,7.31139,1.15545,180.729,8.71431,1.77243,5.51402,177.95,0.868407,1.66279,1.39593,0.00829634,0.0225703,0.162995,9.74754,13.7877,0.00900519,3.30739,
229,45.6366,84.639,299.128,0.539191,5.54063,3.72024,0.396655,13.2234,2.12972,28.0475,14.7928,12.9296,3.85852,20.2059,16.9499,1.40016,135.59,14.1259,47.4066,7.11927,133.178,0.623804,1.66279,1.39593,0.00829634,0.0225703,0.162995,15.0833,13.7877,0.00900519,0.542214,
230,45.6366,74.5722,213.44,0.611978,5.69302,2.04859,0.377905,10.8471,1.0976,24.1727,15.6566,10.786,3.89276,21.5786,4.65047,1.52387,92.5833,5.72445,7.98938,11.0219,92.514,0.902598,1.66279,1.39593,0.00829634,0.0225703,0.162995,9.54708,13.7877,0.00900519,2.80717,
231,45.6366,71.1937,198.679,0.64102,5.84035,2.54739,0.439971,7.34386,1.39558,27.5035,14.9918,7.26383,3.86742,22.1902,9.14119,1.77875,83.1802,8.398,35.0741,6.65983,82.9985,0.701504,1.66279,1.39593,0.00829634,0.0225703,0.162995,9.40056,13.7877,0.00900519,1.83976,
232,45.6366,134.549,485.605,0.339181,8.80468,6.94299,0.737339,34.7048,3.21765,26.7239,15.4588,34.0886,3.87046,29.3623,27.1181,2.48823,216.036,17.7655,18.9583,7.63238,213.669,1.02645,1.66279,1.4029,0.00829634,0.0225703,0.162995,11.0682,13.72,0.00900519,0.455992,
233,45.6366,92.4325,365.882,0.493729,5.64303,2.50763,0.458063,19.9732,1.34371,23.5903,15.408,19.6215,3.88712,20.9444,8.16628,1.82359,171.373,8.45721,3.76669,11.1617,168.626,0.816819,1.66279,1.4029,0.00829634,0.0225703,0.162995,3.75668,13.7877,0.00900519,1.31172,
234,45.5756,121.02,442.635,0.376597,7.39189,4.43016,0.40562,29.5107,2.34803,28.3011,15.7394,29.0376,3.85504,26.2457,17.0507,1.39084,199.966,11.5029,57.7504,11.3774,196.893,0.829961,1.66279,1.4029,0.00231135,0.0225703,0.162995,9.3708,13.557,0.00900519,0.241338,
235,45.5651,96.9063,340.029,0.470197,6.62083,3.5781,0.495943,20.3469,2.63182,23.6137,15.6079,20.0662,3.94492,23.8498,15.6324,1.83374,154.111,14.3787,4.94844,11.4271,151.854,0.954886,1.66279,1.4029,0.00829634,0.0210939,0.162995,11.1701,13.7877,0.00900519,1.10563,
236,45.5651,127.823,494.756,0.356472,7.40397,3.98821,0.413742,35.437,2.67706,23.8884,15.4851,34.7379,3.79115,25.4706,14.0011,1.41911,230.759,15.7482,3.47081,10.1132,226.696,0.407029,1.66279,1.4029,0.00829634,0.0210939,0.162995,12.7586,13.7877,0.00900519,0.940555,
237,45.5651,74.3549,222.658,0.612806,4.56005,2.84589,0.3354,11.6144,0.934165,23.6579,14.972,11.5579,3.87708,17.7936,13.7274,1.27207,97.9524,5.03196,1.55477,8.48331,100.492,0.598397,1.66279,1.40015,0.00829634,0.0210939,0.162995,9.37696,13.7877,0.00900519,2.19655,
238,45.5651,61.3757,184.391,0.742397,3.23808,1.6197,0.276321,7.04399,0.309369,23.78,14.316,6.97774,3.81441,12.6952,1.74824,1.27687,82.8782,0.655307,1.19033,4.72953,82.7714,0.11643,1.66279,1.36308,0.000714595,0.0210939,0.162995,9.34102,13.7494,0.00900519,3.56771,
239,45.5651,117.345,442.536,0.388299,5.46193,4.54983,0.351264,31.6805,1.66559,23.5957,14.9713,31.2957,3.77351,20.4125,19.6907,1.27013,196.112,10.8576,1.99617,7.08545,195.056,0.450245,1.66279,1.4014,0.000714595,0.0210939,0.162995,9.32034,13.7877,0.00900519,0.647348,
240,45.5273,115.211,483.212,0.395163,4.32024,2.73086,0.338707,32.9293,0.778564,23.7491,14.1715,32.2233,3.96974,15.0671,10.0411,1.39383,228.924,3.84951,1.1932,2.02029,224.3,1.17434,1.66279,1.4014,0.000714595,0.0210939,0.162995,11.8587,13.7235,0.00900519,3.45935,
241,45.5273,102.732,367.145,0.443163,6.6091,3.13368,0.441044,20.4922,1.95867,31.2532,14.7562,20.1584,3.92991,23.6657,12.4297,1.63396,162.782,13.7975,89.5392,8.1088,159.167,1.07056,1.66279,1.4014,0.000714595,0.0210939,0.162995,1.45108,3.43729,0.00900519,1.16868,
242,45.5273,98.9281,376.225,0.460206,5.77747,3.2513,0.479783,23.4683,0.558312,23.5435,14.9134,23.116,3.82013,21.876,12.6598,2.11669,176.789,3.23743,7.98994,7.80841,174.164,0.459093,1.66279,1.4014,0.000714595,0.0210939,0.162995,2.53905,13.7875,0.00900519,0.802732,
243,45.5094,95.2062,326.815,0.478009,5.70215,3.90913,0.429139,20.452,1.4452,23.7905,15.2417,20.3212,3.91505,21.5883,17.8013,1.85794,140.732,8.85379,3.08637,7.9551,140.056,0.779221,1.66279,1.4014,0.000714595,0.0143672,0.162995,9.62617,13.7973,0.00824869,2.80523,
244,45.5094,102.004,398.11,0.446154,4.88878,2.75304,0.294768,26.006,0.696835,23.6525,14.2431,25.6369,3.83194,19.2165,9.79239,1.23487,184.697,3.11739,1.90616,4.25543,182.149,0.23773,1.66279,1.4014,0.000714595,0.0143672,0.162995,5.02567,4.96266,0.00824869,3.58519,
245,45.4582,62.3666,177.453,0.728887,3.02915,1.71594,0.273305,7.12992,0.445196,24.3168,14.5485,7.06527,3.8426,8.09413,2.54773,1.41494,83.4377,1.95717,6.75472,5.51597,85.2449,0.50216,1.66279,1.4014,0.000523838,0.0143672,0.163043,9.24546,13.7919,0.00824869,3.00269,
246,45.4582,68.759,195.088,0.661124,5.40623,3.60394,0.313241,7.29923,1.26728,24.1637,15.6779,7.22781,3.79966,20.0536,14.6196,1.13158,82.1872,6.56789,6.62876,11.3572,81.8721,0.354883,1.66279,1.39897,0.000523838,0.0143672,0.164229,9.79918,13.7936,0.00824869,1.27311,
247,45.4582,85.9505,280.574,0.528889,6.22605,2.45619,0.383005,16.6115,0.828881,24.0481,14.9568,16.5417,3.89829,24.6021,7.35307,1.6951,121.602,3.8969,4.57554,8.01308,121.782,0.936579,1.66279,1.39897,0.000523838,0.0143672,0.164229,8.90034,3.8211,0.00824869,1.49635,
248,45.4582,94.8413,349.376,0.479309,5.48955,4.94053,0.295024,20.0995,1.41029,23.6297,15.2984,19.7703,3.90805,20.4616,23.5306,1.15397,157.652,7.30733,1.63865,9.59837,155.007,0.903377,1.66279,1.39897,0.000523838,0.0143672,0.164229,11.9123,13.7973,0.00824869,0.629203,
249,45.4582,81.8922,310.694,0.555098,4.91608,3.07087,0.31882,11.5898,1.72477,30.6518,14.4185,11.3435,3.85811,19.5067,13.2843,1.39676,134.183,11.2132,81.8032,4.01083,132.22,0.622793,1.66279,1.39897,0.000523838,0.0143672,0.164229,13.6495,13.7973,0.00824869,1.79529,
250,45.4582,86.7213,253.218,0.524188,7.01181,5.05911,0.265826,14.576,1.68028,24.0616,15.7935,14.4912,3.782,26.4101,22.5088,0.879522,98.1583,9.0156,9.07978,11.3321,97.7666,0.47715,1.66279,1.39897,0.000523838,0.0143672,0.164229,12.1909,13.7256,0.00824869,0.929168,
251,45.4582,130.52,507.136,0.348286,6.32623,3.73767,0.451201,38.0588,2.08175,24.066,14.6011,37.3241,3.87279,22.5044,14.5914,1.74596,237.862,9.63789,4.46233,4.16567,234.24,1.07234,1.66279,1.39897,0.000523838,0.0143672,0.164229,14.7828,13.7973,0.00824869,0.870272,
252,45.451,83.8687,303.66,0.541931,6.9827,4.91941,0.401996,12.1294,2.34764,26.248,15.0897,11.8572,3.89267,26.2806,23.2249,1.76099,136.69,15.9415,19.3504,8.07615,134.098,0.933629,1.66279,1.39897,0.000523838,0.0143672,0.164229,13.3678,13.7396,0.00824869,1.93439,
253,45.451,71.3718,200.503,0.63682,5.16794,2.32829,0.307928,10.1275,0.60135,24.1943,14.7585,10.0752,3.81083,21.2995,8.75323,1.4902,84.3499,3.38361,6.20714,6.47697,84.2881,0.286142,1.66279,1.39897,0.000523838,0.0143672,0.164229,11.3744,13.8061,0.00824869,1.50682,
254,45.451,128.2,490.211,0.354533,5.63554,3.10126,0.483898,37.294,2.25341,24.024,14.8225,36.6852,3.89983,20.7474,11.0812,2.07938,229.138,13.2723,5.7004,5.69921,226.561,0.787177,1.66279,1.39897,0.000523838,0.0143672,0.164229,3.50087,13.8061,0.00824869,1.29083,
255,45.451,128.48,486.913,0.35376,6.00072,5.05774,0.625789,36.7177,1.10186,23.6746,15.2686,36.0913,3.94153,21.4989,22.6548,2.78068,221.035,9.70989,2.32422,8.81007,216.854,0.95657,1.66279,1.39897,0.000523838,0.0143672,0.164229,9.19716,13.8061,0.00824869,1.30799,
256,45.451,91.6547,351.206,0.495894,4.64658,2.79309,0.341324,20.4323,1.50382,23.8254,14.2218,20.1107,3.77969,18.1963,12.3621,1.63992,159.328,11.2304,1.15755,3.98921,157.38,0.307974,1.66279,1.39897,0.000523838,0.0143672,0.164229,10.5978,4.21129,0.00824869,1.03606,
257,45.451,87.0813,289.443,0.521937,4.03119,2.29847,0.264946,18.6223,0.892906,23.6021,15.0506,18.5495,3.7694,14.8375,7.80748,1.09094,130.326,4.7058,1.92702,8.06237,130.108,0.281471,1.66279,1.39897,0.000523838,0.0143672,0.164229,9.11038,13.7421,0.00824869,1.1591,
258,45.451,71.455,204.221,0.636079,4.5164,3.62515,0.269805,9.82092,1.03251,23.8771,14.633,9.76811,3.91201,18.4932,15.5665,1.16776,84.4757,5.71684,2.01714,5.72615,84.6328,0.98718,1.66279,1.39897,0.000523838,0.0143672,0.164229,10.0443,13.8061,0.00824869,2.51334,
259,45.451,78.5809,398.519,0.578397,3.1027,2.38007,0.181001,0.475896,1.09808,52.9908,14.0553,0.440376,3.85665,11.9791,11.0669,0.857424,9.00701,10.3872,356.589,1.63797,9.95123,0.577157,1.66279,1.39897,0.000523838,0.0143672,0.164229,23.761,13.8061,0.00824869,3.60013,
260,45.451,77.382,231.425,0.587359,6.01253,2.73816,0.359291,11.9619,1.88365,24.2204,14.5004,11.9102,3.79545,23.8873,9.53131,1.59172,95.8755,11.5645,29.0752,5.5545,96.4862,0.329835,1.66279,1.39897,0.000523838,0.0143672,0.164229,9.43126,5.19821,0.00824869,1.06363,
261,45.451,90.3855,303.47,0.502857,6.5167,4.25894,0.341679,17.1955,1.55533,23.4115,16.2346,17.0668,3.80443,23.8643,17.9313,1.34973,133.543,8.36044,2.77513,13.3752,132.767,0.459742,1.66279,1.39897,0.000523838,0.0129436,0.164229,0.460843,13.8061,0.00824869,0.581005,
262,45.451,108.386,419.968,0.419343,6.12279,3.82262,0.311529,27.4559,1.01509,23.8441,15.0281,26.9674,3.81859,22.5344,13.7625,1.43937,198.234,4.93017,2.58887,8.12493,193.654,0.250867,1.66279,1.39897,0.000523838,0.0129436,0.164229,13.4804,13.8061,0.00824869,2.14527,
263,45.4421,91.4735,348.784,0.496779,5.01094,2.96451,0.298159,20.0001,1.07912,23.9777,14.4939,19.7443,3.90471,20.6133,12.4454,1.4772,158.209,6.65298,3.30082,5.53235,155.968,0.838091,1.66279,1.39897,0.000523838,0.0129436,0.164229,10.0035,13.8061,0.00824869,3.60013,
264,45.2757,69.924,217.184,0.647498,4.23315,2.64754,0.193525,10.1645,0.76619,23.7571,14.2137,10.1081,3.84025,18.3813,13.21,0.792072,91.3415,4.7211,1.20472,3.59987,90.178,0.51734,1.66279,1.39897,0.000523838,0.0129436,0.164229,9.49825,12.3627,0.00824869,2.97978,
265,45.2757,87.5253,266.415,0.517287,7.03811,5.02372,0.565112,14.2033,1.68885,24.7877,16.1722,14.1248,3.92153,24.8818,20.7966,2.40495,113.861,9.66665,16.765,13.3641,113.514,1.07608,1.66279,1.39792,0.000523838,0.0129436,0.164229,4.16415,5.01898,0.00824869,0.405853,
266,45.2757,89.6571,304.643,0.504987,5.56589,3.13133,0.294456,18.1997,1.74382,23.5419,15.1769,18.0982,3.90495,21.5433,14.974,1.32468,129.574,11.0835,2.4356,9.2073,129.343,0.78932,1.66279,1.39897,0.000523838,0.0129436,0.164229,6.62549,13.8061,0.00824869,2.52809,
267,45.2757,95.0157,358.07,0.476507,6.02001,5.38472,0.419658,18.9471,2.13982,23.6464,16.0465,18.585,3.82646,21.373,23.771,1.8021,160.053,11.2747,2.18766,12.8346,156.761,0.70498,1.66279,1.39897,0.000523838,0.0129436,0.164229,9.59904,13.8061,0.00824869,0.960346,
268,45.2757,74.3144,213.37,0.609245,5.85568,3.8546,0.334274,9.32819,1.73066,24.5118,15.5731,9.27606,3.85011,22.7989,17.7233,1.52873,85.0207,10.8034,10.8808,11.0769,85.259,0.811298,1.66279,1.39897,0.000523838,0.0129436,0.164229,9.45203,13.8061,0.00824869,0.310228,
269,45.2757,115.31,411.893,0.392645,7.56828,3.2945,0.510711,29.6689,1.86232,24.0148,15.1626,29.3756,3.85181,27.4931,12.3895,2.32395,186.653,11.1526,4.63635,6.80561,185.692,0.591865,1.66279,1.39897,0.000523838,0.0129436,0.164229,7.94895,13.8061,0.00824869,1.51515,
270,45.2757,92.5141,311.014,0.489392,5.7276,2.78983,0.36176,19.6508,1.42529,23.4929,15.5863,19.5582,3.92147,22.1621,10.4847,1.73812,137.273,9.77721,2.34428,10.5244,136.117,1.00849,1.66279,1.39897,0.000523838,0.0129436,0.164229,7.05978,13.8061,0.00824869,2.52553,
271,45.2757,106.155,354.489,0.426505,8.68963,4.87335,0.511838,22.4072,2.8433,23.909,16.7119,22.2944,3.91449,30.1799,19.147,2.04151,152.058,15.3567,5.50637,13.5832,151.616,1.12734,1.66279,1.39897,0.000523838,0.0116355,0.164229,6.21855,13.8061,0.00316095,1.0582,
272,45.2757,64.9513,202.327,0.697071,3.83543,2.02933,0.253895,7.13311,1.99438,24.1864,14.6247,7.07443,3.8196,16.2861,7.14524,1.37136,84.742,15.0623,5.13661,6.55661,85.7316,0.582114,1.66279,1.39897,0.000523838,0.0116355,0.164229,10.3511,13.8061,0.00316095,0.575313,
273,45.2757,120.592,475.282,0.375444,4.37085,3.28127,0.496478,32.726,0.817624,28.3376,14.5759,32.1137,3.87306,14.4473,11.5594,2.27967,225.854,4.5652,51.6523,3.90297,223.225,0.970373,1.66279,1.39897,0.000523838,0.0116355,0.164229,11.9472,13.8061,0.00316095,1.09666,
274,45.2757,61.4998,192.013,0.736192,3.11491,1.80279,0.141068,7.0403,0.425253,23.7709,14.3578,6.99774,3.84907,12.8117,4.45362,0.665532,88.1058,2.2167,4.69843,5.2124,87.1166,0.574529,1.66279,1.39897,0.000523838,0.0116355,0.162808,9.59392,13.8061,0.00316095,3.60013,
275,45.2757,111.172,429.251,0.407259,5.90138,3.613,0.303729,28.2674,2.29793,23.8887,15.2673,27.7632,3.86912,21.061,13.671,1.29807,200.383,13.4772,2.91539,9.06818,197.1,0.573611,1.66279,1.39897,0.000523838,0.0116355,0.162808,10.6821,13.83,0.00316095,1.20775,
276,45.2757,92.3535,294.619,0.490243,6.47416,3.48191,0.426988,18.5734,1.2026,23.843,16.0204,18.5115,3.81959,24.3908,12.9994,1.93148,125.674,5.90341,4.51365,11.6231,126.241,0.910283,1.66279,1.39897,0.000523838,0.0116355,0.162808,9.15963,13.83,0.00316095,0.913163,
