Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
446,45.0486,92.5172,283.934,0.486922,8.06466,5.33461,0.520331,14.9115,3.51011,24.469,16.8459,14.8622,3.99887,28.5441,23.6331,2.41611,117.751,17.609,10.4548,14.4665,117.158,1.26984,1.84376,1.42007,0.000472176,0.00581834,0.166566,9.3917,13.8973,0.00324455,3.73795,
447,45.0486,96.8988,294.399,0.464904,7.51817,4.18676,0.485584,15.8188,2.20081,31.29,15.776,15.7622,3.86046,27.9797,18.9171,2.40569,112.832,14.247,80.9571,9.65481,112.499,0.904386,1.84376,1.42007,0.000472176,0.00581834,0.166566,9.50359,13.8904,0.00275407,0.7744,
448,45.0486,90.5152,390.671,0.497691,3.46254,1.68501,0.137203,21.8223,0.405028,23.7751,14.0526,21.3822,3.79328,14.2779,3.32325,1.40653,187.482,3.06431,7.56046,2.07891,183.848,0.267325,1.84376,1.42007,0.000472176,0.00581834,0.16657,13.6998,13.8973,0.00232442,3.14081,
449,45.0486,96.6967,395.207,0.465876,4.53667,3.24525,0.178601,21.0366,1.79259,27.1254,14.2528,20.7024,3.82645,18.8828,13.0076,1.32468,179.364,12.5487,42.5419,2.67945,176.504,0.6529,1.84376,1.42007,0.000472176,0.00581834,0.16657,0.133974,13.8973,0.00232442,0.693387,
450,45.0486,74.9296,243.181,0.601213,4.56989,1.94248,0.218283,12.7253,0.304913,24.0979,14.6306,12.6905,3.74988,19.0136,3.95295,1.54021,110.492,1.95972,6.29883,5.0197,110.054,0.338747,1.84376,1.42007,0.000472176,0.00498607,0.166248,8.56177,13.8973,0.00232442,0.986054,
451,45.0486,72.3535,198.446,0.622619,5.07827,3.35236,0.217386,7.0092,1.09617,29.4326,15.2929,7.00358,3.87102,19.6838,13.5366,1.33113,57.0982,7.15336,68.0669,10.6013,57.3797,0.625152,1.84071,1.42007,0.000472176,0.00498607,0.166248,12.2941,13.8973,0.00232442,3.73795,
452,45.0474,100.183,364.933,0.449653,6.63614,2.80489,0.32759,22.6834,1.1631,25.3622,14.903,22.4448,3.85736,25.8619,7.94647,1.93035,167.82,7.57514,13.9421,6.43198,163.902,0.876217,1.84376,1.42007,0.000472176,0.00498607,0.166248,9.05118,13.8973,0.00232442,0.699941,
453,45.0474,69.6754,181.4,0.646532,6.41324,4.23754,0.314131,6.62563,1.14597,24.6211,15.8566,6.60681,3.85433,24.7585,17.882,1.75782,75.3962,6.26514,10.5806,11.5312,74.1951,0.813358,1.84376,1.42007,0.000472176,0.00498607,0.166101,10.2343,13.8927,0.00232442,1.15891,
454,45.0474,96.481,348.236,0.466904,6.48714,5.00327,0.258566,18.8319,1.66826,26.5626,15.2033,18.5757,3.89021,25.1821,23.5298,1.53619,157.571,10.3667,25.5335,8.58839,155.848,1.10673,1.8421,1.42007,0.000472176,0.00498607,0.166248,9.12969,13.8973,0.00232442,1.35043,
455,45.0409,93.8966,320.719,0.479686,6.16709,2.74468,0.445184,20.1123,1.05991,24.2918,15.1389,19.9973,3.93944,23.4736,9.59061,2.45353,145.64,8.60078,8.38363,9.52531,144.797,1.05412,1.84376,1.42007,0.000472176,0.00498607,0.166248,7.97717,9.71224,0.00232442,3.73795,
456,45.0409,49.6372,39.1774,0.907402,3.5879,1.80579,0.142551,0.13353,1.12755,23.6956,15.1973,0.126755,3.82022,15.0243,3.20623,1.17884,10.6886,9.16937,1.4508,11.0088,18.9443,0.633835,1.84376,1.42007,0.000472176,0.00461862,0.166248,12.2935,13.8973,0.00232442,2.76063,
457,45.0409,72.4566,165.196,0.621626,6.47165,3.50663,0.413224,8.32887,1.13104,25.3718,15.1358,8.31575,3.78177,24.1465,14.32,2.18714,68.5547,5.81363,10.9729,8.42838,69.0655,0.665585,1.84376,1.42007,0.000472176,0.00461862,0.1661,13.8365,2.00818,0.00153692,1.03886,
458,45.0409,92.9534,371.363,0.484554,5.4284,3.04692,0.295995,20.323,0.539214,24.7872,14.6347,20.0058,3.89208,21.8517,10.2506,1.89698,172.935,3.05506,11.6125,4.58634,170.054,0.917976,1.84376,1.42007,0.000472176,0.00461862,0.1661,1.83351,13.8973,0.00153692,3.749,
459,45.0409,95.9477,356.291,0.469432,7.32603,3.55987,0.372705,19.7728,1.43809,24.4059,15.8313,19.4497,3.79134,26.7623,16.5755,1.85201,160.594,7.18997,7.11887,12.0828,157.343,0.778623,1.84569,1.42007,0.000472176,0.00461862,0.1661,9.22292,13.8973,0.00153692,0.646814,
460,45.0409,86.3114,336.859,0.521842,4.1646,3.43396,0.227222,17.796,0.766179,23.958,14.5747,17.5054,3.88519,17.053,15.5791,1.60216,155.564,4.65947,2.53079,5.38259,152.767,0.86104,1.84569,1.42007,0.000472176,0.00461862,0.166248,11.1052,13.8973,0.00153692,3.749,
461,45.0409,98.6806,384.394,0.456431,5.50772,3.79736,0.285175,22.5537,1.38913,24.4989,14.477,22.1848,3.98687,22.2452,18.548,1.78277,177.987,9.2744,10.5325,3.8633,175.043,1.34171,1.84569,1.42007,0.000464735,0.00461862,0.166248,0.822194,13.8973,0.00153692,3.749,
462,45.0409,79.391,300.492,0.56733,4.61153,2.64096,0.196576,14.5277,0.708437,23.6522,14.9622,14.3093,3.78211,19.3184,10.7052,1.38744,139.477,4.12313,1.64386,8.75255,136.917,0.424818,1.84569,1.42007,0.000521898,0.00461862,0.166248,12.3875,13.897,0.00153692,1.72948,
463,45.0409,127.72,463.618,0.352654,6.3148,4.95159,0.303252,35.706,2.25109,23.5956,15.4795,35.3159,3.80211,24.1834,22.4783,1.77803,202.364,13.1706,2.41576,9.35033,201.003,0.701795,1.84569,1.42007,0.000521898,0.00461862,0.166248,9.22721,13.8973,0.00153692,1.29888,
464,45.0409,79.3527,293.562,0.567604,4.38379,3.44568,0.105794,14.0006,1.13515,23.6854,14.9966,13.7856,3.81409,18.1208,15.5461,0.847847,135.817,8.02847,1.27503,9.04703,135.099,0.61726,1.84569,1.42103,0.000556145,0.00402493,0.166248,12.5267,13.8973,0.00153692,2.43935,
465,45.0409,71.7819,279.604,0.627468,4.31602,1.79607,0.213588,10.9903,0.712656,24.8178,14.4444,10.7425,3.7486,17.2966,2.99461,1.4835,133.102,4.70653,8.51876,4.12866,130.032,0.374435,1.84569,1.42103,0.000556145,0.00402493,0.166248,23.293,13.8944,0.00153692,0.830647,
466,45.0409,97.4598,397.238,0.462148,5.19302,3.72478,0.295236,22.5701,0.887116,23.649,15.1868,22.1253,3.82855,20.217,16.3724,1.89529,189.03,6.7446,1.81953,9.89758,185.675,0.589966,1.84569,1.42103,0.000556145,0.00402493,0.166248,13.4072,13.8964,0.00153692,1.28708,
467,45.0409,124.586,477.977,0.361524,5.51394,3.70326,0.329394,35.56,1.66348,23.5548,15.3055,35.036,3.91959,21.2594,16.0425,1.74341,219.405,8.69584,1.97747,9.6251,216.138,1.21695,1.84569,1.42103,0.000556145,0.00402493,0.166248,9.329,13.8973,0.00153692,1.54219,
468,45.0224,60.8719,148.176,0.739625,3.24233,3.0315,0.0546393,0.510447,0.442458,34.9566,14.2398,0.50342,3.89074,13.4925,13.903,0.583345,23.2649,2.65096,114.03,2.99023,34.6868,0.995883,1.84569,1.42103,0.000480405,0.00402493,0.166248,23.8327,13.8996,0.00153692,3.74405,
469,45.0224,92.3163,406.475,0.487697,3.29908,1.97857,0.126463,22.2636,1.16062,23.8949,14.0059,21.7361,3.85115,12.3216,5.10695,1.11101,190.429,10.4963,11.0325,0.802055,188.056,0.642251,1.84569,1.42103,0.000504984,0.00402493,0.166821,23.8348,13.9008,0.00153692,3.75284,
470,45.0224,96.9365,359.438,0.464452,5.03155,3.45974,0.288427,22.0888,1.54701,23.789,15.0561,21.8514,3.82444,19.8519,15.0629,1.80438,163.558,11.2903,2.36622,8.77248,161.366,0.628063,1.84569,1.42103,0.000504598,0.00402493,0.167081,10.4752,13.9008,0.00153692,1.22121,
471,45.0224,63.3242,181.495,0.710982,3.89628,2.71082,0.232163,0.398979,0.690976,36.1793,14.9597,0.394338,3.86165,15.1076,11.9839,1.68828,17.6683,4.71281,148.872,8.59814,21.6973,0.734087,1.84569,1.42103,0.000504984,0.00402493,0.166616,12.2669,13.9008,0.00153692,3.75284,
472,45.0224,73.6316,212.079,0.611455,6.93366,4.88252,0.328592,7.35591,2.49226,24.9817,15.4678,7.28129,3.90788,27.5929,24.8084,1.79933,79.079,13.6422,15.5632,9.79353,78.784,1.04893,1.84569,1.42103,0.000475562,0.00402493,0.167039,12.2477,13.9008,0.00153692,0.488585,
473,45.0224,58.9715,119.972,0.76346,4.60914,2.88925,0.176697,3.89702,0.465413,23.6232,15.5841,3.89637,3.83036,19.343,11.7574,1.46486,44.3783,3.20699,2.08189,11.798,44.3774,0.507805,1.84569,1.42103,0.000504984,0.00402493,0.167039,12.2721,13.9008,0.00153692,3.20638,
474,45.0224,68.9356,207.314,0.653108,4.51529,2.00653,0.181762,9.09396,1.48544,23.7665,14.9388,9.07449,3.87272,19.1371,4.25376,1.29463,87.503,9.8239,1.85595,9.20106,87.198,0.823964,1.84569,1.42103,0.000504541,0.00402493,0.167039,9.57099,10.6867,0.00153692,3.75631,
475,45.0224,75.4791,290.31,0.596488,3.50636,1.81429,0.188863,13.4617,0.546384,24.0868,14.784,13.2096,3.88105,13.8455,2.85984,1.3494,137.765,3.23218,3.88731,7.50537,134.516,0.979737,1.84569,1.42103,0.000478205,0.00402493,0.167039,12.0029,13.8993,0.00153692,2.51825,
476,45.0224,79.5155,310.968,0.566209,3.48937,2.08714,0.205026,15.8917,0.207177,23.6899,14.3718,15.6782,3.89522,13.9744,6.19809,1.70473,144.633,0.441312,1.43476,4.3869,142.447,1.01407,1.84569,1.42034,0.000478205,0.00402493,0.167081,10.7219,13.9008,0.00153692,3.75615,
477,45.0224,71.0582,209.493,0.633598,4.79216,3.7749,0.227452,7.50654,1.23436,27.5624,14.5738,7.47616,3.91046,20.6463,20.0578,1.53895,83.3411,9.50172,33.0321,5.28079,83.0994,1.25023,1.84569,1.42103,0.000478205,0.00402493,0.167081,9.55826,13.9008,0.00153692,2.04492,
478,45.0224,107.539,356.752,0.418662,6.81303,4.92982,0.280384,25.3302,1.78944,23.4076,15.9126,25.2536,3.82206,26.8273,21.5826,1.57451,150.665,10.1768,4.78886,11.0185,152.014,0.544611,1.84569,1.42103,0.000449865,0.00402493,0.167081,8.90715,13.9008,0.00153692,1.37414,
479,45.0224,65.3665,203.502,0.688768,3.75118,3.97296,0.125246,7.05939,1.13211,23.6861,14.7379,7.02258,3.87909,16.6705,21.7971,1.03498,81.9412,8.26875,1.45513,7.46066,82.3154,0.87335,1.84569,1.42103,0.00046106,0.00402493,0.167081,9.2029,13.9008,0.00153692,3.75631,
480,45.0224,115.256,431.182,0.390628,5.66825,2.05795,0.192397,31.3214,2.49847,23.5055,15.1383,31.056,3.81802,23.199,4.25569,1.22628,194.161,17.1316,2.12621,8.11675,193.693,0.928329,1.84569,1.42103,0.00046106,0.00402493,0.167291,9.36588,13.9008,0.00153692,1.54749,
481,45.0224,104.904,365.783,0.429175,7.93199,3.7158,0.334012,24.5262,1.4768,23.834,14.8556,24.398,3.83208,34.9256,14.1279,2.02003,158.537,8.12635,2.95161,6.99726,158.026,0.646973,1.84569,1.42103,0.00046106,0.00402493,0.167291,9.00138,7.9263,0.00153692,0.727033,
482,45.0224,94.2564,400.304,0.477659,4.43868,2.29039,0.176221,21.8816,1.53477,24.4174,14.2776,21.4728,3.76694,18.7255,6.21509,1.25896,187.258,10.2511,8.47769,2.92498,183.607,0.29112,1.83778,1.42103,0.00046106,0.00402493,0.167291,13.9618,13.9008,0.00153692,0.912111,
483,45.0224,78.9422,307.707,0.570321,3.68159,1.85698,0.15465,15.5349,0.371558,23.6996,14.5049,15.3306,3.8075,15.8158,3.60088,1.3733,144.019,2.48552,1.48209,6.21048,141.706,0.606992,1.8421,1.42183,0.000468568,0.00402493,0.167291,11.2617,13.9008,0.00153692,1.33213,
484,45.0224,52.096,50.5078,0.864219,4.26028,2.36024,0.096312,0.243325,0.820537,25.2344,14.9769,0.237937,3.86611,18.7825,6.52378,0.683689,6.33386,5.11712,12.8175,8.4967,15.1452,0.849938,1.8421,1.42098,0.000469006,0.00402201,0.167291,12.4001,13.9008,0.00153692,3.75612,
