Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
36,7.73898,0.954983,0,5.65075,655.914,46.7368,2.34691,0.439257,1.57906,
37,7.73388,0.95826,0,5.65256,655.909,46.7943,2.35042,0.395301,1.56751,
38,7.72181,0.95758,0,5.65255,655.91,46.7647,2.35195,0.415629,1.58676,
39,7.71822,0.958339,0,5.65186,655.91,46.7506,2.35513,0.436971,1.5798,
40,7.74279,0.961013,0,5.6522,655.908,46.784,2.3411,0.406826,1.56522,
41,7.71987,0.969046,0,5.65316,655.933,46.748,2.33782,0.439366,1.56158,
42,7.73452,0.95622,0,5.65418,655.909,46.7495,2.34447,0.439459,1.57521,
43,7.74218,0.955267,0,5.65174,655.909,46.721,2.34536,0.464797,1.57311,
44,7.7276,0.957215,0,5.65166,655.933,46.7798,2.33831,0.408972,1.5666,
45,7.7203,0.962254,0,5.65137,655.934,46.7658,2.34776,0.417823,1.56456,
46,7.73806,0.956647,0,5.65198,655.899,46.7764,2.35089,0.417987,1.57303,
47,7.73428,0.966798,0,5.65227,655.93,46.7368,2.33251,0.446241,1.56546,
48,7.72599,0.960526,0,5.6509,655.923,46.7213,2.33834,0.477118,1.56675,
49,7.73799,0.956237,0,5.65237,655.907,46.7543,2.34974,0.429472,1.57714,
50,7.73092,0.968128,0,5.65162,655.918,46.7484,2.34445,0.436835,1.56608,
51,7.72053,0.960047,0,5.65189,655.94,46.7526,2.33946,0.437422,1.56231,
52,7.7288,0.953511,0,5.65147,655.917,46.6925,2.33918,0.511081,1.57115,
53,7.73711,0.956274,0,5.65571,655.919,46.7809,2.34875,0.39746,1.5699,
54,7.72385,0.955694,0,5.65409,655.935,46.7449,2.34397,0.441831,1.56552,
55,7.7295,0.957275,0,5.65274,655.927,46.7457,2.3449,0.44178,1.56661,
56,7.72189,0.954676,0,5.65223,655.92,46.7141,2.33762,0.500236,1.56435,
57,7.7235,0.957462,0,5.65157,655.929,46.7733,2.33133,0.429447,1.56943,
58,7.72918,0.959994,0,5.65099,655.917,46.7146,2.33745,0.488862,1.56767,
59,7.71634,0.970313,0,5.65322,655.939,46.7614,2.33163,0.43024,1.56353,
60,7.72211,0.957994,0,5.65171,655.94,46.7401,2.34337,0.433531,1.57718,
61,7.72604,0.967908,0,5.65483,655.925,46.7463,2.33554,0.440453,1.56999,
62,7.72284,0.974545,0,5.65297,655.92,46.7308,2.34374,0.453973,1.56724,
63,7.73938,0.954353,0,5.6529,655.904,46.7707,2.34534,0.428779,1.57083,
64,7.74181,0.957992,0,5.65387,655.922,46.7241,2.33707,0.465538,1.56437,
65,7.72433,0.957428,0,5.65321,655.923,46.7116,2.352,0.480599,1.56446,
66,7.73324,0.971117,0,5.65223,655.906,46.7673,2.33802,0.43674,1.56263,
67,7.73945,0.958478,0,5.65215,655.92,46.709,2.33945,0.486185,1.56324,
68,7.71885,0.956701,0,5.65136,655.931,46.7452,2.34159,0.45828,1.56514,
69,7.72584,0.958706,0,5.65127,655.944,46.7391,2.34059,0.438537,1.57049,
70,7.74969,0.96993,0,5.65144,655.908,46.7336,2.33751,0.452669,1.56553,
71,7.71662,0.953728,0,5.65135,655.942,46.7692,2.33638,0.428856,1.57025,
72,7.74757,0.964451,0,5.65285,655.901,46.7252,2.34021,0.467558,1.56996,
73,7.72765,0.969041,0,5.65137,655.912,46.7245,2.33643,0.485612,1.56315,
74,7.71895,0.958922,0,5.65165,655.925,46.6985,2.33467,0.519347,1.56307,
75,7.72607,0.961156,0,5.6511,655.92,46.7522,2.34653,0.446274,1.5663,
76,7.73484,0.965975,0,5.65153,655.924,46.7598,2.33302,0.440502,1.56089,
77,7.73839,0.954648,0,5.65189,655.917,46.7753,2.34573,0.408832,1.57937,
78,7.72859,0.95676,0,5.65536,655.909,46.7312,2.35119,0.471449,1.56763,
79,7.72599,0.957778,0,5.65265,655.924,46.739,2.35106,0.446246,1.57386,
80,7.72365,0.977145,0,5.65103,655.929,46.7398,2.33707,0.452202,1.56173,
81,7.74121,0.965161,0,5.65133,655.915,46.7269,2.34174,0.467882,1.56171,
82,7.73529,0.963794,0,5.65178,655.902,46.7432,2.34251,0.461369,1.57158,
83,7.7256,0.95692,0,5.64996,655.942,46.7678,2.34233,0.417661,1.56967,
84,7.72298,0.957771,0,5.65906,655.92,46.7141,2.34897,0.481415,1.56809,
85,7.72676,0.955783,0,5.65112,655.932,46.769,2.34102,0.4201,1.57588,
86,7.74256,0.957003,0,5.65213,655.913,46.787,2.34849,0.396055,1.57566,
87,7.73402,0.958075,0,5.65175,655.911,46.7322,2.353,0.444495,1.58769,
88,7.72267,0.959821,0,5.65225,655.927,46.7224,2.34765,0.477136,1.56305,
89,7.7228,0.974587,0,5.65567,655.932,46.7261,2.33702,0.463209,1.56119,
90,7.73437,0.957984,0,5.65235,655.923,46.7533,2.34066,0.443304,1.56735,
91,7.73013,0.964532,0,5.65783,655.908,46.7748,2.34154,0.427844,1.56851,
92,7.73147,0.954597,0,5.65153,655.929,46.756,2.34594,0.436671,1.56796,
93,7.74135,0.95581,0,5.65186,655.917,46.7222,2.34855,0.461771,1.57512,
94,7.73238,0.955333,0,5.6522,655.911,46.7658,2.34565,0.440257,1.57141,
95,7.74928,0.953814,0,5.65199,655.924,46.7361,2.34346,0.446428,1.56873,
96,7.71643,0.984569,0,5.65043,655.913,46.7894,2.34339,0.415351,1.56166,
97,7.71022,0.957575,0,5.65062,655.932,46.7514,2.34962,0.449707,1.57285,
98,7.71824,0.962127,0,5.65117,655.949,46.7388,2.33538,0.456247,1.56405,
99,7.7293,0.960762,0,5.65282,655.92,46.7785,2.33564,0.433711,1.56458,
100,7.71839,0.967358,0,5.65201,655.946,46.7758,2.33585,0.419796,1.56042,
101,7.72522,0.959399,0,5.6521,655.922,46.7438,2.33838,0.466597,1.5686,
102,7.72956,0.96951,0,5.65412,655.911,46.7603,2.34499,0.439326,1.56714,
103,7.73272,0.971437,0,5.65192,655.937,46.7245,2.33879,0.456304,1.56313,
104,7.72612,0.961645,0,5.65568,655.924,46.786,2.34014,0.417237,1.56527,
105,7.73536,0.956551,0,5.65209,655.907,46.69,2.3436,0.521804,1.5698,
106,7.71856,0.95591,0,5.65236,655.937,46.7032,2.34113,0.50057,1.56712,
107,7.72063,0.95719,0,5.65318,655.937,46.7827,2.35226,0.408752,1.56463,
108,7.71426,0.958173,0,5.65357,655.942,46.7445,2.34099,0.461988,1.56166,
109,7.72724,0.964511,0,5.6538,655.917,46.7138,2.34733,0.48631,1.56696,
110,7.7378,0.974624,0,5.65239,655.899,46.7399,2.34429,0.460209,1.56912,
111,7.74051,0.965098,0,5.65311,655.913,46.7307,2.33451,0.461136,1.57936,
112,7.73904,0.970747,0,5.65141,655.916,46.7517,2.33906,0.447028,1.56267,
113,7.72347,0.966016,0,5.65324,655.929,46.7104,2.33758,0.494195,1.56449,
114,7.72761,0.954263,0,5.6533,655.905,46.7684,2.34516,0.436191,1.58804,
115,7.72518,0.952705,0,5.65384,655.923,46.7015,2.34079,0.504679,1.57701,
116,7.72842,0.958037,0,5.6525,655.936,46.7466,2.34624,0.446593,1.56396,
117,7.7339,0.962054,0,5.65183,655.924,46.753,2.33244,0.458541,1.5639,
118,7.71105,0.958656,0,5.65455,655.955,46.7238,2.34837,0.464945,1.56299,
119,7.73149,0.968764,0,5.65074,655.925,46.7319,2.34142,0.464541,1.56556,
120,7.72941,0.956204,0,5.65217,655.927,46.792,2.34382,0.409091,1.56952,
121,7.728,0.957727,0,5.65333,655.922,46.7741,2.33211,0.442946,1.56979,
122,7.72843,0.983841,0,5.65304,655.93,46.7408,2.34022,0.43727,1.56635,
123,7.73589,0.957695,0,5.65503,655.909,46.8014,2.3351,0.410471,1.57507,
124,7.72653,0.96826,0,5.65338,655.935,46.7603,2.33444,0.439929,1.56267,
125,7.72408,0.950894,0,5.65667,655.923,46.6939,2.33521,0.518603,1.57766,
126,7.71335,0.961159,0,5.65311,655.958,46.7105,2.33402,0.484071,1.56624,
127,7.72341,0.967686,0,5.65171,655.936,46.7408,2.33865,0.453574,1.56834,
128,7.75142,0.955148,0,5.6533,655.917,46.7294,2.34481,0.456518,1.57317,
129,7.72338,0.984837,0,5.65319,655.937,46.765,2.33505,0.421267,1.56093,
130,7.73348,0.9711,0,5.65283,655.91,46.7397,2.34245,0.465022,1.56616,
131,7.72561,0.964162,0,5.65125,655.931,46.7084,2.34159,0.490673,1.5681,
132,7.73083,0.955425,0,5.65183,655.923,46.7748,2.3476,0.417423,1.57982,
133,7.72587,0.97343,0,5.65254,655.934,46.731,2.33345,0.468506,1.56189,
134,7.72737,0.964837,0,5.65329,655.913,46.7697,2.34757,0.438598,1.56636,
135,7.74677,0.967517,0,5.65389,655.9,46.7598,2.34061,0.442575,1.57059,
136,7.72453,0.963519,0,5.65321,655.924,46.7408,2.36223,0.444997,1.56769,
137,7.72488,0.980196,0,5.65219,655.948,46.7484,2.33531,0.434169,1.55866,
138,7.7128,0.957611,0,5.65306,655.944,46.7585,2.35261,0.437408,1.56514,
139,7.73008,0.957582,0,5.65244,655.93,46.6977,2.33781,0.512887,1.56341,
140,7.72284,0.965635,0,5.65357,655.916,46.7387,2.34455,0.475333,1.56558,
141,7.72424,0.9618,0,5.65156,655.905,46.792,2.34807,0.433571,1.56561,
142,7.73591,0.957289,0,5.65096,655.927,46.7602,2.34698,0.424806,1.57886,
143,7.72718,0.989562,0,5.65194,655.907,46.7372,2.35142,0.452426,1.56528,
144,7.73883,0.958617,0,5.65362,655.914,46.7914,2.34209,0.406299,1.57769,
145,7.71932,0.963194,0,5.65204,655.944,46.7037,2.34431,0.493225,1.56219,
146,7.73256,0.953716,0,5.65295,655.933,46.7902,2.34072,0.409634,1.57006,
147,7.69527,0.956986,0,5.6529,655.948,46.7179,2.34182,0.490973,1.5788,
148,7.74581,0.95708,0,5.65266,655.92,46.7213,2.33583,0.470913,1.5798,
149,7.73461,0.955072,0,5.65168,655.93,46.7803,2.3455,0.414358,1.5723,
150,7.72357,0.949992,0,5.65147,655.938,46.7814,2.33426,0.433696,1.57127,
151,7.73862,0.955883,0,5.65235,655.914,46.7343,2.34566,0.446003,1.59679,
152,7.72299,0.962883,0,5.65399,655.935,46.7214,2.34033,0.476978,1.5701,
153,7.73407,0.957966,0,5.65162,655.934,46.7234,2.33961,0.476324,1.56715,
154,7.725,0.959461,0,5.65256,655.934,46.7395,2.35778,0.445121,1.57105,
155,7.72568,0.964286,0,5.6492,655.918,46.7186,2.36453,0.470854,1.57294,
156,7.72221,0.972332,0,5.65176,655.957,46.7375,2.34371,0.440902,1.55861,
157,7.72322,0.991434,0,5.65616,655.93,46.7157,2.33882,0.469966,1.55926,
158,7.72792,0.962481,0,5.65295,655.92,46.7324,2.33184,0.488168,1.56867,
159,7.7223,0.991195,0,5.65364,655.937,46.7457,2.33929,0.437002,1.55896,
160,7.72653,0.956851,0,5.65663,655.929,46.7595,2.34364,0.450382,1.56296,
161,7.73236,0.963835,0,5.65273,655.914,46.754,2.3513,0.444678,1.57256,
162,7.73559,0.963883,0,5.65307,655.922,46.726,2.34443,0.468506,1.5723,
163,7.7215,0.966532,0,5.65177,655.922,46.7364,2.35824,0.45828,1.57168,
164,7.72624,0.954628,0,5.65442,655.948,46.7502,2.34597,0.43943,1.5676,
165,7.72816,0.953225,0,5.65193,655.951,46.7638,2.33227,0.434446,1.57164,
166,7.70975,0.959389,0,5.66936,655.949,46.7476,2.3502,0.431829,1.56918,
167,7.73744,0.956443,0,5.65241,655.924,46.7073,2.34877,0.489225,1.57137,
168,7.73175,0.96617,0,5.65286,655.938,46.7214,2.33964,0.477267,1.56029,
169,7.74268,0.953504,0,5.65235,655.934,46.7482,2.34113,0.442873,1.57282,
170,7.73238,0.967942,0,5.65424,655.92,46.8016,2.33708,0.395529,1.57826,
171,7.73129,0.951326,0,5.65448,655.937,46.7681,2.33798,0.423367,1.58459,
172,7.7001,0.964359,0,5.66587,655.931,46.7331,2.35716,0.465029,1.57158,
173,7.71188,0.96231,0,5.65203,655.956,46.7471,2.32522,0.469244,1.56474,
174,7.73478,0.975099,0,5.65099,655.927,46.7837,2.33302,0.420571,1.56335,
175,7.74894,0.965427,0,5.65327,655.92,46.7197,2.33405,0.47584,1.5715,
176,7.72697,0.977258,0,5.65189,655.932,46.7199,2.33636,0.480711,1.56321,
177,7.73047,0.981477,0,5.65217,655.916,46.7774,2.34751,0.421013,1.56244,
178,7.72609,0.981349,0,5.65012,655.94,46.727,2.33942,0.462961,1.56264,
179,7.73439,0.957814,0,5.65376,655.922,46.7205,2.35338,0.477185,1.57003,
180,7.72812,0.988886,0,5.65106,655.911,46.6639,2.34148,0.588299,1.55945,
181,95.589,528.612,0,5.42221,2884.18,1613.48,528.157,97.5459,2.8306,
182,27.0583,323.897,0,10.3584,1025,595.348,326.559,1351.37,601.083,
183,41.0695,379.262,0,32.9784,1720.97,1282.34,380.858,68.604,385.615,
184,7.71247,0.961541,0,5.65176,655.96,46.7132,2.32624,0.492077,1.5643,
185,7.72638,0.964428,0,5.65318,655.92,46.7326,2.3389,0.454399,1.56426,
186,123.429,13.1085,0,8.73492,3797.81,453.038,13.1941,793.25,15.988,
187,40.9513,50.4079,0,31.7547,1675.91,357.097,50.7011,445.792,49.1668,
188,7.7275,0.976897,0,5.65556,655.907,46.6883,2.34118,0.53069,1.56141,
189,96.6735,2112.88,0,12.1271,3813.32,1598.48,2126.36,4495.86,1844.64,
190,7.73393,0.975655,0,5.6518,655.918,46.6998,2.3357,0.501938,1.56519,
191,7.71255,0.966396,0,5.65237,655.976,46.8004,2.33225,0.442935,1.55732,
192,41.5539,664,0,5.73531,1832.04,454.332,665.953,673.093,684.41,
193,115.776,1545.58,0,11.3446,3987,654.607,1551.56,274.392,1535.53,
194,30.3036,1829.36,0,16.2329,7137.2,481.839,1826.1,1115.05,3202.86,
195,64.7908,2188.89,0,23.8367,3072.16,1602.77,2206.71,36615.5,1931.83,
196,7.71703,0.956874,0,5.65559,655.928,46.7268,2.35085,0.471086,1.56697,
197,7.72031,0.958811,0,5.6514,655.93,46.705,2.35483,0.489534,1.56846,
198,27.8009,613.137,0,7.15612,926.826,1054.43,613.717,103.59,303.021,
199,7.73046,0.978711,0,5.65645,655.917,46.7225,2.33707,0.467061,1.56197,
